"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"33","26","      Nondurable goods","N4426C0",35863,37030,39420,39895,41264,43028,44615,46293,47719,49945
"34","27","        Food and beverage and tobacco products","N4427C0",31253,31933,34110,34702,35482,36788,37622,38659,39647,40955
"35","28","        Textile mills and textile product mills","N4428C0",25138,26671,29018,29537,30632,31219,32673,33545,34621,35716
"36","29","        Apparel and leather and allied products","N4429C0",22873,23115,24769,24568,26365,27883,29516,31161,32654,34714
"37","30","        Paper products","N4430C0",42087,43652,45578,46911,48497,50192,51338,52983,54255,55758
"38","31","        Printing and related support activities","N4431C0",36271,37138,38966,37476,38384,39353,40537,41887,43034,44078
"39","32","        Petroleum and coal products","N4432C0",60920,59769,62310,64768,65972,68709,75222,81403,87360,93651
"40","33","        Chemical products","N4433C0",55421,57284,60928,61393,62782,66223,69092,72126,73993,78717
"41","34","        Plastics and rubber products","N4434C0",32868,33718,35375,35794,37212,38433,39764,40341,41451,43008
"42","35","    Wholesale trade","N4435C0",44024,46601,48017,50974,51506,52964,55212,57194,60079,62988
"43","36","      Durable goods","N4436C0",45982,49029,50688,53177,53277,54655,57060,59175,62089,65045
"44","37","      Nondurable goods","N4437C0",41132,43015,44071,47735,48984,50590,52627,54403,57211,60052
"45","38","    Retail trade","N4438C0",23945,25013,26307,26027,26675,27393,28181,28664,29391,30066
"46","39","      Motor vehicle and parts dealers","N4439C0",37976,40193,41764,42283,43130,43909,44688,45607,46691,47443
"47","40","      Food and beverage stores","N4440C0",20867,21209,21650,21315,22087,22677,23228,23345,23839,24468
"48","41","      General merchandise stores","N4441C0",17917,18441,19744,19457,20297,21250,21759,22127,22889,23623
"49","42","      Other retail \2\","N4442C0",23867,25117,26683,26315,26705,27343,28296,28879,29624,30355
"50","43","    Transportation and warehousing","N4443C0",36297,37612,39463,39426,40116,40854,42526,43097,44641,46559
"51","44","      Air transportation","N4444C0",46790,48466,50969,55336,57370,56771,58134,56073,58539,64124
"52","45","      Rail transportation","N4445C0",60530,60538,62728,63517,64404,67174,71007,71950,74105,75586
"53","46","      Water transportation","N4446C0",47422,51803,51361,54850,56386,57398,60869,62334,65861,72097
"54","47","      Truck transportation","N4447C0",34533,35341,36736,36204,36954,37793,39531,40918,42440,43545
"55","48","      Transit and ground passenger transportation","N4448C0",21988,22880,23795,23121,23512,24129,24868,25713,26828,27882
"56","49","      Pipeline transportation","N4449C0",71496,77984,96703,99717,81404,83188,88573,88452,97236,105186
"57","50","      Other transportation and support activities \3\","N4450C0",33444,35299,36806,35846,37226,38545,40794,41707,43394,45058
"58","51","      Warehousing and storage","N4451C0",30120,31663,34269,33842,34763,36115,37467,37897,38701,40308
"59","52","    Information","N4452C0",51165,57920,63217,60917,59681,61812,65733,67508,70714,74180
"60","53","      Publishing industries (includes software)","N4453C0",50374,58312,64243,66203,64063,66428,68330,69603,73033,79634
"61","54","      Motion picture and sound recording industries","N4454C0",51596,50418,55355,54776,54877,55991,60424,62051,65764,67055
"62","55","      Broadcasting and telecommunications","N4455C0",54805,61361,63594,57023,57302,59521,63589,65101,67670,70599
"63","56","      Information and data processing services","N4456C0",42531,52583,64837,67055,62151,64304,71686,75248,79167,81227
"64","57","    Finance and insurance","N4457C0",54626,57822,64049,66562,65721,68356,72500,77347,81759,86898
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4458C0",43172,44635,46191,49191,51181,54795,56235,59018,60096,62716
"66","59","      Securities, commodity contracts, and investments","N4459C0",112758,122358,144201,154425,144063,148465,160876,177775,198168,211701
"67","60","      Insurance carriers and related activities","N4460C0",46713,48337,51450,53166,54734,57401,61580,64153,66589,69446
"68","61","      Funds, trusts, and other financial vehicles","N4461C0",51895,62861,73969,69619,71437,74771,88047,90218,92923,99987
"69","62","    Real estate and rental and leasing","N4462C0",32593,33579,36178,36227,37389,38667,41128,43313,46075,47831
"70","63","      Real estate","N4463C0",33445,34993,38005,37678,38598,40052,42911,45245,48281,49687
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4464C0",30854,30768,32683,33278,34719,35527,37063,38771,40888,43401
"72","65","    Professional, scientific, and technical services","N4465C0",49992,53242,58886,61756,62038,63669,66539,69047,72417,76053
"73","66","      Legal services","N4466C0",53013,54863,59470,65112,66587,68772,71396,73728,77295,81363
"74","67","      Computer systems design and related services","N4467C0",55092,64181,76726,78833,77988,79199,82816,85095,89270,93076
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4468C0",47788,49780,53723,56279,56878,58503,61250,63911,67042,70380
"76","69","    Management of companies and enterprises \6\","N4469C0",67858,71330,75984,72270,72971,76010,80935,86656,91035,98262
"77","70","    Administrative and waste management services","N4470C0",26471,27216,25181,26784,27654,29232,28933,30685,31943,33437
"78","71","      Administrative and support services","N4471C0",25976,26603,24524,26111,26937,28494,28082,29858,31092,32625
"79","72","      Waste management and remediation services","N4472C0",37075,40958,40755,41645,43223,44952,47426,48748,50798,51163
"80","73","    Educational services","N4473C0",26628,27579,28974,30086,31259,32526,33288,34362,35558,37140
"81","74","    Health care and social assistance","N4474C0",32732,33520,35127,36011,37374,38752,40232,41332,42747,44470
"82","75","      Ambulatory health care services","N4475C0",42211,43193,45758,47779,49221,50277,51695,53078,54435,56563
"83","76","      Hospitals","N4490C0",36072,37079,38368,38871,40688,43148,45425,47055,49270,51232
"84","77","      Nursing and residential care facilities","N4491C0",20690,21256,22445,23355,24429,25051,25949,26412,27380,28641
"85","78","      Social assistance","N4492C0",19408,20357,21608,21431,22077,22739,23302,23441,24034,24984
"86","79","    Arts, entertainment, and recreation","N4493C0",28345,29682,31259,31115,32154,34234,35282,35357,37327,37982
"87","80","      Performing arts, spectator sports, museums, and related activities","N4494C0",47812,51201,53634,56649,59390,63846,65863,65791,71263,72557
"88","81","      Amusements, gambling, and recreation industries","N4495C0",20884,21458,22710,22088,22629,23990,24857,25102,25664,25923
"89","82","    Accommodation and food services","N4496C0",15588,16065,16830,17973,18419,18950,20189,20240,21060,21873
"90","83","      Accommodation","N4497C0",22261,23316,24763,24345,24793,25878,30967,28128,29591,30842
"91","84","      Food services and drinking places","N4498C0",14011,14337,14942,16353,16863,17294,17952,18416,19136,19859
"92","85","    Other services, except government","N4499C0",23928,24492,25495,26091,27062,28069,29063,29852,31063,32280
"93","86","  Government","A4476C0",37281,38692,40501,41895,43694,45406,47345,49192,51113,53200
"94","87","    Federal","A4477C0",42721,44225,46646,48815,52820,56482,60585,64471,66592,69403
"95","88","      General government","A4478C0",41789,43485,45395,48000,52645,57087,61288,65811,67942,70907
"96","89","        Civilian","B4479C0",47588,49535,51479,54114,58815,62774,67819,71499,73392,77143
"97","90","        Military \7\","B4480C0",34980,36372,38045,40915,45595,50577,53834,59125,61505,63518
"98","91","      Government enterprises","B4481C0",46746,47354,52109,52375,53603,53685,57326,58248,60251,62188
"99","92","    State and local","A4482C0",35702,37122,38773,40046,41288,42465,43866,45239,47136,49113
"100","93","      General government","A4483C0",35547,36950,38577,39856,41139,42268,43642,45004,46905,48934
"101","94","        Education","B4484C0",35308,36578,37956,39801,40940,42239,43429,44717,46748,48743
"102","95","        Other \8\","B4485C0",35819,37380,39309,39918,41365,42302,43886,45334,47085,49152
"103","96","      Government enterprises \8\","B4486C0",38005,39691,41722,42857,43432,45296,47061,48618,50482,51677
"104","97","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
