"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","4","    Tenant-occupied","ATENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.2,126.8,133.8,140.1,150.7,157.7,163.6,168.5,176.8,186.6,192,199,209,219,227.5,240.7,247.8,245.3,251.8,262.9,277.2,299.1
"12","5","  Farm housing","BFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.7,9.9,10.2,10.7,11.4,11.7,12.2,13,13.7,14.6,15.2
"13","6","Less: Intermediate goods and services consumed","B1027C1",1.6,1.5,1.3,1.1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.7,1.7,1.6,1.6,1.6,2.5,3.1,3.6,4,4.4,4.9,5.2,5.7,5.9,6.1,6.4,6.5,6.7,6.7,6.8,6.9,7.1,7.3,7.9,8.4,8.9,9.4,11,12.5,13.9,15.3,17.2,20.1,22.6,24.6,28.8,32.4,38.8,45,46,48.9,46.6,49.3,56.9,61.3,69.2,75.8,81.3,87.1,91.7,92.8,94.8,101.6,108.7,113.9,121.4,129.2,146.1,149.7,156.2,170.9,191.8,225.7,233.7,264.4,273.7,270.8
"14","7","Equals: Gross housing value added","A2009C1",9.7,9.4,8.8,7.8,6.8,6.4,6.5,6.6,7,7.5,7.6,7.8,8.3,9.2,9.7,10.2,10.6,11.1,12.1,13.5,14.9,16.5,18.5,20.8,23.2,25.3,27.1,29.1,31.5,33.9,36.9,39.9,42.8,46,48.9,51.6,54.9,58.2,62.1,65.9,71.3,76.7,83.9,91.1,98.3,106.8,117.2,126.6,140.3,155.2,172.5,199.4,228.4,255.4,277.4,301.1,332.9,359.5,385.5,415.5,443.8,478.1,508.5,531,549.1,582,613.3,638,667.7,700.2,747.8,794.3,849.8,876.7,878.2,929.1,963.5,1038.3,1106.9
"15","8","          Nonfarm housing","B499RC1",8.9,8.6,8.1,7.2,6.3,5.8,5.8,6,6.3,6.8,6.9,7.1,7.6,8.4,8.9,9.3,9.6,9.9,10.8,12.1,13.6,15.1,17,19.2,21.5,23.8,25.5,27.5,29.8,32.2,35.1,38,40.7,43.9,46.7,49.4,52.6,55.9,59.6,63.3,68.5,73.7,80.8,87.7,94.9,103.2,113.6,122.9,136.4,150.9,168,194.7,223.6,250.7,272.8,296.5,328.4,355.2,381.2,410.8,438.7,472.5,502.5,524.6,541.9,574,605,629.4,659.2,691.6,738.8,785,839.9,866.6,867.6,917.9,951.7,1025.7,1093.6
"16","9","            Owner-occupied","B1300C1",5.1,4.8,4.4,3.9,3.3,3.1,3.1,3.2,3.3,3.5,3.5,3.6,3.9,4.4,4.8,5.3,5.7,5.8,6.4,7.2,8.2,9.4,10.9,12.6,14.4,16.2,17.8,19.4,21.2,23,25.1,27.3,29.3,31.6,33.6,35.5,37.9,40.4,43,45.6,49.4,53.1,58.6,63.5,69,75.6,83.3,90.3,98.8,111.1,125.7,146.3,167.4,186.3,202.3,219.9,239.3,256.8,277.1,301.4,324.7,350,370.4,382.9,398.4,423.4,446.2,467.3,492.3,518.7,558.2,596.4,643.2,669.1,679.7,723.5,750.5,811.3,857.8
"17","10","            Tenant-occupied","B1301C1",3.8,3.8,3.7,3.3,2.9,2.7,2.7,2.8,3,3.3,3.4,3.5,3.7,4,4.1,4.1,4,4.1,4.4,4.9,5.3,5.7,6.2,6.6,7.1,7.5,7.8,8.1,8.6,9.2,10,10.7,11.4,12.3,13.1,13.8,14.7,15.5,16.6,17.8,19.1,20.6,22.2,24.2,25.9,27.6,30.3,32.5,37.6,39.8,42.4,48.4,56.1,64.4,70.5,76.6,89,98.4,104.1,109.4,114,122.6,132.1,141.7,143.6,150.6,158.8,162.1,166.9,172.9,180.6,188.6,196.8,197.5,187.9,194.3,201.2,214.4,235.8
"18","11","          Farm housing","B1302C1",0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.9,1.9,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.4,3.4,3.6,3.6,3.7,3.9,4.2,4.5,4.7,4.8,4.7,4.6,4.6,4.5,4.3,4.3,4.7,5.1,5.6,6,6.4,7.2,8,8.3,8.6,8.5,8.6,8.9,9.3,9.9,10.1,10.6,11.2,11.8,12.6,13.2
"19","12","Less: Consumption of fixed capital","A1028C1",1.6,1.6,1.4,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.9,2.1,2.2,2.4,2.7,3.3,3.8,4,4.3,4.9,5.2,5.5,5.7,6.1,6.6,6.8,7.1,7.4,7.8,8.1,8.4,8.7,9.2,9.9,10.6,11.4,12.4,13.8,14.8,16.3,18.6,20.7,23.7,26.7,29.2,33.1,38.3,44.3,50.6,56,60,62.5,65.7,69.4,74,79.2,84.6,91.2,94.2,97.9,104.4,107.4,118.5,121,126.6,133.7,141.2,152.1,161.8,173.1,180.8,194.3,232.3,309.1,259.4,270.2
"20","13","Equals: Net housing value added \2\","B952RC1",8.2,7.9,7.4,6.7,5.7,5.2,5.2,5.3,5.6,6,6.1,6.2,6.6,7.2,7.7,8,8.2,8.5,8.8,9.7,10.9,12.1,13.6,15.6,17.7,19.6,21,22.5,24.6,26.9,29.5,32.1,34.7,37.6,40.1,42.4,45,47.6,50.7,53.5,57.5,61.9,67.6,72.5,77.6,83.1,90.5,97.4,107.3,116.8,128.2,148.8,172.4,195.4,214.9,235.3,263.5,285.5,306.2,331,352.7,383.8,410.6,426.6,441.7,463.5,492.3,511.4,533.9,559,595.7,632.5,676.8,695.9,683.9,696.7,654.4,778.9,836.6
"21","14","          Compensation of employees","B1033C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.2,2.4,2.7,2.9,3.3,3.5,3.7,4,4.2,4.5,4.8,7,7.3,7.7,8.1,8.4,8.8,9.6,10,10.9,11.1,11.6,11.8,12.2,12.7,13.3,14
"22","15","          Taxes on production and imports","B1031C1",2,2.1,2.1,2,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2,2.1,2.1,2.2,2.1,2.2,2.4,2.7,2.8,3.2,3.5,3.8,4.1,4.6,5.1,5.6,6.2,6.7,7.4,8.2,8.9,9.8,10.7,11.7,12.6,14.1,15.8,17.6,20.1,22.1,23.8,25.8,27.6,30.3,33.4,36.6,37.3,38,41,45.6,50,54,58.6,62.8,67.1,73.8,78.8,85.4,90.8,98.4,103.3,105.4,112.1,113.9,119.8,125.8,131.2,138,144.5,153.4,165.6,176.7,189.1,203.3,215.2,226.1
"23","16","          Less: Subsidies \3\","W154RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1.9,1.8,2.1,2.3,2.6,3,3.6,4.4,5.3,6.5,8.3,9.1,9.6,10.7,10.5,10.9,12.1,13.6,14.8,16.3,17.5,18.6,20.3,23.1,23.7,22,20.1,19.8,18.5,19.5,22.6,26.5,28.6,31.8,30.4,37.3
"24","17","          Net operating surplus","W165RC1",6,5.6,5.2,4.6,3.8,3.3,3.2,3.3,3.6,3.9,4,4,4.4,5,5.3,5.6,5.7,6.1,6.3,7,7.8,8.9,10,11.6,13.3,14.9,15.9,16.8,18.4,20.1,22.3,24.2,25.9,27.9,29.5,30.9,32.6,34.3,35.9,37,39.2,41.4,45.4,49.4,52.4,56.4,61.3,65.4,72.3,81.6,92.8,111.1,131.1,151.3,167.3,183.4,208.1,225.5,239.6,260.2,276.6,303.3,323.8,334,347.7,364,393.4,406.9,421.3,438.3,467.5,495.7,531.8,541.4,521.8,524,470.3,580.9,633.8
"25","18","            Net interest","B1037C1",1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.1,3.6,4.1,4.8,5.6,6.4,7.2,8,8.8,10,10.9,12.1,13.3,14.4,15.3,16.5,18.3,20.3,23.3,27,31.1,35.7,42,47.2,54.9,63.6,74.7,87.8,100.5,117.5,134.2,150.5,173.1,192.7,206.4,219.8,235.9,253.6,264.4,262.4,247.6,244.6,261.9,271.2,287.2,300.6,321.7,353.1,383.7,398.3,403.9,431.9,487.9,562.5,619.9
"26","19","            Current transfer payments","W166RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0.1,0.2,0.1,-0.4,-0.2,0.2,0.4,0.4,-0.3,-0.7,-0.3,-0.6,-0.6,-0.9,-0.9,1,1.6,0.8,-2.3,-0.9,-1.4,-8.6,1.1,-3,1,-0.4,4.6,1.3,1.2,0.5,-3.9,2.1,5,1.3,-15,11.7,7.6
"27","20","            Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.5,1.2,1.3,1.2,1,0.4,0.6,1.2,1.5,2.1,3,4.4,6,5.3,5.6,6.2,6.4,6.3,6.6,6.6,7.6,8.8,11.5,13.2,12.8,16.6,15.7,15.2,14.5,13.9,12.9,12.7,11.7,10,6.4,-2.4,5.3,8.8
"28","21","            Rental income of persons with capital consumption adjustment","B1035C1",4.3,3.8,3.4,2.8,2.2,1.7,1.8,1.9,2.2,2.6,2.7,2.7,3,3.7,4,4.3,4.5,4.6,4.6,5.1,5.7,6.5,7.2,8.4,9.8,10.8,11.3,11.6,12.2,13,14.4,15.3,16,16.8,17.4,17.4,17.8,18.2,18.8,18.3,18.6,18.6,19.7,19.7,18.8,18.4,17.4,15.8,13.8,13.8,13.9,18.3,22.8,23.2,23.1,22.6,23.7,20.2,21.8,29.7,31.7,38.5,47.6,64.2,82.1,106.2,108.8,115.5,111.8,122.2,131.6,131.5,145,136.1,111.4,94.5,10.8,14.1,10.8
"29","22","            Corporate profits with inventory valuation and capital consumption adjustments","B1036C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.1,1.1,1.4,1.6,1.9,2.2,3.1,3.8,3.5,4.4,4.8,4.8,4.2,4.2,5.3,4.9,4.4,4.2,3.8,4.1,4.6,4.5,4.5,4.1,3.9,3.9,2.1,1.9,1.7,1.4,1.9,1.8,2.2
"30","23","            Current surplus of government enterprises \3\","W153RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.6,0.6,0.6,0.7,0.7,0.6,0.5,0.6,1.3,1.7,1.3,1.2,0.3,-0.7,-1,-0.7,-0.4,0,0.2,-0.1,-0.7,0.4,0.4,-2,-4.5,-4.8,-6.4,-7.9,-8.8,-10.2,-11.5,-13,-14.5,-15.5
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals personal consumption expenditures for housing excluding expenditures for other housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
