"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","B359RA3",15.476,14.545,17.709,17.208,16.376,12.815,15.969,13.712,16.751,16.427,18.311,16.03,17.926,19.412,18.915,18.712,18.664,18.75,16.801,19.359,18.58,19.604,18.519,19.521,20.48,21.225,21.7,21.726,20.885,21.624,21.511,22.711,22.917,22.478,23.19,22.451,23.901,23.061,24.894,24.019,24.871
"12","5","Households and institutions","B193RA3",7.615,7.482,7.236,6.943,6.859,6.912,6.961,7.036,7.119,7.128,7.277,7.516,7.77,8.179,8.359,8.757,9.041,9.099,9.626,10.222,10.859,11.723,12.515,13.313,14.143,15.015,16.257,17.282,18.228,19.305,20.44,21.863,22.816,24.104,25.114,26.2,27.54,28.867,30.125,31.617,33.043
"13","6","  Households","B701RA3",7.483,7.259,6.945,6.617,6.568,6.673,6.717,6.769,6.869,6.843,6.993,7.165,7.411,7.906,8.105,8.514,8.87,8.771,9.267,9.655,10.293,11.232,12.121,12.993,13.851,14.767,16.085,17.16,18.135,19.181,20.347,21.62,22.669,23.966,24.974,26.027,27.28,28.468,29.681,30.484,31.799
"14","7","  Nonprofit institutions serving households \3\","B702RA3",7.455,7.767,7.857,7.746,7.524,7.376,7.443,7.591,7.612,7.746,7.884,8.356,8.625,8.691,8.793,9.124,9.14,9.727,10.329,11.541,12.145,12.744,13.217,13.758,14.474,15.178,16.143,16.981,17.806,18.929,19.938,21.721,22.377,23.596,24.575,25.704,27.207,28.817,30.137,33.102,34.724
"15","8","General government \4\","B765RA3",9.326,9.779,9.958,9.829,10.38,11.695,12.491,14.567,13.935,15.02,15.315,16.182,20.642,32.25,53.66,64.508,65.012,35.231,27.598,26.597,26.695,27.203,33.118,36.034,36.68,36.704,36.853,37.609,38.576,39.127,39.8,41.318,42.983,44.863,46.336,48.06,49.773,52.988,55.97,58.262,59.859
"16","9","  Federal","B766RA3",5.404,5.815,5.61,5.38,6.554,8.563,9.522,15.39,13.445,15.157,15.476,17.253,27.79,55.879,108.382,135.51,136.287,64.359,45.38,42.428,41.14,41.545,55.588,62.041,62.387,61.048,59.905,59.695,60.167,59.239,59.316,60.964,62.91,66.006,67.206,68.51,69.561,74.358,79.449,81.396,82.281
"17","10","  State and local","B767RA3",12.247,12.744,13.184,13.126,13.226,14.03,14.713,13.934,14.355,14.946,15.224,15.412,15.542,15.333,14.959,14.614,14.917,15.701,16.694,17.123,18.26,18.89,19.384,20.023,20.896,21.823,22.834,24.266,25.6,27.172,28.29,29.79,31.331,32.476,34.171,36.224,38.431,40.716,42.432,44.978,47.036
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009A3",6.289,6.273,6.259,6.238,6.055,6.214,6.202,6.168,6.256,6.501,6.588,6.754,7.071,7.603,8.049,8.397,8.563,8.708,9.122,9.591,10.23,10.938,11.757,12.665,13.434,14.302,15.124,15.942,16.945,17.924,19.24,20.483,21.682,23.062,24.224,25.366,26.754,28.032,29.416,30.495,31.966
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
