"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","13","  Net domestic product","A362RX1",962.9,869.5,806.7,690.6,683.1,770.6,848.5,970.6,1022.2,982.2,1069,1171.3,1394.3,1668.1,1953.7,2094,2052.2,1785.1,1765.9,1848.5,1834.3,2010.7,2183.5,2269.7,2373.1,2342.3,2517.3,2563.1,2608.8,2569.7,2760.8,2829.4,2896.5,3081.2,3213.8,3403.3,3629.4,3871.5,3961.6,4152.9,4271.2
"22","14","  Net domestic income \3\","W256RX1",955.4,874.2,797.9,687,676,765.7,851.6,955.5,1022.8,973.6,1052.5,1157.8,1390.6,1678.2,1973.1,2068.1,2013.9,1774.3,1743,1850.6,1821.1,2001.3,2159.4,2251.9,2347.3,2322.8,2503.2,2576.5,2611.2,2565.9,2760,2837.4,2902.3,3081.7,3222.5,3403.4,3625.1,3843.9,3943.8,4136.9,4263.6
"23","15","  Net domestic purchases","W367RX1",983.7,891.1,828.8,711.1,704.4,792.1,880.1,1003.8,1052.1,1000.4,1088.9,1187.8,1426.6,1728.4,2045.8,2190.9,2131.7,1768.9,1727.2,1856,1839.8,2047.6,2205.4,2307.5,2430.8,2388.7,2568.5,2604.8,2644.5,2630.7,2826.6,2874.3,2941.3,3137.8,3265.5,3446.5,3689.8,3949.9,4051.9,4261.9,4385.3
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
