"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Nonfarm \2\","A358RX1",1236.2,1265,1231.1,1295.1,1308.4,1304.5,1315.6,1308.6,1299.1,1290.8,1307.9,1295.7,1351,1400,1475.4,1491.2,1519.4,1526.2,1545.8,1550.2,1566.9,1559.2,1564.2,1638,1668.1,1676.3,1667.8,1635.4,1616.2,1615.4,1638.4,1678.2,1738,1765.7,1791.3,1807.4,1796,1808.1,1801,1830.1,1852.7,1841.8,1859.1,1826.5,1760.4,1769.3,1823.9,1882.4,1920.1,1980.1,1970.3,1967.2,2025.2,2001.5,1995.8,1953.1,1967.1,2018.6,2058.4,2104.2,2147,2169,2192.7,2197.2,2217.9,2254.5,2308.7,2326.6,2391,2417.7,2451.6,2453.2,2528.6,2568.9,2621.1,2694,2771.1,2781.3,2798.6,2810.2,2830.7,2825,2845.8,2868.9,2938.2,2994.8,3014.7,3028,3079.8,3083.3
"12","4","  Farm","B359RX1",19.8,16.6,21.3,16.1,17.5,22.6,21.9,23,20.2,20.5,20.6,20.2,22.6,22.4,20.4,20.6,18.9,20.2,21.5,20.8,20.4,21.5,22.6,21.3,22.5,23.6,22.1,21.8,23.6,23.7,23.2,22.8,22.8,24.6,24.8,23.2,22.9,23.8,23.7,25,22.1,22.4,22.7,24.5,24.7,25.1,23.4,21.8,23.8,23.1,22.9,24.7,22.7,23.8,26,27.3,26.7,25.2,24.7,24.1,24.4,25.1,24.4,24.9,26.9,25.7,24.7,24.5,23.4,24.2,25,26,26.4,25.4,27,26.3,26.8,25.4,23.7,25.5,26.8,27.5,27.7,27.3,26.6,26.2,26.2,26.5,27,27.2
"13","5","Households and institutions","A193RX1",181.9,182.8,184.7,187.4,190.9,194.2,197.3,200.1,202.6,205.7,209.3,213.5,218,222.4,226.5,230.4,234,237.7,241.3,245,248.9,252.7,256.6,260.7,264.7,268.9,272.7,276.3,280,284.3,289.5,295.5,302.3,308.5,314.2,319.4,324,328.6,333,337.3,341.7,346.2,351.1,356.3,361.7,367,372.1,377,381.2,387.3,394.1,401.9,408.5,415.7,421.6,427.7,431.6,432.3,436.8,445.8,451.5,457.6,464.4,471.4,474.1,477.7,483.2,487.3,492.3,499.4,504.1,509.6,515.3,522.2,531.3,539.2,544.1,547.2,556.1,562.1,566,572.2,579.7,588,594.2,601.5,609,615.5,623.2,630.7
"14","6","  Households","B701RX1",101.9,102.4,103.1,104,105.1,106.4,107.8,109.4,111,113,115.3,117.8,120.7,123.4,126.1,128.6,131,133.4,135.8,138.1,140.6,143,145.4,147.9,150.2,152.7,155,157.1,159.4,162.1,165.2,169,173.1,177,180.5,183.6,186.4,189.2,191.9,194.5,197.2,199.9,202.6,205.5,208.4,211.4,214.4,217.5,220.3,223.9,227.6,231.6,234.5,238.2,241.6,245.7,248.7,248.8,251.6,257.5,260.4,263.7,267.8,272.3,273.6,275.5,278.9,281,283.6,288.2,290.4,293.5,296.2,300,305.2,309.9,311.3,312.4,318.1,322.2,324.8,328,331.2,334,334.7,336.8,339.5,342.6,346.9,351.7
"15","7","  Nonprofit institutions serving households \3\","B702RX1",81.2,81.7,83.3,85.8,89.3,92,94.1,95.5,96.1,97,98,99.2,100.7,101.9,103,104,104.8,105.7,106.7,107.6,108.7,109.8,111.1,112.6,114.1,115.7,117.1,118.4,119.6,121,122.7,124.6,126.8,128.8,130.7,132.5,134.1,135.7,137.2,138.7,140.1,141.9,144,146.3,149.1,151.3,153.2,154.7,155.8,158.1,161.4,165.5,170.1,173.8,176.4,177.9,177.9,178.6,180.2,182.5,185.8,188.5,191.1,193,194.6,196.4,198.4,200.5,203,205,207.9,210.3,213.6,216.8,220.5,223.6,228,230.4,233.2,234.6,235.8,238.8,243.8,250.3,257.4,263.8,269.5,273.2,276.6,278.9
"16","8","General government \4\","A765RX1",542.5,525.8,523.5,514,510.5,501.5,506.1,511.4,512,512,510.5,502.3,496.2,504,515.1,560.4,580.5,625.4,657,664.2,677.7,687.8,692.9,691.2,696.5,699.9,702.9,699.6,698.2,698.6,701.1,702.8,702.4,699,703.4,707.2,709.3,712.8,721,726.6,730.2,735.2,741.4,736.7,735.8,741.6,751.7,756.4,753,756.2,761,766.7,775.2,788.4,791.7,797.5,806.4,811.9,822.7,838.7,847,853.9,859.9,862.5,870,879.8,890.4,895.5,903.4,913,921.6,929.2,931.3,942,954.9,969.7,982.9,999.4,1020.2,1040.7,1054.2,1060.6,1074.2,1081.8,1096.8,1110.3,1119.2,1119.4,1129,1138.4
"17","9","  Federal","A766RX1",288.2,274.2,270.9,262.4,259.7,252.6,255,257.1,254.8,251.7,247.7,239.2,233.8,239.4,247.5,282.4,297,331.2,354.9,359.1,368.9,375.8,378.3,375,377.3,378,377.9,373.1,370,368.5,368.3,367.2,365.2,360.3,360.6,360.3,359.8,358.2,361,362.3,363.4,364.8,366.1,358.5,355.1,355.4,359.6,360.3,356.4,357.2,358.4,360.2,363.3,370.1,368.7,370,372.3,375.1,380.4,391.1,396.8,398.9,399.8,398.3,400.7,405,408.3,408.6,409.5,412.6,415.8,416.2,414.8,416.7,420.8,427.3,434.3,442.4,454.1,464.5,475.6,477.3,482.3,483,486.9,492.9,495,490.4,493.2,496.4
"18","10","  State and local","A767RX1",213.2,216.5,219.5,221.7,221.5,221.6,223.4,226.6,231.3,236.2,240.8,244.2,245.1,245.8,246.6,247.7,249.5,251.5,253.8,256.3,257.9,259.6,262,264.8,267.6,270.7,274.2,277.4,280.2,282.8,285.8,289.4,291.8,294.9,299.7,304.6,307.7,314.2,319.6,324.3,326.9,330.7,336,341.6,345.5,351.9,357.7,362.2,364,366.6,370.4,374.6,380.2,385.7,391.6,396.4,403.5,405.8,410.8,414.1,415.7,420.7,426.2,431.4,436.5,441.7,449.3,454.8,462.6,469.3,474.7,482.8,487.4,497.1,506.1,513.9,519.3,526.8,534.4,543.3,543.5,548.3,556.9,564.5,576.1,583.1,590.3,596.6,603.6,609.8
"19","11","Residual","A961RX1",-7.9,-26,-0.8,-26.3,-13.9,20.2,13.4,13.1,-6.9,-10.4,-9.5,-13.6,8.6,12.6,9.2,-3.3,-18.3,-25.9,-28,-36.3,-42.3,-42.7,-39.9,-35.7,-28.9,-26,-37.7,-45.9,-43.4,-45.2,-46.7,-44.4,-36.5,-26.5,-26.1,-33.5,-39.5,-39,-46.5,-41.4,-50.6,-56,-57.3,-59.2,-73.2,-76.1,-79.5,-79.4,-66.6,-62.9,-70.8,-71.6,-75.8,-84.7,-84,-92,-96.9,-95.2,-96.5,-98.9,-96.5,-96.4,-100.4,-102.3,-97.4,-101,-102.2,-104.5,-103.9,-104.1,-102.1,-105.4,-97.2,-102.2,-98.3,-98.3,-92.9,-103.6,-116.9,-118.7,-116.3,-120.2,-125.7,-130.9,-133.5,-135.4,-140.2,-141.9,-140,-145.2
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",126.9,127.8,129,130.4,132.1,134,136.1,138.3,140.6,142.9,145.3,147.8,150.2,152.7,155.4,158.2,161,164,167.2,170.4,173.9,177.1,180,182.8,185.1,187.8,190.6,193.6,197,200,203.1,206,208.9,211.7,214.5,217.3,219.9,222.9,226.1,229.6,233.5,237.1,240.5,243.9,246.8,250.4,254.4,258.7,264.4,268.3,273.4,278.3,282.4,286.1,290.3,295.6,299.4,302.6,306.9,313,316.6,322.6,327.2,333.4,335.5,338.9,343.3,347.6,350.8,354.7,359,365.1,369.5,374,379.6,384.8,388.1,391.7,397.4,402.6,407.2,411.8,417.2,421.7,424.8,426.4,430.9,436.6,442,448.1
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
