"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","  Less: Subsidies \3\","W154RC1",0.5,0.7,1.1,1.6,1.8,2.3,2.6,3.1,3.5,4.2,5.3,6.6,9.2,12.1,14,14.9,16.6,16.5,16.9,16.7,18.6,20.4,22.3,24.2,26.3,28.1,31.4,32.4,31.8,30,29.6,27.8,29,34,37.1,39.9,43.3,42.6,49.7,45.7,48.6,47.5,49.3,48
"24","17","  Net operating surplus","W165RC1",38.3,40.6,44.7,48.5,50.9,54.8,59.4,63,67.8,76.7,86,101.8,120.5,140.8,159.5,174.1,196.5,215.9,229.6,248.2,263.3,287.3,307,330.6,356.4,384,420.4,441.8,464.4,490.7,522.8,554.5,593.4,615.8,620.9,639.5,667.3,692.1,723.4,796.9,854.4,875,922.5,959.6
"25","18","    Net interest","B1037C1",18.5,20.4,23.6,27.3,31.5,36.2,42.5,47.6,55.6,64.4,75.5,88.7,101.8,118.8,135.3,152,172,195,210.6,225.2,242.2,259.2,266.4,263.7,254,254.4,274.2,280.1,293.6,303.7,321.8,352.3,374.8,377.2,366.1,368.3,415.2,473.7,521.4,535.7,492.7,447,410.2,375.5
"26","19","    Current transfer payments","W166RC1",0,0,0.1,0.2,0.1,-0.4,-0.2,0.2,0.5,0.6,0,-0.3,0.2,-0.1,-0.4,-0.6,-0.5,1.3,2,1,-0.8,-0.7,-0.4,-0.6,1.8,1.3,1.7,-0.5,4.9,1.7,2.1,0.9,-1.6,3,5.5,7.8,11.8,12.7,11.2,4.5,6.9,4.5,-5.2,-0.4
"27","20","    Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1",1.4,1.4,1.1,1,0.7,0.4,-0.2,-0.1,0.3,0.6,1.1,2.3,3.8,6.1,6,6.3,7.2,6.8,5.7,5.2,4.6,6.1,7.9,12.4,16.3,19.7,23.1,24.9,26.9,29.2,29.8,30.2,33.1,34.8,33.2,32.9,32.3,32.2,37.2,42.7,52.3,60.1,73.2,84.4
"28","21","    Rental income of persons with capital consumption adjustment","B1035C1",17.8,18,19.2,19.1,17.8,17.5,16.3,14.2,10.2,9.7,8,9.7,12.5,12.8,14.9,12.7,13.9,10.2,9.6,15.2,14.1,20.4,30.6,52.3,81.5,106,117.2,133.1,137,156.3,169.5,173.3,190.6,205.1,222,237.6,215.7,183.7,166.2,226.6,312.6,376.1,456.7,513.5
"29","22","    Corporate profits with inventory valuation and capital consumption adjustments","B1036C1",0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.8,1,1.6,2,1.9,2.4,2.7,2.3,2.4,2.6,3.9,2.8,2.5,2.7,2.8,3.3,3.7,3.8,4,4.2,4.3,4,4.5,4.5,4.4,4.5,5.7,5.2,6,6.6,7.6,8,9.6,11
"30","23","    Current surplus of government enterprises \3\","W153RC1",0.2,0.2,0.3,0.4,0.3,0.6,0.6,0.6,0.7,0.7,0.6,0.5,0.6,1.3,1.7,1.3,1.2,0.3,-0.7,-1,-0.7,-0.4,0,0.1,-0.1,-0.7,0.4,0.4,-2,-4.5,-4.8,-6.3,-7.8,-8.8,-10.4,-11.7,-13.4,-15.5,-18.6,-19.2,-17.7,-20.7,-22,-24.3
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
