"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","          Consumption of general government fixed capital \2\","B995RC1",25.5,27.2,28.6,29.6,31.2,34,37,39.8,42.8,46.4,50.6,56.6,63.8,71,77.2,84.6,91.4,98.2,105.4,114,121.6,128.3,134.8,138.1,141.7,144.5,148,148.3,148.9,149.2,152,156.3,158,159.8,165.1,173.3,183.8,194.8,206.7,220.1,228.1,238.8,249.7,255.3
"24","17","        Intermediate goods and services purchased \3\","W113RC1",28.7,25.3,25,26.9,25.8,29.2,31.8,31.3,35.6,39.3,45.8,58.4,69.6,77.6,88.8,88.3,99.1,108.8,110.2,107.4,114,123.1,129.4,129.4,125.1,126.1,123.5,125.5,131.9,128.1,137.4,144.6,165.8,195.6,229.9,258.5,275.2,294.4,302.3,352.3,374.4,406.6,395.5,389.6
"25","18","          Durable goods","W114RC1",6.5,6.2,4.7,5.8,5.5,5.2,6.1,6,8.1,9.6,11.4,13,16.5,19.8,25.4,27.5,29.9,32.6,34.6,34.5,33.3,33,32.5,30,28,24.4,22.4,22.4,22.5,22.5,23.9,23.9,24.2,25.5,28,31.3,32.3,35.9,39.3,46.2,49.3,50.9,48.5,48
"26","19","          Nondurable goods","W115RC1",9,5.9,5.3,5.9,5.2,6.6,7.2,6.5,7,8,9.6,15.4,20.6,19,21.4,16.3,18.8,21.9,16.4,9.8,16,16.1,16.6,15.9,16.1,13.7,13.8,14.3,16.1,16.4,15.3,19.8,22.5,24.2,29,34.3,40,42.5,43.9,54.2,50.9,55.2,59.9,59.7
"27","20","          Services","W116RC1",13.1,13.2,14.9,15.2,15,17.4,18.5,18.8,20.5,21.7,24.9,29.9,32.6,38.8,42,44.5,50.4,54.3,59.2,63.1,64.7,74,80.4,83.5,81,88,87.4,88.9,93.4,89.2,98.2,100.9,119.2,146,172.9,192.8,202.9,215.9,219.2,251.9,274.3,300.5,287.1,281.9
"28","21","      Less: Own-account investment \4\","W117RC1",4.2,4.5,4.9,5.2,5.5,5.8,6.1,6.4,6.6,7.1,7.8,8.6,9.4,10.3,11.5,12.7,14,15.1,15.7,16.6,17.8,18.9,19.4,19.7,20.3,20.3,20.7,20.4,20.4,20.6,20.8,21.6,24.5,26.5,27.9,28.4,29.9,31.2,32.8,34,34.8,35.6,36.8,35.1
"29","22","      Less: Sales to other sectors","W118RC1",0.9,0.9,0.9,1.7,2.2,2.8,2.3,2.1,3.1,3.7,4.6,5,4.9,4.6,4.4,4.7,4.7,4.5,5.2,5.9,6.1,6.7,7.4,7.2,6.9,9,6.6,7.2,5.2,6,4.8,6.6,5.1,5,5.6,6.2,9.3,8.8,7.4,8.8,9.5,10.7,13,9.2
"30","23","    Defense consumption expenditures \1\","A997RC1",82.6,81.8,82.3,84.4,84.3,88.8,94.3,98.2,104.9,113,122.9,140.8,162.9,184.6,199.6,213.6,230.5,245.8,259.2,274.2,283.5,295.4,310.6,307.5,300.8,294.5,291.1,291.5,292.5,288.5,301.2,308.3,325.1,358.1,408.9,446.8,475.9,500.3,526.1,582.8,613.3,653.2,662.8,652
"31","24","      Gross output of general government","W085RC1",84.9,84.2,84.9,87.6,88,93.2,98.4,101.7,108.7,117,127.3,145.8,168.7,191.3,206.5,221.8,239.7,255.7,269.5,285.1,294.8,307.9,322.9,320.2,313.7,309,303.3,304,304.3,299.9,312.7,320.7,339.4,374.2,426,464.2,495.1,521.6,548,605.9,636.5,676.8,687.7,675.9
"32","25","        Value added","W086RC1",60.3,63.2,65.3,67.9,69.2,72.3,76.6,79.9,83.9,89.8,95.4,104.9,119.1,132.6,141.7,154.1,166.1,175.6,184.8,195.7,205.4,213.4,223.1,224.8,220.7,218.2,215.9,212.6,210.9,208.9,211,216.3,222.2,238.3,262.5,279.5,300.5,314.7,331.4,353.4,373.5,396.1,409.2,409.6
"33","26","          Compensation of general government employees","B237RC1",40,41.9,43.4,45.6,46.1,47.7,50.2,51.8,53.9,57.6,60.9,66.7,76.3,84.8,89.3,95.9,102.4,106.2,109.5,113.8,117.9,121.2,126.8,126.8,121,117.4,114.1,112,111.4,110.8,112.7,116.9,123.2,139.4,160.5,172.2,186.1,192.9,201.5,214.4,228.8,245,251.2,248.6
"34","27","          Consumption of general government fixed capital \2\","B432RC1",20.3,21.3,21.9,22.3,23,24.6,26.3,28.1,30,32.2,34.5,38.1,42.8,47.8,52.5,58.2,63.7,69.4,75.3,81.9,87.5,92.2,96.4,98.1,99.7,100.8,101.8,100.6,99.5,98.2,98.4,99.4,99,99,101.9,107.3,114.4,121.8,129.9,139.1,144.6,151.1,157.9,161.1
"35","28","        Intermediate goods and services purchased \3\","W087RC1",24.6,21,19.6,19.7,18.9,20.9,21.8,21.8,24.9,27.2,31.9,40.9,49.6,58.7,64.8,67.7,73.7,80.1,84.8,89.4,89.4,94.5,99.7,95.4,93,90.8,87.4,91.4,93.5,91,101.7,104.4,117.2,135.8,163.6,184.7,194.6,206.9,216.6,252.4,263.1,280.6,278.5,266.3
"36","29","          Durable goods","A998RC1",6.5,6.1,4.6,5.5,5.3,5,5.8,5.7,7.6,9,10.8,12.3,15.7,19.1,24.6,26.6,29,31.7,33.6,33.4,32,31.6,31,28.4,26.4,22.9,20.9,20.8,20.9,20.9,22.2,22.1,22.3,23.2,25.7,28.8,29.6,33,36.3,42.9,45.8,47,44.8,44.2
"37","30","          Nondurable goods","A725RC1",7.6,5.4,4.4,4.7,4.3,5.2,5.1,4.4,4.5,4.9,6.2,10,11.8,11.5,11.3,10.4,9.9,10.2,10.2,10.6,10.8,11,10.7,9.4,8.5,7.6,6.3,7.6,7.6,7,8.2,10.4,10.3,11.5,13.4,17.1,20.9,22.3,23.8,30.5,24.4,26.8,33.3,31.2
"38","31","          Services","A489RC1",10.5,9.6,10.6,9.5,9.3,10.7,10.9,11.7,12.7,13.3,14.9,18.7,22,28.1,28.9,30.7,34.7,38.3,40.9,45.4,46.5,51.8,58.1,57.6,58.1,60.3,60.1,62.9,65,63,71.3,71.8,84.6,101.1,124.4,138.8,144.1,151.6,156.5,179.1,192.8,206.8,200.4,190.9
"39","32","      Less: Own-account investment \4\","W088RC1",2.1,2.3,2.4,2.7,2.8,2.9,3,3.1,3.2,3.5,3.8,4.1,4.6,5.4,6.3,7.3,8.3,9.1,9.3,9.7,10.3,10.6,10.4,10.3,10.2,10,10,9.8,9.8,9.7,9.7,10.4,12.2,13.8,14.6,14.8,15.7,16.9,18.6,19.3,19.5,19.9,20.9,20
"40","33","      Less: Sales to other sectors","W089RC1",0.2,0.2,0.1,0.5,0.9,1.4,1,0.4,0.6,0.6,0.6,0.9,1.1,1.3,0.6,0.9,0.8,0.8,1,1.2,1,1.9,1.8,2.4,2.7,4.5,2.2,2.6,2.1,1.8,1.8,2,2.1,2.3,2.6,2.7,3.5,4.4,3.4,3.8,3.8,3.7,3.9,3.9
"41","34","    Nondefense consumption expenditures \1\","A542RC1",17.8,20.5,24.3,27.8,29.6,33.6,38.6,40.8,44.7,49,53,61.3,68.4,71.1,78.3,78.4,86.2,90.7,88.6,86.7,96.7,106.4,113.3,122.7,126.9,132.8,136.6,136.9,146.2,148,154.3,166.8,180.3,202.2,219.5,234.6,247.5,263.6,272.3,297,320.4,350.7,345.8,359.7
"42","35","      Gross output of general government","W128RC1",20.7,23.5,27.5,31.5,33.6,37.8,43,45.9,50.5,55.8,61.1,69.9,76.9,79.4,87.2,87.6,95.7,100.3,99.2,98.2,109.2,119.5,127.9,136.9,141.1,147.7,151.6,152,159.9,163.2,168.4,182.6,195.6,217.6,235.9,251.8,267.5,282.4,290.6,316.7,341.5,373.4,370.8,380.1
"43","36","        Value added","W129RC1",16.6,19.2,22.1,24.4,26.6,29.5,33,36.3,39.8,43.7,47.1,52.5,56.9,60.4,63.2,67,70.3,71.7,73.7,80.2,84.7,90.9,98.2,102.9,109,112.5,115.4,117.9,121.4,126.1,132.7,142.4,147,157.8,169.6,178.1,187,194.9,204.9,216.9,230.2,247.5,253.8,256.8
"44","37","          Compensation of general government employees","W130RC1",11.5,13.3,15.5,17,18.4,20.1,22.3,24.7,27,29.5,31.1,34,35.9,37.2,38.4,40.7,42.6,42.9,43.6,48.1,50.6,54.8,59.7,62.8,67.1,68.7,69.2,70.2,72,75.1,79,85.5,88,97,106.4,112.1,117.6,121.9,128.1,135.9,146.7,159.7,162,162.5
"45","38","          Consumption of general government fixed capital \2\","B546RC1",5.1,5.9,6.7,7.3,8.2,9.4,10.7,11.7,12.8,14.2,16.1,18.4,21,23.2,24.7,26.3,27.7,28.8,30.1,32.1,34.1,36.1,38.4,40.1,42,43.7,46.2,47.7,49.4,51,53.6,56.9,59,60.8,63.2,66,69.4,73,76.9,81,83.5,87.7,91.8,94.3
"46","39","        Intermediate goods and services purchased \3\","W131RC1",4.1,4.3,5.4,7.2,6.9,8.3,10,9.5,10.8,12.1,13.9,17.4,20.1,19,24,20.5,25.4,28.6,25.5,18,24.5,28.6,29.7,34,32.1,35.3,36.2,34.1,38.5,37.1,35.7,40.2,48.7,59.8,66.3,73.8,80.5,87.5,85.7,99.9,111.3,126,116.9,123.3
"47","40","          Durable goods","A543RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1.1,1.2,1.4,1.5,1.6,1.6,1.5,1.4,1.5,1.6,1.5,1.7,1.8,1.9,2.2,2.3,2.5,2.7,3,3,3.3,3.5,3.9,3.7,3.8
"48","41","          Nondurable goods","A729RC1",1.4,0.5,0.9,1.2,1,1.4,2.1,2.1,2.5,3.2,3.3,5.5,8.7,7.5,10.1,5.8,8.9,11.7,6.2,-0.8,5.1,5,5.9,6.5,7.6,6.1,7.5,6.6,8.5,9.4,7.2,9.3,12.2,12.7,15.6,17.2,19.1,20.2,20,23.7,26.4,28.4,26.6,28.4
"49","42","            Commodity Credit Corporation inventory change","B826RC1",0.7,-0.4,-0.3,-0.4,-0.7,-0.5,0.3,0.2,0.4,0,0,1.5,0.9,1.7,2.5,-1.8,2.2,6.4,-0.2,-7.1,-0.8,-1.5,0.2,-0.6,-0.2,-0.5,-0.2,-0.3,-0.1,0.2,0.1,0.8,0.8,0.1,-0.1,-1,-0.5,-0.1,-0.1,-0.3,0.1,-0.2,0,0.1
"50","43","            Other nondurable goods","B828RC1",0.7,0.9,1.2,1.5,1.6,1.9,1.9,2,2.1,3.1,3.3,4,7.9,5.9,7.6,7.7,6.7,5.3,6.4,6.3,6,6.5,5.7,7.1,7.8,6.6,7.7,6.9,8.6,9.2,7.1,8.5,11.4,12.6,15.7,18.2,19.6,20.2,20.1,24,26.3,28.6,26.6,28.4
"51","44","          Services","A544RC1",2.6,3.6,4.4,5.8,5.8,6.7,7.6,7.1,7.8,8.4,10,11.2,10.5,10.7,13.1,13.9,15.7,16.1,18.3,17.7,18.2,22.2,22.3,25.9,22.9,27.7,27.3,26,28.4,26.2,26.9,29,34.6,44.8,48.5,54,58.8,64.3,62.7,72.9,81.4,93.7,86.7,91
"52","45","      Less: Own-account investment \4\","W136RC1",2.1,2.3,2.4,2.6,2.7,2.8,3.1,3.3,3.3,3.7,4,4.5,4.8,5,5.1,5.3,5.7,6,6.4,6.8,7.5,8.3,9,9.5,10.1,10.4,10.6,10.6,10.6,10.9,11,11.2,12.3,12.7,13.3,13.7,14.2,14.3,14.2,14.7,15.4,15.7,15.9,15.1
"53","46","      Less: Sales to other sectors","W137RC1",0.8,0.7,0.8,1.2,1.3,1.4,1.3,1.8,2.5,3.1,4,4.1,3.8,3.4,3.8,3.8,3.8,3.7,4.2,4.7,5,4.8,5.6,4.8,4.2,4.6,4.4,4.6,3.1,4.3,3,4.6,3,2.7,3.1,3.6,5.8,4.4,4.1,5,5.7,7.1,9.1,5.3
"54","47","State and local consumption expenditures \1\","A991RC1",80.4,92.1,104.2,115.4,126.8,144.5,165.6,177.2,193,209.9,229.4,252.8,276.1,297.4,316.7,340,371.8,399.9,428.3,458.9,501.3,546.2,580.1,619,646.5,682.2,716.8,748.1,785.9,835.7,902,969.1,1039.7,1091,1127.1,1187.6,1256.6,1325.9,1411.4,1488.7,1508.4,1518.3,1517.4,1536.4
"55","48","      Gross output of general government","W138RC1",94.2,107.3,121.4,134.4,147.9,167.8,191.2,205.7,224.4,245.4,270.3,298.9,329,356.9,382.9,411.7,450.5,486.1,521.3,560.5,614.6,670.8,718.3,771.9,813.8,861.1,908.6,948.9,998.7,1058.7,1137.1,1223.7,1316.3,1381.8,1432.5,1510.1,1594.1,1685,1788,1879.7,1913.9,1942.3,1963.1,1999.7
"56","49","        Value added","W139RC1",72.4,82,92.2,102.4,112.6,125.2,140.7,150.8,163.5,178.8,196.4,217.3,237.8,256.9,273.9,293.3,319.1,344.4,371.2,400.8,438.8,480.3,513.7,553,580,609.9,638.2,663.4,694.7,732.3,780,831.8,891.3,937.8,981.7,1037.9,1086.8,1142.8,1210.2,1273.2,1304,1332.3,1339.4,1357.3
"57","50","          Compensation of general government employees","B251RC1",64.6,73.2,82.4,91.7,100.7,110.5,124,133.3,145.1,158.9,174.2,191.6,208.5,224.8,240.9,259.2,283.2,305.8,329.6,356.3,391.1,428.7,458.5,495.3,519.2,545.5,569.6,591.4,619,652.5,695.1,740.4,794.4,836.4,876.5,926.3,965,1011.1,1065.5,1117.7,1141.9,1167.4,1168,1178.5
"58","51","          Consumption of general government fixed capital \2\","B986RC1",7.8,8.8,9.9,10.7,11.9,14.7,16.7,17.4,18.4,19.9,22.2,25.7,29.4,32.1,33.1,34.1,35.9,38.6,41.6,44.5,47.7,51.6,55.1,57.6,60.8,64.3,68.6,72,75.7,79.8,84.9,91.4,96.9,101.4,105.2,111.6,121.8,131.7,144.7,155.5,162.1,164.9,171.4,178.8
"59","52","        Intermediate goods and services purchased \3\","W140RC1",21.8,25.3,29.1,32,35.3,42.6,50.5,55,60.8,66.6,73.9,81.6,91.1,100,109,118.4,131.4,141.7,150,159.8,175.8,190.5,204.7,218.9,233.8,251.3,270.3,285.5,304.1,326.4,357.1,391.9,425,444,450.8,472.2,507.3,542.2,577.8,606.6,609.9,610,623.7,642.4
"60","53","          Durable goods","B989RC1",1.3,1.6,1.9,2.2,2.5,2.9,3.3,3.6,4,4.4,4.9,5.3,6.1,6.6,7.2,7.8,8.4,9.2,9.8,10.4,11.3,11.9,12.7,13.2,13.7,14.4,15.5,15.9,16.9,18.4,19.8,20.9,22.1,22.1,21.5,22,22.5,23.1,23.9,24,25.1,24.1,23.5,23.7
"61","54","          Nondurable goods","B337RC1",7.8,9,10.2,10.9,12.3,15.4,18.8,21.2,24.1,26.1,29.9,33.6,37,38.2,39.7,42.5,45.3,45.3,48.9,51.4,57.3,63.3,65.5,68.6,72.2,76.8,83.9,89.9,93.4,95.8,106.3,123.7,131.3,134,140.9,154.4,174.8,190.5,207.1,230.1,212,221.1,240.4,247.8
"62","55","          Services","A988RC1",12.7,14.8,17.1,19,20.5,24.2,28.4,30.1,32.8,36.1,39.2,42.7,48.1,55.2,62.2,68.1,77.7,87.1,91.4,97.9,107.2,115.2,126.5,137.1,147.9,160,171,179.8,193.8,212.1,231,247.2,271.6,287.9,288.4,295.7,310,328.6,346.8,352.4,372.8,364.8,359.8,370.9
"63","56","      Less: Own-account investment \4\","W144RC1",1.9,2.1,2.2,2.3,2.4,2.8,3,3,3.1,3.5,4.3,4.9,5.3,5.7,6.1,7,7.9,8.8,9.5,10.4,11.9,13.1,14.1,14.4,14.8,15.4,16.1,16.8,18.5,19.3,20.7,22.8,25.2,26.1,26.6,27.8,29.6,31.6,33.6,35.8,36.2,35.2,34.8,35.2
"64","57","      Less: Sales to other sectors","W145RC1",11.8,13.1,14.9,16.7,18.7,20.5,22.6,25.6,28.3,32,36.6,41.2,47.6,53.8,60.1,64.7,70.8,77.4,83.4,91.2,101.4,111.6,124.1,138.4,152.5,163.5,175.6,184,194.3,203.7,214.4,231.8,251.4,264.6,278.8,294.7,308,327.5,343,355.2,369.4,388.8,410.9,428.2
"65","58","        Tuition and related educational charges","B1065C1",1.9,2.4,2.9,3.2,3.7,4,4.3,4.7,5.2,5.8,6.4,7.2,8.3,9.4,10.6,11.7,12.7,13.8,15,16.6,18.4,20.3,22.6,25.4,27.4,29.3,31.1,32.9,35.4,37.9,40.5,43.6,46.1,49.3,53.4,56.7,60.9,65.7,69.6,73.8,79.2,85.2,92.2,98.7
"66","59","        Health and hospital charges","B1066C1",3.5,3.8,4.6,5.6,6.6,7.4,8.5,9.9,10.9,12.7,15.2,17.3,21,24.5,27.8,29.4,32,34.8,37,40.3,45,50,57,65.3,73.1,78.8,85,86.6,89.9,93.4,96.7,104,116.2,120.7,124.8,130.9,132.3,141.3,149.8,157.6,167,175.3,184.5,192
"67","60","        Other sales \5\","W146RC1",6.4,6.9,7.4,7.9,8.4,9.1,9.9,11,12.2,13.6,15,16.6,18.4,20,21.7,23.7,26.1,28.8,31.4,34.3,38,41.3,44.5,47.7,52,55.4,59.5,64.5,69.1,72.4,77.2,84.2,89.1,94.5,100.5,107.1,114.8,120.5,123.5,123.7,123.3,128.3,134.2,137.6
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
