"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","          Nondefense","A798RC1",0.2,0.2,0.3,0.4,0.6,0.7,1.1,1,0.9,0.9,0.8,0.8,1.1,1,0.9,0.7,0.5,0.3,0.6,1.2,1.6,1.9,1.9,2,1.7,1.5,1.2,1.7,2.2,2.7,2.8,3.6,4.3,5.4,7.2,8.8,10,11.4,10.6,11.2,11.3
"12","5","        State and local","A799RC1",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7,7.4,8,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8
"13","6","Structures \2\","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29
"14","7","  Federal","A801RC1",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1,1,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3,3.4,4,4,3.9,4.2,4.1,4,3.8,3.9,4.1,3.4,3.3,3.4
"15","8","    National defense","A808RC1",0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2,1.6,1.3,1.1,1.3,1.2,1.2,1.5
"16","9","      New","A814RC1",0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.7,3.6,10.3,5.9,2.5,1.7,0.6,0.4,0.5,0.4,0.5,2,3.3,3.3,2.7,2.3,2.1,2.2,2.4,2.5,2.1,2.2,1.8,1.6,1.3,1.3,1.3,1.3,1.4,1.6
"17","10","        Buildings","A815RC1",0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,1.5,3.8,2.6,1.4,0.8,0.4,0.1,0.2,0.2,0.2,1,1.7,1.8,1.5,0.7,0.5,0.7,0.8,0.8,0.6,0.7,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.4
"18","11","          Residential","B816RC1",0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.2,0.4,0.7,0.2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2
"19","12","          Industrial","B817RC1",0,0,0,0,0,0,0,0,0,0,0,0.2,1.3,3.4,1.9,1.2,0.8,0.1,0.1,0.2,0.2,0.2,1,1.7,1.8,1.5,0.7,0.5,0.5,0.4,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2
"20","13","        Military facilities \3\","B818RC1",0,0,0.1,0,0,0.1,0,0,0,0.1,0.2,0.5,2.1,6.5,3.3,1.1,0.9,0.2,0.3,0.2,0.2,0.2,1,1.6,1.5,1.2,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.4,1.3,1,1,1.1,1.1,1.1,1.2
"21","14","      Net purchases of used structures","B819RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,-0.1,0,0,-0.3,-0.2,-0.1,-0.1,0,0,0,0,0,-0.1,0,0.1,0.2,0.1,0.1,0.2,0.2,0,0,-0.2,-0.1,-0.1,-0.1,-0.1
"22","15","    Nondefense","A830RC1",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0,0.3,0.7,1.1,1.1,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9
"23","16","      New","A831RC1",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.2,0.2,0.3,0.5,0.8,1.1,1.1,1.1,1.1,1.1,0.9,0.8,0.9,1.1,1.2,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.8,2.2,2.1,1.9
"24","17","        Buildings","A832RC1",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.5,0.7,0.9,1,0.9,0.4,0.4,0.4
"25","18","          Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"27","20","          Educational \4\","B835RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","21","          Hospital","B836RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1
"29","22","          Other \5\","B837RC1",0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.8,0.8,0.7,0.3,0.3,0.2
"30","23","        Highways and streets \6\","B838RC1",0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"31","24","        Conservation and development","B839RC1",0.1,0.1,0.1,0.1,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0.1,0.2,0.4,0.6,0.8,0.8,0.8,0.9,0.8,0.7,0.6,0.7,0.8,0.9,1,1,1.2,1.3,1.3,1.4,1.5,1.7,1.5,1.4,1.2
"32","25","        Other \7\","B840RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
"33","26","      Net purchases of used structures","B841RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,-0.1,0,0,-0.3,-0.2,-0.1,-0.1,0,0,0,0,0,-0.1,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0
"34","27","  State and local","A842RC1",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16,17.2,19,21,23,25.2,25.6
"35","28","    New","A843RC1",2.3,2.6,2.4,1.5,1.1,1.6,1.4,2.7,2.3,2.7,3.1,2.4,2,1.4,0.7,0.6,0.7,1.4,2.5,3.5,4.8,5.2,6.3,6.6,7.1,8.3,8.9,10,11.1,12.1,12.3,12.2,13.3,14,15.4,16.5,18,20,22.1,24.2,24.7
"36","29","      Buildings","A844RC1",0.6,0.6,0.5,0.3,0.1,0.3,0.3,0.6,0.5,0.6,1,0.6,0.5,0.4,0.1,0.1,0.1,0.3,0.6,1.1,1.9,2.2,2.9,2.9,3,3.3,3.7,3.8,4.3,4.5,4.3,4.5,4.9,5,5.3,5.8,6.4,7.6,9,9.5,10.2
"37","30","        Residential","B845RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0.2,0.1,0.3,0.3,0.6,0.6,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.6,0.7,0.4,0.5,0.5,0.6,0.7,0.7,0.9
"38","31","        Industrial","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RC1",0.4,0.4,0.3,0.1,0,0.1,0.2,0.4,0.3,0.3,0.5,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.6,0.9,1.1,1.5,1.6,1.7,2.1,2.4,2.5,2.8,2.9,2.6,2.8,3,3,3.5,3.8,4.3,5.3,6,6,5.9
"40","33","        Hospital","B848RC1",0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7
"41","34","        Other \5\","B849RC1",0.1,0.1,0.2,0.1,0,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0,0,0,0,0,0.1,0.2,0.4,0.4,0.4,0.3,0.4,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.8,2.1,2.8
"42","35","      Highways and streets \9\","B851RC1",1.3,1.5,1.3,0.9,0.8,0.9,0.8,1.3,1.2,1.4,1.3,1.3,1,0.7,0.4,0.4,0.4,0.7,1.3,1.6,2,2.1,2.3,2.6,3,3.6,3.8,4.3,4.8,5.4,5.7,5.3,5.7,6.2,6.9,7,7.4,8.2,8.3,9.1,9
"43","36","      Conservation and development","B857RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6
"44","37","      Sewer systems","B858RC1",0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1.1,0.9,1.3,1.2,1.3,1.1,1.6,1.3
"45","38","      Water systems","B859RC1",0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.3,1.1,1.3,1.5,1.3
"46","39","      Other \7\","B860RC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.6,0.7,0.8,0.9,0.8,1,1.1,1.3,1.4,1.8,2,2.1
"47","40","    Net purchases of used structures","B870RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1,1,1,0.9
"48","41","Equipment","Y054RC1",0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32,33.3,21.2,1.6,1.3,2.3,3.2,2.6,7.9,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15,13.6,12.9
"49","42","  Federal","Y058RC1",0,0,0.1,0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,4.1,16.2,31.9,33.2,21.1,1.4,1,1.8,2.8,2.1,7.4,10.5,11.7,9.5,8,8,8.4,8.6,10.9,10.4,11.8,12.8,11.3,10.7,9.4,11,12.9,11.3,10.3
"50","43","    National defense","Y050RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,3.6,15.7,31.5,33,21,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.3,7.8,7.8,8.2,8.5,10.7,10.1,11.5,12.5,10.9,10.1,8.9,10.4,12.2,10.8,9.7
"51","44","      Aircraft","B874RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","      Missiles","B875RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","      Ships","B876RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","      Vehicles","B877RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","      Electronics","Y051RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","      Other equipment","B879RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Nondefense","Y066RC1",0,0,0,0,0,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.5,0.6,0.6,0.5,0.6
"58","51","  State and local","Y070RC1",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.3,2.6
"59","52","Intellectual property products \2\","Y055RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3,3.6,4.8,5.9,6.4,7,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17,17.7
"60","53","  Federal","Y059RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.5,1.5,1.4,1.3,1.5,1.7,1.8,2,2.3,2.6,2.9,3.5,4.7,5.7,6.3,6.8,7.6,8.6,9.6,11.4,12.6,13.4,15,15.7,16.5,17.1
"61","54","    National defense","Y052RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.7,7,7.9,7.9,8.2
"62","55","      Software","Y053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"63","56","      Research and development","Y076RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.6,7,7.8,7.8,8.1
"64","57","    Nondefense","Y067RC1",0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2.1,2.9,4.5,5.7,6.8,7.9,7.8,8.6,8.8
"65","58","      Software","Y068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3
"66","59","      Research and development","Y069RC1",0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2,2.9,4.4,5.6,6.7,7.8,7.7,8.4,8.6
"67","60","  State and local","Y071RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7
"68","61","    Software","Y072RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
"69","62","    Research and development","Y073RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5
"70",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","63","  Government enterprise gross fixed investment","A882RC1",0.5,0.6,0.6,0.4,0.3,0.4,0.4,0.9,0.7,0.8,0.9,0.9,0.8,1.5,2,1.5,0.2,0.5,0.9,1.2,1.6,1.7,2.1,2.2,2.2,2.1,2.2,2.6,2.9,3.3,3.6,3.8,4.2,4.5,4.6,5.4,5.7,5.8,6.5,7.6,7.7
"72","64","    Federal","A883RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1.8,1.3,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9
"73","65","      Structures","B884RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.5
"74","66","      Equipment","Y074RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,1.3,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
"75","67","      Intellectual property products","Y075RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","68","    State and local","A886RC1",0.5,0.6,0.6,0.4,0.2,0.4,0.4,0.8,0.7,0.8,0.9,0.9,0.7,0.5,0.2,0.2,0.2,0.5,0.9,1.1,1.4,1.4,1.8,1.9,2,2,2.1,2.5,2.7,3,3.3,3.3,3.7,4,4,4.7,5,5.1,5.7,6.8,6.9
"77","69","      Structures","B887RC1",0.5,0.6,0.6,0.4,0.2,0.3,0.4,0.8,0.6,0.8,0.9,0.8,0.7,0.5,0.2,0.1,0.2,0.4,0.8,1,1.3,1.4,1.8,1.8,1.9,1.9,2,2.3,2.5,2.8,3.1,3.1,3.5,3.8,3.8,4.5,4.8,4.8,5.4,6.5,6.5
"78","70","      Equipment","Y077RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4
"79","71","      Intellectual property products","Y078RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
