"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Plus: Imports of goods and services","B021RA3",2.774,2.827,2.507,2.642,2.98,3.098,3.26,3.207,3.111,3.065,2.94,2.984,3.068,3.237,3.995,4.002,4.003,3.87,3.542,3.449,3.85,3.83,4.064,4.429,4.319,4.543,4.526,4.303,4.055,4.42,4.153,4.192,4.44,4.692,4.771,4.944,5.151,5.125,5.169,4.932,5.324,5.366,5.262,5.28,5.359,5.588,5.503,5.791,5.94,6.228,6.286,6.126,6.359,6.406,6.218,5.925,5.896,5.968,6.363,6.514,6.712,6.859,6.946,7.031,6.868,7.03,7.208,7.185,7.178,7.339,7.536,7.74,7.462,8.342,8.376,8.785,9.012,9.236,9.754,9.863,10.017,9.938,10.068,10.599,11.224,11.395,12.08,11.978,10.848,12.989
"12","4","Equals: Gross domestic purchases","B712RA3",12.756,12.761,12.749,13.097,13.391,13.713,13.798,13.832,13.538,13.492,13.69,13.667,14.239,14.693,15.369,15.618,15.8,15.982,16.233,16.261,16.464,16.59,16.812,17.421,17.737,17.908,17.777,17.494,17.403,17.388,17.566,17.882,18.408,18.767,18.983,19.121,19.042,19.138,19.1,19.334,19.459,19.452,19.656,19.484,19.081,19.237,19.667,20.172,20.514,21.025,20.965,21.049,21.438,21.298,21.351,21.027,21.175,21.598,22.024,22.462,22.901,23.065,23.366,23.493,23.707,23.911,24.473,24.587,25.048,25.35,25.736,25.818,26.57,26.83,27.468,28.08,28.836,28.923,29.26,29.479,29.744,29.773,30.086,30.359,31.017,31.534,31.76,31.909,32.452,32.517
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",9.427,9.885,9.715,8.636,8.182,7.279,7.226,6.861,7.569,7.406,6.729,5.759,5.585,5.637,5.713,6.183,6.644,7.515,7.899,7.857,8.066,7.135,6.516,6.533,6.443,6.46,6.673,6.405,6.06,6.891,6.66,6.955,7.211,7.034,7.483,7.519,7.859,8.396,8.68,9.12,9.746,9.466,9.161,8.829,7.813,7.787,7.787,7.765,8.189,8.448,8.754,8.576,9.647,10.206,9.95,10.078,10.045,10.023,9.929,10.291,10.237,11.076,10.427,10.19,10.39,11.577,10.917,11.399,12.077,12.233,12.18,12.631,11.482,13.531,12.707,13.48,13.387,13.961,13.482,14.058,14.53,14.295,13.808,14.129,14.488,14.923,15.447,15.144,13.397,16.209
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",3.089,3.334,3.07,3.276,3.731,3.842,3.931,3.807,3.623,3.553,3.415,3.471,3.634,3.893,4.855,5.012,5.263,5.34,5.019,4.846,5.177,5.046,5.224,5.582,5.392,5.604,5.536,5.247,4.977,5.438,5.145,5.19,5.41,5.69,5.759,5.948,6.156,6.114,6.138,5.875,6.301,6.311,6.108,6.035,5.934,6.099,5.982,6.303,6.442,6.768,6.838,6.703,6.924,6.948,6.747,6.383,6.352,6.413,6.816,6.961,7.058,7.2,7.249,7.358,7.215,7.409,7.632,7.597,7.627,7.813,7.974,8.183,7.923,8.779,8.834,9.295,9.528,9.778,10.216,10.313,10.438,10.268,10.312,10.747,11.332,11.471,12.059,11.875,10.697,12.693
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",13.683,13.714,13.733,14,14.14,14.316,14.4,14.461,14.234,14.125,14.309,14.176,14.739,15.162,15.747,16.076,16.318,16.605,16.907,16.925,17.083,17.083,17.279,17.845,18.173,18.314,18.221,17.922,17.808,17.805,18.04,18.416,18.971,19.255,19.519,19.703,19.634,19.729,19.747,20.029,20.213,20.173,20.341,20.035,19.574,19.681,20.21,20.754,21.084,21.566,21.519,21.605,22.138,22.03,22.065,21.765,21.94,22.37,22.752,23.241,23.676,23.891,24.114,24.195,24.444,24.778,25.257,25.472,26,26.286,26.629,26.741,27.44,27.811,28.35,29.007,29.751,29.843,30.102,30.384,30.689,30.689,30.968,31.226,31.866,32.404,32.621,32.771,33.308,33.396
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",1.821,1.946,1.958,2.159,2.29,2.379,2.461,2.359,2.376,2.301,2.276,2.119,2.273,2.393,2.708,2.689,2.608,2.981,3.079,3.194,2.99,3.062,3.013,2.996,2.961,3.103,2.872,2.933,3.055,3.039,3.067,3.382,3.49,3.538,3.593,3.656,3.963,3.893,4.006,3.633,4.118,4.359,4.232,3.557,3.638,3.605,3.572,3.61,3.662,3.739,4.019,4.277,4.353,4.358,4.467,4.557,4.771,4.622,4.768,4.896,4.816,5.179,5.236,5.849,5.645,5.576,5.738,5.937,6.325,6.2,6.331,6.129,6.772,6.968,6.678,6.322,6.519,6.573,6.63,6.914,6.869,6.72,7.149,7.149,7.456,7.743,7.972,7.958,8.308,8.532
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",0.762,0.752,0.735,0.868,0.822,0.83,0.971,0.857,1,0.977,1.014,1.025,1.078,1.109,1.128,1.141,1.216,1.228,1.206,1.174,1.12,1.198,1.204,1.248,1.246,1.241,1.279,1.341,1.28,1.267,1.249,1.254,1.298,1.41,1.439,1.436,1.447,1.407,1.47,1.482,1.491,1.479,1.51,1.512,1.524,1.417,1.488,1.566,1.652,1.74,1.843,1.953,2.179,2.108,2.077,1.987,2.012,2.029,2.109,2.173,2.083,2.117,2.134,2.162,2.18,2.289,2.391,2.471,2.509,2.571,2.573,2.722,2.757,2.812,2.892,2.979,3.035,3.096,3.304,3.4,3.404,3.392,3.364,3.534,3.757,4.007,4.115,4.164,4.615,5.152
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",13.599,13.636,13.656,13.924,14.07,14.248,14.33,14.39,14.162,14.051,14.23,14.091,14.654,15.077,15.669,15.994,16.227,16.527,16.831,16.856,17.004,17.005,17.197,17.754,18.078,18.224,18.121,17.825,17.72,17.716,17.951,18.337,18.89,19.169,19.432,19.617,19.561,19.654,19.674,19.937,20.14,20.111,20.271,19.939,19.485,19.593,20.113,20.65,20.977,21.454,21.416,21.51,22.033,21.928,21.969,21.679,21.86,22.279,22.661,23.149,23.578,23.806,24.029,24.135,24.372,24.696,25.174,25.393,25.931,26.206,26.552,26.649,27.368,27.742,28.26,28.892,29.635,29.726,29.978,30.267,30.566,30.56,30.856,31.106,31.745,32.283,32.503,32.65,33.181,33.26
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",14.959,14.983,14.998,15.33,15.508,15.728,15.83,15.903,15.613,15.47,15.69,15.518,16.208,16.723,17.435,17.825,18.106,18.44,18.791,18.786,18.954,18.923,19.135,19.805,20.178,20.318,20.168,19.762,19.585,19.55,19.812,20.252,20.913,21.235,21.535,21.735,21.615,21.703,21.692,22.015,22.213,22.129,22.303,21.882,21.263,21.361,21.99,22.641,23.031,23.608,23.525,23.608,24.249,24.086,24.101,23.695,23.878,24.38,24.823,25.397,25.899,26.131,26.367,26.425,26.691,27.063,27.615,27.836,28.449,28.758,29.136,29.225,30.04,30.445,31.056,31.812,32.672,32.722,32.979,33.265,33.579,33.514,33.797,34.054,34.787,35.392,35.596,35.72,36.318,36.366
"21","12","  Net domestic product","A362RA3",14.629,14.595,14.568,14.829,15.08,15.359,15.455,15.469,15.222,15.157,15.337,15.176,15.853,16.383,17.08,17.432,17.68,18.001,18.393,18.411,18.602,18.615,18.735,19.393,19.762,19.901,19.742,19.372,19.236,19.228,19.446,19.847,20.459,20.805,21.092,21.207,21.082,21.247,21.196,21.561,21.687,21.6,21.805,21.511,20.833,20.956,21.482,22.032,22.478,23.08,23.006,23.084,23.648,23.519,23.557,23.201,23.348,23.812,24.233,24.76,25.23,25.503,25.74,25.812,26.096,26.442,26.986,27.161,27.787,28.118,28.504,28.569,29.319,29.718,30.346,31.099,31.905,31.991,32.186,32.436,32.711,32.68,32.939,33.179,33.886,34.474,34.694,34.807,35.357,35.426
"22","13","  Command-basis net national product \4\","C027RA3",14.846,14.877,14.894,15.227,15.412,15.633,15.733,15.804,15.513,15.368,15.582,15.404,16.092,16.605,17.325,17.71,17.979,18.329,18.683,18.685,18.842,18.812,19.019,19.678,20.045,20.191,20.028,19.628,19.462,19.427,19.689,20.14,20.798,21.114,21.412,21.613,21.512,21.596,21.589,21.887,22.109,22.04,22.204,21.75,21.143,21.242,21.858,22.501,22.885,23.455,23.385,23.476,24.103,23.946,23.968,23.576,23.768,24.254,24.696,25.268,25.763,26.01,26.247,26.336,26.587,26.946,27.496,27.721,28.346,28.643,29.023,29.094,29.933,30.341,30.925,31.649,32.506,32.556,32.805,33.098,33.406,33.334,33.639,33.885,34.617,35.22,35.43,35.549,36.14,36.176
"23","14","  Net national product","A027RA3",14.556,14.527,14.5,14.763,15.021,15.302,15.398,15.412,15.162,15.095,15.271,15.102,15.778,16.307,17.016,17.363,17.604,17.941,18.334,18.36,18.54,18.554,18.67,19.319,19.683,19.827,19.656,19.29,19.165,19.157,19.373,19.787,20.396,20.736,21.021,21.138,21.031,21.193,21.147,21.487,21.639,21.565,21.76,21.433,20.765,20.889,21.404,21.947,22.388,22.984,22.921,23.008,23.559,23.436,23.481,23.137,23.294,23.743,24.164,24.689,25.153,25.442,25.678,25.78,26.05,26.383,26.927,27.106,27.746,28.064,28.453,28.501,29.273,29.677,30.28,31.002,31.808,31.893,32.081,32.338,32.608,32.571,32.851,33.081,33.787,34.374,34.599,34.71,35.255,35.313
"24",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",NA,-0.4,-0.4,6.5,6,6.7,2.2,0.4,-5.4,-1.3,4.5,-3.5,16.9,12.7,16.3,8,5.6,7.1,8.5,0.9,4.3,0.8,2.9,13.8,7.7,3.2,-2.2,-5.9,-1.9,0.4,4.6,8,11.9,6.7,5.5,2.4,-1.5,3.3,-0.3,6.7,2.6,-0.9,4,-4.1,-10,2.7,9.6,9.7,7.7,10.1,-0.8,1.6,9.2,-1.5,1,-4.8,2.7,7.7,6.8,8.4,7.4,4.4,3.9,1.6,4.5,5.3,8,2.9,8.9,4.8,5.5,1.4,10.2,5.6,8.4,9.8,10.3,1.6,2.9,3.5,3.7,0.3,3.5,3.3,8.4,6.9,2.9,1.8,6.4,1.3
"26","16","    Command-basis gross domestic product","C191RL1",NA,0.9,0.6,8,4.1,5.1,2.4,1.7,-6.1,-3,5.3,-3.7,16.9,12,16.3,8.6,6.2,7.2,7.5,0.4,3.8,0,4.7,13.8,7.6,3.1,-2,-6.4,-2.5,-0.1,5.4,8.6,12.6,6.1,5.6,3.8,-1.4,1.9,0.4,5.8,3.7,-0.8,3.4,-5.9,-8.9,2.2,11.2,11.2,6.5,9.5,-0.9,1.6,10.2,-1.9,0.6,-5.3,3.3,8.1,7,8.9,7.7,3.7,3.8,1.4,4.2,5.6,8,3.4,8.6,4.5,5.3,1.7,10.9,5.5,8,9.6,10.7,1.2,3.5,3.8,4.1,0,3.7,3.4,8.5,6.9,2.7,1.9,6.7,1.1
"27","17","    Real gross national product","A001RL1",NA,-0.4,-0.4,6.5,6.2,6.7,2.3,0.4,-5.4,-1.4,4.4,-3.7,17,12.7,16.7,7.9,5.5,7.5,8.6,1,4.1,0.8,2.9,13.7,7.6,3.3,-2.5,-5.9,-1.7,0.4,4.6,8.3,11.9,6.6,5.5,2.5,-1.2,3.3,-0.2,6.3,3,-0.7,3.8,-4.6,-9.9,2.7,9.4,9.6,7.6,10,-0.6,1.7,9,-1.4,1.1,-4.6,2.9,7.4,6.8,8.4,7.3,4.6,3.9,2,4.3,5.2,8,2.9,9.2,4.7,5.6,1.2,10.6,5.6,8.1,9.4,10.3,1.6,2.8,3.6,3.7,0.3,3.7,3.2,8.4,6.9,3,1.8,6.3,1.2
"28","18","    Command-basis gross national product","CB22RL1",NA,1.1,0.6,8.1,4.3,5.2,2.3,1.7,-6.2,-3.1,5.2,-3.9,17,12.1,16.7,8.6,6,7.6,7.6,0.6,3.6,0,4.6,13.6,7.5,3.3,-2.2,-6.4,-2.3,-0.1,5.4,8.9,12.6,6,5.6,3.9,-1.1,1.9,0.4,5.5,4.1,-0.6,3.2,-6.4,-8.8,2.2,11,11.1,6.5,9.4,-0.7,1.8,10.1,-1.9,0.8,-5.2,3.4,7.9,7,8.9,7.6,3.9,3.8,1.8,4,5.4,8,3.5,8.7,4.3,5.4,1.5,11.2,5.6,7.7,9.3,10.7,1.2,3.4,3.9,4,-0.1,3.9,3.3,8.5,7,2.8,1.8,6.7,1
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
