"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","  Posttabulation amendments and revisions \1\","B1175C1",0.1,0.1,0.1,0.2,0.5,0.2,0.2,0.4,0.3,0.4,0.4,0.5,0.5,-2.6,-4,-2.9,-1.4,-0.5,-1,-0.8,-0.8,-1,-1.1,-1.3,-1.4,-0.5,-1.9,-2.2,-2.1,-0.2,0.6,1.3,0.6,0.2,0.2,0.2,0.4,0.1,0.1,0.3,0.5
"12","4","  Income of organizations not filing corporation income tax returns","A1629C1",0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.8,1,1.2,1,1.1,1.1,1.3,1.6,2,2.2,2.8,3.4
"13","5","    Federal Reserve banks","B1630C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1,1.1,1.3,1.7,2,2.5,3.1
"14","6","    Federally sponsored credit agencies \2\","B1631C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"15","7","    Other \3\","B1632C1",0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"16","8","  Depletion on domestic minerals","B1176C1",0.6,0.5,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.9,1.5,1.2,1.4,1.6,1.6,1.7,1.8,2.1,2.4,2.6,2.4,2.5,2.7,2.7,2.8,2.9,3.3,3.4,3.6,3.9,4.3,4.2
"17","9","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1",0.1,0,0,0,-0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.3,0.3,0.6,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.1,0.8,0.8,0.6,0.5,0.6,0.4,0.4,0.4,0.3,0.3,0.2,0.3
"18","10","  State and local taxes on corporate income","B1179C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6
"19","11","  Interest payments of regulated investment companies","B1181C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2
"20","12","  Bad debt expense","B1182C1",0.9,1,1.2,1.3,1.2,1.2,1,0.9,0.8,0.7,0.7,0.6,0.7,0.5,0.4,0.3,0.3,0.3,0.7,0.7,0.8,0.8,0.8,0.9,1.1,1.4,1.7,1.9,1.9,2.1,2.3,2.8,3.1,3.5,3.5,3.9,4.2,4.3,4.4,4.9,5.9
"21","13","  Adjustment to depreciate expenditures for intellectual property products \4\","Y371RC1",0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.6,0.7,0.6,0.4,0.6,0.6,1.1,1.5,1.5,1.6,2.2,2.1,2.1,2.2,2.3,2.5,2.3,2.6,2.6,3.2,4.1,4.5,5,5.4
"22","14","  Disaster adjustments (net) \5\","W779RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"  Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Gains, net of losses, from sale of property","B1183C1",0.7,-0.2,-1.3,-1.6,-1.4,-0.1,0.2,0.4,0.1,0,0,-0.7,-1,-0.2,-0.2,0,0.6,1.1,0.7,0.7,0.6,1,1.1,1.1,0.8,1.8,1.7,1.7,1.6,2.8,1.8,2.6,4,3.4,3.6,3.9,5.2,5.4,7.5,8.9,7.8
"26","16","    Dividends received from domestic corporations","B1184C1",2.6,2.6,2,1.3,1,2.2,3,2.7,2.7,1.8,1.9,2,2.2,1.3,1.3,1.4,1.4,1.7,1.9,2.2,2.2,2.5,2.4,2.4,2.4,2.3,2.6,2.7,2.7,2.8,2.9,3.1,3.3,3.6,3.6,4,4.5,4.4,4.4,4.9,5
"27","17","    Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1",0.4,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.6,1,1.1,1.2,1.5,1.9,1.8,1.9,1.8,2.4,2.5,2.7,2.7,2.8,2.9,3.5,3.6,4.3,5.2,5.2,5.7,6.5,7.1,7.8
"28","18","    Costs of trading or issuing corporate securities \6\","B1186C1",0.3,0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.7,1,1.3,1.4
"29","19","    Excess of employer expenses over actual employer contributions for defined benefit employee pension plans \7\","Y372RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.4
"30","20","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1,1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6
"31","21","Equals: Profits before taxes, NIPAs","A053RC1",10.9,4.6,0.6,-1.3,1.8,3.2,4.4,7.1,7.6,4.6,7.8,10.6,18.8,22.5,25.8,24.8,20.4,25.6,32.6,36.5,30,43.8,45.4,41.3,43.1,40.8,51.4,52.6,51.2,45,56,53.9,53.9,59.2,64.4,71.4,83.1,90.4,87.6,97.9,96.7
"32","22","Federal income and excess profits taxes, IRS","B1188C1",1.2,0.7,0.4,0.3,0.4,0.6,0.8,1.2,1.3,0.9,1.2,2.5,7.2,12.3,15.9,14.9,10.8,8.9,11,11.9,9.8,17.3,22.1,19.1,19.9,16.9,21.7,21.4,20.6,18.8,22.5,21.9,22.2,23.9,26.3,27.9,31.7,34.4,33.3,39.7,39.4
"33",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","23","  Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1",0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,-1.1,-2.2,-2.3,-0.5,-0.1,-0.2,-0.1,-0.1,0.1,0,-0.3,-0.1,0.4,0,0.2,0.3,-0.3,0.2,-0.1,0.1,0.1,0.4,0.3,0.3,0.2,0.1,-0.1,-0.4
"35","24","  Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3
"36","25","  State and local taxes on corporate income","B1179C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6
"37","26","  Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3
"38",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","27","  U.S. tax credits claimed for foreign taxes paid","B1191C1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,1,1,1.1,1.1,1.2,1.2,1.5,1.6,1.9,2.3,2.6,2.9,3.2,3.7,4
"40","28","  Investment tax credit \8\","B1192C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,1.3,1.7,2,2.1,2.4,1.9
"41","29","  Other tax credits \8\","B1193C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","30","Equals: Taxes on corporate income, NIPAs","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"43","31","Profits after tax, NIPAs (21-30)","A055RC1",9.5,3.7,0.1,-1.7,1.3,2.5,3.4,5.7,6.1,3.6,6.3,7.8,11.2,11.1,11.8,11.8,9.7,16.5,21.4,24.1,19.8,25.9,22.8,21.9,22.9,23.2,29.4,30.6,29.8,26.1,32.2,31.1,31,35.1,38,43.3,52,56.5,54.7,58.3,56.7
"44","32","Dividends paid in cash or assets, IRS","B1194C1",8.5,8.2,6.2,3.9,3.1,4.9,5.9,7.4,7.5,5,5.7,6.1,6.7,5.6,5.7,6.1,6.1,7.5,8.4,9.4,9.6,11.6,11.3,11.3,11.6,11.9,13.6,14.5,14.9,15,16.2,17.2,18,19.6,21.1,23.3,26,27,28.2,31.6,33
"45",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","33","  Posttabulation amendments and revisions \9\","B1195C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.3,-0.6,-0.6,-0.5,-0.7,-0.5,-0.1,-0.7,-1.6,-1.8,-2.7,-2.7
"47","34","  Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"48","35","  U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8
"49","36","  Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1
"50","37","  Interest payments of regulated investment companies","B1635C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2
"51",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","38","  Dividends received by U.S. corporations","B1198C1",2.8,2.8,2.1,1.3,1.1,2.3,3.2,2.9,2.9,2.1,2.2,2.3,2.4,1.5,1.5,1.6,1.6,2,2.2,2.6,2.6,3.1,3,2.9,3,2.9,3.3,3.4,3.5,3.8,4,4.2,4.8,5.1,5.5,6.5,6.7,6.3,6.6,6.9,7.9
"53","39","  Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1",0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.1,1.3,1.3,1.1,1.1,1.1,1.3,1.6,1.7,1.8,1.8,1.5,1.7,1.9,1.9
"54","40","Equals: Net corporate dividend payments, NIPAs","B056RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","payments written off, of adjustments for insurance carriers and savings and loan associations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","of amortization of intangible assets, and of tax-exempt interest income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Consists of the Farm Credit System beginning with 1947 and the Federal Home Loan banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","beginning with 1952.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Consists of nonprofit organizations serving business and of credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4. Intellectual property products consists of software, research and development, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","entertainment, literary, and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","5. Consists of disaster losses valued at historic-cost less net insurance receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","for disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","6. Includes the imputed financial service charge paid by corporations to domestic securities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","dealers who do not charge an explicit commission.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","7. Employer expenses for defined benefit employee pension plans include actual employer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","contributions, imputed employer contributions, and imputed interest for unfunded (or overfunded)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","actuarial liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","8. Beginning with 1984, the investment tax credit is included in other tax credits (line 29).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","9. Consists largely of an adjustment to remove capital gains distributions of regulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
