"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"16","6","    Power and communication","W003RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.54,0.47,-0.46,-0.43,-0.19,0.04,0.47,0.36,-0.83,0.3,-1.1,-0.09,0.1,-0.47,0.59,-0.32,0.08,0.35,0.04,1.31,-0.35,0.75,0.43,0.4,0.18,0.27,0.64,0.55,0.46,0.79,0.84,0.58,0.73,-0.37,0.54,0.99,0.29,0.86,0.69,0.13,0.94,0.28,-0.67,-0.16
"17","7","    Mining exploration, shafts, and wells \1\","E318RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,-0.71,0.46,0.67,0.05,-0.27,-0.01,-0.45,-0.18,0.02,-0.16,-0.07,0.18,0.42,0.33,0.28,0.08,-0.32,-0.45,-0.11,0.02,-0.01,-0.27,0.33,0.56,-0.02,0.34,-0.47,0.67,-0.86,-0.16,0.23,-0.37,0.32,-0.47,-0.09,0.25,-0.2,-0.12,0.27,-0.31,0.22,0.14,-0.2,0.31
"18","8","    Other structures \2\","W004RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.73,1.29,0.04,0.86,1.28,-0.52,1.53,0.54,0.12,0.45,-0.35,-0.6,-0.38,-0.39,1.08,0.55,-0.42,-0.39,0,1.31,0.74,1.61,1.32,-0.68,-0.21,-0.89,1.23,2.73,1.09,0.07,0.76,-0.74,-0.6,-0.22,0.45,-0.69,0.48,0.13,-1.51,-0.84,-1.09,-0.16,0.32,0.21
"19","9","  Equipment","Y033RZ2",NA,-3.43,-5.59,11.04,12.98,-10.98,-2.27,4.55,-9.46,-7.85,-8.56,-1.52,3.12,17.25,16.64,-1.91,-5.41,0.78,3.3,-1.68,0.65,2,-21.19,19.67,11.03,-0.2,4.79,-4.6,-8.61,-3.33,6.96,-0.19,1.73,12.55,9.16,4.69,-6.54,0.99,1.92,-0.02,2.71,-0.44,5.37,-5.99,-14.87,-7.23,-1.43,8.28,8.27,4.37,4.48,-0.25,5.24,2.47,-6.17,-5,-4.43,6.61,2.02,8.55,3.64,3.69,0.48,0.4,2.64,3.25,6.12,5.74,3.68,2.87,5.13,4.32,11.99,2.95,8.22,6.03,8.83,5.45,0.69,2.45,-6.58,1.95,-2.21,5.31,6.17,-3.9,3.91,5.57,5.85,1.6
"20","10","    Information processing equipment","Y034RZ2",NA,-1.14,0.82,-0.24,0.99,-0.77,-0.36,1.39,-0.85,-1.56,-0.87,-0.3,0.6,2.33,0.3,1.04,-1.02,0.87,1,0.22,0.91,1.97,-2.35,1.98,1.18,0.22,0.8,-1.92,-0.36,-0.96,0.34,0.11,-0.49,1.7,2.49,1.08,-1.02,2.31,-0.85,0.44,0.37,1.81,1.75,-2.21,-1.28,-1.35,0.49,0.81,0.37,0.32,0.44,1.9,0.98,1.33,-0.54,1.61,-1.23,2.41,0.47,0.71,1.72,-0.64,-0.61,0.65,1.54,1.6,1.14,0.3,1.4,0.44,0.08,1.94,0.34,1.68,1.29,1.71,2.13,2.03,1.55,1.39,-0.76,0.38,-0.5,1.95,0.5,-0.52,0.77,-0.3,2.22,2.44
"21","11","      Computers and peripheral equipment","B935RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.08,0.21,0.44,0.08,0.28,0.34,0.01,0.06,0.49,0.02,0.19,-0.02,0.47,0.72,0.84,0.76,0.52,0.28,0.52,0.11,0.14,0.34,0.33,0.62,0.24,1.06,0.62,1.01,1.01,1.01,-0.01,0.19,-0.09,0.59,0.11,0.33,0.47,-0.04,0.49,0.9
"22","12","      Other \3\","A937RZ2",NA,-1.14,0.82,-0.24,0.99,-0.77,-0.36,1.39,-0.85,-1.56,-0.87,-0.3,0.6,2.33,0.3,1.04,-1.02,0.87,1,0.22,0.91,1.97,-2.35,1.98,1.18,0.22,0.8,-1.92,-0.36,-0.96,0.34,0.11,-0.49,1.7,2.49,1.08,-1.02,2.31,-0.85,0.44,0.37,1.81,1.75,-2.21,-1.28,-1.35,0.48,0.78,0.41,0.34,0.35,1.69,0.54,1.26,-0.81,1.27,-1.23,2.35,-0.02,0.69,1.52,-0.62,-1.08,-0.07,0.7,0.85,0.62,0.02,0.88,0.33,-0.07,1.6,0.01,1.06,1.04,0.65,1.51,1.02,0.54,0.37,-0.76,0.19,-0.41,1.36,0.39,-0.86,0.29,-0.26,1.73,1.54
"23","13","    Industrial equipment","A680RZ2",NA,-3.71,0.41,-4.42,3.59,-2.76,-2.98,2.44,-3.62,-6.12,-2.53,-1.62,2.66,6.85,0.89,5.24,-5.29,3.42,4.34,-1.36,0.48,3.27,-6.78,1.45,3.99,1.97,1.53,0.36,-1.08,-0.12,3.26,-2.66,-3.51,2.48,2.39,3.37,-1.57,1.08,3.7,-1.35,0.13,-0.17,0.41,-1.97,-4.2,-2.89,-2.19,1.8,1.37,-0.93,0.14,2.53,0.98,3.27,-2.81,-1.54,-2.78,1.65,0.33,3.18,0.05,0.42,-1.7,-1.31,2.24,2.11,1.92,1.19,0.77,0.07,2.16,3.56,0.71,1.98,2.71,0.97,1.67,2.86,0.64,0.47,0.45,-1.13,-2.52,1.06,0.72,-1.35,-0.71,0.94,1.66,0.91
"24","14","    Transportation equipment","A681RZ2",NA,1.28,-2.82,7.67,2.09,-4.12,-0.67,-2.46,1.43,1.94,-0.04,0.86,-2.22,2.97,12.87,-4.88,-0.02,-2.78,-1.78,-3.84,-0.16,-3.96,-6.48,10.94,4.05,1.53,1.03,-0.24,-4.43,-4.04,1.21,1.42,5.57,4.92,2.98,-2.08,-3.43,-0.79,-2.33,2.72,1.43,-0.06,2.88,-1.44,-8.93,-4.62,-1.44,5.11,5.9,4.25,3.46,-5.05,5.23,-1.9,0,-4.69,-1.47,1.6,1.69,4.93,1.51,1.9,1.96,0.18,-2.77,-1.88,1.42,2.82,1.14,1.47,2.9,-3.76,10.07,-0.2,1.82,1.84,3.27,-0.07,-1.57,0.17,-3.11,1.87,1.84,0.92,6.05,-1.97,2.71,2.91,1.16,-1.01
"25","15","    Other equipment \4\","A862RZ2",NA,0.14,-3.99,8.02,6.32,-3.33,1.74,3.17,-6.42,-2.11,-5.13,-0.46,2.08,5.1,2.59,-3.3,0.92,-0.73,-0.26,3.3,-0.57,0.72,-5.58,5.3,1.81,-3.92,1.42,-2.8,-2.73,1.78,2.15,0.94,0.17,3.45,1.29,2.33,-0.52,-1.62,1.4,-1.83,0.78,-2.01,0.34,-0.36,-0.46,1.64,1.71,0.56,0.63,0.71,0.45,0.36,-1.96,-0.23,-2.83,-0.38,1.04,0.95,-0.47,-0.28,0.36,2.01,0.83,0.87,1.63,1.41,1.64,1.44,0.36,0.9,-0.01,2.57,0.87,-0.52,2.41,1.51,1.75,0.62,0.07,0.43,-3.17,0.83,-1.03,1.38,-1.1,-0.05,1.14,2.01,0.81,-0.74
"26","16","  Intellectual property products","Y001RZ2",NA,-0.27,-0.03,-0.38,0.15,-0.3,0.03,-0.11,-0.58,-0.02,0.17,0.89,0.75,0.46,0.16,-0.16,-0.42,-0.15,0.33,0.73,1.57,1.38,1.46,1.93,1.13,1.1,0.46,0.28,0.2,0.16,0.26,0.39,0.32,0.74,0.93,1.33,1.38,1.15,0.68,0.66,-0.25,0.06,0.36,0.14,0.19,0.48,0.87,1.29,1.15,0.6,-0.15,0.25,0.58,0.42,1.4,0.79,1.05,1.22,0.74,0.46,0.09,0.44,0.42,0.83,1.22,1.39,0.7,0.48,-0.08,0.36,0.68,0.78,1.71,1.23,1.25,1.3,1.37,1.1,1.05,1.01,0.75,0.32,0.73,0.76,0.8,1.06,0.73,0.63,0.34,0.8
"27","17","    Software \5\","B985RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.03,0.1,0.22,0.21,0.15,0.08,-0.03,0.02,0.02,0.09,0.04,0.07,0.11,0.21,0.23,0.38,0.34,0.22,0.05,0,-0.05,-0.04,0.21,0.2,0.29,0.31,0.29,0.29,0.29,0.32,0.06,0.03,-0.06,0.09,0.13,0.16,0.15,0.18,0.26,0.41
"28","18","    Research and development \6\","Y006RZ2",NA,0.17,0.15,0.25,0.09,-0.13,0.02,-0.38,-0.73,-0.38,-0.08,0.21,0.85,0.76,0.5,0.08,-0.23,0.07,0.28,0.77,1.35,0.99,1.14,1.53,0.89,0.77,0.5,0.32,0.19,0.12,-0.08,0.02,-0.35,0.39,0.77,1.26,1.74,1.25,0.55,0.37,-0.36,-0.22,0.17,0.19,0.4,0.31,0.74,0.62,0.35,0.52,0.08,0.51,1.06,0.56,0.28,0.16,0.22,0.53,0.55,0.62,0.46,0.6,0.33,0.37,0.51,0.54,0.44,0.36,0.4,0.53,0.61,0.63,0.91,0.72,0.65,0.76,0.58,0.7,0.74,0.7,0.73,0.55,0.63,0.48,0.61,0.5,0.47,0.52,0.42,0.46
"29","19","    Entertainment, literary, and artistic originals","Y020RZ2",NA,-0.44,-0.18,-0.63,0.06,-0.17,0.01,0.27,0.15,0.36,0.26,0.67,-0.1,-0.31,-0.34,-0.24,-0.2,-0.22,0.05,-0.05,0.22,0.39,0.32,0.4,0.25,0.33,-0.03,-0.04,0.01,0.03,0.34,0.37,0.67,0.35,0.16,0.07,-0.35,-0.09,0.13,0.29,0.12,0.28,0.19,-0.04,-0.21,0.17,0.13,0.67,0.8,0.09,-0.25,-0.36,-0.7,-0.35,0.97,0.55,0.86,0.67,0.17,-0.24,-0.41,-0.23,-0.03,0.24,0.49,0.47,-0.07,-0.09,-0.53,-0.18,0.12,0.19,0.59,0.31,0.32,0.23,0.5,0.11,0.02,0,-0.04,-0.26,0.16,0.19,0.06,0.4,0.11,-0.07,-0.34,-0.07
"30","20","Residential","A011RZ2",NA,-5.96,18.23,27.31,-2.01,7.93,-4.72,-10.58,-9.34,-2.06,11.28,17.84,18.37,17.77,9.91,-7.53,-7.78,-20.11,-8.92,1.15,3.3,2.41,-1.34,8.52,2.45,0.49,-5.17,-1.07,1.43,8.62,8.76,9.04,11.29,2.23,-3.32,-6.06,-3.48,-0.86,-2.53,-1.96,-1.75,-2.91,-1.6,-0.15,-4.39,0.48,8.97,14.57,16.39,5.13,-2.65,-3.9,4.34,-11.05,-3.74,-0.15,0.5,0.52,7.06,4.67,2.41,4.26,-0.08,-0.2,4.62,10.03,2.72,4.38,8.61,-6.86,-2.08,-2.28,0.73,1.12,0.67,-2.21,2.99,-8.6,-3.43,-10.42,-2.54,10.74,5.38,6.22,0.41,2.62,2.27,1.64,3.9,-1.01
"31","21","  Structures","A012RZ2",NA,-5.77,17.85,27.53,-2.19,8.1,-4.79,-10.83,-9.06,-2.09,11.52,17.79,18.12,17.17,9.89,-7.89,-7.3,-19.9,-9.07,1.25,3.4,2.17,-0.98,7.84,2.45,0.53,-4.96,-0.97,1.48,8.43,8.5,8.9,11.37,2.01,-3.26,-6.16,-3.73,-0.85,-2.6,-1.62,-2.1,-2.84,-1.54,-0.07,-3.84,-0.2,8.47,14.06,16.48,5.15,-2.26,-3.76,4.16,-10.98,-3.83,-0.05,0.54,0.43,6.98,4.7,2.48,4.13,-0.2,-0.26,4.56,9.95,2.67,4.37,8.53,-6.9,-2.12,-2.26,0.55,1.09,0.63,-2.35,3.01,-8.51,-3.52,-10.3,-2.54,10.71,5.28,6,0.33,2.6,2.09,1.62,3.82,-1.14
"32","22","    Permanent site","A943RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84,5.47,9.95,14.35,3.33,-2.31,-3.69,2.06,-9.83,-3.75,-1.44,0.34,1.16,5.57,4.76,1.84,3.56,1.3,-0.22,3.09,6.59,3.11,3.47,7.55,-6.81,-1.71,-2.04,-0.63,0.69,1.74,-2.2,2.73,-7.31,-6.64,-8.95,0.19,5.09,8.01,5.02,-0.05,2.47,1.02,0.48,3.66,-0.94
"33","23","      Single family","A944RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,4.64,8.43,12.22,2.68,-2.03,-3.13,2.58,-8.71,-3.68,-1.97,-0.64,-0.14,3.78,2.98,-0.19,1.46,-0.22,-1.05,0.79,3.66,1.74,2.58,7.53,-5.06,-0.98,-0.73,-0.71,0.91,2.23,-1.19,2.03,-5.49,-5.17,-6.68,1.08,4.73,6.12,2.87,-1.68,1.05,-0.61,0.01,1.38,-2.48
"34","24","      Multifamily","C292RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12,0.83,1.52,2.13,0.65,-0.28,-0.57,-0.52,-1.12,-0.07,0.53,0.98,1.3,1.79,1.78,2.02,2.09,1.52,0.83,2.3,2.93,1.37,0.89,0.02,-1.75,-0.74,-1.31,0.08,-0.22,-0.49,-1,0.69,-1.82,-1.47,-2.27,-0.89,0.36,1.89,2.15,1.63,1.42,1.64,0.47,2.29,1.54
"35","25","    Other structures \7\","A863RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,3,4.11,2.12,1.81,0.05,-0.06,2.09,-1.15,-0.08,1.39,0.2,-0.73,1.41,-0.06,0.64,0.57,-1.5,-0.04,1.47,3.36,-0.44,0.9,0.99,-0.1,-0.41,-0.22,1.18,0.4,-1.11,-0.16,0.28,-1.2,3.12,-1.35,-2.73,5.62,-2.73,0.98,0.38,0.13,1.07,1.14,0.15,-0.2
"36","26","  Equipment","B013RZ2",NA,-0.19,0.38,-0.22,0.19,-0.17,0.06,0.25,-0.28,0.03,-0.24,0.05,0.25,0.6,0.02,0.36,-0.48,-0.21,0.15,-0.1,-0.1,0.24,-0.35,0.67,0,-0.04,-0.21,-0.1,-0.05,0.19,0.26,0.14,-0.08,0.22,-0.06,0.1,0.25,-0.01,0.06,-0.34,0.34,-0.07,-0.06,-0.08,-0.55,0.68,0.5,0.52,-0.08,-0.02,-0.39,-0.14,0.18,-0.07,0.09,-0.1,-0.04,0.09,0.08,-0.03,-0.07,0.13,0.12,0.06,0.06,0.08,0.04,0.01,0.08,0.04,0.04,-0.02,0.18,0.03,0.04,0.14,-0.01,-0.09,0.08,-0.12,0,0.03,0.09,0.22,0.08,0.02,0.17,0.02,0.09,0.13
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
