"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3264C0",15540,17125,12773,12288,15724,18325,22451,27487,33198,34008,36612,35374,46330,NA,NA
"72","65","  Management of companies and enterprises \5\","N3265C0",33580,46710,60396,70894,82850,85699,99793,110906,112468,95290,119464,145399,167270,152172,166348
"73","66","  Administrative and waste management services","N3268C0",6135,7371,7205,8639,9173,12695,13768,19739,17450,22463,20040,20538,24860,24781,29564
"74","67","    Administrative and support services","N3269C0",4775,6103,6084,7215,7330,9649,11200,15840,16990,17242,16161,15071,18107,NA,NA
"75","68","    Waste management and remediation services","N3270C0",1360,1268,1121,1424,1843,3046,2568,3898,460,5221,3879,5467,6753,NA,NA
"76","69","  Educational services","N3271C0",1707,1781,1673,1479,1993,2638,3695,4413,4522,4475,4933,7869,9293,8047,7418
"77","70","  Health care and social assistance","N3272C0",10919,16814,20747,26867,35334,38481,40016,49313,52266,53493,56879,68319,73227,77584,84739
"78","71","    Ambulatory health care services","N3273C0",9319,13212,15559,21455,25985,27913,29417,34853,37774,37259,40464,48745,50304,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3277C0",831,2224,2333,1736,5171,6346,6322,8610,8311,7347,8364,10061,11916,NA,NA
"80","73","    Social assistance","N3278C0",769,1378,2855,3677,4177,4222,4278,5851,6180,8886,8051,9512,11007,NA,NA
"81","74","  Arts, entertainment, and recreation","N3279C0",2313,2504,2078,3069,3928,4018,5426,7191,6760,6392,5731,6553,7199,10283,12871
"82","75","    Performing arts, spectator sports, museums, and related activities","N3280C0",877,1155,953,1475,1793,2266,3034,3528,3654,3970,3757,3970,3791,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3281C0",1436,1349,1126,1594,2135,1752,2392,3663,3106,2422,1975,2583,3408,NA,NA
"84","77","  Accommodation and food services","N3282C0",6949,9101,11625,9605,11690,10302,13143,16809,18774,16052,11169,11468,14632,18091,26799
"85","78","    Accommodation","N3283C0",1115,2169,2949,878,1878,870,2444,3618,4569,2166,941,-3739,-3158,NA,NA
"86","79","    Food services and drinking places","N3284C0",5834,6932,8676,8727,9812,9432,10699,13191,14205,13886,10228,15207,17790,NA,NA
"87","80","  Other services, except government","N3285C0",2921,2805,4992,6276,4324,5000,5696,10114,10817,10041,6146,9024,14249,15013,15997
"88","81","Rest of the world \6\","A3274C0",102761,122003,146179,170400,158757,166628,205032,239077,256164,353383,406695,352801,395183,436550,418939
"89","82","  Receipts from the rest of the world","B3275C0",146786,177293,203036,183286,205280,250043,328177,383690,433769,510428,581988,493697,584608,653722,665948
"90","83","  Less: Payments to the rest of the world","B3276C0",44025,55290,56857,12886,46523,83415,123145,144613,177605,157045,175293,140896,189425,217172,247009
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
