"","Table 5#5#3# Real Private Fixed Investment in Equipment by Type,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","5","    Communication equipment \1\","B275RA3",1.141,0.978,0.739,0.366,0.286,0.411,0.592,0.758,1.21,0.811,0.977,1.451,1.571,0.984,0.899,1.849,2.089,0.83,1.124,1.118,0.997,1.11,1.237,1.612,1.857,1.624,1.804,2.199,2.506,2.156,2.551,3.278,3.93,4.484,4.208,4.332,5.014,5.713,5.867,6.114,7.128
"13","6","    Medical equipment and instruments","W176RA3",0.111,0.092,0.071,0.045,0.044,0.052,0.063,0.08,0.129,0.089,0.115,0.093,0.087,0.045,0.092,0.095,0.26,0.656,0.951,0.927,0.833,0.911,1.033,1.053,0.922,0.965,1.172,1.277,1.234,1.079,1.218,1.471,1.627,1.741,2.127,2.45,2.652,2.997,3.974,3.985,4.864
"14","7","    Nonmedical instruments","W177RA3",2.105,1.87,1.418,0.911,0.915,0.959,1.31,1.611,2.421,1.791,2.212,1.818,1.624,0.834,1.807,1.936,5.157,6.08,8.267,8.593,7.974,9.115,10.033,10.855,11.025,8.039,10.973,11.824,12.086,10.295,10.212,10.273,9.882,9.078,9.547,10.054,11.478,12.402,13.322,13.114,13.795
"15","8","    Photocopy and related equipment","B285RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.824,2.462,2.541,2.462,2.621,2.84,3.169,3.986,4.226,4.395,4.674,4.853,4.026,5.319,6.328,6.462,8.039,12.797,19.596,23.205,29.561,24.442,26.864,30.659
"16","9","    Office and accounting equipment","B936RA3",9.722,6.887,5.026,3.623,3.793,4.636,6.223,7.45,8.928,7.488,7.734,8.932,10.881,8.058,5.835,8.837,11.789,21.624,26.799,28.9,25.005,27.327,29.552,30.529,33.344,32.309,36.465,41.935,51.481,49.801,48.385,48.04,40.809,36.338,38.222,38.012,38.707,49.632,47.189,44.403,51.909
"17","10","  Industrial equipment","B680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.407,34.15,31.59,24.342,28.118,31.571,32.811,36.136,37.251,36.967,40.817,41.329,34.443,34.964,37.7,35.686,37.519,40.531,45.808,54.005,62.107,62.355,61.119,65.178
"18","11","    Fabricated metal products","B263RA3",10.7,9.232,7.507,4.818,4.095,4.981,5.541,6.698,7.623,5.673,6.698,8.245,9.97,9.193,11.462,13.568,16.505,23.981,31.161,27.975,22.629,24.354,29.164,33.29,35.132,37.347,33.702,34.899,39.763,36.927,33.118,31.348,29.947,27.531,30.274,35.301,41.772,48.3,46.915,55.493,67.068
"19","12","    Engines and turbines","B668RA3",10.504,9.268,5.992,2.766,2.307,3.417,4.806,8.363,11.792,8.108,9.944,10.963,9.332,4.028,7.547,14.087,29.882,6.948,17.745,25.794,24.986,33.426,24.009,33.798,31.265,45.216,39.617,35.746,45.011,44.764,38.534,36.606,32.256,30.335,30.352,30.318,31.647,38.082,50.889,59.624,66.775
"20","13","    Metalworking machinery","B271RA3",16.106,11.158,7.161,3.075,3.304,5.534,10.105,14.951,18.421,10.292,14.287,29.389,38.912,35.824,33.738,27.554,33.895,40.761,51.233,38.954,24.806,35.533,46.323,49.359,62.364,68.146,53.935,67.305,63.401,39.773,42.896,48.668,43.688,48.172,58.114,61.118,76.968,93.392,115.627,102.467,100.559
"21","14","    Special industry machinery, n.e.c.","B272RA3",30.029,22.609,17.618,12.169,13.648,14.617,17.847,24.307,26.207,19.429,20.719,22.097,22.03,18.048,14.254,21.921,31.913,42.761,63.844,61.41,47.929,54.492,57.147,50.601,53.035,46.404,54.406,59.309,55.497,48.935,51.937,58.822,56.337,61.516,60.813,68.935,87.887,95.162,86.617,86.3,89.329
"22","15","    General industrial, including materials handling, equipment","B273RA3",17.104,13.024,9.815,6.272,6.149,7.515,10.091,13.894,15.189,10.899,12.722,14.122,14.921,10.265,11.089,18.263,26,25.25,29.959,28.233,20.17,20.598,22.743,21.775,24.452,24.287,28.071,30.162,29.743,25.913,26.993,29.241,27.473,29.539,33.589,39.818,44.453,49.969,44.889,43.955,48.879
"23","16","    Electrical transmission, distribution, and industrial apparatus","B276RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.294,16.732,15.568,14.026,16.848,20.166,23.705,25.088,26.136,25.796,28.972,30.742,25.664,26.405,28.825,28.789,29.681,29.945,33.98,38.031,45.579,44.271,42.171,44.251
"24","17","  Transportation equipment","B681RA3",31.718,24.608,15.057,8.254,10.149,15.293,20.132,27.928,30.926,18.821,23.653,32.181,36.957,12.488,11.194,11.66,18.807,31.922,44.935,46.767,46.5,51.473,49.442,40.819,48.572,42.533,54.137,48.642,51.984,37.912,50.243,51.756,48.924,60.32,58.393,66.062,82.759,91.013,88.005,105.82,110.046
"25","18","    Trucks, buses, and truck trailers","B279RA3",24.248,18.849,13.797,7.885,10.233,16.502,21.805,28.447,27.69,17.195,23.87,27.263,32.235,5.991,7.138,15.984,38.397,44.256,58.746,65.126,52.957,62.886,65.655,49.174,48.833,46.229,60.981,59.525,52.861,44.57,54.76,55.061,57.046,73.391,78.235,81.571,100.182,115.938,101.971,121.031,142.32
"26","19","      Light trucks (including utility vehicles) \2\","W178RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","20","      Other trucks, buses, and truck trailers \2\","W179RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21","    Autos \2\","B280RA3",38.253,25.487,18.441,10.881,14.606,18.268,27.333,34.69,35.313,21.039,29.109,37.797,41.325,6.338,6.071,3.33,3.503,24.433,34.2,35.389,42.128,53.331,40.446,31.862,51.361,48.9,63.536,44.601,49.349,36.108,50.657,52.723,49.462,61.023,58.128,61.583,76.828,73.193,70.425,89.491,92.366
"29","22","    Aircraft","B281RA3",5.185,2.344,1.316,0.131,1.194,2.327,1.229,1.098,2.71,2.039,3.128,5.255,4.288,0.688,0,0.758,4.863,16.653,10.544,4.488,8.296,5.29,5.185,12.139,11.425,12.793,9.107,19.878,25.716,18.388,40.794,36.749,38.077,35.332,21.112,37.197,55.507,77.565,102.346,146.526,106.186
"30","23","    Ships and boats","B282RA3",37.514,47.407,39.092,10.626,6.652,9.414,3.974,24.943,26.212,49.182,23.252,54.227,68.433,70.687,82.413,44.419,69.278,70.377,143.038,61.612,36.753,33.737,65.98,70.8,61.781,32.159,47.83,69.024,84.414,79.255,72.083,64.968,56.485,58.992,50.818,58.624,66.774,70.54,72.022,94.247,101.719
"31","24","    Railroad equipment","B283RA3",111.08,111.957,25.571,14.394,7.145,32.842,28.37,57.765,100.216,38.816,44.833,80.306,101.24,88.998,57.431,74.582,71.553,69.569,113.691,176.846,182.675,131.867,172.918,153.239,137.716,78.949,89.457,113.775,143.816,60.982,68.584,91.528,61.735,94.579,99.04,141.616,173.244,201.659,176.83,125.997,166.862
"32","25","  Other equipment","B682RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.798,21.459,25.78,21.723,23.064,23.204,23.359,22.975,21.439,25.37,26.202,24.743,24.965,26.966,24.927,24.884,26.532,30.948,34.387,38.334,43.044,40.454,40.985,43.935
"33","26","    Furniture and fixtures","B667RA3",12.152,9.78,6.752,4.25,3.798,5.33,5.945,7.192,8.712,7.433,8.134,9.641,11.862,8.081,6.601,6.944,9.592,15.403,17.779,16.352,15.263,16.039,19.312,18.699,18.083,20.145,23.254,24.762,23.014,23.133,23.86,24.538,23.814,25.161,28.276,30.628,33.569,37.568,37.507,36.652,40.381
"34","27","    Agricultural machinery","B268RA3",20.798,19.365,10.16,5.437,3.474,6.187,12.385,17.522,22.321,19.536,17.38,20.564,29.629,21.341,12.357,29.544,33.639,26.3,45.6,59.746,59.532,59.867,59.413,55.567,51.414,44.906,50.939,42.443,41.142,51.903,53.818,42.734,43.718,46.507,57.537,62.009,67.363,77.876,78.542,73.389,73.753
"35","28","    Construction machinery","B269RA3",18.783,15.684,9.95,3.301,2.037,4.719,8.99,14.93,17.9,14.241,13.459,17.227,19.725,12.956,9.159,11.919,35.797,42.084,46.627,55.029,38.6,43.332,46.555,52.571,47.033,38.951,51.402,61.12,47.821,49.27,56.741,45.178,42.776,45.891,60.902,72.779,82.657,91.199,81.315,84.651,92.061
"36","29","    Mining and oilfield machinery","B270RA3",26.353,16.26,7.882,6.219,6.632,10.103,15.248,23.522,21.931,13.791,16.136,20.506,34.369,17.644,16.508,23.398,40.495,26.415,26.869,33.625,25.216,29.173,35.464,35.702,32.871,29.493,38.759,40.133,38.108,25.175,29.667,26.832,24.453,23.845,30.418,33.956,37.987,39.777,29.588,30.408,32.032
"37","30","    Service industry machinery","B570RA3",5.504,4.414,3.639,2.429,2.458,2.922,3.682,5.619,6.432,4.715,5.404,5.978,5.992,4.505,5.074,7.006,9.693,12.912,20.033,27.579,19.076,20.152,17.235,18.45,21.821,20.912,23.853,26.885,27.813,24.403,24.778,24.875,24.656,26.096,25.762,28.427,33.753,38.394,38.036,39.851,44.336
"38","31","    Electrical equipment, n.e.c.","B670RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.618,15.997,15.597,15.501,19.982,17.577,16.474,16.229,14.333,16.987,18.924,18.915,15.126,16.082,17.466,18.286,20.137,27.422,29.801,34.809,35.628,26.544,30.348,33.885
"39","32","    Other","B286RA3",2.711,2.333,1.831,1.415,1.432,1.585,1.796,2.147,1.884,1.633,1.849,2.285,2.799,2.107,1.861,2.019,2.398,3.989,5.098,5.614,4.947,5.241,4.709,4.95,5.208,5.095,5.94,6.069,6.15,6.996,8.471,9.18,9.975,11.072,12.07,13.465,14.44,16.445,14.535,16.059,17.327
"40","33","  Less: Sale of equipment scrap, excluding autos","B287RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.755,9.053,3.405,4.999,7.734,8.325,6.613,9.584,4.31,10.273,11.1,9.604,6.396,11.077,14.922,21.15,21.993,29.27,36.02,43.85,47.514,38.442,39.886,48.612
"41","34","Residential equipment","B013RA3",2.275,1.98,1.887,1.365,1.525,1.887,2.315,2.703,2.997,2.515,2.836,3.278,3.987,2.582,1.097,0.722,1.164,4.188,6.409,6.65,6.235,7.854,7.265,7.225,7.6,7.827,8.911,9.861,9.887,10.503,12.076,11.332,11.366,12.043,13.432,14.397,16.087,16.456,16.874,20.122,22.949
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","apparatus (line 16) and electrical equipment, n.e.c. (line 31).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Includes net purchases of used vehicles; additional information is available in table 7.2.3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
