"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"17","10","        Less: Own-account investment \4\","W108RA3",13.546,15.148,14.291,10.484,64.47,127.665,135.594,263.974,196.545,259.662,232.681,188.924,161.458,110.553,39.633,15.894,21.56,8.013,10.841,14.975,19.703,21.622,29.073,37.831,37.577,35.882,32.928,35.166,36.956,39.919,49.59,47.051,49.207,51.216,53.627,52.657,54.222,58.056,53.591,54.131,53.58,54.355,54.91,54.641,52.464,54.049,51.74,46.927,42.549,46.135,52.969,55.616,53.929,55.691,56.734,63.058,69.037,72.877,76.016,79.187,88.198,92.252,95.862,95.215,93.975,92.363,93.091,92.333,97.519,98.931,99.643,100,111.54,112.106,108.854,108.285
"18","11","              Sales to other sectors","W109RA3",4.051,4.744,5.241,5.284,5.391,5.732,5.781,4.786,5.032,5.428,5.812,6.191,6.896,8.937,14.318,20.887,33.797,32.328,10.597,9.281,9.255,10.813,11.841,10.024,10.312,11.401,15.751,13.671,16.014,17.127,16.998,17.26,17.956,19.945,22.027,23.877,26.499,29.884,31.19,33.82,35.423,36.808,39.828,44.693,47.097,47.856,46.956,48.548,51.032,53.636,56.503,56.76,58.425,59.66,61.286,61.456,63.347,65.472,66.794,68.391,70.069,71.505,74.057,76.856,79.892,83.639,85.256,86.997,88.758,92.945,94.523,100,105.867,109.117,111.792,116.245
"19","12","Federal consumption expenditures \1\","A957RA3",4.47,4.765,4.647,4.466,5.235,7.03,6.437,11.387,10.063,11.447,12.73,13.377,25.15,74.808,131.318,163.272,154.484,52.183,38.264,39.512,41.57,39.651,59.738,76.28,82.062,72.534,68.318,67.111,70.726,69.339,69.05,68.018,69.264,75.839,77.814,77.312,78.333,86.906,96.772,100.087,97.887,90.776,86.244,83.797,79.051,78.367,77.719,76.754,78.305,79.893,81.014,84.502,88.266,91.277,95.736,96.938,102.698,107.173,109.725,109.383,110.961,112.664,112.968,110.596,106.837,103.728,100.722,98.814,99.064,97.063,98.688,100,104.11,110.951,118.847,124.591
"20","13","      Gross output of general government","W110RA3",4.562,4.816,4.665,4.466,6.205,8.021,8.292,12.635,11.091,12.292,13.628,14.293,25.976,75.329,131.641,164.509,160.289,59.007,38.759,39.567,41.295,39.711,59.977,75.713,81.39,72.131,68.968,67.011,71.114,69.733,69.226,68.103,69.251,75.779,77.768,77.262,78.357,87.216,96.377,99.539,97.392,90.378,85.91,84.174,79.664,79.191,78.174,76.989,78.788,80.517,81.868,85.159,88.687,91.583,95.903,97.242,102.968,107.443,110.132,109.967,111.551,113.344,113.805,111.331,107.417,104.773,101.217,99.378,99.096,97.261,98.499,100,103.843,110.52,118.304,123.967
"21","14","        Value added","W111RA3",9.341,10.017,9.602,9.172,11.316,15.059,16.696,27.584,23.908,27.01,27.538,30.14,45.89,92.702,179.788,227.55,227.696,106.834,75.414,69.674,66.579,66.576,87.576,97.551,97.976,95.514,93.29,92.281,91.969,89.355,88.599,90.25,92.112,95.926,96.789,97.73,98.415,104.869,111.672,113.541,113.847,108.958,103.942,98.867,95.168,94.865,94.331,94.478,94.741,95.934,95.843,97.358,98.852,100.456,102.807,105.124,108.116,110.035,112.914,114.311,115.719,117.823,118.534,116.046,113.81,110.101,105.953,103.042,101.102,99.953,99.149,100,100.531,102.518,105.219,106.207
"22","15","          Compensation of general government employees","B568RA3",15.709,17.154,16.248,15.372,19.593,26.803,29.533,50.81,43.072,48.827,49.481,54.082,81.379,156.148,292.658,346.776,327.098,114.518,72.347,73.182,75.201,80.536,120.433,134.69,130.5,122.595,117.556,115.483,114.708,109.927,107.641,109.331,111.688,116.709,116.681,117.32,117.958,128.121,138.245,140.387,140.806,133.314,126.684,120.419,115.946,116.285,115.709,115.804,115.927,117.431,116.728,118.235,119.526,120.7,122.521,123.742,125.482,125.392,126.839,126.614,126.788,128.073,127.659,123.184,119.592,114.39,108.758,104.769,102.137,100.582,99.176,100,100.405,102.79,106.013,106.793
"23","16","          Consumption of general government fixed capital \2\","B995RA3",1.673,1.655,1.679,1.683,1.725,1.888,2.189,2.53,2.744,3.005,3.234,3.581,5.917,15.772,35.945,59.148,72.905,69.412,57.408,47.497,40.895,36.24,35.548,39.156,43.292,46.083,46.889,47.083,47.258,47.28,48.167,49.369,50.289,51.978,53.528,54.571,55.157,56.009,57.563,58.729,58.837,58.169,56.172,53.55,51.495,50.245,49.839,50.05,50.501,51.069,51.946,53.306,54.974,57.124,60.121,64.144,69.272,74.974,80.603,85.318,89.312,93.137,96.316,98.428,99.409,99.267,98.697,98.454,98.302,98.233,99.075,100,100.898,101.658,102.647,104.35
"24","17","        Intermediate goods and services purchased \3\","W113RA3",1.533,1.56,1.551,1.493,2.761,3.351,2.935,3.466,3.193,3.29,4.769,4.432,11.616,49.218,77.906,95.974,90.196,17.505,7.558,13.166,18.211,15.698,32.661,50.242,58.94,46.047,42.636,40.243,47.081,46.79,46.605,43.131,43.555,51.983,54.845,53.016,54.433,65.09,75.986,80.219,75.743,66.819,63.101,65.355,59.887,59.215,57.646,54.91,58.507,60.853,63.891,69.149,74.907,79.245,85.796,85.919,95.043,102.774,105.183,102.939,104.751,106.099,106.211,103.776,97.438,96.387,93.735,93.541,95.847,92.931,97.444,100,109.26,123.808,140.399,154.347
"25","18","          Durable goods","W114RA3",0.343,0.505,0.507,0.461,1.39,2.584,3.524,3.067,2.911,3.109,3.386,4.101,34.721,182.909,338.154,368.193,403.022,16.481,9.81,18.442,21.937,36.4,85.093,149.554,167.131,122.131,103.52,98.017,102.497,105.921,75.755,64.624,53.908,67.35,68.888,59.955,63.391,89.703,87.797,99.66,83.331,74.238,54.178,68.619,62.98,54.478,56.644,51.242,64.64,72.564,78.817,83.033,95.659,104.071,124.022,125.65,134.597,143.622,152.764,157.126,151.592,147.183,140.972,128.056,116.961,101.372,92.929,93.017,93.784,94.762,100.136,100,101.704,106.575,114.536,128.474
"26","19","          Nondurable goods","W115RA3",3.478,3.938,3.737,3.173,6.789,8.377,7.392,9.615,9.309,9.275,17.512,15.255,20.974,113.862,153.899,192.362,132.654,21.71,13.796,31.086,58.51,28.88,50.408,72.873,153.207,114.624,80.535,49.955,57.749,56.127,102.247,62.009,56.101,91.133,80.425,81.994,88.063,98.308,165.611,197.392,198.279,135.768,118.237,125.566,95.205,95.455,84.645,80.007,84.036,86.389,87.381,101.374,123.342,111.025,117.817,94.39,109.109,143.573,107.764,68.887,110.037,100.886,105.188,104.445,102.027,94.185,86.28,88.448,93.318,95.331,90.007,100,110.389,128.895,139.431,155.163
"27","20","          Services","W116RA3",0.978,0.926,0.941,0.965,1.564,1.727,1.316,1.603,1.412,1.477,1.84,1.71,3.756,7.725,10.134,21.707,23.831,16.963,5.621,8.217,9.162,8.781,18.22,25.454,21.339,19.004,23.528,26.296,33.257,32.445,31.352,35.904,40.045,43.19,48.56,47.841,48.103,55.494,60.919,59.598,56.873,55.306,56.901,56.031,53.944,54.625,53.811,51.876,53.522,54.788,57.556,61.465,62.697,69.616,73.501,77.544,85.91,89.337,95.857,97.44,95.611,99.414,100.135,99.399,93.451,95.832,94.817,94.296,96.561,92.425,97.893,100,110.309,125.886,144.461,158.224
"28","21","      Less: Own-account investment \4\","W117RA3",6.931,7.524,9.503,11.918,186.59,196.438,347.153,258.419,212.624,184.449,197.065,203.732,214,258.528,153.839,68.064,94.847,16.235,14.691,25.429,32.661,39.12,71.13,103.465,107.613,93.094,77.318,76.782,85.689,93.783,101.273,98.127,102.386,102.893,93.533,90.78,93.847,103.636,85.5,77.132,72.584,74.332,77.18,81.362,75.78,70.571,71.042,69.627,62.087,68.713,77.284,82.899,83.806,92.357,100.128,111.558,126.162,128.766,140.853,145.43,160.855,167.81,172.27,172.158,167.027,153.808,152.528,143.475,137.014,136.968,122.678,100,122.625,126.998,120.497,116.015
"29","22","            Sales to other sectors","W118RA3",9.957,7.514,4.288,1.639,1.69,2.426,1.623,1.266,2.209,2.51,3.115,2.648,11.987,50.572,159.273,291.56,549.364,522.694,72.289,42.064,21.371,37.873,61.852,21.69,20.877,31.177,98.811,48.729,81.89,77.361,59.801,53.753,46.988,52.289,59.919,60.158,65.364,93,63.295,60.464,63.25,59.968,57.215,106.289,120.993,138.651,108.774,90.818,114.878,124.39,138.41,127.953,117.307,110.459,103.608,110.804,109.937,115.1,124.786,136.933,132.515,138.844,149.778,138.193,123.098,160.384,113.905,120.744,83.11,92.781,72.598,100,74.376,69.748,76.245,80.852
"30","23","    Defense consumption expenditures \1\","A997RA3",3.732,3.895,3.78,3.833,3.603,3.082,3.93,4.108,3.995,4.257,4.778,7.413,30.121,109.763,202.064,249.721,239.048,72.365,49.445,47.249,47.305,48.34,82.142,106.124,110.847,96.524,90.204,90.382,96.5,94.34,87.19,88.195,90.353,96.585,97.643,95.081,95.429,108.865,123.145,128.366,123.319,112.116,103.412,97.07,90.042,87.145,84.98,83.516,84.368,85.282,86.367,89.738,94.836,101.19,106.589,109.835,116.439,121.763,126.269,127.712,126.789,125.929,125.801,119.282,114.204,109.04,105.173,103.343,102.051,99.478,100.973,100,103.912,110.937,120.847,128.541
"31","24","      Gross output of general government","W085RA3",3.908,4.014,3.849,3.864,3.638,3.128,3.972,4.14,4.04,4.302,4.814,7.458,30.418,110.664,203.691,252.673,246.849,80.386,49.008,47.076,47.054,48.091,82.583,105.445,110.159,95.99,90.339,90.336,96.626,94.768,87.072,88.202,90.184,96.47,97.388,94.995,95.566,109.518,122.633,127.56,122.56,111.455,102.772,97.137,90.564,88.029,85.375,83.323,84.311,85.224,86.296,89.774,94.934,101.324,106.354,109.733,116.275,121.576,126.149,127.665,126.721,126.173,125.988,119.691,114.695,110.17,105.49,103.764,102.253,99.56,100.976,100,103.97,111.095,120.939,128.507
"32","25","        Value added","W086RA3",8.718,8.876,8.673,8.201,7.422,7.269,8.456,8.558,8.976,9.478,10.141,16.281,49.885,131.126,263.098,339.561,337.463,145.442,95.033,84.449,80.547,78.626,112.074,127.791,130.002,127.093,123.528,121.614,120.691,116.072,114.875,115.898,118.2,122.783,122.428,122.906,122.944,131.375,140.174,142.087,142.096,133.912,124.971,116.116,110.262,108.13,106.616,105.02,104.447,105.085,104.705,105.669,108.754,111.576,114.204,117.166,121.075,123.984,127.241,127.975,129.446,130.227,130.933,125.981,122.264,117.54,112.592,108.796,105.57,102.743,100.695,100,100.45,102.34,105.226,107.128
"33","26","          Compensation of general government employees","B237RA3",14.396,14.814,14.421,13.518,11.958,11.642,14.126,14.137,14.935,15.799,17.045,29.72,96.19,240.181,460.618,556.407,520.048,159.641,86.936,84.532,89.379,94.387,163.486,188.217,184.335,172.834,164.024,159.744,157.498,148.269,144.3,144.155,147.087,153.363,150.662,150.634,150.798,166.07,180.695,183.068,183.296,169.99,157.074,145.101,137.608,135.521,133.601,130.926,129.757,130.628,129.549,130.324,134.339,137.416,139.531,141.464,144.098,144.754,146.099,144.326,144.282,143.381,142.881,134.5,128.71,122.055,115.397,110.504,106.505,103.154,100.666,100,100.717,103.406,107.101,109.047
"34","27","          Consumption of general government fixed capital \2\","B432RA3",1.845,1.81,1.793,1.755,1.728,1.726,1.738,1.834,1.873,1.965,2.04,2.279,5.011,18.172,46.11,78.581,97.83,92.741,75.753,61.703,52.343,45.726,44.668,49.701,55.499,59.403,60.569,60.892,61.166,61.188,62.457,64.151,65.371,67.442,69.098,69.9,69.814,69.955,71.295,72.36,72.142,70.95,68.028,64.267,61.257,59.32,58.518,58.535,58.817,59.073,59.658,60.768,62.253,64.44,67.533,71.783,77.534,84.118,90.613,95.858,100.1,103.999,106.976,108.783,109.214,108.303,106.716,105.134,103.535,101.839,100.761,100,99.824,99.721,100.435,102.223
"35","28","        Intermediate goods and services purchased \3\","W087RA3",1.069,1.13,1.013,1.256,1.328,0.71,1.271,1.452,1.092,1.204,1.59,2.159,16.307,82.258,139.399,165.114,157.498,21.717,7.068,12.795,16.021,19.41,50.867,76.627,82.817,61.378,54.74,56.227,67.53,68.08,55.271,56.43,57.983,65.462,67.542,62.429,63.51,82.51,99.484,107.33,97.186,83.116,74.85,73.279,65.684,62.626,58.579,55.981,58.885,60.129,62.945,69.277,76.695,87.156,94.967,98.814,108.762,117.238,123.559,126.128,121.823,119.43,118.005,109.817,102.972,98.762,94.5,95.907,97.033,94.551,101.423,100,109.591,125.32,147.007,164.434
"36","29","          Durable goods","A998RA3",0.308,0.489,0.523,0.492,0.627,0.586,0.54,0.999,1.086,1.067,1.412,2.135,34.993,211.679,395.195,432.212,471.22,16.017,8.007,18.532,22.779,38.954,93.42,165.599,185.371,134.908,114.384,108.214,113.304,117.35,83.892,71.301,58.514,72.432,72.98,61.65,63.934,93.096,91.851,106.407,88.791,79.506,57.233,73.126,67.578,58.438,60.693,54.49,69.014,77.084,83.317,87.328,101.798,111.653,132.016,133.432,143.159,153.028,162.517,167.07,160.395,154.63,147.575,132.775,120.801,103.692,94.237,93.497,93.875,94.93,100.764,100,100.86,104.752,113.344,126.861
"37","30","          Nondurable goods","A725RA3",7.706,9.239,10.919,13.247,12.535,3.129,12.379,12.811,4.921,6.955,6.785,12.395,71.758,501.144,811.251,887.039,662.533,64.897,24.068,46.33,55.094,58.32,153.006,199.973,321.214,211.177,97.042,95.65,115.683,117.823,98.53,105.636,130.336,165.051,153.576,169.566,183.202,261.306,401.905,460.184,408.411,284.298,232.425,236.828,175.961,152.06,125.953,102.782,96.023,96.782,99.703,109.014,115.295,114.772,120.2,113.779,111.817,141.052,138.213,133.232,129.03,115.176,117.284,108.488,99.524,90.579,74.335,82.076,82.676,85.609,95.326,100,104.714,125.612,136.313,156.568
"38","31","          Services","A489RA3",0.38,0.356,0.247,0.33,0.372,0.267,0.352,0.395,0.401,0.412,0.615,0.704,3.438,7.836,8.485,25.631,26.251,16.823,4.507,6.817,8.927,8.627,24.694,33.333,26.801,22.548,29.42,33.049,44.261,43.645,39.166,44.511,48.674,51.046,54.837,50.144,49.663,59.22,70.4,71.556,67.725,61.793,61.831,54.92,51.444,52.134,48.891,49.721,50.379,49.712,51.488,58.018,63.75,76.46,80.957,87.183,99.075,104.712,111.124,113.97,110.318,110.275,109.958,103.651,98.437,98.225,96.57,97.872,99.247,95.342,102.209,100,112.18,130.142,155.855,173.917
"39","32","      Less: Own-account investment \4\","W088RA3",6.766,7.253,9.677,12.723,12.965,11.48,16.61,16.761,16.104,16.038,16.19,31.428,115.98,305.973,183.95,82.162,110.812,20.738,17.28,29.122,38.083,45.785,79.794,116.302,121.982,107.252,90.506,90.955,102.206,113.085,83.517,87.178,88.749,92.861,86.367,85.885,90.325,104.909,40.487,40.971,43.539,45.82,41.722,46.662,50.517,51.137,60.076,64.299,59.236,62.88,71.581,71.742,78.633,93.922,105.357,121.382,140.761,147.489,160.856,162.652,184.438,180.629,189.723,187.925,182.239,164.189,160.103,148.46,141.63,134.667,120.777,100,127.54,170.662,165.422,152.925
"40","33","            Sales to other sectors","W089RA3",30.312,21.964,12.727,4.614,4.781,6.586,4.273,2.824,5.258,5.962,5.283,2.582,34.54,163.037,491.082,804.621,1416.88,1255.1,2.314,27.605,13.369,11.082,123.783,3.52,5.912,12.292,91.767,69.358,93.783,123.95,60.978,75.997,56.149,69.239,55.936,74.899,103.127,185.43,72.806,37.806,36.465,33.987,27.163,135.142,215.45,283.587,178.365,58.906,90.577,89.382,82.843,109.512,125.68,133.529,62.306,83.683,69.921,69.851,82.039,97.51,78.193,136.579,120.787,150.263,159.322,268.03,126.442,147.868,112.732,92.727,90.064,100,99.817,102.493,110.206,108.656
"41","34","    Nondefense consumption expenditures \1\","A542RA3",5.448,5.972,5.861,5.239,7.877,13.911,10.621,24.05,20.619,23.952,26.559,23.826,17.042,14.652,10.719,15.906,10.012,17.637,19.015,26.727,32.571,25.28,21.11,24.781,32.314,31.073,30.516,26.792,25.949,25.922,37.488,32.878,32.542,39.635,43.156,46.173,48.317,48.555,50.823,50.88,53.492,53.34,55.834,60.086,59.387,62.688,64.775,64.704,67.407,70.19,71.396,75.111,76.341,72.994,75.705,72.953,77.132,79.999,78.764,74.95,81.386,88.013,89.098,94.613,93.352,94.061,92.636,90.61,93.673,92.65,94.508,100,104.471,110.976,115.181,117.336
"42","35","      Gross output of general government","W128RA3",4.948,5.425,5.323,4.778,9.677,15.196,14.441,25.213,21.488,24.089,26.638,24.196,17.757,15.163,11.428,17.184,15.682,23.247,21.63,27.427,32.368,26.152,21.894,25.594,32.806,31.828,32.9,27.491,27.824,27.253,38.852,33.879,33.614,40.473,44.221,46.855,48.796,49.137,51.648,51.865,54.412,54.191,56.654,61.453,60.508,63.64,65.497,65.829,69.039,72.198,74.049,77.008,77.579,74.066,77.097,74.584,78.82,81.769,80.898,77.55,83.91,90.1,91.763,96.384,94.452,95.211,93.665,91.621,93.535,93.221,94.145,100,103.619,109.502,113.616,115.869
"43","36","        Value added","W129RA3",8.46,9.916,9.214,8.943,15.392,24.44,26.474,52.215,42.941,49.492,49.745,46.692,33.527,18.063,19.553,13.046,17.307,34.165,40.306,44.751,43.095,47.18,44.111,43.251,40.21,38.505,38.793,39.498,40.365,41.485,41.541,44.415,45.493,47.936,50.965,52.721,54.535,57.466,60.709,62.485,63.311,64.242,66.132,67.848,68.091,71.172,72.44,75.78,77.554,79.752,80.188,82.724,81.292,80.631,82.487,83.581,84.786,84.741,86.933,89.672,90.978,95.653,96.381,98.529,99.039,97.145,94.406,93.049,93.368,95.146,96.495,100,100.671,102.824,105.203,104.573
