"","Table 6#4D# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"82","75","      Ambulatory health care services","N4275C0",4285,4352,4507,4603,4758,4916,5072
"83","76","      Hospitals","N4290C0",3848,3899,3943,4028,4147,4237,4278
"84","77","      Nursing and residential care facilities","N4291C0",2484,2527,2608,2684,2746,2784,2817
"85","78","      Social assistance","N4292C0",1804,1935,2054,2289,2392,2458,2509
"86","79","    Arts, entertainment, and recreation","N4293C0",1647,1702,1804,1891,1910,1927,1965
"87","80","      Performing arts, spectator sports, museums, and related activities","N4294C0",452,464,487,494,495,499,499
"88","81","      Amusements, gambling, and recreation industries","N4295C0",1195,1237,1318,1397,1415,1427,1466
"89","82","    Accommodation and food services","N4296C0",9532,9778,10116,10248,10345,10499,10771
"90","83","      Accommodation","N4297C0",1745,1806,1877,1852,1793,1793,1810
"91","84","      Food services and drinking places","N4298C0",7787,7972,8239,8396,8551,8706,8962
"92","85","    Other services, except government","N4299C0",6394,6484,6502,6626,6859,6891,6934
"93","86","  Government","A4276C0",22324,22613,23095,23428,23797,23926,23959
"94","87","    Federal","A4277C0",5193,5138,5236,5076,5116,5166,5110
"95","88","      General government","A4278C0",4199,4146,4260,4114,4187,4263,4232
"96","89","        Civilian","B4279C0",1877,1855,1976,1825,1865,1915,1915
"97","90","        Military \7\","B4280C0",2322,2291,2284,2289,2322,2348,2317
"98","91","      Government enterprises","B4281C0",994,992,976,962,929,903,878
"99","92","    State and local","A4282C0",17131,17475,17859,18352,18681,18760,18849
"100","93","      General government","A4283C0",16191,16530,16904,17353,17637,17709,17777
"101","94","        Education","B4284C0",8932,9152,9389,9450,9662,9745,9797
"102","95","        Other \8\","B4285C0",7259,7378,7515,7903,7975,7964,7980
"103","96","      Government enterprises \8\","B4286C0",940,945,955,999,1044,1051,1072
"104","97","Rest of the world \9\","A4287C0",-468,-514,-453,-626,-626,-660,-667
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
