"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"17","10","      Net purchases of used motor vehicles (56)","DNPVRG3",12.268,11.806,12.619,14.335,15.42,16.573,17.075,17.654,18.118,19.274,19.889,20.266,22.254,23.442,25.114,27.216,31.328,36.033,38.769,41.291,42.902,43.15,51.779,57.767,65.851,72.623,72.788,71.8,82.126,83.337,88.34,83.528,84.383,85.121,93.648,103.068,112.507,116.049,116.365,113.795,115.233,116.723,118.469,119.608,110.984,109.136,113.016,112.711,111.115,102.777,100,114.468,116.992,117.835,117.195
"18","11","        Used autos","DNPURG3",11.018,10.612,11.351,12.908,13.912,14.968,15.442,16.002,16.437,17.509,18.078,18.413,20.268,21.409,23.015,24.975,28.83,33.282,35.859,38.044,39.44,39.568,47.369,52.676,60.258,66.297,66.441,66.11,77.462,78.083,83.836,78.349,79.352,81.525,89.905,99.288,108.4,112.024,112.701,109.805,111.107,112.172,113.526,115.495,107.772,107.756,112.551,113.173,113.086,102.951,100,115.345,116.938,117.794,116.738
"19","12","          Net transactions in used autos","DNETRG3",25.397,23.357,24.419,26.833,27.169,28.298,28.07,27.436,28.368,29.314,29.177,29.458,31.08,30.99,32.865,33.892,40.104,45.056,48.071,48.636,52.052,53.326,65.353,74.99,82.513,93.294,93.381,88.838,92.195,95.565,97.507,94.952,95.343,99.219,107.633,113.747,125.416,125.664,121.092,119.227,119.654,122.73,125.018,119.66,112.383,105.025,109.757,110.282,106.92,105.62,100,112.903,117.42,118.473,118.314
"20","13","          Used auto margin","DMARRG3",5.062,5.028,5.437,6.256,6.992,7.643,8.091,8.735,8.937,9.755,10.422,10.763,12.21,13.39,14.504,16.422,18.508,21.722,23.588,26.084,26.343,26.071,29.945,32.016,37.737,39.997,40.308,43.265,58.663,57.167,65.34,58.551,60.029,60.375,67.915,79.563,85.177,91.837,98.334,94.738,97.226,95.885,95.786,106.482,98.854,108.318,112.844,113.777,117.59,98.707,100,116.765,114.772,115.323,113.388
"21","14","          Employee reimbursement","DREERG3",11.821,12.062,12.373,12.493,12.671,12.839,13.071,13.324,13.852,14.593,15.529,16.695,17.88,18.699,19.702,21.744,24.456,26.299,28.234,30.139,33.073,36.522,39.932,43.165,45.38,47.391,49.249,53.281,56.855,58.16,61.2,63.964,64.735,65.708,69.132,71.721,73.537,74.545,77.141,80.008,82.063,84.503,81.184,85.662,84.735,82.402,83.625,86.553,89.107,92.253,100,97.099,97.215,96.943,98.723
"22","15","        Used light trucks","DUTRRG3",27.126,25.345,26.261,28.767,29.124,30.313,30.097,29.404,29.576,30.426,30.914,31.816,33.108,32.853,32.863,34.724,37.762,40.291,42.335,47.54,50.669,52.153,63.803,73.046,81.228,90.991,91.248,86.517,89.951,93.52,95.256,92.827,93.236,90.144,98.635,107.668,117.475,120.709,120.338,118.346,119.966,122.005,124.231,124.4,114.75,110.828,113.687,112.4,109.38,102.633,100,113.805,117.118,117.949,117.599
"23","16","          Net transactions in used trucks","DUTNRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.155,92.912,93.105,88.285,91.828,95.47,97.228,94.738,95.202,99.176,107.508,113.581,125.242,125.409,120.551,119.028,119.483,122.44,124.741,119.447,112.36,104.891,109.591,110.05,106.75,105.271,100,113.088,117.601,118.689,118.535
"24","17","          Used truck margin","DUTMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.16,88.826,89.128,84.5,87.812,91.298,93.01,90.65,90.977,73.3,82.455,96.597,103.414,111.499,119.329,116.352,120.795,120.527,122.566,136.831,120.631,125.244,123.646,118.077,115.805,93.83,100,116.222,115.968,116.096,115.414
"25","18","      Motor vehicle parts and accessories (58)","DMVPRG3",37.714,36.565,35.496,35.573,36.151,36.174,37.547,38.328,39.267,40.708,42.025,44.033,45.653,45.957,44.766,47.791,52.12,55.818,59.581,62.354,68.434,76.062,79.918,81.87,79.549,76.484,76.444,76.216,76.831,78.027,79.684,79.962,80.682,81.21,79.885,79.433,79.708,79.576,79.15,78.486,78.106,78.382,80.308,81.735,82.55,82.957,84.902,88.364,91.386,96.206,100,101.923,105.593,108.283,108.478
"26","19","        Tires","DTATRG3",44.977,42.018,39.938,41.99,43.958,44.209,45.21,46.358,48.066,50.768,52.735,54.356,55.91,55.682,53.121,56.794,60.716,63.879,66.165,68.12,73.908,83.173,88.869,90.512,87.484,80.883,80.983,79.679,79.898,81.098,83.432,82.549,83.26,84.291,83.433,83.291,84.437,83.912,82.994,81.679,80.725,80.639,83.11,84.205,84.125,84.189,86.404,89.608,92.353,96.587,100,102.201,108.07,111.773,108.39
"27","20","        Accessories and parts","DPAARG3",30.883,31.927,32.116,29.743,28.814,28.603,30.391,30.795,30.913,31.031,31.692,34.187,35.965,36.965,37.455,39.886,44.821,49.153,54.39,57.97,64.427,70.637,72.872,75.108,73.376,73.451,73.28,74.08,75.095,76.306,77.335,78.744,79.483,79.543,77.788,77.078,76.699,76.841,76.739,76.486,76.454,76.94,78.543,80.17,81.53,82.147,83.922,87.545,90.741,95.945,100,101.728,103.893,105.904,108.524
"28","21","    Furnishings and durable household equipment","DFDHRG3",46.714,47.127,47.285,47.228,47.252,47.304,46.999,47.388,48.454,50.357,52.156,53.29,54.254,55.025,56.323,60.913,66.968,69.85,72.426,76.09,80.836,87.404,93.864,98.701,101.001,102.225,103.346,104.435,106.085,107.597,107.918,109.01,109.632,110.93,111.519,113.241,113.064,113.385,113.217,113.122,111.651,110.844,108.944,106.693,103.689,102.41,102.43,101.904,101.075,100.39,100,95.761,94.247,93.972,92.058
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRG3",43.524,44.213,44.715,44.82,44.937,45.11,45.13,45.956,47.438,49.252,51.215,52.292,53.188,53.907,55.49,60.32,65.093,67.268,69.813,73.211,77.707,84.692,90.908,95.206,97.339,99.355,101.59,103.181,105.066,107.345,108.015,109.473,110.121,112.109,113.248,115.136,115.758,116.479,116.298,116.298,115.489,114.789,112.656,110.406,107.689,106.37,105.351,104.598,102.665,100.967,100,95.157,93.365,92.758,90.388
"30","23","        Furniture","DFNRRG3",37.027,37.091,37.478,37.66,37.816,37.867,38.099,39.053,40.508,42.593,45.028,46.837,48.286,49.121,50.802,55.129,59.604,61.697,64.036,67.44,71.938,77.962,83.028,86.527,88.681,90.452,92.861,94.934,96.586,98.783,98.423,99.024,99.06,101.494,103.2,106.065,107.258,108.72,108.606,108.396,108.115,107.722,105.918,103.739,102.345,102.019,100.919,101.764,100.855,99.803,100,95.94,95.024,96.359,95.163
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRG3",87.401,89.767,90.677,90.889,89.32,89.056,88.486,89.874,95.601,97.873,99.839,99.139,98.918,100.353,103.932,109.985,118.014,120.141,123.359,128.482,134.407,148.539,158.665,164.391,167.751,170.041,172.808,171.163,171.128,173.255,176.992,180.964,184.634,186.17,186.153,183.767,181.461,179.365,177.572,178.64,173.779,166.166,159.966,153.744,142.756,136.065,130.874,118.365,109.493,104.006,100,93.499,88.454,83.48,78.575
"32","25","        Carpets and other floor coverings","DFLRRG3",31.555,32.11,32.068,32.001,32.323,32.953,32.642,32.797,32.795,33.471,33.978,33.892,33.872,33.701,34.143,36.957,39.832,41.748,42.852,44.94,47.843,52.398,57.939,61.942,63.19,64.568,66.258,68.119,70.273,71.884,73.621,76.039,76.998,77.857,78.085,79.598,80.946,82.191,83.922,85.659,85.57,87.76,90.449,91.523,90.451,90.466,94.075,98.174,99.419,99.336,100,96.38,96.475,94.91,91.113
"33","26","        Window coverings","DWCTRG3",44.485,48.117,50.342,50.179,50.726,50.368,50.483,51.229,52.402,53.873,55.524,56.151,56.523,58.003,58.899,70.295,76.139,78.207,85.693,88.586,93.416,101.265,109.739,117.973,119.683,124.42,124.763,124.696,128.195,131.795,132.371,133.222,133.256,134.236,134.197,134.229,132.082,129.158,126.418,122.266,122.091,124.049,115.179,112.406,109.822,107.318,105.117,105.335,104.745,104.376,100,92.155,90.394,90.525,90.677
"34","27","      Household appliances (part of 33)","DAPPRG3",64.312,63.435,62.14,60.706,59.556,58.89,57.508,56.545,56.591,57.785,59.054,60.512,61.756,62.078,62.14,65.32,72.545,76.572,79.355,83.408,87.952,92.339,97.692,103.686,106.705,106.912,104.558,104.046,104.831,105.063,105.023,104.362,103.258,102.583,102.855,104.143,103.336,103.169,102.677,101.374,99.125,98.123,97.437,96.406,93.437,90.194,92.733,95.05,98.185,99.23,100,95.638,94.364,98.657,96.456
"35","28","        Major household appliances","DMHARG3",60.911,60.077,58.848,57.492,56.404,55.773,54.469,53.554,53.597,54.725,55.927,57.307,58.483,58.787,58.846,61.865,68.695,72.519,75.162,78.998,83.307,87.458,92.528,98.204,101.062,101.251,99.023,98.542,99.211,99.542,99.85,99.44,98.24,97.492,98.13,100.027,99.85,100.197,99.448,98.045,96.123,95.363,95.085,94.526,91.774,88.755,91.794,94.46,98.047,99.463,100,95.719,94.38,99.557,97.244
"36","29","        Small electric household appliances","DSEARG3",96.792,95.55,93.633,91.436,89.699,88.695,86.561,85.14,85.209,87.045,88.955,91.162,93.054,93.544,93.641,98.361,109.362,115.348,119.485,125.609,132.405,139.04,147.11,156.143,160.702,161.103,157.536,156.677,159.574,157.492,151.574,147.678,147.775,147.847,144.756,140.705,134.564,130.194,131.774,131.29,126.129,122.919,118.443,113.023,108.08,102.823,100.829,100.056,99.378,97.495,100,95.055,94.234,92.811,91.371
"37","30","      Glassware, tableware, and household utensils (34)","DUTERG3",30.742,31.707,32.1,32.927,34.029,34.656,34.643,35.378,36.411,39.243,40.877,42.164,43.409,45.332,47.914,54.126,63.349,67.371,70.199,75.267,81.467,89.94,98.944,103.086,105.02,105.235,105.672,108.525,111.182,112.025,113.715,115.955,118.633,120.995,120.336,121.934,119.535,118.139,117.377,119.956,117.456,116.057,112.873,108.776,104.449,104.297,103.702,100.071,98.54,99.847,100,97.394,95.528,91.666,90.555
"38","31","        Dishes and flatware","DCHNRG3",35.654,36.773,37.23,38.189,39.467,40.194,40.178,41.032,42.23,45.527,47.415,48.908,50.353,52.577,55.572,62.781,73.476,78.139,81.418,87.269,94.466,104.277,114.729,119.566,121.816,122.043,122.568,125.881,128.956,129.934,131.897,134.491,137.604,140.338,139.566,141.428,138.656,137.032,136.141,140.809,137.781,133.893,128.518,122.591,118.047,117.44,115.308,107.538,101.618,101.134,100,95.082,89.853,82.443,80.786
"39","32","        Nonelectric cookware and tableware","DNECRG3",26.663,27.5,27.841,28.558,29.514,30.058,30.046,30.684,31.58,34.029,35.451,36.566,37.645,39.317,41.556,46.941,54.942,58.432,60.885,65.301,70.674,78.033,85.838,89.413,91.087,91.287,91.654,94.125,96.435,97.166,98.631,100.575,102.894,104.947,104.381,105.762,103.672,102.465,101.808,102.895,100.817,101.293,99.871,97.321,93.164,93.391,94.047,93.79,95.901,98.73,100,99.459,100.774,100.545,100.07
"40","33","      Tools and equipment for house and garden (35)","DTOORG3",55.167,55.544,57.138,58.101,58.377,57.967,56.931,55.871,55.761,58.043,60.353,60.008,59.463,59.392,59.522,63.236,69.103,71.558,73.061,74.644,78.753,84.154,90.005,96.703,99.006,99.09,102.287,100.538,100.794,100.873,97.318,98.16,99.238,99.113,99.127,100.885,100.91,102.591,104.063,101.489,99.375,99.342,98.8,97.6,95.417,96.444,99.218,100.292,100.511,99.612,100,97.265,98.449,99.659,100.479
"41","34","        Tools, hardware, and supplies","DHDWRG3",54.552,54.903,56.489,57.439,57.708,57.301,56.276,55.237,55.134,57.392,59.665,59.322,58.782,58.714,58.846,62.511,68.316,70.741,72.228,73.796,77.858,83.196,88.984,95.601,97.877,97.96,101.122,99.393,99.645,99.723,96.211,97.041,98.106,97.985,97.995,99.735,99.759,101.419,102.878,99.767,97.474,98.103,97.513,96.254,93.988,95.505,98.849,100.192,100.486,99.705,100,97.269,98.862,100.378,101.457
"42","35","        Outdoor equipment and supplies","DLWNRG3",58.479,59.103,60.679,61.721,62.058,61.641,60.552,59.323,59.146,61.559,64.095,63.753,63.181,63.091,63.203,67.187,73.392,76.009,77.598,79.262,83.628,89.373,95.554,102.707,105.161,105.247,108.638,106.784,107.059,107.145,103.352,104.263,105.409,105.266,105.296,107.152,107.185,108.982,110.527,110.675,109.519,105.864,105.586,104.739,103.06,101.332,101.082,100.794,100.646,99.186,100,97.247,96.645,96.549,96.313
"43","36","    Recreational goods and vehicles","DREQRG3",218.085,219.572,218.396,216.002,215.571,212.959,210.024,207.694,208.951,213.05,217.957,218.252,226.014,229.291,232.802,243.117,259.208,268.133,275.846,285.744,298.463,315.048,329.175,336.775,332.745,328.035,322.27,312.043,308.099,306.124,305.31,302.833,298.989,289.804,279.406,273.586,262.087,243.51,223.129,204.295,186.497,174.832,162.919,152.363,142.74,135.716,128.357,120.579,112.311,106.669,100,92.854,86.679,81.424,76.993
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRG3",1109.003,1110.29,1092.294,1059.821,1046.146,1042.313,1009.659,969.342,955.594,951.186,950.211,950.424,956.287,963.63,962.522,979.805,1008.063,1020.109,1022.573,1037.55,1063.118,1087.874,1107.77,1099.868,1047.331,1000.965,948.005,887.516,857.828,824.196,801.154,765.547,728.772,679.028,631.924,598.616,549.455,478.352,409.743,349.676,300.911,269.585,237.288,210.925,188.534,172.511,156.109,139.591,124.143,112.417,100,89.423,81.031,73.41,67.411
"45","38","        Video and audio equipment","DVAARG3",504.405,504.375,494.658,478.034,470.069,462.805,447.226,427.887,421.446,420.04,419.328,419.659,421.91,423.056,421.402,428.169,440.215,444.405,444.405,448.944,459.01,466.833,474.936,473.232,459.833,440.35,414.804,394.354,381.531,366.788,357.427,348.189,340.101,332.996,325.819,316.48,305.735,293.059,281.045,267.787,250.546,235.1,221.477,207.052,192.792,179.226,165.144,148.797,129.521,116.002,100,86.384,77.505,68.679,62.616
"46","39","          Televisions","DTVSRG3",1268.737,1277.281,1241.531,1181.387,1151.982,1125.963,1080.875,1025.551,1005.517,1002.471,1000.867,1002.072,1006.258,1000.201,985.533,994.51,1021.519,1034.617,1021.973,1020.519,1034.472,1048.654,1057.056,1043.385,1006.914,955.13,887.005,833.205,796.982,773.106,754.49,737.466,720.22,712.132,692.026,680.446,659.064,620.824,590.586,564.434,521.893,474.378,424.919,380.852,329.876,284.916,251.714,210.304,160.364,132.577,100,75.778,62.887,51.45,43.527
"47","40","          Other video equipment","DOVARG3",1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1351.102,1340.237,1340.053,1358.674,1376.806,1387.866,1370.267,1322.469,1254.254,1165.045,1094.051,1021.861,944.577,896.999,845.538,784.974,749.482,724.47,674.71,639.007,599.817,570.03,509.317,430.138,354.336,290.74,254.349,217.199,191.382,169.112,146.723,128.983,111.895,100,87.67,76.584,67.503,61.953
"48","41","          Audio equipment","DAUDRG3",240.985,236.743,232.553,225.065,221.626,217.111,205.815,192.308,189.164,188.565,187.351,186.999,186.224,187.101,188.157,192.905,196.833,199.04,198.659,203.714,210.779,215.44,222.319,224.906,221.1,215.363,208.07,202.238,204.392,202.293,201.367,200.928,203.594,201.606,199.472,197.68,193.058,188.748,182.523,174.593,166.82,163.777,157.746,149.885,141.988,134.718,123.629,117.226,110.632,105.384,100,96.752,92.227,85.845,81.706
"49","42","          Recording media","DRECRG3",144.009,144.279,144.455,144.604,144.944,147.164,146.724,146.124,145.513,143.707,144.586,145.382,150.752,156.23,157.971,164.789,178.423,180.17,188.104,192.424,198.428,202.459,207.613,208.43,203.558,196.156,186.354,178.297,173.401,166.074,161.868,157.773,154.834,151.476,148.788,144.688,140.001,135.287,130.204,127.341,124.101,122.558,124.841,122.018,122.647,122.125,119.584,114.581,109.351,106.119,100,94.566,92.056,88.065,86.135
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRG3",84.983,85.142,85.246,85.334,85.535,86.845,86.585,86.231,85.87,84.804,85.323,85.793,88.962,92.195,93.222,97.246,105.291,106.322,111.005,113.836,117.769,120.374,124.219,125.641,123.525,120.324,116.254,112.986,114.19,113.011,112.5,112.243,113.739,112.627,111.435,110.439,107.84,105.442,101.975,101.057,102.462,103.366,107.864,106.811,109.555,109.907,110.993,108.862,106.705,104.683,100,95.198,92.763,89.839,90.262
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.714,426.128,431.842,437.685,440.874,435.346,420.072,398.163,369.937,347.544,324.666,300.193,285.077,268.73,249.536,238.179,230.234,214.43,203.062,190.599,181.141,171.827,155.421,148.221,145.672,139.854,137.045,135.303,128.314,120.205,111.937,107.545,100,93.9,91.306,86.064,81.44
"52","45","        Photographic equipment","DCAMRG3",166.226,168.002,169.288,170.736,174.31,194.097,186.595,179.529,175.492,168.388,165.329,160.6,156.964,163.133,165.165,169.95,173.56,176.195,177.062,183.274,190.061,210.538,217.951,223.83,226.104,228.817,231.365,239.317,254.101,264.941,276.119,281.774,285.845,290.024,292.11,286.607,287.852,287.571,288.053,280.717,272.542,265.121,250.096,233.896,215.832,190.626,168.54,146.66,119.346,105.424,100,92.306,86.322,81.259,75.517
"53","46","        Information processing equipment","DIPERG3",7624.51,7660.675,7656.246,7499.774,7491.451,7493.106,7866.039,8246.648,8519.955,8961.65,9456.924,9808.587,10474.385,11163.882,11520.23,11932.487,12706.019,13566.211,14392.802,15479.93,16269.789,15633.86,15617.277,14187.744,10816.153,9743.513,9177.189,7215.41,6613.34,6123.953,5738.822,4906.537,4162.883,3215.969,2516.645,2212.327,1775.57,1246.216,856.431,597.737,439.425,359.646,276.949,222.281,183.82,164.238,144.745,128.199,117.934,108.448,100,92.946,85.025,78.781,72.868
"54","47","          Personal computers and peripheral equipment","DCPPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80144.161,80144.161,78056.107,52602.199,44707.253,35985.747,25474.136,22395.415,20653.212,15562.847,14058.351,12869.717,11950.114,10042.383,8407.346,6384.696,4923.306,4298.719,3420.488,2372.695,1613.488,1061.131,721.975,556.579,398.399,300.579,237.961,207.561,174.165,147.214,131.679,115.452,100,92.968,83.704,75.81,69.126
"55","48","          Computer software and accessories","DCPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11652.779,11652.779,11349.151,7648.254,6500.253,5231.644,3711.798,3256.012,3002.798,2262.913,2043.275,1869.931,1736.09,1459.459,1220.713,927.364,716.28,625.431,497.414,344.964,234.568,192.938,177.131,170.997,158.522,147.978,134.101,124.946,117.978,110.763,105.073,101.447,100,92.81,86.231,81.985,77.234
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRG3",36.614,36.788,36.767,36.015,35.975,35.983,37.774,39.602,40.914,43.036,45.414,47.103,50.3,53.611,55.322,57.302,61.017,65.148,69.117,74.708,79.398,85.986,96.287,109.179,120.352,130.121,141.002,152.543,164.078,175.564,186.861,202.045,212.564,224.294,232.112,240.483,249.755,263.906,276.778,268.244,238.227,215.1,193.235,175.95,157.032,140.809,129.611,117.897,109.301,104.716,100,96.324,93.027,88.031,83.726
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRG3",63.371,63.978,64.519,65.068,65.313,62.731,62.738,64.451,66.84,70.49,73.525,73.767,73.582,72.205,73.123,75.807,80.495,83.087,85.074,87.297,91.089,97.004,102.512,105.45,106.669,106.688,105.086,104.153,105.739,109.485,111.717,115.772,120.256,121.006,119.804,121.688,120.847,119.615,118.628,116.35,110.483,106.497,104.23,101.48,100.633,99.419,98.311,97.049,95.659,97.83,100,97.03,92.427,91.376,89.037
