"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"11","3","  Durable goods","DDURRX0",652136,667397,672542,683048,696223,708063,706477,713106,717779,712188,716470,734309,750167,770528,762972,745330,750525,745607,746182,756897,776453,768985,762792,763541,766484,787856,778730,765680,775155,790205,782020,800710,775070,883465,852501,818309,832465,847389,843049,866468,832442,848748,875313,893013,854027,846183,854640,885309,872515,850219,871323,894406,902457,916248,929156,962725,942204,944719,965506,960197,959188,972866,985983,976205,1003355,966941,995519,991204,1017312,1007943,1007346,1031230,1017577,1024756,1036424,1068753,1022937,1074405,1114046,1057632,1030313,1020980,1039806,1055726,1088159,1074275,1081611,1083180,1071430,1085845,1100524,1082333,1102369,1102976,1105431,1120410,1122935,1120423,1122752,1129165,1149478,1136113,1136559,1151167,1164971,1162431,1157406,1146544,1134878,1117176,1115413,1117316,1124644,1115023,1087315,1105086,1061708,1015289,1010609,994364,1025200,1006324,994305,986129,1006815,1014754,1034005,1110451,1007209,1015754,1037807,1041066,1028349,1030803,1076336,1072172,1075582,1081146,1088500,1094575,1098209,1127157,1126191,1128880,1134875,1138573,1153566,1150519,1137991,1131479,1149177,1146118,1167972,1190367,1190455,1194244,1207240,1223470,1228523,1227332,1226144,1232314,1239850,1249997,1270349,1263368,1290498,1301732,1300343,1304612,1305529,1314877,1320635,1334222,1338665,1361704,1345360,1355058,1374502,1343720,1338779,1339580
"12","4","    Motor vehicles and parts","DMOTRX0",316480,321900,323611,336417,343437,350603,344566,345857,343127,330320,333162,339520,356693,373030,358444,336444,340191,333341,332538,340479,355043,348353,341495,341171,339416,364952,355313,335374,344717,361887,346167,361462,346751,452697,403397,357566,369605,380703,377022,396629,359846,377113,406564,420985,377559,366398,369757,397578,385858,369806,376545,395310,391727,394366,399223,422732,397790,394457,407574,399501,398980,402571,405677,399020,423431,383466,402848,397368,421635,408179,405001,417733,402428,394805,406354,427428,388264,427478,471138,403675,375056,350320,368875,384127,387523,376589,382108,385384,374301,386072,400819,380558,384165,387635,386091,390343,388362,396062,387006,391872,403817,392947,383976,391138,404774,400868,389047,383596,378867,371538,365350,359152,356973,349415,324669,353093,334345,298909,299734,297728,314065,301288,307439,295944,313554,317334,334156,398584,293737,304981,312349,311261,298503,291186,328931,317707,321192,320237,325273,325393,326582,346357,337260,342252,346576,343946,345176,339203,330012,320805,331663,323125,339185,348688,348909,355555,358153,364088,358734,358901,353102,356940,355761,362172,372437,365560,381258,380621,381125,380917,379657,376342,379179,383638,383835,393290,375900,377061,397141,378278,376703,375055
"13","5","      New motor vehicles (55)","DNMVRX0",175767,181068,181542,181701,190622,193451,189045,191385,191030,192555,189584,200549,204916,211095,203990,198286,198835,192708,193073,197057,208632,199286,189172,184341,198385,210332,207106,199457,197834,213767,199944,201716,202382,298895,258498,225537,233933,238698,231236,234960,213365,222947,249324,263696,228812,221148,222461,253021,234254,224135,233330,250047,246728,249102,247663,272158,247328,241921,255101,247194,253467,249881,250643,244418,263503,228106,243936,242262,258382,249334,243330,251221,233197,234172,243883,263391,241405,270111,317548,247955,224236,200694,215228,230262,232676,224172,224818,229598,223289,230465,246347,223046,229317,228427,228984,232545,233720,241337,231753,232247,238862,233532,219736,227061,237048,237085,228493,223551,218800,212911,208598,202129,201498,189970,171181,201125,182483,152538,152882,151772,158765,148730,151390,141995,160849,161264,181072,241521,148382,158913,166541,168055,158022,149034,183351,176042,176166,176382,180974,181747,179837,195212,190345,195958,200818,196851,198726,198507,188436,181690,190067,186545,200458,210389,209801,214251,216641,221141,218669,220189,216685,220107,216660,219450,229508,218296,234640,230548,230610,229288,227399,225214,229286,233488,231805,238278,225439,223587,245009,228650,230643,229077
"14","6","        New autos","DNEARX0",82788,87902,89674,89308,94214,95466,94213,95448,91701,98537,96135,98466,102055,104701,101037,99077,100271,97338,96359,95562,96495,96364,90970,88695,93917,99134,93174,90242,89449,94695,88326,88741,86435,129285,110233,92315,96704,97388,94196,98038,90502,90919,99199,102039,95046,87889,90799,95300,97540,90217,92119,92606,89673,91236,91962,98829,88023,88739,94682,87461,91989,93605,96421,91180,96114,87665,90492,89509,91803,94185,93519,98630,91918,93917,97302,107107,93619,97669,105686,101923,99584,95104,93961,94526,106831,97647,94775,102179,98505,96996,106037,100024,97128,95684,96761,100804,98261,98308,96452,94622,101212,95661,88543,88839,95376,95712,98146,98534,98506,92702,92647,94413,102461,100117,86981,86671,77182,71716,65008,63636,62185,60855,62773,56863,64752,68878,84876,118255,66553,67683,69191,71261,63863,58869,69126,67746,65603,68665,69268,70843,70281,73832,71511,75494,76431,78365,82444,81370,75085,72446,70477,70027,74174,79703,79598,81385,86819,94358,90145,89906,86851,87288,86637,87989,91665,88425,94409,91797,92334,91619,87836,85709,87357,90057,88088,91150,88630,89601,95001,92563,87361,86992
"15","7","          New domestic autos","DNDCRX0",54707,58287,59694,58634,60068,62728,60139,63032,59560,59819,60939,63030,67432,69566,67647,65158,66433,63325,62659,62752,62607,61683,58798,54247,62715,67209,61958,56532,57103,61955,55985,56182,56953,93317,77124,59240,64586,65182,61352,65834,59936,59992,67299,70872,62087,58730,58636,63384,63319,57362,60586,62493,59719,60009,60724,67862,55994,58576,62582,58232,61336,60101,62406,57561,61731,55070,59367,57477,59156,57760,59305,63492,59959,60070,63650,72633,59674,62889,69528,65687,63973,59510,59724,59410,71698,63571,59950,65066,61065,59583,66924,63047,60045,57839,58362,59596,61300,61739,59988,57966,63960,60126,53507,54411,59516,59900,62038,62383,64944,57907,55553,56152,62944,61074,50141,53090,48407,44704,40288,40109,39228,36570,38155,34040,40192,43709,55986,83249,41684,41921,44077,46363,39932,36983,46079,44768,41552,43408,43891,44161,44921,47761,46179,49747,50464,51995,55030,54343,48934,47874,45393,44834,48532,53628,53147,55171,57384,62465,60112,59680,58076,58657,57031,59903,61812,58467,62519,60567,62723,60954,58576,56638,57505,59505,56873,59532,57329,58625,62293,58454,58223,58192
"16","8","          New foreign autos","DNFCRX0",28081,29615,29980,30674,34147,32738,34074,32416,32141,38718,35196,35436,34623,35136,33390,33919,33838,34014,33700,32809,33888,34681,32172,34448,31201,31925,31215,33710,32345,32739,32341,32559,29482,35969,33109,33076,32119,32206,32844,32204,30566,30926,31900,31167,32959,29159,32163,31916,34221,32855,31533,30112,29954,31227,31237,30967,32029,30163,32099,29229,30653,33503,34015,33619,34383,32595,31125,32032,32647,36425,34214,35138,31959,33846,33652,34473,33946,34780,36157,36235,35611,35595,34237,35116,35132,34076,34825,37113,37440,37413,39113,36977,37083,37844,38399,41208,36961,36570,36464,36656,37252,35535,35037,34428,35859,35812,36108,36151,33562,34796,37094,38262,39517,39043,36839,33581,28775,27012,24719,23527,22957,24285,24617,22823,24559,25169,28890,35007,24870,25762,25114,24898,23932,21886,23046,22977,24051,25257,25377,26682,25360,26071,25332,25747,25966,26370,27414,27027,26151,24572,25084,25194,25642,26075,26452,26214,29435,31893,30033,30227,28775,28631,29607,28086,29853,29959,31890,31230,29610,30665,29260,29072,29851,30552,31216,31618,31300,30976,32708,34109,29137,28800
"17","9","        New light trucks","DNWTRX0",93537,93894,92694,93192,97280,98859,95750,96870,100007,95135,94487,102948,103850,107387,103904,100192,99611,96393,97657,102273,112661,103690,98901,96330,105105,111844,114276,109580,108745,119335,111848,113184,115995,169783,148312,133020,137083,141093,136826,136832,122862,131827,149757,161103,133670,132932,131478,157036,136646,133660,140831,156654,156171,157018,154938,172347,158293,152364,159628,158680,160548,155551,153658,152505,166461,139910,152678,151971,165533,154476,149254,152156,140907,139986,146263,156049,147304,171503,210306,145858,124851,106011,121313,135528,126082,126568,129966,127529,124850,133369,140282,123122,132139,132668,132170,131743,135403,142914,135229,137515,137609,137760,131053,138016,141503,141200,130288,124991,120282,120124,115897,107730,99102,89884,84153,114488,105339,80727,87915,88174,96681,87893,88611,85139,96093,92367,96211,123301,81821,91194,97293,96749,94109,90116,114137,108229,110464,107666,111635,110860,109515,121276,118716,120385,124274,118452,116314,117137,113305,109194,119482,116416,126165,130580,130102,132768,129785,126835,128530,130280,129807,132776,129997,131440,137813,129875,140219,138719,138254,137643,139479,139384,141803,143333,143575,147006,136784,134027,149927,136167,143133,141945
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",90079,89812,90977,102013,100005,103879,102108,101185,98448,85672,90640,86552,97841,107032,100009,86302,88929,88163,87615,90927,92261,96206,99805,103303,90374,102130,96646,85089,94824,95875,94574,106299,93685,99523,93216,82357,85542,91005,94876,108109,95242,101536,104300,104319,97070,93956,95868,93199,99455,94585,91443,92952,92371,92043,97365,95839,95531,97869,96925,97467,91053,97044,98565,98970,102738,99870,102267,98623,105479,101196,103830,107183,109440,102027,104246,104369,89493,97676,93901,97143,93581,92242,94227,94421,94009,93034,97598,96384,93065,96824,95320,98255,95461,99431,97735,97633,94980,95076,94801,99154,103638,98870,103205,102574,105875,102144,100003,100384,100751,99897,98396,98479,96951,101106,96416,95636,96268,92506,93403,93146,102346,100191,104856,102818,101189,104462,101068,104016,94773,94239,94321,91636,88632,89999,92482,88046,91179,90389,90801,89443,92111,96198,91958,91180,91629,92579,91395,86286,87340,84270,86911,81658,83674,83279,83890,86753,86235,87728,85496,83940,82058,82818,84691,88370,88289,92462,92135,95544,95672,95857,97238,96154,94588,95040,96658,99377,94873,97114,94994,92560,89934,89593
"19","11","        Used autos","DNPURX0",52153,51930,52984,59496,56465,60161,58145,58229,57469,47074,51438,47931,54041,64169,56338,46750,50107,48276,45872,49446,52537,55072,57925,61429,49202,58194,52826,48671,54564,52595,52263,57944,50593,50736,50656,42670,47838,48565,50241,57077,51175,53535,55319,54266,50353,48554,50467,48135,52348,49845,47922,48899,48598,48454,51475,51004,50558,52223,51921,52164,47903,51431,52537,53035,55382,53528,54682,52045,56141,53387,54972,56748,58124,53274,54919,55742,46571,51376,48659,50641,48962,48481,48974,48893,48263,48179,50226,49744,47279,49303,48273,49700,47189,48809,47421,46888,45535,44922,44364,46241,48043,46004,47959,47351,48800,47428,47161,47703,48557,48409,47689,47892,47354,48816,46447,45030,44640,41119,41670,40659,43870,43057,45579,43647,42642,44303,42606,44581,40712,40752,40849,39321,38050,38312,39187,37133,38393,38150,38839,38888,40422,42718,41287,41316,42035,43734,43212,42114,42839,40423,42221,39677,41220,40473,41115,42538,42221,42525,40793,39914,38647,38914,39574,41016,40725,43036,42386,43533,43281,42770,43636,43014,41820,41919,43503,44901,42346,43425,41938,41284,39327,38736
"20","12","          Net transactions in used autos","DNETRX0",30464,30497,31305,36046,32862,36130,34271,34570,34255,26037,30200,26648,30476,39664,32606,25227,28606,26942,24148,27119,29616,31536,33859,36857,25961,33736,28780,24479,29485,27748,27840,33537,27850,27852,27726,20275,24842,25748,27758,35158,29623,32251,35105,34480,30817,29091,30535,27741,29145,28590,28507,29166,28531,28136,29157,28988,30461,30358,30499,31718,31098,31533,31900,31703,32503,32224,32922,32411,32005,32593,33253,33757,31743,32583,30386,30030,28376,29592,29275,29812,28534,27945,28486,28291,27892,26972,28334,27954,27417,27504,26658,26485,26612,26066,25634,25576,24545,25076,25018,25248,26775,25416,25889,25941,26578,25599,25583,25747,26129,25672,25837,26282,26120,27247,25837,25306,24795,24398,23051,23422,26142,25872,26008,26317,26072,26001,25869,26590,25451,24596,23944,23121,22465,22185,21970,21264,21720,22136,22186,22216,23062,24858,23935,24061,24532,24690,25419,23195,23617,23221,23446,21749,22104,21959,22113,22177,21529,21856,21470,20648,19922,19467,19663,21032,21439,21752,22567,23149,23222,23725,23339,23243,23561,24053,24000,24553,23913,24718,24479,22704,22401,22368
"21","13","          Used auto margin","DMARRX0",23916,23629,23825,25424,25856,26058,26066,25802,25302,23520,23352,23729,26000,26281,26059,24186,23817,23798,24592,24947,25321,25839,26164,26403,26237,26678,26862,27586,28055,27967,27409,26806,25500,25638,25626,25689,25857,25504,24953,23989,23793,23397,22124,21685,21553,21529,22041,22662,25687,23593,21585,21886,22269,22564,24720,24418,22242,24126,23677,22723,19029,22183,22947,23591,25168,23625,24081,21972,26430,23128,24068,25353,28774,22930,26760,27936,20431,23994,21617,23058,22595,22688,22635,22705,22499,23298,24021,23906,21981,23933,23752,25362,22667,24778,23804,23304,22947,21867,21403,22998,23386,22621,24025,23399,24218,23802,23559,23962,24445,24747,23818,23552,23156,23413,22540,21672,21829,18631,20635,19118,19514,18953,21362,19081,18273,20018,18455,19667,16975,17879,18639,17937,17336,17890,18967,17668,18423,17788,18425,18409,19093,19620,19094,19005,19276,20844,19539,20669,21004,18925,20533,19690,20883,20267,20769,22167,22517,22512,21118,21037,20497,21239,21717,21785,21085,23137,21637,22180,21778,20772,22052,21553,19992,19606,21317,22189,20193,20478,19219,20352,18597,18047
