"","Table 9#1U# Reconciliation of Percent Change in the CPI with Per","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"11","3","    Gasoline and other motor fuel","W903RV2",0.02,-0.08,-0.02,-0.04,-0.13,0.13,-0.09,-0.02,-0.04,-0.01,-0.02,-0.09,0.01,-0.01,-0.33,0.04,0.02,-0.07,-0.07,0.15,-0.05,-0.12,-0.02,-0.12,-0.05,-0.09,-0.12,0.4,0.06,-0.06,-0.1,-0.06,0,0.02,-0.01,-0.05,-0.07,-0.08,-0.01,0.02,-0.03,0.04,-0.04,-0.02,0.03,0.08,-0.07,0.01
"12","4","    Personal computers and peripheral equipment","W904RV2",-0.06,-0.03,-0.04,-0.07,-0.04,-0.06,-0.08,-0.03,-0.01,-0.01,-0.03,-0.05,-0.04,-0.03,-0.04,-0.04,-0.03,-0.03,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.04,-0.01,0,-0.01,0,-0.01,-0.02,-0.02,-0.03,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01
"13","5","    Video and audio equipment","W905RV2",-0.01,-0.02,-0.03,-0.02,-0.03,-0.04,-0.04,-0.02,-0.02,-0.03,-0.03,-0.02,-0.04,-0.03,-0.04,-0.06,-0.02,-0.04,-0.06,-0.09,-0.07,-0.07,-0.07,-0.03,-0.04,-0.04,-0.04,-0.06,-0.07,-0.06,-0.08,-0.1,-0.05,-0.03,-0.03,-0.04,-0.03,-0.04,-0.05,-0.05,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"14","6","    Tobacco","W906RV2",0,-0.03,-0.03,0.01,0,0.01,-0.01,0,0,0,-0.01,0,-0.01,0,-0.01,0,0,0,0,0,-0.01,0,0,-0.01,-0.01,0,-0.01,0,-0.01,-0.08,-0.02,-0.01,0,-0.01,-0.02,0,-0.01,0,-0.01,-0.01,0,0,-0.01,0,0,0,-0.01,0
"15","7","    Health care","W907RV2",0,0.01,0.02,0.03,0.01,0.03,0.02,0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,-0.01,0,0
"16","8","    Electricity, gas, fuel oil, and other household fuels","W908RV2",0.02,-0.01,0,-0.01,-0.06,0.02,0,0.01,0,-0.01,-0.02,-0.03,-0.01,-0.02,-0.08,-0.12,0.02,0.04,0,0.02,-0.02,-0.03,0,-0.07,-0.03,-0.09,-0.02,0.08,0,-0.01,0,-0.01,0.01,0,0,0,-0.01,-0.01,0.01,0,0,0.02,0.01,-0.03,-0.01,0.04,-0.01,-0.01
"17","9","    Housing","W909RV2",0,-0.01,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,0,0,0,0,-0.01,-0.01,0,-0.01,0,0,0,0.02,0.01,0.01,0,0,0,0,0,0,0.01,0,0.01,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02
"18","10","    Food and beverages purchased for off-premises consumption","W910RV2",0,0,0.01,0,-0.01,-0.02,-0.02,-0.06,0,-0.01,-0.01,-0.03,0.02,-0.02,0.01,-0.01,-0.01,0.01,-0.01,0.01,0,0,0,-0.01,-0.01,-0.01,-0.02,0.01,-0.01,0,0,0,0.01,0,0,0,-0.01,-0.01,-0.01,-0.02,-0.01,0,0,-0.01,0,0,0,0
"19","11","    Other","W911RV2",0,-0.07,-0.09,-0.05,-0.05,-0.12,-0.05,-0.03,-0.02,-0.02,-0.06,-0.05,-0.07,-0.11,-0.09,-0.04,-0.07,-0.05,-0.04,-0.07,-0.06,-0.12,-0.13,-0.05,-0.05,-0.05,-0.07,0.03,-0.12,-0.07,-0.12,-0.1,0.03,0,-0.04,-0.07,-0.12,-0.18,-0.05,-0.07,-0.02,-0.04,-0.07,-0.04,0,-0.02,-0.1,-0.08
"20","12","Equals: PCE fixed-weight price index (percent change)","W912RV2",0.76,3.35,2.23,2.01,3.21,0.4,2.75,1.78,3.22,2.96,2.54,3.48,2.25,2.93,5.05,3.42,1.96,3.26,3.09,-0.68,4.03,3.59,2.55,4.42,3.66,4.56,4.43,-6.07,-2.11,2.09,2.86,3.03,1.37,0.47,1.28,2.3,3.25,4.02,2.43,1.47,2.38,1.09,1.83,1.77,1.1,-0.15,2.16,1.2
"21","13","  Less: Weight effect (percentage points)","W913RV2",-0.25,-0.63,-0.52,-0.5,-1.03,0.06,-0.58,-0.27,-0.52,-0.76,-0.66,-1.04,-0.45,-0.53,-1.34,-1.25,-0.62,-0.72,-0.96,0.39,-0.97,-1.18,-0.61,-0.93,-0.74,-0.99,-1.3,2.92,1.17,0.02,-0.82,-0.75,-0.36,0.27,-0.24,-0.78,-1.17,-1.1,-0.65,-0.09,-0.24,-0.53,-0.53,-0.42,-0.25,-0.35,-0.6,-0.45
"22","14","    Rent of shelter","W914RV2",-0.55,-0.46,-0.41,-0.4,-0.37,-0.19,-0.27,-0.34,-0.31,-0.42,-0.36,-0.27,-0.39,-0.33,-0.35,-0.37,-0.49,-0.68,-0.69,-0.58,-0.53,-0.37,-0.39,-0.51,-0.41,-0.35,-0.36,-0.33,-0.32,-0.26,-0.04,0.08,0.08,-0.01,-0.07,-0.14,-0.23,-0.22,-0.35,-0.34,-0.31,-0.31,-0.32,-0.35,-0.31,-0.34,-0.37,-0.41
"23","15","      Imputed rental of owner-occupied nonfarm housing","W915RV2",-0.42,-0.37,-0.32,-0.31,-0.27,-0.11,-0.2,-0.28,-0.24,-0.33,-0.27,-0.21,-0.3,-0.24,-0.26,-0.28,-0.4,-0.56,-0.56,-0.46,-0.4,-0.26,-0.3,-0.4,-0.32,-0.26,-0.25,-0.24,-0.25,-0.21,-0.03,0.06,0.08,0.01,-0.06,-0.11,-0.17,-0.17,-0.28,-0.26,-0.24,-0.24,-0.24,-0.26,-0.24,-0.26,-0.28,-0.33
"24","16","      Rental of tenant-occupied nonfarm housing","W916RV2",-0.12,-0.09,-0.08,-0.09,-0.1,-0.08,-0.08,-0.06,-0.07,-0.09,-0.09,-0.07,-0.09,-0.08,-0.09,-0.08,-0.08,-0.11,-0.13,-0.12,-0.13,-0.11,-0.09,-0.12,-0.1,-0.09,-0.11,-0.09,-0.07,-0.05,-0.01,0.02,0,-0.02,-0.02,-0.03,-0.06,-0.05,-0.07,-0.08,-0.07,-0.07,-0.08,-0.09,-0.07,-0.08,-0.09,-0.08
"25","17","    Hotels and motels","W917RV2",-0.1,0.02,0.02,-0.01,0.06,-0.01,-0.12,-0.11,0.01,-0.3,-0.06,-0.11,-0.12,-0.03,0.17,-0.21,-0.14,-0.09,0.01,-0.09,-0.11,-0.16,-0.11,0.02,-0.1,0.15,0.03,0.1,0.15,0.21,0.14,-0.1,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,-0.01
"26","18","    Gasoline and other motor fuel","W918RV2",0.11,-0.37,-0.08,-0.15,-0.51,0.51,-0.31,-0.04,-0.31,-0.1,-0.12,-0.42,0.08,-0.07,-1,0.08,0.07,-0.36,-0.29,0.82,-0.24,-0.54,-0.09,-0.45,-0.4,-0.54,-0.74,2.7,1.03,-0.41,-0.89,-0.37,-0.1,0.29,-0.16,-0.68,-0.65,-0.58,-0.07,0.11,-0.18,0.25,-0.25,-0.12,0.15,0.44,-0.35,0.06
"27","19","    Electricity, gas, fuel oil, and other household fuels","W919RV2",0.05,0.02,0.02,-0.07,-0.18,-0.24,-0.03,0.04,-0.07,-0.05,-0.15,-0.09,-0.05,-0.19,-0.27,-0.71,-0.1,0.24,-0.03,0.03,-0.16,-0.09,0.05,-0.04,-0.08,-0.42,-0.32,0.2,0.11,0.29,0.11,-0.07,-0.06,-0.01,0.01,0.07,-0.01,-0.09,-0.03,0.06,0.13,0.06,0.05,-0.05,-0.07,-0.19,0.05,-0.03
"28","20","    Other","W920RV2",0.23,0.17,-0.07,0.13,-0.03,0,0.15,0.17,0.16,0.11,0.02,-0.16,0.01,0.08,0.11,-0.04,0.04,0.16,0.04,0.21,0.08,-0.01,-0.06,0.06,0.24,0.17,0.09,0.24,0.2,0.2,-0.13,-0.3,-0.29,-0.01,-0.01,-0.03,-0.28,-0.22,-0.19,0.09,0.11,-0.53,-0.01,0.11,-0.03,-0.28,0.07,-0.05
"29","21","  Less: Scope effect - PCE price index items out-of-scope of the CPI (percentage points)","W921RV2",0.18,0.94,0.87,0.4,0.26,1.01,0.56,0.64,0.86,0.87,0.77,0.49,0.86,0.87,0.74,0.9,0.45,0.61,0.61,0.63,1.41,0.51,0.88,0.72,0.33,0.46,-0.04,-0.5,-0.67,0.25,0.5,1.06,0.63,0.57,0.42,0.47,0.22,0.51,0.33,0.34,0.42,0.52,0.48,0.58,0.19,-0.05,0.29,0.65
"30","22","    Physician services","W922RV2",-0.12,0,0.05,0.03,-0.03,0.16,0.1,0.05,0.1,0.03,0.03,0.05,0.1,0.07,0.06,0.05,-0.06,0.07,0.1,0.03,0.46,0.02,0.07,0.01,0.03,0.03,0.08,0.08,0.11,0.1,0.09,0.1,0.08,0.1,0.12,0.07,0,0.08,0.06,0.08,0.05,0.03,0.02,0,0.01,-0.04,0.04,0.04
"31","23","    Hospital and nursing home services","W923RV2",0.21,0.27,0.45,0.37,0.44,0.43,0.32,0.38,0.46,0.35,0.26,0.27,0.33,0.28,0.3,0.44,0.28,0.35,0.36,0.24,0.31,0.25,0.26,0.49,0.16,0.21,0.19,0.18,0.3,0.25,0.28,0.37,0.22,0.19,0.11,0.15,0.21,0.26,0.2,0.15,0.18,0.24,0.27,0.16,0.28,-0.08,0.16,0.23
"32","24","    Financial services furnished without payment","W924RV2",-0.07,0.32,0.19,0.17,0.04,0.05,0.06,-0.06,0.1,0.11,0.21,0.07,0.03,0.06,0.12,0.12,0.15,0.08,0,0,0.08,0.04,0.22,0.06,0.07,0,-0.27,-0.34,-0.7,-0.07,-0.13,0.32,0.14,0.21,0,0.01,-0.07,-0.12,0.19,0.08,0.2,0.16,0.21,0.19,-0.07,-0.16,0.01,0.13
"33","25","    Foreign travel by U.S. residents","W925RV2",-0.01,0.1,0.16,-0.07,0.08,0.22,0.01,-0.02,0.06,0.08,0.09,0.1,0.07,0.16,0.03,-0.07,0.09,0.09,0.04,0.06,0.07,0.11,0.09,0.09,0.11,0.22,0.05,-0.21,-0.22,-0.11,0.03,0.16,0.06,0.06,0,0.08,0.03,0.08,0.04,-0.02,0.05,0.02,-0.03,0.04,0.02,-0.03,-0.01,0.06
"34","26","    Final consumption expenditures of nonprofit institutions serving households","W937RV2",0.08,0.05,-0.11,-0.09,-0.07,-0.13,-0.04,-0.05,-0.17,0.06,0.03,-0.06,0.09,0.05,0.09,0.03,0.01,0.01,-0.05,0,0.13,-0.01,0.06,-0.11,0.06,0.06,0.02,-0.14,-0.2,-0.07,-0.01,-0.11,-0.03,-0.04,0.06,0.05,0,0.07,-0.09,0,-0.05,0,-0.05,0.07,-0.05,0.26,0.05,0.05
"35","27","    Other","W926RV2",0.09,0.21,0.14,-0.02,-0.21,0.29,0.11,0.34,0.3,0.23,0.16,0.07,0.24,0.27,0.14,0.33,-0.02,0.03,0.16,0.29,0.37,0.09,0.19,0.17,-0.11,-0.06,-0.11,-0.06,0.03,0.15,0.25,0.22,0.16,0.07,0.14,0.11,0.06,0.14,-0.07,0.05,-0.01,0.07,0.07,0.12,0,0.01,0.04,0.15
"36","28","  Plus: Scope effect - CPI items out-of-scope of the PCE price index (percentage points)","W927RV2",0.22,0.21,0.26,0.26,0.16,0.12,0.24,0.31,0.35,0.23,0.23,0.23,0.25,0.21,0.18,0.21,0.1,0.22,0.2,0.18,0.31,0.25,0.28,0.25,0.19,0.16,0.18,0.16,0.2,0.16,0.19,0.22,0.24,0.13,0.09,0.16,0.15,0.17,0.14,0.23,0.21,0.23,0.21,0.14,0.17,0.06,0.19,0.08
"37","29","    Physician services","W928RV2",0.03,0.01,0.08,0.06,0.02,0.03,0.03,0.05,0.09,0.08,0.05,0.05,0.05,0.06,0.04,0.03,-0.02,0.03,0.03,0.05,0.12,0.04,0.05,0.05,0.01,0.04,0.04,0.05,0.03,0.05,0.03,0.03,0.08,0.04,0.05,0.03,0.06,0.04,0.02,0.05,0,0.04,0.07,0.03,0.02,0.04,0.01,0.03
"38","30","    Hospital and nursing home services","W929RV2",0.13,0.14,0.11,0.14,0.09,0.06,0.13,0.09,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.1,0.11,0.13,0.1,0.07,0.08,0.12,0.14,0.16,0.1,0.07,0.08,0.07,0.11,0.1,0.11,0.1,0.14,0.11,0.06,0.13,0.07,0.1,0.08,0.09,0.06,0.1,0.07,0.06,0.09,0.02,0.14,0.05
"39","31","    Other","W930RV2",0.07,0.05,0.07,0.06,0.05,0.03,0.07,0.17,0.18,0.07,0.1,0.11,0.1,0.08,0.08,0.08,0,0.06,0.07,0.06,0.11,0.09,0.09,0.03,0.08,0.05,0.05,0.04,0.06,0.01,0.05,0.09,0.03,-0.02,-0.03,0,0.03,0.04,0.05,0.09,0.15,0.09,0.07,0.05,0.06,0,0.04,0
"40","32","  Less: Other effects (percentage points)","W931RV2",-0.29,0.02,-0.02,0.01,-0.02,0.08,0.06,0.13,-0.23,-0.06,0.1,-0.19,0.12,0,-0.33,0.18,0.15,-0.14,-0.13,0.12,-0.07,-0.1,0,-0.12,-0.14,-0.06,-0.36,0.52,0.22,-0.02,-0.17,-0.22,0.77,-0.21,-0.05,-0.36,0.13,-0.17,0.25,-0.11,0.3,-0.06,0.38,-0.66,0.15,-0.08,0.5,-0.06
"41","33","    Seasonal adjustment","W932RV2",-0.13,-0.02,0.01,-0.06,-0.03,0.1,0.03,0.07,-0.21,0,-0.01,-0.22,0.04,0.11,-0.29,0.03,0.09,-0.07,-0.06,0.05,-0.04,-0.08,-0.02,-0.16,-0.08,0.03,-0.16,0.32,0.24,0.07,-0.13,-0.23,0.8,-0.06,0.05,-0.33,0.12,-0.28,0.25,-0.3,0.21,0.02,0.41,-0.56,0.29,0.01,0.42,-0.03
"42","34","    Price effects","W933RV2",-0.17,0.04,-0.03,0.06,0.01,-0.02,0.03,0.06,-0.02,-0.05,0.1,0.02,0.08,-0.12,-0.04,0.15,0.06,-0.07,-0.07,0.07,-0.03,-0.02,0.02,0.04,-0.06,-0.09,-0.2,0.2,-0.02,-0.09,-0.04,0.01,-0.04,-0.15,-0.11,-0.03,0.02,0.11,0,0.19,0.09,-0.08,-0.03,-0.1,-0.14,-0.09,0.08,-0.03
"43","35","      Gasoline and other motor fuel","W934RV2",0,-0.02,-0.01,0.03,0,-0.02,-0.01,0.04,0,-0.03,-0.01,0.04,0,-0.03,-0.02,0.05,0,-0.04,-0.02,0.05,0,-0.04,-0.01,0.08,0,-0.05,-0.02,0.06,0,-0.03,-0.02,0.05,0,-0.03,-0.01,0.05,0,-0.05,-0.01,0.06,0,-0.04,-0.02,0.06,0,-0.04,-0.02,0.06
"44","36","      Air transportation","W935RV2",-0.17,0.07,-0.02,0.03,0.01,0.01,0.04,0.03,-0.02,-0.02,0.11,-0.02,0.08,-0.08,-0.02,0.1,0.06,-0.03,-0.05,0.02,-0.03,0.02,0.03,-0.03,-0.03,-0.02,-0.12,0.2,-0.01,-0.03,-0.03,-0.05,0.1,-0.01,-0.05,-0.08,-0.02,0.07,-0.02,0.08,0.07,0.01,0.01,-0.05,-0.1,-0.06,0.16,-0.02
"45","37","      Other","W901RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.02,-0.06,-0.05,-0.01,-0.02,0,0.01,-0.13,-0.1,-0.04,0,0.04,0.08,0.04,0.05,0.02,-0.04,-0.03,-0.11,-0.05,0.01,-0.06,-0.07
"46","38","    Other differences","W936RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","39","Equals: CPI (percent change)","SRSA0V1",1.3,3.2,2.2,2.4,4.2,-0.6,3,1.6,3.5,3.1,2.6,4.5,2,2.8,6.2,3.8,2.1,3.7,3.8,-1.6,4,4.6,2.6,5,4.4,5.3,6.3,-8.9,-2.6,2,3.5,3.2,0.6,0,1.2,3.1,4.2,5,2.6,1.6,2.1,1.4,1.7,2.4,1.2,0.4,2.2,1.1
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CPI Consumer price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PCE Personal consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
