"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","    Educational and vocational","W044RW2",0.08,-0.05,-0.82,-1.64,-0.12,0.12,0.75,-0.11,-0.04,-0.02,0.19,0.06,-0.5,-0.41,0.13,0.49,1.5,0.05,0.27,0.09,0.11,0.03,-0.01,0.24,0.35,-0.2,0.13,-0.14,0.16,-0.11,0.09,0.1,0.14,-0.03,0.11,0.02,0.26,0.05,0.07,-0.19
"35","26","    Lodging","W045RW2",-0.12,-0.53,-0.82,-0.39,-0.14,0.05,0.29,0.21,0.24,0.08,-0.26,0.03,-0.49,-0.45,0.26,0.47,1.36,-0.35,0.29,0.13,-0.04,0.02,-0.07,0.1,0.16,-0.16,0.11,0.03,0.23,0.31,0.23,0.25,-0.11,0.36,0.9,-0.03,-0.18,-0.29,-0.14,0.06
"36","27","    Amusement and recreation","W046RW2",-0.21,-0.79,-1.24,-0.44,-0.48,-0.07,0.31,0.32,0.32,0.1,-0.33,0.02,-0.74,-0.72,0.41,0.73,2.03,-0.47,0.37,0.2,0.01,-0.04,-0.07,0.17,0.22,-0.18,0.11,0.1,0.31,0.27,0.34,-0.09,0.06,0.16,-0.05,0.52,0.04,-0.08,-1.06,0.19
"37","28","    Transportation","W047RW2",-0.15,-3.74,-5.34,-2.06,3.04,0.11,1.96,0.81,-2.1,1.01,0.51,0.72,0.3,2.03,4.44,-0.51,-2.31,-0.41,-0.01,-0.2,-0.38,0.21,0.21,-0.13,-0.53,-0.21,0.14,-0.16,-0.56,-0.11,0.07,-0.21,0.01,0.15,0.06,0.13,0.15,-0.12,0.04,0.04
"38","29","      Air","W048RW2",-0.02,-0.08,-0.13,-0.05,-0.04,0,0.04,0.03,0.04,0.01,-0.04,0,-0.08,-0.07,0.04,0.07,0.21,-0.05,0.04,0.02,0,0,-0.01,0.02,0.02,-0.02,0.01,0.01,0.03,0.03,0.03,-0.01,0.01,0.02,-0.01,0.05,0,-0.01,-0.12,0.02
"39","30","      Land \3\","W049RW2",-0.13,-3.66,-5.21,-2,3.08,0.11,1.93,0.77,-2.13,1,0.55,0.72,0.37,2.1,4.39,-0.59,-2.52,-0.35,-0.05,-0.22,-0.38,0.21,0.22,-0.15,-0.56,-0.19,0.13,-0.17,-0.6,-0.13,0.04,-0.2,0.01,0.14,0.07,0.07,0.14,-0.11,0.16,0.03
"40","31","    Farm","C316RW2",-0.66,-0.5,-0.42,0.27,0.32,1.39,0.54,0.36,-0.25,0.25,-0.3,0.23,-0.13,0.47,-0.05,-0.32,8.56,-0.23,-0.25,-0.09,0.03,-0.15,0.15,-0.29,-0.08,-0.12,0.06,-0.14,0.25,0.71,0.19,-0.09,0.24,0.03,-0.03,0.02,0.07,0.26,-0.28,-0.04
"41","32","    Other \4\","W050RW2",-0.11,-0.21,-0.26,0.07,-0.44,-0.19,-0.08,0.11,0.01,-0.01,0.01,-0.02,-0.16,-0.2,0.11,0.16,0.42,-0.01,0,0.04,0.09,-0.1,0.03,0.07,0.02,0.04,-0.04,0.09,0.01,0.05,0.12,-0.04,0.03,0.04,0.02,0.1,0.05,-0.04,-0.01,0.1
"42","33","    Brokers' commissions on sale of structures","C321RW2",-0.17,-0.24,-0.19,0.03,-0.14,0.09,0.13,0.1,-0.18,0.03,0.1,0.15,-0.32,-0.18,0.1,0.44,1.28,-0.24,-0.09,-0.08,0.01,0,-0.02,0.04,0.01,0.05,-0.01,0.01,0.04,0.01,0.05,0.02,0.03,-0.01,0.04,0.09,0.03,-0.03,-0.07,-0.05
"43","34","    Net purchases of used structures","E322RW2",0.07,-0.02,0,0.13,0.33,0.01,0.01,0.01,-0.05,-0.38,-0.26,0.4,0.32,0.12,0.05,1.78,9.61,-2.24,-1.06,-0.41,-0.21,-0.14,0.03,-0.03,-0.01,0.54,-0.72,0.15,-0.03,-0.25,-0.12,-0.18,-0.22,0,0.02,0.2,0.17,0.18,0.08,0.01
"44","35","Residential","A012RW2",-16.39,-5.34,-17.78,-6.41,11.9,16.19,12.1,3.66,0.49,20.63,7.1,3.24,-26.75,-19,-5.93,5.15,103.16,14.1,11.72,-4.58,22.5,-10.82,-1.01,2.21,5.02,9.71,-5.07,-3.37,0.53,14.13,-4.16,0.24,5.52,6.81,3.61,-1.67,-4.72,-1.39,6.86,1.57
"45","36","  Permanent site","A943RW2",-15.7,-2.18,-16.54,-8.31,2.92,16.12,16.65,4.16,1.5,15.55,4.93,4.04,-23.66,-17.98,-6.94,2.07,77.15,11.25,9.89,-2.5,21.29,-10.65,-2.64,1.43,4.23,8,-6.15,-3.57,0.94,10.56,-4.97,-0.21,5.29,5.35,2.82,-1.82,-4.67,-1.59,5.86,1.06
"46","37","    Single-family structures","A944RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,-4.19,-1.7,2.03,2.04,2.9,-0.69,-3.12,-0.52,2.6,-1.35
"47","38","    Multifamily structures","C292RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,-0.77,1.49,3.26,3.31,-0.08,-1.12,-1.55,-1.08,3.27,2.4
"48","39","  Other structures","A863RW2",-0.69,-3.16,-1.24,1.89,8.98,0.07,-4.54,-0.5,-1.02,5.08,2.17,-0.8,-3.08,-1.01,1.01,3.08,26.01,2.85,1.83,-2.08,1.21,-0.17,1.63,0.79,0.79,1.71,1.08,0.2,-0.4,3.57,0.81,0.45,0.23,1.46,0.79,0.15,-0.06,0.21,1,0.51
"49","40","    Manufactured homes","A945RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.15,-0.39,0.08,0.03,0.28,0.02,0.06,0.41,0.43,0.1,-0.03,0.16,-0.02,-0.01,0.28,0.3,0.43,0.31,0.18,0.23,0.77,0.62
"50","41","    Dormitories","C295RW2",-0.15,-0.63,-0.16,-0.07,0.11,0.09,0.09,0.12,-0.06,0.12,-0.02,-0.02,-0.23,-0.28,0.08,0.12,0.64,-0.1,0.03,0.04,-0.02,0,-0.01,0.09,0.03,0.03,0.08,0.04,0.12,0.04,-0.01,0.18,0.44,-0.14,0.19,0.08,-0.07,-0.2,-0.14,-0.12
"51","42","    Improvements","A946RW2",-0.38,-2.19,-1.36,2.53,2.74,3.25,1.52,-0.17,-0.98,0.73,0.1,0.2,-3.02,-2.31,1.81,4.86,22.21,2.94,2.17,-1.61,0.85,-0.34,0.99,0.59,0.17,1.11,0.71,0.6,-0.2,1.71,0.88,0.28,-1.18,0.45,-0.01,-0.27,0.26,0.13,-0.27,-0.16
"52","43","    Brokers' commissions and other ownership transfer costs \5\","A758RW2",-0.22,-0.35,0.33,-0.68,5.9,-2.84,-1.14,-0.4,-0.36,0.29,0.52,-0.09,-0.12,0.23,0.97,-0.1,3.19,-0.61,-0.48,0.1,0.41,0.17,0.37,0.18,0.51,0.32,-0.09,-0.06,0.34,0.85,-0.16,0.14,0.59,0.61,0.34,0.25,-0.12,0.22,0.56,0.11
"53","44","    Net purchases of used structures","A759RW2",0.07,0.01,-0.04,0.11,0.22,-0.42,-5.02,-0.06,0.38,3.94,1.57,-0.89,0.29,1.34,-1.86,-1.8,-0.04,0.13,-0.04,-0.22,-0.1,-0.02,0.01,-0.09,0.01,-0.17,-0.05,-0.49,-0.63,0.81,0.13,-0.14,0.1,0.25,-0.17,-0.21,-0.3,-0.17,0.08,0.06
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","  Private fixed investment in new structures","W040RW2",-24.43,-27.92,-40.96,-20.05,13.29,25.5,34.07,17.97,-10.48,19.47,10.8,11.47,-44,-34.09,11.11,26.23,152.95,12.64,15.53,-5.22,25.16,-8.27,-1.56,5.67,5.9,11.81,-0.17,-3,-1.68,13.77,-0.94,0.99,6.96,6.45,7.51,4.5,-1.41,-2.82,6.9,3.91
"56","46","    Nonresidential structures \6\","A771RW2",-8.2,-22.93,-22.89,-14.21,7.51,6.04,15.82,13.86,-10.95,3.07,5.79,7.25,-17.09,-13.52,16.15,19.17,52.95,-1.94,3.3,-0.76,2.96,2.69,-0.17,3.54,1.41,2.26,4.76,-0.18,-2.51,1.3,3.19,0.74,2.14,0.49,4.07,6.21,2.89,-1.38,0.68,2.52
"57","47","    Residential structures \7\","A756RW2",-16.23,-5,-18.07,-5.84,5.78,19.45,18.26,4.11,0.47,16.4,5.01,4.22,-26.91,-20.57,-5.05,7.05,100,14.58,12.24,-4.46,22.2,-10.96,-1.39,2.12,4.5,9.56,-4.93,-2.82,0.83,12.47,-4.13,0.24,4.83,5.96,3.44,-1.71,-4.3,-1.44,6.23,1.4
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","by power utilities for their own use. Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Consists of auto dealerships, garages, service stations, drug stores, restaurants, mobile structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and other structures used for commercial purposes. Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","insurance, state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","fees for surveys and engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
