"","Table 3#12# Government Social Benefits","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","      Social security \1\","W823RC1",26.4,31.4,36.6,40.9,50.7,57.6,65.9,74.5,83.2,91.4,102.6,118.6,138.6,153.7,164.4,173,183.3,193.6,201,213.9,227.4,244.1,264.2,281.8,297.9,312.2,327.7,342,356.6,369.2,379.9,401.4,425.1,446.9,463.5,485.5,512.7,544.1,575.7,605.5,664.5,690.2,713.3,762.1,799,834.6
"13","6","      Medicare \2\","W824RC1",6.7,7.3,8,8.8,10.2,12.7,15.6,18.8,22.1,25.5,29.9,36.2,43.5,50.9,57.8,64.7,69.7,75.3,81.6,86.3,98.2,107.6,117.5,132.6,146.8,164.4,181.2,194.9,206.9,205.6,208.7,219.1,242.6,259.2,276.7,304.4,332.2,399.2,429,462.9,494.6,513.8,536,556.3,574.6,597.8
"14","7","      Unemployment insurance","A1589C1",2.3,4.2,6.2,6,4.6,7,18.1,16.4,13.1,9.4,9.7,16.1,15.9,25.2,26.4,16,15.9,16.5,14.6,13.3,14.4,18.2,26.8,39.6,34.8,23.9,21.7,22.3,20.1,19.7,20.5,20.7,31.9,53.5,53.2,36.4,31.8,30.4,32.7,51.1,131.2,138.9,107.2,83.8,62.3,35.8
"15","8","        State","L311071",2.1,3.8,5.6,5.5,4.2,6.6,16.5,14.3,11.5,8.6,9.1,15.3,15.1,23.4,20.1,13.2,14.6,16,14.2,12.9,14,17.7,25.4,24.8,21.6,21.4,21,21.6,19.5,19.2,20,20.3,31.4,42.1,41.5,34.3,31,29.6,32,42.5,85.7,67.2,56.9,45.4,38.6,34.7
"16","9","        Railroad employees","TRP2001",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
"17","10","        Federal employees","W874RC1",0.1,0.3,0.5,0.5,0.3,0.4,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,1.3,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.7,0.7,0.7,0.7,0.6,0.7,1.3,1.7,1.9,1.6,1.3,0.8
"18","11","        Emergency unemployment compensation","B1590C1",NA,NA,NA,NA,NA,NA,0.7,1,0.7,0.2,0,0,0,1.1,5.5,2.3,0.8,0,0,0,0,0,0.8,13.5,11.9,1.7,0,0,0,0,0,0,0,10.7,10.9,1.4,0,0,0,7.8,44,69.9,48.3,36.6,22.4,0.2
"19","12","      Railroad retirement","TRP2501",1.5,1.7,2,2.2,2.6,2.8,3.3,3.6,3.8,4,4.3,4.8,5.3,5.8,6,6.1,6.2,6.4,6.5,6.7,7,7.2,7.5,7.7,7.8,8,8,8.1,8.2,8.2,8.2,8.3,8.4,8.7,8.9,9,9.2,9.5,9.8,10.1,10.6,10.8,11,11.4,11.7,12
"20","13","      Pension benefit guaranty","B1044C1",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.4,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.7,0.3,0.3,1.1,1.9,2.2,2.7,2.8,2.5,2.2,2.1,2.4,2.4,2.4,1.7,2.4
"21","14","      Veterans' life insurance","TRP3501",0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2
"22","15","      Workers' compensation","TRP3751",0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,2,1.9,2,2,2.2,2.3,2.3,2.4,2.4,2.5,2.4,2.5,2.6,2.7,2.7,3,3,3.1,3.4
"23","16","      Military medical insurance \3\","B1606C1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.5,1.7,1.7,1.6,1.4,1,1,0.9,1,1,1.2,1.3,1.5,2.1,2.6,3.1,3.8,4,4.4,4.9,5,5.2,5.5,5.1,5.1
"24","17","    Veterans' benefits","A1594C1",5.8,6.6,7.5,8.5,9.3,10.5,12.9,12.8,12.3,12.5,13,13.4,14.4,14.9,15,14.8,15,14.9,14.8,15,15.4,15.8,16.2,16.7,17.4,17.8,18.6,19.4,20.4,21.4,22.3,23.3,24.9,27.8,30.1,32.4,34.8,37.3,40.1,43.5,50,56.4,61.8,68.7,77.7,82.4
"25","18","      Pension and disability","TRP4501",5.1,5.4,5.9,6.3,6.5,7.1,7.8,8.5,9.2,9.7,10.6,11.4,12.5,13.3,13.7,13.7,14,14.2,14.2,14.6,15,15.6,15.9,16.2,16.7,16.9,17.5,18.3,19.1,20.1,21,22,23.4,26.1,28.2,30.2,32.5,35,37.7,40.7,45.5,48.5,52.1,58.4,65.8,70.3
"26","19","      Readjustment","TRP5001",0.7,1.2,1.7,2.2,2.8,3.4,5.1,4.3,3.1,2.8,2.4,2,1.9,1.6,1.4,1.1,0.9,0.7,0.6,0.4,0.4,0.3,0.4,0.5,0.7,0.9,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.7,1.9,2.2,2.3,2.3,2.4,2.7,4.4,8,9.7,10.3,11.9,12.1
"27","20","      Other \4\","TRP5701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21","    Supplemental Nutrition Assistance Program (SNAP) \5\","TRP6001",0.3,1.1,1.7,2,2.2,3.4,4.6,4.6,4.4,4.6,6.3,8.2,10.1,9.9,11.1,10.7,10.7,10.6,10.6,11.2,12.3,14.7,18.3,21.3,22.2,22.8,22.4,22,18.7,16.5,15.5,14.6,16,18.6,22.1,25.9,29.5,29.4,30.9,37,54.8,66.5,72.7,74.9,74.7,69.4
"29","22","    Black lung benefits","TRP6501",NA,0.1,0.4,0.6,1.1,1,1,1,1,1,1.7,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3
"30","23","    Supplemental security income","TRP7001",NA,NA,NA,NA,NA,4,4.4,4.6,4.7,4.9,5.3,5.9,6.6,6.9,7.4,8.3,8.8,9.5,10,10.7,11.6,12.9,14.8,18.2,20.7,22.5,23.9,25.3,25.5,26.4,26.8,27.3,28.7,29.9,30.7,31.9,33.1,34.7,36.9,38.7,42.6,44.6,46,48.8,50.6,51.5
"31","24","    Direct relief","TRP7301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","    Refundable tax credits \6\","W811RC1",NA,NA,NA,NA,NA,NA,NA,1.3,1.3,1.1,1.1,2,1.9,1.8,1.8,1.7,1.6,2,1.9,3.7,5.6,6.3,7.2,10.5,11.6,14,19.9,24.3,27.4,29.2,30.7,31.3,31.2,37.3,42.9,46.7,54.1,56.7,60.1,159.9,76.8,144.3,151.4,98.7,97.6,114.3
"33","26","    Other \7\","W812RC1",1.7,2.1,2.4,2.6,2.6,2.9,5,4.3,4.7,6.1,6.8,10.9,10,8.2,8.9,9.6,9.6,10.1,10.5,11.3,13.6,13.5,14.7,16.1,17.2,16.6,17,17.2,17.8,19.8,20.7,21.2,25.5,28.1,30.4,37.7,36.7,36.8,37.8,44.6,79.5,80.4,68.1,66.3,63.4,67.1
"34","27","  State and local","B109RC1",13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.3,271.4,305.1,333,353.6,385,406.6,403.9,433.3,455.4,492.6,523.8,530.4,540,562.3,609.9
"35","28","    Benefits from social insurance funds","A1595C1",0.9,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.7,4,4.4,4.9,5.5,6.4,7.2,7.9,9.2,10.5,11.5,11.4,11,10.7,11,10.7,10.4,10.6,11.4,12.7,14.2,15.7,16.8,17,16.9,16.7,17,17.2,17.2,16.6,16.2,16.3,16.4
"36","29","      Temporary disability insurance","S122001",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.4,1.5,1.6,1.7,1.9,2.2,2.8,2.9,2.3,2.2,2.1,2,2,2.1,2.2,2.7,3.1,3.4,3.6,4,4.3,4.6,4.8,5.2,5.5,5.6,5.5,5.5,5.6,5.9
"37","30","      Workers' compensation","S123001",0.5,0.5,0.6,0.7,0.8,0.9,1,1.2,1.4,1.6,1.8,2,2.3,2.7,3,3.3,3.5,3.9,4.7,5.5,6,7,7.8,8.5,9.1,8.8,8.6,8.9,8.7,8.3,8.4,8.7,9.6,10.8,12,12.8,12.7,12.3,11.9,11.8,11.7,11.6,11.1,10.7,10.6,10.5
"38","31","    Public assistance","A1596C1",11.6,14.3,17.3,19.6,21.5,22.1,26.9,29.6,32,34.3,37.6,44,49.6,53.1,58.4,62.3,67.2,73.3,78.5,85.3,94.9,111.1,138.2,160.2,174.9,185.8,195.8,201.9,205.2,212.9,228.3,245.4,275.9,301.2,319.4,348.3,368.2,364.1,392.6,411.8,447.9,477.3,483.7,493.1,514.1,559.8
"39","32","      Medical care","B1597C1",4.6,5.5,6.8,8.3,9.7,11.5,14.2,15.9,17.3,19.3,21.8,24.9,29.2,32.1,35.9,38.8,42.4,46.9,51.4,56.8,65,78.2,102.1,121.8,135.1,144.9,155,163.6,168.3,175.3,189.3,205,234.6,258.5,274,300.1,315.2,311.2,336.8,351.7,383.5,410.8,419.5,431.3,453.5,499.6
"40","33","        Medicaid","W729RC1",4.6,5.5,6.7,8.2,9.6,11.2,13.9,15.5,16.7,18.6,21.1,23.9,27.7,30.2,33.9,36.6,39.7,43.6,47.8,53,60.8,73.1,96.9,116.2,130.1,139.4,149.6,158.2,163.1,170.2,184.6,199.5,227.3,250,264.5,289.8,304.4,299.1,324.2,338.3,369.2,396.6,405.7,417.3,439.7,487.4
"41","34","        Other medical care \8\","TRP8101",0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.6,0.7,0.7,1.1,1.5,1.9,2.1,2.2,2.8,3.2,3.6,3.7,4.1,5,5.2,5.5,5,5.5,5.4,5.4,5.2,5.1,4.7,5.5,7.4,8.5,9.5,10.3,10.8,12.1,12.7,13.4,14.2,14.2,13.9,14,13.8,12.2
"42","35","      Family assistance \9\","B1598C1",3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.9,17.4,17.9,18.4,18.1,17.7,18.4,18.4,18.4,18.2,18.4,19.1,21.3,22.4,20.8,19.8,19.6,19.2
"43","36","      Supplemental security income \10\","B1599C1",2.6,3,3.2,3.4,3.4,1.3,1.5,1.5,1.6,1.6,1.8,2,2,2.1,2,2.1,2.3,2.6,2.9,3.1,3.4,3.8,3.8,4.1,3.9,3.8,3.8,3.6,3.7,3.9,4.2,4.4,4.5,4.8,5,5.2,5.2,5.2,5.3,5.4,5,4.6,4.5,4.3,4.2,4.2
"44","37","      General assistance","B1600C1",0.5,0.6,0.8,0.7,0.7,0.8,1.1,1.2,1.2,1.2,1.2,1.4,1.6,1.7,1.9,2,2.2,2.3,2.5,2.6,2.9,2.9,3.2,3.5,3.6,3.5,3.6,3.4,3.3,3.5,3.6,3.6,2.9,4.8,6.1,8,12.5,12.1,14.3,16.3,16.7,18.2,18,17.7,17.5,17.7
"45","38","      Energy assistance","B1601C1",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.3,1.3,1.6,1.6,1.7,1.9,2.1,2,1.7,1.8,1.4,1.6,1.6,1.6,1.6,1.8,1.4,1.2,1.4,1.2,1.4,1.7,2.5,1.9,2.3,2.1,2.4,3,2.7,3.4,5.1,4.9,4.8,4.1,3.8,4
"46","39","      Other \11\","B1602C1",0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.7,3.1,3,3,3.3,3.6,4.2,4.7,5.4,6.3,7,7.8,8.6,9.4,9.7,10.6,11.4,11.9,12.3,13.2,13.5,13.7,14.4,14.5,14.5,15,15.9,16.5,16.3,16.1,15.8,15.5,15.1
"47","40","    Education","B1603C1",0.6,0.8,1,1.1,1.2,1.3,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.5,3.9,4,4.2,4.6,5.3,5.7,6,6.6,7.6,8.7,9.1,9.1,9.8,10.5,11.5,13,14.1,15.4,17.1,18.8,19.8,20.8,22.3,24,25.8,26.9,27.9,29.1,30.4
"48","41","    Employment and training","B1604C1",NA,NA,NA,NA,NA,0.2,0.6,0.9,0.9,1.9,1.7,1.7,1.4,1.1,1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,1,1.1,1.1,1,1.4,1.6,1.4,1.3,1.2,1.3,1,1.1,1.4,1.5,1.2,1,1,0.9
"49","42","    Other \12\","B1605C1",0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.7,0.7,0.5,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.8,2.1,2.1,1.9,1.6,1.5,1.5,1.7,2.1,3.2,2.1,2.1,2,1.8,1.8,2.4
"50","43","To the rest of the world \13\","W016RC1",0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.7,11.2,12.4,13.3,15.5,16,16.5,17.1,18,18.8,19.5
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","from the federal old-age and survivors insurance trust fund and the disability insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Consists of payments for medical services for dependents of active duty military personnel at nonmilitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Consists of mustering out pay, terminal leave pay, and adjusted compensation benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5. Prior to October 2008, benefits for the Supplemental Nutrition Assistance Program were called Food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Stamp benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","6. Includes the amounts by which federal refundable tax credits reduce personal current tax liabilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","and liabilities to pay contributions for government social insurance as well as the outlays that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","distributed when the amount of federal refundable tax credits exceeds an individual's federal tax liabilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","7. Consists largely of payments to nonprofit institutions, aid to students, and payments for medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","services for retired military personnel and their dependents at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","8. Consists of general medical assistance and state child health care programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","9. Consists of aid to families with dependent children and, beginning with 1996, assistance programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","operating under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","10. Prior to 1974, consists of old-age assistance, aid to the blind, and aid to the permanently and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","totally disabled, when the programs were partly federally funded.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","11. Consists of expenditures for food under the supplemental program for women, infants, and children;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","foster care; adoption assistance; and payments to nonprofit welfare institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","12. Consists largely of veterans' benefits, Alaska dividends, and crime-victim payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","13. Consists of federal government social benefits to the rest of the world and includes benefits paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
