"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","Nonfarm","A015RX1",7.2,4.6,-4.1,11.5,12.8,13,16.5,12.2,-0.4,-16.5,-0.7,-20.2,10.7,17.8,16.7,55.2,31.8,48.7,32.2,12.1,14,-11.6,12.3,17.8,11.6,15.5,6.4,-13.5,-10.1,-11.9,-10,-0.9,15.4,22,19.6,25,22.8,17.8,14.6,13.3,6.2,7.5,8.3,-11.2,-22.5,-20.4,-2.7,11.6,16.4,37.1,10.6,23.2,42.8,9.8,13.3,-22.3,-12.4,5.1,23.1,18.4,31.8,21.1,24.2,12.4,20,19.1,26,18.3,23.2,22.8,26.1,23.9,44.8,29.6,33.5,26,51.5,55.1,48.1,65.8,53.4,16.1,32.6,36.4,21,37.2,27.5,30.5,36.2,29.2,42.5,28
"12","4","  Manufacturing","A150RX1",5.2,-0.9,2.7,0.9,-0.2,9.1,8.1,2.6,3.6,-10.2,-10.3,-8.7,2.3,3.7,2.6,23.2,16,37.4,38.6,15.7,20.8,-4.5,3,7,8.5,9.8,4.9,-6,-12.7,-14,-11,1.8,3,8.7,10.8,12.8,16.8,16,9.4,7.8,5,1.6,1.6,-12.7,-13.3,-16.1,-3,6.4,5.8,15.5,4.1,12,15.2,3.6,9,-17.9,-3.9,1.8,14.2,9.9,20.8,11.2,16.5,1.5,9.9,9.6,10.6,0.6,10.2,2.4,11.6,22.3,14.1,11.5,22.2,14.3,27.4,29.1,37.2,32.7,36.5,15,17.1,16,6.7,15.4,20.4,10.6,17.2,9.1,15.3,14.4
"13","5","    Durable goods","C624RX1",-1.8,2,3.9,-2.5,-4.6,-0.1,1,0.4,1.7,-7.5,-8.7,-6.5,-0.3,5.2,3.9,12.3,10.8,22.2,25.9,11.1,13.4,-0.4,2,5.8,7.2,7.7,5.1,-4.5,-9.6,-12.9,-7.6,0.7,1,4.8,5.7,7.1,11.7,9.6,2.6,6.1,3.1,2.5,2.8,-8.1,-11.4,-11.2,-1.6,2.2,4.1,10,0.1,5.9,12.1,-1,4,-13,-8.4,-2.5,9.7,6.6,14.1,4.8,8.8,-1.1,6.6,7.2,5.9,-2.6,6,3.7,8.6,13.4,11.2,10.2,16.2,6.4,17.3,16.9,29.7,21.7,21.3,9.9,11.5,10.3,4.1,6.7,10.2,4.5,12.2,5.7,6.9,13.1
"14","6","    Nondurable goods","C625RX1",6.9,-2.8,-1.1,3.4,4.4,9.3,7.5,2.5,2,-2.5,-1.3,-2.1,2.9,-2,-1.6,11.2,5.1,15.3,12.4,4.2,7.3,-4.5,0.9,0.7,0.8,1.5,-0.7,-1.2,-2.4,0.2,-2.9,1.3,2.3,3.9,5.4,5.8,4.2,6.2,8,0.9,1.7,-1.7,-2,-4.3,-0.1,-3.9,-1.5,5,1.4,5,5,6.6,1.4,6.2,5.4,-3.5,7.7,6.1,3.7,2.8,5.6,7.3,7.9,3.5,2.8,1.6,4.8,4.7,4.2,-2.4,1.9,8.4,1.2,-0.5,4.1,8.7,9,11.9,3.2,9.4,14.8,4.5,4.6,5,2.4,9.8,10.9,6.9,3.7,3.1,9.3,-1.3
"15","7","  Wholesale trade","A658RX1",6.1,2.7,-4.8,-5.1,0.5,2.6,5.7,3.6,1.4,-2.1,1.2,0.4,5.3,6.5,0.4,10.5,1.6,6.2,-0.3,-2.4,-2.5,-1.7,4.6,5.8,1.9,1.9,0.7,-2.2,2.2,2.3,-0.7,-0.1,2,6.4,4.6,4.5,1.5,-1,5.7,2.2,-0.8,0.9,-0.3,-2.6,-3.1,0,0.9,2,3.7,9.7,5.3,11.2,7,3.8,-0.2,-2.2,2.6,0.1,3.5,2.4,3.7,6,0.4,4.4,3.2,7.7,9.7,6.2,4,8.2,4.2,5,11.1,7.7,5.9,0.8,13.6,9.7,10,20.5,12.2,0.4,15.3,9.4,1.4,11.3,5.4,-0.9,11.6,12,9.6,4.1
"16","8","    Durable goods","A661RX1",1.1,0.2,1.4,-1.8,2,2.7,2.8,2.1,0.4,-2.6,0.9,0,0.9,3.8,-0.2,8.1,1.3,6.5,1.3,-0.9,-2.7,-3,-0.6,2.1,2.1,-0.8,1.2,-2,-0.2,0,-0.3,0.1,2,4.1,1.6,2.5,0,-0.3,0,-0.1,-0.3,1.3,1,-1.5,-2.1,-0.6,0.7,1.6,3.3,6.4,-1,6.3,8.3,1.6,0.3,-2,-1.5,-1.7,3.7,3.6,2.9,3.3,2.6,2.9,1.9,5.2,3.2,1.3,1.2,5.1,3.7,3.4,7.5,3.9,4.5,1.3,11,5.5,6.2,10.9,5,1.7,4.2,6.7,1.1,4.8,2.4,2,6.5,8.5,5.4,2.6
"17","9","    Nondurable goods","A664RX1",4.4,2.1,-5.1,-3,-1.1,0.3,2.7,1.5,1,0.3,0.4,0.4,4.2,2.8,0.6,2.7,0.3,0.2,-1.4,-1.4,0,1,4.8,3.6,-0.1,2.6,-0.5,-0.3,2.3,2.2,-0.4,-0.2,0,2.3,2.9,1.9,1.6,-0.7,5.8,2.4,-0.5,-0.5,-1.4,-1.1,-1,0.7,0.2,0.4,0.3,3.1,6.7,4.8,-1.8,2.2,-0.4,-0.1,4.4,2,-0.3,-1.4,0.6,2.7,-2.4,1.4,1.3,2.4,6.6,5.1,3,2.9,0.4,1.4,3.4,3.8,1.2,-0.6,2.1,4.1,3.7,9.5,7.3,-1.5,11.6,2.5,0.2,6.8,3,-3.4,5,2.9,4,1.4
"18","10","      Merchant wholesalers","A151RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,7.2,5.8,9.3,5.2,1.5,-0.6,-0.9,2.4,-1.2,2.3,0.3,1.8,4,-1.6,2.5,1.7,6.1,8.6,5.3,3.7,8.2,3.8,4.1,11.1,7.1,5.5,-0.2,12.6,7.1,8,18.1,7.8,-2.1,14.2,7.4,1.5,8.7,4,-1.8,9.4,10.1,8,3.2
"19","11","        Durable goods","C626RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4.8,-0.1,5.3,7.1,0,0.1,-1.2,-1.2,-2,2.8,2.3,1.3,2.1,1.6,2.1,0.7,3.7,2.8,1.2,1.1,5.3,3.7,3,7.4,3,4.3,0.8,10.7,4.4,4.3,9.8,2.6,0.3,3.5,6,0.9,4.2,1.9,1.7,5.2,7.7,4.7,1.9
"20","12","        Nondurable goods","C627RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.4,6.1,3.9,-2.2,1.6,-0.7,0.3,3.7,0.9,-0.6,-2.1,0.5,1.9,-3.3,0.4,1,2.4,5.7,4.1,2.6,2.7,0,1,3.5,4.1,1.1,-1,1.6,2.6,3.6,8.2,5.3,-2.4,10.9,1.2,0.5,4.5,2.1,-3.8,4.2,2,3.2,1.3
"21","13","      Nonmerchant wholesalers","A152RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2.4,-0.2,2,1.8,1.9,0.3,-1.1,0.3,1,1.2,1.8,1.6,1.9,1.7,1.7,1.3,1.6,1.3,1,0.4,0.3,0.5,0.9,0.4,0.8,0.5,0.8,1.3,2.4,2,2.7,4,2.1,1.4,2,0,2.5,1.3,0.8,2.2,1.9,1.6,0.9
"22","14","        Durable goods","C628RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.4,-0.6,1,1.2,1.1,0.1,-0.6,-0.3,0.1,0.8,1,1.2,0.9,0.8,0.7,0.9,1.2,0.5,0.1,0.1,0.1,0.1,0.4,0.4,0.7,0.3,0.4,0.7,1,1.5,1.3,1.8,1,0.6,0.8,0.2,0.6,0.4,0.3,1.2,0.9,0.7,0.6
"23","15","        Nondurable goods","C629RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.9,0.8,1,0.3,0.7,0.2,-0.5,0.9,1.3,0.2,0.7,0.2,1,0.9,1.1,0.3,0.1,1,1.2,0.4,0.2,0.4,0.5,-0.2,-0.2,0.1,0.5,0.6,1.7,0.1,1.5,2.4,1.1,0.7,1.4,-0.4,2.6,1,0.6,0.9,1,0.9,0.1
"24","16","  Retail trade","A153RX1",-1.5,1.8,-3.4,10.3,10.9,1.3,2.3,4.6,-4.3,-2,8.7,-7.3,2.2,6,10,13.4,10.6,2,-7.7,-3.8,-6,-5,4.2,6.2,2,5,1.9,-2.8,0.5,0.6,1.6,-2.3,9.4,5.9,4.2,7.6,1.6,0.4,-1.4,0.4,0.6,4.3,3.9,2.1,-4.7,-3,-0.2,2.7,5.5,9,1,-1,17.3,0.8,2.5,-1.4,-10.6,0.6,2.6,1.7,5.7,2.9,5.6,6.2,3.9,0.1,4.7,8.3,6.6,8.3,7.3,-4.5,16.3,7.1,3.6,7.7,9.1,13.9,-0.9,8.8,1.7,-3.4,-4,5.6,9.1,9.5,-0.7,17.1,5.1,5,13.4,7.4
"25","17","    Durable goods","C630RX1",6.4,1.6,1.9,1.7,7.5,0.9,0.4,2,-2.1,-3.5,9.2,-7.6,-2.8,3.9,4,13.6,3.4,3.6,-1,-2.9,-3.1,-3.2,0.4,3.7,2.8,2.3,2.9,-3.2,-1.5,0.4,0.1,-2.2,5.1,4.8,0.9,3.8,1.1,-3.1,-1.8,-0.4,-0.3,3.2,3.6,2.2,-4.2,-3.7,-1.8,0.9,3.2,5,-1,-3.1,10.5,1.6,0.7,-0.6,-8.6,-1.1,-1.1,-0.6,1,0.3,4.1,2.5,0.6,-1,2.5,6.2,4.5,3,4.1,-5.7,11,4.7,3.2,2.1,4.6,8.7,-2.2,3.9,-3.7,-4.7,-2.9,3,5.1,8.4,-3.1,13.5,1.9,-0.4,8.5,4.6
"26","18","      Motor vehicle dealers \2\","C631RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,4.9,-1.9,-4.2,11.6,2.1,0.9,-0.8,-8.9,0.1,0,0,0.9,-0.3,3.1,3.1,1.4,-1,1.8,5.8,3.4,1.6,4.9,-8.9,8.9,6,3.1,3.7,0.8,6.8,-4.3,5.7,-3.8,-7.5,-4.5,3.5,4.9,6.7,-5.3,13.4,0.7,-1.6,6.4,4
"27","19","      Other \2\","A632RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,0.3,-0.2,-0.1,0.1,-0.7,-1,-0.9,-0.5,0.2,0.5,1.2,-0.2,-0.6,-0.1,0.8,1,1.4,1.4,-0.1,1.7,2.8,-0.4,0.4,-1,3.4,2.5,1.3,-0.8,-0.4,1.5,0.8,-0.1,0.7,2.2,1.3,1.6,1.1,0.9,2.6,0.9
"28","20","    Nondurable goods","C633RX1",-7.2,0.2,-5.1,8.2,3.4,0.4,1.9,2.6,-2.1,1.7,-1,0.6,5.2,1.9,5.9,-0.7,7.2,-1.8,-6.7,-0.7,-2.8,-1.7,3.9,2.3,-1.1,2.6,-1.3,0.7,2.2,0.3,1.6,0.1,4,0.7,3.4,3.6,0.3,4.2,0.7,0.9,0.9,0.8,-0.1,-0.4,0,1.3,1.9,1.8,2.1,3.7,2.4,2.6,6,-1.1,1.8,-0.7,-1,2,4.2,2.6,4.9,2.7,1.1,3.7,3.5,1.3,2.1,1.4,1.7,5.3,2.9,2,4.5,2,0.1,5.8,4.3,4.6,1.6,4.8,6.2,1.9,-0.9,2.5,3.7,0.2,2.9,2.4,3.2,5.8,4.3,2.5
"29","21","  Other","A154RX1",-3.6,1.3,3.9,4,-2.3,-0.4,0.2,0.6,0,-2.8,-4.1,-4.4,1.1,1,1.9,8.7,1.4,2.7,3.2,4.6,3.9,1.3,-0.3,-3.8,-2.1,-4.2,-2.8,-3.3,0.7,-0.4,0.1,0.2,-1.6,0.2,-1.3,-2.3,3,2,2.1,4.4,1.6,-0.2,3.6,3.1,0,0,-0.1,-0.1,0.7,2.4,0.6,3,0.1,2.7,1.6,0.3,2.9,3.9,3,6.1,-0.4,0.8,-0.4,-0.5,3.4,3.2,1.1,3.9,1.6,5.3,2.6,1.8,1.7,3.7,1,1.9,-0.1,-0.5,1.4,4.5,3,5.7,8.7,7,3.2,0,3,0.3,2.9,4.9,3.7,0.8
"30","22","    Durable goods","C636RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4,-0.6,0.6,0.1,0,0.2,0.7,1.6,0.9,1.6,1.5,0.5,0.6,0.4,-0.1,0.5,0.3,-0.2,-0.7,0.9,0.6,-0.7,0.6,1.2,1.3,-0.1,-0.1,-1.2,-0.9,-0.2,0.9,-0.6,0.9,1.3,1.1,-1.2,-1.7,-1.2,-1.1,-2,-0.1,2.5,-0.5
"31","23","    Nondurable goods","C637RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,2.1,1.3,2.4,0.1,2.9,1.5,-0.5,1.2,3,1.2,4.6,-1,0.1,-0.9,-0.4,3,3,1.4,4.9,0.7,4.7,3.5,1.2,0.4,2.3,1.2,2.1,1.3,0.5,1.6,3.6,3.8,4.8,7.5,6,4.6,2,4.5,1.7,5.4,5.1,0.9,1.3
"32","24","Residual","A969RX1",-0.4,-3.3,-7,-5.3,1.4,1.9,1.7,2.2,-1.8,1.1,3.1,1.3,-2,-2,0.3,-8.1,-1.6,-6.7,-6,-3.2,-3.1,2.5,1.4,1.7,1.9,2.6,2.6,2.2,-0.4,-0.8,0.2,-1.4,1.6,-0.1,0.3,2.4,0.8,-0.5,-3.4,-1.3,-0.1,2,1,-0.9,-2.1,-1.1,0.6,-0.4,0.3,-0.9,-3.4,-3.4,4.4,-2.3,0.3,-2.1,-6.6,-3.5,0.5,-0.9,3.2,-0.9,2.2,-0.2,0.8,-0.9,-1.4,-3.2,0,-1.1,0.3,0,3.2,1.1,2.6,-0.2,2.2,1.1,4.1,-2.3,-0.5,1,-3.7,-2,1.4,0.8,-1.4,1.2,0.4,-1.3,-1.2,2.7
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Beginning with 1981, these inventories are included in 'other durable goods.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","are based on the 1972 Standard Industrial Classification (SIC). Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
