"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","            Compensation of general government employees","A194RA3",14.252,14.928,15.088,14.748,15.61,17.832,19.103,22.595,21.293,23.018,23.346,24.661,31.627,48.521,79.406,90.406,86.893,38.677,28.857,29.296,30.753,32.387,41.942,45.653,45.485,44.53,44.187,44.874,45.769,45.969,46.263,47.792,49.548,51.508,52.835,54.615,56.492,60.548,64.047,66.56,68.264
"12","5","            Consumption of general government fixed capital \2\","A265RA3",1.941,2.049,2.181,2.29,2.385,2.47,2.588,2.75,2.903,3.071,3.241,3.431,4.237,7.311,13.209,19.989,24.112,23.376,20.194,17.63,16.025,14.986,15.068,16.373,17.913,19.209,19.992,20.698,21.579,22.512,23.612,24.857,26.113,27.574,29.048,30.426,31.629,32.97,34.663,36.283,37.507
"13","6","          Intermediate goods and services purchased \3\","W104RA3",1.854,2.126,2.348,2.422,2.887,3.731,3.423,4.166,3.743,4.424,4.888,4.652,7.179,19.027,27.813,33.255,31.605,7.832,5.598,6.705,8.481,8.297,13.243,18.386,20.959,16.968,16.253,14.803,16.175,16.809,16.312,14.955,15.218,17.879,18.088,17.925,19.178,22.289,26.144,28.241,28.372
"14","7","            Durable goods","W105RA3",0.82,0.82,0.896,0.809,1.221,1.774,2.133,3.005,2.674,3.289,3.244,2.899,12.598,63.474,116.061,126.446,137.651,5.735,3.474,6.946,8.238,12.933,29.178,50.691,56.635,41.682,35.428,33.288,35.913,36.754,26.74,23.64,20.058,24.352,24.72,21.721,22.81,31.71,31.528,36.247,31.721
"15","8","            Nondurable goods","W106RA3",2.772,3.313,3.826,4.145,4.606,5.47,5.3,6.435,5.495,6.73,7.991,7.543,8.541,22.536,28.504,34.209,24.348,5.267,6.045,7.166,11.72,9.316,10.563,13.831,22.9,18.239,15.303,10.835,10.984,13.058,18.806,14.631,14.61,19.813,18.539,19.464,21.417,22.592,31.014,36.145,36.694
"16","9","            Services","W107RA3",1.437,1.61,1.705,1.697,2.114,2.905,2.434,2.885,2.718,3.09,3.27,3.177,4.547,6.023,6.389,10.615,12.296,9.813,5.563,6.066,6.156,6.217,10.512,12.689,10.771,9.893,11.845,12.338,14.091,13.873,12.415,13.021,14.473,15.415,16.334,16.376,17.344,19.969,22.703,22.831,23.857
"17","10","        Less: Own-account investment \4\","W108RA3",3.384,4.07,4.116,3.698,13.765,25.705,27.075,52.04,39.06,51.375,46.31,38.058,33.414,23.78,14.075,14.768,13.745,8.716,7.848,9.587,10.362,11.266,13.7,16.811,18.276,18.009,17.649,19.075,20.379,21.894,25.806,26.361,27.967,29.908,32.821,35.119,37.733,40.183,40.825,41.356,43.466
"18","11","        Less: Sales to other sectors \5\","W109RA3",3.307,3.872,4.28,4.32,4.28,4.551,4.593,3.81,4.005,4.325,4.636,4.949,5.519,7.16,11.487,16.763,26.88,25.694,8.578,7.659,7.712,8.963,9.786,8.41,8.719,9.637,13.157,11.593,13.552,14.501,14.582,14.982,15.772,17.646,19.689,21.507,23.92,26.927,28.249,30.469,31.701
"19","12","Federal consumption expenditures \1\","A957RA3",3.199,3.393,3.296,3.14,3.693,5.102,4.628,8.008,7.083,8.072,8.969,9.682,18.939,52.883,93.365,114.495,109.349,37.005,27.546,27.574,28.664,27.702,42.302,53.319,56.833,50.395,47.365,45.987,47.335,46.671,45.701,44.586,45.462,50.058,50.211,49.76,50.664,55.918,62.78,65.269,64.344
"20","13","      Gross output of general government","W110RA3",3.14,3.335,3.244,3.125,4.263,5.578,5.682,8.51,7.486,8.317,9.215,9.914,18.692,50.819,89.561,110.814,108.626,40.22,27.068,26.906,27.714,27.037,41.152,51.283,54.73,48.752,46.539,44.845,46.537,45.972,45.063,44.045,44.916,49.4,49.78,49.561,50.654,55.992,62.26,64.571,63.886
"21","14","        Value added","W111RA3",5.404,5.815,5.61,5.38,6.554,8.563,9.522,15.39,13.445,15.157,15.476,17.253,27.79,55.879,108.382,135.51,136.287,64.359,45.38,42.428,41.14,41.545,55.588,62.041,62.387,61.048,59.905,59.695,60.167,59.239,59.316,60.964,62.91,66.006,67.206,68.51,69.561,74.358,79.449,81.396,82.281
"22","15","          Compensation of general government employees","B568RA3",12.468,13.574,12.875,12.177,15.188,20.416,22.662,38.084,32.501,36.764,37.339,41.727,67.114,129.52,244.185,286.205,271.862,97.205,60.906,61.335,63.282,67.666,102.85,115.394,111.925,105.187,100.658,98.706,97.986,93.809,91.736,93.086,95.158,99.476,99.363,99.919,100.446,109.207,117.889,119.724,120.073
"23","16","          Consumption of general government fixed capital \2\","B995RA3",0.733,0.742,0.785,0.81,0.862,0.929,1.047,1.203,1.321,1.447,1.546,1.69,2.752,7.214,16.298,26.841,33.293,32.187,27.215,23.103,20.428,18.621,18.548,20.399,22.599,24.351,25.253,26.021,27.026,28.075,29.376,30.895,32.414,34.227,36.013,37.582,38.829,40.236,42.142,43.936,45.13
"24","17","        Intermediate goods and services purchased \3\","W113RA3",1.086,1.113,1.109,1.084,2.008,2.637,2.169,2.525,2.284,2.394,3.476,3.37,9.064,35.848,56.759,69.31,65.38,11.383,5.548,8.245,11.029,9.373,21.706,34.094,40.225,30.356,27.368,24.394,27.118,26.992,25.074,20.999,20.529,26.379,25.752,23.714,24.794,30.468,37.746,40.347,37.778
"25","18","          Durable goods","W114RA3",0.201,0.275,0.276,0.24,0.724,1.077,1.797,1.57,1.513,1.552,1.684,1.916,17.164,95.56,176.661,192.644,209.707,7.943,4.09,9.051,10.917,18.105,43.006,75.975,85.036,61.791,52.213,48.65,52.135,53.406,37.714,32.79,27.089,33.418,33.731,28.839,29.958,43.272,42.695,49.019,41.012
"26","19","          Nondurable goods","W115RA3",1.351,1.512,1.63,1.617,2.744,2.547,3.438,3.476,2.668,2.668,7.109,6.688,10.395,54.657,74.671,92.297,62.594,5.562,6.75,12.153,26.097,14.061,23.031,37.778,79.463,57.704,41.108,23.338,23.424,26.938,45.295,24.327,21.425,44.242,35.594,36.178,41.432,44.268,81.777,101.087,96.89
"27","20","          Services","W116RA3",0.853,0.832,0.803,0.787,1.444,2.128,1.214,1.649,1.57,1.679,1.934,1.858,4.083,6.522,8.003,17.4,20.674,15.083,5.457,6.495,5.974,4.944,13.847,18.705,14.678,12.445,15.41,16.683,19.899,18.344,16.075,16.772,19.105,20.773,21.714,20.069,20.249,24.064,27.967,26.138,25.6
"28","21","      Less: Own-account investment \4\","W117RA3",1.233,1.845,2.328,3.15,13.682,13.74,22.939,17.66,14.78,13.25,14.227,14.92,16.587,19.83,20.486,24.399,22.384,12.58,9.812,11.942,11.809,13.024,16.549,20.71,23.67,22.724,22.116,23.592,25.748,27.684,30.851,32.453,34.535,36.87,40.036,43.943,47.829,50.875,51.858,51.568,55.062
"29","22","      Less: Sales to other sectors","W118RA3",8.744,6.598,3.766,1.44,1.484,2.13,1.426,1.112,1.94,2.204,2.736,2.325,10.526,44.408,139.86,256.022,482.404,458.985,63.446,36.879,18.737,33.205,54.228,19.107,18.304,27.334,86.629,42.721,71.794,67.824,52.429,47.127,41.195,45.843,52.532,52.741,57.306,81.535,55.492,53.01,55.452
"30","23","    Defense consumption expenditures \1\","A997RA3",2.768,2.856,2.785,2.774,2.581,2.276,2.882,3.015,2.953,3.13,3.511,5.532,21.762,76.836,142.447,174.96,167.667,50.291,34.712,32.667,32.469,33.546,57.488,73.117,75.662,66.023,61.658,61.034,63.701,62.84,57.17,57.485,59.016,63.97,64.252,63.019,63.949,72.566,81.697,85.419,82.458
"31","24","      Gross output of general government","W085RA3",2.772,2.846,2.743,2.735,2.55,2.247,2.819,2.947,2.894,3.068,3.431,5.363,21.107,73.915,137.289,169.914,165.833,53.951,33.612,31.886,31.578,32.58,56.023,70.487,73.162,64.035,60.27,59.669,62.404,61.821,56.362,56.802,58.228,62.981,63.141,62.08,63.081,71.664,79.913,83.405,80.777
"32","25","        Value added","W086RA3",5.483,5.603,5.485,5.202,4.715,4.611,5.43,5.466,5.739,6.056,6.489,10.422,31.836,82.655,166.479,214.516,213.45,91.492,59.877,54.147,52.542,51.974,74.789,85.196,86.636,84.996,83.027,82.376,82.731,80.715,80.613,82.086,84.565,88.435,88.875,89.838,90.325,96.413,102.83,104.634,105.041
"33","26","          Compensation of general government employees","B237RA3",12.252,12.602,12.271,11.503,10.144,9.86,12.067,12.016,12.681,13.42,14.481,25.086,80.093,199.644,387.699,469.159,439.03,134.558,73.125,70.977,75.207,79.404,137.806,158.809,155.607,145.98,138.278,134.462,132.556,124.831,121.343,121.182,123.764,129.125,126.81,126.839,126.97,139.94,152.31,154.337,154.522
"34","27","          Consumption of general government fixed capital \2\","B432RA3",0.93,0.925,0.928,0.927,0.941,0.941,0.957,1.008,1.036,1.081,1.126,1.234,2.739,9.589,23.867,40.61,50.941,49.165,41.186,34.571,30.179,27.121,26.81,29.642,33.071,35.809,37.214,38.352,39.806,41.239,43.049,45.183,47.163,49.494,51.456,52.831,53.474,54.142,55.668,57.095,57.618
"35","28","        Intermediate goods and services purchased \3\","W087RA3",0.693,0.724,0.653,0.797,0.82,0.464,0.779,0.935,0.694,0.753,1.012,1.409,11.182,56.924,96.537,113.381,107.405,12.553,4.274,7.064,8.158,10.833,33.554,51.233,55.048,38.742,33.403,32.889,37.882,38.823,27.477,26.707,26.885,32.634,32.464,29.023,30.63,42.12,52.433,57.883,51.616
"36","29","          Durable goods","A998RA3",0.16,0.253,0.271,0.255,0.325,0.303,0.28,0.517,0.562,0.552,0.731,1.105,18.114,109.571,204.564,223.725,243.917,8.291,4.145,9.593,11.791,20.164,48.357,85.719,95.953,69.621,58.813,54.718,58.674,60.282,42.407,36.91,30.291,37.373,37.657,31.872,33.097,48.193,47.548,55.084,45.964
"37","30","          Nondurable goods","A725RA3",4.907,5.883,6.953,8.436,7.982,1.993,7.883,8.158,3.133,4.429,4.321,7.893,45.694,319.115,516.582,564.842,421.883,41.325,15.326,23.176,32.769,37.397,98.114,128.231,204.017,127.072,62.09,61.2,68.912,73.188,63.169,61.521,78.294,102.583,91.61,104.341,117.816,168.045,257.747,295.937,262.643
"38","31","          Services","A489RA3",0.267,0.247,0.175,0.225,0.24,0.19,0.223,0.279,0.275,0.274,0.422,0.507,2.673,5.845,5.712,18.789,18.392,10.729,2.917,3.814,3.276,3.089,17.297,23.637,17.181,12.871,17.154,18.335,23.372,23.578,15.459,17.514,19.426,22.228,23.15,19.089,19.586,25.054,31.996,33.175,31.015
"39","32","      Less: Own-account investment \4\","W088RA3",0.884,1.327,1.341,1.9,1.831,1.426,1.63,1.764,1.699,1.79,1.918,2.695,8.952,17.638,22.026,31.4,28.199,17.709,13.477,15.439,14.399,14.227,17.947,23.097,27.746,27.084,26.372,28.367,30.104,31.886,36.354,37.706,39.077,38.931,38.048,38.483,38.277,38.854,39.623,41.77,46.32
"40","33","      Less: Sales to other sectors","W089RA3",21.475,15.561,9.017,3.269,3.387,4.666,3.027,2.001,3.725,4.224,3.743,1.83,24.471,115.509,347.924,570.061,1003.838,889.219,1.899,19.523,9.455,7.838,87.545,2.719,4.186,8.703,64.973,49.107,66.4,87.759,43.173,53.807,39.755,49.023,39.604,53.03,73.016,131.288,51.548,26.767,25.818
"41","34","    Nondefense consumption expenditures \1\","A542RA3",4.235,4.673,4.517,4.03,6.313,11.696,8.711,19.538,16.677,19.495,21.594,19.617,15.324,10.873,8.262,9.735,8.425,13.545,15.148,19.552,23.439,18.205,14.961,17.592,22.932,22.296,21.693,18.812,17.637,17.324,25.141,21.282,20.95,24.919,24.838,25.806,26.66,25.864,28.63,28.897,31.613
"42","35","      Gross output of general government","W128RA3",3.865,4.312,4.251,3.899,7.87,12.629,11.718,20.251,17.216,19.413,21.447,19.754,15.582,11.302,8.987,11.067,11.919,16.691,16.157,19.136,22.245,18.215,15.112,17.591,22.424,21.985,22.531,18.767,18.563,18.01,25.303,21.601,21.482,25.499,26.264,27.526,28.775,28.43,31.216,31.454,34.155
"43","36","        Value added","W129RA3",5.076,5.996,5.643,5.51,9.453,14.895,16.047,31.588,26.044,30.022,30.154,28.314,20.18,10.311,11.236,6.721,9.447,19.233,22.686,25.174,24.328,26.839,25.316,25.009,23.408,22.519,22.768,23.33,24.05,24.996,25.385,27.404,28.516,30.395,32.844,34.714,36.673,39.425,42.423,44.613,46.272
"44","37","          Compensation of general government employees","W130RA3",11.864,14.168,12.899,12.364,22.109,35.5,37.624,76.396,61.575,71.005,70.847,65.597,43.915,17.642,19.245,8.504,14.495,36.941,45.069,50.981,48.556,53.957,49.625,48.448,44.41,42.148,42.608,43.624,44.808,46.239,46.372,50.096,51.388,54.097,57.239,58.574,59.683,62.051,65.105,66.64,67.236
"45","38","          Consumption of general government fixed capital \2\","B546RA3",0.462,0.499,0.611,0.683,0.809,1.006,1.322,1.688,1.987,2.28,2.493,2.722,3.001,3.347,3.638,3.849,3.914,3.913,3.904,3.932,4.092,4.348,4.66,4.871,5.019,5.125,5.184,5.332,5.586,5.997,6.449,6.939,7.693,8.645,10.155,12.062,14.332,16.985,19.539,21.969,24.295
"46","39","        Intermediate goods and services purchased \3\","W131RA3",1.578,1.59,1.714,1.359,3.961,6.568,4.545,5.234,5.018,5.214,7.712,6.765,6.576,7.222,3.938,11.124,9.899,9.191,6.354,8.59,13.101,6.367,3.164,7.002,15.386,15.429,16.064,9.714,8.758,6.984,19.158,10.396,8.968,14.465,13.19,13.495,13.674,9.849,11.811,9.81,13.129
"47","40","          Durable goods","A543RA3",0.494,0.5,0.427,0.285,2.76,4.843,9.05,6.713,6.165,6.448,6.279,5.707,8.552,7.942,6.379,4.394,3.407,4.004,2.63,3.725,3.347,2.305,2.924,3.511,3.867,3.421,2.985,3.307,3.294,2.14,2.56,1.996,2.705,3.314,3.672,4.679,4.918,5.188,5.126,3.401,3.474
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",1.626,1.615,1.459,0.822,3.954,6.021,5.768,5.748,5.88,5.276,6.048,5.721,6.123,5.162,8.037,6.349,11.892,12.965,6.212,7.881,7.03,4.967,5.378,6.777,6.805,6.8,6.205,7.451,7.574,4.061,5.874,5.533,8.543,12.676,12.749,12.917,13.618,13.739,15.359,10.219,10.562
"51","44","          Services","A544RA3",3.615,3.651,4.114,3.485,8.363,14.153,6.876,9.555,9.033,9.798,10.56,9.497,11.331,7.62,13.899,14.283,27.676,26.624,11.474,13.058,12.425,9.548,7.99,10.22,10.709,12.402,12.975,14.513,14.394,9.325,17.18,15.617,18.638,18.456,19.431,21.959,21.574,22.317,20.32,12.465,15.156
"52","45","      Less: Own-account investment \4\","W136RA3",1.724,2.574,3.868,5.076,33.812,34.69,59.245,44.717,37.033,32.733,35.152,35.694,29.818,24.073,18.445,12.828,12.852,4.105,3.761,6.183,7.556,11.055,14.264,16.784,16.939,15.525,15.088,15.719,18.514,20.664,21.745,23.697,26.82,32.86,42.028,51.018,60.887,67.519,68.797,64.93,66.813
"53","46","      Less: Sales to other sectors","W137RA3",1.11,1.27,0.635,0.357,0.357,0.635,0.476,0.555,0.833,0.952,2.068,2.498,2.684,4.788,23.599,77.192,182.143,210.958,101.905,47.716,24.539,49.208,32.556,29.627,27.328,39.128,98.331,36.985,72.805,52.304,56.83,40.835,40.768,42.035,59.513,50.847,45.102,46.585,55.547,66.895,71.268
"54","47","State and local consumption expenditures \1\","A991RA3",9.926,10.564,11.175,11.357,11.119,11.342,12.044,9.756,10.587,10.637,11.294,11.952,12.384,12.702,12.693,12.465,12.763,13.166,14.05,14.168,15.391,16.326,16.282,16.496,17.043,17.755,18.905,19.595,20.624,22.225,23.006,24.3,25.601,26.277,27.497,29.268,31.148,33.024,34.503,36.772,39.149
"55","48","      Gross output of general government","W138RA3",8.638,9.309,9.88,9.969,10.131,11.399,11.602,12.051,11.808,13.063,13.15,12.985,12.876,12.177,11.334,11.033,11.287,11.628,12.522,12.715,13.928,14.807,14.776,15.04,15.529,16.217,17.306,17.973,18.931,20.455,21.369,22.505,23.77,24.647,26.013,27.768,29.703,31.617,33.222,35.499,37.645
"56","49","        Value added","W139RA3",12.247,12.744,13.184,13.126,13.226,14.03,14.713,13.934,14.355,14.946,15.224,15.412,15.542,15.333,14.959,14.614,14.917,15.701,16.694,17.123,18.26,18.89,19.384,20.023,20.896,21.823,22.834,24.266,25.6,27.172,28.29,29.79,31.331,32.476,34.171,36.224,38.431,40.716,42.432,44.978,47.036
"57","50","          Compensation of general government employees","B251RA3",13.665,14.152,14.568,14.375,14.428,15.407,16.234,15.153,15.592,16.237,16.449,16.567,16.675,16.402,15.957,15.573,16.025,17.067,18.339,18.826,20.191,20.865,21.356,22.034,22.999,23.995,25.068,26.668,28.118,29.844,30.995,32.621,34.289,35.457,37.277,39.5,41.887,44.344,46.084,48.842,51.015
"58","51","          Consumption of general government fixed capital \2\","B986RA3",5.229,5.594,5.969,6.307,6.517,6.651,6.779,6.963,7.217,7.508,7.872,8.188,8.333,8.329,8.216,8.062,7.922,7.854,7.904,8.071,8.338,8.682,9.044,9.406,9.805,10.306,10.894,11.501,12.178,12.929,13.694,14.474,15.289,16.144,17.093,18.18,19.358,20.634,21.99,23.342,24.653
"59","52","        Intermediate goods and services purchased \3\","W140RA3",3.306,3.923,4.456,4.657,4.837,6.213,5.944,7.351,6.588,8.124,8.014,7.559,7.259,6.309,5.286,5.099,5.248,5.098,5.689,5.612,6.644,7.593,7.034,6.855,6.839,7.142,8.132,7.814,8.183,9.419,9.955,10.488,11.238,11.666,12.447,13.616,14.984,16.21,17.525,19.251,21.404
"60","53","          Durable goods","B989RA3",2.882,2.644,2.963,2.704,2.95,4.22,3.694,7.865,6.692,9.015,8.511,6.56,5.138,3.104,1.272,0.985,1.091,1.67,2.476,3.219,3.46,3.52,3.721,4.048,4.225,4.664,4.553,5.053,6.148,6.189,6.944,7.328,7.763,8.31,8.847,9.458,10.61,11.435,12.029,13.96,15.955
"61","54","          Nondurable goods","B337RA3",3.899,4.704,5.487,6.015,6.204,7.724,7.029,8.866,7.721,9.757,9.541,9.018,8.653,7.487,6.301,6.066,6.036,5.351,5.93,5.648,7.163,8.062,6.914,6.883,6.785,6.98,8.127,7.548,7.724,9.45,11.66,12.255,13.044,13.513,14.215,15.239,16.332,17.078,17.963,19.431,21.188
"62","55","          Services","A988RA3",2.846,3.413,3.761,3.761,3.92,5.163,5.293,5.89,5.516,6.489,6.529,6.39,6.336,5.752,4.985,4.851,5.159,5.383,5.956,5.951,6.656,7.782,7.645,7.25,7.275,7.648,8.68,8.444,8.853,9.874,9.164,9.671,10.433,10.815,11.676,13.007,14.575,16.165,17.857,19.708,22.121
"63","56","      Less: Own-account investment \4\","W144RA3",8.221,9.195,8.466,5.774,17.942,57.945,43.253,141.758,102.751,149.997,129.79,99.218,79.233,38.86,6.338,2.136,2.437,3.873,5.852,7.217,9.459,10.004,11.112,13.032,12.459,13.131,13.082,14.56,14.835,15.909,21.188,20.343,21.435,23.009,25.841,26.109,27.194,29.041,29.278,30.916,31.383
"64","57","      Less: Sales to other sectors","W145RA3",3.112,3.802,4.354,4.497,4.452,4.71,4.786,3.972,4.143,4.469,4.773,5.124,5.32,5.4,5.43,5.521,5.557,5.407,6.08,6.405,7.352,7.982,7.838,8.067,8.434,8.991,9.948,10.359,11.07,12.275,13.098,13.768,14.87,16.647,18.514,20.428,22.779,24.912,27.407,29.854,31.049
"65","58","        Tuition and related educational charges","B1065A3",4.404,5.176,5.733,5.363,4.957,4.824,4.808,4.663,4.595,4.648,4.569,4.55,4.41,4.3,3.941,3.779,3.876,3.645,4.004,4.839,5.511,5.351,5.268,5.568,6.033,6.533,7.345,8.354,9.654,11.006,12.627,13.959,15.284,17.279,19.734,23.091,26.812,30.381,33.874,38.112,41.919
"66","59","        Health and hospital charges","B1066A3",5.756,7.197,8.045,7.736,6.925,6.54,6.137,5.984,5.889,6.002,5.885,5.845,5.652,5.293,5.071,4.816,4.81,4.219,4.008,4.708,5.28,5.047,5.093,5.197,5.444,5.996,6.711,7.673,8.715,10.969,11.491,10.649,10.853,12.71,13.181,14.237,16.252,18.568,21.06,24.597,25.46
"67","60","        Other sales \5\","W146RA3",2.02,2.457,2.904,3.276,3.528,4.027,4.244,3.174,3.449,3.87,4.357,4.88,5.241,5.473,5.635,5.867,5.904,5.918,6.935,7.011,8.104,9.189,8.964,9.22,9.6,10.132,11.158,11.188,11.598,12.201,12.969,14.241,15.694,17.235,19.599,21.552,23.611,25.161,27.22,28.398,29.137
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","by government that are valued at their cost of production. Excludes government sales to other sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and government own-account investment (construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
