"","Table 7#21# Transactions of Defined Benefit Pension Plans","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"11","4","    Claims to benefits accrued through service to employers","Y612RC1",101.3,106.8,110.7,111.8,116.9,133.9,139.6,146.7,170.1,171.2,176.1,179.7,184.8,192.6,204.1,215,224.2,237.3,248.5,263.6,286.2,291.6,300.9,314.9,327.4,337.3,356.8,355,353.9,353.8,354.7
"12","5","      Actual employer contributions","Y603RC1",116.6,117.2,112.1,110.4,108,109.4,109.4,119.3,126.1,131.7,140.2,143,137.9,134,138.5,133.7,138.7,155.3,197.8,244,229.9,236.8,249.2,258.9,310.7,333.9,362.1,380.2,386.1,386.7,386.6
"13","6","      Imputed employer contributions","Y604RC1",-28.6,-23.4,-14.5,-11.9,-4.6,10.5,15.6,12.3,28.2,23.4,19.6,19.7,30.6,42.3,48.9,63.2,67.8,64.3,31.7,-0.9,37,36.1,34.9,39.2,-5.8,-22.9,-30.1,-51.5,-59.1,-60.1,-60.2
"14","7","      Actual household contributions","Y605RC1",16.3,16.8,17.3,17.5,18,18.8,19.8,20.8,21.6,22.5,23.3,24.6,25.6,26.6,27.7,29.5,31.1,32.4,33.9,35.6,36.3,37.1,38.7,40.7,43.1,44.1,44.5,46.7,48.6,49.7,51.3
"15","8","      Less: Pension service charges \1\","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22.5,23
"16","9","    Household pension contribution supplements \2\","Y606RC1",141.1,146,158.8,170.8,179.1,191.2,203.3,209,215.5,215.5,225.5,236.8,234.7,240.6,232.4,227.7,223.6,239.8,264.7,283.7,289.6,293.6,300.9,313.2,350.3,381.8,371.2,377.3,393.5,397.8,388.4
"17","10","  Income receipts on assets (including plans' claims on employers)","Y606RC1",141.1,146,158.8,170.8,179.1,191.2,203.3,209,215.5,215.5,225.5,236.8,234.7,240.6,232.4,227.7,223.6,239.8,264.7,283.7,289.6,293.6,300.9,313.2,350.3,381.8,371.2,377.3,393.5,397.8,388.4
"18","11","    Interest","Y607RC1",126.9,130,142.1,153.2,160.8,170.9,181.1,184.6,189,187.6,196,205.2,199.8,203.6,195.4,190.8,187.3,204.5,230.5,247.8,246.5,243.3,243.9,250.7,289.1,328.3,318,323.5,334.6,331.7,315.7
"19","12","      Monetary interest","Y608RC1",69.2,80.4,88.8,94.5,98,107.3,113.6,119.1,115.7,116.2,125.7,137.6,142.3,154.8,158,161.7,156.6,142.4,137.6,140.8,138.6,138.7,141.4,149.2,142.6,129.3,123.1,128.4,125.9,119.5,121.8
"20","13","      Imputed interest on plans' claims on employers \3\","Y609RC1",57.7,49.6,53.3,58.7,62.8,63.6,67.5,65.5,73.3,71.4,70.2,67.7,57.5,48.7,37.4,29.2,30.7,62.1,92.8,107,107.9,104.6,102.6,101.5,146.5,199.1,194.9,195.2,208.7,212.2,193.9
"21","14","    Dividends","Y610RC1",14.2,16,16.7,17.6,18.2,20.2,22.2,24.4,26.5,27.9,29.5,31.6,34.9,37.1,37,36.9,36.2,35.2,34.3,35.9,43.1,50.3,56.9,62.5,61.2,53.5,53.2,53.7,58.8,66.1,72.7
"22","15","Current expenditures, accrual basis","Q601RC1",386.4,402.5,432.5,457.7,479.5,521,551.4,570.4,606.9,608.6,634,660.9,663.4,684.1,679.9,681.9,684.8,731.5,792.9,846.1,882.4,897.3,924.5,965.3,1048.6,1118.8,1118.9,1129.9,1162.5,1172,1154.6
"23","16","  Administrative expenses","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22.5,23
"24","17","  Imputed income payments on assets to persons","Y606RC1",141.1,146,158.8,170.8,179.1,191.2,203.3,209,215.5,215.5,225.5,236.8,234.7,240.6,232.4,227.7,223.6,239.8,264.7,283.7,289.6,293.6,300.9,313.2,350.3,381.8,371.2,377.3,393.5,397.8,388.4
"25","18","    Interest","Y607RC1",126.9,130,142.1,153.2,160.8,170.9,181.1,184.6,189,187.6,196,205.2,199.8,203.6,195.4,190.8,187.3,204.5,230.5,247.8,246.5,243.3,243.9,250.7,289.1,328.3,318,323.5,334.6,331.7,315.7
"26","19","    Dividends","Y610RC1",14.2,16,16.7,17.6,18.2,20.2,22.2,24.4,26.5,27.9,29.5,31.6,34.9,37.1,37,36.9,36.2,35.2,34.3,35.9,43.1,50.3,56.9,62.5,61.2,53.5,53.2,53.7,58.8,66.1,72.7
"27","20","  Benefit payments and withdrawals","Y620RC1",107.9,121.5,139.2,142.9,143.3,155,161.3,173.8,186.1,195.7,206.9,218.8,238.1,248.8,270.9,288.2,308.3,323.7,343.7,356.1,374.6,384.6,415,441,465.8,487.7,506.4,525.1,570.2,620.1,655.3
"28","21","  Net change in benefit entitlements \4\","Y632RC1",134.4,131.2,130.3,139.8,152.7,170.1,181.6,182,199.4,191,194.7,197.7,181.4,184.4,165.6,154.5,139.5,153.3,169.5,191.2,201.2,200.5,186.8,187.1,211.9,231.4,221.7,207.2,177.2,131.6,87.8
"29","22","Cash flow","Y617RC1",105.3,105,91.5,93,94.5,96,98.6,104.2,98,96.1,104.9,110.4,93.2,93.4,79.3,62.1,41,26.9,44.9,85.1,56.3,59.8,49.4,46.4,71.2,55.2,56.9,63.5,27.6,-20.5,-45.9
"30","23","  Actual employer and household contributions (5+7)","Y618RC1",132.9,134,129.3,127.9,126,128.2,129.2,140.1,147.7,154.2,163.5,167.5,163.5,160.6,166.2,163.2,169.8,187.7,231.7,279.6,266.3,273.9,287.9,299.6,353.8,378.1,406.6,426.9,434.7,436.4,437.9
"31","24","  Monetary income receipts on assets (12+14)","Y619RC1",83.4,96.3,105.5,112.2,116.3,127.5,135.8,143.6,142.2,144.1,155.2,169.2,177.2,191.9,195,198.5,192.9,177.7,171.9,176.7,181.7,189,198.3,211.7,203.8,182.7,176.4,182.1,184.8,185.6,194.6
"32","25","  Less: Benefit payments and withdrawals","Y620RC1",107.9,121.5,139.2,142.9,143.3,155,161.3,173.8,186.1,195.7,206.9,218.8,238.1,248.8,270.9,288.2,308.3,323.7,343.7,356.1,374.6,384.6,415,441,465.8,487.7,506.4,525.1,570.2,620.1,655.3
"33","26","  Less: Administrative expenses","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22.5,23
"34",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Effect on personal income (1-7-9 or 15-7-9)","Y622RC1",229.1,239.8,256.4,269.4,282.4,311,328.3,340.6,369.8,370.6,385.3,399.5,403.2,416.9,419.8,424.6,430.1,459.4,494.3,526.8,556.5,566.5,585,611.4,655.2,692.8,703.2,705.9,720.5,724.5,714.9
"36","28","  Less: Effect on personal consumption expenditures (2)","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22.5,23
"37","29","  Equals: Effect on personal saving","Y624RC1",226,236,252.3,265.2,277.9,306.3,323.1,334.9,363.9,364.2,378.3,391.9,393.8,406.6,408.8,413.2,416.7,444.7,479.3,511.7,539.4,548.1,563.1,587.5,634.5,675,683.5,685.6,698.8,701.9,691.8
"38","30","  Plus: Implied funding of benefits from holding gains on assets","Y625RC1",2.3,11.3,10.6,11.5,15.9,6.1,6.6,14.8,10.1,22.2,24.3,26.4,42.4,50.6,76.2,96.7,116.3,121.2,111.1,110.1,115,131.2,144,157.2,136,119.4,132.4,146.2,146.8,157.8,181.7
"39","31","    Interest accrued on benefit entitlements","Y626RC1",143.4,157.2,169.4,182.3,195,197.3,210,223.8,225.6,237.7,249.8,263.2,277.1,291.2,308.6,324.4,339.9,361,375.8,393.7,404.6,424.8,444.9,470.5,486.3,501.1,503.6,523.5,540.3,555.7,570.1
"40","32","    Less: Interest and dividend income received by plans (10)","Y606RC1",141.1,146,158.8,170.8,179.1,191.2,203.3,209,215.5,215.5,225.5,236.8,234.7,240.6,232.4,227.7,223.6,239.8,264.7,283.7,289.6,293.6,300.9,313.2,350.3,381.8,371.2,377.3,393.5,397.8,388.4
"41","33","  Equals: Change in personal wealth \5\","Y628RC1",228.3,247.3,262.9,276.6,293.9,312.4,329.7,349.7,374,386.4,402.6,418.4,436.2,457.2,485.1,509.8,533,565.9,590.4,621.8,654.5,679.2,707.2,744.7,770.5,794.3,815.9,831.8,845.6,859.8,873.5
"42","34","  Less: Benefit payments and withdrawals (20)","Y620RC1",107.9,121.5,139.2,142.9,143.3,155,161.3,173.8,186.1,195.7,206.9,218.8,238.1,248.8,270.9,288.2,308.3,323.7,343.7,356.1,374.6,384.6,415,441,465.8,487.7,506.4,525.1,570.2,620.1,655.3
"43","35","  Plus: Household actual contributions (7)","Y605RC1",16.3,16.8,17.3,17.5,18,18.8,19.8,20.8,21.6,22.5,23.3,24.6,25.6,26.6,27.7,29.5,31.1,32.4,33.9,35.6,36.3,37.1,38.7,40.7,43.1,44.1,44.5,46.7,48.6,49.7,51.3
"44","36","  Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \5\","Y631RC1",136.8,142.5,140.9,151.3,168.6,176.3,188.2,196.7,209.5,213.2,219.1,224.2,223.8,234.9,241.9,251.1,255.8,274.5,280.5,301.3,316.2,331.7,330.8,344.3,347.9,350.8,354.1,353.4,324,289.4,269.5
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Included in personal consumption expenditures as part of financial services furnished without payment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested as household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Plans' claims on employers is the difference between actuarial liabilities and financial assets held",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","by plans. When actuarial liabilities exceed plan assets, imputed interest is positive; when plan assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","in the estimated value of benefit entitlements that come from differences between actual experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and previous actuarial assumptions, changes in actuarial assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5. Excludes effects on change in the estimated value of benefit entitlements that come from differences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","between actual experience and previous actuarial assumptions, changes in actuarial assumptions, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","or net worth of their own. Tables 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
