"","Table 7#19# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"22","4","  Adjustment for different accounting periods","W433RC1","8,147.0","4,586.0","4,763.0","1,624.0","7,953.0","2,006.0","7,690.0","12,219.0","13,050.0","8,012.0","4,205.0","15,270.0","17,090.0","23,015.0","14,826.0","28,612.0","9,893.0","13,783.0","14,673.0",".....","....."
"23","5","  Nonresident institutions","W434RC1","10,483.0","9,919.0","12,184.0","11,853.0","11,195.0","11,363.0","9,925.0","10,774.0","11,603.0","10,851.0","8,444.0","11,550.0","11,388.0","9,364.0","14,416.0","16,750.0","21,048.0","21,335.0","20,581.0",".....","....."
"24","6","  Government hospitals and schools \2\","W435RC1","50,486.0","55,351.0","62,706.0","67,597.0","64,163.0","63,543.0","66,168.0","59,170.0","76,120.0","78,694.0","87,238.0","112,914.0","125,825.0","132,089.0","142,441.0","155,723.0","160,177.0","131,035.0","69,449.0",".....","....."
"25","7","  Other out-of-scope activity \3\","W436RC1","135,942.0","143,821.0","147,223.0","177,358.0","181,173.0","201,436.0","173,837.0","180,054.0","194,295.0","185,566.0","196,331.0","232,114.0","240,194.0","246,630.0","269,172.0","324,772.0","327,360.0","326,085.0","396,550.0",".....","....."
"26","8","  Transfer receipts from nonprofit institutions \4\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,436.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,597.0","63,892.0","68,833.0","78,516.0","90,305.0","92,437.0","83,748.0","89,664.0","92,427.0","96,955.0"
"27","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1","29,228.0","30,156.0","33,789.0","34,719.0","36,646.0","36,376.0","40,688.0","42,010.0","46,980.0","51,473.0","51,582.0","50,623.0","54,066.0","56,461.0","58,308.0","63,403.0","63,563.0","63,138.0","58,370.0",".....","....."
"28","10","  Religious organizations \5\","W439RC1","27,610.0","28,961.0","32,686.0","33,466.0","35,109.0","35,041.0","38,705.0","39,958.0","44,973.0","48,849.0","49,668.0","49,381.0","53,978.0","56,720.0","59,185.0","63,510.0","62,626.0","61,634.0","56,434.0",".....","....."
"29","11","  Other organizations","W440RC1","1,475.0","1,495.0","1,588.0","1,691.0","1,803.0","1,917.0","1,908.0","1,904.0","1,813.0","1,671.0","1,674.0","2,251.0","2,077.0","2,160.0","2,430.0","2,718.0","3,222.0","3,508.0","3,759.0",".....","....."
"30","12","  Other accounting differences \6\","W428RC1","144.0","-300.0","-486.0","-438.0","-266.0","-582.0","75.0","148.0","193.0","953.0","240.0","-1,009.0","-1,989.0","-2,420.0","-3,306.0","-2,826.0","-2,284.0","-2,004.0","-1,822.0",".....","....."
"31","13","Equals: IRS-derived nonprofit institution income and receipts from sales","W441RC1","462,205.0","495,583.0","524,776.0","560,582.0","605,410.0","638,097.0","677,319.0","727,402.0","790,535.0","865,243.0","922,551.0","970,120.0","1,029,307.0","1,107,993.0","1,215,570.0","1,215,610.0","1,239,672.0","1,330,823.0","1,441,013.0",".....","....."
"32","14","Nonprofit institution income, NIPAs \7\","W400RC1","133,348.0","134,976.0","142,485.0","146,968.0","166,355.0","188,585.0","198,782.0","225,836.0","254,037.0","247,672.0","247,412.0","247,679.0","273,487.0","302,180.0","309,402.0","323,582.0","307,650.0","276,050.0","299,396.0","301,070.0","318,178.0"
"33","15","Plus: Receipts from sales of goods and services by nonprofit institutions, NIPAs \8\","DNPSRC1","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","863,690.0","903,637.0"
"34","16","Equals: BEA-derived nonprofit institution income and receipts from sales","W442RC1","441,804.0","463,657.0","484,799.0","503,184.0","539,446.0","585,621.0","617,496.0","663,926.0","717,637.0","745,031.0","786,130.0","816,810.0","886,109.0","960,368.0","1,002,443.0","1,057,943.0","1,066,418.0","1,072,597.0","1,129,939.0","1,164,760.0","1,221,815.0"
"35","17","    Gap, IRS less BEA nonprofit institution income and receipts from sales","W443RC1","20,401.0","31,927.0","39,978.0","57,398.0","65,964.0","52,476.0","59,823.0","63,477.0","72,898.0","120,212.0","136,421.0","153,310.0","143,198.0","147,625.0","213,127.0","157,667.0","173,254.0","258,226.0","311,074.0",".....","....."
"36","18","Expenses of nonprofit institutions, IRS \1\","W444RC1","633,554.0","673,556.0","700,748.0","764,249.0","809,733.0","861,972.0","882,739.0","933,465.0","1,039,507.0","1,116,294.0","1,202,700.0","1,284,506.0","1,362,845.0","1,455,299.0","1,575,686.0","1,669,330.0","1,768,826.0","1,794,243.0","1,859,777.0",".....","....."
"37","19","Less: Nonprofit institution expenses recorded by the IRS not included in gross output of nonprofit institutions and current transfer payments","W445RC1","224,073.0","236,042.0","244,714.0","274,170.0","318,363.0","284,243.0","295,169.0","304,125.0","348,811.0","357,834.0","374,252.0","421,070.0","445,536.0","476,648.0","512,741.0","600,358.0","622,278.0","603,695.0","640,852.0",".....","....."
"38","20","  Adjustment for different accounting periods","W446RC1","7,477.0","3,632.0","4,355.0","1,249.0","5,457.0","3,775.0","8,848.0","8,631.0","15,601.0","14,608.0","5,975.0","7,947.0","12,996.0","21,369.0","11,886.0","30,882.0","10,126.0","14,550.0","15,381.0",".....","....."
"39","21","  Nonresident institutions","W447RC1","9,361.0","9,398.0","11,571.0","10,251.0","10,119.0","10,527.0","11,345.0","10,052.0","10,960.0","10,502.0","7,633.0","10,554.0","9,987.0","8,332.0","12,830.0","15,513.0","19,587.0","18,973.0","18,498.0",".....","....."
"40","22","  Government hospitals and schools \2\","W448RC1","50,694.0","59,522.0","65,816.0","68,380.0","80,261.0","52,619.0","71,548.0","66,854.0","78,900.0","84,991.0","100,665.0","121,443.0","129,678.0","132,345.0","148,940.0","150,992.0","167,430.0","198,767.0","180,480.0",".....","....."
"41","23","  Other out-of-scope activity \3\","W449RC1","134,509.0","140,022.0","140,144.0","169,996.0","193,576.0","186,270.0","164,523.0","174,490.0","192,063.0","192,506.0","203,733.0","222,754.0","233,736.0","251,518.0","267,342.0","320,322.0","340,849.0","295,319.0","343,654.0",".....","....."
"42","24","  Transfer payments to nonprofit institutions \4\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,436.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,597.0","63,892.0","68,833.0","78,516.0","90,305.0","92,437.0","83,748.0","89,664.0","92,427.0","96,955.0"
"43","25","  Capital consumption adjustment \9\","W429RC1","-3,408.0","-3,430.0","-3,487.0","-3,677.0","-3,515.0","-3,384.0","-3,264.0","-3,397.0","-3,788.0","-4,036.0","-4,044.0","-4,224.0","-4,753.0","-5,748.0","-6,773.0","-7,655.0","-8,151.0","-7,662.0","-6,826.0",".....","....."
"44","26","Plus: Gross output of nonprofit institutions and current transfer payments not recorded by the IRS","W451RC1","25,908.0","28,081.0","31,731.0","32,603.0","34,382.0","34,048.0","37,337.0","38,455.0","41,605.0","45,129.0","44,861.0","46,003.0","48,890.0","51,946.0","53,545.0","57,752.0","50,528.0","53,613.0","50,134.0",".....","....."
"45","27","  Religious organizations \5\","W453RC1","26,196.0","27,709.0","31,198.0","32,087.0","34,009.0","34,296.0","37,759.0","39,218.0","43,259.0","46,989.0","47,717.0","48,823.0","52,429.0","55,163.0","57,055.0","61,500.0","55,200.0","58,835.0","54,319.0",".....","....."
"46","28","  Other organizations","W454RC1","1,209.0","1,203.0","1,293.0","1,369.0","1,448.0","1,784.0","1,732.0","1,784.0","1,701.0","1,625.0","1,717.0","1,958.0","1,961.0","1,987.0","2,149.0","2,304.0","2,539.0","2,698.0","2,851.0",".....","....."
"47","29","  Adjustment for other accounting differences \10\","W452RC1","-1,497.0","-831.0","-759.0","-853.0","-1,075.0","-2,032.0","-2,154.0","-2,546.0","-3,355.0","-3,485.0","-4,573.0","-4,778.0","-5,500.0","-5,204.0","-5,660.0","-6,052.0","-7,211.0","-7,919.0","-7,036.0",".....","....."
"48","30","Equals: IRS-derived gross output of nonprofit institutions and current transfer payments","W455RC1","435,389.0","465,595.0","487,766.0","522,681.0","525,752.0","611,777.0","624,907.0","667,795.0","732,301.0","803,589.0","873,309.0","909,439.0","966,199.0","1,030,597.0","1,116,490.0","1,126,724.0","1,197,076.0","1,244,162.0","1,269,060.0",".....","....."
"49","31","Gross output of nonprofit institutions, NIPAs \11\","DNPERC1","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,141,592.0","1,194,126.0"
"50","32","Plus: Nonprofit institution current transfer payments, NIPAs \12\","W419RC1","23,153.0","26,237.0","28,567.0","28,671.0","33,488.0","36,717.0","43,655.0","48,765.0","51,652.0","58,716.0","61,902.0","65,594.0","69,777.0","77,077.0","80,119.0","87,279.0","92,165.0","94,377.0","103,799.0","106,037.0","109,092.0"
"51","33","Equals: BEA-derived gross output of nonprofit institutions and current transfer payments","W456RC1","419,543.0","444,983.0","468,643.0","487,215.0","516,623.0","539,341.0","586,176.0","625,084.0","673,293.0","735,157.0","798,962.0","840,237.0","888,771.0","945,533.0","1,012,345.0","1,070,420.0","1,133,077.0","1,166,941.0","1,209,692.0","1,247,629.0","1,303,218.0"
"52","34","    Gap, IRS less BEA gross output of nonprofit institutions and current transfer payments","W457RC1","15,847.0","20,611.0","19,123.0","35,466.0","9,129.0","72,436.0","38,731.0","42,711.0","59,008.0","68,432.0","74,347.0","69,202.0","77,428.0","85,064.0","104,145.0","56,304.0","63,999.0","77,221.0","59,368.0",".....","....."
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. For 1996, includes an adjustment to account for some classes of tax-exempt institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","not included in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Primarily reflects adjustment for differences between IRS and BEA in sector definitions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and in treatment of scholarships and fellowships.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Includes activities of nonprofit institutions serving business, unrelated sales, secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales, and sales to business, government, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","households through the support of other nonprofit institutions, plus their payments to affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Reflects partial coverage in the IRS statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","6. Consists of imputed interest received for depositor and insurance services, net insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","settlements, and capital consumption adjustment for rental income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","7. Estimates of income and outlays of nonprofit institutions serving households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","are provided in table 2.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","8. Equals table 2.9, line 68.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","9. IRS-reported capital consumption allowance less BEA-estimated consumption of fixed capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","for structures and for equipment and software of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","10. Consists primarily of financial services furnished without payment for depositor and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","insurance services, less expenditures for computer software investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","11. Equals table 2.9, line 58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","12. Equals table 2.9, line 78.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","NIPAs National income and product account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
