"","Table 5#7#5A# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"37","19","    Durable goods","A630RC1","1,226.0","-966.0","3,536.0","2,037.0","2,994.0","510.0","-1,437.0","3,268.0","3,203.0","3,159.0","-294.0","-5,167.0","2,094.0","-2,657.0","5,891.0","8,703.0","8,507.0","58.0","13,221.0","4,743.0","6,382.0","-1,156.0","-4,495.0","1,161.0","8,870.0","13,483.0","9,302.0","5,026.0","9,607.0"
"38","20","      Motor vehicle dealers \4\","A631RC1","679.0","-1,198.0","2,808.0","314.0","2,216.0","195.0","-1,416.0","1,722.0","2,788.0","1,689.0","-40.0","-4,579.0","218.0","-1,812.0","3,318.0","5,188.0","6,082.0","-1,239.0","9,137.0","1,819.0","4,162.0","-1,377.0","-3,550.0","1,269.0","3,663.0","7,382.0","5,725.0","2,607.0","4,354.0"
"39","21","      Other \4\","A632RC1","547.0","232.0","728.0","1,723.0","778.0","315.0","-21.0","1,546.0","415.0","1,470.0","-254.0","-588.0","1,876.0","-845.0","2,573.0","3,515.0","2,425.0","1,297.0","4,084.0","2,924.0","2,220.0","221.0","-945.0","-108.0","5,207.0","6,101.0","3,577.0","2,419.0","5,253.0"
"40","22","    Nondurable goods","A633RC1","1,144.0","979.0","1,681.0","1,452.0","1,135.0","-1,317.0","-1,788.0","1,754.0","1,056.0","2,403.0","249.0","2,134.0","4,205.0","-153.0","4,325.0","8,258.0","3,688.0","2,571.0","4,084.0","1,827.0","6,344.0","-447.0","5,008.0","3,127.0","5,659.0","6,306.0","2,679.0","2,382.0","4,055.0"
"41","23","  Other","A154RC1","556.0","152.0","466.0","683.0","821.0","1,323.0","683.0","240.0","2,221.0","2,091.0","-59.0","-813.0","6,673.0","-2,171.0","-801.0","975.0","3,719.0","2,357.0","1,690.0","-1,089.0","-3,253.0","-3,240.0","2,662.0","2,176.0","2,644.0","3,710.0","1,960.0","1,496.0","5,767.0"
"42","24","    Durable goods","A636RC1","-8.0","-52.0","-232.0","118.0","389.0","23.0","-101.0","-63.0","102.0","480.0","-34.0","-174.0","146.0","651.0","-581.0","85.0","-336.0","-619.0","207.0","-255.0","446.0","-38.0","-317.0","439.0","257.0","545.0","40.0","354.0","935.0"
"43","25","    Nondurable goods","A637RC1","564.0","204.0","698.0","565.0","432.0","1,300.0","784.0","303.0","2,119.0","1,611.0","-25.0","-639.0","6,527.0","-2,822.0","-220.0","890.0","4,055.0","2,976.0","1,483.0","-834.0","-3,699.0","-3,202.0","2,979.0","1,737.0","2,387.0","3,165.0","1,920.0","1,142.0","4,832.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Beginning with 1982, this series is derived from the Census Bureau series ""current cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","inventories.""  For earlier periods, it is derived from the Census Bureau ""book value inventories""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","series.  The series differ in the treatment of inventories reported on a last-in, first-out (LIFO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","basis:  The series prior to 1982 is a mix of LIFO and non-LIFO inventories; the series beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1982 is entirely on a non-LIFO basis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3. Beginning with 1973, the inventory valuation adjustment (IVA) shown in this table differs from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IVA that adjusts business incomes.  The IVA in this table reflects the mix of methods (first-in,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","first-out; last-in, first-out; etc.) underlying inventories derived primarily from Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","statistics (see footnote 1).  This mix differs from that underlying business income derived primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","from Internal Revenue Service statistics.  Prior to 1973, the two IVA's are the same because information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","required for separate estimates is not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for these industries are based on the 1987 SIC.  The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
