"","Table 7#20# Transactions of Defined Benefit Pension Plans       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","Current receipts, accrual basis","Y601RC1","386,448.0","402,503.0","432,508.0","457,722.0","479,472.0","520,962.0","551,449.0","570,368.0","606,890.0","608,586.0","634,024.0","660,900.0","663,449.0","684,102.0","679,915.0","681,857.0","684,757.0","731,528.0","792,866.0","846,059.0","882,439.0","897,251.0","924,501.0","965,303.0","1,048,597.0","1,118,776.0","1,135,857.0","1,133,532.0","1,167,252.0"
"20","2","  Output \1\","Y616RC1","3,048.0","3,769.0","4,178.0","4,201.0","4,482.0","4,689.0","5,210.0","5,641.0","5,857.0","6,423.0","6,966.0","7,578.0","9,356.0","10,268.0","10,970.0","11,407.0","13,346.0","14,705.0","14,963.0","15,107.0","17,064.0","18,466.0","21,852.0","23,912.0","20,624.0","17,881.0","19,676.0","21,022.0","21,260.0"
"21","3","  Contributions","Y602RC1","242,329.0","252,784.0","269,508.0","282,678.0","295,924.0","325,095.0","342,920.0","355,701.0","385,557.0","386,674.0","401,600.0","416,496.0","419,429.0","433,213.0","436,542.0","442,731.0","447,820.0","477,048.0","513,182.0","547,283.0","575,771.0","585,179.0","601,793.0","628,144.0","677,671.0","719,108.0","739,431.0","734,623.0","751,643.0"
"22","4","    Claims to benefits accrued through service to employers","Y612RC1","101,258.0","106,834.0","110,686.0","111,835.0","116,858.0","133,917.0","139,601.0","146,675.0","170,081.0","171,185.0","176,142.0","179,670.0","184,765.0","192,592.0","204,139.0","215,012.0","224,229.0","237,273.0","248,461.0","263,614.0","286,167.0","291,573.0","300,937.0","314,897.0","327,369.0","337,321.0","362,681.0","356,736.0","357,294.0"
"23","5","      Actual employer contributions","Y603RC1","116,550.0","117,206.0","112,077.0","110,380.0","107,960.0","109,365.0","109,416.0","119,283.0","126,117.0","131,687.0","140,198.0","142,973.0","137,884.0","133,967.0","138,503.0","133,684.0","138,659.0","155,304.0","197,817.0","244,033.0","229,942.0","236,784.0","249,247.0","258,920.0","310,650.0","333,936.0","362,076.0","376,632.0","401,103.0"
"24","6","      Imputed employer contributions","Y604RC1","-28,567.0","-23,369.0","-14,470.0","-11,861.0","-4,618.0","10,456.0","15,571.0","12,265.0","28,190.0","23,400.0","19,598.0","19,720.0","30,628.0","42,285.0","48,888.0","63,189.0","67,803.0","64,286.0","31,716.0","-878.0","36,951.0","36,130.0","34,873.0","39,211.0","-5,794.0","-22,876.0","-24,265.0","-44,886.0","-70,237.0"
"25","7","      Actual household contributions","Y605RC1","16,323.0","16,766.0","17,257.0","17,517.0","17,998.0","18,785.0","19,824.0","20,768.0","21,631.0","22,521.0","23,312.0","24,555.0","25,609.0","26,608.0","27,718.0","29,546.0","31,113.0","32,388.0","33,891.0","35,566.0","36,338.0","37,125.0","38,669.0","40,678.0","43,137.0","44,142.0","44,546.0","46,012.0","47,688.0"
"26","8","      Less: Pension service charges \1\","Y616RC1","3,048.0","3,769.0","4,178.0","4,201.0","4,482.0","4,689.0","5,210.0","5,641.0","5,857.0","6,423.0","6,966.0","7,578.0","9,356.0","10,268.0","10,970.0","11,407.0","13,346.0","14,705.0","14,963.0","15,107.0","17,064.0","18,466.0","21,852.0","23,912.0","20,624.0","17,881.0","19,676.0","21,022.0","21,260.0"
"27","9","    Household pension contribution supplements \2\","Y606RC1","141,071.0","145,950.0","158,822.0","170,843.0","179,066.0","191,178.0","203,319.0","209,026.0","215,476.0","215,489.0","225,458.0","236,826.0","234,664.0","240,621.0","232,403.0","227,719.0","223,591.0","239,775.0","264,721.0","283,669.0","289,604.0","293,606.0","300,856.0","313,247.0","350,302.0","381,787.0","376,750.0","377,887.0","394,349.0"
"28","10","  Income receipts on assets (including plans' claims on employers)","Y606RC1","141,071.0","145,950.0","158,822.0","170,843.0","179,066.0","191,178.0","203,319.0","209,026.0","215,476.0","215,489.0","225,458.0","236,826.0","234,664.0","240,621.0","232,403.0","227,719.0","223,591.0","239,775.0","264,721.0","283,669.0","289,604.0","293,606.0","300,856.0","313,247.0","350,302.0","381,787.0","376,750.0","377,887.0","394,349.0"
"29","11","    Interest","Y607RC1","126,908.0","129,980.0","142,077.0","153,207.0","160,832.0","170,947.0","181,099.0","184,585.0","188,993.0","187,634.0","195,958.0","205,217.0","199,772.0","203,550.0","195,383.0","190,837.0","187,343.0","204,535.0","230,451.0","247,751.0","246,482.0","243,283.0","243,945.0","250,730.0","289,125.0","328,332.0","325,331.0","326,591.0","340,221.0"
"30","12","      Monetary interest","Y608RC1","69,211.0","80,361.0","88,794.0","94,541.0","98,016.0","107,306.0","113,627.0","119,130.0","115,721.0","116,211.0","125,715.0","137,565.0","142,261.0","154,818.0","157,968.0","161,654.0","156,616.0","142,429.0","137,627.0","140,772.0","138,599.0","138,674.0","141,385.0","149,204.0","142,622.0","129,266.0","130,481.0","136,224.0","132,911.0"
"31","13","      Imputed interest on plans' claims on employers \3\","Y609RC1","57,697.0","49,619.0","53,283.0","58,666.0","62,816.0","63,641.0","67,472.0","65,455.0","73,272.0","71,423.0","70,243.0","67,652.0","57,511.0","48,732.0","37,415.0","29,183.0","30,727.0","62,106.0","92,824.0","106,979.0","107,883.0","104,609.0","102,560.0","101,526.0","146,503.0","199,066.0","194,850.0","190,367.0","207,310.0"
"32","14","    Dividends","Y610RC1","14,163.0","15,970.0","16,745.0","17,636.0","18,234.0","20,231.0","22,220.0","24,441.0","26,483.0","27,855.0","29,500.0","31,609.0","34,892.0","37,071.0","37,020.0","36,882.0","36,248.0","35,240.0","34,270.0","35,918.0","43,122.0","50,323.0","56,911.0","62,517.0","61,177.0","53,455.0","51,419.0","51,296.0","54,128.0"
"33","15","Current expenditures, accrual basis","Y601RC1","386,448.0","402,503.0","432,508.0","457,722.0","479,472.0","520,962.0","551,449.0","570,368.0","606,890.0","608,586.0","634,024.0","660,900.0","663,449.0","684,102.0","679,915.0","681,857.0","684,757.0","731,528.0","792,866.0","846,059.0","882,439.0","897,251.0","924,501.0","965,303.0","1,048,597.0","1,118,776.0","1,135,857.0","1,133,532.0","1,167,252.0"
"34","16","  Administrative expenses","Y616RC1","3,048.0","3,769.0","4,178.0","4,201.0","4,482.0","4,689.0","5,210.0","5,641.0","5,857.0","6,423.0","6,966.0","7,578.0","9,356.0","10,268.0","10,970.0","11,407.0","13,346.0","14,705.0","14,963.0","15,107.0","17,064.0","18,466.0","21,852.0","23,912.0","20,624.0","17,881.0","19,676.0","21,022.0","21,260.0"
"35","17","  Imputed income payments on assets to persons","Y613RC1","141,070.0","145,950.0","158,822.0","170,844.0","179,066.0","191,178.0","203,318.0","209,026.0","215,476.0","215,489.0","225,458.0","236,826.0","234,664.0","240,621.0","232,403.0","227,719.0","223,590.0","239,774.0","264,721.0","283,669.0","289,604.0","293,606.0","300,856.0","313,247.0","350,302.0","381,787.0","376,749.0","377,886.0","394,349.0"
"36","18","    Interest","Y614RC1","126,907.0","129,980.0","142,077.0","153,208.0","160,832.0","170,947.0","181,098.0","184,585.0","188,993.0","187,634.0","195,958.0","205,217.0","199,772.0","203,550.0","195,383.0","190,837.0","187,342.0","204,534.0","230,451.0","247,751.0","246,482.0","243,283.0","243,945.0","250,730.0","289,125.0","328,332.0","325,330.0","326,590.0","340,221.0"
"37","19","    Dividends","Y615RC1","14,163.0","15,970.0","16,745.0","17,636.0","18,234.0","20,231.0","22,220.0","24,441.0","26,483.0","27,855.0","29,500.0","31,609.0","34,892.0","37,071.0","37,020.0","36,882.0","36,248.0","35,240.0","34,270.0","35,918.0","43,122.0","50,323.0","56,911.0","62,517.0","61,177.0","53,455.0","51,419.0","51,296.0","54,128.0"
"38","20","  Benefit payments and withdrawals","Y620RC1","107,889.0","121,543.0","139,200.0","142,857.0","143,256.0","154,953.0","161,325.0","173,750.0","186,113.0","195,715.0","206,864.0","218,757.0","238,056.0","248,835.0","270,897.0","288,248.0","308,303.0","323,730.0","343,725.0","356,082.0","374,605.0","384,646.0","414,988.0","441,046.0","465,757.0","487,688.0","506,396.0","527,029.0","553,424.0"
"39","21","  Net change in benefit entitlements \4\","Y632RC1","134,440.0","131,241.0","130,308.0","139,821.0","152,668.0","170,142.0","181,595.0","181,951.0","199,444.0","190,959.0","194,736.0","197,739.0","181,373.0","184,378.0","165,645.0","154,483.0","139,517.0","153,318.0","169,457.0","191,201.0","201,166.0","200,533.0","186,805.0","187,098.0","211,914.0","231,420.0","233,035.0","207,594.0","198,219.0"
"40","22","Cash flow","Y617RC1","105,310.0","104,991.0","91,495.0","93,016.0","94,470.0","96,045.0","98,552.0","104,231.0","97,982.0","96,136.0","104,895.0","110,367.0","93,234.0","93,361.0","79,342.0","62,111.0","40,987.0","26,926.0","44,917.0","85,100.0","56,332.0","59,794.0","49,372.0","46,361.0","71,205.0","55,230.0","62,450.0","62,113.0","61,146.0"
"41","23","  Actual employer and household contributions (5+7)","Y618RC1","132,873.0","133,972.0","129,334.0","127,897.0","125,958.0","128,150.0","129,240.0","140,051.0","147,748.0","154,208.0","163,510.0","167,528.0","163,493.0","160,575.0","166,221.0","163,230.0","169,772.0","187,692.0","231,708.0","279,599.0","266,280.0","273,909.0","287,916.0","299,598.0","353,787.0","378,078.0","406,622.0","422,644.0","448,791.0"
"42","24","  Monetary income receipts on assets (12+14)","Y619RC1","83,374.0","96,331.0","105,539.0","112,177.0","116,250.0","127,537.0","135,847.0","143,571.0","142,204.0","144,066.0","155,215.0","169,174.0","177,153.0","191,889.0","194,988.0","198,536.0","192,864.0","177,669.0","171,897.0","176,690.0","181,721.0","188,997.0","198,296.0","211,721.0","203,799.0","182,721.0","181,900.0","187,520.0","187,039.0"
"43","25","  Less: Benefit payments and withdrawals","Y620RC1","107,889.0","121,543.0","139,200.0","142,857.0","143,256.0","154,953.0","161,325.0","173,750.0","186,113.0","195,715.0","206,864.0","218,757.0","238,056.0","248,835.0","270,897.0","288,248.0","308,303.0","323,730.0","343,725.0","356,082.0","374,605.0","384,646.0","414,988.0","441,046.0","465,757.0","487,688.0","506,396.0","527,029.0","553,424.0"
"44","26","  Less: Administrative expenses","Y616RC1","3,048.0","3,769.0","4,178.0","4,201.0","4,482.0","4,689.0","5,210.0","5,641.0","5,857.0","6,423.0","6,966.0","7,578.0","9,356.0","10,268.0","10,970.0","11,407.0","13,346.0","14,705.0","14,963.0","15,107.0","17,064.0","18,466.0","21,852.0","23,912.0","20,624.0","17,881.0","19,676.0","21,022.0","21,260.0"
"45",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Effect on personal income (1-7-9 or 15-7-9)","Y622RC1","229,054.0","239,787.0","256,429.0","269,362.0","282,408.0","310,999.0","328,306.0","340,574.0","369,783.0","370,576.0","385,254.0","399,519.0","403,176.0","416,873.0","419,794.0","424,592.0","430,053.0","459,365.0","494,254.0","526,824.0","556,497.0","566,520.0","584,976.0","611,378.0","655,158.0","692,847.0","714,561.0","709,633.0","725,215.0"
"47","28","  Less: Effect on personal consumption expenditures (2)","Y616RC1","3,048.0","3,769.0","4,178.0","4,201.0","4,482.0","4,689.0","5,210.0","5,641.0","5,857.0","6,423.0","6,966.0","7,578.0","9,356.0","10,268.0","10,970.0","11,407.0","13,346.0","14,705.0","14,963.0","15,107.0","17,064.0","18,466.0","21,852.0","23,912.0","20,624.0","17,881.0","19,676.0","21,022.0","21,260.0"
"48","29","  Equals: Effect on personal saving","Y624RC1","226,006.0","236,018.0","252,251.0","265,161.0","277,926.0","306,310.0","323,096.0","334,933.0","363,926.0","364,153.0","378,288.0","391,941.0","393,820.0","406,605.0","408,824.0","413,185.0","416,707.0","444,660.0","479,291.0","511,717.0","539,433.0","548,054.0","563,124.0","587,466.0","634,534.0","674,966.0","694,885.0","688,611.0","703,955.0"
"49","30","  Plus: Implied funding of benefits from holding gains on assets","Y625RC1","2,321.0","11,266.0","10,620.0","11,454.0","15,934.0","6,121.0","6,640.0","14,755.0","10,079.0","22,238.0","24,330.0","26,411.0","42,395.0","50,568.0","76,240.0","96,652.0","116,263.0","121,228.0","111,065.0","110,052.0","115,021.0","131,162.0","144,028.0","157,241.0","135,968.0","119,358.0","126,877.0","142,466.0","144,380.0"
"50","31","    Interest accrued on benefit entitlements","Y626RC1","143,392.0","157,216.0","169,442.0","182,297.0","195,000.0","197,299.0","209,959.0","223,781.0","225,555.0","237,727.0","249,788.0","263,237.0","277,059.0","291,189.0","308,643.0","324,371.0","339,854.0","361,003.0","375,786.0","393,721.0","404,625.0","424,768.0","444,884.0","470,488.0","486,270.0","501,145.0","503,627.0","520,353.0","538,729.0"
"51","32","    Less: Interest and dividend income received by plans (10)","Y606RC1","141,071.0","145,950.0","158,822.0","170,843.0","179,066.0","191,178.0","203,319.0","209,026.0","215,476.0","215,489.0","225,458.0","236,826.0","234,664.0","240,621.0","232,403.0","227,719.0","223,591.0","239,775.0","264,721.0","283,669.0","289,604.0","293,606.0","300,856.0","313,247.0","350,302.0","381,787.0","376,750.0","377,887.0","394,349.0"
"52","33","  Equals: Change in personal wealth \5\","Y628RC1","228,327.0","247,284.0","262,871.0","276,615.0","293,860.0","312,431.0","329,736.0","349,688.0","374,005.0","386,391.0","402,618.0","418,352.0","436,215.0","457,173.0","485,064.0","509,837.0","532,970.0","565,888.0","590,356.0","621,769.0","654,454.0","679,216.0","707,152.0","744,707.0","770,502.0","794,324.0","821,762.0","831,077.0","848,335.0"
"53","34","  Less: Benefit payments and withdrawals (20)","Y620RC1","107,889.0","121,543.0","139,200.0","142,857.0","143,256.0","154,953.0","161,325.0","173,750.0","186,113.0","195,715.0","206,864.0","218,757.0","238,056.0","248,835.0","270,897.0","288,248.0","308,303.0","323,730.0","343,725.0","356,082.0","374,605.0","384,646.0","414,988.0","441,046.0","465,757.0","487,688.0","506,396.0","527,029.0","553,424.0"
"54","35","  Plus: Household actual contributions (7)","Y605RC1","16,323.0","16,766.0","17,257.0","17,517.0","17,998.0","18,785.0","19,824.0","20,768.0","21,631.0","22,521.0","23,312.0","24,555.0","25,609.0","26,608.0","27,718.0","29,546.0","31,113.0","32,388.0","33,891.0","35,566.0","36,338.0","37,125.0","38,669.0","40,678.0","43,137.0","44,142.0","44,546.0","46,012.0","47,688.0"
"55","36","  Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \5\","Y631RC1","136,761.0","142,507.0","140,928.0","151,275.0","168,602.0","176,263.0","188,235.0","196,706.0","209,523.0","213,197.0","219,066.0","224,150.0","223,768.0","234,946.0","241,885.0","251,135.0","255,780.0","274,546.0","280,522.0","301,253.0","316,187.0","331,695.0","330,833.0","344,339.0","347,882.0","350,778.0","359,912.0","350,060.0","342,599.0"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Included in personal consumption expenditures as part of financial services furnished without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","payment; the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Plans' claims on employers is the difference between actuarial liabilities and financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","assets held by plans.  When actuarial liabilities exceed plan assets, imputed interest is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","positive; when plan assets exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","change in the estimated value of benefit entitlements that come from differences between actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","experience and previous actuarial assumptions, changes in actuarial assumptions, and changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Excludes effects on change in the estimated value of benefit entitlements that come from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","differences between actual experience and previous actuarial assumptions, changes in actuarial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","assets on behalf of households, which are the effective owners.  Pension plans are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","financial corporations that receive contributions and property income on behalf of plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","participants but do not have saving or net worth of their own.  Tables 7.20, 7.21, 7.22, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","7.23 show the transactions of the private and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
