"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"45","26","  Other current transfer payments","W010RC1","15,876.0","18,408.0","18,248.0","20,292.0","20,828.0","22,792.0","24,264.0","24,756.0","26,208.0","27,912.0","27,916.0","30,580.0","32,232.0","39,352.0","33,592.0","45,584.0","39,308.0","40,008.0","38,384.0","37,820.0","37,964.0","42,632.0","40,764.0","42,252.0","46,356.0","53,408.0","48,532.0","50,748.0","50,484.0","51,756.0","56,020.0","56,184.0","54,540.0","58,388.0","61,832.0","61,268.0","66,380.0","69,156.0","68,380.0","69,980.0","67,412.0","68,288.0","70,984.0","72,620.0","74,552.0","73,924.0","77,288.0","82,316.0","77,621.0","77,642.0","76,134.0","72,889.0","74,025.0","74,227.0","73,080.0","76,275.0","73,703.0","76,684.0","77,316.0","79,780.0","79,812.0","81,845.0","82,286.0","90,277.0","86,244.0","88,201.0","91,303.0","93,995.0","90,487.0","99,218.0","102,918.0","93,870.0","87,755.0","91,708.0","89,612.0","95,314.0","95,925.0","94,690.0","99,281.0","105,826.0","101,076.0","99,768.0","108,974.0","111,732.0","113,223.0","120,784.0","121,037.0","116,501.0","41,319.0","90,938.0","123,715.0","137,617.0","152,523.0","157,378.0","161,938.0","177,089.0","165,374.0","169,881.0","178,322.0","196,041.0","176,653.0","181,084.0","187,262.0","202,183.0","191,865.0","189,250.0","191,107.0","187,199.0","200,191.0","200,754.0","198,943.0","207,450.0","198,150.0","197,841.0","201,885.0","222,514.0","211,471.0","210,478.0","218,136.0","234,977.0","229,643.0","228,830.0","239,380.0","253,662.0","241,441.0","245,630.0","259,550.0","274,804.0","269,744.0","278,271.0","275,982.0","293,760.0","305,439.0","304,833.0","308,586.0","323,050.0","328,298.0","355,269.0","357,568.0","360,146.0","365,291.0","360,508.0","355,592.0","370,418.0","387,070.0","375,289.0","381,038.0","393,429.0","368,919.0","379,065.0","386,413.0","368,686.0","407,469.0","390,474.0","397,183.0","409,946.0","414,389.0","408,990.0","412,672.0","428,146.0","460,556.0","532,352.0","524,376.0","525,571.0","547,237.0","536,528.0","566,949.0","572,697.0","550,281.0","562,514.0","508,612.0","494,403.0","490,719.0","492,388.0","499,981.0","489,333.0","479,150.0","498,135.0","508,312.0"
"46","27","    Grants-in-aid to state and local governments","B089RC1","12,228.0","13,092.0","14,176.0","15,144.0","16,584.0","17,860.0","19,172.0","19,752.0","20,512.0","22,052.0","22,352.0","23,652.0","24,440.0","32,708.0","25,616.0","39,288.0","34,348.0","33,408.0","32,604.0","33,596.0","33,312.0","34,108.0","35,404.0","36,808.0","39,256.0","44,344.0","44,972.0","45,932.0","47,048.0","47,816.0","48,724.0","52,720.0","50,724.0","53,724.0","57,292.0","57,300.0","61,508.0","64,092.0","63,416.0","64,912.0","62,112.0","62,640.0","65,236.0","65,932.0","66,692.0","68,184.0","70,744.0","73,140.0","71,465.0","71,370.0","68,818.0","65,985.0","65,837.0","67,331.0","65,576.0","66,299.0","67,223.0","69,160.0","68,404.0","66,972.0","71,308.0","73,097.0","70,670.0","74,281.0","74,804.0","75,337.0","76,431.0","78,103.0","79,739.0","83,790.0","86,670.0","79,502.0","76,895.0","80,180.0","78,228.0","78,226.0","84,105.0","84,114.0","87,037.0","87,690.0","88,736.0","89,128.0","94,962.0","94,536.0","99,915.0","103,196.0","105,489.0","108,829.0","115,627.0","120,538.0","127,031.0","132,893.0","136,179.0","139,022.0","145,046.0","146,477.0","148,778.0","151,381.0","157,214.0","165,477.0","162,397.0","164,912.0","167,274.0","172,811.0","175,585.0","174,798.0","175,831.0","171,691.0","177,147.0","185,470.0","182,879.0","180,330.0","184,594.0","184,233.0","187,473.0","196,266.0","197,347.0","197,010.0","201,788.0","207,049.0","214,719.0","211,806.0","223,124.0","226,970.0","224,473.0","227,390.0","239,502.0","241,060.0","253,980.0","262,211.0","258,466.0","270,372.0","273,615.0","285,449.0","289,986.0","299,666.0","298,245.0","324,865.0","328,942.0","334,792.0","327,171.0","333,546.0","328,021.0","340,063.0","341,852.0","343,726.0","342,540.0","345,295.0","338,657.0","342,067.0","347,360.0","335,046.0","356,790.0","358,768.0","359,810.0","360,514.0","364,007.0","368,521.0","369,297.0","382,195.0","415,957.0","476,090.0","461,868.0","478,326.0","492,162.0","492,250.0","517,234.0","519,520.0","495,372.0","500,474.0","453,762.0","440,307.0","436,050.0","440,742.0","447,658.0","448,444.0","431,524.0","445,723.0","455,688.0"
"47","28","    To the rest of the world (net) \6\","W017RC1","3,648.0","5,316.0","4,072.0","5,148.0","4,244.0","4,932.0","5,092.0","5,004.0","5,696.0","5,860.0","5,564.0","6,928.0","7,792.0","6,644.0","7,976.0","6,296.0","4,960.0","6,600.0","5,780.0","4,224.0","4,652.0","8,524.0","5,360.0","5,444.0","7,100.0","9,064.0","3,560.0","4,816.0","3,436.0","3,940.0","7,296.0","3,464.0","3,816.0","4,664.0","4,540.0","3,968.0","4,872.0","5,064.0","4,964.0","5,068.0","5,300.0","5,648.0","5,748.0","6,688.0","7,860.0","5,740.0","6,544.0","9,176.0","6,156.0","6,272.0","7,316.0","6,904.0","8,188.0","6,896.0","7,504.0","9,976.0","6,480.0","7,524.0","8,912.0","12,808.0","8,504.0","8,748.0","11,616.0","15,996.0","11,440.0","12,864.0","14,872.0","15,892.0","10,748.0","15,428.0","16,248.0","14,368.0","10,860.0","11,528.0","11,384.0","17,088.0","11,820.0","10,576.0","12,244.0","18,136.0","12,340.0","10,640.0","14,012.0","17,196.0","13,308.0","17,588.0","15,548.0","7,672.0","-74,308.0","-29,600.0","-3,316.0","4,724.0","16,344.0","18,356.0","16,892.0","30,612.0","16,596.0","18,500.0","21,108.0","30,564.0","14,256.0","16,172.0","19,988.0","29,372.0","16,280.0","14,452.0","15,276.0","15,508.0","23,044.0","15,284.0","16,064.0","27,120.0","13,556.0","13,608.0","14,412.0","26,248.0","14,124.0","13,468.0","16,348.0","27,928.0","14,924.0","17,024.0","16,256.0","26,692.0","16,968.0","18,240.0","20,048.0","33,744.0","15,764.0","16,060.0","17,516.0","23,388.0","31,824.0","19,384.0","18,600.0","23,384.0","30,053.0","30,404.0","28,626.0","25,354.0","38,120.0","26,962.0","27,571.0","30,355.0","45,218.0","31,563.0","38,498.0","48,134.0","30,262.0","36,998.0","39,053.0","33,640.0","50,679.0","31,706.0","37,373.0","49,432.0","50,382.0","40,469.0","43,375.0","45,951.0","44,599.0","56,262.0","62,508.0","47,245.0","55,075.0","44,278.0","49,715.0","53,177.0","54,909.0","62,040.0","54,850.0","54,096.0","54,669.0","51,646.0","52,323.0","40,889.0","47,626.0","52,412.0","52,624.0"
"48","29","Interest payments \3\","A091RC1","25,660.0","26,664.0","27,824.0","29,708.0","31,524.0","32,880.0","34,272.0","34,644.0","34,744.0","34,756.0","35,408.0","36,032.0","36,528.0","37,184.0","37,892.0","38,916.0","40,944.0","42,644.0","44,196.0","45,380.0","46,184.0","47,376.0","48,860.0","49,516.0","50,292.0","51,468.0","53,036.0","55,072.0","56,872.0","58,092.0","59,440.0","61,180.0","62,044.0","63,776.0","65,780.0","69,444.0","73,960.0","77,340.0","80,944.0","84,204.0","87,564.0","89,912.0","92,276.0","96,072.0","102,252.0","107,264.0","108,068.0","112,532.0","126,032.0","129,536.0","135,744.0","142,404.0","146,800.0","150,908.0","155,932.0","157,084.0","158,888.0","163,136.0","170,052.0","175,808.0","182,800.0","188,412.0","198,788.0","205,308.0","208,260.0","213,144.0","214,520.0","219,044.0","222,568.0","224,276.0","224,708.0","225,264.0","226,988.0","229,136.0","233,152.0","239,984.0","244,124.0","244,608.0","248,860.0","254,068.0","263,236.0","269,260.0","271,388.0","274,756.0","280,316.0","285,016.0","293,212.0","297,640.0","300,884.0","304,124.0","304,380.0","308,044.0","306,436.0","307,912.0","307,676.0","305,524.0","310,764.0","311,852.0","312,504.0","310,636.0","309,236.0","316,624.0","323,992.0","333,508.0","344,356.0","352,040.0","355,632.0","357,276.0","359,124.0","357,216.0","361,172.0","362,440.0","362,184.0","364,768.0","367,076.0","368,372.0","368,336.0","367,648.0","366,204.0","360,088.0","353,188.0","352,736.0","349,948.0","352,864.0","355,028.0","355,900.0","353,092.0","350,892.0","346,564.0","336,360.0","326,276.0","315,700.0","302,668.0","306,260.0","301,440.0","300,312.0","292,848.0","291,392.0","291,188.0","294,984.0","299,600.0","299,600.0","309,832.0","315,264.0","321,344.0","342,152.0","343,224.0","370,996.0","354,988.0","375,360.0","390,152.0","368,884.0","390,804.0","430,044.0","411,672.0","400,344.0","400,620.0","401,932.0","413,628.0","335,676.0","305,044.0","372,040.0","372,656.0","364,724.0","360,784.0","385,192.0","381,244.0","395,080.0","407,628.0","453,528.0","417,168.0","411,908.0","406,392.0","450,068.0","391,108.0","434,728.0","386,140.0","438,424.0","422,692.0"
"49","30","  To persons and business \3\","B092RC1","24,908.0","25,900.0","27,040.0","28,900.0","30,776.0","31,980.0","33,264.0","33,504.0","33,540.0","33,276.0","33,460.0","33,656.0","34,192.0","34,796.0","35,288.0","36,040.0","37,776.0","38,996.0","40,344.0","41,444.0","42,488.0","43,372.0","44,724.0","45,164.0","45,784.0","47,272.0","48,676.0","50,804.0","52,832.0","54,020.0","55,020.0","56,632.0","57,540.0","58,972.0","60,524.0","63,060.0","66,580.0","69,428.0","72,840.0","74,668.0","77,032.0","79,588.0","81,852.0","85,124.0","90,708.0","96,220.0","96,692.0","99,032.0","110,832.0","113,096.0","119,072.0","125,612.0","129,128.0","133,768.0","137,416.0","138,448.0","140,976.0","145,292.0","152,044.0","157,332.0","163,968.0","169,052.0","178,156.0","183,464.0","186,228.0","191,192.0","192,224.0","196,708.0","199,104.0","201,176.0","201,216.0","201,944.0","202,924.0","204,980.0","209,660.0","215,280.0","217,968.0","216,452.0","218,972.0","223,248.0","229,632.0","235,016.0","236,160.0","239,668.0","244,864.0","249,268.0","257,056.0","260,732.0","263,832.0","267,928.0","268,152.0","273,244.0","272,060.0","273,540.0","273,368.0","271,492.0","276,792.0","278,020.0","277,848.0","276,440.0","275,176.0","281,852.0","287,748.0","293,164.0","303,724.0","306,072.0","305,684.0","305,476.0","305,724.0","302,184.0","304,688.0","300,300.0","296,168.0","295,808.0","296,048.0","295,608.0","295,976.0","294,852.0","294,408.0","288,704.0","283,364.0","285,168.0","284,520.0","288,696.0","291,064.0","290,280.0","288,888.0","287,140.0","284,736.0","277,068.0","271,592.0","263,168.0","252,564.0","257,148.0","252,904.0","250,796.0","244,296.0","245,092.0","243,904.0","247,420.0","250,348.0","245,128.0","253,296.0","256,256.0","258,112.0","275,808.0","274,592.0","297,236.0","276,348.0","290,192.0","302,608.0","276,744.0","294,116.0","328,888.0","313,076.0","300,616.0","302,280.0","303,648.0","318,924.0","238,800.0","209,952.0","283,380.0","286,980.0","278,776.0","272,712.0","295,040.0","286,436.0","297,792.0","310,592.0","356,008.0","318,740.0","314,984.0","312,212.0","357,400.0","298,416.0","342,296.0","292,512.0","345,800.0","330,416.0"
"50","31","  To the rest of the world","B093RC1","752.0","764.0","784.0","808.0","748.0","900.0","1,008.0","1,140.0","1,204.0","1,480.0","1,948.0","2,376.0","2,336.0","2,388.0","2,604.0","2,876.0","3,168.0","3,648.0","3,852.0","3,936.0","3,696.0","4,004.0","4,136.0","4,352.0","4,508.0","4,196.0","4,360.0","4,268.0","4,040.0","4,072.0","4,420.0","4,548.0","4,504.0","4,804.0","5,256.0","6,384.0","7,380.0","7,912.0","8,104.0","9,536.0","10,532.0","10,324.0","10,424.0","10,948.0","11,544.0","11,044.0","11,376.0","13,500.0","15,200.0","16,440.0","16,672.0","16,792.0","17,672.0","17,140.0","18,516.0","18,636.0","17,912.0","17,844.0","18,008.0","18,476.0","18,832.0","19,360.0","20,632.0","21,844.0","22,032.0","21,952.0","22,296.0","22,336.0","23,464.0","23,100.0","23,492.0","23,320.0","24,064.0","24,156.0","23,492.0","24,704.0","26,156.0","28,156.0","29,888.0","30,820.0","33,604.0","34,244.0","35,228.0","35,088.0","35,452.0","35,748.0","36,156.0","36,908.0","37,052.0","36,196.0","36,228.0","34,800.0","34,376.0","34,372.0","34,308.0","34,032.0","33,972.0","33,832.0","34,656.0","34,196.0","34,060.0","34,772.0","36,244.0","40,344.0","40,632.0","45,968.0","49,948.0","51,800.0","53,400.0","55,032.0","56,484.0","62,140.0","66,016.0","68,960.0","71,028.0","72,764.0","72,360.0","72,796.0","71,796.0","71,384.0","69,824.0","67,568.0","65,428.0","64,168.0","63,964.0","65,620.0","64,204.0","63,752.0","61,828.0","59,292.0","54,684.0","52,532.0","50,104.0","49,112.0","48,536.0","49,516.0","48,552.0","46,300.0","47,284.0","47,564.0","49,252.0","54,472.0","56,536.0","59,008.0","63,232.0","66,344.0","68,632.0","73,760.0","78,640.0","85,168.0","87,544.0","92,140.0","96,688.0","101,156.0","98,596.0","99,728.0","98,340.0","98,284.0","94,704.0","96,876.0","95,092.0","88,660.0","85,676.0","85,948.0","88,072.0","90,152.0","94,808.0","97,288.0","97,036.0","97,520.0","98,428.0","96,924.0","94,180.0","92,668.0","92,692.0","92,432.0","93,628.0","92,624.0","92,276.0"
"51","32","Subsidies \5\","B096RC1","4,316.0","4,440.0","4,644.0","4,636.0","4,712.0","4,796.0","4,716.0","4,788.0","4,736.0","4,780.0","4,476.0","4,572.0","6,056.0","6,152.0","7,120.0","7,004.0","5,876.0","5,628.0","4,632.0","4,460.0","3,452.0","2,780.0","3,052.0","3,480.0","4,080.0","4,112.0","4,400.0","4,752.0","4,956.0","4,652.0","4,872.0","5,264.0","5,612.0","5,652.0","6,208.0","10,088.0","8,460.0","8,140.0","8,048.0","10,140.0","8,052.0","8,452.0","7,792.0","8,520.0","8,852.0","9,276.0","9,716.0","9,940.0","10,176.0","10,308.0","10,712.0","13,088.0","13,552.0","13,152.0","12,580.0","18,968.0","19,444.0","21,136.0","21,756.0","21,112.0","20,812.0","20,604.0","20,504.0","20,800.0","20,776.0","20,664.0","21,012.0","21,680.0","22,788.0","23,876.0","25,148.0","26,544.0","28,012.0","30,176.0","31,032.0","30,808.0","30,044.0","29,496.0","28,872.0","28,188.0","27,576.0","27,012.0","26,720.0","26,900.0","26,756.0","26,580.0","26,556.0","26,584.0","26,732.0","26,800.0","27,088.0","27,684.0","28,176.0","28,832.0","30,008.0","31,784.0","35,096.0","37,192.0","37,328.0","35,656.0","33,216.0","32,032.0","31,608.0","31,876.0","33,648.0","34,304.0","34,840.0","35,216.0","35,196.0","35,116.0","34,856.0","34,444.0","33,968.0","33,216.0","32,984.0","33,328.0","33,356.0","34,556.0","36,340.0","39,436.0","42,028.0","44,608.0","46,020.0","46,464.0","44,584.0","44,956.0","45,268.0","46,416.0","47,188.0","47,632.0","66,328.0","43,080.0","40,808.0","39,256.0","39,688.0","42,172.0","44,887.0","56,735.0","47,949.0","46,324.0","44,350.0","43,286.0","44,753.0","51,682.0","56,173.0","60,329.0","61,736.0","63,915.0","55,347.0","51,171.0","49,556.0","48,301.0","47,649.0","47,520.0","47,188.0","47,451.0","47,882.0","48,699.0","49,905.0","51,868.0","53,247.0","54,212.0","65,845.0","54,460.0","53,248.0","53,366.0","54,620.0","55,946.0","57,894.0","59,507.0","60,064.0","60,162.0","57,336.0","57,164.0","55,554.0","57,282.0","57,492.0","58,479.0","58,626.0"
"52","33","    Net federal government saving","A923RC1","2,239.0","-1,493.0","-8,630.0","-12,548.0","-22,249.0","-32,608.0","-39,509.0","-44,680.0","-45,502.0","-52,407.0","-51,708.0","-53,677.0","-45,671.0","-51,389.0","-40,656.0","-57,828.0","-40,046.0","-40,751.0","-36,590.0","-33,369.0","-35,302.0","-37,860.0","-36,164.0","-53,258.0","-75,137.0","-132,418.0","-89,702.0","-90,651.0","-80,756.0","-76,173.0","-79,490.0","-82,997.0","-72,187.0","-66,335.0","-73,122.0","-75,984.0","-78,157.0","-58,895.0","-53,082.0","-49,165.0","-39,613.0","-39,238.0","-44,846.0","-54,379.0","-63,516.0","-87,403.0","-100,347.0","-93,740.0","-71,824.0","-75,568.0","-82,585.0","-113,286.0","-133,183.0","-139,326.0","-175,824.0","-210,174.0","-206,953.0","-200,837.0","-217,340.0","-194,904.0","-179,758.0","-189,014.0","-195,355.0","-205,224.0","-167,799.0","-217,125.0","-196,065.0","-201,468.0","-201,455.0","-224,161.0","-229,927.0","-195,100.0","-194,724.0","-141,553.0","-153,335.0","-163,058.0","-163,821.0","-155,754.0","-151,191.0","-158,605.0","-136,311.0","-158,223.0","-163,541.0","-168,497.0","-195,282.0","-201,709.0","-196,744.0","-209,943.0","-184,115.0","-244,056.0","-269,289.0","-287,371.0","-324,713.0","-331,407.0","-343,930.0","-330,572.0","-340,600.0","-305,993.0","-317,187.0","-283,457.0","-266,493.0","-236,810.0","-254,595.0","-256,835.0","-254,088.0","-241,755.0","-245,213.0","-222,303.0","-223,108.0","-179,858.0","-169,636.0","-141,420.0","-120,694.0","-102,495.0","-68,700.0","-72,770.0","-22,620.0","-8,755.0","21,696.0","20,551.0","47,466.0","62,757.0","71,105.0","84,788.0","174,213.0","146,239.0","153,592.0","149,524.0","129,160.0","92,323.0","-130,328.0","-35,208.0","-228,248.0","-267,179.0","-277,499.0","-310,854.0","-333,987.0","-402,877.0","-473,031.0","-404,261.0","-441,463.0","-402,922.0","-374,102.0","-380,576.0","-313,762.0","-311,088.0","-308,669.0","-288,181.0","-243,570.0","-245,974.0","-235,387.0","-187,465.0","-214,955.0","-253,001.0","-288,591.0","-310,272.0","-409,519.0","-782,925.0","-664,757.0","-683,253.0","-1,040,704.0","-1,336,621.0","-1,341,695.0","-1,280,188.0","-1,352,327.0","-1,340,019.0","-1,320,089.0","-1,305,687.0","-1,244,945.0","-1,313,358.0","-1,231,676.0","-1,203,033.0","-1,094,010.0","-1,146,870.0","-1,119,270.0","-1,078,528.0","-853,051.0","-653,113.0","-854,247.0"
"53","34","Social insurance funds","B243RC1","5,132.0","5,472.0","5,976.0","6,208.0","6,556.0","-1,400.0","448.0","-1,760.0","1,288.0","-5,064.0","-4,048.0","-4,200.0","148.0","800.0","1,956.0","-5,468.0","6,220.0","5,816.0","5,820.0","5,664.0","9,168.0","4,084.0","1,780.0","-2,192.0","-9,124.0","-14,980.0","-21,272.0","-19,744.0","-15,196.0","-12,828.0","-17,756.0","-18,320.0","-14,668.0","-12,244.0","-14,948.0","-14,372.0","-5,720.0","-1,544.0","-6,400.0","-5,120.0","4,776.0","4,252.0","-4,448.0","-4,752.0","-2,544.0","-7,904.0","-28,004.0","-24,640.0","-7,616.0","-6,608.0","-20,368.0","-22,520.0","-19,304.0","-26,124.0","-39,460.0","-52,608.0","-42,292.0","-44,728.0","-34,024.0","-30,372.0","-13,588.0","-10,064.0","-5,912.0","-7,876.0","-2,696.0","216.0","748.0","5,244.0","6,012.0","5,304.0","3,984.0","7,304.0","10,500.0","10,820.0","15,004.0","21,512.0","30,664.0","37,800.0","41,496.0","46,244.0","41,316.0","42,180.0","42,400.0","44,676.0","43,256.0","42,880.0","45,132.0","38,256.0","28,816.0","23,992.0","26,040.0","19,784.0","7,656.0","3,372.0","5,344.0","5,084.0","-1,652.0","2,632.0","3,408.0","6,944.0","10,428.0","14,860.0","16,936.0","19,184.0","16,460.0","14,256.0","15,580.0","16,196.0","6,804.0","10,664.0","15,548.0","18,644.0","18,944.0","23,816.0","31,464.0","41,544.0","45,104.0","54,028.0","61,548.0","72,444.0","83,120.0","87,624.0","94,044.0","105,368.0","118,324.0","107,052.0","116,760.0","114,992.0","107,660.0","96,420.0","79,360.0","69,128.0","63,328.0","47,144.0","45,624.0","42,752.0","40,672.0","35,324.0","35,992.0","39,324.0","42,652.0","51,020.0","58,468.0","52,628.0","45,508.0","44,112.0","51,824.0","52,332.0","15,596.0","11,120.0","7,396.0","12,908.0","9,504.0","-1,820.0","-11,448.0","-12,440.0","-21,608.0","-35,328.0","-66,736.0","-96,088.0","-201,528.0","-244,364.0","-276,440.0","-290,136.0","-301,756.0","-287,972.0","-285,440.0","-288,544.0","-267,399.0","-271,566.0","-266,082.0","-282,226.0","-289,102.0","-292,186.0","-299,682.0","-294,578.0","-315,936.0","-305,408.0","-313,186.0"
"54","35","Other","B244RC1","-2,893.0","-6,965.0","-14,606.0","-18,757.0","-28,804.0","-31,207.0","-39,958.0","-42,920.0","-46,790.0","-47,343.0","-47,660.0","-49,477.0","-45,819.0","-52,189.0","-42,612.0","-52,360.0","-46,266.0","-46,566.0","-42,410.0","-39,033.0","-44,470.0","-41,943.0","-37,945.0","-51,066.0","-66,013.0","-117,438.0","-68,430.0","-70,906.0","-65,560.0","-63,345.0","-61,734.0","-64,677.0","-57,519.0","-54,091.0","-58,174.0","-61,612.0","-72,437.0","-57,351.0","-46,682.0","-44,045.0","-44,389.0","-43,490.0","-40,398.0","-49,626.0","-60,972.0","-79,500.0","-72,343.0","-69,100.0","-64,208.0","-68,960.0","-62,217.0","-90,766.0","-113,880.0","-113,201.0","-136,364.0","-157,567.0","-164,662.0","-156,108.0","-183,317.0","-164,532.0","-166,169.0","-178,950.0","-189,443.0","-197,349.0","-165,104.0","-217,341.0","-196,813.0","-206,713.0","-207,467.0","-229,466.0","-233,911.0","-202,403.0","-205,224.0","-152,372.0","-168,338.0","-184,569.0","-194,485.0","-193,554.0","-192,688.0","-204,849.0","-177,627.0","-200,403.0","-205,941.0","-213,172.0","-238,537.0","-244,589.0","-241,876.0","-248,200.0","-212,930.0","-268,048.0","-295,329.0","-307,155.0","-332,370.0","-334,778.0","-349,275.0","-335,657.0","-338,948.0","-308,625.0","-320,596.0","-290,401.0","-276,920.0","-251,669.0","-271,531.0","-276,019.0","-270,548.0","-256,011.0","-260,794.0","-238,500.0","-229,912.0","-190,522.0","-185,185.0","-160,065.0","-139,639.0","-126,311.0","-100,164.0","-114,315.0","-67,724.0","-62,783.0","-39,852.0","-51,893.0","-35,655.0","-24,867.0","-22,939.0","-20,580.0","55,889.0","39,188.0","36,831.0","34,533.0","21,500.0","-4,097.0","-209,688.0","-104,336.0","-291,575.0","-314,323.0","-323,123.0","-353,605.0","-374,659.0","-438,200.0","-509,022.0","-443,585.0","-484,116.0","-453,942.0","-432,569.0","-433,204.0","-359,269.0","-355,200.0","-360,494.0","-340,513.0","-259,166.0","-257,094.0","-242,783.0","-200,373.0","-224,460.0","-251,180.0","-277,143.0","-297,833.0","-387,911.0","-747,597.0","-598,021.0","-587,166.0","-839,175.0","-1,092,256.0","-1,065,254.0","-990,051.0","-1,050,570.0","-1,052,047.0","-1,034,649.0","-1,017,143.0","-977,547.0","-1,041,793.0","-965,594.0","-920,808.0","-804,907.0","-854,684.0","-819,589.0","-783,951.0","-537,115.0","-347,705.0","-541,061.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Total receipts","W018RC1","193,775.0","197,100.0","194,654.0","196,063.0","190,156.0","191,133.0","187,374.0","186,588.0","191,322.0","194,245.0","194,964.0","200,655.0","219,489.0","221,083.0","224,392.0","232,516.0","248,186.0","251,202.0","254,382.0","263,584.0","271,186.0","281,301.0","292,103.0","288,590.0","282,268.0","249,711.0","293,383.0","301,514.0","316,928.0","324,092.0","331,867.0","338,347.0","358,973.0","366,405.0","373,258.0","384,032.0","394,047.0","422,277.0","440,302.0","458,515.0","474,711.0","486,042.0","498,750.0","509,578.0","524,244.0","521,585.0","541,837.0","570,540.0","613,425.0","623,618.0","641,105.0","631,207.0","626,470.0","631,730.0","621,436.0","622,541.0","629,302.0","655,191.0","649,984.0","665,464.0","700,011.0","712,555.0","719,515.0","734,453.0","788,193.0","751,396.0","789,946.0","796,970.0","808,227.0","811,801.0","826,335.0","850,802.0","855,055.0","924,028.0","915,854.0","929,745.0","948,536.0","957,164.0","974,697.0","995,897.0","1,039,361.0","1,040,673.0","1,053,170.0","1,065,732.0","1,072,845.0","1,093,939.0","1,106,293.0","1,115,989.0","1,107,828.0","1,109,362.0","1,119,975.0","1,129,038.0","1,140,101.0","1,153,899.0","1,162,384.0","1,197,068.0","1,188,286.0","1,235,764.0","1,243,702.0","1,298,876.0","1,297,008.0","1,344,275.0","1,351,187.0","1,374,864.0","1,398,141.0","1,426,163.0","1,434,641.0","1,452,360.0","1,488,583.0","1,544,144.0","1,557,206.0","1,604,641.0","1,630,392.0","1,666,514.0","1,704,301.0","1,727,627.0","1,763,595.0","1,791,259.0","1,827,325.0","1,853,492.0","1,885,545.0","1,906,823.0","1,937,377.0","1,988,266.0","2,066,362.0","2,081,366.0","2,099,094.0","2,118,193.0","2,137,064.0","2,123,434.0","1,928,186.0","2,030,341.0","1,890,160.0","1,888,582.0","1,890,131.0","1,895,457.0","1,907,585.0","1,925,876.0","1,855,710.0","1,958,480.0","1,971,218.0","2,022,069.0","2,083,268.0","2,110,697.0","2,263,202.0","2,290,651.0","2,336,192.0","2,402,311.0","2,509,684.0","2,538,669.0","2,582,546.0","2,607,330.0","2,678,983.0","2,695,098.0","2,681,920.0","2,693,052.0","2,660,980.0","2,441,272.0","2,533,476.0","2,500,265.0","2,236,932.0","2,232,168.0","2,232,443.0","2,301,184.0","2,326,555.0","2,378,860.0","2,444,284.0","2,477,604.0","2,516,110.0","2,532,614.0","2,525,111.0","2,531,367.0","2,657,619.0","2,654,375.0","2,671,249.0","2,725,075.0","2,917,715.0","3,184,769.0","2,990,735.0"
