"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","3","    Corporate business","A2063C1","54,357.0","65,289.0","68,180.0","76,243.0","104,198.0","139,184.0","136,421.0","140,620.0","158,747.0","197,514.0","270,006.0","358,545.0","501,928.0","552,920.0","505,953.0","582,715.0","611,937.0","617,809.0","659,876.0","766,064.0","948,976.0","936,889.0","831,548.0","689,188.0","638,607.0","712,282.0","871,309.0","907,277.0","1,008,212.0","1,126,322.0","1,208,439.0","1,497,922.0","1,398,139.0","1,051,372.0","937,212.0","1,063,468.0","1,470,034.0","2,024,797.0","2,378,135.0","1,904,216.0","1,244,349.0","1,054,239.0","1,033,549.0","952,369.0"
"23","4","      Financial","A1100C1","29,365.0","34,589.0","36,526.0","42,067.0","60,850.0","83,649.0","80,383.0","83,622.0","94,471.0","118,704.0","166,997.0","225,987.0","330,852.0","368,986.0","331,259.0","379,972.0","392,626.0","383,108.0","416,706.0","486,781.0","611,787.0","590,634.0","497,334.0","397,054.0","366,022.0","422,708.0","540,874.0","557,507.0","623,560.0","726,106.0","774,774.0","988,132.0","901,177.0","612,189.0","522,208.0","646,855.0","989,508.0","1,463,338.0","1,728,880.0","1,310,069.0","748,428.0","591,990.0","570,407.0","476,402.0"
"24","5","        On deposits \2\","B1305C1","20,130.0","21,808.0","25,505.0","29,660.0","38,266.0","49,240.0","51,065.0","55,426.0","62,660.0","74,498.0","95,410.0","125,211.0","173,232.0","187,295.0","175,117.0","203,632.0","200,330.0","186,731.0","176,288.0","195,504.0","228,603.0","222,673.0","192,768.0","129,416.0","99,007.0","96,743.0","126,371.0","131,557.0","139,680.0","146,189.0","142,025.0","173,082.0","160,950.0","107,974.0","82,391.0","77,480.0","123,875.0","194,283.0","239,448.0","165,663.0","110,671.0","71,843.0","63,792.0","51,020.0"
"25","6","        On other liabilities","B1306C1","9,235.0","12,781.0","11,021.0","12,407.0","22,584.0","34,409.0","29,318.0","28,196.0","31,811.0","44,206.0","71,587.0","100,776.0","157,620.0","181,691.0","156,142.0","176,340.0","192,296.0","196,377.0","240,418.0","291,277.0","383,184.0","367,962.0","304,566.0","267,638.0","267,015.0","325,965.0","414,503.0","425,950.0","483,880.0","579,917.0","632,749.0","815,050.0","740,227.0","504,215.0","439,817.0","569,375.0","865,633.0","1,269,055.0","1,489,432.0","1,144,406.0","637,757.0","520,147.0","506,615.0","425,382.0"
"26","7","      Nonfinancial","B1101C1","24,992.0","30,700.0","31,654.0","34,176.0","43,348.0","55,535.0","56,038.0","56,998.0","64,276.0","78,810.0","103,009.0","132,558.0","171,076.0","183,934.0","174,694.0","202,743.0","219,311.0","234,701.0","243,170.0","279,283.0","337,189.0","346,255.0","334,214.0","292,134.0","272,585.0","289,574.0","330,435.0","349,770.0","384,652.0","400,216.0","433,665.0","509,790.0","496,962.0","439,183.0","415,004.0","416,613.0","480,526.0","561,459.0","649,255.0","594,147.0","495,921.0","462,249.0","463,142.0","475,967.0"
"27","8","    Sole proprietorships and partnerships","A2064C1","7,434.0","8,656.0","10,031.0","11,770.0","14,709.0","18,414.0","20,190.0","21,863.0","24,393.0","29,023.0","38,153.0","48,804.0","61,992.0","70,670.0","74,004.0","87,221.0","95,364.0","101,535.0","95,362.0","106,904.0","124,141.0","121,277.0","114,261.0","103,290.0","102,604.0","112,492.0","121,191.0","129,174.0","145,379.0","167,365.0","171,205.0","206,940.0","216,157.0","182,120.0","181,617.0","196,479.0","277,199.0","353,734.0","441,039.0","388,096.0","287,723.0","274,431.0","267,007.0","269,971.0"
"28","9","      Farm","B1103C1","2,489.0","2,769.0","2,909.0","3,206.0","3,734.0","4,554.0","5,057.0","5,883.0","6,751.0","8,183.0","10,440.0","12,954.0","15,812.0","17,273.0","17,017.0","16,674.0","15,432.0","13,370.0","12,128.0","11,111.0","10,460.0","9,888.0","8,861.0","8,354.0","7,968.0","8,704.0","8,984.0","9,358.0","9,477.0","9,499.0","9,464.0","9,910.0","8,920.0","8,625.0","7,307.0","6,920.0","8,540.0","9,538.0","9,773.0","10,373.0","10,053.0","9,817.0","9,333.0","9,997.0"
"29","10","      Nonfarm","B1102C1","4,945.0","5,887.0","7,122.0","8,564.0","10,975.0","13,860.0","15,133.0","15,980.0","17,642.0","20,840.0","27,713.0","35,850.0","46,180.0","53,397.0","56,987.0","70,547.0","79,932.0","88,165.0","83,234.0","95,793.0","113,681.0","111,389.0","105,400.0","94,936.0","94,636.0","103,788.0","112,207.0","119,816.0","135,902.0","157,866.0","161,741.0","197,030.0","207,237.0","173,495.0","174,310.0","189,559.0","268,659.0","344,196.0","431,266.0","377,723.0","277,670.0","264,614.0","257,674.0","259,974.0"
"30","11","    Other private business","A2065C1","5,546.0","6,127.0","6,760.0","7,548.0","8,602.0","9,775.0","11,109.0","12,242.0","13,640.0","15,143.0","17,115.0","19,498.0","21,828.0","23,313.0","24,496.0","27,444.0","30,911.0","34,858.0","37,411.0","40,310.0","43,788.0","45,316.0","45,912.0","41,751.0","37,012.0","35,005.0","34,470.0","33,467.0","33,300.0","33,277.0","34,297.0","36,565.0","36,906.0","36,627.0","35,782.0","36,605.0","39,770.0","43,280.0","47,606.0","51,049.0","49,884.0","47,198.0","45,647.0","44,644.0"
"31","12","      Rental income of persons","B1130C1","5,393.0","5,965.0","6,606.0","7,442.0","8,414.0","9,485.0","10,460.0","11,452.0","12,592.0","13,939.0","15,453.0","17,225.0","18,827.0","20,341.0","21,520.0","24,725.0","28,654.0","32,713.0","35,387.0","38,232.0","41,333.0","42,876.0","43,663.0","39,762.0","35,086.0","33,145.0","33,096.0","32,152.0","32,053.0","32,039.0","33,069.0","35,349.0","35,702.0","35,445.0","34,613.0","35,468.0","38,665.0","42,175.0","46,501.0","49,944.0","48,779.0","46,093.0","44,542.0","43,539.0"
"32","13","      Proprietors' income","B2631C1","153.0","162.0","154.0","106.0","188.0","290.0","649.0","790.0","1,048.0","1,204.0","1,662.0","2,273.0","3,001.0","2,972.0","2,976.0","2,719.0","2,257.0","2,145.0","2,024.0","2,078.0","2,455.0","2,440.0","2,249.0","1,989.0","1,926.0","1,860.0","1,374.0","1,315.0","1,247.0","1,238.0","1,228.0","1,216.0","1,204.0","1,182.0","1,169.0","1,137.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0"
"33","14","  Households and nonprofit institutions","W291RC1","31,721.0","34,260.0","37,510.0","42,306.0","48,782.0","54,485.0","58,535.0","65,670.0","76,841.0","92,903.0","112,184.0","134,413.0","155,820.0","177,015.0","193,210.0","221,231.0","248,583.0","271,589.0","282,926.0","301,008.0","330,587.0","350,838.0","358,612.0","357,267.0","354,730.0","364,831.0","407,555.0","435,293.0","465,813.0","490,385.0","516,810.0","576,065.0","602,717.0","595,303.0","585,567.0","602,267.0","679,294.0","767,956.0","847,998.0","833,134.0","769,307.0","708,216.0","668,161.0","642,883.0"
"34","15","    Households","W292RC1","31,081.0","33,510.0","36,685.0","41,396.0","47,717.0","53,235.0","57,107.0","64,113.0","75,160.0","90,758.0","109,460.0","130,968.0","151,468.0","171,778.0","187,099.0","213,075.0","240,745.0","262,492.0","273,447.0","290,281.0","318,922.0","338,968.0","346,284.0","344,452.0","339,886.0","350,978.0","392,845.0","419,597.0","449,392.0","473,446.0","499,520.0","558,494.0","585,118.0","578,098.0","568,938.0","586,253.0","663,752.0","752,618.0","832,751.0","818,229.0","755,115.0","694,834.0","655,517.0","630,927.0"
"35","16","      Owner-occupied housing","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,071.0","129,848.0","145,435.0","160,479.0","171,605.0","183,778.0","199,927.0","214,446.0","220,132.0","222,199.0","219,400.0","223,561.0","243,938.0","252,927.0","268,715.0","280,916.0","299,645.0","330,242.0","351,232.0","354,777.0","348,709.0","353,267.0","402,922.0","463,502.0","510,903.0","513,820.0","467,826.0","425,006.0","389,609.0","361,936.0"
"36","17","      Persons \3\","W293RC1","15,713.0","16,783.0","17,841.0","19,649.0","22,427.0","24,200.0","24,536.0","26,643.0","30,664.0","37,482.0","44,534.0","53,316.0","60,788.0","67,237.0","72,028.0","83,226.0","95,310.0","102,013.0","101,841.0","106,503.0","118,995.0","124,522.0","126,153.0","122,253.0","120,486.0","127,417.0","148,907.0","166,671.0","180,677.0","192,531.0","199,875.0","228,252.0","233,885.0","223,321.0","220,229.0","232,986.0","260,830.0","289,117.0","321,848.0","304,409.0","287,289.0","269,827.0","265,908.0","268,991.0"
"37","18","    Nonprofit institutions","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0","13,382.0","12,644.0","11,956.0"
"38","19","  Government","W500RC1","20,669.0","23,363.0","24,471.0","26,306.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,284.0","211,491.0","226,117.0","236,506.0","253,699.0","276,922.0","297,843.0","314,608.0","316,297.0","318,103.0","327,077.0","358,300.0","368,111.0","373,713.0","375,286.0","362,002.0","366,307.0","344,455.0","317,491.0","305,405.0","313,207.0","352,594.0","383,480.0","425,331.0","410,831.0","373,001.0","402,940.0","450,595.0","447,904.0"
"39","20","    Federal","Y669RC1","15,823.0","17,747.0","17,927.0","18,772.0","22,818.0","25,987.0","28,919.0","33,776.0","37,132.0","45,340.0","55,692.0","69,714.0","93,893.0","111,785.0","124,581.0","150,293.0","169,396.0","178,162.0","184,580.0","199,311.0","219,346.0","237,455.0","250,945.0","251,266.0","253,377.0","261,341.0","290,393.0","297,252.0","299,980.0","298,842.0","282,661.0","283,255.0","258,583.0","229,076.0","213,469.0","220,863.0","257,485.0","280,709.0","314,562.0","294,157.0","253,769.0","281,285.0","324,879.0","317,762.0"
"40","21","    State and local","W497RC1","4,846.0","5,616.0","6,544.0","7,534.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","42,095.0","47,955.0","51,926.0","54,388.0","57,576.0","60,388.0","63,663.0","65,031.0","64,726.0","65,736.0","67,907.0","70,859.0","73,733.0","76,444.0","79,341.0","83,052.0","85,872.0","88,415.0","91,936.0","92,344.0","95,109.0","102,771.0","110,769.0","116,674.0","119,232.0","121,655.0","125,716.0","130,142.0"
"41","22","  Rest of the world","W290RC1","3,656.0","4,062.0","4,070.0","4,395.0","5,968.0","9,512.0","9,881.0","11,535.0","13,674.0","18,007.0","27,462.0","37,491.0","57,053.0","65,228.0","60,738.0","76,013.0","65,487.0","61,229.0","62,708.0","78,936.0","100,379.0","105,889.0","90,546.0","70,838.0","63,581.0","76,546.0","98,776.0","103,575.0","121,056.0","135,735.0","137,843.0","172,729.0","133,772.0","101,510.0","96,411.0","112,568.0","184,036.0","279,512.0","353,335.0","260,967.0","135,723.0","122,384.0","136,857.0","140,864.0"
"42","23","    To business and persons","B1132C1","2,731.0","3,155.0","3,164.0","3,529.0","5,035.0","8,459.0","8,787.0","10,230.0","12,053.0","16,166.0","25,217.0","35,024.0","53,915.0","61,608.0","56,181.0","71,005.0","59,789.0","54,578.0","56,873.0","71,639.0","94,822.0","97,392.0","84,669.0","65,739.0","59,727.0","73,334.0","94,852.0","99,463.0","117,876.0","132,561.0","134,915.0","169,156.0","130,551.0","98,500.0","91,906.0","109,740.0","181,461.0","277,210.0","351,294.0","259,065.0","134,494.0","121,170.0","135,212.0","139,381.0"
"43","24","    To federal government","B1133C1","925.0","907.0","906.0","866.0","933.0","1,053.0","1,094.0","1,305.0","1,621.0","1,841.0","2,245.0","2,467.0","3,138.0","3,620.0","4,557.0","5,008.0","5,698.0","6,651.0","5,835.0","7,297.0","5,557.0","8,497.0","5,877.0","5,099.0","3,854.0","3,212.0","3,924.0","4,112.0","3,180.0","3,174.0","2,928.0","3,573.0","3,221.0","3,010.0","4,505.0","2,828.0","2,575.0","2,302.0","2,041.0","1,902.0","1,229.0","1,214.0","1,645.0","1,483.0"
"44","25","Monetary interest received","A2068C1","123,383.0","141,757.0","151,022.0","168,568.0","213,535.0","266,991.0","276,131.0","298,217.0","338,109.0","412,828.0","537,852.0","687,823.0","915,358.0","1,028,072.0","1,015,279.0","1,181,940.0","1,263,773.0","1,313,137.0","1,374,788.0","1,546,921.0","1,824,793.0","1,858,052.0","1,755,487.0","1,578,631.0","1,514,637.0","1,628,233.0","1,891,601.0","1,976,898.0","2,147,473.0","2,328,380.0","2,430,597.0","2,856,528.0","2,732,147.0","2,284,423.0","2,141,995.0","2,324,594.0","3,002,926.0","3,852,759.0","4,493,443.0","3,848,293.0","2,859,987.0","2,609,408.0","2,601,816.0","2,498,635.0"
"45","26","  Domestic business \1\","A2069C1","76,165.0","87,826.0","93,450.0","105,635.0","136,748.0","172,781.0","177,181.0","191,709.0","214,022.0","263,103.0","343,177.0","436,360.0","582,416.0","645,055.0","638,018.0","711,325.0","779,311.0","810,703.0","868,611.0","987,900.0","1,169,408.0","1,183,181.0","1,124,658.0","1,010,742.0","981,585.0","1,073,995.0","1,269,918.0","1,323,061.0","1,451,736.0","1,555,902.0","1,661,934.0","1,972,147.0","1,873,035.0","1,565,965.0","1,468,902.0","1,682,436.0","2,133,337.0","2,730,215.0","3,151,473.0","2,635,902.0","1,924,311.0","1,777,168.0","1,777,698.0","1,692,177.0"
"46","27","    Corporate business","A2070C1","75,466.0","87,132.0","92,606.0","104,488.0","135,657.0","171,440.0","175,693.0","190,318.0","212,702.0","261,272.0","339,842.0","430,389.0","574,277.0","637,767.0","630,308.0","704,776.0","771,116.0","802,078.0","862,127.0","978,817.0","1,160,078.0","1,173,023.0","1,114,225.0","1,002,363.0","972,268.0","1,062,287.0","1,248,714.0","1,300,078.0","1,423,322.0","1,520,572.0","1,618,402.0","1,912,611.0","1,811,019.0","1,514,020.0","1,414,274.0","1,612,854.0","2,028,401.0","2,576,645.0","2,936,945.0","2,430,590.0","1,777,018.0","1,623,905.0","1,633,740.0","1,556,796.0"
"47","28","      Financial \4\","B1134C1","68,205.0","78,588.0","83,939.0","94,847.0","121,392.0","152,218.0","156,465.0","168,995.0","188,015.0","229,465.0","294,383.0","369,631.0","491,091.0","551,737.0","546,922.0","606,831.0","661,756.0","686,615.0","745,285.0","845,002.0","998,377.0","1,006,702.0","949,447.0","853,192.0","834,072.0","911,808.0","1,075,475.0","1,104,662.0","1,207,706.0","1,314,726.0","1,399,033.0","1,651,253.0","1,565,949.0","1,295,078.0","1,206,770.0","1,391,793.0","1,764,110.0","2,251,361.0","2,587,984.0","2,157,942.0","1,588,318.0","1,470,415.0","1,479,140.0","1,403,644.0"
"48","29","      Nonfinancial","B1135C1","7,261.0","8,544.0","8,667.0","9,641.0","14,265.0","19,222.0","19,228.0","21,323.0","24,687.0","31,807.0","45,459.0","60,758.0","83,186.0","86,030.0","83,386.0","97,946.0","109,360.0","115,463.0","116,842.0","133,815.0","161,701.0","166,321.0","164,778.0","149,171.0","138,196.0","150,479.0","173,239.0","195,416.0","215,616.0","205,846.0","219,369.0","261,358.0","245,070.0","218,942.0","207,504.0","221,061.0","264,291.0","325,284.0","348,961.0","272,648.0","188,700.0","153,490.0","154,601.0","153,152.0"
"49","30","    Financial sole proprietorships and partnerships \5\","B1136C1","677.0","670.0","818.0","1,120.0","1,060.0","1,314.0","1,409.0","1,304.0","1,219.0","1,694.0","3,130.0","5,682.0","7,783.0","6,980.0","7,458.0","6,267.0","7,965.0","8,435.0","6,313.0","8,861.0","9,068.0","9,893.0","10,205.0","8,213.0","9,171.0","11,583.0","21,160.0","22,938.0","28,368.0","35,283.0","43,485.0","59,489.0","61,969.0","51,899.0","54,582.0","69,538.0","104,893.0","153,527.0","214,485.0","205,269.0","147,250.0","153,220.0","143,914.0","135,338.0"
"50","31","    Other private business","B1137C1","22.0","24.0","26.0","27.0","31.0","27.0","79.0","87.0","101.0","137.0","205.0","289.0","356.0","308.0","252.0","282.0","230.0","190.0","171.0","222.0","262.0","265.0","228.0","166.0","146.0","125.0","44.0","45.0","46.0","47.0","47.0","47.0","47.0","46.0","46.0","44.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0"
"51","32","  Persons \5\","B1138C1","38,957.0","44,480.0","48,440.0","52,518.0","61,840.0","74,058.0","78,344.0","85,875.0","100,665.0","114,740.0","142,279.0","183,214.0","240,969.0","275,746.0","268,765.0","336,018.0","342,464.0","350,307.0","345,092.0","371,385.0","434,181.0","446,280.0","417,090.0","385,272.0","358,483.0","360,067.0","389,274.0","404,379.0","413,381.0","473,947.0","456,881.0","512,813.0","520,476.0","434,520.0","410,433.0","345,565.0","464,345.0","559,223.0","651,007.0","622,582.0","508,696.0","435,716.0","431,670.0","429,106.0"
"52","33","  Government","A2071C1","4,646.0","5,281.0","5,397.0","5,767.0","7,650.0","10,087.0","10,847.0","11,130.0","12,872.0","18,106.0","25,416.0","33,055.0","42,429.0","49,062.0","54,006.0","62,551.0","70,179.0","75,457.0","73,619.0","79,715.0","83,960.0","87,194.0","84,340.0","77,015.0","74,778.0","73,896.0","79,775.0","85,481.0","87,832.0","87,305.0","89,912.0","99,712.0","94,616.0","80,727.0","75,570.0","77,570.0","88,459.0","107,469.0","120,347.0","105,059.0","92,570.0","93,612.0","90,051.0","81,268.0"
"53","34","    Federal","B1139C1","1,866.0","1,971.0","1,981.0","2,000.0","2,112.0","2,431.0","2,910.0","3,485.0","4,123.0","6,212.0","8,351.0","10,806.0","14,413.0","17,449.0","19,565.0","22,275.0","24,465.0","27,051.0","24,181.0","26,638.0","25,065.0","26,030.0","24,645.0","21,107.0","22,001.0","19,356.0","20,212.0","21,935.0","20,338.0","16,846.0","16,006.0","18,252.0","17,804.0","14,804.0","16,139.0","16,472.0","17,178.0","18,610.0","21,912.0","19,360.0","22,584.0","29,345.0","28,290.0","21,992.0"
"54","35","    State and local","B1140C1","2,780.0","3,310.0","3,416.0","3,767.0","5,538.0","7,656.0","7,937.0","7,645.0","8,749.0","11,894.0","17,065.0","22,249.0","28,016.0","31,613.0","34,441.0","40,276.0","45,714.0","48,406.0","49,438.0","53,077.0","58,895.0","61,164.0","59,695.0","55,908.0","52,777.0","54,540.0","59,563.0","63,546.0","67,494.0","70,459.0","73,906.0","81,460.0","76,812.0","65,923.0","59,431.0","61,098.0","71,281.0","88,859.0","98,435.0","85,699.0","69,986.0","64,267.0","61,761.0","59,276.0"
"55","36","  Rest of the world","A2072C1","3,615.0","4,170.0","3,735.0","4,648.0","7,297.0","10,065.0","9,759.0","9,503.0","10,550.0","16,879.0","26,980.0","35,194.0","49,545.0","58,209.0","54,490.0","72,045.0","71,819.0","76,670.0","87,466.0","107,921.0","137,245.0","141,398.0","129,399.0","105,602.0","99,791.0","120,275.0","152,634.0","163,978.0","194,524.0","211,226.0","221,869.0","271,856.0","244,020.0","203,211.0","187,089.0","219,023.0","316,785.0","455,851.0","570,617.0","484,749.0","334,410.0","302,912.0","302,398.0","296,084.0"
