"","Table 7#9# Rental Income of Persons by Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","    Nonfarm tenant-occupied permanent site housing","B1436C1","2,918.0","3,017.0","3,059.0","3,190.0","2,632.0","1,988.0","1,818.0","1,586.0","2,382.0","1,855.0","1,532.0","3,198.0","5,784.0","9,592.0","12,432.0","12,549.0","16,534.0","18,107.0","17,814.0","17,106.0","15,664.0","18,580.0","22,632.0","29,946.0","35,981.0","40,272.0","44,574.0","45,888.0","47,201.0","49,685.0","48,571.0","46,099.0","48,836.0","51,088.0","48,652.0","49,105.0","49,229.0","50,932.0","59,411.0","68,462.0","83,614.0","95,002.0","114,548.0","129,584.0"
"23","5","    Farm tenant-occupied housing owned by farm operator landlords","W156RC1","89.0","94.0","99.0","112.0","108.0","106.0","95.0","90.0","87.0","91.0","89.0","85.0","77.0","60.0","45.0","31.0","13.0","-5.0","-5.0","4.0","16.0","29.0","46.0","63.0","94.0","117.0","108.0","107.0","88.0","80.0","70.0","116.0","103.0","110.0","107.0","195.0","261.0","270.0","227.0","192.0","201.0","212.0","234.0","252.0"
"24","6","  Farms owned by nonoperator landlords \1\","B1437C1","1,566.0","1,559.0","1,541.0","2,296.0","3,633.0","3,118.0","3,058.0","2,633.0","2,593.0","3,215.0","3,922.0","4,005.0","3,886.0","3,559.0","3,283.0","4,890.0","4,460.0","3,354.0","4,291.0","3,825.0","4,260.0","4,476.0","4,330.0","4,613.0","4,854.0","4,660.0","4,800.0","5,235.0","5,617.0","5,435.0","5,198.0","4,591.0","4,648.0","3,996.0","4,354.0","4,166.0","4,448.0","3,781.0","3,796.0","4,808.0","4,888.0","6,331.0","6,167.0","6,903.0"
"25","7","  Nonfarm nonresidential properties \2\","B1438C1","218.0","181.0","173.0","198.0","243.0","284.0","273.0","307.0","261.0","342.0","375.0","476.0","648.0","597.0","990.0","1,121.0","1,492.0","1,450.0","1,241.0","1,022.0","782.0","623.0","931.0","1,077.0","1,212.0","973.0","1,316.0","1,546.0","1,433.0","1,366.0","1,135.0","1,168.0","396.0","243.0","267.0","193.0","-132.0","27.0","7.0","-497.0","-119.0","-58.0","20.0","145.0"
"26","8","  Royalties","B1439C1","1,169.0","1,365.0","1,429.0","1,564.0","1,969.0","2,894.0","3,292.0","3,918.0","3,663.0","4,098.0","4,729.0","5,990.0","8,711.0","9,414.0","8,550.0","9,527.0","10,070.0","7,322.0","5,575.0","5,614.0","5,923.0","6,538.0","6,989.0","7,242.0","7,111.0","7,164.0","7,231.0","8,564.0","9,516.0","8,346.0","9,124.0","11,122.0","14,495.0","10,886.0","14,602.0","16,744.0","21,715.0","23,150.0","23,970.0","35,751.0","21,058.0","25,203.0","26,662.0","26,662.0"
"27","9","Households and nonprofit institutions","W157RC1","14,414.0","14,508.0","15,628.0","15,466.0","14,673.0","14,949.0","13,992.0","12,087.0","7,207.0","7,309.0","5,921.0","5,980.0","6,310.0","2,917.0","2,188.0","-231.0","-3,065.0","-8,323.0","-8,708.0","-2,457.0","-2,233.0","1,109.0","7,078.0","21,386.0","44,387.0","64,284.0","71,158.0","85,612.0","88,192.0","104,951.0","119,007.0","124,625.0","139,064.0","150,978.0","170,040.0","185,014.0","162,920.0","129,362.0","101,999.0","153,391.0","224,059.0","276,065.0","336,752.0","377,610.0"
"28","10","  Nonfarm owner-occupied housing","A2217C1","13,196.0","13,188.0","14,074.0","13,712.0","13,002.0","13,305.0","12,497.0","10,660.0","5,728.0","5,750.0","4,346.0","4,293.0","4,515.0","1,132.0","426.0","-1,843.0","-4,604.0","-9,638.0","-10,081.0","-4,007.0","-3,991.0","-972.0","4,593.0","18,301.0","40,650.0","59,879.0","66,291.0","80,430.0","83,020.0","99,451.0","113,460.0","118,220.0","132,375.0","143,891.0","162,967.0","176,301.0","152,989.0","119,155.0","91,972.0","142,970.0","212,337.0","263,368.0","322,095.0","361,700.0"
"29","11","    Permanent site","B1434C1","12,897.0","12,898.0","13,760.0","13,347.0","12,649.0","12,949.0","12,127.0","10,340.0","5,179.0","4,685.0","3,169.0","3,317.0","2,951.0","-211.0","-1,247.0","-3,601.0","-6,790.0","-12,372.0","-13,115.0","-7,734.0","-8,544.0","-6,799.0","-3,169.0","9,600.0","32,608.0","52,644.0","60,343.0","74,824.0","77,634.0","94,605.0","108,822.0","111,866.0","120,284.0","129,155.0","147,370.0","160,470.0","139,055.0","108,671.0","82,886.0","134,345.0","202,539.0","253,304.0","311,394.0","350,152.0"
"30","12","    Manufactured homes","B1435C1","299.0","290.0","314.0","365.0","354.0","356.0","370.0","320.0","549.0","1,065.0","1,178.0","976.0","1,564.0","1,343.0","1,674.0","1,759.0","2,186.0","2,733.0","3,034.0","3,727.0","4,554.0","5,827.0","7,762.0","8,701.0","8,042.0","7,235.0","5,948.0","5,606.0","5,386.0","4,846.0","4,638.0","6,354.0","12,091.0","14,736.0","15,596.0","15,831.0","13,934.0","10,483.0","9,087.0","8,625.0","9,798.0","10,064.0","10,701.0","11,548.0"
"31","13","  Farm owner-occupied housing owned by farm operators","W158RC1","1,218.0","1,320.0","1,408.0","1,599.0","1,541.0","1,545.0","1,403.0","1,339.0","1,320.0","1,389.0","1,380.0","1,339.0","1,255.0","1,015.0","834.0","661.0","423.0","179.0","232.0","421.0","652.0","904.0","1,209.0","1,514.0","1,951.0","2,286.0","2,242.0","2,282.0","1,933.0","1,839.0","1,729.0","2,632.0","2,403.0","2,410.0","2,382.0","3,893.0","5,065.0","5,186.0","4,425.0","4,264.0","4,415.0","4,702.0","5,305.0","5,640.0"
"32","14","  Tenant-occupied housing owned by nonprofit institutions","W159RC1",".....",".....","147.0","155.0","129.0","99.0","92.0","89.0","160.0","170.0","194.0","349.0","540.0","771.0","928.0","951.0","1,116.0","1,136.0","1,141.0","1,129.0","1,106.0","1,177.0","1,275.0","1,571.0","1,786.0","2,118.0","2,625.0","2,900.0","3,238.0","3,660.0","3,818.0","3,773.0","4,286.0","4,677.0","4,692.0","4,820.0","4,866.0","5,022.0","5,602.0","6,157.0","7,308.0","7,995.0","9,351.0","10,270.0"
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Rental income with capital consumption adjustment (1-8)","A2215C1","19,205.0","19,359.0","20,500.0","21,262.0","21,288.0","20,444.0","19,237.0","16,704.0","12,531.0","12,812.0","11,840.0","13,744.0","16,704.0","16,725.0","18,938.0","18,360.0","19,434.0","14,583.0","14,632.0","19,501.0","18,489.0","24,818.0","35,016.0","57,084.0","86,528.0","110,307.0","121,956.0","138,388.0","142,531.0","161,517.0","173,981.0","176,600.0","193,047.0","206,415.0","223,420.0","238,673.0","216,727.0","184,372.0","165,440.0","226,355.0","312,643.0","377,553.0","457,720.0","514,494.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Includes housing, service structures, and land.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes rental income of private employee pension funds imputed to persons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
