"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"22","3","        Truck output","A716RC1","9,430.0","9,212.0","10,265.0","10,150.0","8,913.0","8,793.0","8,940.0","7,064.0","9,876.0","10,345.0","10,900.0","11,330.0","13,202.0","14,154.0","12,668.0","15,240.0","16,912.0","16,957.0","17,592.0","17,691.0","18,505.0","17,863.0","19,168.0","20,169.0","15,713.0","15,738.0","17,206.0","17,904.0","20,359.0","23,023.0","25,324.0","24,256.0","29,063.0","29,424.0","32,705.0","33,546.0","31,654.0","35,911.0","37,805.0","41,959.0","44,175.0","39,084.0","35,662.0","32,585.0","28,657.0","23,784.0","25,004.0","28,778.0","28,287.0","31,003.0","29,371.0","30,524.0","31,893.0","33,381.0","30,124.0","28,024.0","31,534.0","37,162.0","42,387.0","50,842.0","53,987.0","55,598.0","56,755.0","61,803.0","60,718.0","66,374.0","70,674.0","70,854.0","63,536.0","68,130.0","67,420.0","65,651.0","65,891.0","69,597.0","71,739.0","72,307.0","72,078.0","71,557.0","73,545.0","80,878.0","89,133.0","82,936.0","86,377.0","81,502.0","76,691.0","78,450.0","75,908.0","66,887.0","59,137.0","67,042.0","72,278.0","71,404.0","76,063.0","80,377.0","83,835.0","95,359.0","97,371.0","99,821.0","103,008.0","115,301.0","123,182.0","120,464.0","128,344.0","131,181.0","133,903.0","136,103.0","140,926.0","148,215.0","143,163.0","150,708.0","154,203.0","158,055.0","165,468.0","165,843.0","180,591.0","193,495.0","187,526.0","190,869.0","179,972.0","215,519.0","218,432.0","217,144.0","230,178.0","228,682.0","229,487.0","224,199.0","209,674.0","202,279.0","191,936.0","207,848.0","206,164.0","217,171.0","221,858.0","232,851.0","251,037.0","239,981.0","238,001.0","249,400.0","255,146.0","262,504.0","264,999.0","252,687.0","273,808.0","267,244.0","257,971.0","269,949.0","285,066.0","248,756.0","252,730.0","250,649.0","259,893.0","245,973.0","250,780.0","256,295.0","259,523.0","242,558.0","221,356.0","196,459.0","170,173.0","141,733.0","129,443.0","132,266.0","174,224.0","182,913.0","199,482.0","212,258.0","237,502.0","235,965.0","250,364.0","240,150.0","262,865.0","273,484.0","277,717.0","289,114.0","287,723.0","286,629.0","294,242.0","315,829.0","315,464.0"
"23","4","Final sales of domestic product","AB60RC1","45,219.0","43,873.0","44,294.0","43,547.0","39,563.0","40,813.0","40,634.0","31,669.0","45,317.0","47,161.0","48,310.0","51,079.0","52,184.0","54,328.0","55,326.0","59,172.0","65,405.0","63,734.0","62,190.0","57,688.0","54,342.0","55,517.0","60,221.0","52,803.0","53,340.0","54,484.0","62,644.0","66,084.0","72,574.0","74,524.0","78,792.0","81,460.0","92,412.0","92,712.0","91,976.0","95,129.0","93,420.0","108,466.0","106,238.0","109,519.0","111,247.0","102,089.0","108,182.0","101,740.0","99,701.0","77,357.0","87,978.0","91,456.0","103,477.0","96,044.0","106,636.0","88,397.0","98,244.0","95,926.0","96,209.0","107,439.0","104,817.0","121,553.0","133,111.0","145,086.0","150,185.0","156,358.0","153,952.0","159,988.0","172,420.0","174,051.0","194,162.0","168,767.0","170,419.0","179,986.0","204,653.0","185,366.0","160,888.0","179,227.0","199,374.0","179,862.0","201,831.0","198,770.0","194,684.0","201,575.0","203,928.0","206,703.0","219,900.0","194,965.0","215,313.0","196,857.0","196,955.0","183,391.0","180,328.0","178,815.0","187,442.0","182,314.0","192,780.0","202,054.0","206,636.0","218,465.0","208,259.0","232,402.0","231,216.0","250,494.0","269,269.0","259,451.0","266,556.0","274,551.0","264,608.0","262,624.0","277,711.0","287,604.0","287,953.0","288,521.0","294,232.0","305,124.0","310,978.0","298,635.0","319,710.0","330,566.0","311,780.0","336,539.0","338,172.0","374,982.0","345,924.0","369,245.0","375,106.0","362,737.0","386,529.0","354,206.0","349,551.0","343,464.0","355,669.0","348,272.0","344,177.0","403,103.0","369,035.0","368,860.0","395,256.0","361,899.0","359,264.0","369,830.0","392,749.0","376,123.0","379,443.0","382,244.0","400,423.0","418,284.0","414,745.0","430,822.0","440,596.0","381,921.0","409,310.0","402,077.0","412,152.0","403,762.0","410,453.0","413,901.0","405,301.0","411,424.0","377,327.0","342,252.0","328,854.0","257,431.0","261,008.0","267,048.0","289,782.0","262,371.0","292,864.0","309,562.0","326,639.0","350,001.0","363,639.0","377,014.0","374,968.0","395,754.0","409,495.0","417,590.0","421,402.0","430,867.0","447,542.0","446,206.0","441,882.0"
"24","5","  Personal consumption expenditures","AB61RC1","32,443.0","31,742.0","32,236.0","31,760.0","29,151.0","30,192.0","30,259.0","24,202.0","34,211.0","35,470.0","36,427.0","38,280.0","39,046.0","40,571.0","41,479.0","44,346.0","48,424.0","47,042.0","45,077.0","41,297.0","37,879.0","38,594.0","42,348.0","35,815.0","37,866.0","38,343.0","44,981.0","48,235.0","54,738.0","55,811.0","57,270.0","59,401.0","65,610.0","65,970.0","67,065.0","69,030.0","67,079.0","78,158.0","76,495.0","77,292.0","77,053.0","70,725.0","75,204.0","72,379.0","74,171.0","57,152.0","66,173.0","68,520.0","77,252.0","70,729.0","78,600.0","67,188.0","77,506.0","76,579.0","78,151.0","86,100.0","84,738.0","99,707.0","104,790.0","114,075.0","120,218.0","124,273.0","123,690.0","129,411.0","139,942.0","142,129.0","161,694.0","142,563.0","146,184.0","156,808.0","184,187.0","168,719.0","146,569.0","162,768.0","179,798.0","167,828.0","179,770.0","175,914.0","170,499.0","177,426.0","179,916.0","181,290.0","189,445.0","172,570.0","189,747.0","177,862.0","174,668.0","165,184.0","154,447.0","153,141.0","163,549.0","160,644.0","170,200.0","173,937.0","177,741.0","182,407.0","181,281.0","193,141.0","194,526.0","206,725.0","213,980.0","212,336.0","213,764.0","224,345.0","215,795.0","216,550.0","221,848.0","227,179.0","231,982.0","235,877.0","236,149.0","239,344.0","252,232.0","240,901.0","257,309.0","265,355.0","254,539.0","275,413.0","281,718.0","311,241.0","293,443.0","316,630.0","319,675.0","308,894.0","336,848.0","311,973.0","316,960.0","319,978.0","331,712.0","324,274.0","327,968.0","384,163.0","352,688.0","353,735.0","379,118.0","353,149.0","346,146.0","359,206.0","367,761.0","356,476.0","358,324.0","359,085.0","362,271.0","369,070.0","361,185.0","375,503.0","374,290.0","326,401.0","340,249.0","339,609.0","344,573.0","341,597.0","342,468.0","347,831.0","344,508.0","342,517.0","320,748.0","299,040.0","279,848.0","239,651.0","248,602.0","253,635.0","290,714.0","268,180.0","268,247.0","282,244.0","289,665.0","305,822.0","310,570.0","299,608.0","303,213.0","323,195.0","333,518.0","333,021.0","339,940.0","353,178.0","358,935.0","359,412.0","364,976.0"
"25","6","    New motor vehicles","AB67RC1","27,134.0","26,628.0","27,061.0","26,545.0","24,328.0","24,955.0","25,158.0","19,311.0","29,200.0","29,800.0","30,645.0","32,495.0","33,155.0","34,571.0","35,155.0","37,801.0","41,544.0","40,179.0","38,209.0","34,908.0","31,530.0","31,890.0","35,069.0","28,275.0","30,966.0","30,771.0","36,832.0","39,704.0","45,386.0","45,615.0","46,651.0","48,904.0","54,272.0","55,526.0","55,842.0","57,791.0","56,159.0","66,451.0","63,861.0","64,465.0","64,445.0","58,435.0","62,321.0","60,424.0","61,325.0","46,093.0","54,349.0","55,558.0","63,679.0","56,260.0","63,724.0","52,903.0","62,522.0","62,041.0","62,223.0","70,326.0","68,920.0","82,920.0","85,878.0","93,749.0","98,252.0","99,929.0","96,346.0","104,137.0","111,958.0","113,681.0","132,114.0","113,567.0","117,560.0","128,379.0","153,239.0","137,009.0","117,598.0","129,643.0","141,272.0","126,646.0","141,176.0","138,151.0","133,937.0","139,618.0","140,230.0","139,095.0","149,270.0","128,622.0","146,676.0","135,976.0","132,453.0","123,551.0","109,768.0","110,759.0","115,990.0","115,097.0","123,171.0","124,476.0","127,714.0","131,400.0","128,004.0","138,215.0","138,967.0","150,398.0","150,130.0","150,538.0","148,918.0","155,216.0","143,906.0","146,181.0","145,871.0","153,845.0","153,530.0","152,655.0","150,064.0","155,633.0","157,313.0","151,775.0","166,526.0","173,220.0","165,639.0","185,811.0","174,582.0","191,463.0","190,776.0","200,409.0","202,512.0","206,537.0","218,959.0","209,549.0","212,261.0","202,065.0","217,255.0","215,314.0","211,869.0","275,632.0","244,735.0","231,951.0","256,237.0","241,280.0","237,030.0","254,719.0","261,582.0","253,096.0","255,959.0","250,258.0","250,837.0","252,669.0","243,849.0","265,460.0","266,927.0","219,341.0","231,658.0","231,613.0","236,776.0","232,138.0","236,906.0","236,100.0","229,099.0","230,500.0","213,227.0","196,480.0","182,719.0","148,446.0","149,960.0","154,163.0","190,393.0","167,976.0","166,506.0","179,297.0","184,773.0","198,579.0","204,964.0","199,200.0","203,610.0","223,372.0","231,910.0","233,622.0","237,459.0","244,338.0","246,131.0","247,813.0","251,881.0"
"26","7","      Autos","A136RC1","25,383.0","24,912.0","25,341.0","24,784.0","22,797.0","23,465.0","23,570.0","17,948.0","27,437.0","27,660.0","28,135.0","29,552.0","29,887.0","31,008.0","31,743.0","33,829.0","36,696.0","35,617.0","33,480.0","29,931.0","27,137.0","27,173.0","29,878.0","23,832.0","26,900.0","26,116.0","31,139.0","33,170.0","37,735.0","37,446.0","37,539.0","39,948.0","43,438.0","44,630.0","44,756.0","44,803.0","43,410.0","51,437.0","49,228.0","50,009.0","51,016.0","47,042.0","50,289.0","48,714.0","52,329.0","38,646.0","46,428.0","48,178.0","56,001.0","47,762.0","54,352.0","44,623.0","51,313.0","51,492.0","51,697.0","58,842.0","56,549.0","66,772.0","67,486.0","73,308.0","76,901.0","77,632.0","74,177.0","79,866.0","82,497.0","84,144.0","97,683.0","80,696.0","87,616.0","94,235.0","112,487.0","101,541.0","84,544.0","90,795.0","101,891.0","87,913.0","100,443.0","96,902.0","92,567.0","96,789.0","94,534.0","93,636.0","100,517.0","82,862.0","97,024.0","90,436.0","88,986.0","82,254.0","71,197.0","71,532.0","73,241.0","73,155.0","78,682.0","76,586.0","77,165.0","79,632.0","76,100.0","81,624.0","82,146.0","88,230.0","86,462.0","86,130.0","85,566.0","87,526.0","79,632.0","81,436.0","81,272.0","85,392.0","82,764.0","81,611.0","79,010.0","81,117.0","81,956.0","75,890.0","83,364.0","85,203.0","82,003.0","89,149.0","83,866.0","89,686.0","88,899.0","94,856.0","95,549.0","99,502.0","104,450.0","101,116.0","98,320.0","93,691.0","97,062.0","93,000.0","88,994.0","112,313.0","96,967.0","93,478.0","98,834.0","91,528.0","92,365.0","89,931.0","91,385.0","88,470.0","91,994.0","90,023.0","88,351.0","93,661.0","93,391.0","98,543.0","100,605.0","93,818.0","99,513.0","98,818.0","101,012.0","97,416.0","97,172.0","96,585.0","90,307.0","96,627.0","93,661.0","97,935.0","83,211.0","65,841.0","61,295.0","63,281.0","89,567.0","70,565.0","64,819.0","67,905.0","70,722.0","74,289.0","80,366.0","79,461.0","75,362.0","84,212.0","94,980.0","92,869.0","93,642.0","96,802.0","96,225.0","93,144.0","94,918.0"
"27","8","      Light trucks (including utility vehicles)","B704RC1","1,751.0","1,716.0","1,720.0","1,761.0","1,531.0","1,490.0","1,588.0","1,363.0","1,763.0","2,140.0","2,510.0","2,943.0","3,268.0","3,563.0","3,412.0","3,972.0","4,848.0","4,562.0","4,729.0","4,977.0","4,393.0","4,717.0","5,191.0","4,443.0","4,066.0","4,655.0","5,693.0","6,534.0","7,651.0","8,169.0","9,112.0","8,956.0","10,834.0","10,896.0","11,086.0","12,988.0","12,749.0","15,014.0","14,633.0","14,456.0","13,429.0","11,393.0","12,032.0","11,710.0","8,996.0","7,447.0","7,921.0","7,380.0","7,678.0","8,498.0","9,372.0","8,280.0","11,209.0","10,549.0","10,526.0","11,484.0","12,371.0","16,148.0","18,392.0","20,441.0","21,351.0","22,297.0","22,169.0","24,271.0","29,461.0","29,537.0","34,431.0","32,871.0","29,944.0","34,144.0","40,752.0","35,468.0","33,054.0","38,848.0","39,381.0","38,733.0","40,733.0","41,249.0","41,370.0","42,829.0","45,696.0","45,459.0","48,753.0","45,760.0","49,652.0","45,540.0","43,467.0","41,297.0","38,571.0","39,227.0","42,749.0","41,942.0","44,489.0","47,890.0","50,549.0","51,768.0","51,904.0","56,591.0","56,821.0","62,168.0","63,668.0","64,408.0","63,352.0","67,690.0","64,274.0","64,745.0","64,599.0","68,453.0","70,766.0","71,044.0","71,054.0","74,516.0","75,357.0","75,885.0","83,162.0","88,017.0","83,636.0","96,662.0","90,716.0","101,777.0","101,877.0","105,553.0","106,963.0","107,035.0","114,509.0","108,433.0","113,941.0","108,374.0","120,193.0","122,314.0","122,875.0","163,319.0","147,768.0","138,473.0","157,403.0","149,752.0","144,665.0","164,788.0","170,197.0","164,626.0","163,965.0","160,235.0","162,486.0","159,008.0","150,458.0","166,917.0","166,322.0","125,523.0","132,145.0","132,795.0","135,764.0","134,722.0","139,734.0","139,515.0","138,792.0","133,873.0","119,566.0","98,545.0","99,508.0","82,605.0","88,665.0","90,882.0","100,826.0","97,411.0","101,687.0","111,392.0","114,051.0","124,290.0","124,598.0","119,739.0","128,248.0","139,160.0","136,930.0","140,753.0","143,817.0","147,536.0","149,906.0","154,669.0","156,963.0"
"28","9","    Net purchases of used autos and used light trucks","W240RC1","5,309.0","5,114.0","5,175.0","5,215.0","4,823.0","5,237.0","5,101.0","4,891.0","5,011.0","5,670.0","5,782.0","5,785.0","5,891.0","6,000.0","6,324.0","6,545.0","6,880.0","6,863.0","6,868.0","6,389.0","6,349.0","6,704.0","7,279.0","7,540.0","6,900.0","7,572.0","8,149.0","8,531.0","9,352.0","10,196.0","10,619.0","10,497.0","11,338.0","10,444.0","11,223.0","11,239.0","10,920.0","11,707.0","12,634.0","12,827.0","12,608.0","12,290.0","12,883.0","11,955.0","12,846.0","11,059.0","11,824.0","12,962.0","13,573.0","14,469.0","14,876.0","14,285.0","14,984.0","14,538.0","15,928.0","15,774.0","15,818.0","16,787.0","18,912.0","20,326.0","21,966.0","24,344.0","27,344.0","25,274.0","27,984.0","28,448.0","29,580.0","28,996.0","28,624.0","28,429.0","30,948.0","31,710.0","28,971.0","33,125.0","38,526.0","41,182.0","38,594.0","37,763.0","36,562.0","37,808.0","39,686.0","42,195.0","40,175.0","43,948.0","43,071.0","41,886.0","42,215.0","41,633.0","44,679.0","42,382.0","47,559.0","45,547.0","47,029.0","49,461.0","50,027.0","51,007.0","53,277.0","54,926.0","55,559.0","56,327.0","63,850.0","61,798.0","64,846.0","69,129.0","71,889.0","70,369.0","75,977.0","73,334.0","78,452.0","83,222.0","86,085.0","83,711.0","94,919.0","89,126.0","90,783.0","92,135.0","88,900.0","89,602.0","107,136.0","119,778.0","102,667.0","116,221.0","117,163.0","102,357.0","117,889.0","102,424.0","104,699.0","117,913.0","114,457.0","108,960.0","116,099.0","108,531.0","107,953.0","121,784.0","122,881.0","111,869.0","109,116.0","104,487.0","106,179.0","103,380.0","102,365.0","108,827.0","111,434.0","116,401.0","117,336.0","110,043.0","107,363.0","107,060.0","108,591.0","107,996.0","107,797.0","109,459.0","105,562.0","111,731.0","115,409.0","112,017.0","107,521.0","102,560.0","97,129.0","91,205.0","98,642.0","99,472.0","100,321.0","100,204.0","101,741.0","102,947.0","104,892.0","107,243.0","105,606.0","100,408.0","99,603.0","99,823.0","101,608.0","99,399.0","102,481.0","108,840.0","112,804.0","111,599.0","113,095.0"
"29","10","      Used autos","A137RC1","5,134.0","4,937.0","4,986.0","5,007.0","4,626.0","5,028.0","4,875.0","4,707.0","4,792.0","5,428.0","5,528.0","5,516.0","5,608.0","5,741.0","6,065.0","6,253.0","6,535.0","6,518.0","6,523.0","6,044.0","6,000.0","6,355.0","6,930.0","7,191.0","6,556.0","7,228.0","7,805.0","8,187.0","8,946.0","9,726.0","10,085.0","9,899.0","10,707.0","9,781.0","10,528.0","10,512.0","10,171.0","10,827.0","11,709.0","11,805.0","11,615.0","11,376.0","11,726.0","10,583.0","11,587.0","9,848.0","10,394.0","11,562.0","12,126.0","12,889.0","13,184.0","12,844.0","13,066.0","12,782.0","14,270.0","14,086.0","14,298.0","14,628.0","16,286.0","17,292.0","18,746.0","20,998.0","24,090.0","21,822.0","23,931.0","24,473.0","24,924.0","24,368.0","23,836.0","22,614.0","23,602.0","25,075.0","22,915.0","25,909.0","31,077.0","33,683.0","30,319.0","29,160.0","27,749.0","28,531.0","29,901.0","32,213.0","29,013.0","32,861.0","30,064.0","29,135.0","29,309.0","28,744.0","31,946.0","29,142.0","33,021.0","31,400.0","32,784.0","34,551.0","34,680.0","35,561.0","37,654.0","38,256.0","39,056.0","38,498.0","46,364.0","44,171.0","47,261.0","49,590.0","51,307.0","48,912.0","53,296.0","48,505.0","51,039.0","55,232.0","57,165.0","53,229.0","62,395.0","55,161.0","54,330.0","56,345.0","53,620.0","52,407.0","63,465.0","68,242.0","57,360.0","64,467.0","65,085.0","55,106.0","65,116.0","54,389.0","54,744.0","65,785.0","60,639.0","58,934.0","60,792.0","54,601.0","55,951.0","62,392.0","62,191.0","56,433.0","55,534.0","53,411.0","54,663.0","53,882.0","53,097.0","57,736.0","58,681.0","61,009.0","60,865.0","57,624.0","55,831.0","56,262.0","56,287.0","55,207.0","54,197.0","53,590.0","50,861.0","53,163.0","54,412.0","53,226.0","51,849.0","49,643.0","46,308.0","40,354.0","42,569.0","42,011.0","42,726.0","43,333.0","43,800.0","43,956.0","45,713.0","48,275.0","49,465.0","49,005.0","48,601.0","48,450.0","49,016.0","46,886.0","47,342.0","50,442.0","50,903.0","49,201.0","50,403.0"
"30","11","      Used light trucks (including utility vehicles)","W241RC1","175.0","177.0","189.0","208.0","197.0","209.0","226.0","184.0","219.0","242.0","254.0","269.0","283.0","259.0","259.0","292.0","345.0","345.0","345.0","345.0","349.0","349.0","349.0","349.0","344.0","344.0","344.0","344.0","406.0","470.0","534.0","598.0","631.0","663.0","695.0","727.0","749.0","880.0","925.0","1,022.0","993.0","914.0","1,157.0","1,372.0","1,259.0","1,211.0","1,430.0","1,400.0","1,447.0","1,580.0","1,692.0","1,441.0","1,918.0","1,756.0","1,658.0","1,688.0","1,520.0","2,159.0","2,626.0","3,034.0","3,220.0","3,346.0","3,254.0","3,452.0","4,053.0","3,975.0","4,656.0","4,628.0","4,788.0","5,815.0","7,346.0","6,635.0","6,056.0","7,216.0","7,449.0","7,499.0","8,275.0","8,603.0","8,813.0","9,277.0","9,785.0","9,982.0","11,162.0","11,087.0","13,007.0","12,751.0","12,906.0","12,889.0","12,733.0","13,240.0","14,538.0","14,147.0","14,245.0","14,910.0","15,347.0","15,446.0","15,623.0","16,670.0","16,503.0","17,829.0","17,486.0","17,627.0","17,585.0","19,539.0","20,582.0","21,457.0","22,681.0","24,829.0","27,413.0","27,990.0","28,920.0","30,482.0","32,524.0","33,965.0","36,453.0","35,790.0","35,280.0","37,195.0","43,671.0","51,536.0","45,307.0","51,754.0","52,078.0","47,251.0","52,773.0","48,035.0","49,955.0","52,128.0","53,818.0","50,026.0","55,307.0","53,930.0","52,002.0","59,392.0","60,690.0","55,436.0","53,582.0","51,076.0","51,516.0","49,498.0","49,268.0","51,091.0","52,753.0","55,392.0","56,471.0","52,419.0","51,532.0","50,798.0","52,304.0","52,789.0","53,600.0","55,869.0","54,701.0","58,568.0","60,997.0","58,791.0","55,672.0","52,917.0","50,821.0","50,851.0","56,073.0","57,461.0","57,595.0","56,871.0","57,941.0","58,991.0","59,179.0","58,968.0","56,141.0","51,403.0","51,002.0","51,373.0","52,592.0","52,513.0","55,139.0","58,398.0","61,901.0","62,398.0","62,692.0"
"31","12","  Private fixed investment","AB62RC1","13,229.0","13,503.0","13,646.0","13,458.0","12,145.0","12,095.0","11,965.0","9,570.0","13,293.0","14,027.0","15,088.0","16,083.0","16,588.0","17,197.0","16,803.0","18,444.0","20,288.0","20,252.0","20,188.0","19,288.0","19,733.0","20,077.0","20,725.0","18,688.0","16,256.0","16,418.0","18,606.0","19,435.0","21,102.0","21,961.0","24,051.0","24,288.0","29,116.0","30,279.0","29,976.0","32,461.0","33,039.0","37,589.0","36,727.0","38,849.0","39,661.0","37,830.0","38,448.0","34,845.0","33,681.0","28,410.0","31,477.0","31,851.0","34,297.0","34,714.0","36,803.0","33,566.0","35,205.0","34,372.0","33,804.0","34,103.0","36,635.0","39,462.0","44,243.0","50,757.0","52,061.0","54,637.0","53,906.0","54,560.0","56,165.0","58,294.0","60,865.0","58,497.0","57,141.0","58,956.0","60,734.0","56,148.0","53,797.0","57,572.0","57,590.0","51,682.0","57,880.0","58,168.0","57,258.0","61,135.0","55,809.0","57,751.0","55,043.0","49,993.0","52,964.0","51,904.0","54,254.0","52,320.0","51,709.0","52,689.0","54,622.0","54,275.0","53,893.0","56,228.0","55,995.0","61,111.0","62,099.0","71,410.0","69,951.0","78,317.0","88,046.0","88,006.0","92,953.0","99,549.0","96,279.0","92,858.0","95,781.0","97,982.0","95,975.0","99,800.0","105,879.0","108,618.0","110,781.0","108,923.0","112,421.0","113,619.0","109,376.0","115,354.0","112,085.0","129,160.0","127,816.0","130,917.0","137,864.0","135,261.0","137,980.0","129,688.0","124,374.0","113,982.0","114,088.0","111,918.0","104,373.0","105,054.0","105,358.0","105,671.0","108,906.0","102,739.0","97,675.0","101,501.0","109,547.0","112,049.0","113,894.0","119,964.0","130,114.0","138,653.0","136,496.0","141,414.0","151,402.0","149,194.0","165,883.0","158,002.0","155,133.0","157,466.0","153,652.0","143,827.0","140,575.0","139,640.0","131,131.0","111,199.0","94,300.0","61,534.0","34,983.0","38,906.0","41,003.0","47,152.0","72,066.0","91,048.0","99,931.0","106,372.0","115,960.0","120,433.0","136,084.0","142,148.0","154,694.0","160,908.0","162,618.0","160,444.0","161,195.0","166,860.0","167,729.0"
"32","13","    New motor vehicles","AB68RC1","15,514.0","15,916.0","16,070.0","16,008.0","14,490.0","14,816.0","14,517.0","11,232.0","15,927.0","16,298.0","17,373.0","18,314.0","18,587.0","19,427.0","19,187.0","21,295.0","23,302.0","23,281.0","23,081.0","21,684.0","22,329.0","23,020.0","24,409.0","22,197.0","19,750.0","20,185.0","23,106.0","23,914.0","25,697.0","26,827.0","28,809.0","29,077.0","34,269.0","35,438.0","34,833.0","37,444.0","37,956.0","43,231.0","42,462.0","44,963.0","46,220.0","44,286.0","45,599.0","41,303.0","40,829.0","34,399.0","38,344.0","39,284.0","42,456.0","42,308.0","45,495.0","41,065.0","43,200.0","42,781.0","42,703.0","43,171.0","45,246.0","48,222.0","53,725.0","61,760.0","65,318.0","69,708.0","71,067.0","70,779.0","74,470.0","76,811.0","81,502.0","75,257.0","73,612.0","76,275.0","79,522.0","72,979.0","70,242.0","76,538.0","80,343.0","76,643.0","80,933.0","81,304.0","81,866.0","85,251.0","78,632.0","84,222.0","80,628.0","73,651.0","78,209.0","76,990.0","81,553.0","79,953.0","78,691.0","81,045.0","86,284.0","84,508.0","84,689.0","91,329.0","91,397.0","98,517.0","97,664.0","111,434.0","106,911.0","117,549.0","129,020.0","128,541.0","134,249.0","143,548.0","141,081.0","136,973.0","143,019.0","145,479.0","147,756.0","154,996.0","162,766.0","162,124.0","166,351.0","163,214.0","168,781.0","172,836.0","171,478.0","184,685.0","173,124.0","198,523.0","198,544.0","200,373.0","212,249.0","210,846.0","216,191.0","204,119.0","200,350.0","185,386.0","191,647.0","185,476.0","177,356.0","172,802.0","169,671.0","179,382.0","184,803.0","174,994.0","163,247.0","162,111.0","174,676.0","176,940.0","174,470.0","183,347.0","196,700.0","205,437.0","200,201.0","207,580.0","220,881.0","217,024.0","236,180.0","224,196.0","223,342.0","227,778.0","225,958.0","214,976.0","217,902.0","213,863.0","205,313.0","187,030.0","171,363.0","130,143.0","101,130.0","111,517.0","119,330.0","141,035.0","154,270.0","164,577.0","173,300.0","175,392.0","187,225.0","186,536.0","204,250.0","207,502.0","220,257.0","224,269.0","226,205.0","234,606.0","242,592.0","248,509.0","249,968.0"
"33","14","      Autos","B139RC1","8,602.0","8,838.0","8,798.0","8,638.0","7,888.0","8,430.0","8,009.0","5,897.0","9,739.0","9,373.0","9,930.0","9,878.0","9,518.0","9,788.0","10,055.0","11,399.0","11,953.0","12,287.0","11,985.0","10,267.0","10,765.0","11,053.0","12,577.0","11,113.0","10,747.0","11,696.0","13,821.0","13,939.0","14,872.0","15,190.0","15,482.0","16,353.0","18,602.0","19,332.0","18,928.0","19,734.0","19,743.0","22,715.0","22,564.0","22,854.0","23,384.0","21,954.0","23,254.0","20,248.0","22,040.0","18,151.0","20,566.0","22,327.0","24,844.0","23,151.0","26,550.0","22,515.0","23,385.0","24,263.0","25,566.0","25,973.0","26,407.0","28,543.0","31,665.0","35,750.0","37,901.0","40,207.0","41,429.0","39,651.0","42,104.0","43,311.0","47,935.0","39,226.0","42,674.0","45,127.0","48,308.0","42,655.0","40,414.0","43,110.0","46,582.0","43,811.0","47,987.0","48,584.0","48,701.0","48,995.0","44,409.0","49,162.0","46,971.0","42,270.0","45,778.0","46,009.0","50,409.0","50,028.0","50,595.0","51,837.0","55,567.0","52,301.0","51,592.0","54,720.0","52,804.0","57,232.0","54,291.0","63,117.0","57,112.0","62,933.0","69,345.0","69,188.0","71,320.0","75,819.0","70,135.0","67,984.0","71,453.0","70,122.0","70,231.0","74,978.0","77,268.0","71,755.0","75,723.0","73,157.0","74,413.0","73,740.0","71,471.0","75,937.0","70,741.0","82,631.0","78,756.0","81,367.0","83,715.0","82,630.0","88,124.0","82,453.0","81,475.0","79,708.0","83,795.0","82,614.0","77,345.0","72,393.0","73,802.0","81,231.0","81,787.0","76,798.0","73,083.0","69,163.0","72,328.0","69,476.0","67,606.0","72,046.0","72,508.0","76,005.0","74,676.0","75,007.0","78,454.0","80,677.0","85,137.0","79,547.0","79,501.0","81,088.0","82,387.0","82,315.0","83,566.0","81,950.0","76,486.0","76,874.0","74,921.0","54,808.0","41,840.0","49,692.0","52,801.0","62,517.0","66,677.0","70,395.0","71,509.0","67,094.0","71,151.0","72,325.0","74,475.0","75,147.0","88,822.0","86,675.0","87,378.0","94,080.0","95,929.0","95,671.0","97,093.0"
