"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"64","46","      Less: Sales to other sectors","W137RC1","4.0","4.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","8.0","10.0","12.0","22.0","117.0","390.0","894.0","1,059.0","615.0","296.0","154.0","313.0","222.0","200.0","182.0","265.0","693.0","271.0","556.0","412.0","443.0","318.0","312.0","329.0","479.0","424.0","383.0","412.0","502.0","669.0","769.0"
"65","47","State and local consumption expenditures \1\","A991RC1","5,076.0","5,354.0","5,458.0","5,179.0","5,097.0","5,499.0","5,985.0","4,726.0","5,272.0","5,298.0","5,571.0","5,981.0","6,505.0","7,226.0","7,691.0","7,888.0","8,403.0","9,508.0","11,326.0","12,794.0","14,157.0","15,356.0","16,528.0","17,606.0","18,752.0","20,200.0","22,103.0","24,022.0","26,433.0","29,353.0","31,247.0","34,076.0","37,238.0","39,342.0","42,276.0","46,029.0","50,571.0","56,370.0","62,385.0","70,713.0","80,438.0"
"66","48","      Gross output of general government","W138RC1","5,658.0","6,026.0","6,148.0","5,791.0","5,865.0","6,944.0","7,267.0","7,301.0","7,357.0","8,143.0","8,142.0","8,163.0","8,472.0","8,669.0","8,658.0","8,819.0","9,377.0","10,606.0","12,675.0","14,348.0","15,967.0","17,377.0","18,694.0","19,952.0","21,221.0","22,880.0","25,069.0","27,248.0","29,983.0","33,363.0","35,772.0","38,939.0","42,574.0","45,379.0","49,128.0","53,639.0","59,190.0","66,108.0","73,312.0","83,171.0","94,167.0"
"67","49","        Value added","W139RC1","4,193.0","4,379.0","4,459.0","4,189.0","4,200.0","4,634.0","4,957.0","4,571.0","4,820.0","5,118.0","5,204.0","5,352.0","5,569.0","5,840.0","6,133.0","6,365.0","6,814.0","7,816.0","9,309.0","10,772.0","11,769.0","12,443.0","13,810.0","15,095.0","16,289.0","17,695.0","19,079.0","21,319.0","23,567.0","25,864.0","27,443.0","30,024.0","32,934.0","35,306.0","38,334.0","41,713.0","45,825.0","51,219.0","56,865.0","64,526.0","72,382.0"
"68","50","          Compensation of general government employees","B251RC1","3,566.0","3,748.0","3,857.0","3,661.0","3,596.0","3,940.0","4,269.0","3,818.0","4,032.0","4,309.0","4,374.0","4,488.0","4,594.0","4,682.0","4,887.0","5,192.0","5,668.0","6,563.0","7,809.0","9,067.0","10,047.0","10,737.0","11,732.0","12,882.0","14,018.0","15,384.0","16,609.0","18,462.0","20,464.0","22,638.0","24,000.0","26,433.0","29,130.0","31,221.0","33,949.0","37,000.0","40,688.0","45,535.0","50,624.0","57,604.0","64,618.0"
"69","51","          Consumption of general government fixed capital \2\","B986RC1","627.0","630.0","602.0","527.0","604.0","693.0","688.0","753.0","788.0","808.0","830.0","864.0","975.0","1,158.0","1,247.0","1,173.0","1,146.0","1,253.0","1,500.0","1,705.0","1,722.0","1,706.0","2,079.0","2,213.0","2,272.0","2,311.0","2,470.0","2,857.0","3,104.0","3,226.0","3,443.0","3,591.0","3,803.0","4,085.0","4,386.0","4,713.0","5,137.0","5,685.0","6,241.0","6,922.0","7,763.0"
"70","52","        Intermediate goods and services purchased \3\","W140RC1","1,465.0","1,647.0","1,690.0","1,603.0","1,665.0","2,311.0","2,310.0","2,730.0","2,537.0","3,025.0","2,938.0","2,811.0","2,903.0","2,828.0","2,525.0","2,455.0","2,564.0","2,790.0","3,366.0","3,576.0","4,198.0","4,934.0","4,883.0","4,857.0","4,931.0","5,184.0","5,991.0","5,929.0","6,415.0","7,499.0","8,329.0","8,916.0","9,640.0","10,073.0","10,794.0","11,926.0","13,364.0","14,889.0","16,447.0","18,645.0","21,785.0"
"71","53","          Durable goods","B989RC1","82.0","74.0","78.0","69.0","78.0","127.0","109.0","243.0","209.0","289.0","268.0","211.0","170.0","106.0","41.0","31.0","36.0","61.0","106.0","151.0","164.0","173.0","201.0","223.0","234.0","264.0","279.0","325.0","383.0","386.0","431.0","462.0","508.0","543.0","589.0","644.0","734.0","825.0","894.0","1,082.0","1,288.0"
"72","54","          Nondurable goods","B337RC1","738.0","848.0","878.0","846.0","876.0","1,186.0","1,179.0","1,349.0","1,251.0","1,480.0","1,429.0","1,390.0","1,453.0","1,435.0","1,287.0","1,250.0","1,261.0","1,303.0","1,587.0","1,666.0","1,963.0","2,284.0","2,158.0","2,115.0","2,093.0","2,145.0","2,504.0","2,391.0","2,541.0","3,057.0","3,639.0","3,857.0","4,134.0","4,301.0","4,548.0","4,907.0","5,373.0","5,825.0","6,225.0","6,915.0","7,821.0"
"73","55","          Services","A988RC1","645.0","725.0","734.0","688.0","711.0","997.0","1,021.0","1,138.0","1,077.0","1,256.0","1,241.0","1,211.0","1,279.0","1,287.0","1,197.0","1,174.0","1,267.0","1,426.0","1,673.0","1,759.0","2,070.0","2,478.0","2,524.0","2,520.0","2,604.0","2,775.0","3,208.0","3,213.0","3,491.0","4,056.0","4,259.0","4,596.0","4,998.0","5,229.0","5,657.0","6,375.0","7,257.0","8,239.0","9,328.0","10,647.0","12,677.0"
"74","56","      Less: Own-account investment \4\","W144RC1","144.0","161.0","151.0","107.0","280.0","887.0","682.0","2,077.0","1,547.0","2,287.0","1,987.0","1,552.0","1,267.0","657.0","135.0","65.0","77.0","115.0","168.0","222.0","291.0","321.0","381.0","466.0","466.0","520.0","537.0","622.0","668.0","743.0","965.0","947.0","1,018.0","1,109.0","1,264.0","1,292.0","1,375.0","1,518.0","1,587.0","1,758.0","1,889.0"
"75","57","      Less: Sales to other sectors","W145RC1","438.0","510.0","539.0","505.0","488.0","559.0","599.0","498.0","538.0","557.0","583.0","629.0","700.0","786.0","831.0","866.0","897.0","983.0","1,181.0","1,332.0","1,519.0","1,700.0","1,785.0","1,880.0","2,003.0","2,160.0","2,429.0","2,604.0","2,882.0","3,267.0","3,559.0","3,916.0","4,317.0","4,928.0","5,588.0","6,318.0","7,244.0","8,220.0","9,340.0","10,700.0","11,840.0"
"76","58","        Tuition and related educational charges","B1065C1","73.0","86.0","91.0","81.0","69.0","69.0","68.0","67.0","68.0","69.0","67.0","67.0","67.0","68.0","68.0","70.0","75.0","75.0","88.0","112.0","129.0","128.0","132.0","140.0","152.0","169.0","195.0","230.0","272.0","314.0","379.0","430.0","483.0","565.0","668.0","813.0","985.0","1,174.0","1,374.0","1,640.0","1,925.0"
"77","59","        Health and hospital charges","B1066C1","159.0","186.0","199.0","177.0","151.0","150.0","148.0","148.0","149.0","152.0","149.0","148.0","150.0","152.0","155.0","159.0","172.0","173.0","201.0","255.0","291.0","290.0","316.0","338.0","368.0","414.0","478.0","562.0","670.0","882.0","952.0","1,000.0","1,046.0","1,251.0","1,340.0","1,510.0","1,774.0","2,091.0","2,522.0","3,148.0","3,485.0"
"78","60","        Other sales \5\","W146RC1","206.0","238.0","249.0","247.0","268.0","339.0","383.0","283.0","321.0","337.0","367.0","414.0","484.0","565.0","608.0","638.0","650.0","734.0","893.0","965.0","1,099.0","1,282.0","1,338.0","1,402.0","1,483.0","1,577.0","1,755.0","1,812.0","1,939.0","2,070.0","2,228.0","2,487.0","2,788.0","3,111.0","3,581.0","3,995.0","4,485.0","4,956.0","5,444.0","5,912.0","6,430.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
