"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","4","  Interest","W262RC1",7.1,7.6,8.3,9.2,10.4,11.6,12.4,14,16.1,18.2,19.1,22.4,25.5,26.8,29.8,33,36.5,39.7,44.5,49.1,56.3,68.4,80.8,88.4,99.1,124,157.3,175.2,177.2,195.3,234.8,296.3,373,499.1,575.3,585.7,640.7,705.5,721,758.8,860.3,1016.4,1040.2,997.5,886.9,838.9,913,1085.5,1144.9,1264.3,1363.4,1469.2,1764.2,1694.1,1395.1,1264.1,1477,1884.1,2431.4,2858.1,2250.8
"12","5","  Dividend receipts from the rest of the world","B3375C1",1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.7,86.3,87.4,92.8,101,135.6,363.3,186,233.3,258.7
"13","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1",0.6,0.4,0.5,0.8,0.9,0.8,0.7,1,1.2,1.4,0.9,1.1,1.4,1.2,1.3,1.6,1.6,1.7,2,2,2.8,3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.1,116.1,95.2,111.6,148.2,192.5,20.7,248.4,271.3,285.6
"14","7","    Uses of private enterprise income","W263RC1",88.6,83,95,107.9,109.1,111.4,113.3,129.1,133,138.5,138.8,154.5,159.2,166.8,182.8,195.3,211.8,233.9,252.4,259.9,280.7,300.9,308.8,341.7,385.8,452.2,492.7,547.4,592.2,665.8,774.8,888.2,982.5,1195.7,1285.6,1386.1,1599.4,1722.7,1764.8,1895.7,2128.3,2357.5,2418.2,2384.6,2357.3,2405.8,2649.8,2970.1,3228.9,3540.4,3724.3,3974.5,4402.4,4352.5,4114.7,4131.8,4730.2,5507.6,6409.8,6864.2,6256.7
"15","8","Income payments on assets","W264RC1",9.9,10.8,11.9,13.2,14.8,16.7,18.3,20.6,23.4,26.7,29.1,32.5,36.5,39.6,44.3,48.5,54.3,59.9,67.5,75.2,84.3,103.1,122.2,134.4,150.2,184.1,232.9,261.7,266.8,299.8,357.1,445.8,564.4,736.4,846.4,874.9,977.4,1067,1117.4,1165.4,1292.9,1498.8,1528.7,1458.5,1320.8,1257.9,1351.6,1537.5,1619.5,1799.5,1967.7,2094.3,2463.5,2363.9,2051.2,1943,2169.5,2707.7,3439,3979.1,3460.9
"16","9","  Interest and miscellaneous payments \1\","W265RC1",9.6,10.4,11.4,12.7,14.4,16.2,17.8,20.1,22.9,26.2,28.5,31.9,35.9,38.9,43.6,47.7,53.4,58.8,66.4,74,83,101.6,120.7,132.5,148,181.5,230,258.4,262.4,295.1,351,437.8,556,728,842.3,868.8,967.8,1058.3,1108.2,1154.5,1278.3,1490.4,1523.8,1459.5,1315.6,1245.9,1325.1,1503.1,1582.1,1751.5,1923.6,2039,2406.6,2351.1,2004.6,1859.6,2046.3,2563.1,3261.4,3822.3,3293.8
"17","10","  Dividend payments to the rest of the world","B3376C1",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,107.1,112.1
"18","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1",0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,1.8,14.5,49.8,42.1,69.5,49.7,55
"19","12","Business current transfer payments (net)","B029RC1",0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,102.2,118.8
"20","13","  To persons (net)","B931RC1",0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,25.7,16.9,25.8,21.4,30.2,32.6
"21","14","  To government (net)","W061RC1",0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.8,0.9,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.8,2,2.4,2.6,2.8,3.4,4.4,5.1,6.1,6.7,8.2,8.8,10.6,12.9,13.9,13.8,13,16,17.9,22.3,24.5,26.7,29.1,25.7,31.8,31.1,35.4,37.6,43.6,46,47.9,48.8,52.5,55.2,59.6,65.4,78.8
"22","15","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2,6.6,7.3
"23","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"24","17","Rental income of persons with capital consumption adjustment","A048RC1",7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"25","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",30.9,28.7,35.6,40.8,38.8,39.1,38.3,49,48,47.6,42.5,53.8,53.1,54.2,62.3,68.3,75.5,86.5,92.5,90.2,97.3,94.5,82.5,96.1,111.4,124.5,115.1,133.3,161.6,191.8,218.4,225.4,201.4,223.3,205.7,259.8,318.6,332.5,314.1,367.8,426.6,425.6,434.4,457.3,496.2,543.7,628.2,716.2,801.5,884.8,812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1541.7,1360.4
"26","19","  Taxes on corporate income","A054RC1",12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,451.5,292.2
"27","20","    To government","W025RC1",12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.2,426.7,263.3
"28","21","    To the rest of the world","B930RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,6.4,6.9,7.8,8.3,9.2,10,10.4,9.8,11,12,14.1,16.5,19.1,24.8,28.9
"29","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1",18.5,18.5,17.7,18.2,19.4,18.8,20.7,27,26,26.2,23.5,30.1,30.3,31.3,38.3,42,47.4,55.5,58.7,57.3,57.6,54.5,47.7,57.9,69.1,74.5,62.3,81.7,96.3,117.4,133.6,135.3,114.2,138.9,139.2,179.2,221.1,233.1,204.5,237.4,285,279.5,289,318.7,347.5,372.7,435.1,498.3,570,639.4,564.1,597.5,554.1,580.9,679.9,734,940.8,1043.7,1135,1090.2,1068.2
"30","23","    Net dividends","B056RC1",7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,188,202.9,235.7,254.4,297.7,331.2,351.5,337.4,377.9,370.9,399.3,424.9,550.3,557.3,704.8,767.8,689.9
"31","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",11.4,11.3,8.9,9.7,10.9,9.9,11.4,16.5,14.7,14.5,11.9,17.5,16.9,17.4,23.2,25.7,29.2,35.3,38,35.8,34.1,30.3,23.4,32.9,42.2,44.6,29.1,48.7,57.3,72.6,82.8,77.8,50.2,65.2,61.5,95.7,130.3,135.6,98.3,125.1,155.1,121.5,120,138,159.5,169.7,199.4,243.9,272.3,308.2,212.6,260.1,176.3,210,280.6,309.2,390.5,486.4,430.3,322.4,378.3
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
