"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"17","10","        Nonfarm","B1617C1",1.5,1.5,1.4,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.6,1.5,1.6,1.6,1.8,2.5,3,3.3,3.5,4,4.2,4.4,4.5,4.7,5.2,5.6,5.9,6,6,6,6.1,6.2,6.5,6.9,7.3,7.8,8.4,9.3,10.1,11.1,12.1,13.4,15.4,17.5,18.7,20.5,23.1,26.7,30.8,35.8,40.4,41.9,43.8,46.9,50.3,53.7,58,61.8,64.1,65.2,65.4,67,69.5,72.9,75.9,79.3,84,89.8,96.4,101.8,106.7,111.8,118.3,127.7,138.3,146.2,152.8
"18","11","      Other private business","A1618C1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.8,2,2,2.1,2.3,2.5,2.6,2.8,3.1,3.3,3.5,3.9,4.3,4.9,5.6,6,6.7,7.6,8.6,9.7,10.7,11.4,11.7,12.2,12.7,13.5,14.3,15,15.8,16.4,16.8,17.1,17.7,18.3,19.1,19.6,20.3,21,22,23.2,24.4,25.3,26.6,28.5,30.7,32.9,34,33.9
"19","12","        Rental income of persons","B1620C1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.4,2.7,2.8,3.1,3.4,3.8,4.3,4.8,5.2,5.7,6.5,7.4,8.4,9.3,9.9,10.2,10.7,11.1,11.8,12.6,13.2,13.9,14.5,14.8,15.1,15.7,16.2,16.9,17.5,18.2,18.9,19.8,20.9,22,22.8,24,26,28.1,30.1,31.1,30.8
"20","13","          Nonfarm tenant-occupied housing","B2608C1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.1,3.5,4,4.5,4.8,5.3,6.1,6.9,7.9,8.7,9.3,9.5,10,10.4,11,11.6,12.2,12.8,13.3,13.6,13.9,14.5,15,15.6,16.2,16.8,17.4,18.2,19.2,20.2,20.9,22.1,23.9,25.9,27.8,28.6,28.3
"21","14","          Farm tenant-occupied housing","W278RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"22","15","          Farms owned by nonoperator landlords","B2609C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"23","16","          Nonfarm nonresidential properties","B2610C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.8,1.9,2
"24","17","        Proprietors' income","B1619C1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.4,2.5,2.5,2.5,2.5,2.6,2.8,2.9,3
"25","18","  Households and institutions","W279RC1",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.6,3,3.2,3.5,4,4.3,4.6,4.8,5.2,5.7,6.1,6.3,6.7,7,7.2,7.5,7.8,8.3,8.9,9.6,10.4,11.3,12.6,13.5,14.9,16.5,18.8,21.7,24.7,27.1,30.7,35.5,41,46.9,52.1,55.8,58.1,61.5,64.8,69.2,74.1,79.5,85.2,90.6,94.8,99,105.2,111.5,118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,281.1,283.9
"26","19","    Owner-occupied housing","B2607C1",0.9,0.9,0.8,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,2,2.3,2.5,2.8,3.2,3.4,3.7,3.9,4.2,4.5,4.8,5,5.2,5.5,5.6,5.8,6,6.3,6.8,7.3,7.8,8.5,9.5,10.1,11.1,12.3,13.9,16,17.9,19.7,22.5,26.3,30.5,35,38.8,41.4,43,45.5,47.9,51.2,54.9,58.9,62.9,66.4,68.9,71.3,75.8,80.9,86.6,91.2,96.6,102.3,110,118.5,127.7,135,146.2,163.5,181.4,199.2,207.9,206.8
"27","20","    Nonprofit institutions serving households","B1621C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,2,2.1,2.3,2.5,2.8,3.1,3.4,3.8,4.3,4.9,5.8,6.8,7.4,8.2,9.2,10.4,11.9,13.2,14.3,15.1,16,16.9,18,19.2,20.6,22.3,24.2,26,27.7,29.4,30.7,32,33,34.6,37.2,40.4,44,47.4,50.6,54.3,58.7,63.7,68.9,73.2,77
"28","21","Government","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"29","22","  General government","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.4,10.2,9.1,8.2,7.4,8,8.9,9.7,10.4,11,11.9,12.7,12.9,13.4,13.9,14.4,15.2,16.1,16.7,17.4,18.3,19.6,21,22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,242.4,259.5
"30","23","    Federal","B995RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,2.1,4.7,7.4,8.7,9.2,8.7,7.5,6.5,5.7,6,6.7,7.5,8.2,8.6,9.1,9.6,9.8,10.1,10.4,10.7,11.3,11.9,12.1,12.4,12.9,13.6,14.4,15.1,15.7,16.1,16.1,16.5,17.5,18.9,20.5,22.1,23.9,25.8,28.7,32.3,35.9,38.9,42.7,46.1,49.5,53,56.8,60.7,64.9,69,71.3,74.2,76.3,77.8,77.9,77.9,78,79.8,82.1,82.8,83.5,85.2,89,94.3,100.5,106.3,113.2
"31","24","    State and local","B986RC1",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.1,1.1,1.2,1.5,1.7,1.7,1.7,2,2.2,2.2,2.2,2.4,2.8,3,3.1,3.3,3.5,3.7,3.9,4.2,4.5,4.9,5.5,6,6.6,7.4,8.4,9.4,10.2,11.3,14.1,15.9,16.6,17.5,18.9,21.1,24.3,27.8,30.3,31.2,32,33.7,36.2,39,41.5,44.4,48,51.1,53.4,56.3,59.5,63.4,66.7,70.2,73.9,78.7,84.7,89.7,93.8,97.6,104.4,114.4,124.2,136.1,146.3
"32","25","  Government enterprises","A266RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.7,17.9,18.8,19.8,21.1,22.4,23.6,24.6,26,27.1,28.6,30.7,32.1,33.7,35.4,38.5,41.9,44.6,48.1,51.4
"33","26","    Federal","B833RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.7,1.8,1.8,2,2.1,2.2,2.3,2.6,2.8,3.1,3.3,3.6,3.8,3.9,4.1,4.6,4.8,5.2,5.6,5.8,5.7,5.7,5.8,6.1,6.1,6.3,6.5
"34","27","    State and local","B846RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.6,4.3,4.6,5,5.6,6.4,7.5,8.5,9.2,9.7,10.3,11,11.7,12.5,13.3,14.2,15.1,15.8,16.5,17.5,18.6,19.7,20.6,21.4,22.3,23.4,25,26.4,28,29.7,32.7,35.7,38.5,41.8,44.8
"35",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Nonfarm business","B1667C1",7,6.8,6.3,5.6,5.3,5.4,5.5,5.6,6.2,6.3,6.3,6.6,7.3,8.2,8.2,8.5,8.7,9.7,12.6,14.8,16,17,19.4,20.5,21.7,22.7,23.9,26.6,29.2,31,32.2,32.6,33.5,34.7,36.1,38,40.8,44.6,48.8,53.6,59.4,65.6,72,78.4,87.8,102.9,121.9,134,150.3,170.6,196.8,227.8,263.2,292.5,304,319.5,342.7,365.9,387.5,416,443.5,469.8,491.2,502.5,524.1,553.1,590.1,623.6,663.4,707.2,762.7,831.7,884.8,917.5,945,989.8,1058.1,1136.6,1203.7,1269.1
