"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","  Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1028.7,1047.3,1023.9
"12","5","  Taxes on corporate income","W025RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.2,426.7,263.3,289.5
"13","6","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14,14.2,15,12.3
"14","7","Contributions for government social insurance","W782RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.7,6.9,7.1,8.1,9.1,10,11.4,11.4,13.9,16.5,17.1,19.2,21.7,22.5,23.5,31.4,35,38.8,44.3,46.6,51.5,59.6,76,85.8,89.9,102,113.9,132.1,153.7,167.2,196.9,210.1,227.2,258.8,282.8,304.9,324.6,363.2,386.9,412.1,432.2,457.1,479.6,510.7,535.5,557.9,590.3,627.8,664.6,709.4,736.9,755.2,782.8,831.7,877.4,926.4,964.2,995.6,972
"15","8","Income receipts on assets","W058RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,2.7,2.9,3.2,3.4,3.7,4.1,4.7,5.5,6.4,7,8.2,9,9.5,11.6,14.4,16.1,16.3,18.4,23.2,30.8,39.9,50.2,58.9,65.3,74.3,84,89.7,85.6,89.9,93.7,98,97,89.6,86.8,86,91.8,99.9,103.6,102.7,106.4,118.8,114.6,99.9,96.8,100.3,111.9,129.6,143.3,144.2,164.3
"16","9","  Interest and miscellaneous receipts \1\","W059RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,2.7,2.9,3.2,3.4,3.7,4.1,4.7,5.5,6.4,7,8.2,9,9.5,11.5,14.3,16,16.3,18.3,23.1,30.7,39.8,50.1,58.7,65.1,74.1,83.8,89.5,85.5,89.7,93.5,97.8,96.7,89.1,86.2,85.3,90.8,98.6,102.1,101.1,104.9,117.4,113.2,98.3,95,98.3,109.6,127,140.6,140.7,142.8
"17","10","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2.1,2.3,2.6,2.7,3.5,21.6
"18","11","Current transfer receipts","W060RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,0.8,0.9,1.1,1.2,1.3,1.6,1.9,2.2,2.5,2.6,2.7,2.9,3.1,3.6,3.9,4.5,5.1,5.8,6.8,8.2,9.4,11.1,12.7,15.3,16.9,19.7,23.4,25.9,27,27.9,32.5,36.3,44.9,50.5,55.3,60,58.4,66.8,69.3,75.3,81.7,92.3,98.9,104.3,108.9,119.3,126.7,136,147.7,166.7,189
"19","12","  From business (net)","W061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.8,0.9,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.8,2,2.4,2.6,2.8,3.4,4.4,5.1,6.1,6.7,8.2,8.8,10.6,12.9,13.9,13.8,13,16,17.9,22.3,24.5,26.7,29.1,25.7,31.8,31.1,35.4,37.6,43.6,46,47.9,48.8,52.5,55.2,59.6,65.4,78.8,96.8
"20","13","  From persons","W062RC1",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.2,66.7,71.4,76.4,82.3,87.9,92.2
"21","14","Current surplus of government enterprises \2\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-6.6,-6.9,-8.1
"22","15","    Current expenditures","W022RC1",8,8.4,9.8,8.8,9.2,10.7,11.2,12.8,12,13.2,14.3,15,19.6,38.4,60.2,74.7,78.7,53.9,48.7,51.9,57.7,59.2,69.7,79.7,85.5,84.4,87.5,92.2,102.4,110.7,115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267,295.2,325.8,356.3,386.5,436.9,510.2,552.2,600.3,656.3,729.9,846.5,966.9,1076.8,1171.7,1261,1370.9,1464,1540.5,1623.6,1741,1879.5,1984,2149,2229.4,2304,2412.5,2505.7,2581.1,2649.3,2761.9,2906,3093.6,3274.7,3458.6,3653.5,3916.4,4147.9,4424,4740.3,4989.3
"23","16","Consumption expenditures","A955RC1",6.5,6.8,6.9,6.6,6.7,7.8,8.1,9,9,9.6,10.3,10.7,15.7,34.2,55.8,68.7,68.9,36.1,31.7,33.5,36.9,36.9,50.4,61.3,66.5,63.6,65.5,68.5,75.3,79.5,80.7,83.3,88.2,96.8,102.7,108.6,115.9,131.8,149.5,165.7,178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2214.9,2386.9,2416.9
"24","17","Current transfer payments","A084RC1",0.8,0.9,2,1.3,1.3,1.4,1.6,2.7,1.7,2.2,2.3,2.4,2.3,2.4,2,2.6,5.5,12.4,12.4,13.7,16,17,13.7,13.2,13.7,15.6,16.9,17.6,20.1,24.2,26.9,28.1,31.9,32.8,34.3,35.1,38,42,50.3,58.4,64.1,77.3,92.2,103,115.2,135.9,171.3,184.3,195.9,210.9,236,281.7,318.1,354.7,382.5,395.3,420.4,446.6,464.4,493.6,538.1,592.4,628.9,756.3,804.6,839.9,882.4,929.2,954.6,978.1,1014.9,1071.5,1169,1280.9,1354.8,1440.1,1534.9,1631,1743.3,1904,2133.7
"25","18","  Government social benefits","W063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.7,28.4,29.1,30.7,31.7,34.4,38,46.3,53.9,59.6,72.5,86.2,95.8,109.8,129.9,165.1,179.8,191.7,205.9,230.1,274.4,311.5,346.5,373.6,384.1,406.7,432.4,451.7,480.4,524.6,578.9,654.5,735.7,782.9,820,867,908.8,937.6,960.1,996.1,1049.2,1150.8,1257.6,1326.1,1409.2,1494,1596.1,1701.1,1859.2,2087.7
"26","19","    To persons","A063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.8,53.3,59,71.7,85.4,94.8,108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,475.9,519.4,572.7,648.2,729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1247.9,1316,1398.6,1482.7,1583.6,1687.8,1843.2,2072
"27","20","    To the rest of the world \3\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.6,11.2,12.4,13.3,16,15.7
"28","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.2,2.2,2.1,1.9,2.2,2,2,2,4,3.5,3.5,3.6,3.6,3.4,3.6,4,4,4.5,4.5,4.8,6,7.2,5.4,6,6.1,4.5,4.2,5,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17,18,18.7,22.3,18.2,23.3,28.6,30.9,40.9,34.9,42.2,44.8,46
"29","22","Interest payments \1\","A180RC1",0.7,0.7,0.9,0.9,1,1.1,1,0.9,1.1,1.1,1.1,1.3,1.3,1.5,2,2.6,3.3,4.2,4.3,4.4,4.5,4.7,4.8,4.9,5,5.2,5.3,5.8,6.3,6.1,7.3,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.2,23.1,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,208.8,216.3,230.8,247.7,272.5,294.2,311.7,312.3,312.7,322.7,353.9,364.6,370.6,371.6,357.9,362,341.5,312.6,298,306.6,342.7,372.2,411,395.9,379.1
"30","23","  To persons and business \1\","A204RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,9.9,10.7,11.6,12.5,13.2,14.5,15.8,18.1,19.4,22,22.6,23.6,27.4,31.3,35.4,41.8,45.3,51.6,61.8,76.4,99.4,119.6,137.9,166.1,185.6,191.7,204.6,216,234.2,253.4,270.9,273.2,273.4,278.5,298.2,298,288.9,287.5,277.4,277.5,263.2,237.6,224.2,224,238.8,237.2,246.6,230.6,242.8
"31","24","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,55.6,66.6,81.7,84.2,80.5,84.5,78.4,74.9,73.8,82.5,103.9,135,164.3,165.3,136.2
"32","25","Subsidies \2\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.8,53.5,59.6
"33","26","Less: Wage accruals less disbursements","A184RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","27","    Net government saving","A922RC1",2.6,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.6,-25.3,-27.3,-3.5,6.7,4.9,-4.1,6.9,12.2,6.7,5.3,1.5,9.2,11.9,7.4,-2.6,7,11.4,6.8,7.7,11,7.3,9.8,10,-2.3,5.1,16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-214.8,-682.7,-1243.8
"35","28","Social insurance funds","A221RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.3,3.2,2.5,1.6,-0.2,2.7,2.7,2.2,1.3,1.6,1.8,1.2,-2.6,-0.7,0.4,-2.3,-0.6,0.9,1.3,0.5,6.1,4.2,3.3,5.9,1.1,-2.8,-0.4,6.2,3.6,-15.8,-15.4,-13.1,-3.2,1.7,-14.5,-13,-33.2,-36.6,-7.9,2.2,7.5,16.7,41.6,45,44.4,27,8.5,7,20,19.7,15.7,30.1,60,94.2,116.3,90.7,51.2,40.9,57.2,56.4,17,-2.7,-53.2,-230
"36","29","Other","A391RC1",2.5,1.5,-1.2,-0.7,-0.6,-1,-0.8,-1.2,0.9,-0.4,-1.1,0.6,2.5,-9.4,-15.9,-29.2,-31.6,-6.8,3.5,2.4,-5.7,7.1,9.5,4,3.1,0.3,7.5,10.1,6.2,0.1,7.7,11,9.2,8.2,10.1,6,9.2,3.9,-6.6,1.7,10.7,-9.5,-19.4,-8.9,-2.3,-8.7,-52.4,-30.9,-19.9,-7,-2.7,-33.4,-36.2,-104.3,-134.7,-139.6,-158.5,-181.4,-154,-162.8,-158.8,-214.6,-251.3,-312.4,-288.2,-232.2,-216.7,-141,-54,20.5,46.4,110.2,-66.2,-358.1,-456.2,-445,-313.5,-169.8,-212.1,-629.5,-1013.9
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Total receipts","W066RC1",10.8,10.2,8.9,8.3,8.8,9.9,10.8,12.4,14.8,14.4,14.7,17.1,24.3,31.8,48.2,50.1,52.2,51.3,56.4,57.8,54.5,66.9,82.9,87.5,92,87.1,97.9,105.8,111.6,109.9,124.8,136.6,141.5,153.2,165.1,169.9,183.9,206.7,221.7,256.2,288.2,291.6,309.4,353.8,397,438.1,448.5,513.2,576.6,653.3,736.5,807.4,926.9,949.4,1008.6,1121.8,1223.6,1300.1,1413.8,1513.6,1639.6,1725,1775.3,1860.9,1965.9,2112.1,2235.5,2403.5,2584.2,2762.2,2939.2,3168.1,3155.6,3000.5,3071.4,3296,3691.6,4028.3,4241,4091.4,3775.7
"39","31","    Current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.2,109.8,108.2,123,134.4,139,150.6,162.2,166.6,180.3,202.8,217.7,252.1,283.5,286.9,303.6,347,390.4,431.8,442.1,505.9,567.3,646.1,728.9,798.7,917.7,939.3,1000.3,1113.5,1214.6,1290.1,1403.2,1502.4,1627.2,1709.3,1759.7,1845.1,1948.2,2091.9,2215.5,2380.4,2557.2,2729.8,2902.5,3132.4,3118.2,2967.9,3043.4,3265.7,3659.3,3995.2,4209.2,4057.6,3745.5
"40","32","    Capital transfer receipts","W067RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.6,1.8,1.7,1.8,2.2,2.5,2.6,2.9,3.3,3.6,3.9,4,4.1,4.6,4.8,5.8,6.8,6.6,6.3,6.4,7.2,9.3,7.2,7.5,8.8,9.3,10.1,8.3,8.4,8.9,10,10.6,11.1,12.4,15.8,15.6,15.8,17.6,20.2,20,23.1,27,32.4,36.7,35.6,37.4,32.6,28,30.3,32.3,33.1,31.8,33.9,30.2
"41","33","  Total expenditures","W068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.7,149.6,161.5,169.1,177.8,189.1,214.7,242.9,268.3,286.7,313.2,340.7,370.7,400.7,453.8,535.2,575.6,622.6,685.2,763.1,883.1,1000.5,1110.7,1210.4,1312.2,1439.1,1538.6,1622.1,1700.2,1821.3,1976.9,2076.7,2234,2304.1,2374.4,2480.1,2583.2,2658,2735.2,2874.8,3021.5,3220.8,3422.9,3624.6,3827,4109.9,4319.8,4636,5025,5349.8
"42","34","    Current expenditures","W022RC1",8,8.4,9.8,8.8,9.2,10.7,11.2,12.8,12,13.2,14.3,15,19.6,38.4,60.2,74.7,78.7,53.9,48.7,51.9,57.7,59.2,69.7,79.7,85.5,84.4,87.5,92.2,102.4,110.7,115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267,295.2,325.8,356.3,386.5,436.9,510.2,552.2,600.3,656.3,729.9,846.5,966.9,1076.8,1171.7,1261,1370.9,1464,1540.5,1623.6,1741,1879.5,1984,2149,2229.4,2304,2412.5,2505.7,2581.1,2649.3,2761.9,2906,3093.6,3274.7,3458.6,3653.5,3916.4,4147.9,4424,4740.3,4989.3
