"","Table 6#18D# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"79","72","    Hospitals and nursing and residential care facilities","N3175C0",1125,1134,971,899,1449,943,1505,1756,2398,NA,NA
"80","73","    Social assistance","N3176C0",177,180,261,389,462,756,879,987,1216,NA,NA
"81","74","  Arts, entertainment, and recreation","N3177C0",591,472,436,172,168,337,566,844,1466,814,324
"82","75","    Performing arts, spectator sports, museums, and related activities","N3178C0",322,217,175,104,105,207,301,456,1001,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3179C0",268,255,261,68,63,130,265,387,465,NA,NA
"84","77","  Accommodation and food services","N3180C0",2418,2800,2800,2084,1967,2214,3224,5446,5447,5423,2588
"85","78","    Accommodation","N3181C0",954,1074,1081,611,687,626,1415,2243,1866,NA,NA
"86","79","    Food services and drinking places","N3182C0",1464,1726,1719,1473,1280,1588,1808,3204,3581,NA,NA
"87","80","  Other services, except government","N3183C0",959,768,793,637,613,826,891,1083,1312,1165,522
"88","81","Rest of the world","B3174C0",0,0,0,0,0,0,0,0,0,0,0
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
