"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","4","Equals: Gross national product","A001RL1",-8.6,-6.6,-13.1,-1.4,10.7,8.9,12.9,5.2,-3.4,8.1,8.6,17.1,18.4,16.3,8.1,-1.2,-10.8,-0.8,4.5,-0.6,8.7,7.8,3.8,4.5,-0.6,7.2,2,2,-1,7.1,2.5,2.4,6.1,4.4,5.8,6.4,6.4,2.5,4.9,3.1,0.2,3.4,5.3,6,-0.4,-0.5,5.5,4.7,5.5,3.4,-0.3,2.4,-1.9,4.4,7.1,3.8,3.2,3.2,4.2,3.6,2,-0.3,3.4,2.8,3.9,2.6,3.7,4.3,4.3,4.9,4.2,1.2,1.8,2.6,3.7,3.1,2.4,2.4,0.6,-2.7
"12","5","Less: Consumption of fixed capital","A262RL1",2.3,-0.1,-2.5,-2.7,-2,0.2,1.6,3.1,1.6,1.2,2.4,5.9,11.9,16.9,16.7,8.9,1,-2.1,-0.8,0.5,1.5,3.6,4.8,5.3,4.6,3.8,3.6,3.3,3.7,2.1,2,2.8,3.4,3.9,4.1,5,5.7,5.4,5,4.9,4.1,3.3,3.7,5.3,4.6,3.5,3.2,3.9,4.6,5.1,4.6,4,4.1,3.3,4.2,5.5,4.8,4.7,4.2,4.2,4,3.1,2.8,3.4,3.9,4.5,5,5.7,6.6,7,6.9,5.3,3.6,3,3.3,3.6,3.7,3.9,3.3,1.3
"13","6","        Private","A024RL1",1.9,-0.8,-3.3,-3.4,-2.8,-0.5,0.9,2.8,0.9,0.4,1.8,3.1,0.2,-3,-1.7,0.6,5.8,8.7,7.6,5.9,5.3,4.9,3.5,4,3.9,4.2,4.2,3.8,4.4,1.8,1.4,2.7,3.1,4,4.5,5.9,6.6,6,5.5,5.7,5,4.5,5.2,7,5.7,4,3.6,4.5,5.2,5.8,5,4.3,4.3,3.2,4,5.4,4.5,4.4,4,4.1,3.8,2.9,2.7,3.6,4.5,5.2,5.8,6.6,7.5,7.9,7.7,5.9,3.9,3,3.3,3.7,3.9,4,3.3,0.9
"14","7","        Government","A264RL1",5.2,5.4,4.6,3,3.5,4.8,5.9,5,5.6,5.6,6,20.6,64.1,74.5,48.4,19.2,-4.2,-14.6,-13.8,-10.2,-7.5,-0.1,8.6,8.9,6.3,2.8,1.9,1.9,1.8,3.1,3.6,3.1,4,3.8,3.3,2.7,3.2,4,3.5,2.2,1.3,-0.3,-0.9,-0.3,0.7,1.5,1.8,1.8,1.8,2.3,2.8,2.9,3.1,3.7,4.8,5.8,6.1,5.7,4.9,4.6,4.6,4,3.2,2.5,1.7,1.5,1.7,1.9,2.3,3,2.9,2.5,2.4,2.5,3,2.7,2.7,3.1,3.3,3.5
"15","8","          General government","A265RL1",4.8,5,4.2,2.9,3.7,5.4,6.3,4.9,5.6,5.7,6.2,23.6,73.7,81.1,50.9,20,-4.3,-15.2,-14.5,-11,-8.3,-0.4,8.8,9.3,6.4,2.7,1.7,1.7,1.6,3,3.4,2.9,3.9,3.7,3.1,2.4,3,3.9,3.3,1.9,0.9,-0.8,-1.5,-1,0.1,1,1.5,1.5,1.6,2,2.6,2.7,2.9,3.7,4.9,6.1,6.4,6,5.1,4.8,4.8,4,3.1,2.2,1.5,1.3,1.5,1.8,2.2,2.8,2.8,2.4,2.3,2.3,2.8,2.7,3,3.2,3.5,3.9
"16","9","          Government enterprises","A266RL1",8.1,7.7,6.7,3.7,2.6,2,3.9,5.1,5.4,5,5.3,4.4,2.3,0.5,-0.1,-1,0.4,1.2,3.6,3.9,5.4,4.8,6.1,4.4,4.7,4.3,4.6,4.8,4.6,5.5,6,5.9,5.6,5.1,5.5,5.5,5.5,5.5,5.8,5.7,5.1,4.6,5,5.4,5.2,4.6,4,3.3,3.3,3.9,4.3,4.2,4.1,3.8,4,4.4,4.3,3.9,3.8,3.8,3.9,4,4.1,4,3.2,2.8,2.8,2.3,3.1,4,3.7,3,3,3.8,4,3,1.7,2.5,2,1.8
"17","10","Equals: Net national product","A027RL1",-9.7,-7.3,-14.5,-1.2,12.7,10.1,14.3,5.5,-3.9,8.9,9.3,18.3,19,16.2,7.3,-2.1,-12,-0.6,5.1,-0.7,9.6,8.3,3.7,4.5,-1.2,7.6,1.8,1.9,-1.6,7.8,2.6,2.3,6.4,4.4,6,6.6,6.5,2.2,4.9,2.9,-0.2,3.4,5.5,6.1,-1,-0.9,5.8,4.8,5.6,3.2,-0.9,2.1,-2.7,4.6,7.5,3.6,3,3,4.2,3.5,1.7,-0.8,3.4,2.8,3.9,2.3,3.6,4.2,4,4.7,3.9,0.7,1.5,2.6,3.8,3,2.3,2.2,0.2,-3.3
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RL1",-7.5,-7.8,-12.6,-1.8,11.3,9.9,11.1,6.7,-4.2,7.4,9.1,18,19.4,16.8,5.9,-1.7,-9.8,-1.3,5.6,-1.4,9,7.1,4.1,4.3,-0.4,7.5,3,1.6,-1.1,7.3,2.8,2.3,5.9,4.6,5.5,6.3,5.9,2.8,4.9,3.3,-0.2,3,5.6,5.9,-0.6,-0.6,5.1,4.9,5.5,2.4,-0.1,3,-0.9,3.2,7.8,3.9,2.9,4.1,5,2.3,1.4,-0.1,3,2.5,4.6,3.4,4.1,5,5.2,4.6,4.7,0.7,1,2.1,3.8,3.6,3.7,0.6,-0.4,-3.2
"20","12","  Gross national income \2\","A023RL1",-7.5,-7.9,-12.7,-1.8,11.1,9.9,11,6.8,-4.2,7.4,9,18.1,19.3,16.7,5.9,-1.7,-9.7,-1.1,5.7,-1.4,9,7.2,4.1,4.3,-0.4,7.5,3,1.6,-1.2,7.3,2.8,2.3,5.9,4.6,5.5,6.3,5.8,2.8,4.9,3.3,-0.2,3.1,5.6,6.2,-0.5,-0.8,5.2,4.9,5.4,2.7,-0.1,2.8,-0.9,3.1,7.7,3.6,2.7,4,5.1,2.3,1.6,-0.2,2.9,2.5,4.5,3.4,4.1,4.9,5.1,4.7,4.8,0.9,1,2.3,4,3.6,3.5,0.9,-0.2,-3.4
"21","13","  Net domestic product","A362RL1",-9.7,-7.2,-14.4,-1.1,12.8,10,14.4,5.3,-4,8.9,9.5,18.3,19.1,16.3,7.3,-2.1,-12.2,-0.8,5,-0.6,9.6,8.2,3.7,4.5,-1.2,7.6,1.8,1.9,-1.5,7.8,2.5,2.3,6.4,4.4,6,6.6,6.6,2.2,4.8,2.9,-0.2,3.4,5.5,5.8,-1.1,-0.7,5.6,4.7,5.7,2.9,-0.9,2.3,-2.8,4.7,7.6,4,3.3,3,4.1,3.5,1.6,-0.7,3.5,2.8,4.1,2.3,3.6,4.3,4.1,4.5,3.8,0.5,1.6,2.4,3.6,3,2.5,1.9,0,-3
"22","14","  Net domestic income \3\","W256RL1",-8.5,-8.7,-14,-1.6,13.3,11.2,12.2,7.1,-4.9,8.2,9.9,19.3,20.1,16.8,4.9,-2.7,-11,-1.2,6.4,-1.6,9.9,7.5,4.1,4.2,-1,7.9,2.9,1.4,-1.7,8,2.9,2.2,6.2,4.6,5.7,6.5,5.9,2.5,4.9,3.1,-0.7,3,5.8,6,-1.2,-1.1,5.3,5,5.6,2,-0.7,2.9,-1.7,3.2,8.4,3.7,2.7,4,5.1,2.1,1.1,-0.5,3,2.4,4.7,3.2,4,4.9,5,4.3,4.5,0.1,0.7,2,3.9,3.6,3.7,0.1,-0.9,-3.9
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
