"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","4","        Structures","A760RL1",21.4,4,-12.4,-22.7,14.1,4.6,49.6,-12.9,9.7,9.5,-4.6,53.9,66.3,-46.4,-51.7,-23.9,-40.7,50.9,38.6,38.3,15.2,18.8,12.7,5.3,7,-0.9,1.9,6.1,12.1,1.9,-0.3,8.3,1.4,5.4,4.3,5.8,5.4,2.2,3,-5.5,-7.4,-1,-4.6,-0.2,-0.9,-0.5,-1.5,-5.2,9.8,2,0.5,-8.6,-8.1,-0.1,9.2,9.8,6.4,3.3,0.6,0.1,6.9,2.3,1.7,-1.6,-0.3,3.6,4.1,4.6,-0.1,5.9,3.2,4.9,4.7,1.1,-2.6,-4.8,0.5,3.2,-0.1,1.9
"12","5","        Equipment and software","A871RL1",-6.1,16.4,-11.1,3.1,73,13.1,-10.7,9.3,21.1,8.7,5.3,526.3,308.4,99.7,11.9,-29.5,-92.4,-20.7,41.5,37.7,-19.8,170.9,36.9,13.1,-17.3,-17,-2,-4.5,4.1,22.6,-6.5,12.6,8.8,-7.4,-1.7,-5.5,14.5,10,-11.1,-8.8,-5.9,-30.5,-12.7,12.1,21.7,7.9,8.4,1.8,3.8,14.8,7.6,7.5,10.2,18.3,16,18,12,8.3,-1.8,8.4,6,-1.6,0,-6.1,-3.5,0.8,3.3,0,9.4,9.8,3.4,3.4,6.9,4.8,7.4,6.6,8.1,3.2,10.1,1.8
"13","6","Federal","A823RL1",10.8,3.4,2.3,23.7,34.2,1.8,51,-10,10.4,7.2,12,163.9,207.2,58.2,14.1,-14.1,-73.1,-26.1,7.9,9.7,-5.5,66,30.1,8.1,-13.1,-9,-1.7,3.6,0,3.1,-2.7,4.2,8.5,0.1,-1.3,0,11.1,10,0.8,-3.4,-7.4,-7.7,-4.1,-4.2,0.9,0.3,0,2.1,2.5,2.4,4.7,4.8,3.9,6.6,3.1,7.8,5.7,3.6,-1.6,1.6,2,-0.2,-1.8,-3.9,-3.8,-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.3,7.7,5.2
"14","7","    Consumption expenditures","A957RL1",6.6,-2.6,-3.8,17.2,34.3,-8.4,76.9,-11.6,13.7,11.2,5.1,88,197.5,75.5,24.3,-5.4,-66.3,-26.7,3.3,5.2,-4.6,50.8,27.8,7.6,-11.6,-5.8,-1.7,5.4,-1.9,-0.4,-1.5,1.9,9.5,2.6,-0.6,1.3,11,11.4,3.4,-2.2,-7.3,-5,-2.8,-5.7,-0.9,-0.8,-1.2,2,2,1.4,4.3,4.4,3.4,4.9,1.3,5.9,4.3,2.3,-0.4,1.5,1.5,0.2,-2.2,-3.2,-2.8,-2.9,-1.8,0.1,-2.1,1.3,1,4.3,6.7,6.6,3.9,0.8,1.4,0.8,6.7,4.9
"15","8","    Gross investment","A787RL1",44.6,41.4,31.9,47.1,33.9,28.9,0.9,-4.2,-0.1,-7.3,40.8,385.4,217.8,40.8,0.8,-29.9,-92.5,-18.2,61,42.1,-10.1,149.3,37.8,9.5,-17.8,-20,-1.8,-3.5,8,16.8,-6.8,12.3,5.4,-8.4,-4,-5.5,11.5,3.5,-12.4,-10.9,-8.1,-25.9,-15.2,9,15,8.6,8.5,3,5.5,8.4,7.2,6.7,6.5,16.3,12.5,17.1,11.8,9.3,-7.2,2,4.5,-2.2,0.2,-7.6,-9.1,-1.2,2.2,-7.2,5,5.7,-2.5,2.6,11.6,6.5,5.6,4.7,7.2,4.7,14,7.1
"16","9","      Structures","A801RL1",41.7,42.5,44.5,41.1,7.4,32.5,6.7,-5,-8.3,-12.1,50.1,234.7,121.1,-46.1,-55.7,-33.3,-86,36.5,101.7,37,17.1,70.5,34.9,-0.2,-15,-25.1,2.7,6.9,16.2,-0.4,-2.6,8.5,-4.6,-4.6,-5.1,0,1.1,-19.5,-7.4,-6.5,-7.4,16.6,-2.3,3.7,-5,1.3,0.1,2.6,11,-9.1,5.6,-2.4,-7.7,5.3,0.5,10.5,7.5,9.1,-17.7,-11.7,2.9,-4.5,10.9,3.5,-6.8,5.2,-2.4,-10.6,0.6,-6.4,-18.5,-5.1,14.6,8.6,-13,-11.3,3.7,16,10.3,21.6
"17","10","      Equipment and software","A872RL1",61.5,36.3,-28.4,104.3,227.5,20.4,-14.1,-1,30.2,5.5,20.7,765.4,321.8,100.8,11.9,-29.6,-93.1,-28.7,45.5,44.8,-23.2,205.9,39,13.5,-18.8,-18.1,-3.3,-7.2,4.7,24.4,-8.3,13.7,9,-9.6,-3.6,-7.4,15.3,11,-13.6,-12.1,-8.3,-38.6,-22.5,12.3,28.1,12.3,12.5,3.2,3.1,16.7,7.9,10.3,11.4,19.5,15.6,18.6,12.7,9.4,-4.7,5.1,4.9,-1.8,-1.8,-10,-9.7,-2.9,3.6,-6.2,6.2,9.1,1.5,4.2,11,6,9.9,7.8,7.9,2.7,14.8,4.2
"18","11","  National defense","A824RL1",7.3,0.3,0.4,-3.1,-11.5,22.1,19.1,0.7,4.4,10.1,74.9,440.8,265.3,62.9,14.1,-13.9,-76.1,-32.6,0.9,5,-1.3,93.1,32.9,6.4,-14.3,-9.6,-0.7,4.2,-0.5,-2,-1.6,4.4,6,-2.4,-4,-2.1,14.3,13.1,1.6,-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.8,5.4
"19","12","    Consumption expenditures","A997RL1",4.3,-3.1,1.5,-6,-14.5,27.5,4.7,-2.8,6.5,12.2,55.2,306.2,264.5,84,23.6,-4.3,-69.8,-31.7,-4.4,0.1,2.2,70.2,29.3,4.5,-12.9,-6.5,0.2,6.8,-2.2,-7.6,1.2,2.5,6.9,1.1,-2.6,0.3,14.1,13.1,4.3,-3.9,-9.1,-7.8,-6.1,-7.2,-3.2,-2.5,-1.7,1,1.1,1.3,3.9,5.7,6.7,5.3,3.1,6,4.6,3.7,1.1,-0.7,-0.7,-0.1,-5.2,-3.9,-4.5,-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.6,6.5,4.9
"20","13","    Gross investment","A788RL1",81.3,54.3,-11.6,33,14,-11.5,147.8,13.6,-1.8,3.3,141.9,712.9,266,42.6,1.9,-30.8,-94,-46.1,94.3,46.2,-21.3,255.2,44.7,12.1,-18.5,-19.2,-4.3,-5.2,6.6,19.2,-9.9,10.9,3.5,-13.7,-9.2,-12.6,15.5,12.9,-12.3,-11.4,-9,-36.3,-25.3,12.7,22,11,9,2,-0.6,14.3,7,10.2,12.5,17.3,14.2,20.4,14.6,9.2,-7.5,0.6,3,-5.8,-3.8,-12.2,-7.3,-4.5,-0.9,-10.6,1.6,3.7,2.1,4.9,13.1,9.5,8.9,4.4,7,6.2,16.7,8.4
"21","14","      Structures","A808RL1",68.2,51.2,0.3,2.7,36.4,-16,181.8,19.1,-11.7,-13,230.2,447.1,143.8,-47.5,-56,-34.2,-84.7,-56.9,123.4,-1.2,29,280.7,58,1.7,-15.6,-23.1,-6.8,2.3,11.5,-3.4,-11.6,6.4,-17.3,-18.2,-23.3,-11.1,5.2,-8.1,-2.4,7.4,-17.8,25.9,-9.8,-1.7,-8.5,-2.8,-11.6,1,1.3,-15.1,16.6,-4.7,17.9,18.7,-3.1,22.2,8.7,7.8,-7.5,-19.6,-7.1,-26.2,10.4,-3.3,4.1,11.4,-8.6,-5.7,-7.2,-11.2,-4,-5,6.9,21.3,-7.7,-4.5,0,22.7,20.4,29.3
"22","15","      Equipment and software","A873RL1",107.1,59.7,-28.5,91,-11.5,-3.5,96.6,1.6,22.9,31.7,36.7,1482.2,408.4,104.3,12.7,-30.6,-94.8,-43.2,88.6,57.1,-28.2,248.9,40.9,15.5,-19.4,-18,-3.6,-7.1,5.2,25.9,-9.5,11.9,7.7,-13,-7.1,-12.8,16.9,15.4,-13.3,-13.6,-7.7,-44.9,-30.3,17.7,32.3,14.4,13.4,2.2,-0.9,19.4,5.7,12.4,11.8,17.2,16.5,20.2,15.3,9.4,-7.5,3.5,4.2,-3.7,-4.9,-13.1,-8.6,-6.5,0.3,-11.3,3,5.9,2.9,6.1,13.8,8.1,11.1,5.4,7.8,4.3,16.2,5.4
"23","16","  Nondefense","A825RL1",14.7,6.7,4.2,50.2,62.1,-5,64.5,-13.1,12.5,6.3,-8.5,-11,-20.2,-21.3,13.5,-23.1,43.8,17,37,24,-16,-15,12.1,20.8,-4.8,-5.7,-7.8,-0.8,3.1,36,-7.9,3,20.7,10.7,8.7,6.8,1,-0.9,-2.4,2.7,-1.1,4.7,7.1,-0.6,5.2,3.4,1,4.3,6.2,1.1,5.6,1.3,-4.8,5.2,-1.9,5.9,3.4,-0.1,-5.3,8.3,8.2,2.3,6.6,-0.7,-1.4,-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.6,7.3,4.8
"24","17","    Consumption expenditures","A542RL1",9.6,-1.9,-10.6,50.3,76.6,-23.6,126.3,-14.3,16.1,10.9,-10.3,-28.5,-14,-26.8,48.4,-37,76.1,7.8,40.5,21.9,-22.4,-16.5,17.5,30.4,-3.8,-1.8,-12.2,-3.1,-0.1,44.6,-12.3,-1,21.8,8.9,7,4.6,0.5,4.6,0.1,5.2,-0.3,4.7,7.6,-1.2,5.6,3.3,-0.1,4.2,4.1,1.7,5.2,1.6,-4.4,3.7,-3.6,5.7,3.6,-2,-5.1,8.7,8.1,1.1,5.9,-1.4,0.9,-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-0.9,7.2,4.8
"25","18","    Gross investment","A798RL1",36.3,37.6,46.8,50,37.4,34.8,-13,-9.1,0.5,-11,-0.2,55.8,-30.2,-9,-44.3,36.4,-38.7,98.9,21.9,34.2,13.6,-10.3,-2.9,-12.3,-9.8,-28.4,27.6,11.6,18.6,0.1,17.9,21,16.7,17.6,14.7,14.2,2.8,-18.8,-12.5,-9.2,-5.3,4.8,3.7,2.8,3,3.9,7.3,5.1,18.4,-2.4,7.8,-0.3,-7.1,13.5,7.4,6.8,2.4,9.7,-6.5,6.7,9.2,8.2,10.4,2.8,-12.7,5.8,8.3,-1.2,10.3,8.7,-9,-1,9,1.2,-0.4,5.3,7.8,1.6,8.3,4.3
"26","19","      Structures","A830RL1",37.2,40.7,54.2,46.5,4.6,38.8,-6.9,-10.7,-7.2,-11.9,-3.7,4.1,-23.9,-13,-51.2,-22.4,-102.1,7149,91.5,57.7,13.1,-13.4,-6.7,-5.6,-13,-31.3,35.4,17.9,25.8,5.2,12.7,11.3,11.4,8,7.8,5.5,-0.5,-24.6,-10.2,-15.1,0.7,10.5,3.3,7.5,-2.6,3.9,6.7,3.3,15.6,-6.6,1.2,-1.3,-18.1,-2.6,3.1,2.3,6.6,10.3,-26.3,-2.9,12,12,11.2,7,-12,1.7,1.4,-13.4,5.3,-3.8,-25.8,-5.1,19.6,1.1,-16.7,-16.6,7,10.4,0.9,13.3
"27","20","      Equipment and software","B880RL1",28.7,9,-28.3,124.2,556.8,25,-30,-2.1,34.2,-8.3,9.5,170.1,-35,-5.5,-38.6,76,-15.7,17.9,-26.5,-9.4,15.2,-1.3,7.4,-28.5,1.2,-20.1,7.4,-10.2,-13.4,-28.8,56,70.4,34.3,43.6,28.1,28.7,7.7,-10.9,-15.2,-2,-11.7,-2.2,4.2,-4.4,12.8,3.8,8.3,8.1,23,4.9,18.3,1.2,9.5,32.1,11.2,10.5,-0.8,9.3,10.9,12.4,7.7,6.2,9.8,0.3,-13.3,8.8,13,6.8,13.1,15.6,-0.9,0.6,5.1,1.2,7.1,13.7,8.1,-1.3,11.1,1
"28","21","State and local","A829RL1",10.1,4.3,-4.7,-10.4,5.1,3.2,0.6,0,5.9,9.9,-3.3,-6.3,-9.3,-9.1,-3.6,3.5,10,13.8,6.4,15.2,8.2,0.8,1.7,4.9,8.7,7.2,3.2,5.9,8.5,3.8,4.4,6.2,3.1,6,6.8,6.7,6.3,5.1,5.9,3.4,2.8,3.1,2.2,2.9,3.8,3.7,0.7,0.4,3.3,1.5,-0.1,-2,0,1.2,3.6,6.2,6.4,1.4,3.7,3.7,4.1,2.1,2.2,1.5,2.6,2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,2,0.5,-0.2
"29","22","  Consumption expenditures","A991RL1",6.5,5.8,1.5,-1.6,2.5,6.1,-18.6,8.4,0.6,6.2,5.8,3.6,2.4,-0.9,-2,2.4,3.1,6.7,1.1,8.9,6.2,-0.3,1.4,3.4,4.2,6.6,3.6,5.3,7.8,4.2,5.7,5.5,2.9,4.9,6.6,6.6,6.1,4.6,6.5,6.3,6,4.9,3.8,3.5,4.6,4.9,1.4,1.9,2,0.7,-0.2,-0.4,1.5,1.1,1.9,5.2,6.3,1.2,3.4,3.3,3.2,2,2.3,2,2.5,2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.8,0.7,-0.2
"30","23","  Gross investment","A799RL1",17,1.7,-18,-34.3,14.8,-5.9,67.4,-13.5,16.5,16.3,-18,-26.7,-41.2,-47,-17.8,15.9,79.2,53.6,26.7,35.1,13.5,3.5,2.4,8.7,19.4,8.6,2.4,7.2,9.9,2.9,1.3,7.8,3.6,8.8,7.2,7.1,6.7,6.2,4.5,-4.2,-6.3,-2.8,-3.3,0.6,0.9,-0.9,-1.8,-6,9,5,0.5,-8.5,-6.2,1.3,12.2,10.8,6.8,2.6,5.2,5.4,7.9,2.3,1.4,-1,2.9,4.4,4.6,7.6,2.9,8.1,5.5,4.9,3.5,1,-0.9,-2.8,1.7,2.6,-0.6,-0.3
"31","24","    Structures","A842RL1",20,0.9,-19.1,-36.1,17.1,-6.4,74,-15.7,17.1,16.5,-18.1,-26.9,-42.6,-48.9,-19.9,18.7,81.7,54.1,26.8,38.7,14.6,3.4,1.9,8.9,20.2,9.6,1.6,5.9,10.9,2.6,0.4,8.3,3.3,8.3,6.7,7,6.3,6.4,4.5,-5.3,-7.4,-3.3,-4.9,-0.8,-0.2,-0.8,-1.8,-6.6,9.5,4.3,-0.5,-9.8,-8.2,-1.1,11.1,9.7,6.2,2.2,4.4,2.1,7.5,3.3,0.4,-2.3,0.8,3.4,5.1,6.7,-0.1,7.3,5.4,5.7,4,0.5,-1.7,-4.4,0.3,2.4,-0.9,0.3
"32","25","    Equipment and software","B881RL1",-14.1,12.1,-6.4,-17.8,-5,-0.4,-2.9,28.5,8.9,13.9,-17.8,-24.7,-23.4,-25.8,-1.2,-1.6,61.1,49.9,25.9,5.3,1.7,4,7.9,6.1,11.1,-2.8,12.4,22.7,0,7,12.5,3.2,6.9,14.6,13.3,7.2,10.4,4.1,4.4,7.9,4.2,1.2,11.6,11.8,9,-1.7,-1.7,-2.1,5.9,9.5,6.7,-0.7,6.1,13.8,17.5,15.8,9.4,4.4,8.2,18.6,9.2,-1.1,4.8,3.4,10,7.6,2.9,10.5,14,10.9,5.9,2.2,1.2,2.9,3.1,4.5,8.6,4.1,1.1,-3.3
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
