"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"13","6","  Taxes on production and imports","W7735C1",12.5,13.5,14.4,15.4,16.4,17.7,19.6,21.7,23.3,26.7,29.9,32.7,36.3,40.7,44.7,48.4,51.8,57.7,63.4,70.3,77.1,83.4,92.7,97,106.8,119.7,129,134.9,144.3,155.2,163.5,175.4,180.8,195.9,206.3,220.8,231.3,245,255.4,268.8,283,294.8,300.1,308.6,328.6,351.1,377.1
"14","7","    Sales taxes","W736RC1",10,10.8,11.6,12.6,13.4,14.5,16.1,18,19.4,22.8,25.7,28.2,31.4,35.2,38.8,42,44.7,49.9,55,60.8,65.7,70,76.5,80.3,90,100.9,109,115.8,124.6,135.1,142.3,152.5,157.5,169.7,179.4,191.7,200.5,211.8,221.3,233.3,245.9,255.5,259.6,267.3,281.8,299.9,319.1
"15","8","    Property taxes","W737RC1",0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.2,1.1,1.4,1.5,1.5,1.9,2.3,2.6,2.7,2.8,3,3.4,3.5,3.6,3.7,3.8,4.3,4.6,4.9,6.1,5.9,7,7.2,8.2,8.1,8.5,9.1,7.8,7.9,7.6,9.3,8,8.5
"16","9","    Other","W738RC1",2,2.2,2.3,2.3,2.4,2.6,2.8,3,3.1,3.2,3.3,3.6,3.9,4.4,4.7,5.3,5.6,6.3,6.9,7.6,9,10.8,13.6,13.9,13.8,15.5,16.5,15.6,16,16.3,17,18.3,18.3,20.1,21,22.1,23.6,25,26,27,27.9,31.6,32.6,33.6,37.5,43.2,49.5
"17","10","  Taxes on corporate income","W739RC1",1.1,1.2,1.3,1.5,1.6,1.8,1.9,2.2,2.5,3.1,3.4,3.5,4,5,5.7,6.3,6.9,9.1,10.8,11.5,12.9,13.7,14.5,13.1,14.9,17.4,18.7,20.8,21.8,23.8,22.2,20.4,21.5,22.1,24.3,27.3,29.1,30,30.8,31.6,32.5,32.3,27.2,29,31.8,38.7,52.1
"18","11","Contributions for government social insurance","W740RC1",0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,11,13.6,15.8,19.8,24.2,25.3
"19","12","Income receipts on assets","W741RC1",0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.7,2.1,2.5,2.7,2.9,3.9,5,5.6,5.3,6.1,7.4,10.3,13.4,15.6,17.5,19.5,22.4,25.9,27.3,28.2,30.5,32.4,33.9,34.4,33.9,32.6,33.8,36.6,39.2,41.6,43.1,46.7,48.7,46.6,42.4,41.6,42.3,43.6
"20","13","  Interest receipts","W742RC1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.8,1.4,1.8,2.2,2.3,2.5,3.3,4.4,5,4.7,5.4,6.7,9.2,11.2,13.2,15.3,17.2,19.8,23.1,24.5,25.5,27.7,29.8,31.3,31.4,30.7,29.5,30.5,33.1,35.1,37.4,39,42.4,43.2,41,36.7,34.9,34.9,35.7
"21","14","  Dividends","W743RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.7,1.8,1.9,2,2,2.2,2.4,2.4
"22","15","  Rents and royalties","W744RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,1.1,2,2.2,2.1,2.2,2.5,2.6,2.7,2.6,2.7,2.4,2.3,2.6,2.7,2.5,2.5,2.6,2.7,2.7,2.4,2.6,3.6,3.7,3.7,4.5,4.9,5.5
"23","16","Current transfer receipts","W745RC1",3.8,3.9,4.4,4.9,5.4,5.9,6.7,9.6,11.1,12.6,14.6,17.6,21,27.6,27.9,30,36.9,40.8,44.6,49.5,52.4,59.2,62.8,61.9,66,72.1,76.9,86.7,85.8,93.9,104.6,119.5,144.2,165.4,180.9,191.7,200.4,206.8,217.5,231.3,250,273.4,304.2,334.3,356.2,377.7,389.5
"24","17","  Federal grants-in-aid","W746RC1",3.4,3.5,4,4.4,4.9,5.4,6.1,8.9,10.3,11.6,13.3,16.2,19.4,25.8,25.8,27.6,33.9,37.1,40.6,45.2,48.3,54.7,57.7,56,58.6,63.3,67.3,74.5,74.9,82.1,91.5,104.7,124.6,141.8,155.8,164.9,173,177.7,184.5,194.9,212.5,227.4,254.3,280.6,301.9,321.7,330.5
"25","18","  Local government grants-in-aid","W747RC1",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.3,1.7,2.3,2.4,2.5,2.2,2.3,2.7,3.1,4.2,5,5.2,5.3,5.5,5.6,5.8,6.2,7.6,9,10.1,11,11.1,12,13.5,13.3,12.9,14,14.9,15.5,16.2,16.6,17.4
"26","19","  From business (net)","W748RC1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,2.8,0.9,1.1,1.3,1.6,2,2.6,2.9,3.4,4.1,5,6.6,9.8,9.9,14.7,15.5,16.3,15.6,15.6,16.4
"27","20","  From persons","W749RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.8,1,1.2,1.4,1.5,1.6,1.7,2,2.3,2.6,3,3.6,4.1,4.5,5.2,5.9,6.9,10,12.1,12.1,12.4,12.2,12,13,13.2,14.7,17.3,19.5,21.9,22.5,23.7,25.3
"28","21","Current surplus of government enterprises","W750RC1",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1,1.2,1.3,1.4,1.6,1.7,1.7,1.7,2.1,2.8,3.6,4.6,5.1,5.5,6.5,7.3,7.7,8,8.7,9.3,9.9,10.8,11.7,12.1,12,11.7,10.8,10.3,9.9,10.2,10.6,10.6
"29","22","    Current expenditures","W751RC1",20.8,22.6,24.5,26.6,28.9,31.4,35.1,40.2,46.4,53.6,61.4,71.3,81.1,90.6,101.2,114.3,132.3,145.1,157.4,171.8,191.9,216.5,238.7,255.9,273.7,297.3,326,350.2,375.2,404.6,437.7,479.6,528.4,570.4,604.3,639.5,672.6,699.4,729.1,773.5,837.6,898.7,977.4,1029.3,1069,1130.2,1191.2
"30","23","Consumption expenditures","W752RC1",8.6,9.3,9.9,10.7,11.6,12.5,13.9,15.6,17.9,20.2,23.2,26.7,29.8,32.5,36.5,43.6,51,55.6,60.6,64.7,72,81.2,89.8,96.6,102.6,110.2,121.2,131.3,138.2,148.8,158.1,171.4,179,186.1,195.9,206.5,215.2,221.2,232.1,249,273.3,291.5,309,326.2,328.3,339.1,359.6
"31","24","Current transfer payments","W753RC1",11.3,12.3,13.5,14.7,16.1,17.5,19.8,23,26.8,31.5,36.2,42.1,48.3,54.3,60.5,65.8,75.6,83.1,89.8,99.3,110.8,125,137.2,145.4,154.9,168.5,185.1,200.3,215.2,232.6,253.9,280.4,319.5,354.3,379.5,403.2,426.3,444.8,461.9,488.5,527.5,568.1,618.8,659.2,697,745.1,784.2
"32","25","  Government social benefit payments to persons","W754RC1",3.6,3.8,4.1,4.4,4.7,5.1,5.5,6.4,7.7,9.5,10.8,12.9,15.3,17.5,19.4,19.9,24.2,26.9,29.1,32,35.4,41.3,46.7,51,55.9,59.8,65.2,71.4,77.4,84.4,94.4,111,137.6,159.5,173.6,184.4,194.8,202.5,206.8,214.6,230.3,248.7,281.3,306.6,325.7,354.3,372.6
"33","26","  Grants-in-aid to local governments","W755RC1",7.7,8.6,9.4,10.3,11.3,12.4,14.3,16.7,19.1,22,25.4,29.2,33,36.9,41.1,45.9,51.4,56.2,60.7,67.3,75.4,83.8,90.4,94.5,99,108.7,120,128.9,137.8,148.1,159.5,169.4,181.9,194.8,206,218.9,231.6,242.4,255.1,273.9,297.2,319.4,337.5,352.6,371.4,390.8,411.6
"34","27","Interest payments","W756RC1",0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,1.8,2.2,2.8,3.2,3.6,4.1,4.7,5.3,5.8,6.3,7.3,8.2,9.4,11.3,13.5,15.5,16.3,15,17.6,18.4,20.6,22.3,24.1,24,22.9,23.5,24.3,25.6,26.5,27.1,27.6,29.3,32.2,32.2,32.4,33.9,34.7
"35","28","Subsidies","W757RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.7,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.4,2.5,2.8,3.1,3.3,3.6,4.2,4.8,5.2,5.5,5.8,6,6,6.3,6.7,7.7,8.6,8.9,9.3,9.7,17.4,11.7,11.3,12.1,12.7
"36","29","Less: Wage accruals less disbursements","W758RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","30","    Net state government saving","W759RC1",1,0.9,0.8,0.9,0.7,0.9,0.6,2.1,0,1,1.1,-1.2,-1.7,5.8,3.3,-0.8,-4.9,-1.8,2.5,7.5,5.3,2.2,0.8,-8,-0.8,10.9,7.1,9,5.2,4.3,3.6,-3.1,-16.1,-10.7,-10.4,-9.4,-9.8,-3.4,2,4,-11.4,-14.2,-55.4,-90.9,-78.8,-64.1,-47
"38","31","Social insurance funds","W760RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.7,3.8,7.5,7.3
"39","32","Other","W761RC1",1,0.9,0.8,0.9,0.6,0.9,0.5,2,-0.1,0.9,1,-1.3,-2,5.5,3,-1.1,-5.4,-2.4,1.6,6,3.6,0.9,-0.5,-9.2,-2,9.5,5.8,7.2,3.1,1.7,1.3,-5.1,-18.5,-13.8,-14.6,-14,-13.9,-6.2,0.8,2.3,-13.2,-16.2,-58,-92.6,-82.6,-71.6,-54.3
"40",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","  Total receipts","W762RC1",24.1,25.3,27.3,29.6,32.3,35.5,38.9,45.6,49.5,58.7,66.2,73.4,83,99.9,107.6,117,131.9,148.1,164.8,184.2,203.4,226.4,246.2,254.1,280.1,316.9,343.7,370.4,391,420.3,452.7,488.8,525,573.2,608.3,645.8,679.1,713.2,749.1,795.9,847.5,908,948.5,967.1,1017.5,1093.1,1172.6
"42","34","    Current receipts","W730RC1",21.8,23.5,25.2,27.5,29.6,32.3,35.8,42.3,46.5,54.7,62.6,70.1,79.4,96.3,104.5,113.5,127.4,143.4,160,179.3,197.3,218.7,239.5,247.9,272.9,308.2,333.1,359.3,380.4,408.8,441.4,476.5,512.3,559.7,593.9,630.1,662.8,696,731.1,777.5,826.2,884.5,922,938.4,990.2,1066.1,1144.3
"43","35","    Capital transfer receipts","W764RC1",2.3,1.8,2,2.2,2.7,3.2,3.1,3.4,3.1,4,3.7,3.3,3.6,3.6,3.1,3.5,4.5,4.7,4.8,4.9,6.2,7.7,6.6,6.2,7.2,8.7,10.6,11.1,10.5,11.5,11.4,12.3,12.7,13.4,14.4,15.7,16.3,17.1,18,18.5,21.3,23.5,26.6,28.7,27.3,27,28.3
"44","36","  Total expenditures","W765RC1",25.7,27,29.7,32,35.2,38,42.1,48.2,54.9,62.2,69.9,80.2,90.7,100.3,110.7,123.7,141.2,153.5,164.6,180.1,202.4,227.3,247.8,262.9,281.7,309.6,341.7,367.7,393.6,425.1,458.9,503.5,552.3,594.7,629.1,666.5,700.2,725.9,758.6,804.5,873.3,938.9,1022.1,1074.7,1113.4,1174.7,1236.3
"45","37","    Current expenditures","W751RC1",20.8,22.6,24.5,26.6,28.9,31.4,35.1,40.2,46.4,53.6,61.4,71.3,81.1,90.6,101.2,114.3,132.3,145.1,157.4,171.8,191.9,216.5,238.7,255.9,273.7,297.3,326,350.2,375.2,404.6,437.7,479.6,528.4,570.4,604.3,639.5,672.6,699.4,729.1,773.5,837.6,898.7,977.4,1029.3,1069,1130.2,1191.2
"46","38","    Gross government investment","W767RC1",6.4,5.7,6.6,7,8,8.5,9.1,10.4,11.1,11.6,12.4,13.4,14.1,14.6,15.2,16.6,17,16.8,16,17.7,21.2,23.5,23.8,23,24,28.6,32.8,35.7,38,41.4,43.2,47.3,48.6,49.9,51.8,55.7,58.3,58.8,63.6,66.2,72.6,79.7,86.7,89.3,89.6,92.8,98.8
"47","39","    Net purchases of nonproduced assets","W768RC1",0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.2,0.2,0.7,0.7,0.7,0.9,0.9,0.8,0.6,0.6,0.5,0.4,0.5,0.7,0.8,0.9,1,1.3,1.5,1.6,1.6,1.7,1.9,1.9,1.7,1.6,1.6,1.6,1.6,2,2.4,2.6,2.5,3.1,3.3,3.3,3.6
"48","40","    Less: Consumption of fixed capital","W769RC1",1.8,1.9,2,2.1,2.3,2.5,2.7,3,3.3,3.6,4.1,4.7,5.2,5.6,6.3,8.1,9,9.2,9.5,10.1,11.2,13.1,15.2,16.6,16.9,17.2,18.1,19.5,21.1,22.4,23.6,25.2,26.5,27.4,28.7,30.3,32.3,33.9,35.6,37.2,39.3,42.1,44.4,46.9,48.6,51.6,57.4
"49","41","  Net lending or net borrowing (-)","W770RC1",-1.7,-1.7,-2.4,-2.4,-3,-2.6,-3.2,-2.6,-5.4,-3.6,-3.7,-6.8,-7.7,-0.4,-3.1,-6.7,-9.3,-5.4,0.2,4.2,1,-0.9,-1.6,-8.9,-1.5,7.3,2,2.7,-2.7,-4.8,-6.2,-14.7,-27.3,-21.6,-20.8,-20.7,-21.1,-12.7,-9.5,-8.6,-25.8,-30.9,-73.5,-107.6,-95.8,-81.7,-63.6
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
