"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162"
"22","14","      Autos","B139RG3",35.701,35.9,36.448,36.96,36.935,37.11,37.348,37.674,37.514,37.723,37.949,38.213,38.2,38.35,38.793,40.29,41.206,41.235,40.282,39.49,40.215,40.386,40.635,39.752,39.914,40.282,40.528,40.375,40.58,41.58,43.429,44.796,45.088,46.235,46.579,47.448,48.395,48.789,49.317,50.383,50.754,51.191,51.854,53.455,54.768,55.089,55.893,57.184,58.417,59.73,60.524,61.297,62.954,64.26,65.584,66.209,66.313,68.357,69.427,70.241,70.429,71.034,71.719,71.637,72.22,72.668,73.226,73.845,74.272,74.72,75.222,75.549,76.453,77.007,77.483,77.95,78.643,79.873,81.08,82.208,82.294,82.869,83.796,84.161,83.741,84.284,85.343,85.814,85.99,86.392,86.163,87.026,87.575,87.162,87.256,88.194,89.771,90.514,90.851,91.324,91.858,92.476,93.024,93.461,93.825,94.479,95.21,96.002,96.718,97.516,98.522,99.039,99.456,99.972,99.982,100.375,100.92,101.246,101.863,102.041,101.96,101.832,101.534,101.134,101.017,100.692,100.962,100.608,100.372,99.921,99.849,99.871,99.746,100.182,100.179,99.894,99.713,99.644,99.279,99.489,98.893,98.257,98.048,98.184,97.14,96.661,96.419,95.997,96,96.256,95.632,96.187,97.014,97.064,96.425,97.206,97.895,97.577,97.991
"23","15","      Trucks","B705RG3",23.282,23.392,23.546,23.874,24.018,24.085,24.254,24.366,24.48,24.677,25.002,25.196,25.516,25.886,26.119,26.462,27.145,27.809,28.08,28.131,28.563,28.746,28.917,28.732,28.406,28.928,29.416,29.634,30.388,31.266,32.36,33.87,35.074,35.774,36.249,37.069,37.771,38.568,39.716,40.739,41.595,42.464,43.631,45.085,45.877,46.607,47.773,47.971,49.447,51.082,51.212,52.39,53.807,54.773,56.986,59.017,60.994,63.243,64.449,66.196,65.718,67.193,68.706,69.265,69.597,69.022,69.577,70.795,71.617,72.699,72.863,72.548,72.902,73.253,73.091,75.338,75.809,76.889,75.475,77.552,76.356,76.571,76.65,76.335,76.921,77.583,78.308,80.371,80.934,81.395,81.01,82.369,81.515,81.765,82.384,83.645,84.326,84.162,85.127,87.313,87.508,88.819,89.135,90.861,92.101,92.895,93.779,94.441,95.808,97.05,98.022,97.333,98.67,99.442,99.701,99.845,99.987,100.211,100.275,99.901,100.29,99.611,99.284,98.153,97.544,97.304,98.014,99.172,99.379,99.886,99.624,99.894,99.529,99.793,100.201,100.477,98.925,98.562,100.056,98.058,97.513,97.471,95.897,95.975,97.341,95.665,96.447,97.811,97.492,98.016,97.406,98.802,98.177,97.544,97.786,96.131,96.415,97.308,95.072
"24","16","        Light trucks (including utility vehicles)","B196RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.276,77.051,77.602,76.716,77.925,78.915,80.09,80.672,81.843,82.194,81.427,83.329,81.94,81.818,82.757,83.488,84.946,84.831,86.195,88.148,88.844,90.074,90.522,92.327,94.065,95.142,96,96.598,98.299,99.953,101.084,99.661,100.453,100.987,101.078,101.149,101.313,101.671,102.085,101.943,102.155,101.212,100.66,99.314,98.416,97.645,98.351,99.56,99.741,100.308,99.838,100.129,99.51,99.869,100.248,100.372,98.646,98.221,99.974,97.421,96.663,96.476,94.343,94.21,95.836,93.864,94.886,96.529,95.875,96.216,95.224,96.565,95.504,94.392,94.367,91.988,92.264,92.871,89.783
"25","17","        Other","B197RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.073,74.374,73.768,73.77,74.121,74.528,74.872,78.291,78.235,78.763,78.7,79.525,79.199,79.869,80.098,81.986,81.679,81.461,81.831,84.311,83.828,85.22,85.36,86.94,87.561,88.006,88.896,89.619,90.551,91.212,91.952,92.282,94.304,95.394,95.919,96.22,96.445,96.437,95.776,94.811,95.51,95.475,95.708,95.12,95.282,96.444,97.151,98.186,98.44,98.795,99.046,99.261,99.548,99.569,100.067,100.816,99.798,99.618,100.185,100.185,100.371,100.82,101.045,101.824,102.31,101.81,101.728,102.086,102.945,104.107,104.788,106.405,107.055,107.809,108.896,109.465,109.773,111.536,111.778
"26","18","    Net purchases of used autos and used light trucks","W242RG3",22.734,23.119,23.921,24.203,24.693,24.228,24.328,23.792,24.317,24.517,23.53,23.88,23.485,24.043,24.39,25.03,25.631,25.886,25.515,25.137,25.039,25.084,25.222,26.097,27.116,27.437,26.811,25.891,24.82,25.908,28.674,31.148,31.875,31.761,33.037,33.688,33.759,36.133,37.295,38.472,40.182,40.261,38.296,37.019,37.248,38.325,40.396,41.515,41.475,43.79,43.205,41.247,41.774,42.27,43.603,47.405,49.862,51.676,55.358,58.155,59.474,61.521,63.137,64.01,65.142,66.097,69.09,72.594,74.211,77.253,78.718,78.732,79.3,78.154,76.088,76.007,75.581,73.348,72.235,72.064,72.489,75.707,77.325,77.754,77.915,78.51,79.018,79.571,81.29,81.055,79.27,78.94,79.008,78.253,77.968,77.214,77.527,78.327,78.976,79.036,78.768,80.831,83.203,85.237,85.582,87.825,90.282,91.713,90.371,91.349,94.376,97.922,102.671,104.082,102.891,103.05,104.576,103.151,102.408,101.799,102.436,100.013,96.299,95.247,96.348,96.602,97.593,98.04,95.733,96.168,98.738,99.329,98.737,99.864,99.861,101.538,103.481,102.759,101.277,100.37,98.086,96.673,97.171,94.84,94.416,94.248,90.479,83.633,82.457,82.519,84.392,86.26,86.513,87.325,89.293,88.006,87.753,88.739,89.496
"27","19","      Used autos","B140RG3",22.622,23.013,23.819,24.101,24.59,24.121,24.22,23.678,24.207,24.408,23.412,23.761,23.365,23.925,24.271,24.904,25.504,25.76,25.394,25.019,24.912,24.957,25.096,25.989,27.027,27.349,26.711,25.767,24.663,25.757,28.561,31.07,31.817,31.679,32.981,33.627,33.684,36.121,37.306,38.488,40.244,40.313,38.278,36.915,37.104,38.169,40.23,41.352,41.322,43.638,43.063,41.111,41.637,42.135,43.468,47.262,49.708,51.517,55.196,57.992,59.324,61.373,62.987,63.852,64.948,65.882,68.866,72.382,74.009,77.071,78.547,78.57,79.128,77.978,75.907,75.831,75.419,73.186,72.054,71.865,72.253,75.425,77.023,77.447,77.636,78.24,78.732,79.284,80.997,80.751,78.959,78.629,78.709,77.963,77.673,76.933,77.232,78.037,78.672,78.722,78.406,80.377,82.622,84.607,85.022,87.332,89.742,91.328,90.043,91.04,93.96,97.6,102.171,103.522,102.39,102.669,104.286,102.839,102.115,101.613,101.982,100.123,96.815,95.818,96.515,96.644,97.491,97.965,95.852,96.257,98.758,99.284,98.746,99.847,99.87,101.537,103.415,102.753,101.339,100.494,98.46,97.134,97.637,95.364,94.801,94.519,90.971,84.52,83.427,83.506,85.344,87.196,87.569,88.395,90.166,88.914,88.808,89.771,90.355
"28","20","      Used light trucks (including utility vehicles)","W243RG3",24.821,24.876,25.228,25.58,25.725,25.763,25.888,26.135,26.087,26.185,26.298,26.545,26.531,26.636,26.925,27.974,28.593,28.578,27.946,27.363,27.87,27.973,28.122,27.695,27.661,27.931,28.081,28.129,28.188,28.95,30.145,31.264,31.291,32.029,32.289,33.017,33.514,33.799,34.187,35.114,35.337,35.576,35.99,37.47,38.458,39.602,41.64,42.615,42.45,44.642,43.877,41.904,42.418,42.861,44.131,47.903,50.446,52.28,55.865,58.54,59.572,61.478,63.009,63.946,65.577,66.793,69.834,73.153,74.574,77.308,78.601,78.515,79.185,78.111,76.152,76.043,75.515,73.318,72.333,72.26,72.888,76.287,77.986,78.44,78.462,79.015,79.588,80.146,81.877,81.685,79.936,79.598,79.629,78.854,78.583,77.791,78.139,78.922,79.612,79.706,79.565,81.839,84.493,86.641,86.834,88.923,91.481,92.556,91.064,91.981,95.283,98.545,103.776,105.343,103.993,103.855,105.186,103.808,103.027,102.214,103.408,99.792,95.358,94.264,96.054,96.54,97.78,98.201,95.592,96.065,98.716,99.379,98.727,99.884,99.85,101.538,103.554,102.765,101.208,100.239,97.717,96.213,96.705,94.318,94.032,93.975,89.983,82.772,81.512,81.554,83.458,85.343,85.48,86.282,88.437,87.117,86.728,87.731,88.644
"29","21","  Gross government investment","AB64RG3",24.789,24.94,25.088,25.427,25.588,25.763,25.985,26.251,26.4,26.618,27.068,27.327,27.674,28.037,28.397,28.94,29.837,30.297,30.229,29.84,29.653,29.519,29.52,29.136,29.107,29.621,30.178,30.484,31.108,31.986,33.104,34.485,35.728,36.552,36.996,37.815,38.586,39.212,40.173,41.107,41.842,42.602,43.647,45.047,45.891,46.48,47.479,48.077,49.444,50.917,51.312,52.393,53.748,54.831,56.742,58.24,59.794,61.625,62.711,64.22,64.219,65.334,66.436,66.831,67.306,67.555,68.037,68.883,69.752,70.514,70.689,70.555,71.245,71.38,71.75,73.034,73.749,75.52,75.586,76.791,76.09,75.707,75.609,75.484,75.616,76.174,77.026,79.137,79.532,80.003,79.946,81.256,81.083,81.484,81.775,83.107,83.481,83.496,84.471,85.839,86.031,86.828,88.012,89.304,90.079,90.404,90.744,91.461,93.003,93.855,94.135,93.737,94.611,95.036,95.629,95.886,96.186,96.325,96.368,95.726,96.648,96.877,97.481,97.11,96.784,97.158,98.083,98.662,98.903,99.466,99.112,99.707,99.553,99.823,100.271,100.353,99.048,98.405,98.858,98.483,99.326,99.863,99.338,99.489,99.991,99.216,99.916,101.55,101.422,102.023,101.674,102.686,102.946,102.833,103.534,103.713,103.906,104.798,104.223
"30","22","    Autos","B144RG3",24.804,25.04,25.159,25.486,25.666,26.038,26.341,26.861,27.057,27.279,27.882,28.202,28.696,28.956,29.407,30.162,30.734,31.084,31.11,30.966,31.49,31.66,31.912,31.409,31.506,31.871,32.437,32.865,33.581,34.458,35.614,36.586,37.203,38.216,38.46,39.164,40.107,40.242,40.692,41.423,41.88,42.474,43.301,44.59,45.582,45.817,46.406,47.714,48.826,49.907,50.9,51.817,53.238,54.747,56.163,56.707,57.416,58.463,59.165,59.803,60.438,61.735,62.61,62.993,63.473,64.006,64.015,64.236,64.856,64.953,65.547,66.015,66.856,67.398,68.174,68.99,70.039,72.217,73.778,75.105,75.969,76.153,76.854,77.2,76.496,77.096,78.59,79.402,79.81,80.049,80.316,81.64,82.83,83.041,82.782,83.582,84.224,84.975,86.437,85.164,85.231,84.89,87.93,88.578,88.9,88.955,88.616,89.78,91.464,92.124,91.828,92.091,92.458,92.153,92.827,93.226,94.207,94.122,94.68,94.079,95.298,96.211,97.433,98.116,97.872,97.853,99.336,98.566,98.19,99.058,98.499,100.119,99.52,100.222,100.484,99.774,98.859,97.239,95.989,97.127,99.751,100.776,100.645,99.307,98.403,98.858,99.917,101.846,100.17,99.851,98.74,98.151,99.116,98.572,99.33,101.697,101.473,100.253,101.572
"31","23","    Trucks","B708RG3",24.993,25.11,25.276,25.626,25.784,25.854,26.035,26.155,26.275,26.492,26.851,27.073,27.331,27.766,28.071,28.495,29.597,30.143,30.017,29.461,28.785,28.452,28.3,27.994,27.906,28.497,29.05,29.31,29.886,30.756,31.849,33.368,34.838,35.589,36.113,36.974,37.664,38.477,39.625,40.632,41.483,42.315,43.454,44.894,45.659,46.412,47.609,47.848,49.327,50.974,51.097,52.24,53.561,54.454,56.557,58.448,60.379,62.561,63.802,65.682,65.4,66.424,67.635,68.036,68.507,68.62,69.303,70.401,71.359,72.349,72.378,72.027,72.67,72.672,72.925,74.352,74.928,76.552,76.223,77.389,76.117,75.514,75.127,74.812,75.278,75.795,76.367,79.058,79.439,79.998,79.804,81.098,80.382,80.852,81.359,82.927,83.159,82.886,83.673,86.18,86.474,87.838,87.966,89.624,90.641,91.122,91.786,92.284,93.74,94.704,95.303,94.537,95.701,96.573,97.106,97.271,97.188,97.438,97.192,96.511,97.249,97.154,97.511,96.682,96.317,96.862,97.541,98.696,99.194,99.623,99.352,99.545,99.556,99.667,100.19,100.587,99.115,98.826,100.021,99.007,99.177,99.542,98.875,99.551,100.503,99.325,99.908,101.443,101.817,102.696,102.565,104.077,104.089,104.134,104.823,104.385,104.687,106.113,105.036
"32","24","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","    Exports","AB69RG3",19.679,19.769,19.605,20.327,20.361,19.833,19.977,20.398,20.517,20.406,21.463,21.571,21.127,21.883,21.533,21.116,22.223,23.106,22.84,23.031,23.533,23.629,23.629,23.488,23.997,24.372,25.419,25.312,26.045,26.891,28.29,30.135,30.586,31.772,32.574,32.964,34.192,33.959,34.896,35.6,36.709,37.348,38.29,39.038,38.576,41.318,42.272,42.924,45.702,46.975,47.287,48.105,51.047,50.776,53.894,55.807,59.949,62.053,62.555,64.167,64.714,65.13,65.634,65.976,66.663,67.642,68.201,68.91,69.572,69.477,70.344,70.659,72.197,72.515,72.983,73.443,73.949,75.906,76.848,78.039,78.475,78.81,79.218,79.304,80.007,80.159,80.544,81.004,80.686,81.034,82.04,84.577,84.517,85.218,85.756,86.159,87.522,88.238,88.809,89.252,89.605,90.005,90.438,90.575,90.35,90.67,90.864,90.423,91.182,91.782,92.435,92.753,93.094,93.519,93.772,94.117,94.449,94.705,94.693,94.402,95.192,95.727,96.165,96.379,96.591,96.825,96.877,97.295,97.654,97.969,98.274,99.162,99.65,99.93,100.166,100.253,100.437,100.522,100.468,100.963,101.31,101.616,102.04,103.051,103.272,103.484,103.825,104.216,104.782,105.359,105.94,106.776,107.045,107.083,107.275,107.646,107.711,107.799,107.895
"34","26","      Autos","B142RG3",17.7,17.792,17.792,17.975,17.977,18.068,17.702,18.07,18.343,18.526,19.168,19.443,19.443,19.352,19.167,18.894,20.087,20.543,20.727,20.819,21.096,21.187,21.555,21.644,21.919,22.653,23.478,23.571,24.305,24.945,26.23,28.432,29.075,30.357,30.632,30.909,31.824,32.007,33.11,34.395,35.127,35.494,36.505,37.052,36.959,38.522,40.724,40.811,44.297,46.225,46.5,47.601,50.075,51.821,54.666,57.228,60.851,62.947,63.423,65.034,65.593,65.997,66.488,66.806,67.451,68.425,68.983,69.711,70.431,70.356,71.248,71.567,72.833,73.151,73.63,74.108,74.665,76.658,77.614,78.809,79.208,79.526,79.925,80.004,80.722,80.881,81.279,81.757,81.45,81.805,82.819,85.404,85.338,86.325,87.011,86.911,88.344,89.336,90.053,90.033,90.438,91.093,91.741,91.308,91.203,91.771,92.205,91.184,92.184,92.936,93.722,93.653,94.277,94.847,95.43,95.874,96.233,96.644,97.105,96.549,96.942,97.3,97.601,97.212,97.305,97.493,97.624,98.352,98.415,98.287,98.288,99.647,99.827,100.123,100.122,99.931,100.205,100.229,100.262,100.596,100.73,101,101.098,102.3,102.298,102.465,102.498,102.898,103.335,104.063,104.028,104.438,104.598,104.564,104.733,105.266,105.298,105.298,105.428
"35","27","      Trucks","B706RG3",23.59,23.68,23.135,25.359,25.54,23.03,24.655,25.236,24.935,24.113,26.087,25.783,24.483,26.895,26.154,25.466,26.414,28.344,26.923,27.361,28.408,28.524,27.595,26.907,27.945,27.4,28.946,28.311,28.972,30.214,31.804,32.957,33.11,34.209,35.79,36.424,38.335,37.379,38.067,37.79,39.595,40.792,41.516,42.552,41.291,45.909,44.694,46.24,47.992,48.286,48.769,49.251,53.252,49.768,53.359,54.476,59.269,61.357,61.847,63.421,63.965,64.348,64.811,65.118,65.741,66.681,67.229,67.936,68.65,68.575,69.441,69.755,71.793,72.105,72.573,73.04,73.583,75.543,76.485,77.665,78.069,78.388,78.784,78.864,79.558,79.716,80.116,80.601,80.338,80.726,81.766,84.278,84.222,84.423,84.608,85.985,87.153,87.306,87.514,88.864,89.08,89.077,89.201,90.141,89.81,89.834,89.739,89.989,90.453,90.877,91.386,92.111,92.171,92.453,92.389,92.636,92.942,93.04,92.568,92.518,93.641,94.333,94.898,95.606,95.962,96.254,96.249,96.38,96.977,97.681,98.246,98.739,99.509,99.783,100.234,100.572,100.672,100.81,100.643,101.304,101.843,102.176,102.963,103.779,104.277,104.543,105.174,105.545,106.179,106.613,107.711,108.914,109.347,109.48,109.713,109.945,110.042,110.214,110.277
"36","28","    Imports","AB70RG3",14.845,14.978,14.658,14.85,15.525,15.379,15.064,15.651,15.661,15.774,15.723,17.147,17.16,17.028,17.766,17.976,18.785,18.887,18.818,19.455,20.024,20.366,20.704,21.28,21.563,23.335,23.744,24.272,23.051,24.431,26.176,27.594,29.992,30.391,30.777,31.346,31.349,31.707,32.632,33.2,34.034,34.15,35.563,36.588,38.564,40.412,42.034,43.515,45.599,44.798,44.228,45.512,46.677,46.187,49.291,51.909,53.272,54.289,53.848,57.927,57.657,57.493,56.755,57.834,58.595,58.892,58.766,60.588,60.046,61.26,61.194,61.945,62.458,62.698,62.699,65.499,68.819,71.139,72.35,74.578,75.516,76.595,76.327,77.63,79.277,80.82,80.227,82.76,82.626,81.638,80.803,82.918,82.183,80.824,81.286,83.644,84.999,85.353,85.303,87.024,87.168,86.623,87.305,88.414,87.756,88.851,89.312,91.188,91.414,92.265,92.802,94.468,94.644,95.444,96.032,96.59,96.321,96.295,96.746,96.881,96.745,96.813,97.316,97.831,97.807,98.034,97.903,98.483,99.031,99.274,99.572,99.632,99.765,99.838,100.046,100.351,100.459,100.337,100.548,101.036,101.137,101.12,101.287,101.571,101.631,101.998,102.06,102.926,103.09,103.523,104.122,104.538,104.408,104.649,104.834,105.188,105.064,105.095,105.195
"37","29","      Autos","B143RG3",13.664,13.84,13.488,13.664,14.37,14.193,13.84,14.458,14.457,14.545,14.457,16.044,16.044,15.868,16.661,16.837,17.631,17.719,17.631,18.336,18.953,19.306,19.658,20.364,20.716,22.744,23.184,23.802,22.391,23.89,25.741,27.151,29.708,29.972,30.325,30.854,30.854,31.206,32.176,32.617,33.411,33.499,35.085,35.967,38.259,40.463,42.314,43.99,46.457,45.135,44.254,45.665,46.81,45.928,49.367,52.275,53.2,54.197,53.753,57.838,57.605,57.446,56.706,57.761,58.482,58.759,58.65,60.448,59.95,61.167,61.13,61.861,62.36,62.594,62.59,65.382,68.71,71.027,72.263,75.126,76.286,77.372,77.367,78.394,80,81.709,81.078,83.787,83.398,82.302,81.394,83.593,82.787,81.297,81.675,84.222,85.532,85.886,85.92,87.723,87.865,87.339,87.952,89.356,88.698,89.821,90.244,92.335,92.793,93.34,93.848,95.434,95.591,96.521,97.151,97.786,97.435,97.336,97.588,97.756,97.751,98.016,98.82,99.174,98.985,98.821,98.465,99.053,99.758,100.055,99.949,99.913,99.918,99.983,99.919,100.178,100.209,100.011,100.142,100.906,100.944,100.776,100.91,101.409,101.377,101.443,101.443,102.343,102.477,102.674,103.344,103.809,103.507,103.542,103.71,103.942,103.642,103.742,103.742
"38","30","      Trucks","B707RG3",22.765,22.523,22.523,22.852,23.108,23.272,23.428,23.514,23.509,23.76,24.002,24.097,24.275,24.543,24.811,25.252,26.034,26.216,26.302,26.207,26.287,26.529,26.78,26.529,26.372,26.649,27.012,27.176,27.595,28.27,29.385,30.69,31.572,32.273,32.541,33.241,33.817,34.319,35.088,36.221,36.843,36.955,37.483,39.117,40.043,40.718,41.643,42.507,43.305,44.265,44.965,45.735,47.023,48.224,49.936,51.397,54.332,55.386,54.935,59.074,58.849,58.698,57.945,59.074,59.751,60.052,59.827,61.784,61.26,62.539,62.386,63.209,63.649,63.864,63.854,66.701,70.073,72.474,73.678,73.91,74.307,75.451,74.488,76.608,78.351,79.485,78.957,81.058,81.508,80.772,80.134,82.082,81.572,80.502,81.15,83.141,84.547,84.886,84.665,86.246,86.401,85.829,86.636,87.268,86.64,87.689,88.198,89.652,89.381,90.673,91.278,93.123,93.521,94.188,94.759,95.202,94.961,95.013,95.702,95.795,95.529,95.339,95.437,96.161,96.326,97.053,97.207,97.773,98.139,98.324,99.11,99.293,99.582,99.67,100.204,100.564,100.761,100.73,101.03,101.197,101.362,101.525,101.73,101.762,101.931,102.63,102.766,103.596,103.799,104.469,104.998,105.364,105.398,105.831,106.031,106.499,106.531,106.502,106.698
"39","31","Change in private inventories","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","32","  Autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","    New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","      Domestic","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","      Foreign","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
