"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","  Nonfarm \2\","B358RG3",15.005,15.191,15.893,15.854,16.163,16.377,16.696,16.934,16.791,16.73,16.653,16.612,16.622,16.656,16.861,17.127,17.567,17.762,17.942,18.116,18.156,18.257,18.353,18.488,18.537,18.628,18.722,18.835,18.867,18.881,18.863,18.872,18.973,19.031,19.196,19.375,19.561,19.699,19.943,20.071,20.326,20.456,20.55,20.658,20.746,20.767,20.824,20.888,20.981,21.006,21.06,21.172,21.194,21.25,21.339,21.403,21.427,21.467,21.491,21.496,21.603,21.672,21.705,21.721,21.776,21.788,21.804,21.921,21.971,22.052,22.159,22.243,22.321,22.347,22.437,22.502,22.57,22.813,22.99,23.263,23.382,23.515,23.722,23.952,24.209,24.474,24.635,24.977,25.276,25.561,25.814
"12","4","  Farm","B359RG3",101.61,103.49,86.79,113.678,106.897,105.691,105.76,90.165,91.188,86.57,81.487,80.054,75.48,80.081,90.837,96.664,109.662,107.667,99.078,104.176,99.156,95.705,97.329,91.458,87.591,82.033,81.36,77.136,80.453,77.848,76.314,74.225,73.695,73.495,71.865,67.463,68.657,72.075,71.484,70.946,70.532,70.522,75.527,75.741,80.463,81.744,80.118,76.002,72.31,73.137,73.77,71.532,70.747,73.628,71.649,72.976,72.383,70.212,71.779,74.588,74.419,72.713,73.74,74.999,72.658,71.513,73.394,70.517,70.353,69.477,68.919,70.253,70.912,77.063,75.142,78.232,83.813,81.478,83.778,77.139,73.553,72.063,73.357,72.984,74.33,76.157,78.687,79.088,75.586,82.122,84.967
"13","5","Households and institutions","B193RG3",8.277,8.729,8.991,9.021,8.972,9.092,9.266,9.235,9.313,9.374,9.325,9.556,9.579,9.568,9.667,9.853,10.048,10.091,10.195,10.356,10.448,10.573,10.768,10.828,10.977,11.149,11.29,11.289,11.344,11.438,11.504,11.694,11.56,11.601,11.708,11.864,11.819,11.855,12.012,12.122,12.174,12.264,12.365,12.388,12.476,12.669,12.645,12.657,12.784,12.872,12.974,13.107,13.156,13.248,13.301,13.392,13.429,13.52,13.573,13.633,13.715,13.799,13.882,13.942,14.023,14.101,14.148,14.255,14.352,14.395,14.439,14.516,14.562,14.681,14.766,14.893,14.958,15.094,15.256,15.424,15.582,15.676,15.753,15.816,15.923,16.035,16.19,16.425,16.597,16.833,17.164
"14","6","  Households","B701RG3",10.654,10.962,11.41,11.539,11.528,11.648,11.815,11.823,11.836,11.903,11.929,12.226,12.261,12.215,12.363,12.402,12.728,12.782,13.022,13.027,13.004,13.467,13.846,13.8,13.845,14.168,14.43,14.482,14.484,14.587,14.658,14.832,14.784,14.704,14.847,15.025,15.037,15.039,15.159,15.216,15.278,15.41,15.546,15.579,15.589,15.846,15.879,15.891,15.947,16.055,16.208,16.342,16.395,16.457,16.55,16.609,16.649,16.744,16.793,16.817,16.915,16.953,17.03,17.078,17.152,17.204,17.239,17.309,17.366,17.418,17.477,17.51,17.563,17.652,17.701,17.769,17.884,17.959,18.025,18.172,18.278,18.329,18.402,18.534,18.69,18.85,18.963,19.131,19.294,19.452,19.665
"15","7","  Nonprofit institutions serving households \3\","B702RG3",5.003,5.654,5.661,5.557,5.461,5.578,5.757,5.679,5.837,5.889,5.745,5.884,5.889,5.924,5.955,6.339,6.355,6.384,6.302,6.68,6.932,6.584,6.523,6.732,7.03,6.99,6.96,6.883,7.014,7.096,7.156,7.372,7.111,7.329,7.387,7.516,7.384,7.471,7.688,7.882,7.92,7.95,8.002,8.011,8.218,8.321,8.211,8.224,8.462,8.521,8.551,8.686,8.731,8.868,8.865,9.005,9.04,9.126,9.186,9.303,9.364,9.518,9.611,9.692,9.784,9.906,9.971,10.137,10.294,10.325,10.35,10.491,10.531,10.696,10.836,11.055,11.047,11.275,11.577,11.777,12.014,12.171,12.256,12.224,12.266,12.313,12.524,12.849,13.035,13.374,13.863
"16","8","General government \4\","B765RG3",5.948,5.998,5.747,5.807,5.873,5.945,6.052,6.127,6.277,6.251,6.222,6.301,6.261,6.177,6.291,6.265,6.584,6.474,6.494,6.575,6.684,6.766,6.851,6.923,6.938,6.993,6.933,6.999,7.036,7.167,7.211,7.271,7.332,7.529,7.584,7.649,7.784,7.908,7.986,8.032,8.154,8.251,8.332,8.414,8.575,8.696,8.796,8.845,8.949,8.987,9.013,9.037,9.138,9.161,9.315,9.373,9.41,9.484,9.537,9.599,9.72,9.746,9.792,9.958,10.073,10.118,10.133,10.333,10.447,10.503,10.605,10.665,10.761,10.808,10.943,11.133,11.277,11.394,11.56,11.642,11.764,11.932,12.081,12.395,12.551,12.71,13.011,13.207,13.316,13.487,13.95
"17","9","  Federal","B766RG3",6.401,6.435,5.993,5.984,5.97,5.991,6.024,6.056,6.333,6.344,6.278,6.438,6.359,6.156,6.241,6.108,6.516,6.29,6.236,6.3,6.442,6.517,6.573,6.647,6.625,6.704,6.623,6.686,6.704,6.81,6.807,6.876,6.966,7.255,7.315,7.362,7.471,7.633,7.68,7.69,7.825,7.894,7.978,8.08,8.303,8.452,8.608,8.651,8.75,8.776,8.799,8.801,8.841,8.818,9.037,9.09,9.098,9.115,9.122,9.134,9.205,9.209,9.274,9.506,9.609,9.631,9.629,9.898,10.055,10.092,10.218,10.29,10.339,10.387,10.545,10.832,10.895,10.94,11.068,11.043,11.005,11.137,11.222,11.659,11.783,11.897,12.298,12.437,12.465,12.519,13.145
"18","10","  State and local","B767RG3",4.904,4.983,5.077,5.251,5.448,5.596,5.816,5.955,5.898,5.818,5.843,5.812,5.828,5.905,6.057,6.188,6.35,6.443,6.594,6.704,6.749,6.839,6.978,7.041,7.124,7.13,7.11,7.179,7.25,7.419,7.54,7.582,7.59,7.625,7.67,7.761,7.931,7.996,8.117,8.214,8.311,8.444,8.516,8.567,8.639,8.718,8.743,8.798,8.906,8.957,8.987,9.037,9.208,9.286,9.356,9.421,9.491,9.629,9.733,9.852,10.026,10.077,10.1,10.184,10.31,10.381,10.415,10.533,10.598,10.673,10.745,10.791,10.933,10.978,11.086,11.175,11.396,11.582,11.783,11.973,12.256,12.457,12.667,12.848,13.033,13.234,13.428,13.676,13.861,14.141,14.44
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",10.854,11.167,11.417,11.614,11.771,11.898,12.005,12.1,12.19,12.278,12.369,12.465,12.569,12.685,12.811,12.949,13.11,13.257,13.404,13.551,13.675,13.835,14.008,14.191,14.409,14.584,14.741,14.877,14.987,15.083,15.161,15.223,15.26,15.312,15.368,15.428,15.502,15.573,15.645,15.719,15.792,15.872,15.957,16.044,16.14,16.22,16.289,16.348,16.391,16.508,16.581,16.685,16.73,16.773,16.86,16.932,16.97,17.066,17.127,17.139,17.229,17.261,17.334,17.364,17.441,17.496,17.531,17.605,17.638,17.672,17.726,17.756,17.798,17.855,17.892,17.951,18.044,18.116,18.161,18.292,18.393,18.456,18.529,18.628,18.737,18.869,18.982,19.127,19.267,19.429,19.64
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
