"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","  Nonfarm \2\","A358RX1",1165.6,1194.2,1163.7,1223.5,1236.8,1235.2,1245.7,1240.6,1232.3,1224.3,1241,1228.7,1281,1327.5,1400.3,1415.4,1442.4,1449.8,1468.3,1472.2,1487.9,1479.2,1483,1552.1,1580.3,1587.6,1579.2,1547.6,1529.2,1529.1,1550.5,1588.9,1645.1,1671.2,1695,1709.5,1697.7,1708.3,1701.1,1728.6,1750.1,1740,1756.4,1725.3,1661.5,1669.3,1721.5,1776.5,1815.3,1874,1867.2,1863.5,1919,1895.3,1888.3,1847.3,1859.1,1908,1944.8,1988.8,2029.3,2051,2072.8,2073.3,2098.2,2131.9,2181.2,2199.8,2262.9,2287.2,2319.5,2319,2389.2,2427.2,2476.1,2546.7,2618.8,2627.1,2643,2653.7,2671.6,2665.1,2683.3,2704.1,2769.7,2823.1,2840.8,2852.9,2902.6,2905.6,2922
"12","4","  Farm","B359RX1",20.2,16.9,21.7,16.4,17.9,23,22.3,23.4,20.6,20.9,21,20.5,23,22.8,20.7,20.9,19.2,20.5,21.8,21,20.6,21.7,22.8,21.5,22.7,23.9,22.4,22.1,23.9,24,23.4,23,23.1,24.9,25.1,23.4,23.2,24.1,23.9,25.3,22.3,22.6,22.9,24.7,25,25.3,23.6,22,24.1,23.3,23.1,24.9,22.9,24,26.2,27.5,26.9,25.4,24.9,24.3,24.6,25.3,24.6,25.1,27.2,25.9,24.9,24.7,23.6,24.4,25.3,26.2,26.6,25.6,27.2,26.5,27.1,25.7,23.9,25.5,27.2,27.7,27.8,27.5,26.8,26.4,26.5,26.7,27.3,27.4,27.8
"13","5","Households and institutions","A193RX1",148.8,149.6,151.2,153.5,156.5,159.3,161.8,164.1,166.1,168.6,171.5,174.8,178.6,182.2,185.5,188.7,191.6,194.5,197.4,200.2,203.3,206.3,209.3,212.5,215.7,218.9,221.9,224.5,227.3,230.6,234.6,239.3,244.7,249.7,254.3,258.5,262.1,265.8,269.3,272.7,276,279.6,283.4,287.5,291.7,295.9,299.8,303.6,306.8,311.5,316.8,322.8,327.9,333.5,338,342.8,345.8,346.2,349.7,356.8,361.3,366,371.4,376.9,379,381.8,386.1,389.2,392.9,398.5,402,406.3,410.6,416,423,429.1,432.6,434.9,441.7,446.3,449.2,453.9,459.6,465.9,471.3,477.4,483.4,488.4,494.2,499.9,503.8
"14","6","  Households","B701RX1",86.3,86.7,87.3,88.1,89.1,90.2,91.4,92.7,94,95.6,97.5,99.7,102.1,104.4,106.6,108.7,110.6,112.6,114.5,116.3,118.4,120.2,122.1,124.1,126,127.9,129.7,131.3,133,135.1,137.6,140.6,144,147.2,150,152.6,154.9,157.1,159.2,161.3,163.4,165.6,167.8,170.1,172.5,174.9,177.3,179.7,181.9,184.7,187.6,190.8,193,195.9,198.5,201.7,204.1,204.2,206.4,211.1,213.4,216,219.3,223,224,225.5,228.2,229.8,231.9,235.5,237.1,239.6,241.7,244.6,248.8,252.4,253.3,254,258.4,261.5,263.3,265.8,268.4,270.8,271.5,273.3,275.5,277.9,281.1,284.9,287.6
"15","7","  Nonprofit institutions serving households \3\","B702RX1",62.4,62.9,64.2,66.2,69,71.3,72.9,74,74.5,75.1,75.9,76.9,77.9,78.9,79.8,80.6,81.3,82.1,82.8,83.6,84.4,85.3,86.3,87.4,88.7,89.8,90.9,91.9,92.9,94,95.3,96.7,98.4,100,101.5,102.9,104.2,105.5,106.7,107.9,109,110.4,111.9,113.7,115.7,117.4,118.8,119.9,120.7,122.5,125.1,128.2,131.8,134.7,136.6,137.7,137.7,138.3,139.4,141.2,143.7,145.8,147.8,149.2,150.4,151.8,153.2,154.8,156.7,158.3,160.4,162.3,164.8,167.3,170.1,172.4,175.7,177.6,179.8,181,182,184.2,187.7,192.3,198.1,203.3,207.7,210.6,213.1,214.8,215.8
"16","8","General government \4\","A765RX1",495.2,474.4,467.9,458.3,456.7,449.5,453.1,456.3,455.6,455.1,452.8,445.5,439.8,446.8,455.8,491.6,505.4,542.5,569.2,574.7,585.6,594.4,598.7,597.9,602.6,605.6,607.8,605.2,604.3,604.6,606.9,608.5,607.9,604.9,608.9,612,613.1,616,623.1,627.3,629.1,632.7,637.2,632.7,631.3,635.5,643.6,646.7,643.6,645.8,649.2,653.5,660.3,671.1,673.2,677.4,684,688,696.2,708.7,714.4,719.8,724.7,726.3,732,739.5,748,751.8,757.8,765.5,772,778.2,779.3,788.1,798.9,810.7,821.2,834.6,851.7,868.2,878.3,882.8,894,899.8,912.3,922.8,929.7,929.7,937,944.4,951.8
"17","9","  Federal","A766RX1",330.3,308.8,300.7,289.7,288.2,280.8,283,283.7,279.6,275.5,269.8,259.9,253.5,259.7,268.1,303.6,316.2,352.4,378.1,381.9,391.9,399.5,402,398.8,401.3,401.9,401.1,395.7,392.3,390.4,390.1,388.6,385.9,380.2,380.3,379.4,377.9,375.5,378.2,378.7,378.2,378.8,379,369.6,364.9,364,367.6,367.1,362.3,362.4,362.7,363.8,366.1,372.8,369.9,370.3,371.1,373.4,377.7,388,392.7,394.1,394.4,391.6,393.1,396.5,399,398.2,397.9,400.2,402.4,402.1,399.4,400.4,404,409.7,416.1,423.8,435.1,444.8,455.4,456,460.4,459.8,462.8,467.9,468.9,463.3,464.9,467.3,469.4
"18","10","  State and local","A767RX1",170.3,172.9,175.3,177.1,176.9,177.1,178.5,181.1,184.8,188.7,192.4,195.1,195.9,196.5,197.1,198,199.4,201,202.9,204.8,206.1,207.5,209.4,211.7,213.9,216.3,219.2,221.7,223.9,226,228.5,231.3,233.2,235.7,239.5,243.4,245.9,251.1,255.4,259.1,261.3,264.3,268.5,273,276.1,281.2,285.8,289.4,291,293.1,296.2,299.4,303.9,308.3,313,316.9,322.5,324.3,328.3,331,332.2,336.2,340.6,344.8,348.9,353.1,359.1,363.5,369.7,375,379.3,385.9,389.5,397.2,404.4,410.7,414.9,420.9,427,434.1,434.2,438.1,444.9,451,460.2,465.8,471.5,476.6,482.2,487.2,492.3
"19","11","Residual","A961RX1",-64.4,-74.4,-46.4,-67.7,-56.1,-22.3,-28.5,-27.3,-43.6,-44.6,-41.5,-42.1,-20.4,-18.6,-24.2,-42.8,-58.4,-72.7,-79.9,-87.6,-95,-96.7,-94,-90.3,-84.5,-81.2,-90.7,-95.7,-91.7,-92.2,-93,-90,-82,-71.1,-70,-75.7,-79.9,-77.8,-83.9,-78.8,-86.4,-90,-89.9,-87.3,-96.7,-97.6,-100.7,-100.3,-87.3,-83.6,-88.8,-87.8,-91.4,-99,-95.9,-101.2,-104.5,-104,-105.6,-109.1,-107.2,-106.3,-109.1,-109.1,-103.4,-107,-108,-108.6,-107.3,-106.9,-104.5,-106.1,-97.9,-101.4,-97.4,-97.6,-93.7,-104.2,-117.2,-119.4,-118.3,-120.7,-125,-127.9,-129.6,-131.3,-134.2,-133.3,-130.7,-134.4,-135.2
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",106.2,106.9,107.9,109.2,110.7,112.3,114.1,115.9,117.8,119.7,121.8,123.8,125.9,128.1,130.3,132.7,135,137.5,140.1,142.7,145.6,148.2,150.6,152.8,154.7,156.9,159.1,161.5,164.1,166.5,168.8,171.2,173.5,175.8,178.1,180.4,182.5,185,187.5,190.3,193.4,196.3,199.1,201.8,204.2,207.2,210.4,213.7,218.2,221.2,225.2,229,232.3,235.2,238.5,242.7,245.7,248.2,251.6,256.5,259.3,264.1,267.7,272.7,274.3,277,280.5,283.9,286.4,289.5,292.9,297.7,301.1,304.7,309.2,313.2,315.7,318.4,322.7,326.6,329.9,333.4,337.7,341.4,344.2,345.7,349.3,353.9,358,362.8,366.9
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
