"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","  Structures","B009RA3",29.902,29.743,29.945,29.515,30.127,30.967,31.892,32.349,31.74,30.997,29.626,28.813,30.186,31.709,33.545,34.404,34.516,35.688,35.472,34.108,34.149,34.395,34.682,36.01,37.095,37.807,38.017,38.688,39.082,39.353,39.267,39.101,40.312,41.312,42.683,43.738,45.096,46.703,46.999,46.887,46.482,46.45,46.458,46.194,45.328,43.825,42.825,43.486,43.334,44.676,46.005,45.655,47.56,48.124,48.216,50.051,49.824,48.994,49.022,48.764,49.678,51.488,52.844,51.563,49.768,52.126,52.488,53.562,54.952,56.815,58.681,59.147,62.18,66.513,67.213,70.307,71.978,70.59,72.162,69.704,70.424,68.421,69.145,69.26,70.618,70.02,69.568,70.99,72.087,72.659,76.085
"12","4","    Commercial and health care","W001RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.473,25.754,26.087,26.245,26.291,28.488,29.313,28.259,29.2,29.103,29.204,32.084,33.788,33.536,34.376,34.737,34.236,36.268,42.873,38.669,36.755,37.87,37.067,35.543,36.327,39.555,41.956,42.214,44.942,46.06,46.884,49.734,48.391,44.135,46.094,44.542,45.429,43.774,42.856,44.071,47.158,48.705,48.205,48.704,51.814,53.572,58.429
"13","5","    Manufacturing","C307RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.798,66.121,56.515,53.273,51.081,53.821,60.242,63.796,72.399,74.893,79.467,83.549,82.003,76.787,72.873,71.884,72.792,82.122,72.072,79.619,69.065,74.315,79.585,84.827,83.068,87.027,96.997,102.857,114.315,127.627,126.96,142.632,153.18,161.339,166.003,155.27,152.28,134.273,141.563,131.145,136.901,132.094,129.158,140.416,143.706,139.051,143.291
"14","6","    Power and communication","W003RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.273,63.228,61.87,62.931,61.472,60.165,59.603,59.729,61.005,62.06,59.615,60.49,57.366,57.116,57.384,55.938,57.683,56.611,56.863,57.974,58.089,62.147,60.895,63.389,64.854,66.343,67.007,68.041,70.347,72.461,74.291,77.496,80.892,83.438,86.617,84.969,87.273,91.354,92.606,96.202,99.259,99.872,104.044,105.245,101.943,101.187,101.351
"15","7","    Mining exploration, shafts, and wells","E318RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.148,53.518,50.733,52.436,55.086,55.286,54.084,54.051,52.026,51.205,51.292,50.584,50.263,51.097,53.006,54.513,55.862,56.253,54.633,52.35,51.78,51.859,51.803,50.194,52.077,55.489,55.351,57.419,54.397,58.674,52.828,51.748,53.247,50.621,52.831,49.55,48.941,50.57,49.249,48.403,50.254,48.036,49.555,50.501,48.992,51.368,53.582
"16","8","    Other structures \1\","W004RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.219,51.605,53.17,55.787,55.663,57.671,60.934,59.547,63.398,64.835,65.132,66.297,65.41,63.87,62.797,61.672,64.561,65.991,64.771,63.665,63.628,67.143,69.263,73.957,77.847,75.649,74.937,72.048,75.849,84.876,88.497,88.634,91.089,88.281,86.063,85.161,86.705,84.206,85.918,86.275,80.501,77.31,73.097,72.408,73.549,74.367,78.119
"17","9","  Equipment and software","B010RA3",4.45,4.356,4.209,4.454,4.83,4.509,4.451,4.594,4.305,4.095,3.879,3.836,3.902,4.342,4.809,4.733,4.532,4.54,4.64,4.593,4.619,4.682,3.989,4.49,4.806,4.803,4.965,4.815,4.549,4.448,4.659,4.649,4.692,5.108,5.427,5.586,5.31,5.322,5.372,5.359,5.456,5.434,5.625,5.405,4.824,4.581,4.538,4.777,5.039,5.192,5.362,5.354,5.549,5.648,5.411,5.227,5.056,5.297,5.369,5.692,5.841,5.991,6.017,6.045,6.164,6.303,6.586,6.851,7.018,7.161,7.409,7.622,8.208,8.361,8.82,9.175,9.687,10.04,10.104,10.265,9.867,9.976,9.838,10.149,10.536,10.3,10.555,10.922,11.332,11.474,11.655
"18","10","    Information processing equipment and software","B679RA3",0.145,0.137,0.143,0.14,0.148,0.142,0.139,0.151,0.144,0.13,0.123,0.121,0.126,0.144,0.147,0.157,0.146,0.155,0.164,0.167,0.175,0.195,0.17,0.187,0.199,0.202,0.21,0.19,0.186,0.176,0.179,0.18,0.174,0.193,0.224,0.237,0.223,0.252,0.24,0.245,0.25,0.273,0.296,0.267,0.25,0.233,0.239,0.248,0.252,0.256,0.262,0.29,0.306,0.328,0.322,0.345,0.326,0.359,0.365,0.376,0.402,0.394,0.387,0.401,0.431,0.463,0.488,0.497,0.522,0.53,0.531,0.568,0.579,0.619,0.655,0.702,0.762,0.822,0.87,0.913,0.891,0.899,0.883,0.937,0.956,0.946,0.973,0.969,1.045,1.136,1.218
"19","11","      Computers and peripheral equipment \2\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.008
"20","12","      Software \3\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.003,0.009,0.023,0.036,0.046,0.051,0.049,0.05,0.052,0.057,0.06,0.065,0.073,0.089,0.107,0.135,0.162,0.18,0.184,0.184,0.18,0.176,0.195,0.215,0.244,0.276,0.307,0.341,0.375,0.412,0.419,0.423,0.416,0.426,0.442,0.462,0.482,0.505,0.541,0.6,0.669
"21","13","      Other \4\","B937RA3",2.087,1.963,2.049,2.012,2.131,2.035,1.991,2.176,2.063,1.873,1.773,1.738,1.806,2.069,2.107,2.263,2.103,2.223,2.361,2.393,2.521,2.8,2.438,2.694,2.862,2.896,3.024,2.726,2.671,2.524,2.575,2.592,2.507,2.778,3.214,3.409,3.204,3.616,3.442,3.524,3.593,3.927,4.251,3.836,3.59,3.354,3.436,3.561,3.627,3.69,3.759,4.094,4.197,4.448,4.276,4.518,4.265,4.709,4.702,4.836,5.156,5.027,4.79,4.774,4.922,5.097,5.233,5.23,5.437,5.521,5.504,5.917,5.922,6.208,6.498,6.686,7.118,7.429,7.586,7.68,7.427,7.463,7.332,7.733,7.862,7.591,7.689,7.598,8.166,8.7,9.214
"22","14","    Industrial equipment","B680RA3",31.023,28.852,29.063,26.273,28.525,26.747,24.855,26.448,24.125,20.579,19.178,18.24,19.726,23.495,24.001,27.641,23.905,26.023,28.705,27.878,28.2,30.267,25.751,26.478,28.898,30.216,31.262,31.536,30.895,30.831,32.897,31.052,28.521,30.15,31.819,34.226,32.945,33.555,36.11,35.094,35.178,35.042,35.299,33.913,30.864,29.012,27.669,28.657,29.484,28.83,28.926,30.719,31.361,33.678,31.624,30.524,28.571,29.695,29.927,32.203,32.308,32.646,31.334,30.293,31.987,33.554,35.101,36.097,36.774,36.873,38.817,42.079,42.637,44.487,47.076,47.998,49.608,52.674,53.368,53.882,54.388,53.297,50.779,51.904,52.718,51.302,50.565,51.611,53.472,54.568,56.213
"23","15","    Transportation equipment","B681RA3",15.212,15.561,14.741,16.814,17.498,16.164,15.98,15.226,15.624,16.213,16.215,16.446,15.674,16.497,20.552,18.674,18.603,17.498,16.875,15.603,15.552,14.251,11.884,14.932,16.241,16.801,17.201,17.13,15.51,14.093,14.448,14.945,17.032,18.896,20.084,19.08,17.427,17.022,15.976,17.046,17.614,17.577,18.756,18.159,14.297,12.52,11.986,13.783,15.953,17.669,19.148,16.918,19.106,18.239,18.23,16.212,15.578,16.241,16.954,19.086,19.772,20.64,21.586,21.668,20.295,19.286,19.987,21.424,22.008,22.848,24.494,22.28,27.983,27.805,28.916,30.086,32.167,32.091,30.961,31.02,28.815,30.041,31.323,31.887,36.273,34.763,36.776,38.963,39.836,38.99,37.997
"24","16","    Other equipment \5\","B862RA3",18.08,18.121,16.519,19.558,22.392,20.88,21.731,23.214,20.238,19.397,17.412,17.211,18.021,20.056,21.115,19.317,19.681,19.281,19.176,20.749,20.553,20.912,18.064,20.174,20.9,18.962,19.715,18.244,16.976,17.89,18.941,19.456,19.502,21.297,21.951,23.282,22.91,21.868,22.584,21.421,21.868,20.607,20.787,20.599,20.046,20.984,21.961,22.056,22.321,22.732,23.033,23.256,22.033,21.848,20.086,19.905,20.546,21.112,20.794,20.566,20.782,22.041,22.578,23.175,24.25,25.157,26.275,27.289,27.506,28.204,28.181,30.159,30.76,30.208,32.222,33.522,35.014,35.619,35.726,36.126,33.267,34.026,33.075,34.227,33.117,33.094,34.092,35.968,36.858,36.109,36.005
"25","17","Residential","B011RA3",14.609,13.882,16.009,19.103,18.876,19.977,19.341,17.908,16.562,16.276,17.671,19.841,22.093,24.235,25.567,24.363,23.068,19.961,18.688,18.861,19.354,19.711,19.513,20.56,20.881,20.94,20.146,19.972,20.182,21.496,22.808,24.245,26.044,26.429,25.865,24.768,24.114,23.97,23.499,23.131,22.801,22.25,21.95,21.918,21.051,21.104,22.643,25.055,27.906,28.897,28.351,27.524,28.314,25.986,25.197,25.164,25.261,25.352,26.721,27.618,28.116,28.995,28.971,28.933,29.978,32.135,32.73,33.726,35.792,33.99,33.435,32.825,32.94,33.197,33.327,32.605,33.346,30.671,29.674,26.561,25.762,28.691,30.129,31.884,32.079,32.889,33.48,33.897,35.118,34.741,34.457
"26","18","  Structures","B012RA3",14.945,14.205,16.396,19.68,19.415,20.596,19.918,18.377,17.004,16.7,18.195,20.467,22.798,24.97,26.365,25.042,23.765,20.538,19.18,19.377,19.909,20.247,20.096,21.106,21.443,21.51,20.712,20.546,20.773,22.119,23.453,24.935,26.834,27.2,26.621,25.454,24.725,24.577,24.073,23.758,23.345,22.782,22.48,22.462,21.669,21.597,23.114,25.546,28.545,29.584,29.098,28.264,29.052,26.633,25.789,25.776,25.887,25.963,27.377,28.321,28.857,29.747,29.694,29.64,30.72,32.955,33.565,34.603,36.741,34.848,34.257,33.626,33.698,33.958,34.083,33.287,34.063,31.305,30.239,27.035,26.202,29.244,30.713,32.472,32.651,33.487,34.045,34.475,35.716,35.28,34.974
"27","19","    Permanent site","B943RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.551,25.29,26.934,29.782,34.163,35.282,34.45,33.105,33.816,30.16,28.783,28.277,28.4,28.803,30.745,32.426,33.1,34.418,34.925,34.836,36.048,38.55,39.833,41.296,44.545,41.399,40.607,39.665,39.36,39.682,40.515,39.375,40.714,36.804,33.332,28.601,28.689,31.194,35.266,37.782,37.736,39.053,39.582,39.834,41.777,41.238,39.757
"28","20","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.871,23.626,25.157,27.808,31.905,32.896,32.093,30.842,31.833,28.277,26.793,26.03,25.782,25.726,27.174,28.33,28.252,28.848,28.75,28.292,28.633,30.158,30.946,32.139,35.698,33.131,32.634,32.262,31.887,32.361,33.55,32.869,33.965,30.738,27.77,23.894,24.49,27.045,30.463,32.046,31.064,31.68,31.314,31.318,32.121,30.589,29.085
"29","21","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.797,36.429,38.835,43.027,49.291,51.386,50.415,48.424,46.58,42.547,42.3,44.121,47.483,51.858,57.879,63.941,71.122,78.608,84.355,87.521,96.23,106.967,112.415,116.05,116.125,108.339,105.062,99.25,99.588,98.533,96.142,91.141,94.422,85.049,77.621,66.036,61.651,63.381,72.643,83.003,91.151,98.442,106.756,109.144,120.82,129.046,127.951
"30","22","    Other structures \6\","B863RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.676,15.901,17.223,19.014,19.907,20.818,20.855,20.794,21.695,21.151,21.114,21.839,21.929,21.514,22.127,21.962,22.286,22.526,21.632,21.632,22.503,24.322,23.919,24.314,24.78,24.766,24.48,24.326,24.974,25.14,24.189,23.907,23.798,22.808,25.477,24.636,22.374,26.245,23.694,24.276,24.801,24.888,25.493,26.202,26.353,26.079,27.563
"31","23","  Equipment","B013RA3",5.24,4.93,5.512,5.12,5.446,5.143,5.264,5.732,5.202,5.257,4.845,4.933,5.366,6.409,6.452,7.266,6.146,5.68,5.985,5.77,5.556,6.079,5.273,6.543,6.536,6.446,5.957,5.729,5.624,6.071,6.681,7.03,6.825,7.379,7.214,7.505,8.223,8.186,8.379,7.218,8.36,8.135,7.933,7.665,5.768,7.899,9.453,10.97,10.676,10.604,9.209,8.709,9.325,9.061,9.384,9.012,8.858,9.191,9.484,9.359,9.095,9.6,10.073,10.324,10.554,10.871,11.066,11.108,11.462,11.658,11.864,11.745,12.644,12.782,12.982,13.809,13.729,13.132,13.667,12.888,12.891,13.094,13.688,15.099,15.6,15.76,16.932,17.022,17.629,18.606,18.851
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RA3",19.457,18.868,20.555,22.864,22.832,23.931,23.691,22.687,21.5,21.065,21.789,23.237,25.348,27.385,28.935,28.196,27.286,25.246,24.188,23.941,24.345,24.665,24.638,25.759,26.315,26.568,26.045,26.117,26.396,27.455,28.406,29.444,31.181,31.736,31.704,31.159,31.029,31.392,31.116,30.858,30.446,30.041,29.831,29.738,28.915,28.414,29.188,31.105,33.183,34.322,34.377,33.682,34.81,33.265,32.692,33.227,33.237,33.044,34.06,34.655,35.307,36.479,36.845,36.425,36.654,38.943,39.481,40.536,42.459,41.69,41.836,41.532,42.497,43.988,44.288,44.662,45.712,43.351,43.072,40.07,39.698,41.242,42.497,43.774,44.31,44.723,44.982,45.712,46.92,46.781,47.593
"34","25","  Private fixed investment in equipment and software","A327RA3",4.447,4.349,4.214,4.449,4.822,4.502,4.448,4.596,4.303,4.098,3.88,3.84,3.911,4.358,4.817,4.754,4.54,4.542,4.644,4.595,4.618,4.686,3.995,4.504,4.815,4.811,4.964,4.813,4.549,4.456,4.672,4.667,4.706,5.123,5.435,5.595,5.332,5.344,5.395,5.37,5.477,5.453,5.64,5.42,4.826,4.608,4.582,4.835,5.09,5.24,5.394,5.38,5.579,5.674,5.444,5.258,5.088,5.329,5.403,5.721,5.866,6.019,6.05,6.08,6.2,6.341,6.622,6.885,7.053,7.197,7.444,7.654,8.242,8.395,8.85,9.21,9.715,10.059,10.127,10.279,9.885,9.996,9.864,10.185,10.573,10.341,10.604,10.968,11.38,11.529,11.711
"35","26","  Private fixed investment in new structures \7\","W040RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.865,31.201,31.94,33.971,36.072,37.24,37.285,36.543,37.734,36.16,35.593,36.222,36.259,36.065,37.135,37.737,38.453,39.697,40.052,39.549,39.732,42.122,42.65,43.752,45.882,45.132,45.349,45.026,45.993,47.586,47.939,48.346,49.512,47,46.854,43.715,43.285,44.855,46.073,47.387,48.051,48.493,48.684,49.423,50.844,50.7,51.653
"36","27","    Nonresidential structures","A771RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.441,43.975,42.996,43.683,43.656,45.052,46.437,46.139,48.029,48.605,48.734,50.622,50.424,49.653,49.754,49.568,50.55,52.402,53.794,52.535,50.744,53.063,53.413,54.476,55.904,57.748,59.569,59.941,62.886,67.101,67.703,70.66,72.33,70.899,72.398,69.874,70.53,68.492,69.147,69.223,70.598,70.026,69.623,71.059,72.154,72.742,76.196
"37","28","    Residential structures","A756RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.857,24.589,26.153,28.814,31.922,32.965,32.357,31.408,32.244,29.646,28.754,28.771,28.922,29.008,30.527,31.498,32.077,33.011,32.862,32.729,33.865,36.26,36.869,37.981,40.435,38.414,37.838,37.177,37.162,37.446,37.672,36.819,37.724,34.71,33.761,30.36,29.408,32.722,34.2,36.1,36.407,37.334,37.814,38.205,39.765,39.27,38.991
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
