"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Office \1\","W031RC1",0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0,0,0.1,0.5,0.4,0.6,0.5,0.6,0.7,0.5,0.8,1,1.3,1.7,1.6,1.6,1.7,1.8,2.1,2.3,2.2,2.4,3,3,3,3.4,4.1
"12","5","    Health care","W032RC1",0.2,0.2,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.8,1,1.3,1.3,1.6,1.7,1.8,1.7,2,2.7
"13","6","      Hospitals and special care","C311RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.8,1,1,1.3,1.4,1.4,1.3,1.6,2.2
"14","7","        Hospitals","W033RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.8,0.8,1,1.1,1.1,1.1,1.3,1.8
"15","8","        Special care","W034RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4
"16","9","      Medical buildings","W035RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5
"17","10","    Multimerchandise shopping","W036RC1",0.2,0.2,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,0.9,1,1.3,1.3,1.3,1.5,1.8
"18","11","    Food and beverage establishments","W037RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,1
"19","12","    Warehouses","W038RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8
"20","13","    Other commercial \2\","W039RC1",0.2,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,1,1,1,1.1,1.3
"21","14","  Manufacturing","C307RC1",0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.3,0.5,0.2,0.3,0.4,0.8,0.3,0.2,0.2,0.6,1.7,1.7,1.4,1,1.1,2.1,2.3,2.2,2,2.3,3.2,3.6,2.4,2.1,2.9,2.8,2.8,2.9,3.6,5.1,6.6,6,6,6.8
"22","15","  Power and communication","W003RC1",1.1,1,0.7,0.3,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.4,0.5,0.6,1,1.8,2.4,2.7,2.8,3,3.1,3.6,3.3,3.3,4.1,4.5,4.4,4.3,4.4,4.1,4.1,4.4,4.8,5.4,6.3,7.1,8.3,8.7
"23","16","    Power","W028RC1",0.7,0.7,0.5,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.7,1.3,1.7,2.1,2.3,2.5,2.5,3,2.7,2.5,3,3.5,3.5,3.4,3.3,3.1,3.1,3.2,3.4,3.9,4.7,5.5,6.6,6.5
"24","17","      Electric","C571RC1",0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.4,0.8,1,1.3,1.2,1.3,1.5,1.8,1.7,1.5,1.8,2.2,2.3,2,2,1.9,1.9,2,2.2,2.5,3,3.7,4.3,4.5
"25","18","      Other power","W029RC1",0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.7,0.8,1.1,1.2,1,1.2,1,1,1.2,1.3,1.2,1.4,1.3,1.3,1.2,1.2,1.3,1.4,1.7,1.8,2.3,2
"26","19","    Communication","C314RC1",0.4,0.3,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.5,0.7,0.5,0.4,0.5,0.6,0.6,0.7,0.8,1.1,1.1,0.9,1,1.1,1,1,1.1,1.3,1.5,1.6,1.6,1.7,2.2
"27","20","  Mining exploration, shafts, and wells","E318RC1",0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.3,0.4,0.6,0.7,0.8,0.9,1.2,1.2,1.4,1.7,2,2.1,2.3,2.5,2.7,2.6,2.4,2.5,2.3,2.3,2.5,2.3,2.4,2.4,2.5,2.4,2.6,2.8
"28","21","    Petroleum and natural gas","C319RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,1.2,1.2,1.4,1.6,1.9,2.1,2.2,2.4,2.6,2.5,2.3,2.4,2.2,2.2,2.3,2.1,2.3,2.3,2.3,2.3,2.3,2.5
"29","22","    Mining","C320RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
"30","23","  Other structures","W004RC1",1.8,1.6,1,0.5,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.9,0.8,0.8,1,1.2,2.7,2.6,2.9,2.9,2.9,3.2,3.3,3.5,3.6,3.7,4,4.1,4.2,4.7,5.2,5,5.2,5.6,6.2,7.2,7.8,7.8,7.3,7.8
"31","24","    Religious","C309RC1",0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1,1,1,1.2,1.1,1.1,1.1,1
"32","25","    Educational and vocational","W044RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.1
"33","26","    Lodging","W045RC1",0.2,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.9,1.4,1.4,1.4,1.2,1.2,1.3
"34","27","    Amusement and recreation","W046RC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,0.8,0.9,1,1,1.3,1.4,1.4,0.8,1
"35","28","    Transportation","W047RC1",0.9,0.8,0.5,0.3,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.7,0.8,0.9,0.9,0.8,0.9,1,1,0.9,0.8,1,1,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.9,1,0.9,1,1.1
"36","29","      Air","W048RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"37","30","      Land \3\","W049RC1",0.9,0.8,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.7,0.8,0.9,0.8,0.8,0.9,1,1,0.9,0.8,0.9,0.9,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1
"38","31","    Farm","C316RC1",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.8,0.8,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.8,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.6,1.7
"39","32","    Other \4\","W050RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5
"40","33","    Brokers' commissions on sale of structures","C321RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"41","34","    Net purchases of used structures","E322RC1",0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0.1,0.6,0.4,0.2,0.1,0,0,0,0,-0.1,0.1,-0.2,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.2,-0.1,-0.1,-0.1
"42","35","Residential","A012RC1",3.9,2.3,1.7,0.7,0.6,0.9,1.2,1.6,2,2.1,3,3.4,4,2.1,1.4,1.3,1.7,7.6,11.8,15.3,14.3,20.2,18.1,18.2,19,20.7,24.6,23.1,21.7,21.9,27.5,25.8,25.9,28.4,31.5,33.6,33.5,31.6,31.6,37.9,41.6
"43","36","  Permanent site","A943RC1",3.2,1.7,1.4,0.5,0.3,0.4,0.8,1.3,1.6,1.7,2.4,2.7,3.2,1.6,0.8,0.7,0.8,5.2,8.3,11.2,10.7,16.1,13.8,13.4,13.9,15.4,18.6,16.5,15.1,15.4,19.7,17.5,17.4,19.9,22.4,24.1,23.8,21.8,21.5,26.7,29.2
"44","37","    Single-family structures","A944RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,16.7,14.9,14.1,15.1,16,17.6,17.8,16.6,16.8,19.5,19.7
"45","38","    Multifamily structures","C292RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,2.6,3.3,4.8,6.4,6.4,6,5.2,4.7,7.2,9.5
"46","39","  Other structures","A863RC1",0.7,0.6,0.4,0.2,0.3,0.5,0.5,0.4,0.4,0.4,0.6,0.7,0.7,0.6,0.5,0.6,0.8,2.4,3.5,4.2,3.7,4,4.3,4.9,5.1,5.3,6,6.6,6.6,6.4,7.9,8.3,8.5,8.5,9.1,9.5,9.7,9.8,10.1,11.1,12.4
"47","40","    Manufactured homes","A945RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.9,1,1.1,1.2,1.7,2.3
"48","41","    Dormitories","C295RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.4,0.6,0.6,0.6,0.5,0.4,0.3
"49","42","    Improvements","A946RC1",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.3,0.5,1.8,2.7,3.4,3.1,3.4,3.5,3.9,4.1,4.2,4.7,5.1,5.4,5.3,6.1,6.5,6.7,6.2,6.5,6.6,6.6,7,7.4,7.6,8.2
"50","43","    Brokers' commissions on sale of structures","A758RC1",0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,0.9,1.1,1.4,1.2,1.3,1.5,1.7,1.8,1.9,1.8,1.8,2.1,2.3
"51","44","    Net purchases of used structures","A759RC1",0,0,0,0,0,0,0,-0.2,-0.2,-0.2,0,0.1,0,0,0.1,0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.4,-0.7,-0.3,-0.3,-0.4,-0.3,-0.2,-0.3,-0.4,-0.6,-0.8,-0.8,-0.8
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RC1",9.2,6.6,4.3,2.1,1.6,1.9,2.5,3.6,4.7,4.2,5.1,5.8,7,4.1,2.8,3.4,4.6,13.8,18.9,24.1,23,29.5,29.4,29.7,31.9,33.7,38.6,40.5,40.1,39.1,44.7,44.5,44.8,48.3,51.5,56.1,60.4,61.8,62,69.9,77.6
"54","46","    Nonresidential structures","A771RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.2,2.2,1.8,2.4,3.2,6.6,7.7,9.3,9,9.9,11.9,12.2,13.5,13.8,14.9,18.2,18.9,17.6,18.2,19.7,19.9,21,21.5,24,28.4,31.3,31.3,33.4,37.5
"55","47","    Residential structures","A756RC1",3.7,2.1,1.6,0.7,0.5,0.7,1.1,1.7,2,2.1,2.8,3.2,3.8,1.9,1.1,1,1.4,7.1,11.2,14.8,13.9,19.7,17.5,17.6,18.3,19.9,23.7,22.3,21.2,21.5,26.5,24.8,25,27.3,30,32.1,32.1,30.5,30.6,36.5,40.1
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
