"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","    Compensation of employees","W462RC1",62.1,65.2,67.1,70.6,78.9,85.9,92.8,100.8,108.5,119.5,133.4,145.6,157.8,166,175.2,191.4,206.3,216.3,226.4,251.5,268,287.5,294.9,310.3,325.5,343,359.7,378.7,400.6,430.7,464.6,501.7,577.1,612.2,652.8,717,774.1,849.5,922.9,943.3,906.3,921.9
"19","12","      Wage and salary accruals","W463RC1",57.1,59.7,61,63.8,71,76.8,81.7,88,93.9,104.7,116.5,126.9,137,143.9,150.8,164.4,176.5,184.5,193.8,213,225.6,240.8,245.1,257.1,269.1,285.1,299.7,316.5,336.2,362.6,391.8,423,480.3,508.2,541.7,591.1,639.1,704.9,770.7,785.2,748.3,762.2
"20","13","      Supplements to wages and salaries","W464RC1",4.9,5.4,6.1,6.8,7.9,9.1,11,12.8,14.5,14.8,16.9,18.7,20.8,22.1,24.4,27,29.8,31.8,32.6,38.5,42.4,46.7,49.8,53.2,56.3,57.9,60,62.2,64.4,68.1,72.8,78.6,96.8,104,111.1,125.9,134.9,144.6,152.1,158,158,159.7
"21","14","    Proprietors' income with IVA and CCAdj","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1097.9,941.2,1036.4
"22","15","    Rental income of persons with CCAdj","W155RC1",6,6.2,6.3,7.3,8.7,8.5,8.7,8.7,9.5,10.1,11.4,14.3,20.1,24.2,25.8,28.5,32.5,29,27.4,25.8,25.3,29.2,34.4,42.1,47.6,52.1,56.1,58.4,61.3,60.7,60.5,60.7,64.6,58.8,55,55,56.8,59.4,71.1,96.2,107.8,113.6
"23","16","    Net interest","W468RC1",10.4,12,13.7,15.7,19.5,23.4,26.4,28.9,32.4,36.5,44,52.6,64.2,72.9,77.9,95,106.2,115.7,113.4,124.4,143.5,142,136,122.5,115.1,119.5,117.5,122.2,131,144.7,138.9,156.8,162,137,133.7,135.4,181.2,207.3,237.6,199.1,152.4,111.7
"24","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1",13.6,15.1,17,16.7,19.2,22.9,24.5,26.1,26.5,26.9,29.4,32.6,37.3,29.2,25.9,31.3,34.3,34.9,36.5,40.7,46.5,52.7,55.8,60.2,56.5,69.6,72.5,84.1,99,109.1,110.9,117.4,125.5,141.5,151.3,167.8,174.3,194.5,209.1,199.4,209.8,217.9
"25","18","    Current surplus of government enterprises \1\","A108RC1",1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-11.8,-16,-14.9,-15.7
"26","19","    Sole proprietorships and partnerships","A1641C1",140.5,144.7,154.2,168.4,197.4,208.1,220.4,241.7,263.1,296.4,329.3,339,368.8,367.2,388.5,462.2,495.9,524.8,557.7,629.3,680.3,709.9,711.5,764.4,807.7,876.3,924.5,1024.5,1108.9,1214.9,1296.9,1416.7,1552.7,1590.8,1675.1,1843.6,1978.7,2148.8,2210.9,2181,1954.5,2033.7
"27","20","      Compensation of employees","A1642C1",48.1,49.2,49.6,51.6,58.1,62.3,65.8,71.6,76.8,85,95.1,102.2,108.9,114.5,120,132.1,142.1,149.6,155.9,175.6,188.2,200.9,204.4,214.8,228.2,241.6,255.6,271.2,288.7,312.8,341.3,369.6,439.9,468,506.6,559.6,612,679.8,745.8,760.2,724.1,738.7
"28","21","        Wage and salary accruals","B1643C1",44.2,45.1,45.3,46.8,52.4,56.1,59,63.7,68,76.2,85.2,91.8,97.9,103,107.3,117.4,126.2,132.1,138.5,154.2,163.9,174.5,176.3,185,196,209.1,221.5,235.7,252,273.6,298.8,323,377.1,399.5,429.9,472.7,517.7,577.8,637.8,647.9,612,625.5
"29","22","        Supplements to wages and salaries","B1644C1",3.9,4.1,4.3,4.8,5.6,6.2,6.8,7.9,8.8,8.8,9.8,10.4,11,11.5,12.7,14.7,16,17.4,17.4,21.4,24.3,26.3,28.1,29.8,32.2,32.5,34.1,35.6,36.7,39.2,42.6,46.6,62.8,68.5,76.7,86.9,94.3,102,108,112.4,112.1,113.2
"30","23","      Proprietors' income with IVA and CCAdj","A1645C1",77.1,78,84.2,95.5,113,112.9,119.1,131.7,145.4,166.9,180.4,172.9,181,174.1,189.6,231.8,245.1,261.6,292.6,333,349.7,363.6,365.5,413,447.7,482.7,513.5,581.3,625.6,685.6,745.4,816.1,869.3,889,929.4,1031.4,1067.4,1130,1086.9,1093.7,935.3,1029.3
"31","24","        Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,37.8,51.8,39.2,52.2
"32","25","        Nonfarm","A1646C1",64.2,65.1,70.8,78.5,84,89.5,97.1,114.5,129.4,146.9,158.3,161.2,162,160.8,183.5,210.9,224.1,238.7,263.7,306.2,316.6,331.4,338,377.2,415.6,447.1,490.1,542.9,593,656.7,716.9,786.5,838.8,870.6,892.9,981.8,1023.5,1100.7,1049.1,1041.9,896.1,977.1
"33","26","      Net interest","B1649C1",5.1,6,7.2,8.4,11.2,14,15.5,17.1,19.3,22.1,28.1,34.5,44,50.8,54.1,68.6,76.2,81.8,77.3,85.8,101.9,98.7,91.9,82.4,79.9,86.5,85.2,90.7,99.8,113.5,106.7,122.7,127.4,101.6,98.1,96.9,139,160.3,186.1,143.6,99,62.2
"34","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",10.3,11.5,13.2,12.9,15.1,18.9,20,21.4,21.5,22.4,25.7,29.4,34.9,27.8,24.7,29.7,32.5,31.8,31.9,34.9,40.6,46.8,49.8,54.2,52,65.5,70.1,81.2,94.8,103,103.5,108.2,116.1,132.2,140.9,155.6,160.3,178.7,192.2,183.5,196.1,203.5
"35","28","    Other private business","A1650C1",18.1,19.4,20.6,22.8,25.8,26.8,29.2,30.9,33.9,35.9,38.7,43.8,51.5,57.1,61,67.9,76,78.1,81.3,83.9,87.4,93.1,99.6,104,103.4,106.2,108.4,110.9,116.5,119.8,123.3,129.1,135,132.7,131.9,140.2,149.4,161.8,182.4,213.8,222.2,227.1
"36","29","      Compensation of employees","A1651C1",3,3.2,3.4,3.8,4.1,4.4,4.7,5.1,5.7,6.2,6.9,7.6,8.2,8.7,9.3,10.1,10.7,11.2,11.6,11.8,12.6,13.1,13.3,13.8,14.2,14.6,15.1,15.8,17.1,19.8,21.7,23.8,25,28,29.7,32.2,34,36.7,39.4,41.9,41.5,42.5
"37","30","        Wage and salary accruals","B1652C1",2.8,2.9,3.1,3.4,3.7,3.9,4.2,4.5,5,5.6,6.3,6.9,7.4,7.8,8.3,8.9,9.5,9.9,10.3,10.5,11.2,11.6,11.7,12,12.4,12.7,13.1,13.7,14.8,17,18.5,20.1,21,23.3,24.9,26.8,28.4,30.8,33.3,35.3,35,35.9
"38","31","        Supplements to wages and salaries","B1653C1",0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.3,2.9,3.2,3.6,4,4.6,4.8,5.4,5.6,5.8,6.2,6.6,6.5,6.6
"39","32","      Proprietors' income with IVA and CCAdj","A1654C1",0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,1,1.3,1,1,1.6,1.9,1.9,1.5,1.8,1.9,1.9,2.4,2.5,2.3,2.6,2,1.5,1.4,1.4,1.3,1.2,2.3,2.4,3,3.5,4.2,6,7.1
"40","33","      Rental income of persons with CCAdj","W155RC1",6,6.2,6.3,7.3,8.7,8.5,8.7,8.7,9.5,10.1,11.4,14.3,20.1,24.2,25.8,28.5,32.5,29,27.4,25.8,25.3,29.2,34.4,42.1,47.6,52.1,56.1,58.4,61.3,60.7,60.5,60.7,64.6,58.8,55,55,56.8,59.4,71.1,96.2,107.8,113.6
"41","34","      Net interest","B1657C1",5.3,5.9,6.6,7.3,8.3,9.4,10.9,11.8,13.1,14.4,16,18.1,20.2,22.1,23.8,26.4,30,33.8,36.1,38.6,41.6,43.3,44.1,40.1,35.2,32.9,32.3,31.5,31.3,31.2,32.2,34.1,34.6,35.4,35.6,38.5,42.2,46.9,51.5,55.5,53.4,49.6
"42","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",3.3,3.6,3.8,3.8,4.1,4,4.4,4.7,5,4.6,3.7,3.2,2.4,1.4,1.1,1.6,1.7,3.1,4.5,5.8,5.9,5.9,6,6,4.5,4.1,2.4,2.9,4.2,6.1,7.4,9.2,9.5,9.3,10.3,12.2,14,15.9,16.9,15.9,13.6,14.4
"43","36","    Government enterprises","W474RC1",12,12.8,13.8,15.7,16.4,18.4,19,22.2,23.3,26.1,28.5,30.7,35,38.3,42.8,47.4,54,56.5,59,66.6,72.2,75.1,82.9,90,91.7,96.4,102.1,106,108.9,111.3,115.7,117.4,116.2,122.6,123.5,126.5,124.6,128.8,125.9,125.2,125.8,125
"44","37","      Compensation of employees","A1658C1",11,12.8,14,15.2,16.8,19.3,22.2,24,25.9,28.3,31.4,35.8,40.6,42.8,46,49.3,53.4,55.6,58.9,64,67.3,73.5,77.2,81.8,83,86.8,89,91.7,94.8,98,101.6,108.3,112.2,116.3,116.5,125.2,128.1,133,137.7,141.1,140.7,140.6
"45","38","        Wage and salary accruals","B1659C1",10.2,11.7,12.5,13.5,14.9,16.8,18.5,19.8,20.9,22.9,25,28.2,31.7,33.1,35.3,38.1,40.8,42.5,45,48.3,50.6,54.7,57.1,60.1,60.7,63.3,65.1,67.2,69.4,72,74.6,79.9,82.2,85.4,86.9,91.6,93,96.2,99.7,102,101.3,100.8
"46","39","        Supplements to wages and salaries","B1660C1",0.8,1.1,1.5,1.7,1.9,2.5,3.7,4.3,5,5.5,6.4,7.5,8.9,9.7,10.7,11.2,12.6,13.1,13.9,15.7,16.7,18.8,20.1,21.7,22.3,23.4,23.9,24.5,25.4,26,27.1,28.4,30,30.9,29.6,33.6,35.1,36.8,38,39.1,39.4,39.9
"47","40","      Current surplus of government enterprises \1\","A108RC1",1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-11.8,-16,-14.9,-15.7
"48","41","Households and institutions","W503RC1",72.8,79.1,87.3,94.8,102.8,111.9,122.8,133.4,144.8,161.3,179.8,206.6,235.5,263.6,290,318.8,345.3,373.1,408.7,450.2,489,533.4,571.1,612.2,646.9,688.5,733.4,772.8,818,870.6,932.5,994.7,1057.9,1112.5,1146.7,1201.6,1261.3,1334.7,1400.3,1511.1,1543.5,1543.2
"49","42","  Households","W504RC1",46.5,49.7,54.4,58.5,62.5,67.1,72.8,79,85.4,95,105.4,121.5,139,155.3,169.5,185.5,202.4,216.8,233.1,254.2,274.4,297,314.9,334,352.4,380.4,405.6,428.6,454.3,481.6,518.4,554.9,591.9,611,616.5,642.6,683,725.6,760,833.3,842.5,828.3
"50","43","    Compensation of employees","W151RC1",4.4,4.5,4.6,4.6,4.8,4.6,4.6,5.4,5.9,6.5,6.4,6.1,6.2,6.3,6.3,7.3,7.3,7.7,7.7,8.3,9,9.4,9.2,10.2,10.8,11.2,12,12.2,12.2,14.1,12.9,13.8,13.1,12.8,14.2,15.2,15.3,16.5,18.1,19.1,17.5,15.5
"51","44","      Wage and salary accruals","B1661C1",4.4,4.4,4.5,4.6,4.7,4.5,4.6,5.3,5.8,6.4,6.3,6,6,6.1,6.2,7.1,7.2,7.6,7.6,8.2,8.8,9.2,9,10,10.5,10.9,11.7,11.8,11.9,13.8,12.5,13.4,12.8,12.5,13.9,14.8,15,16.1,17.7,18.6,16.8,14.8
"52","45","      Supplements to wages and salaries","B1662C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.7
"53","46","    Rental income of persons with CCAdj","B1156C1",14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,68.1,130,191.9,230
"54","47","    Net interest","A2015C1",14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,142.2,156.6,165.9,176.2,190.2,205,211.9,213.6,204.7,204.9,221.9,231.3,246.2,257.7,276.1,303.2,324.9,341.2,348.2,371.9,423.9,491.2,538.9,547.2,489.1,435.1
"55","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1",12.7,14.4,15.9,17.3,18.6,19.5,21.5,24.2,26.9,27.6,27.9,30.1,33.8,36.7,39.1,42.1,44.6,48.7,53.8,56.3,59.2,63.1,67.8,69.2,72.1,75.5,75.8,75.9,83.7,82.5,85.5,87,90,101.1,108.5,116,125.9,134.6,135,136.9,144,147.7
"56","49","  Nonprofit institutions serving households","W505RC1",26.3,29.4,32.9,36.3,40.3,44.8,50,54.4,59.4,66.3,74.4,85.1,96.5,108.3,120.5,133.3,142.9,156.3,175.6,196,214.6,236.4,256.2,278.2,294.4,308,327.8,344.2,363.7,389,414.2,439.7,466,501.5,530.3,559,578.4,609.1,640.3,677.8,701,714.9
"57","50","    Compensation of employees","W152RC1",25,27.9,31,34.3,38.2,42.6,47.3,51.6,56.4,63,70.5,80.4,90.7,101.1,111.8,122.6,132.2,144.4,163.3,182.5,200.2,221.4,240.1,261.1,275.3,289.4,308,323,341.2,365.5,389.9,415.4,441,476.5,506.4,535.6,555.8,587,616.5,652.4,676.3,691.2
"58","51","      Wage and salary accruals","W481RC1",23.3,25.9,28.6,31.3,34.5,38.3,42.5,46.1,50.1,56.2,62.9,71.8,80.9,90.2,98.5,106.7,114.6,125,141.6,159,173.4,191,206.3,223.4,234.7,246.7,262.9,276.3,292.2,311.3,329.3,351.7,374.4,400,421.3,441.9,458.4,485.9,514.3,543.8,562.9,576.9
"59","52","      Supplements to wages and salaries","W482RC1",1.7,2,2.4,3,3.7,4.2,4.9,5.5,6.4,6.8,7.7,8.6,9.8,10.9,13.3,15.9,17.6,19.4,21.7,23.5,26.8,30.4,33.8,37.7,40.6,42.7,45,46.7,49,54.1,60.6,63.7,66.6,76.5,85,93.7,97.5,101.1,102.3,108.6,113.4,114.4
"60","53","    Rental income of persons","W159RC1",0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.8,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.6,1.7,2.1,2.6,2.8,3.1,3.5,3.6,3.6,4,4.2,3.8,3.8,3.6,3.8,4.6,5.3,6.3,6.6
"61","54","    Net interest","B1131C1",0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.6,8.7,9.7,10.4,10.8,11.4,11.9,13.8,12.7,13.4,14.5,15.2,15.6,15.9,15.8,15.8,15.2,14.2,13.4,12.3,11.2,11.4,11.8,9.8,8.1
"62","55","    Taxes on production and imports","B1320C1",0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.7,1.8,2,2.1,2.2,2.5,2.6,2.9,3.1,3.4,3.6,3.6,3.9,3.9,4,4.3,4.4,4.7,4.9,5.1,5.6,5.9,6.3,6.6,7.1,7.8,8.3,8.6,8.9
"63","56","General government","A194RC1",107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.6,499.5,532.3,567.1,609.7,647.5,677.3,700.7,724.1,743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1361.4,1438.4,1493.6,1530.5
"64","57","  Compensation of employees","A194RC1",107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.6,499.5,532.3,567.1,609.7,647.5,677.3,700.7,724.1,743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1361.4,1438.4,1493.6,1530.5
"65","58","    Wage and salary accruals","B1663C1",95.4,105.5,114.3,124.3,133.9,143.7,157.7,169.1,181.7,197.1,212.1,233.2,254.2,274.4,289.5,310,333,354.8,378.2,403.8,430.5,464.4,491.7,511.9,528.3,546.1,564,580.9,602.4,629.2,659.1,699.8,739.7,787.7,826.4,861.2,898.5,938.9,989.3,1042.1,1073.9,1090.1
"66","59","    Supplements to wages and salaries","B1664C1",12,13.9,16.6,18.7,21.5,26,31.9,37.2,43.3,47.5,54,62.3,71,78.3,85.8,100.4,110.6,115.9,121.4,128.6,136.6,145.4,155.9,165.3,172.3,177.9,179.6,185.9,189.8,191.5,203.9,212.2,227.5,246.4,283,304.7,329.3,348.3,372,396.3,419.7,440.4
"67","60","Rest of the world","A192RC1",6.1,6.4,7.6,8.6,12.6,15.5,13,16.8,20.3,21.6,31.9,34.2,32.9,36.5,37.1,36.3,26.5,17.6,17.7,23.4,25.9,34.4,29.9,29.1,31.2,24.1,29.7,31.7,23.5,17.3,27.8,37.7,51.9,49.1,68.7,91.2,97.1,72.4,123.3,169.2,152.3,189.4
"68","61","  Compensation of employees","A4187C1",0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-1.8,-1.4,-0.9,-1.3,-2.3,-2.8,-3,-3.3,-4,-4.1,-4.1,-4.4,-4.6,-5.2,-4.7,-5.2,-5.6,-5.7,-6.1,-6.4,-6.6,-7.1,-10.8,-9.1,-9.2
"69","62","  Corporate profits","B394RC1",6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,121.5,145.6,169.7,157.9,165.8,205,239.4,256.8,350.9,406.6,360.4,381.9
"70","63","  Net interest","A1627C1",-0.5,-0.7,-0.3,-1,-2.3,-1.9,-1.6,0.3,1.2,-1.2,-2.6,-1.2,3.4,4.1,2.2,-0.1,-11.3,-20.1,-29,-32.8,-39.9,-39.4,-43.8,-41,-42.4,-49.9,-59.2,-66.2,-79.7,-80.9,-88.5,-103.2,-112.6,-103.2,-91.4,-107.7,-135.9,-177.8,-220.5,-226.7,-199.1,-183.3
"71",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","64","    Corporate profits with IVA and CCAdj","A445RC1",87.9,75.4,88.2,101.9,109.6,97.7,118.7,145.1,172.7,195.6,190.7,166,193.6,173.1,224.8,282,294.4,274.7,319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1159.8,841.8,1001.6,1418.2
"74","65","      Profits before tax (without IVA and CCAdj)","E561RC1",84.8,73.9,85,98.7,120.1,130.3,130.9,163.2,191.4,223.3,237.5,218.1,214.1,166,198.9,232,219.4,206.5,275.1,332.9,323.3,335.6,348.9,401.3,442.1,521.1,591.4,638.8,694.2,620.1,659,626.8,543,607.5,737.7,1024.4,1400.7,1565.9,1387.5,953.3,1095.3,1437.5
