"","Table 7#20# Transactions of Defined Benefit and Defined Contribu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"11","4","    Claims to benefits","Y206RC1",150.2,168.3,185.7,194.7,200.9,228.5,237.7,250.7,284.4,295.6,305.5,320.4,341.3,367.1,394.4,428.6,453.6,474.6,494.8,515.3,558.7,587.9,630.7,672,700.2,697.3,734.2,749.1,770.3,786.2,808.5
"12","5","      Actual employer contributions","Y203RC1",137,143.9,148.8,151.7,148.1,154.3,155.4,167.1,175.3,185.1,195.1,200.6,199.9,202.9,214.6,213.3,225.3,244.7,290.5,339.1,331.1,347.4,370.3,389.5,453.3,467,503.5,525.8,539.1,546.5,554.1
"13","6","      Imputed employer contributions","Y604RC1",-28.6,-23.4,-14.5,-11.9,-4.6,10.5,15.6,12.3,28.2,23.4,19.6,19.7,30.6,42.3,48.9,63.2,67.8,64.3,31.7,-0.9,37,36.1,34.9,39.2,-5.8,-22.9,-30.1,-51.5,-59.1,-60.1,-60.2
"14","7","      Actual household contributions","Y208RC1",44.8,51.6,55.5,59.1,61.9,68.4,71.9,77,86.8,93.5,97.8,107.6,120.2,132.2,141.9,163.5,173.8,180.3,187.5,192.2,207.7,222.9,247.3,267.2,273.3,271,280.5,295.2,311.9,322.3,337.7
"15","8","      Less: Pension service charges for defined benefit pension plans \1\","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22.5,23
"16","9","    Household pension contribution supplements \2\","Y209RC1",157.9,166.3,181.6,197.3,208.1,226,243.1,252.6,260.5,261,274.6,290.7,293.8,303.2,296.1,295,294,309,331.3,345.7,357.2,369.7,390.5,418,465.1,489.4,476.5,482.6,504.7,519.1,523.2
"17","10","    Less: Pension service charges for defined contribution pension plans \1\","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,5.1,5.7,6.2
"18","11","  Income receipts on assets","Y209RC1",157.9,166.3,181.6,197.3,208.1,226,243.1,252.6,260.5,261,274.6,290.7,293.8,303.2,296.1,295,294,309,331.3,345.7,357.2,369.7,390.5,418,465.1,489.4,476.5,482.6,504.7,519.1,523.2
"19","12","    Interest","Y233RC1",138.2,144,158.3,172.3,182.1,196.6,210.4,216.3,220.9,218.5,228.3,240.1,238.1,243.9,236.4,234.5,233.9,248.9,270.3,280.9,279.8,279,284.9,296,335.4,371.3,360.9,366.2,375.4,374,361.4
"20","13","      Monetary interest","Y210RC1",80.5,94.4,105.1,113.7,119.3,132.9,142.9,150.9,147.6,147,158,172.5,180.6,195.2,199,205.3,203.2,186.8,177.5,173.9,171.9,174.4,182.4,194.5,188.9,172.3,166,171,166.7,161.8,167.5
"21","14","      Imputed interest on plans' claims on employers \3\","Y609RC1",57.7,49.6,53.3,58.7,62.8,63.6,67.5,65.5,73.3,71.4,70.2,67.7,57.5,48.7,37.4,29.2,30.7,62.1,92.8,107,107.9,104.6,102.6,101.5,146.5,199.1,194.9,195.2,208.7,212.2,193.9
"22","15","    Dividends","Y234RC1",19.7,22.3,23.2,25,26,29.4,32.7,36.2,39.6,42.6,46.4,50.6,55.7,59.3,59.7,60.5,60,60,61,64.9,77.4,90.7,105.6,121.9,129.7,118,115.6,116.4,129.3,145,161.9
"23","16","Current expenditures","Y212RC1",469.1,504.7,553,593.6,621.6,685.2,729.1,761.5,811.2,824,861.8,909.3,938.2,983.8,997.5,1030,1054.8,1107.2,1172.4,1221.9,1290.1,1345.8,1433.5,1531.9,1651,1693.9,1706.8,1734.7,1801.3,1846.8,1878.1
"24","17","  Administrative expenses (8+10)","Y204RC1",3.4,4.2,4.7,4.8,5.1,5.7,6.1,6.8,7.2,8,8.7,9,11,12.7,14.1,13.5,15.5,16.8,16.9,17.1,19.2,20.8,24.4,26.7,23.4,21.3,24.2,25.1,26.7,28.3,29.2
"25","18","  Imputed income payments on assets to persons","Y209RC1",157.9,166.3,181.6,197.3,208.1,226,243.1,252.6,260.5,261,274.6,290.7,293.8,303.2,296.1,295,294,309,331.3,345.7,357.2,369.7,390.5,418,465.1,489.4,476.5,482.6,504.7,519.1,523.2
"26","19","    Interest","Y233RC1",138.2,144,158.3,172.3,182.1,196.6,210.4,216.3,220.9,218.5,228.3,240.1,238.1,243.9,236.4,234.5,233.9,248.9,270.3,280.9,279.8,279,284.9,296,335.4,371.3,360.9,366.2,375.4,374,361.4
"27","20","    Dividends","Y234RC1",19.7,22.3,23.2,25,26,29.4,32.7,36.2,39.6,42.6,46.4,50.6,55.7,59.3,59.7,60.5,60,60,61,64.9,77.4,90.7,105.6,121.9,129.7,118,115.6,116.4,129.3,145,161.9
"28","21","  Benefit payments and withdrawals","Y235RC1",142,170.7,203.7,201.1,203.9,223.1,227.7,241.6,265.2,277.9,294.1,324.2,363.6,395.8,447.1,501.3,542.9,525.1,541.6,541.9,590.8,628.5,706.9,772.9,766.4,762.2,831.7,864.7,945.5,1009.6,1068.8
"29","22","  Net change in benefit entitlements for defined benefit plans \4\","Y632RC1",134.4,131.2,130.3,139.8,152.7,170.1,181.6,182,199.4,191,194.7,197.7,181.4,184.4,165.6,154.5,139.5,153.3,169.5,191.2,201.2,200.5,186.8,187.1,211.9,231.4,221.7,207.2,177.2,131.6,87.8
"30","23","  Net change in assets from current transactions for defined contribution plans","Y905RC1",31.3,32.2,32.7,50.6,51.8,60.2,70.5,78.6,78.9,86.2,89.6,87.6,88.4,87.7,74.6,65.7,63,103.1,113.1,125.9,121.9,126.2,124.9,127.3,184.1,189.6,152.7,155.1,147.2,158.3,169
"31","24","Cash flow","Y218RC1",136.6,137.2,124.2,143.6,146.3,156.2,169.1,182.8,176.9,182.3,194.5,198,181.6,181.1,154,127.8,104,130,158,211,178.2,186,174.3,173.7,255.3,244.8,209.6,218.6,174.8,137.8,123.1
"32","25","  Actual employer and household contributions (5+7)","Y219RC1",181.8,195.4,204.3,210.8,210,222.7,227.3,244.1,262.1,278.6,292.9,308.2,320.1,335.1,356.5,376.8,399.1,425,478.1,531.3,538.8,570.3,617.7,656.7,726.6,738,784,821,851,868.8,891.8
"33","26","  Monetary income receipts on assets (13+15)","Y220RC1",100.2,116.7,128.3,138.6,145.3,162.4,175.6,187.1,187.2,189.6,204.4,223,236.2,254.5,258.7,265.8,263.2,246.9,238.5,238.8,249.3,265.1,287.9,316.5,318.6,290.3,281.6,287.5,296,306.8,329.4
"34","27","  Less: Benefit payments and withdrawals","Y235RC1",142,170.7,203.7,201.1,203.9,223.1,227.7,241.6,265.2,277.9,294.1,324.2,363.6,395.8,447.1,501.3,542.9,525.1,541.6,541.9,590.8,628.5,706.9,772.9,766.4,762.2,831.7,864.7,945.5,1009.6,1068.8
"35","28","  Less: Administrative expenses","Y204RC1",3.4,4.2,4.7,4.8,5.1,5.7,6.1,6.8,7.2,8,8.7,9,11,12.7,14.1,13.5,15.5,16.8,16.9,17.1,19.2,20.8,24.4,26.7,23.4,21.3,24.2,25.1,26.7,28.3,29.2
"36",NA,"Effect of participation in defined benefit and defined contribution pension plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","Effect on personal income (1-7-9 or 16-7-9)","Y226RC1",266.3,286.8,315.9,337.2,351.6,390.8,414.1,431.9,464,469.5,489.3,511,524.3,548.4,559.6,571.5,587.1,617.9,653.5,684,725.2,753.2,795.7,846.7,912.6,933.5,949.8,956.9,984.7,1005.4,1017.1
"38","30","Less: Effect on personal consumption expenditures (2)","Y204RC1",3.4,4.2,4.7,4.8,5.1,5.7,6.1,6.8,7.2,8,8.7,9,11,12.7,14.1,13.5,15.5,16.8,16.9,17.1,19.2,20.8,24.4,26.7,23.4,21.3,24.2,25.1,26.7,28.3,29.2
"39","31","Equals: Effect on personal saving","Y228RC1",262.9,282.6,311.2,332.4,346.5,385.1,408,425.1,456.8,461.5,480.6,502,513.2,535.7,545.5,557.9,571.6,601.2,636.6,666.9,706.1,732.4,771.3,820.1,889.2,912.2,925.6,931.8,958,977.2,987.9
"40","32","Plus: Implied funding of benefits from holding gains and other changes in assets \5\","Y229RC1",29.2,132.9,36.4,60,29.8,85.5,-21.8,116.4,33.8,95.6,25.3,262.1,204.4,342.2,371,376.7,42.7,-259.3,-205.8,561.8,313.4,389.8,394,304.2,-1064.7,647.3,504,-9.3,584.1,952.3,494.1
"41","33","Equals: Change in personal wealth \6\","Y232RC1",292.1,415.5,347.6,392.4,376.3,470.6,386.2,541.6,490.6,557.1,506,764.1,717.7,877.9,916.5,934.6,614.3,341.9,430.8,1228.7,1019.5,1122.3,1165.3,1124.3,-175.5,1559.6,1429.6,922.5,1542.1,1929.5,1482
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Included in personal consumption expenditures as part of financial services furnished without payment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Imputed income payments received by persons from the pension plans (line 18) are reinvested as household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. For defined benefit plans, plans' claims on employers equals the difference between actuarial liabilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and financial assets held by plans. When actuarial liabilities exceed plan assets, imputed interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","is positive; when plan assets exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","in the estimated value of benefit entitlements that come from differences between actual experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","and previous actuarial assumptions, changes in actuarial assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5. Consists of implied funding of benefits from holding gains on assets for defined benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","plans (table 7.21, line 30) and holding gains and other changes in assets for defined contribution pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","plans (table 7.25, line 30).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","6. For defined benefit plans, excludes effects on change in the estimated value of benefit entitlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","that come from differences between actual experience and previous actuarial assumptions, changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","actuarial assumptions,and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","or net worth of their own. Tables 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
