"","Table 1#3#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","  Nonfarm \2\","A358RL1",NA,9.6,-10.3,22.5,4.2,-1.2,3.4,-2.1,-2.9,-2.5,5.4,-3.7,18.2,15.3,23.4,4.4,7.8,1.8,5.2,1.1,4.4,-2,1.3,20.2,7.5,2,-2,-7.6,-4.6,-0.2,5.8,10.1,15,6.5,5.9,3.7,-2.5,2.7,-1.6,6.6,5,-2.3,3.8,-6.8,-13.7,2,12.9,13.5,8.3,13.1,-2,-0.6,12.3,-4.6,-1.1,-8.3,2.9,10.9,8.1,9.2,8.4,4.2,4.4,0.8,3.8,6.8,10,3.1,11.5,4.5,5.7,0.3,12.9,6.5,8.4,11.6,11.9,1.5,2.5,1.7,2.9,-0.8,3,3.3,10,7.9,2.7,1.8,7,0.5,2.2,-2.9
"12","4","  Farm","B359RL1",NA,-50.5,169.6,-67.6,42.1,176.2,-11.6,20.1,-39.6,5.7,2.2,-7.7,56.7,-3.4,-31.5,4.4,-29.5,29.9,28.3,-12.7,-6.9,23.2,21.9,-20.9,24.1,21.5,-23.1,-5,36.8,1.9,-8.9,-6.2,0.2,35.2,3.1,-23.5,-4.3,16.6,-2,24.5,-39.1,6,5.4,34.8,4.1,5.5,-24.1,-24.7,43.2,-12.1,-3.7,35.8,-29,21.6,42.4,21.7,-8.8,-20,-8.8,-8.9,4.8,11.9,-10.7,9,36.6,-17.4,-14,-2.8,-17.2,13.3,15.5,16.4,5.8,-14.6,28,-9.9,7.6,-19,-24.3,33.7,23.1,10.7,2.2,-4.6,-10.4,-5.7,0,4.1,8.5,2.4,5.7,-1.4
"13","5","Households and institutions","A193RL1",NA,1.9,4.2,6,7.7,7.1,6.5,5.9,5.2,6.2,7.2,8.1,8.8,8.2,7.7,7.1,6.3,6.4,6.3,6.1,6.7,6.2,6.3,6.6,6.2,6.4,5.9,5.4,5.5,6.3,7.4,8.6,9.5,8.6,7.6,6.8,5.9,5.8,5.5,5.3,5.3,5.4,5.8,6.1,6.2,6,5.7,5.3,4.6,6.6,7.2,8.1,6.8,7.2,5.8,6,3.7,0.6,4.2,8.5,5.3,5.5,6.1,6.2,2.3,3.1,4.7,3.4,4.1,5.9,3.8,4.5,4.5,5.5,7.1,6.1,3.7,2.3,6.7,4.4,2.8,4.4,5.4,5.8,4.3,5,5.1,4.3,5.1,4.9,3.3,2.3
"14","6","  Households","B701RL1",NA,1.8,2.8,3.6,4.3,5,5.4,5.8,6.1,7.3,8.3,9.2,10,9.4,8.8,8.4,7.6,7.6,7.3,7,7.7,6.9,6.8,7.1,6.4,6.8,6.2,5.7,5.9,6.8,8.1,9.3,10.3,9.2,8.1,7.2,6.2,6.1,5.8,5.6,5.6,5.5,5.6,5.8,5.6,5.9,5.9,5.8,5.3,6.7,6.7,7.3,5.1,6.5,5.7,7,5,0.3,4.5,9.8,4.5,5.2,6.3,7,1.8,2.8,5,3.1,3.8,6.6,3.1,4.4,3.7,5.2,7.2,6.2,1.8,1.5,7.5,5.2,3.2,4.1,3.9,3.4,0.9,2.5,3.2,3.7,5.1,5.7,4,3.6
"15","7","  Nonprofit institutions serving households \3\","B702RL1",NA,2.3,7.9,12.8,17.2,13,9.3,5.9,2.7,3.6,4.4,5.1,5.8,5.1,4.4,3.9,3.1,3.5,3.6,3.7,4,4.3,4.8,5.4,5.7,5.4,4.9,4.5,4.2,4.8,5.6,6.4,7.2,6.6,6.1,5.6,5,4.8,4.6,4.3,4.2,5.1,6,6.8,7.7,6.3,5.1,4,2.7,6.2,8.6,10.3,11.7,9.1,6,3.4,0.2,1.6,3.5,5.3,7.4,6.1,5.5,4,3.5,3.7,4,4.3,5.1,4.2,5.7,4.7,6.4,6.2,7,5.7,8.1,4.3,4.8,2.5,2,5.3,8.6,11.1,11.8,10.4,8.9,5.6,5,3.4,2,0.1
"16","8","General government \4\","A765RL1",NA,-11.8,-1.7,-7.1,-2.7,-6.8,3.7,4.2,0.5,0,-1.2,-6.2,-4.8,6.5,9.1,40.1,15.1,34.7,21.8,4.5,8.3,6.1,3,-0.9,3.1,2,1.7,-1.9,-0.8,0.3,1.4,1,-0.2,-1.9,2.5,2.1,1.2,2,4.7,3.2,2,2.7,3.4,-2.5,-0.5,3.2,5.6,2.5,-1.8,1.7,2.5,3.1,4.5,6.9,1.7,3,4.6,2.7,5.4,8,4,3.3,2.8,1.2,3.5,4.6,4.9,2.3,3.6,4.3,3.8,3.3,0.9,4.7,5.6,6.3,5.6,6.9,8.6,8.3,5.3,2.4,5.3,2.9,5.7,5,3.2,0.1,3.5,3.4,3.3,1.6
"17","9","  Federal","A766RL1",NA,-18,-4.8,-12,-4.1,-10.4,3.9,3.3,-3.6,-4.7,-6.3,-13,-8.7,9.9,14.2,69.4,22.4,54.6,31.9,4.8,11.3,7.8,2.6,-3.4,2.5,0.7,-0.1,-5.1,-3.3,-1.6,-0.2,-1.2,-2.2,-5.2,0.3,-0.3,-0.5,-1.8,3.3,1.5,1.2,1.5,1.5,-8.1,-3.7,0.3,4.8,0.8,-4.3,0.9,1.3,2,3.5,7.7,-1.5,1.4,2.5,3.1,5.7,11.8,5.9,2.1,0.9,-1.5,2.5,4.3,3.3,0.3,0.9,3,3.2,0.4,-1.4,1.8,4,6.3,6.7,7.7,11,9.5,9.9,1.5,4.3,0.6,3.3,5,1.7,-3.6,2.3,2.6,2.4,-1.4
"18","10","  State and local","A767RL1",NA,6.4,5.6,4.1,-0.4,0.3,3.3,5.9,8.4,8.8,8,5.9,1.5,1.2,1.3,1.8,2.8,3.3,3.8,3.9,2.5,2.8,3.8,4.3,4.3,4.6,5.4,4.7,4.1,3.8,4.3,5.2,3.3,4.3,6.7,6.6,4.2,8.8,7,6,3.4,4.7,6.6,6.8,4.7,7.6,6.7,5.2,2,2.9,4.3,4.5,6.1,5.9,6.3,5,7.3,2.3,5,3.3,1.5,4.9,5.4,5,4.8,4.9,7,5,7,5.9,4.7,7,3.8,8.2,7.4,6.3,4.2,5.9,5.9,6.9,0.2,3.6,6.4,5.5,8.5,4.9,5,4.4,4.8,4.2,4.3,4.9
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009L1",NA,2.7,3.8,4.7,5.3,5.9,6.3,6.6,6.8,6.9,6.9,6.9,6.6,7,7.2,7.3,7.4,7.7,7.8,7.9,8.6,7.4,6.8,6.3,5.1,6,6.2,6.4,7,6.4,6.2,5.9,5.7,5.5,5.4,5.3,4.9,5.6,5.9,6.2,7.1,6.2,6,5.7,4.8,6,6.5,6.9,9.2,5.9,7.9,7.3,6.1,5.3,6.1,7.5,5.2,4.4,5.8,8.2,4.6,7.8,5.8,7.9,2.5,4.1,5.2,5.2,3.8,4.5,4.9,7,4.9,5,6.2,5.6,3.5,3.8,5.9,5.4,4.6,4.6,5.4,4.3,3,1.5,4.2,5.4,5,5.7,4.8,4.2
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
