"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Claims to benefits accrued through service to employers","Y285RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.6,1.4,2.9,3.4,3.4,3.4,3.2,2.5,2.6,2.8,3.5,4.8,5.5,5.5,5.3,5.4,5.6,6.2,6.4,6.6,6.8,7.1,7.5,7.9,8.4,9,10.2,11.2,12.2,13.1
"12","5","      Actual employer contributions","Y270RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.6,0.5,0.6,0.9,1.1,1.3,1.4,1.6,1.7,1.9,2.2,2.5,2.7,3,3.3,3.8,4.3
"13","6","        Civilian \2\","Y271RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0,0.1,0.4,0.6,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.5,1.6
"14","7","        Military \3\","Y272RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.3,2.7
"15","8","      Imputed employer contributions","Y273RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.4,1.2,2.6,2.9,2.9,2.8,2.6,1.9,1.9,1.9,2.5,3.8,4.4,4.5,4.4,4.3,4.1,4.4,4.4,4.4,4.4,4.5,4.7,4.8,4.9,5.3,6.1,6.6,7,7.3
"16","9","        Civilian \2\","Y274RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,1,1.2,1.3,1.4,1.3,1.3,1.5,1.5,1.6,1.7,1.8,1.9,2,2,2.3,2.5,2.7,2.9,3.2
"17","10","        Military \3\","Y275RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.9,2,2,2,2,1.8,1.2,1.2,1.3,1.7,2.8,3.2,3.1,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.8,2.8,2.9,3,3.6,3.9,4.1,4.1
"18","11","      Actual household contributions","Y276RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5
"19","12","        Civilian \2\","Y277RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5
"20","13","        Military \3\","Y278RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","      Less: Pension service charges \1\","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","    Household pension contribution supplements \4\","Y279RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"23","16","  Income receipts on assets (including plans' claims on employers)","Y279RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"24","17","    Interest","Y280RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"25","18","      Monetary interest","Y281RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9
"26","19","      Imputed interest on plans' claims on employers \5\","Y282RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.9,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.6,4.2,4.7,5.1,5.5,6,6.5,7,7.5,8,8.6,9.3,10,11.6
"27","20","    Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21","Current expenditures, accrual basis","Y284RC1",0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,2.1,3.8,4.7,5.1,5.4,5.5,5.2,5.6,6.2,7.2,9,10.3,10.9,11.4,12.1,13.3,15.1,16.2,17.2,18.4,19.7,21.1,22.6,24.3,26.1,28.6,31,33.6,38.2
"29","22","  Administrative expenses","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","23","  Imputed income payments on assets to persons","Y279RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"31","24","    Interest","Y280RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"32","25","    Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","  Benefit payments and withdrawals","Y293RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.1,3.6,4.1,4.6,5.3
"34","27","    Civilian \2\","Y294RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.3,1.4,1.5,1.9,2.1,2.3,2.6
"35","28","    Military \3\","Y295RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.3,2.7
"36","29","  Net change in benefit entitlements \6\","Y289RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.8,1.6,3.2,3.9,4,4.1,3.9,3.4,3.6,4,4.7,6.3,7.2,7.4,7.5,7.8,8.4,9.4,9.9,10.3,10.8,11.5,12.2,12.8,13.6,14.5,15.8,17,18.3,20.4
"37","30","Cash flow","Y290RC1",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.4,0.3,0.4,0.6,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.2,1.1,1.2,1.4,1.4
"38","31","  Actual employer and household contributions (5+11)","Y291RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.9,1,1,1.1,1,0.9,1.1,1.5,1.8,2.1,2.2,2.4,2.6,2.8,3.1,3.5,3.7,4.1,4.6,5.2,5.8
"39","32","  Monetary income receipts on assets (18+20)","Y292RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9
"40","33","  Less: Benefit payments and withdrawals","Y293RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.1,3.6,4.1,4.6,5.3
"41","34","    Civilian \2\","Y294RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.3,1.4,1.5,1.9,2.1,2.3,2.6
"42","35","    Military \3\","Y295RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.3,2.7
"43","36","  Less: Administrative expenses","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","Effect on personal income (1-11-15 or 21-11-15)","Y297RC1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.7,3.2,3.8,3.9,4.1,4.1,3.6,3.8,4.2,5,6.5,7.4,7.8,7.9,8.3,8.9,10,10.6,11.1,11.8,12.5,13.4,14.3,15.3,16.5,18.2,19.8,21.5,24.1
"46","38","Less: Effect on personal consumption expenditures (2)","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","39","Equals: Effect on personal saving","Y299RC1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.7,3.2,3.8,3.9,4.1,4.1,3.6,3.8,4.2,5,6.5,7.4,7.8,7.9,8.3,8.9,10,10.6,11.1,11.8,12.5,13.4,14.3,15.3,16.5,18.2,19.8,21.5,24.1
"48","40","Plus: Implied funding of benefits from holding gains on assets","Y300RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","41","  Interest accrued on benefit entitlements","Y301RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"50","42","  Less: Interest and dividend income received by plans (16)","Y279RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.8,4.5,4.9,5.3,5.8,6.3,6.8,7.4,7.9,8.5,9.2,9.9,10.7,12.5
"51","43","Equals: Change in personal wealth \7\","Y303RC1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.7,3.2,3.8,3.9,4.1,4.1,3.6,3.8,4.2,5,6.5,7.4,7.8,7.9,8.3,8.9,10,10.6,11.1,11.8,12.5,13.4,14.3,15.3,16.5,18.2,19.8,21.5,24.1
"52","44","Less: Benefit payments and withdrawals (26)","Y293RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.1,3.6,4.1,4.6,5.3
"53","45","Plus: Household actual contributions (11)","Y276RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5
"54","46","Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \7\","Y306RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.8,1.6,3.2,3.9,4,4.1,3.9,3.4,3.6,4,4.7,6.3,7.2,7.4,7.5,7.8,8.4,9.4,9.9,10.3,10.8,11.5,12.2,12.8,13.6,14.5,15.8,17,18.3,20.4
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Included in personal consumption expenditures as part of financial services furnished without payment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","the value is equal to administrative expenses (line 22).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley Authority,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Includes the Coast Guard, which is included in nondefense compensation in NIPA table 3.10.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","4. Imputed income payments received by persons from the pension plans (line 23) are reinvested as household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5. Plans' claims on employers is the difference between actuarial liabilities and financial assets held",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","by plans. When actuarial liabilities exceed plan assets, imputed interest is positive; when plan assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","6. Excludes implied funding of benefits from holding gains on assets and excludes effects on change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","in the estimated value of benefit entitlements that come from differences between actual experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","and previous actuarial assumptions, changes in actuarial assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","7. Excludes effects on change in the estimated value of benefit entitlements that come from differences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","between actual experience and previous actuarial assumptions, changes in actuarial assumptions, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Note. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","or net worth of their own. Tables 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
