"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Durable goods","DDURRA3",3.133,2.594,2.241,1.704,1.659,1.899,2.298,2.808,2.954,2.448,2.901,3.321,3.831,2.432,2.183,2.013,2.236,4.039,4.737,5.048,5.458,6.618,6.068,5.936,6.629,6.6,8.008,7.709,7.779,7.187,8.033,8.196,7.921,8.826,9.638,10.538,11.844,12.828,13.018,14.463,15.005
"12","5","      Motor vehicles and parts","DMOTRA3",8.558,5.955,4.646,2.971,3.54,4.405,6.103,7.536,7.658,4.954,6.749,8.505,9.667,1.55,1.59,1.471,1.821,6.138,8.898,10.054,12.889,16.665,14.062,12.662,15.743,15.014,20.556,17.496,18.314,15.163,18.07,19.191,17.271,20.508,23.068,24.35,28.207,28.67,27.976,32.355,33.538
"13","6","      Furnishings and durable household equipment","DFDHRA3",6.122,5.064,4.934,4.076,3.824,4.153,4.709,5.814,6.015,5.439,6.088,6.673,7.738,6.414,5.073,4.493,4.874,8.241,9.581,10.139,9.915,11.428,10.867,10.822,11.151,11.151,12.566,13.179,12.928,12.767,13.597,13.397,13.479,14.234,15.168,16.888,17.993,19.558,20.003,21.206,21.651
"14","7","      Recreational goods and vehicles","DREQRA3",0.195,0.206,0.17,0.125,0.11,0.124,0.139,0.177,0.201,0.186,0.217,0.241,0.285,0.256,0.212,0.201,0.23,0.462,0.468,0.462,0.465,0.595,0.582,0.634,0.698,0.751,0.847,0.892,0.872,0.868,0.967,0.96,0.998,1.064,1.162,1.364,1.59,1.957,2.151,2.383,2.542
"15","8","      Other durable goods","DODGRA3",3.864,3.564,2.806,2.314,1.897,2.179,2.477,2.707,3.134,3.15,3.364,3.58,4.116,4.438,5.33,5.227,5.737,6.78,6.383,6.512,6.357,6.655,6.873,7.379,7.585,7.878,8.399,8.789,8.862,8.958,9.245,9.312,9.5,10.378,10.75,11.678,12.878,14.813,14.944,16.403,17.043
"16","9","    Nondurable goods","DNDGRA3",13.89,13.166,13.025,11.877,11.835,12.8,13.533,15.078,15.449,15.673,16.388,17.089,18.114,18.163,18.276,18.659,19.816,21.605,21.478,21.639,21.96,22.693,23.038,23.904,24.646,25.037,26.337,27.263,27.809,28.179,29.447,29.936,30.54,31.481,32.159,33.668,35.365,37.33,38.132,39.745,40.845
"17","10","      Food and beverages purchased for off-premises consumption","DFXARA3",20.833,20.32,20.217,18.757,19.603,21.512,22.611,25.702,26.413,26.986,27.341,28.486,29.419,29.276,28.511,29.745,31.35,35.133,35.14,34.858,35.043,35.789,35.979,36.963,38.371,39.406,41.308,42.681,43.698,43.879,45.695,46.022,46.663,46.973,47.357,48.97,51.421,53.428,54.65,57.073,58.647
"18","11","      Clothing and footwear","DCLORA3",10.575,9.514,9.396,8.356,7.521,7.944,8.586,9.334,9.236,9.364,10.112,10.439,11.225,11.703,12.74,12.33,12.741,12.993,12.396,12.518,12.593,12.911,12.845,13.515,13.636,13.648,14.313,14.688,14.585,14.732,15.492,15.632,15.921,16.642,16.947,18.236,18.995,20.268,20.409,21.228,21.637
"19","12","      Gasoline and other energy goods","DGOERA3",18.543,18.437,18.015,16.884,17.278,18.168,19.088,20.633,21.463,21.219,22.756,24.269,26.242,22.572,18.424,18.545,21.678,30.55,32.367,33.617,33.697,35.407,37.29,38.876,39.869,40.984,44.244,46.136,47.279,49.397,50.6,51.407,51.067,52.725,54.549,57.458,60.194,63.48,65.108,67.858,70.806
"20","13","      Other nondurable goods","DONGRA3",6.34,5.81,5.715,5.068,5.001,5.473,5.738,6.334,6.671,6.747,7.305,7.618,8.43,8.984,9.742,10.205,11.129,11.066,11.093,11.491,12.228,13.063,13.67,14.291,14.884,14.836,15.556,16.264,16.865,17.208,18.246,19.109,20.102,21.517,22.498,23.496,24.916,26.897,27.689,28.809,29.601
"21","14","  Services","DSERRA3",6.988,6.842,6.668,6.265,6.033,6.329,6.55,6.953,7.279,7.221,7.502,7.791,8.254,8.708,9.403,9.928,10.46,10.936,10.981,11.271,11.542,12.047,12.758,13.33,13.891,14.376,15.098,15.822,16.366,16.896,17.729,18.422,19.101,20.005,20.856,22.097,23.322,24.473,25.474,26.818,28.011
"22","15","    Household consumption expenditures (for services)","DHCERA3",7.305,7.133,6.937,6.523,6.296,6.634,6.879,7.314,7.678,7.601,7.905,8.202,8.704,9.187,9.917,10.463,11.043,11.55,11.633,11.947,12.242,12.794,13.582,14.163,14.765,15.277,16.06,16.817,17.406,17.959,18.814,19.502,20.228,21.197,22.103,23.381,24.68,25.913,26.968,28.391,29.686
"23","16","      Housing and utilities","DHUTRA3",5.927,5.91,5.877,5.776,5.665,5.968,6.042,6.173,6.304,6.416,6.595,6.831,7.203,7.583,7.86,8.177,8.391,9.149,9.933,10.595,11.328,12.209,13.169,14.065,14.876,15.699,16.564,17.485,18.395,19.327,20.435,21.527,22.585,23.892,25.008,26.221,27.609,28.871,30.171,31.684,33.425
"24","17","      Health care","DHLCRA3",5.3,5.183,5.085,4.806,4.455,4.577,4.6,4.9,5.02,4.917,5.174,5.314,5.485,5.735,5.725,6.106,6.236,7.311,7.645,8.332,8.518,8.922,9.18,9.68,10.156,10.906,11.236,11.919,12.586,13.572,14.598,14.785,15.442,16.832,17.946,19.978,20.889,22.027,23.055,24.844,26.686
"25","18","      Transportation services","DTRSRA3",10.705,9.441,8.341,7.299,7.314,7.76,7.942,8.89,9.366,8.928,9.62,10.27,11.452,12.617,15.655,17.01,18.285,21.57,21.103,21.019,20.006,19.42,20.105,20.347,20.864,20.208,20.867,21.444,21.833,21.516,22.362,23.089,23.371,24.245,25.301,26.686,28.043,29.662,31.239,33.234,35.459
"26","19","      Recreation services","DRCARA3",6.092,5.996,5.834,4.745,4.548,4.991,5.307,5.873,6.275,5.943,6.129,6.611,7.002,7.614,8.21,8.092,8.578,9.909,9.387,9.106,8.905,8.921,9.023,9.174,9.281,9.469,9.905,10.387,10.043,9.962,10.673,11.263,11.745,12.314,12.815,13.337,13.835,14.67,15.166,16.119,17.077
"27","20","      Food services and accommodations","DFSARA3",9.016,9.189,9.615,9.404,8.48,9.636,10.354,11.769,13.351,13.463,14.655,15.508,17.238,18.972,22.478,25.667,28.874,26.019,22.903,22.153,22.387,22.605,24.693,25.875,26.831,26.752,27.423,28.227,28.553,28.128,28.715,29.017,29.111,30.156,30.91,32.491,34.813,36.544,36.168,38.414,39.247
"28","21","      Financial services and insurance","DIFSRA3",5.524,5.048,4.715,4.514,4.842,4.444,4.825,5.012,5.093,4.932,5.066,5.083,5.188,5.023,5.32,5.347,5.521,5.917,6.38,6.691,6.872,7.684,8.584,8.605,8.944,9.564,10.34,10.869,11.183,11.529,11.762,12.233,12.894,12.874,13.327,14.265,15.208,15.732,16.514,17.365,17.611
"29","22","      Other services","DOTSRA3",13.177,12.836,12.01,10.537,9.739,10.436,10.999,11.878,12.653,12.177,12.422,12.717,13.297,13.748,14.196,14.278,14.683,15.196,15.724,16.1,16.274,16.858,17.183,17.548,18.093,18.523,19.86,20.716,21.454,22.164,23.131,23.861,24.635,25.61,26.545,27.731,29.314,31.038,32.865,33.77,34.764
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",1.88,1.971,2.018,1.864,1.704,1.607,1.587,1.613,1.562,1.64,1.66,1.77,1.78,1.856,2.024,2.179,2.191,2.261,2.083,2.106,2.114,2.128,2.092,2.323,2.388,2.487,2.536,2.722,2.763,2.898,3.195,3.562,3.656,3.765,3.902,4.334,4.563,4.713,4.93,5.188,5.24
"31","24","      Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.176,13.708,14.315,15.072,15.939,17.184,18.206,19.396,20.555,21.963,23.098
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.068,20.135,21.214,22.579,24.106,25.631,27.235,29.425,31.359,33.721,36.036
"33","26","Gross private domestic investment","A006RA3",6.581,4.482,2.914,1.075,1.454,2.404,4.183,5.289,6.514,4.482,5.621,7.656,9.371,5.219,3.255,3.886,5,11.978,11.528,14.53,11.228,15.64,15.678,14.397,15.207,14.609,17.981,17.931,17.26,16.008,19.083,19.153,19.214,21.498,22.958,24.768,28.196,30.728,29.653,31.426,33.176
"34","27","  Fixed investment","A007RA3",7.6,5.906,4.196,2.583,2.333,2.95,3.748,4.895,5.677,4.619,5.442,6.458,7.429,4.434,3.486,4.15,5.525,9.803,11.644,12.743,11.685,13.884,13.321,13.235,14.269,14.537,16.375,16.607,16.491,15.465,17.551,17.761,17.879,19.41,20.911,22.822,25.189,26.752,26.505,28.367,30.042
"35","28","    Nonresidential","A008RA3",5.45,4.542,3.059,1.931,1.777,2.232,2.781,3.683,4.359,3.324,3.654,4.444,5.287,3.312,2.784,3.533,4.822,6.968,8.002,8.374,7.635,8.331,8.678,8.669,9.539,9.402,10.411,11.115,11.311,10.256,11.083,11.694,11.786,12.739,13.48,14.926,17.419,19.559,19.491,20.426,21.846
"36","29","      Structures","B009RA3",32.65,27.941,17.982,11.012,8.542,9.632,10.686,14.028,17.789,14.233,15.02,17.051,20.251,12.516,9.096,11.911,16.06,31.723,28.853,30.362,29.354,31.454,33.861,33.729,36.725,37.984,40.707,44.98,44.956,42.504,43.522,46.98,47.623,49.798,50.375,55.613,64.482,68.894,67.161,68.102,71.777
"37","30","      Equipment","Y033RA3",3.744,2.968,1.98,1.16,1.187,1.642,2.237,3.069,3.568,2.484,2.867,3.715,4.355,2.499,2.245,3.001,4.298,5.36,7.286,7.668,6.714,7.409,7.625,7.407,8.08,7.628,8.67,8.899,9.134,7.802,8.73,9.064,8.876,9.89,10.659,12.004,14.187,16.379,16.215,17.204,18.627
"38","31","        Information processing equipment","Y034RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,0.167,0.171,0.153,0.169,0.187,0.215,0.237,0.213,0.245,0.283,0.321,0.287,0.313,0.375,0.409,0.451,0.519,0.591,0.698,0.906,0.962,1.017,1.221
"39","32","          Computers and peripheral equipment","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.001,0.001,0.001,0.003,0.004,0.004,0.006
"40","33","          Other","A937RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.443,1.908,1.96,1.752,1.939,2.136,2.459,2.707,2.437,2.801,3.243,3.671,3.279,3.568,4.102,4.354,4.645,4.818,5.264,5.954,7.012,7.046,7.23,8.376
"41","34","        Industrial equipment","A680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.407,34.15,31.59,24.342,28.118,31.571,32.811,36.136,37.251,36.967,40.817,41.329,34.443,34.964,37.7,35.686,37.519,40.531,45.808,54.005,62.107,62.355,61.119,65.178
"42","35","        Transportation equipment","A681RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.922,44.935,46.767,46.5,51.473,49.442,40.819,48.572,42.533,54.137,48.642,51.984,37.912,50.243,51.756,48.924,60.32,58.393,66.062,82.759,91.013,88.005,105.82,110.046
"43","36","        Other equipment","A862RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.58,22.183,27.072,22.702,23.993,24.11,24.364,23.813,22.421,26.298,27.135,25.669,26.037,27.964,25.677,25.416,27.117,31.524,34.916,38.792,43.621,41.206,41.718,44.537
"44","37","      Intellectual property products","Y001RA3",0.706,0.71,0.682,0.663,0.691,0.795,0.879,0.982,1.033,1.112,1.087,1.136,1.484,1.414,1.222,1.219,1.373,1.672,1.674,1.635,1.581,1.713,1.684,2.102,2.54,2.676,2.887,3.363,3.485,3.646,3.966,4.208,4.671,4.892,5.377,5.619,6.335,7.174,7.73,8.311,8.762
"45","38","        Software \4\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.034,0.045,0.062,0.126,0.157,0.201,0.31,0.364,0.409,0.551
"46","39","        Research and development \5\","Y006RA3",0.89,0.988,1.195,1.192,1.207,1.372,1.473,1.497,1.505,1.703,1.625,1.876,2.745,2.575,1.684,1.659,1.69,2.607,2.994,3.041,2.632,3.097,3.285,4.467,5.624,5.967,6.166,7.87,8.023,8.492,9.161,10.095,10.708,11.596,12.451,13.422,15.039,16.762,18.523,20.035,21.347
"47","40","        Entertainment, literary, and artistic originals","Y020RA3",6.747,6.455,5.292,5.054,5.378,6.232,7.042,8.373,9.058,9.461,9.388,9.14,10.76,10.434,11.636,11.701,14.063,14.497,12.73,11.886,12.94,12.889,11.52,12.595,14.128,14.688,17.083,16.752,17.955,18.353,20.29,18.888,22.798,21.86,23.51,22.263,24.793,27.014,26.81,28.058,26.456
"48","41","    Residential","A011RA3",20.395,12.634,10.739,6.072,5.102,6.614,9.009,11.205,12.074,12.128,16.953,19.031,20.158,10.476,6.451,5.612,6.406,25.469,32.632,38.978,36.113,49.261,41.352,40.67,42.18,45.727,53.074,48.868,45.983,46.486,58.14,54.173,54.402,59.608,66.588,70.588,68.783,63.011,61.367,69.675,71.861
"49","42","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","  Exports","B020RA3",2.55,2.108,1.752,1.373,1.381,1.535,1.619,1.701,2.142,2.118,2.236,2.544,2.608,1.722,1.452,1.559,2.185,4.719,5.381,4.238,4.199,3.677,4.506,4.311,4.022,4.217,4.667,5.437,5.911,5.112,5.639,6.617,6.652,6.988,7.488,8.37,8.604,9.198,9.409,10.151,10.646
"54","47","    Goods","B253RA3",2.781,2.284,1.889,1.465,1.458,1.606,1.684,1.772,2.228,2.262,2.387,2.743,2.813,1.727,1.35,1.449,2.174,5.024,5.778,4.473,4.445,3.841,4.677,4.436,4.136,4.37,4.83,5.664,6.112,5.185,5.149,6.357,6.389,6.673,7.199,8.199,8.28,8.899,8.941,9.664,10.167
"55","48","    Services","B646RA3",1.66,1.444,1.24,1.033,1.11,1.31,1.435,1.493,1.902,1.617,1.711,1.845,1.889,1.67,1.764,1.898,2.131,3.462,3.765,3.286,3.2,2.995,3.785,3.774,3.532,3.578,3.986,4.508,5.07,4.75,7.352,7.468,7.514,8.03,8.43,8.889,9.66,10.163,10.981,11.784,12.247
"56","49","  Imports","B021RA3",2.655,2.31,2.015,1.671,1.741,1.779,2.331,2.304,2.593,2.015,2.116,2.168,2.665,2.42,3.051,3.193,3.396,2.814,2.672,3.118,3.008,3.555,3.695,4.02,4.398,4.181,4.685,5.065,5.277,5.528,6.11,6.191,6.15,6.848,7.032,7.406,8.194,9.412,10.098,11.602,12.263
"57","50","    Goods","B255RA3",2.586,2.18,1.904,1.539,1.729,1.768,2.43,2.341,2.617,1.995,2.172,2.279,2.69,1.865,2.158,2.238,2.231,2.577,2.474,2.835,2.724,3.327,3.261,3.327,3.519,3.25,3.628,3.953,4.067,4.181,4.907,4.827,4.82,5.534,5.758,6.138,7.007,8.111,8.538,10.302,10.866
"58","51","    Services","B656RA3",3.105,3.017,2.623,2.322,1.952,1.987,2.133,2.365,2.733,2.281,2.128,2.003,2.842,4.635,6.552,6.932,7.939,3.793,3.49,4.305,4.201,4.468,5.684,7.413,8.759,8.853,9.993,10.638,11.374,12.348,12.106,13.051,12.829,13.427,13.417,13.763,14.168,15.968,17.919,18.241,19.391
"59","52","Government consumption expenditures and gross investment","B822RA3",5.365,5.908,6.155,5.962,5.762,6.465,6.668,7.741,7.427,7.991,8.687,8.997,15.122,35.097,52.637,59.121,51.942,18.348,15.618,16.529,18.326,18.438,25.213,30.161,32.202,30.141,29.168,29.239,30.585,31.618,32.402,32.598,34.334,36.565,37.457,38.39,39.63,43.086,46.5,48.096,48.171
"60","53","  Federal","B823RA3",2.127,2.357,2.437,2.485,3.048,4.025,4.133,6.162,5.563,6.141,6.585,7.47,19.768,59.085,94.108,107.16,92.683,26.035,19.546,20.667,22.407,21.474,35.102,45.011,48.384,42.53,39.131,38.6,40.101,40.307,41.095,40.393,42.342,46.121,46.225,46.059,46.41,51.354,56.562,57.436,56.034
"61","54","    National defense","B824RA3",1.829,1.954,1.964,1.957,1.874,1.692,2.052,2.41,2.432,2.538,2.8,4.863,25.293,90.098,147.989,169.155,146.445,36.473,25.2,25.036,26.021,25.916,48.533,63.367,67.169,58.305,53.363,53.096,55.467,55.471,53.936,53.498,56.159,59.877,58.56,56.742,55.98,63.203,71.129,72.266,69.292
"62","55","      Consumption expenditures","A997RA3",2.768,2.856,2.785,2.774,2.581,2.276,2.882,3.015,2.953,3.13,3.511,5.532,21.762,76.836,142.447,174.96,167.667,50.291,34.712,32.667,32.469,33.546,57.488,73.117,75.662,66.023,61.658,61.034,63.701,62.84,57.17,57.485,59.016,63.97,64.252,63.019,63.949,72.566,81.697,85.419,82.458
"63","56","      Gross investment","B788RA3",0.194,0.342,0.463,0.464,0.563,0.589,0.532,1.186,1.328,1.319,1.373,3.159,25.381,91.254,130.597,134.527,94.642,9.917,6.914,9.981,12.851,10.776,28.775,40.574,45.891,39.281,33.922,34.275,35.903,37.338,42.838,41.189,45.457,46.717,42.812,40.145,36.39,40.401,45.408,41.416,38.612
"64","57","    Nondefense","B825RA3",2.811,3.25,3.471,3.627,5.494,8.771,8.397,13.758,11.952,13.462,14.292,13.106,11.61,8.845,7.093,7.167,5.999,8.663,10.168,13.746,16.981,14.482,12.37,13.882,16.506,15.74,14.961,13.961,13.958,14.527,19.317,18.149,18.887,22.755,25.255,27.869,30.082,31.163,31.748,32.175,33.441
"65","58","      Consumption expenditures","A542RA3",4.235,4.673,4.517,4.03,6.313,11.696,8.711,19.538,16.677,19.495,21.594,19.617,15.324,10.873,8.262,9.735,8.425,13.545,15.148,19.552,23.439,18.205,14.961,17.592,22.932,22.296,21.693,18.812,17.637,17.324,25.141,21.282,20.95,24.919,24.838,25.806,26.66,25.864,28.63,28.897,31.613
"66","59","      Gross investment","B798RA3",1.107,1.498,2.085,2.956,4.236,5.042,7.412,6.533,6.006,5.971,5.33,5.089,6.658,5.947,5.361,3.557,2.629,1.873,3.327,5.709,7.964,9.186,8.623,8.606,7.461,6.511,5.452,7.181,8.852,10.726,11.046,13.897,16.292,20.128,26.805,32.189,36.772,41.157,37.889,38.616,37.217
"67","60","  State and local","B829RA3",10.434,11.474,11.977,11.442,10.224,10.709,11.067,11.075,11.094,11.725,12.871,12.471,11.711,10.66,9.768,9.439,9.769,10.724,12.163,12.894,14.811,16.005,16.133,16.398,17.2,18.686,20.018,20.671,21.886,23.735,24.528,25.593,27.149,27.946,29.583,31.561,33.652,35.75,37.539,39.788,41.177
"68","61","    Consumption expenditures","A991RA3",9.926,10.564,11.175,11.357,11.119,11.342,12.044,9.756,10.587,10.637,11.294,11.952,12.384,12.702,12.693,12.465,12.763,13.166,14.05,14.168,15.391,16.326,16.282,16.496,17.043,17.755,18.905,19.595,20.624,22.225,23.006,24.3,25.601,26.277,27.497,29.268,31.148,33.024,34.503,36.772,39.149
"69","62","    Gross investment","B799RA3",11.964,13.98,14.223,11.7,7.75,8.879,8.382,13.933,12.083,14.054,16.323,13.417,9.887,5.869,3.162,2.619,3.028,5.3,8.035,10.152,13.684,15.522,16.062,16.45,17.884,21.354,23.181,23.746,25.457,27.982,28.812,29.225,31.522,32.677,35.565,38.153,40.867,43.623,46.363,48.48,46.543
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
