"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RL1",NA,-3.9,-5,8.7,11.2,3.1,2.3,-1.9,-11,-6.8,6.5,-9.6,25.6,11.4,30.2,7.2,-2.3,2.7,5.2,-1.2,-1.2,-8.9,3.9,22.6,7.5,2.1,-2.1,-13,-2.7,1.2,3.7,13.4,17.8,16.5,7.4,4.4,-4,0.9,0.8,6.3,3.7,-2.1,6.6,-15.6,-15,-0.2,14.1,11.7,10,13.5,-4.1,3.4,20.5,-6.5,2.5,-16.5,3.6,12,11.7,8.1,10.2,0,5.3,-1.1,9.9,2.6,8,2.4,10.9,6,10.2,-0.1,18.2,1.1,10.6,13.3,18.4,-1.3,4,6.8,-1.8,-3.6,2,-0.4,9.4,9.4,1.9,-1.1,13.1,-2.9,2.9,-3.5
"13","5","    Final sales","A325RL1",NA,2.1,1.6,-2.7,2,-5.3,-0.5,3.6,2.3,6.1,-2.9,0.5,3.8,8.4,27.4,-14.6,11.1,-6.9,16.8,9.9,-2.8,3.2,-9.6,22.9,10.1,2.3,1.1,-4.9,-3.6,3.7,2.5,10.2,8.6,13.4,8.5,1.5,-2.1,3.7,2.2,7.1,6.1,-3.2,4.7,-7.8,-13.8,-1,5.7,7.9,10.4,6,7.7,-3,9.4,5.6,-0.2,-2.4,-1,4.5,3.8,10.4,4.9,5.2,4,2.9,3.9,6.7,7,5,10.3,6.4,9.1,-0.2,9.7,5.1,9.3,16.4,10.8,-0.4,5.6,1.9,-0.6,5.6,-0.7,0.6,9.8,2.9,9,0.6,7.8,-1.2,1.8,1
"14","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RL1",NA,-7.4,3.9,-5.9,24.2,-17.6,2.4,4,-10.7,-8.6,33,-28.8,26.7,47.2,62.6,8.9,-13.2,8.2,8.6,-11.2,1.7,-16.7,-16.2,76.2,21.9,1.9,4.3,-32.7,-15.2,7.6,4.1,22.3,33.9,29.8,6,2.5,-10.5,-3.4,-4.2,17.6,4.9,-1.6,4.8,-24.8,-35.5,-3.7,23.4,25.8,30.7,21.7,-14.5,1.6,46.3,-19.4,4.9,-26.4,-9.6,26.1,30.9,12.8,17.5,-2.3,14,-5.4,9.8,10.5,11.5,3.4,18.9,5.4,14.1,-4.1,38.1,-4,17.6,3.5,39.5,-4.5,11.3,5.7,-13,-2.6,2.9,5.1,4,8.6,4.9,7.7,12.7,-9.1,10,-3.8
"16","8","    Final sales","A326RL1",NA,-3.2,-1,8.5,9.7,-13.6,1.4,2.6,-3.2,13.9,0.3,-2.3,2.5,15.1,76.2,-24.8,13.4,-14,19.6,15.5,0.8,1.3,-25.7,55.3,22.2,4.9,5,-13.3,-12.6,8.7,-2.5,12.5,17.2,22.5,13.6,-4,-10.7,5.6,2.6,10.6,8.9,-6.8,4.3,-10.4,-24.5,-6,3.3,14,21.5,9.1,11.1,-9.9,16,10.2,0.7,-7.1,-5.8,7.1,8.5,16.4,8.5,8.1,6,6.3,4.3,9.4,11.2,9.9,11.1,6.4,10.4,-0.4,20,4.2,14.4,15.3,20.6,-4.2,9.6,4.2,-4.5,7.6,-1.5,1.2,11.3,2.3,11.9,0.9,13.7,-5.7,3.9,-3
"17","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RL1",NA,-1.7,-10.2,18.9,3.9,18.1,2.3,-5.2,-11.2,-5.6,-7.8,5.5,24.9,-7.3,10.5,6,6.8,-1.2,2.7,7,-3.3,-2.7,20.4,-5.2,-2.7,2.2,-7,6.7,7.5,-3.1,3.4,7.3,6.7,6.7,8.4,6.1,1.7,4.6,4.9,-2.1,2.7,-2.5,8,-7.3,4.4,2.3,8.1,2.2,-4,7.2,5.3,4.8,2.4,5.9,0.6,-7.7,14.7,2.5,-1.6,4.4,4.4,2,-1.7,2.8,10,-3.8,5,1.5,4,6.7,6.7,3.9,2,6.3,4.3,23.5,0.9,1.9,-2.7,7.8,10.6,-4.4,1.1,-5.5,14.8,10.2,-1,-9.1,13.4,3.7,-3.5,-3.1
"19","11","    Final sales","A334RL1",NA,5.3,3.2,-9,-2.5,0.2,-1.7,4.2,5.9,1.5,-4.9,2.3,4.7,4.2,0.9,-6.1,9.6,-1.4,14.8,6.1,-5.4,4.6,3.8,4.1,1.6,0.3,-2,2.2,4,0.1,6.5,8.5,2.3,6.6,4.4,6.2,5.4,2.2,1.9,4.3,3.7,0,4.9,-5.7,-4.4,2.9,7.5,3.5,2.5,3.6,4.9,2.9,4.4,2.1,-0.9,1.7,3,2.4,0.1,5.7,2,2.8,2.3,-0.1,3.7,4.3,3.5,0.8,9.6,6.5,7.9,-0.1,0.9,5.9,4.7,17.5,2.2,3.4,1.9,-0.3,3.3,3.8,0,0,8.3,3.4,6.3,0.4,2.2,3.4,-0.1,5.1
"20","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RL1",NA,5.6,-2.4,-5.9,0.6,6.7,2.4,7.5,4.3,4.7,-2.6,-2.8,3.7,8.1,-0.7,14.5,21.5,20.3,18.5,3.8,9.2,11.9,2.6,4,7.3,5,-1.5,-1,-3.9,-2.6,3.3,2.3,3.6,-3,6.4,2.9,0.6,5.3,-1.2,10,1.9,1.6,2.6,8.2,-7,7.7,4.4,3.8,2,6.9,3.7,3.8,-2.1,6.3,0,5.4,0.5,8.2,1.2,7.3,6.2,7.4,2.9,4.9,-0.3,4.5,7.2,3.3,5.1,5.6,2.3,3.9,3.9,7.7,6.4,7.8,3,9.8,3.1,5.3,10.2,2.4,4.1,4.9,8.5,4.9,4,4,0.9,6,2.5,3.8
"22","14","Structures","A755RL1",NA,-6.2,42.9,53.8,1.3,24.9,1.2,-11.6,-11,3.2,24,24.1,29.9,33.5,19.9,-7.2,-6.6,-13.2,-9.2,-0.8,10.9,4.6,0.1,17.7,9.9,0.9,-5.5,5.6,9.7,8.6,12.8,9.5,21.4,6.1,-4,-6.1,0.8,5.9,-1.3,-2.3,0.7,-5,-1.2,1.6,-0.8,-4.8,13.1,25.9,21,9.3,-3.5,-12,12.6,-9.4,-0.8,6.5,8.3,-9.4,11.6,13.4,1.7,10.5,2.3,-1.1,3.8,19.7,11.3,3.1,17.3,-2.1,1.3,-2.3,6.1,15.4,7.6,4.3,8.8,-15.4,-2.3,-15.5,0.6,8.7,7,11.6,4,6,2.4,4.2,5.2,-1.6,1.3,-17.4
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,-7.6,4.7,83.3,23.2,-12.6,16,7.1,-29.8,44.4,-28.3
"25","16","  Gross domestic product excluding motor vehicle output","A962RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,4,3.2,5.9,6.2,3.7,1.2,6.3,3,0.9,-0.3
"26","17","  Final sales of computers \3\","BB01RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","  Research and development","Y694RL1",NA,3.5,7,9.6,9,7.7,4.5,-1.3,-9,-2.7,3.8,8,19.6,14.7,9.5,3.3,-4.9,3.6,9.6,19.1,29.6,21.3,22.9,24,16.4,15.5,13.2,11.6,11.4,7.8,4.8,5.8,0.4,15.5,23.3,34.2,40.3,30.8,21.1,15.4,6.7,7.4,7.8,6.3,5.3,4.4,9.1,8.4,7.2,8.2,5.3,7.7,14.4,13.3,8.2,6.7,9,12.2,10.6,9.1,7.8,11.2,12.1,14.6,17.6,15.3,12.5,8.9,7.2,7.6,7,7,8.5,9.3,10.2,12.2,12,10.9,9.3,7.2,5.7,4.6,4.8,4.7,5,4.2,3.6,3.4,2.3,1.2,-0.8,-3.2
"30","21","  Gross domestic product excluding research and development","Y695RL1",NA,-0.5,-0.5,6.4,6,6.7,2.2,0.4,-5.3,-1.3,4.5,-3.6,16.9,12.6,16.4,8,5.7,7.2,8.5,0.7,4.1,0.6,2.7,13.7,7.5,3,-2.4,-6.2,-2,0.3,4.6,8.1,12.1,6.6,5.3,2,-2.1,2.9,-0.7,6.5,2.5,-1.1,3.9,-4.3,-10.3,2.6,9.6,9.7,7.7,10.1,-0.9,1.5,9.1,-1.8,0.8,-5,2.6,7.5,6.7,8.3,7.4,4.2,3.7,1.2,4.2,5,7.9,2.7,9,4.8,5.5,1.3,10.3,5.5,8.3,9.7,10.2,1.4,2.7,3.4,3.7,0.2,3.5,3.2,8.5,7,2.9,1.7,6.5,1.3,2.6,-1.7
"31","22","  Final sales of domestic product, current dollars","A190RP1",NA,8.4,9.2,9.5,5.8,7,8.2,3.4,0.5,2.7,-3.2,1.6,5.2,13.1,24.9,2.6,28.3,4.6,15.9,12,4.2,8.7,-0.5,15.7,9.5,4.3,0.7,-0.9,-0.7,2.3,3.7,7.3,9.6,7.7,8.9,3.7,3.3,8.6,4.8,9.8,8.4,1.5,6.4,2.3,-6.4,4,7,8.5,10.1,7.9,6.2,0.3,5.4,5.6,1.7,3.9,1.2,5.3,4.3,10.4,7.2,8,4.3,4.3,4,7.5,8,6.8,10.4,6.3,7.2,3.1,8.5,9.4,9.8,14,9.7,5.9,7.3,4.7,6.1,7,6.1,8.4,13.4,8.9,10.1,8.5,8.5,7.6,8.1,5.2
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
