"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Compensation of employees","A442RC1",34.2,30.8,25.4,19,18,21,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,340.2,377.5
"12","5","    Wages and salaries","A443RC1",33.8,30.4,25,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78,86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338
"13","6","    Supplements to wages and salaries","A444RC1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,34.8,39.4
"14","7","  Taxes on production and imports less subsidies","W321RC1",3,3,2.8,2.9,3.5,4.1,4.2,4.4,4.6,4.6,4.8,5.1,6.1,6.4,6.8,7.5,8.3,9.8,11.5,12.7,13.4,14.8,15.9,17.3,18.5,17.9,19.8,21.5,22.8,23.1,25.6,27.8,28.9,31.2,33.2,35.6,37.8,38.9,41.4,47.8,52.9
"15","8","  Net operating surplus","W322RC1",12.3,9.3,4.9,1.7,1.4,4.3,5.8,7.8,8.4,6.3,7.9,11.1,16.7,21.8,26,25.9,21.5,18.2,24.1,30.8,28.5,35.4,40.3,38.6,39.5,38.5,49.1,48.4,47.9,43.4,54.1,52.9,54.8,63,69.2,76.9,89.1,96.9,96.4,104.2,104.7
"16","9","    Net interest and miscellaneous payments","A453RC1",1.4,1.5,1.5,1.4,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.1,1,1,0.9,0.7,0.6,0.1,0.3,0.1,0,-0.1,-0.2,-0.2,0,0.2,0.2,0.1,0.3,0.7,-0.1,-0.1,0.5,0.9,0.5,0.9,1.3,2.4,4.2,4.4,8.6
"17","10","    Business current transfer payments (net)","W323RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1,1,1,0.7,1.1,1.4,1.6,1.4,1.4,1.5,1.7,1.9,2.3,2.7,3.1,2.9,3.1,3.7,4.3
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",10.6,7.4,3,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8
"19","12","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",9.2,6.5,2.5,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.8,7.7,9,10.5,11.6,9.4,8.4,11.9,17.7,17.7,16.9,16.9,18.4,18.2,19.9,25.8,24.8,24.6,22.4,29.1,28.8,29.7,36.2,40.1,45.1,53.5,57.7,56.2,56.5,51.8
"21","14","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4
"22","15","        Undistributed profits with IVA and CCAdj","W274RC1",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.7,0.8,1.2,3,3.5,5,6.2,7.3,5,3.3,6.3,11.5,11.3,9,9.5,10.9,10.5,12,16.9,15.4,14.8,12.5,18.4,17.4,18.2,23.8,26.5,30.1,36.6,39.9,37.9,36.3,31.4
"23","16","    Gross value added of financial corporate business \1\","A454RC1",4,2.9,2.4,2.1,1.9,2,2.2,2.5,2.6,2.8,2.9,3,3.3,3.4,3.8,4,4.2,5.1,5.3,6.1,6.8,7.3,8.2,9.2,10.2,10.8,11.8,12.9,13.8,14.7,15.9,17.5,18.4,19.3,19.6,21.6,23.2,25.1,28.1,31.3,36.2
"24","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",50.8,45.3,35.4,25.7,25,31.5,34.9,40.2,45.8,40.2,44.4,51.1,66.7,84,99.7,103.2,96.6,100.8,122.2,140,136.3,154.9,177.6,185.9,199,196.2,221.4,237.2,247.9,242.2,271.6,282.5,290.4,316.8,337.8,364.5,400.7,440.1,463.2,510.9,554.6
"25","18","Consumption of fixed capital","B456RC1",5,4.9,4.6,4.1,3.9,3.9,4,4.1,4.6,4.6,4.6,4.8,5.4,6.1,6.3,6.5,6.7,7.8,9.5,11.1,12,12.8,14.6,15.6,16.7,17.7,18.9,21.4,23.8,25.5,26.7,27.6,28.6,29.8,31.3,33.3,35.8,39.4,43.5,48.1,53.5
"26","19","Net value added","A457RC1",45.8,40.4,30.9,21.6,21.1,27.5,30.9,36.1,41.2,35.6,39.8,46.2,61.3,77.9,93.4,96.7,89.8,93,112.7,128.9,124.3,142,163,170.3,182.3,178.4,202.5,215.9,224.2,216.8,245,254.9,261.9,287,306.5,331.3,364.9,400.7,419.7,462.8,501.1
"27","20","  Compensation of employees","A460RC1",32.1,28.8,23.5,17.4,16.6,19.6,21.5,24.6,28.8,25.5,28,31,39.6,50.8,62,64.8,61.7,66.9,78.8,87.5,84.9,94.4,109.8,117.8,128.2,125.9,137.9,150.8,158.4,155.2,170.8,180.4,184.5,199.3,210.1,225.7,245.4,272.9,291.1,320.9,356.1
"28","21","    Wages and salaries","B461RC1",31.8,28.4,23.2,17.1,16.3,19.3,21.2,24.1,27.6,24.2,26.6,29.5,37.8,48.6,59.3,61.8,58.6,63.6,74.8,83.4,80.7,88.9,103.1,110.5,120.4,117.7,128.5,140.1,146.5,143.3,156.9,165.1,168.6,181.2,190.6,204.5,222.2,245.2,261.6,288.1,318.8
"29","22","    Supplements to wages and salaries","B462RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,1.2,1.3,1.4,1.5,1.9,2.2,2.7,3.1,3,3.2,4,4,4.2,5.4,6.8,7.2,7.8,8.2,9.4,10.7,11.9,11.9,13.9,15.4,15.9,18.1,19.5,21.1,23.2,27.6,29.4,32.7,37.2
"30","23","  Taxes on production and imports less subsidies","W325RC1",3,3,2.8,2.9,3.4,4,4.1,4.3,4.5,4.5,4.7,5,5.9,6.3,6.6,7.3,8.1,9.5,11.2,12.4,13,14.4,15.4,16.8,17.9,17.3,19.2,20.8,22,22.3,24.4,26.6,27.6,29.9,31.7,33.9,36,37,39.3,45.5,50.2
"31","24","  Net operating surplus","W326RC1",10.7,8.6,4.6,1.3,1.1,3.9,5.3,7.2,7.9,5.6,7.1,10.2,15.8,20.8,24.7,24.6,20.1,16.6,22.8,29.1,26.4,33.3,37.8,35.7,36.2,35.2,45.4,44.3,43.7,39.2,49.8,47.9,49.7,57.8,64.7,71.7,83.5,90.9,89.3,96.4,94.9
"32","25","    Net interest and miscellaneous payments","B471RC1",1.4,1.6,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.3,1.2,1.2,1.1,1,0.9,0.7,0.8,0.9,1,0.9,1.1,1.2,1.3,1.6,1.7,1.8,2.3,2.8,3,3.3,3.8,4.5,4.8,5.3,6,7.2,8.6,10.1,13.5
"33","26","    Business current transfer payments (net)","W327RC1",0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.8,1,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.6,1.6,1.9,2.1,2.6,2.7,2.9,3
"34","27","    Corporate profits with IVA and CCAdj","A463RC1",9,6.7,2.4,-0.8,-1,1.9,3.3,5.3,6,3.8,5.4,8.5,14.2,19.2,23.2,23,18.5,15.5,21.4,27.6,24.8,31.7,36,33.7,33.9,32.7,42.7,41.4,40.3,35.2,45.5,43.3,44.5,51.8,58.3,64.6,75.4,81.1,78.1,83.4,78.3
"35","28","      Taxes on corporate income","B465RC1",1.1,0.7,0.5,0.3,0.5,0.7,0.9,1.3,1.4,0.9,1.3,2.7,7.4,11.1,13.7,12.6,10.2,8.6,10.8,11.7,9.3,16.8,21.1,17.7,18.4,15.5,20.1,19.9,19,16.1,20.7,19.1,19.4,20.6,22.8,23.9,27.1,29.5,27.8,33.5,33.3
"36","29","      Profits after tax with IVA and CCAdj","W328RC1",7.9,6,2,-1.1,-1.4,1.3,2.5,4,4.6,2.9,4,5.9,6.8,8.1,9.5,10.4,8.3,6.9,10.7,15.9,15.6,15,14.9,16,15.6,17.1,22.6,21.5,21.4,19.2,24.8,24.2,25.1,31.2,35.5,40.7,48.3,51.6,50.2,49.8,45
"37","30","        Net dividends","B467RC1",5.1,5,3.8,2.4,2,2.7,3.2,4.3,4.4,2.7,3.4,3.7,4.1,3.8,3.9,4.1,4.1,4.9,5.4,5.9,6,7.4,7,7.1,7.2,7.4,8.4,9,9.2,9.1,9.8,10.5,10.6,11.6,12.4,14,16.2,16.8,17.3,19,19
"38","31","        Undistributed profits with IVA and CCAdj","W332RC1",2.8,1,-1.8,-3.5,-3.4,-1.4,-0.7,-0.3,0.2,0.1,0.6,2.2,2.7,4.3,5.5,6.3,4.2,2.1,5.3,10.1,9.5,7.6,7.9,8.9,8.3,9.8,14.2,12.5,12.1,10,15,13.7,14.5,19.6,23.1,26.7,32.1,34.8,33,30.8,25.9
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","32","    Profits before tax (without IVA and CCAdj)","A446RC1",10.7,4.4,0.6,-1.3,1.8,3.2,4.2,7,7.4,4.3,7.5,10.4,18.4,22.1,25.5,24.4,20.1,24.9,31.7,35.2,28.9,42.5,43.6,39.4,41.4,38.8,49.1,49.8,48.1,42.5,53.2,50.7,50.6,55.4,60.3,67,78.4,85.9,82.8,92.3,90.1
"42","33","    Profits after tax (without IVA and CCAdj)","A448RC1",9.3,3.6,0.1,-1.7,1.3,2.4,3.3,5.6,5.9,3.3,6,7.5,10.8,10.7,11.4,11.4,9.4,15.8,20.4,22.8,18.7,24.6,21.1,20,21.1,21.2,27,27.8,26.7,23.5,29.5,27.9,27.7,31.3,34,38.8,47.3,52,49.9,52.6,50.1
"43","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1",3.7,-1.8,-4,-4.3,-0.7,-0.1,0.6,1.2,1.3,0.4,2.4,3.8,6.6,6.7,7.2,7.1,5,10.6,14.8,16.6,12.3,16.7,13.7,12.5,13.3,13.3,18.1,18.3,16.8,13.7,18.8,16.5,16.2,19,20.4,23.8,30.5,34.1,31.6,32.5,29.7
"44","35","    Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"45","36","    Capital consumption adjustment","A059RC1",-0.6,-0.3,0,0.1,0.1,-0.1,-0.1,-0.1,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.2,0.5,0.6,-2.1,-2.6,-3,-2.8,-2.8,-3,-2.6,-1.9,-1,0.5,-0.3,-0.5,-0.9,-0.2,1,1.8,4.8,6,6.8,7.4,7.8,7.8,7.5,7.6
"46",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","    Profits before tax (without IVA and CCAdj)","A464RC1",9,3.7,0,-2,1,2.6,3.6,6.1,6.5,3.3,6.5,9.3,17.1,20.7,24,22.6,18.3,22.7,29.7,32.5,25.6,39.2,39.9,35,36.5,33.7,43.8,44.1,42.1,36.1,45.6,42.3,42.3,46.8,52,58.2,69.1,75.1,71.6,79.4,76.4
"48","38","    Profits after tax (without IVA and CCAdj)","A466RC1",7.9,2.9,-0.5,-2.3,0.5,1.9,2.8,4.9,5.1,2.4,5.1,6.6,9.8,9.6,10.3,10.1,8.1,14.1,18.9,20.8,16.4,22.4,18.8,17.3,18.1,18.2,23.6,24.2,23.1,20,24.9,23.1,22.8,26.2,29.3,34.3,42,45.6,43.8,45.8,43.1
"49","39","    Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"50","40","    Capital consumption adjustment","B470RC1",-0.5,-0.2,0,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-0.3,0,0.6,0.8,-1.9,-2.4,-2.7,-2.6,-2.5,-2.7,-2.3,-1.6,-0.7,0.7,0,-0.2,-0.6,0.2,1.2,2,4.9,6.2,6.8,7.6,8.1,8,7.6,7.8
"51",NA,"  Value added, in billions of chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Gross value added of nonfinancial corporate business \2\","B455RX1",358.1,333.3,301.3,255.9,249.5,284.3,309.3,353.5,382.9,355,396.3,447.2,538.3,611.2,679.9,691.8,641.3,621.1,664,715.5,708.8,800.6,845.3,877.4,942.4,933,1044.8,1080.9,1095.4,1054,1172.5,1212.1,1241,1346.1,1429.1,1529.4,1658,1780.6,1831.6,1950.4,2028.4
"53","42","      Consumption of fixed capital \3\","N456RX1",49.4,50.5,50.2,48.7,47.3,46.3,46.3,46.8,48.1,48.7,49,50,51.9,52.7,51.8,51.3,52.2,55.3,60.1,64.8,68.2,71.1,74.2,77.2,81.3,85.4,89.7,94.6,99.9,105.4,108.3,110.9,115.2,120,126,132.5,141.4,152.7,164,175.1,187
"54","43","      Net value added \4\","A457RX1",308.6,282.8,251.1,207.1,202.2,238,263,306.7,334.7,306.3,347.3,397.2,486.4,558.4,628,640.5,589.1,565.8,603.9,650.8,640.6,729.5,771.1,800.1,861.1,847.6,955.1,986.3,995.5,948.5,1064.2,1101.2,1125.7,1226,1303.1,1396.9,1516.6,1627.9,1667.6,1775.3,1841.3
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Estimates for financial corporate business and nonfinancial corporate business for 2000 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","periods are based on the 1987 Standard Industrial Classification (SIC); later estimates for these industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. The current-dollar gross value added is deflated using the gross value added chain-type price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","for nonfinancial industries from the GDP-by-industry accounts. For periods when this price index is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","not available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Chained-dollar consumption of fixed capital of nonfinancial corporate business is calculated as the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Chained-dollar net value added of nonfinancial corporate business is the difference between the gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
