"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,0.12,0.13,0.13,0.13,0.16,0.14,0.17,0.16
"35","26","Gross private domestic investment","A006RY2",-5.18,-4.28,-5.28,1.16,2.84,4.54,2.58,2.57,-4.13,2.39,3.99,3.13,-6.45,-2.63,0.72,1.2,7.36,-0.56,3.89,-4.15,5.68,0.05,-1.44,0.87,-0.61,3.44,-0.05,-0.64,-1.16,2.82,0.06,0.05,1.82,1.08,1.27,2.26,1.56,-0.62,0.99,0.93
"36","27","  Fixed investment","A007RY2",-3.33,-3.72,-3.8,-0.68,1.69,1.97,2.57,1.59,-2.12,1.74,2.02,1.79,-4.7,-1.27,0.77,1.49,4.6,2.3,1.44,-1.37,2.9,-0.69,-0.1,1.14,0.28,1.94,0.23,-0.11,-0.98,1.99,0.19,0.1,1.26,1.15,1.39,1.62,1,-0.15,1.08,0.93
"37","28","    Nonresidential","A008RY2",-1.84,-3.32,-2.78,-0.44,1.31,1.41,2.1,1.42,-2.13,0.71,1.6,1.58,-3.16,-0.72,0.88,1.4,2.3,1.28,0.48,-0.94,0.91,0.42,-0.01,0.95,-0.14,1.06,0.7,0.2,-1.04,0.81,0.56,0.08,0.81,0.59,1.08,1.75,1.4,-0.04,0.55,0.79
"38","29","      Structures","A009RY2",-0.75,-1.74,-1.3,-0.53,0.24,0.2,0.6,0.62,-0.59,0.13,0.32,0.47,-0.97,-0.37,0.27,0.37,1.39,-0.31,0.18,-0.11,0.24,0.26,-0.01,0.3,0.12,0.25,0.38,0,-0.21,0.09,0.27,0.05,0.16,0.04,0.34,0.55,0.26,-0.1,0.05,0.19
"39","30","      Equipment","Y033RY2",-1.09,-1.55,-1.46,0.06,0.96,1.12,1.41,0.75,-1.6,0.6,1.24,0.87,-2.15,-0.24,0.61,0.96,0.78,1.59,0.32,-0.8,0.6,0.17,-0.16,0.48,-0.31,0.73,0.15,0.16,-0.88,0.62,0.21,-0.11,0.58,0.41,0.67,1.02,0.94,-0.06,0.38,0.51
"40","31","        Information processing equipment","Y034RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.02,-0.07,0.06,0.06,0.09,0.07,-0.07,0.09,0.1,0.1,-0.09,0.07,0.15,0.08,0.09,0.14,0.13,0.18,0.31,0.07,0.07,0.22
"41","32","          Computers and peripheral equipment","B935RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.03,0.11,0.05,0.06,0.15,0.07,0.04,0.08
"42","33","          Other","A937RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.02,-0.07,0.06,0.06,0.09,0.07,-0.07,0.09,0.1,0.1,-0.09,0.07,0.11,0.05,0.06,0.03,0.08,0.11,0.16,0,0.02,0.14
"43","34","        Industrial equipment","A680RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,-0.14,-0.4,0.21,0.19,0.06,0.16,0.05,-0.01,0.18,0.03,-0.34,0.03,0.13,-0.09,0.08,0.12,0.2,0.3,0.28,0.01,-0.04,0.12
"44","35","        Transportation equipment","A681RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.08,-0.01,0.22,-0.08,-0.34,0.29,-0.21,0.41,-0.18,0.11,-0.47,0.41,0.05,-0.09,0.33,-0.05,0.19,0.39,0.17,-0.06,0.33,0.07
"45","36","        Other equipment","A862RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.36,-0.32,0.1,0.01,0.02,-0.03,-0.08,0.23,0.05,-0.08,0.02,0.11,-0.12,-0.01,0.08,0.2,0.15,0.16,0.18,-0.09,0.02,0.09
"46","37","      Intellectual property products","Y001RY2",0,-0.03,-0.02,0.03,0.11,0.08,0.09,0.04,0.06,-0.02,0.04,0.24,-0.04,-0.1,0,0.07,0.13,0,-0.02,-0.02,0.06,-0.01,0.17,0.17,0.05,0.08,0.17,0.04,0.05,0.11,0.08,0.14,0.07,0.14,0.07,0.18,0.2,0.12,0.12,0.09
"47","38","        Software \4\","B985RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.01,0.04,0.02,0.02,0.05,0.02,0.02,0.05
"48","39","        Research and development \5\","Y006RY2",0.02,0.05,0,0,0.04,0.02,0.01,0,0.04,-0.02,0.05,0.17,-0.03,-0.14,0,0,0.12,0.05,0.01,-0.06,0.06,0.02,0.14,0.13,0.04,0.02,0.18,0.02,0.05,0.07,0.09,0.05,0.08,0.07,0.07,0.11,0.11,0.1,0.08,0.07
"49","40","        Entertainment, literary, and artistic originals","Y020RY2",-0.02,-0.07,-0.02,0.03,0.07,0.06,0.08,0.04,0.02,0,-0.01,0.08,-0.01,0.04,0,0.07,0.01,-0.05,-0.03,0.03,0,-0.04,0.03,0.04,0.01,0.06,-0.01,0.03,0.01,0.04,-0.03,0.08,-0.02,0.03,-0.02,0.05,0.04,0,0.02,-0.03
"50","41","    Residential","A011RY2",-1.5,-0.4,-1.02,-0.24,0.38,0.56,0.47,0.17,0.01,1.03,0.42,0.21,-1.55,-0.55,-0.1,0.1,2.3,1.02,0.96,-0.43,1.99,-1.11,-0.09,0.19,0.42,0.88,-0.47,-0.31,0.05,1.18,-0.37,0.02,0.46,0.57,0.31,-0.13,-0.4,-0.11,0.53,0.14
"51","42","  Change in private inventories","A014RY2",-1.84,-0.56,-1.48,1.84,1.14,2.58,0.01,0.98,-2.01,0.65,1.97,1.34,-1.74,-1.36,-0.05,-0.3,2.76,-2.86,2.45,-2.79,2.78,0.74,-1.34,-0.27,-0.89,1.5,-0.28,-0.53,-0.17,0.83,-0.13,-0.05,0.55,-0.07,-0.12,0.64,0.56,-0.47,-0.09,0
"52","43","    Farm","B018RY2",-0.15,0.94,-0.31,-0.31,-0.9,2.32,-2.15,2.1,-0.07,-0.63,0.65,-0.15,0.5,-0.91,-0.03,-0.22,0.32,-0.59,1.76,-1.1,0.21,0.32,0.16,-0.08,-0.13,-0.18,-0.1,0.25,0.4,-0.72,0.41,0.06,-0.06,-0.01,-0.26,0.3,-0.19,0.17,0.07,-0.14
"53","44","    Nonfarm","A015RY2",-1.69,-1.5,-1.17,2.15,2.04,0.26,2.16,-1.12,-1.94,1.28,1.32,1.49,-2.24,-0.46,-0.02,-0.07,2.44,-2.28,0.68,-1.69,2.57,0.42,-1.5,-0.19,-0.76,1.67,-0.18,-0.77,-0.57,1.55,-0.53,-0.11,0.61,-0.06,0.13,0.34,0.75,-0.64,-0.16,0.14
"54","45","Net exports of goods and services","A019RY2",-0.3,-0.22,-0.19,-0.11,0.33,-0.83,0.24,0.45,0.88,0.07,0.52,-0.64,-1.19,-1.16,0.01,0.66,3.72,1.05,-2.13,0.08,-1.28,0.79,-0.57,-0.68,0.39,-0.04,0.36,0.24,-0.87,0,0.7,0.05,-0.21,0.23,0.35,-0.29,-0.28,-0.21,-0.29,-0.03
"55","46","  Exports","A020RY2",-0.96,-0.77,-0.8,0.02,0.41,0.21,0.19,0.93,-0.05,0.24,0.61,0.12,-1.51,-0.42,0.15,0.86,3.16,0.89,-1.59,-0.05,-0.65,0.96,-0.21,-0.3,0.19,0.43,0.69,0.41,-0.67,0.44,0.75,0.03,0.25,0.34,0.57,0.14,0.35,0.12,0.39,0.25
"56","47","    Goods","A253RY2",-0.88,-0.68,-0.71,-0.01,0.33,0.16,0.17,0.8,0.06,0.2,0.55,0.1,-1.43,-0.46,0.11,0.79,2.79,0.8,-1.46,-0.03,-0.6,0.77,-0.21,-0.24,0.18,0.35,0.59,0.31,-0.61,-0.02,0.74,0.02,0.16,0.28,0.51,0.04,0.28,0.02,0.3,0.2
"57","48","    Services","A646RY2",-0.08,-0.08,-0.09,0.03,0.08,0.05,0.02,0.14,-0.1,0.04,0.06,0.02,-0.09,0.03,0.04,0.07,0.37,0.09,-0.13,-0.02,-0.05,0.19,0,-0.05,0.01,0.08,0.1,0.1,-0.06,0.46,0.02,0.01,0.08,0.06,0.07,0.1,0.06,0.1,0.09,0.05
"58","49","  Imports","A021RY2",0.65,0.54,0.61,-0.13,-0.08,-1.04,0.05,-0.48,0.93,-0.17,-0.08,-0.76,0.32,-0.73,-0.15,-0.19,0.56,0.16,-0.54,0.13,-0.63,-0.16,-0.36,-0.38,0.2,-0.47,-0.33,-0.17,-0.19,-0.44,-0.06,0.03,-0.45,-0.11,-0.22,-0.44,-0.63,-0.33,-0.68,-0.28
"59","50","    Goods","A255RY2",0.62,0.4,0.5,-0.28,-0.06,-0.99,0.13,-0.37,0.78,-0.22,-0.13,-0.48,0.83,-0.26,-0.06,0.01,-0.26,0.09,-0.36,0.1,-0.58,0.07,-0.06,-0.17,0.22,-0.31,-0.24,-0.08,-0.08,-0.46,0.05,0,-0.39,-0.11,-0.18,-0.4,-0.47,-0.17,-0.66,-0.2
"60","51","    Services","A656RY2",0.03,0.14,0.11,0.15,-0.01,-0.05,-0.08,-0.12,0.14,0.06,0.05,-0.29,-0.51,-0.47,-0.08,-0.2,0.82,0.07,-0.18,0.02,-0.06,-0.23,-0.3,-0.21,-0.01,-0.17,-0.09,-0.09,-0.12,0.03,-0.1,0.02,-0.06,0,-0.03,-0.04,-0.16,-0.16,-0.03,-0.08
"61","52","Government consumption expenditures and gross investment","A822RY2",0.94,0.48,-0.42,-0.52,1.91,0.5,2.44,-0.64,1.09,1.41,0.57,10.31,28.03,19.31,5.84,-5.84,-28.95,-2.8,0.93,1.77,0.11,6.22,4.18,1.65,-1.6,-0.78,0.05,1.01,0.77,0.59,0.14,1.19,1.5,0.57,0.58,0.74,1.94,1.82,0.83,0.04
"62","53","  Federal","A823RY2",0.19,0.08,0.05,0.76,1.37,0.14,2.43,-0.65,0.6,0.49,0.87,10.83,28.64,19.75,5.98,-5.97,-29.34,-3.46,0.57,0.85,-0.47,6.16,4.07,1.32,-2.2,-1.31,-0.2,0.55,0.07,0.29,-0.24,0.65,1.23,0.03,-0.05,0.1,1.34,1.32,0.22,-0.33
"63","54","    National defense","A824RY2",0.07,0.01,0,-0.07,-0.17,0.3,0.28,0.02,0.07,0.18,1.27,11.28,29.34,20.14,5.97,-5.76,-29.81,-3.76,-0.05,0.31,-0.03,6.49,3.84,0.93,-2.09,-1.2,-0.06,0.55,0,-0.35,-0.09,0.56,0.76,-0.26,-0.34,-0.14,1.23,1.27,0.18,-0.44
"64","55","      Consumption expenditures","A997RY2",0.03,-0.03,-0.01,-0.11,-0.18,0.32,0.07,-0.03,0.07,0.16,0.77,5.44,15.05,13.39,5.42,-1.14,-20.6,-3.39,-0.43,-0.04,0.22,4.43,2.58,0.4,-1.46,-0.69,-0.09,0.4,-0.13,-0.85,0.04,0.21,0.66,0.04,-0.15,0.11,0.98,0.98,0.39,-0.3
"65","56","      Gross investment","A788RY2",0.04,0.03,0,0.04,0.01,-0.02,0.21,0.04,0,0.02,0.5,5.84,14.3,6.75,0.55,-4.62,-9.21,-0.37,0.38,0.35,-0.25,2.06,1.26,0.53,-0.63,-0.51,0.03,0.15,0.13,0.5,-0.14,0.35,0.1,-0.29,-0.19,-0.25,0.25,0.28,-0.22,-0.14
"66","57","    Nondefense","A825RY2",0.13,0.07,0.06,0.84,1.54,-0.16,2.16,-0.67,0.53,0.31,-0.4,-0.44,-0.7,-0.39,0.01,-0.21,0.48,0.3,0.63,0.54,-0.43,-0.33,0.22,0.39,-0.11,-0.11,-0.13,0,0.07,0.64,-0.15,0.09,0.47,0.29,0.29,0.24,0.11,0.06,0.04,0.11
"67","58","      Consumption expenditures","A542RY2",0.07,-0.03,-0.1,0.56,1.35,-0.67,2.34,-0.57,0.54,0.42,-0.36,-0.68,-0.61,-0.33,0.17,-0.13,0.53,0.19,0.44,0.37,-0.52,-0.29,0.23,0.46,-0.05,-0.05,-0.23,-0.09,-0.02,0.63,-0.29,-0.02,0.29,-0.01,0.07,0.06,-0.05,0.17,0.02,0.15
"68","59","      Gross investment","A798RY2",0.06,0.1,0.16,0.28,0.19,0.51,-0.18,-0.09,-0.01,-0.11,-0.04,0.24,-0.09,-0.06,-0.15,-0.07,-0.06,0.11,0.18,0.17,0.09,-0.04,0,-0.07,-0.06,-0.06,0.09,0.09,0.1,0.02,0.14,0.11,0.18,0.29,0.23,0.18,0.16,-0.11,0.02,-0.04
"69","60","  State and local","A829RY2",0.74,0.4,-0.47,-1.28,0.54,0.36,0.01,0.02,0.49,0.92,-0.3,-0.52,-0.61,-0.44,-0.14,0.14,0.39,0.66,0.35,0.92,0.58,0.06,0.11,0.33,0.59,0.54,0.25,0.47,0.69,0.3,0.38,0.54,0.28,0.54,0.63,0.63,0.61,0.5,0.62,0.37
"70","61","    Consumption expenditures","A991RY2",0.32,0.35,0.12,-0.18,0.18,0.51,-1.5,0.47,0.03,0.37,0.35,0.21,0.13,0,-0.07,0.08,0.11,0.28,0.04,0.41,0.32,-0.01,0.06,0.16,0.2,0.34,0.19,0.28,0.43,0.22,0.34,0.34,0.18,0.3,0.43,0.43,0.41,0.31,0.48,0.49
"71","62","    Gross investment","A799RY2",0.43,0.06,-0.59,-1.1,0.36,-0.15,1.51,-0.46,0.46,0.55,-0.65,-0.73,-0.74,-0.44,-0.08,0.05,0.27,0.38,0.31,0.51,0.26,0.07,0.05,0.17,0.39,0.2,0.06,0.18,0.26,0.08,0.04,0.2,0.1,0.24,0.2,0.2,0.19,0.18,0.14,-0.12
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
