"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","2","    Gross domestic income (GDI)","A261RX1",1912.5,1910.9,1914,1932,1984.4,2030.2,2031.5,2041.6,2001.5,1995.9,2007.9,1979.6,2060.1,2144.4,2225.9,2268.9,2281,2321.3,2362,2382.7,2398.3,2412.6,2435,2509.5,2554.3,2572.2,2555.7,2504.1,2510.1,2514.5,2537.1,2590.5,2661.6,2716,2751.5,2772.6,2775.4,2803.8,2806.7,2854.9,2862,2859.5,2872.2,2841.1,2779.9,2787.8,2849.4,2909.9,2976.5,3057.4,3032.8,3053.8,3121.9,3120.6,3120.2,3103.1,3109.9,3162.4,3213.2,3289.1,3328.6,3365.7,3399.9,3440,3469.1,3519.8,3567.5,3598.6,3658.6,3712.2,3764.7,3800.7,3885.5,3935.6,3991,4078.5,4167.8,4195.4,4224.3,4261.5,4286.5,4310.1,4355.4,4399.4,4465.6,4533.9,4593.1,4621.4,4665.4,4697.6,4732.4,4723.9
"12","3","    Average of GDP and GDI \1\","LB0000091",1923.5,1921.6,1922.1,1946.3,1987,2026,2032.3,2038.5,2004.5,1998.3,2015.3,1992.1,2072.3,2146,2228.1,2271.2,2292.8,2332.9,2377.3,2390.4,2410.9,2420.5,2440.5,2518,2563.8,2582.8,2567.3,2522,2519.1,2522.6,2548.2,2599.9,2672.7,2721.7,2757.8,2776.7,2772.7,2798.3,2798.6,2845.6,2858.2,2853.8,2874.1,2843.7,2776.3,2789.4,2852.5,2916.1,2976.6,3053.2,3038,3054.5,3122.5,3116,3119.6,3092.2,3106.1,3161.2,3212.8,3283.4,3332.7,3369.1,3402.4,3429,3462.6,3510.5,3568.5,3596.8,3665.7,3714.4,3765.8,3790.5,3879.5,3930.9,3998.6,4089.5,4184.8,4207.3,4236.7,4273.6,4305.7,4319.4,4360.8,4400.3,4478.2,4550.2,4596.2,4620.5,4678.5,4702.2,4734.3,4719.7
"13","4","    Net domestic product \2\","A362RX1",1764.7,1760.6,1757.3,1788.8,1819.2,1852.8,1864.4,1866.1,1836.3,1828.5,1850.2,1830.7,1912.4,1976.3,2060.5,2102.9,2132.7,2171.5,2218.7,2221,2244,2245.6,2260,2339.4,2384,2400.7,2381.5,2336.8,2320.5,2319.6,2345.8,2394.2,2468.1,2509.8,2544.4,2558.2,2543.1,2563.1,2556.9,2600.9,2616.2,2605.6,2630.3,2595,2513.2,2528,2591.4,2657.7,2711.6,2784.2,2775.3,2784.7,2852.6,2837.1,2841.7,2798.7,2816.5,2872.5,2923.3,2986.7,3043.5,3076.5,3105,3113.7,3148,3189.7,3255.4,3276.4,3352,3391.9,3438.4,3446.4,3536.7,3584.9,3660.7,3751.5,3848.7,3859,3882.6,3912.6,3945.8,3942.1,3973.3,4002.3,4087.6,4158.6,4185.1,4198.8,4265.2,4273.6,4296.9,4268.7
"14","5","    Net domestic income \2\","W256RX1",1742.1,1738.7,1740.4,1759.2,1814,1861.4,1862.6,1872.7,1830,1823.4,1834.8,1804.7,1887,1973,2055.9,2098.3,2108.2,2147.4,2186.6,2204.8,2217.9,2229,2248.4,2321.9,2364.1,2378.5,2357.3,2299.9,2301.9,2302.8,2322.5,2374.7,2445,2498,2531.3,2549.7,2548.7,2574.6,2573.7,2620.4,2623.8,2617.3,2626.4,2589.3,2520.7,2524.7,2585.1,2644.9,2711.4,2793,2764.5,2783.4,2851.3,2846.9,2843,2821.5,2824.4,2875.2,2923.8,2998.7,3035.2,3069.1,3099.8,3136.5,3161.5,3209.1,3253.3,3280.4,3337.3,3387.7,3436.1,3467.7,3549.2,3594.3,3644.9,3728.4,3813.4,3834.5,3856.9,3887.9,3906.1,3923,3962.2,4000.5,4061.8,4124.8,4178.6,4200.4,4238,4264.4,4292.9,4277.5
"15",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","6","    Gross national product","A001RX1",1947,1945.3,1943.3,1974.3,2004.2,2037.2,2048.6,2050.8,2022.4,2015.3,2037,2017.7,2098.4,2162.2,2247.3,2290.3,2320.9,2363.2,2412.2,2418.4,2442.9,2448,2465.4,2545.5,2592.3,2613.3,2597.1,2557.9,2547.3,2549.9,2578.8,2630.7,2705.7,2749.1,2786.1,2803.1,2794.3,2817,2815.2,2858.5,2879.9,2875.1,2902,2868.1,2794.6,2813.2,2877.3,2944,2998.3,3070.8,3066.2,3079.3,3146.8,3135.3,3143.9,3107.2,3129.4,3186,3239.3,3305,3364,3402.1,3434.5,3451.4,3488.2,3532.3,3601.2,3627.6,3707.9,3750.5,3801.9,3813.2,3910.3,3964.3,4042,4133.9,4236.3,4253.6,4283,4320.7,4359.8,4362.8,4403.1,4437.4,4527.7,4604.2,4638.1,4658.4,4730.4,4744.3,4772.4,4751.7
"17","7","    Gross national income","A023RX1",1925,1923.9,1926.9,1945.6,1999.2,2045.6,2046.9,2057.1,2016.3,2010.3,2022,1992.7,2074,2159.1,2242.7,2285.8,2297.3,2340,2381.2,2403,2417.7,2432.1,2454.2,2528.7,2573.3,2592.1,2573.7,2522.3,2529.3,2533.5,2556.4,2611.9,2683.4,2737.7,2773.4,2794.9,2799.7,2828.1,2831.4,2877.2,2887.3,2886.4,2898.2,2862.8,2801.9,2810,2871.3,2931.5,2998.2,3079.3,3055.7,3078,3145.4,3144.7,3145.1,3129.2,3137,3188.6,3239.7,3316.5,3355.8,3395,3429.6,3473.3,3501.3,3551.1,3599.2,3631.4,3693.7,3746.4,3799.6,3833.8,3922.3,3973.5,4026.8,4111.7,4202.1,4229.8,4258.1,4296.7,4321.4,4344.2,4392.4,4435.7,4502.8,4571.6,4631.8,4659.9,4704.1,4735.3,4768.7,4760.2
"18","8","    Net national product \2\","A027RX1",1777.4,1773.8,1770.5,1802.7,1834.1,1868.5,1880.1,1881.9,1851.4,1843.3,1864.6,1844,1926.5,1991.2,2077.7,2120.2,2149.5,2190.6,2238.6,2241.8,2263.9,2265.6,2279.7,2359,2403.4,2421,2400,2355.4,2340.1,2339.1,2365.6,2416.1,2490.5,2532,2566.8,2581.1,2568,2587.8,2582.1,2623.7,2642.2,2633.2,2657,2617,2535.5,2550.6,2613.5,2679.8,2733.6,2806.4,2798.8,2809.4,2876.7,2861.6,2867.1,2825.1,2844.2,2899.1,2950.5,3014.6,3071.3,3106.5,3135.3,3147.8,3180.8,3221.5,3287.8,3309.8,3387.9,3426.7,3474.2,3480,3574.4,3623.7,3697.3,3785.5,3883.9,3894.2,3917.1,3948.5,3981.4,3976.9,4011.1,4039.2,4125.4,4197.2,4224.6,4238.2,4304.8,4311.9,4333.9,4305.6
"19",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","    Gross domestic purchases","A712RX1",1889.2,1890,1888.2,1939.7,1983.2,2030.9,2043.5,2048.5,2005,1998.2,2027.5,2024.1,2108.9,2176,2276.2,2313,2340,2366.9,2404.2,2408.2,2438.4,2457,2489.8,2580,2626.9,2652.1,2632.7,2590.9,2577.4,2575.2,2601.5,2648.3,2726.1,2779.4,2811.3,2831.8,2820.1,2834.4,2828.6,2863.4,2881.8,2880.9,2911,2885.6,2825.8,2848.9,2912.6,2987.4,3038,3113.8,3104.9,3117.4,3174.9,3154.2,3162.1,3114.1,3135.9,3198.6,3261.8,3326.7,3391.6,3416,3460.4,3479.3,3511,3541.1,3624.5,3641.3,3709.5,3754.4,3811.5,3823.7,3935,3973.5,4068,4158.6,4270.6,4283.6,4333.4,4365.9,4405.1,4409.3,4455.7,4496.1,4593.7,4670.2,4703.7,4725.7,4806.1,4815.8,4848.9,4816.3
"21","10","    Final sales to domestic purchasers \3\","A713RX1",1904.2,1920.7,1936.4,1959.6,1980.7,2006.3,2011.5,2030.6,2023.6,2050.3,2056.3,2079.6,2116.5,2176.4,2270.1,2243.6,2306.8,2306.3,2372.1,2406.9,2432.7,2487.6,2480.7,2570.9,2624.8,2651,2640.9,2625.1,2608.7,2613.6,2636.8,2675.7,2728.9,2773.2,2808.3,2819.4,2814.2,2837.1,2836,2873.3,2899.2,2894.7,2918.9,2922.9,2866.5,2887.3,2927,2990.8,3042.7,3094.9,3125.9,3116.5,3139.2,3161.9,3160.6,3167.1,3173.4,3212,3249,3321.1,3367.4,3411,3450.6,3484.6,3494.6,3539.4,3619.1,3645.7,3711.9,3758.2,3811,3822.5,3901.2,3956.3,4044.8,4146.8,4227,4244.7,4301.4,4311,4356.3,4404.3,4438.1,4483.7,4582.6,4628.4,4695.2,4726.4,4782,4800.8,4828.5,4818.8
"22","11","    Final sales to private domestic purchasers \4\","LB0000031",1421.3,1433.6,1445.9,1468.5,1483.8,1497.1,1495.8,1501.9,1486.8,1496.4,1498.7,1526.7,1565,1613.1,1702.7,1655.1,1673.5,1620.7,1630.8,1635.9,1643.8,1675.2,1663.4,1735.1,1765.5,1776.8,1774.2,1761.7,1761.9,1785.8,1818.7,1857.2,1904.9,1950.2,1978.5,1999.8,1995.2,2004.9,2008.7,2028.4,2039.1,2038.2,2055.3,2048.8,2002.8,2006.3,2038.8,2084,2138.7,2178.4,2201.2,2197.9,2229.5,2243.5,2226.6,2228.2,2224,2257.8,2277.2,2328,2356.7,2393.2,2412.5,2438.4,2458,2498.6,2538.3,2570.6,2629.1,2664.7,2712.5,2723.4,2797.1,2838.2,2893,2971.2,3029.3,3028.9,3056.6,3049.2,3051.3,3099.8,3120,3154.5,3228.5,3265.7,3324.8,3353.1,3402.4,3423.3,3446.9,3452
"23",NA,"Purchasing power of income: \5\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","12","    Command-basis gross domestic product","C191RX1",1972.7,1977.2,1979.9,2018.4,2038.6,2064,2076.1,2085,2052.3,2036.5,2063,2043.8,2125,2186,2270.3,2317.8,2352.7,2394.1,2437.6,2440.3,2463,2462.9,2491.3,2572.8,2620.1,2640.5,2627.1,2583.9,2567.5,2567.1,2601,2655.2,2735.2,2776.1,2814.2,2840.7,2830.7,2844.5,2847,2887.8,2914.3,2908.4,2932.7,2888.6,2822.1,2837.5,2913.8,2992.2,3039.9,3109.3,3102.5,3115,3191.8,3176.2,3181.3,3138.1,3163.2,3225.2,3280.3,3350.8,3413.5,3444.5,3476.7,3488.3,3524.2,3572.4,3641.5,3672.4,3748.5,3789.8,3839.3,3855.4,3956.2,4009.7,4087.4,4182.1,4289.4,4302.6,4340,4380.7,4424.6,4424.6,4464.9,4502,4594.3,4671.9,4703.2,4724.8,4802.2,4814.9,4845.7,4825.8
"25","13","    Command-basis net domestic product \2\","C362RX1",1802.4,1805.4,1807.2,1847.2,1868.6,1895.1,1907.5,1916.2,1881.2,1864,1890.5,1869.9,1953,2015,2100.8,2147.8,2181.6,2221.8,2264.2,2263.6,2283.8,2280.1,2305.7,2386.4,2431.3,2448.2,2430.1,2381.1,2359.8,2355.6,2387.2,2440.2,2519.9,2558.7,2594.8,2618.9,2604.5,2615,2613.7,2652.7,2676.5,2666.4,2687.4,2636.6,2562.1,2573.8,2649.6,2728.1,2775,2844.6,2834.6,2844.6,2921.8,2902.2,2904,2855.1,2877.2,2937.7,2991,3060.1,3120.7,3148.5,3177.1,3184,3216.1,3260.9,3327.5,3354,3427.9,3465.2,3510.7,3521.5,3619.7,3668.5,3742,3833.1,3936.7,3942.8,3973.7,4008.2,4046,4038.2,4072.3,4103.3,4191.6,4264.5,4289.1,4304,4376.1,4381.8,4406.4,4378.8
"26","14","    Command-basis gross national product","CB22RX1",1980.7,1986,1988.9,2028,2049.3,2075.2,2087.1,2095.9,2062.6,2046.5,2072.6,2052.4,2134.3,2195.9,2282.1,2329.5,2363.4,2407.2,2451.5,2455,2476.6,2476.7,2504.7,2585.9,2633,2654.3,2639.2,2596.2,2580.8,2580.4,2614.5,2670.7,2751.2,2791.9,2830.2,2857.1,2849,2862.6,2865.5,2903.8,2933.4,2929.2,2952.5,2904,2837.9,2853.7,2929.4,3007.7,3055.2,3124.7,3119.2,3132.8,3209,3193.8,3199.7,3157.5,3183.9,3244.9,3300.5,3371.5,3434.1,3467.4,3499.8,3515.2,3549.7,3596.9,3666.6,3698.4,3776.8,3816.9,3867.2,3881.4,3986.1,4040.6,4116,4208,4316.3,4329.6,4366.2,4408.3,4451.9,4451,4494.2,4530.5,4623.6,4701.9,4734,4755.4,4832.8,4844.2,4873.6,4853.7
"27","15","    Command-basis net national product \2\","C027RX1",1810.6,1814.5,1816.5,1857.1,1879.7,1906.7,1918.9,1927.5,1892,1874.4,1900.5,1878.7,1962.6,2025.2,2113.1,2159.9,2192.8,2235.5,2278.7,2278.9,2298.1,2294.4,2319.6,2400,2444.7,2462.6,2442.7,2393.9,2373.7,2369.4,2401.3,2456.4,2536.5,2575.1,2611.5,2636,2623.6,2633.9,2633,2669.4,2696.5,2688,2708,2652.7,2578.6,2590.7,2665.9,2744.2,2791.1,2860.7,2852.1,2863.2,2939.7,2920.6,2923.2,2875.4,2898.8,2958.2,3012,3081.7,3142.2,3172.3,3201.1,3212,3242.6,3286.4,3353.5,3381,3457.2,3493.4,3539.7,3548.4,3650.7,3700.5,3771.7,3860,3964.6,3970.7,4001,4036.8,4074.4,4065.6,4102.7,4132.8,4222,4295.5,4321.1,4335.6,4407.8,4412.2,4435.4,4407.7
"28",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","16","    Disposable personal income","A067RX1",1312.3,1297.4,1330.7,1311.5,1337.3,1379.1,1401.7,1409.5,1381.8,1388.6,1397.5,1405.4,1513.7,1509.2,1528.1,1537.5,1539.3,1573.5,1591.4,1588.5,1587.7,1607.8,1640.2,1675.4,1695.8,1717.9,1709.7,1704,1712.7,1714.3,1732.5,1765.7,1794.5,1834,1867.7,1889.5,1909,1927.1,1936.9,1966.3,1972.1,1986,1996.8,1984.9,1969.8,1983,2022.9,2047.6,2065,2098,2095.1,2110.1,2135.2,2148.6,2152.4,2151.5,2172.4,2205.5,2234.8,2277.9,2299.7,2323.9,2336,2356.6,2376.8,2398.9,2425.4,2465,2513.4,2580.9,2614.2,2643.9,2675,2705.3,2779.5,2835.4,2863.5,2870.9,2905.9,2939.6,2983.4,3006.8,3035.1,3057.1,3109.3,3161.2,3168.9,3190.5,3197,3232.2,3300.6,3326.5
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. In this table, the net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
