"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","  Nonfarm \2\","A358RX1",1246,1275,1240.8,1305.4,1318.8,1314.8,1326,1318.9,1309.4,1301,1318.3,1306,1361.7,1411.1,1487.1,1503,1531.4,1538.3,1558,1562.4,1579.3,1571.5,1576.6,1651,1681.2,1689.6,1681,1648.3,1629,1628.2,1651.3,1691.5,1751.7,1779.7,1805.5,1821.7,1810.2,1822.4,1815.2,1844.5,1867.3,1856.4,1873.8,1840.9,1774.3,1783.3,1838.3,1897.2,1935.3,1995.7,1985.8,1982.7,2041.2,2017.3,2011.5,1968.5,1982.6,2034.5,2074.6,2120.8,2163.9,2186.1,2210,2214.5,2235.3,2272.3,2326.9,2344.9,2409.9,2436.8,2471,2472.6,2548.5,2589.1,2641.8,2715.2,2792.9,2803.2,2820.6,2832.3,2852.9,2847.2,2868.2,2891.5,2961.3,3018.3,3038.5,3052,3104.1,3107.7,3124.5,3101.9
"12","4","  Farm","B359RX1",19.8,16.6,21.3,16.1,17.5,22.6,21.9,23,20.2,20.5,20.6,20.2,22.6,22.4,20.4,20.6,18.9,20.2,21.5,20.8,20.4,21.5,22.6,21.3,22.5,23.6,22.1,21.8,23.6,23.7,23.2,22.8,22.8,24.6,24.8,23.2,22.9,23.8,23.7,25,22.1,22.4,22.7,24.5,24.7,25.1,23.4,21.8,23.8,23.1,22.9,24.7,22.7,23.8,26,27.3,26.7,25.2,24.7,24.1,24.4,25.1,24.4,24.9,26.9,25.7,24.7,24.5,23.4,24.2,25,26,26.4,25.4,27,26.3,26.8,25.4,23.7,25.5,26.8,27.5,27.7,27.3,26.6,26.2,26.2,26.5,27,27.2,27.6,27.5
"13","5","Households and institutions","A193RX1",175,175.8,177.7,180.3,183.6,186.8,189.8,192.5,194.9,197.9,201.4,205.3,209.7,213.9,217.9,221.7,225.1,228.6,232.2,235.6,239.5,243.1,246.8,250.8,254.6,258.6,262.3,265.8,269.4,273.5,278.5,284.2,290.8,296.8,302.3,307.3,311.7,316.1,320.3,324.5,328.7,333,337.7,342.7,347.9,353,357.9,362.6,366.7,372.6,379.1,386.6,393,399.9,405.5,411.5,415.2,415.8,420.2,428.8,434.4,440.2,446.8,453.5,456.1,459.5,464.9,468.8,473.6,480.4,484.9,490.2,495.7,502.4,511.1,518.7,523.4,526.4,535,540.7,544.5,550.4,557.7,565.6,571.6,578.6,585.8,592.1,599.5,606.7,611.7,615.2
"14","6","  Households","B701RX1",101.9,102.4,103.1,104,105.1,106.4,107.8,109.4,111,113,115.3,117.8,120.7,123.4,126.1,128.6,131,133.4,135.8,138.1,140.6,143,145.4,147.9,150.2,152.7,155,157.1,159.4,162.1,165.2,169,173.1,177,180.5,183.6,186.4,189.2,191.9,194.5,197.2,199.9,202.6,205.5,208.4,211.4,214.4,217.5,220.3,223.9,227.6,231.6,234.5,238.2,241.6,245.7,248.7,248.8,251.6,257.5,260.4,263.7,267.8,272.3,273.6,275.5,278.9,281,283.6,288.2,290.4,293.5,296.2,300,305.2,309.9,311.3,312.4,318.1,322.2,324.8,328,331.2,334,334.7,336.8,339.5,342.6,346.9,351.7,355.1,358.3
"15","7","  Nonprofit institutions serving households \3\","B702RX1",74.2,74.6,76,78.3,81.5,84,85.9,87.2,87.8,88.5,89.5,90.6,91.9,93,94.1,95,95.7,96.5,97.4,98.3,99.2,100.3,101.5,102.8,104.2,105.6,106.9,108,109.2,110.5,112,113.7,115.7,117.6,119.4,121,122.5,123.9,125.3,126.6,127.9,129.5,131.4,133.6,136.1,138.2,139.9,141.3,142.2,144.4,147.4,151.1,155.3,158.7,161,162.4,162.4,163.1,164.5,166.6,169.6,172.1,174.5,176.2,177.7,179.3,181.1,183,185.3,187.2,189.8,192,195,197.9,201.3,204.1,208.2,210.4,212.9,214.2,215.2,218,222.6,228.5,235,240.9,246,249.4,252.5,254.6,255.9,255.9
"16","8","General government \4\","A765RX1",542.5,525.8,523.5,514,510.5,501.5,506.1,511.4,512,512,510.5,502.3,496.2,504,515.1,560.4,580.5,625.4,657,664.2,677.7,687.8,692.9,691.2,696.5,699.9,702.9,699.6,698.2,698.6,701.1,702.8,702.4,699,703.4,707.2,709.3,712.8,721,726.6,730.2,735.2,741.4,736.7,735.8,741.6,751.7,756.4,753,756.2,761,766.7,775.2,788.4,791.7,797.5,806.4,811.9,822.7,838.7,847,853.9,859.9,862.5,870,879.8,890.4,895.5,903.4,913,921.6,929.2,931.3,942,954.9,969.7,982.9,999.4,1020.2,1040.7,1054.2,1060.6,1074.2,1081.8,1096.8,1110.3,1119.2,1119.4,1129,1138.4,1147.8,1152.4
"17","9","  Federal","A766RX1",288.2,274.2,270.9,262.4,259.7,252.6,255,257.1,254.8,251.7,247.7,239.2,233.8,239.4,247.5,282.4,297,331.2,354.9,359.1,368.9,375.8,378.3,375,377.3,378,377.9,373.1,370,368.5,368.3,367.2,365.2,360.3,360.6,360.3,359.8,358.2,361,362.3,363.4,364.8,366.1,358.5,355.1,355.4,359.6,360.3,356.4,357.2,358.4,360.2,363.3,370.1,368.7,370,372.3,375.1,380.4,391.1,396.8,398.9,399.8,398.3,400.7,405,408.3,408.6,409.5,412.6,415.8,416.2,414.8,416.7,420.8,427.3,434.3,442.4,454.1,464.5,475.6,477.3,482.3,483,486.9,492.9,495,490.4,493.2,496.4,499.4,497.6
"18","10","  State and local","A767RX1",213.2,216.5,219.5,221.7,221.5,221.6,223.4,226.6,231.3,236.2,240.8,244.2,245.1,245.8,246.6,247.7,249.5,251.5,253.8,256.3,257.9,259.6,262,264.8,267.6,270.7,274.2,277.4,280.2,282.8,285.8,289.4,291.8,294.9,299.7,304.6,307.7,314.2,319.6,324.3,326.9,330.7,336,341.6,345.5,351.9,357.7,362.2,364,366.6,370.4,374.6,380.2,385.7,391.6,396.4,403.5,405.8,410.8,414.1,415.7,420.7,426.2,431.4,436.5,441.7,449.3,454.8,462.6,469.3,474.7,482.8,487.4,497.1,506.1,513.9,519.3,526.8,534.4,543.3,543.5,548.3,556.9,564.5,576.1,583.1,590.3,596.6,603.6,609.8,616.3,623.7
"19","11","Residual","A961RX1",-8.8,-27,-1.3,-27.2,-14.6,19.9,13.2,13.1,-7,-10.1,-9.4,-13.3,8.8,12.5,8.6,-3.9,-19,-26.6,-28.6,-36.9,-42.8,-43.2,-40.3,-36.4,-29.6,-26.7,-38.2,-45.9,-43.4,-45.1,-46.4,-44.3,-36.5,-26.6,-26.4,-33.6,-39.5,-38.8,-46.1,-41,-50.3,-55.5,-56.7,-58.2,-71.4,-74.4,-77.8,-78,-65.4,-61.9,-69.4,-69.8,-74,-82.5,-81.3,-89,-93.9,-92.6,-94,-96.5,-94,-93.9,-97.9,-99.6,-94.6,-98.4,-99.7,-101.8,-101.6,-101.9,-99.8,-102.9,-94.8,-99.8,-96,-96.1,-90.9,-101.5,-114.6,-116.4,-113.9,-117.6,-122.8,-127.6,-130,-131.8,-136.2,-137.7,-135.7,-140.7,-142.7,-149.4
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",126.9,127.8,129,130.4,132.1,134,136.1,138.3,140.6,142.9,145.3,147.8,150.2,152.7,155.4,158.2,161,164,167.2,170.4,173.9,177.1,180,182.8,185.1,187.8,190.6,193.6,197,200,203.1,206,208.9,211.7,214.5,217.3,219.9,222.9,226.1,229.6,233.5,237.1,240.5,243.9,246.8,250.4,254.4,258.7,264.4,268.3,273.4,278.3,282.4,286.1,290.3,295.6,299.4,302.6,306.9,313,316.6,322.6,327.2,333.4,335.5,338.9,343.3,347.6,350.8,354.7,359,365.1,369.5,374,379.6,384.8,388.1,391.7,397.4,402.6,407.2,411.8,417.2,421.7,424.8,426.4,430.9,436.6,442,448.1,453.4,458.1
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
