"","Table 1#7#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","Less: Income payments to the rest of the world","A655RL1",NA,-10.4,-12.9,91.3,-22.2,2.4,93.6,-40.1,80.8,-11.2,13.1,4,18.5,10.4,11.3,5.7,30.3,3,-7.2,-2.3,-14.3,32.9,4.2,16.1,-6.5,-2.5,13.8,22.2,-12.8,-2.1,-5.6,0.9,12.3,38.3,8.1,-1.6,4.3,-10.9,20.7,1.6,1.3,-2.8,9.9,2.3,9.6,-24.6,21,20.2,18.7,19.7,25.4,26.6,51.1,-11.2,-5.5,-13,6.5,2.1,15.6,11.9,-17.7,7.4,2.9,4.6,6,21.9,18.7,13.9,6.5,9.4,0.3,24.4,2.7,8.1,11.1,12,5.4,7.9,29.6,10.5,0.2,-0.5,-3.1,20.9,26,28.5,10.2,4.6,49.1,54,57.5,16.3
"12","4","Equals: Gross national product","A001RL1",NA,-0.3,-0.4,6.5,6.2,6.7,2.3,0.4,-5.4,-1.4,4.4,-3.7,17,12.7,16.7,7.9,5.5,7.5,8.5,1,4.1,0.8,2.9,13.6,7.6,3.3,-2.5,-5.9,-1.7,0.4,4.6,8.3,11.9,6.6,5.5,2.5,-1.2,3.3,-0.3,6.3,3,-0.7,3.8,-4.6,-9.9,2.7,9.4,9.6,7.6,10,-0.6,1.7,9.1,-1.5,1.1,-4.6,2.9,7.4,6.9,8.4,7.3,4.6,3.9,2,4.3,5.2,8,3,9.2,4.7,5.6,1.2,10.6,5.6,8.1,9.4,10.3,1.6,2.8,3.6,3.7,0.3,3.8,3.1,8.4,6.9,3,1.8,6.3,1.2,2.4,-1.7
"13","5","Less: Consumption of fixed capital","A262RL1",NA,3.2,2,-0.2,-0.9,-0.3,0.2,0.8,1.7,1.4,1.8,1.1,1.9,2.4,2.7,3.7,3.9,4.4,4.6,5,5,5.4,5.6,5.9,6.1,5.9,5.6,5.4,5.6,4.9,4.7,4.4,4.5,4.7,4.4,4.3,4.7,4.5,4.4,4.2,4.3,4.4,4.8,5,5.3,4.6,4.1,3.5,2.9,2.9,2.9,3.1,3,3.2,3.5,3.8,4,4,4,4.1,4.4,4.2,4.6,4.8,4.8,4.7,4.8,4.9,4.6,4.8,5.1,5.2,5.4,5.7,5.8,5.9,6.3,6.1,6.1,6,5.9,5.9,5.7,5.5,5.3,5.5,5.4,5.3,5.6,5,4.9,4.6
"14","6","  Private","A024RL1",NA,7.9,8.2,8.4,8.7,7.9,7.1,6.4,5.6,5.5,5.5,5.4,5.3,5.4,5.3,5.3,5.3,4.8,4.3,3.8,3.3,3.7,4.1,4.5,4.9,4.8,4.6,4.6,4.4,4.5,4.6,4.7,4.7,4.8,4.9,5,5.1,4.8,4.6,4.3,4.1,4.5,4.9,5.3,5.7,4.8,3.9,3,2.1,2.1,2.1,2,2,2.4,2.8,3.2,3.5,3.6,3.6,3.6,3.6,3.8,4.1,4.4,4.6,4.6,4.6,4.6,4.6,5,5.4,5.8,6.1,6.4,6.6,6.9,7.1,6.8,6.6,6.4,6.2,6,5.9,5.7,5.6,5.7,5.9,6.1,6.2,5.9,5.6,5.4
"15","7","  Government","A264RL1",NA,-3.3,-6.7,-12.7,-15.6,-14.1,-12,-9.7,-6.2,-7.4,-6.2,-8.6,-6.2,-4.9,-4,-0.7,0.1,3.1,5.2,8.2,9.7,10,9.7,9.6,9.5,8.8,7.9,7.6,8.7,5.8,5.2,3.8,4.1,4.2,3.2,2.5,4,3.8,4.1,3.7,5.1,4.1,4.3,4.4,4.2,4.3,4.7,4.7,4.9,5.1,4.9,5.8,5.5,5.1,5.2,5.1,5.1,5,4.9,5.4,6.6,5.1,5.8,5.7,5.3,5,5.2,5.5,4.6,4.4,4.5,3.8,3.9,4.2,4,3.8,4.3,4.4,4.9,5.2,5.2,5.5,5.2,5.1,4.7,4.8,4.3,3.4,3.9,2.7,3,2.8
"16","8","    General government","A265RL1",NA,-3.5,-7.3,-13.2,-16.2,-14.7,-12.8,-10.3,-6.7,-7.9,-6.8,-9.2,-6.8,-5.5,-4.8,-0.9,-0.1,3.1,5.2,8.5,9.9,10.1,9.9,10,9.9,9.1,8.2,7.7,8.9,5.9,5.3,3.8,4.1,4.2,3.1,2.5,3.9,3.7,4.1,3.7,5,4,4.3,4.4,4.2,4.3,4.6,4.7,4.9,5,5,5.6,5.6,4.9,5.3,5,5.1,4.9,4.8,5.4,6.6,5,5.7,5.6,5.4,5,5.2,5.4,4.6,4.4,4.4,3.7,3.8,4.1,4,3.7,4.3,4.2,4.8,5.2,5.1,5.6,5.1,5,4.6,4.6,4.3,3.2,3.8,2.6,2.9,2.7
"17","9","    Government enterprises","A266RL1",NA,1.8,11.8,0.5,2.2,2.6,5.9,3.1,3.7,3.2,5.6,2.3,4.5,7.4,10,3.4,2.8,3.6,6.2,3.7,6.6,9.2,6.6,3.4,3.8,3.3,3.5,6.5,6.3,3.3,3.8,3.5,4.4,4.9,5.5,3.7,4.6,6.1,3.4,4,5.8,5.7,3.7,4,4.9,4.3,6,4.2,5,6,3.7,8.5,4.2,8.6,3.6,7.3,4.7,7.6,6,4.3,6,5.8,6,6.9,4.5,4.4,4.6,6.9,4.7,4.6,6.6,5.6,5.4,5.7,4.2,5.4,5.3,5.9,5.8,4.6,6.5,4,5.9,6.1,5.6,7.4,4.6,6.7,6.4,4.7,5.2,5.4
"18","10","Equals: Net national product","A027RL1",NA,-0.8,-0.7,7.4,7.2,7.7,2.5,0.4,-6.3,-1.8,4.7,-4.4,19.1,14.1,18.6,8.4,5.7,7.9,9,0.6,4,0.3,2.5,14.7,7.7,3,-3.4,-7.2,-2.6,-0.2,4.6,8.8,12.9,6.8,5.6,2.2,-2,3.1,-0.9,6.6,2.9,-1.4,3.7,-5.9,-11.9,2.4,10.2,10.5,8.3,11.1,-1.1,1.5,9.9,-2.1,0.8,-5.7,2.7,7.9,7.3,9,7.7,4.7,3.8,1.6,4.3,5.2,8.5,2.7,9.8,4.6,5.7,0.7,11.3,5.6,8.4,9.9,10.8,1.1,2.4,3.2,3.4,-0.5,3.5,2.8,8.8,7.1,2.6,1.3,6.4,0.7,2,-2.6
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income (GDI) \1\","A261RL1",NA,-0.3,0.6,3.8,11.3,9.6,0.2,2,-7.6,-1.1,2.4,-5.5,17.3,17.4,16.1,8,2.1,7.3,7.2,3.6,2.7,2.4,3.8,12.8,7.3,2.8,-2.5,-7.8,1,0.7,3.6,8.7,11.4,8.4,5.3,3.1,0.4,4.1,0.4,7.1,1,-0.3,1.8,-4.3,-8.3,1.2,9.1,8.8,9.5,11.3,-3.2,2.8,9.2,-0.2,-0.1,-2.2,0.9,6.9,6.6,9.8,4.9,4.5,4.1,4.8,3.4,6,5.5,3.5,6.8,6,5.8,3.9,9.2,5.3,5.8,9.1,9.1,2.7,2.8,3.6,2.4,2.2,4.3,4.1,6.2,6.3,5.3,2.5,3.9,2.8,3,-0.7
"21","12","  Average of GDP and GDI \2\","PB0000091",NA,-0.4,0.1,5.1,8.6,8.1,1.3,1.2,-6.5,-1.2,3.4,-4.5,17.1,15,16.2,8,3.9,7.2,7.8,2.2,3.5,1.6,3.3,13.3,7.5,3,-2.4,-6.9,-0.5,0.6,4.1,8.4,11.7,7.5,5.4,2.8,-0.6,3.7,0,6.9,1.8,-0.6,2.9,-4.2,-9.2,1.9,9.4,9.2,8.6,10.7,-2,2.2,9.2,-0.8,0.5,-3.5,1.8,7.3,6.7,9.1,6.1,4.4,4,3.2,4,5.7,6.8,3.2,7.9,5.4,5.7,2.7,9.7,5.4,7.1,9.4,9.6,2.2,2.8,3.5,3,1.3,3.9,3.7,7.3,6.6,4.1,2.1,5.1,2,2.8,-1.2
"22","13","  Gross national income \3\","A023RL1",NA,-0.2,0.6,3.9,11.5,9.6,0.3,2,-7.7,-1.2,2.3,-5.7,17.3,17.4,16.4,7.9,2,7.6,7.2,3.7,2.5,2.4,3.7,12.7,7.2,3,-2.8,-7.8,1.1,0.7,3.7,9,11.4,8.3,5.3,3.1,0.7,4.1,0.5,6.6,1.4,-0.1,1.6,-4.8,-8.2,1.2,9,8.7,9.4,11.3,-3,3,9,-0.1,0.1,-2,1,6.7,6.6,9.8,4.8,4.8,4.1,5.2,3.3,5.8,5.5,3.6,7,5.8,5.8,3.7,9.6,5.3,5.5,8.7,9.1,2.7,2.7,3.7,2.3,2.1,4.5,4,6.2,6.3,5.4,2.5,3.8,2.7,2.8,-0.7
"23","14","  Net domestic product","A362RL1",NA,-0.9,-0.7,7.4,6.9,7.6,2.5,0.4,-6.3,-1.7,4.8,-4.2,19.1,14,18.2,8.5,5.8,7.5,9,0.4,4.2,0.3,2.6,14.8,7.8,2.8,-3.2,-7.3,-2.8,-0.1,4.6,8.5,12.9,7,5.6,2.2,-2.3,3.2,-1,7.1,2.4,-1.6,3.8,-5.3,-12,2.4,10.4,10.6,8.4,11.2,-1.3,1.4,10.1,-2.2,0.6,-5.9,2.6,8.2,7.3,9,7.8,4.4,3.8,1.1,4.5,5.4,8.5,2.6,9.5,4.8,5.6,0.9,10.9,5.6,8.7,10.3,10.8,1.1,2.5,3.1,3.4,-0.4,3.2,2.9,8.8,7.1,2.6,1.3,6.5,0.8,2.2,-2.6
"24","15","  Net domestic income \4\","W256RL1",NA,-0.8,0.4,4.4,13.1,10.9,0.3,2.2,-8.8,-1.4,2.5,-6.4,19.5,19.5,17.9,8.5,1.9,7.6,7.5,3.4,2.4,2,3.5,13.7,7.5,2.5,-3.5,-9.4,0.4,0.2,3.5,9.3,12.4,9,5.4,2.9,-0.2,4.1,-0.1,7.5,0.5,-1,1.4,-5.5,-10.2,0.6,9.9,9.6,10.4,12.6,-4,2.8,10.1,-0.6,-0.5,-3,0.4,7.4,6.9,10.6,5,4.5,4.1,4.8,3.2,6.2,5.6,3.4,7.1,6.2,5.8,3.7,9.7,5.2,5.7,9.5,9.4,2.2,2.4,3.3,1.9,1.7,4.1,3.9,6.3,6.4,5.3,2.1,3.6,2.5,2.7,-1.4
"25","16","  Net domestic purchases","W367RL1",NA,-0.2,-0.7,13.1,10.8,11.4,2.8,1,-9.5,-1.7,6.6,-0.9,20.2,14.9,22.1,7,4.9,4.7,6.7,0.2,5.1,2.8,5.4,16.5,7.6,3.7,-3.9,-7.6,-3,-1,4.1,7.8,13.3,8.5,4.7,2.8,-2.5,1.7,-1.5,5.1,2.4,-0.8,4.2,-4.6,-9.9,3.1,10,11.8,7.6,11.5,-1.7,1.4,8.3,-3.4,0.7,-7.3,2.7,8.9,8.7,8.8,8.6,2.7,5.4,1.8,3.5,3.3,10.5,1.5,8.2,4.9,6.4,0.8,13.1,3.7,10.4,9.7,11.9,0.6,4.6,2.6,3.3,-0.3,4.1,3.4,9.5,7,2.6,1.4,7.2,0.2,2.5,-3.7
"26","17","  Gross national product, current dollars","A001RP1",NA,5.5,6.4,17.4,9.5,10.6,10,1.6,-7.4,-5.3,2.2,-3.5,16.1,14.3,27.1,16.1,21.4,10.4,8.9,5.7,3.9,1.4,7.5,14.9,7.7,4.1,-0.8,-5.1,-0.4,0.8,5.2,9.5,14.1,8.4,8.5,6.6,2.8,5.8,4.8,8.1,8.7,2.2,6.3,-4.3,-5.9,3.9,12.1,11.7,8.8,10.7,0.9,3.3,10.9,-0.4,2.6,-3.4,3.8,8.5,8,9.8,9.6,5.3,4.7,2.8,6.2,5.9,8.6,6.3,10.5,5.7,7.3,3.1,12.8,7.6,9.8,12.4,13.2,5,6.8,7.1,5.4,2.3,7.8,7.8,13.3,11.5,7.1,7.6,10.8,6.4,8.3,3.4
"27","18","  Gross domestic income, current dollars","PA0000111",NA,5.5,7.5,14.4,14.8,13.5,7.9,3.3,-9.6,-5,0.3,-5.3,16.3,19.1,26.5,16.2,17.6,10.1,7.5,8.4,2.5,2.9,8.5,14.1,7.5,3.6,-0.9,-7.1,2.2,1.1,4.2,9.9,13.6,10.2,8.3,7.2,4.5,6.7,5.5,8.8,6.6,2.5,4.3,-4,-4.3,2.3,11.8,10.8,10.7,12,-1.7,4.4,11,0.9,1.4,-1,1.8,8,7.7,11.2,7.1,5.2,5,5.6,5.3,6.7,6,6.9,8.2,7,7.5,5.8,11.4,7.2,7.4,12.1,11.9,6.1,6.8,7.1,4.1,4.3,8.3,8.8,11,10.8,9.5,8.4,8.2,8.1,8.9,4.5
"28","19","  Average of GDP and GDI, current dollars \5\","PA0000091",NA,5.4,6.9,15.9,12,12,9,2.5,-8.4,-5.1,1.3,-4.3,16.1,16.6,26.7,16.2,19.6,10,8.1,7,3.3,2.1,8,14.6,7.6,3.8,-0.7,-6.1,0.8,1,4.7,9.6,13.8,9.3,8.4,6.9,3.5,6.2,5.1,8.7,7.4,2.2,5.4,-3.9,-5.2,3.1,12,11.3,9.7,11.3,-0.5,3.8,11,0.2,1.9,-2.3,2.7,8.3,7.8,10.5,8.4,5.1,4.9,4,5.8,6.3,7.3,6.6,9.3,6.4,7.4,4.5,12,7.3,8.8,12.4,12.5,5.6,6.9,7.1,4.8,3.3,7.9,8.3,12.1,11.2,8.3,8,9.5,7.4,8.7,4
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","5. The arithmetic average of gross domestic product and of gross domestic income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
