"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"41","34","      Net interest","B1657C1",0.7,0.8,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3.1,3.4,3.7,4,4.3,4.6,4.9,5.3
"42","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.6,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.1,3.3
"43","36","    Government enterprises","W474RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.4,6.6,7,7.9,8.4,9,9.3,9.7,11.1,11.9
"44","37","      Compensation of employees","A1658C1",2.5,2.8,2.9,3.3,3.9,3.9,4,4.2,4.4,4.7,5.1,5.4,5.9,6.2,6.6,7.1,7.7,8.3,9,9.6,10.8,11.9
"45","38","        Wages and salaries","B1659C1",2.2,2.5,2.6,2.9,3.4,3.4,3.5,3.7,3.8,4,4.4,4.7,5.1,5.3,5.7,6.1,6.5,7.1,7.7,8.2,9.3,10.2
"46","39","        Supplements to wages and salaries","B1660C1",0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.3,1.5,1.8
"47","40","      Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.3,0.4,0.8,0.8,0.7,0.3,0.2,0.3,0
"48","41","Households and institutions","W503RC1",11.5,12.6,14,15.7,17.5,19.7,21.6,23.8,25.8,28.1,30.8,33.6,37.1,39.6,43,45.9,48.8,52.3,56.5,61,65.7,72.4
"49","42","  Households","W504RC1",8,8.8,10,11.2,12.6,14.4,15.8,17.5,19,20.6,22.4,24.4,26.6,28.5,30.7,32.5,34.3,36.3,38.4,40.8,42.9,46
"50","43","    Compensation of employees","W151RC1",2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4
"51","44","      Wages and salaries","B1661C1",2.4,2.4,2.6,2.6,2.6,2.7,2.6,3,3.2,3.3,3.5,3.5,3.8,3.7,3.8,3.8,3.9,3.9,4,4.1,4.3,4.4
"52","45","      Supplements to wages and salaries","B1662C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"53","46","    Rental income of persons with CCAdj","B1156C1",3,3.4,4,4.6,5.6,6.7,7.6,8,8.2,8.6,9.2,10.1,11,11.7,12.5,12.9,13.1,13.4,13.9,14.4,14.1,14.4
"54","47","    Net interest","A2015C1",1.3,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.9,4.6,5.2,5.9,6.6,7.2,8.1,8.8,9.8,10.7,11.5,12.2,13.1,14.5
"55","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1",1.4,1.6,1.8,2,2.2,2.5,2.7,3.1,3.6,4,4.5,4.8,5.3,5.8,6.3,6.9,7.6,8.3,9,10,11.3,12.7
"56","49","  Nonprofit institutions serving households","W505RC1",3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18.1,20.2,22.8,26.3
"57","50","    Compensation of employees","W152RC1",3.2,3.6,3.9,4.3,4.6,5.1,5.5,6.1,6.6,7.3,8,8.9,10.1,10.7,11.8,12.8,14,15.3,17.2,19.2,21.7,25
"58","51","      Wages and salaries","W481RC1",3.2,3.5,3.8,4.1,4.5,5,5.4,5.9,6.4,7,7.7,8.4,9.6,10.2,11.2,12.1,13.1,14.4,16.1,17.9,20.3,23.3
"59","52","      Supplements to wages and salaries","W482RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.7
"60","53","    Rental income of persons","W159RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","54","    Net interest","B1131C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6
"62","55","    Taxes on production and imports","B1320C1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7
"63","56","General government","A194RC1",20.3,22.5,24.1,31.9,36.3,37.3,37.8,39.5,41.9,44.7,48,49.8,53.1,56.9,60.7,64.7,70,75.5,85.3,94.5,105.9,116.1
"64","57","  Compensation of employees","A194RC1",20.3,22.5,24.1,31.9,36.3,37.3,37.8,39.5,41.9,44.7,48,49.8,53.1,56.9,60.7,64.7,70,75.5,85.3,94.5,105.9,116.1
"65","58","    Wages and salaries","B1663C1",16.8,18.3,20,26.3,30,30.9,31.4,32.9,35,37,39.7,41.4,44.1,47.2,50.7,53.9,58.4,62.9,70.7,78.3,87.4,95.4
"66","59","    Supplements to wages and salaries","B1664C1",3.5,4.1,4.1,5.6,6.3,6.4,6.4,6.6,6.9,7.7,8.2,8.4,8.9,9.7,10,10.8,11.6,12.6,14.6,16.2,18.5,20.6
"67","60","Rest of the world","A192RC1",1.5,1.3,1.4,1.9,2,1.9,2.1,2.4,2.8,3.1,2.6,2.8,3.1,3.5,4.1,4.5,4.9,5.3,5.1,5.4,6.1,6.1
"68","61","  Compensation of employees","A4187C1",0.1,0.1,0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0
"69","62","  Corporate profits","B394RC1",1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6
"70","63","  Net interest","A1627C1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,0.2,0.1,0.1,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.4,-0.5
"71",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","64","    Corporate profits with IVA and CCAdj","A445RC1",30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8
"74","65","      Profits before tax (without IVA and CCAdj)","E561RC1",35.2,28.9,42.5,43.6,39.4,41.4,38.8,49.1,49.8,48.1,42.5,53.2,50.7,50.6,55.4,60.3,67,78.4,85.9,82.8,92.3,90.1
"75","66","      Inventory valuation adjustment","B058RC1",-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"76","67","      Capital consumption adjustment","A059RC1",-3,-2.8,-2.8,-3,-2.6,-1.9,-1,0.5,-0.3,-0.5,-0.9,-0.2,1,1.8,4.8,6,6.8,7.4,7.8,7.8,7.5,7.6
"77",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","68","    Proprietors' income with IVA and CCAdj","A1645C1",39.3,34.7,37.5,42.6,43.1,42.1,42.3,44.3,45.9,47.8,50.2,50,50.2,52.8,54.8,56,58.7,63.2,67.5,69,73.4,76.6
"79","69","      Farm proprietors' income with IVA and CCAdj","B042RC1",16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8
"80","70","        Proprietors' income with IVA","A043RC1",17.1,12.4,13.3,15.8,14.9,12.7,12.2,11.2,11.1,11.1,13,10.7,11.2,11.8,11.7,11.5,10.3,12.5,13.6,12.3,12.3,13.6
"81","71","        Capital consumption adjustment","B044RC1",-0.4,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8
"82","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1",22.6,22.7,24.7,27.3,28.8,29.9,30.5,33.6,35.3,37.3,37.8,40,39.6,41.6,43.6,44.9,48.9,51.2,54.4,57.4,61.7,63.7
"83","73","        Proprietor's income (without IVA and CCAdj)","A1647C1",23.3,22.3,25.8,27.8,28.6,30,30.5,33.8,35.6,37.5,37.9,40.1,39.7,41.8,43.7,45,48.9,51.6,55.1,58,62.5,64.5
"84","74","        Inventory valuation adjustment","B179RC1",-0.4,0.5,-1.1,-0.3,0.2,-0.2,0,-0.2,-0.5,-0.3,-0.1,0,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5
"85","75","        Capital consumption adjustment","A2205C1",-0.3,-0.1,0,-0.2,-0.1,0,0.1,0,0.1,0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0,0,-0.2,-0.4,-0.5,-0.4,-0.3
"86",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","76","    Proprietors' income with IVA and CCAdj","A1654C1",0,0,0,0,0,0,0,0,0,-0.1,-0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4
"88","77","      Proprietors' income with IVA","B1207C1",0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"89","78","      Capital consumption adjustment","B1411C1",0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,-0.1,-0.1
"90","79","    Rental income of persons with CCAdj","W155RC1",4.5,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.5,5.6,5.8,5.8,5.9,6,5.9,6,6
"91","80","      Rental income of persons (without CCAdj)","W488RC1",5,4.9,5.3,5.7,5.8,5.9,6,6,6.1,6,6.2,6.1,6,6.1,6.1,6.3,6.3,6.5,6.6,6.6,6.8,6.9
"92","81","      Capital consumption adjustment","B050RC1",-0.6,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8,-1
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available separately,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","but is included in line 17, taxes on production and imports less subsidies plus business current transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
