"","Table 1#1#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","2","Personal consumption expenditures","A002RY2",-3.99,-2.35,-7.02,-1.79,5.71,4.81,7.74,2.75,-1.18,4.15,3.8,5.03,-1.48,1.59,1.49,3.08,6.36,1.2,1.47,1.79,4.28,1.05,1.95,2.91,1.25,4.57,1.79,1.53,0.5,3.55,1.73,1.3,3.11,2.56,3.71,3.91,3.5,1.81,3.5,2.27,1.42,2.38,3.8,3.05,-0.47,1.42,3.48,2.68,2.76,1.52,-0.17,0.9,0.87,3.65,3.44,3.31,2.62,2.17,2.66,1.86,1.34,0.11,2.18,2.23,2.52,1.81,2.31,2.54,3.36,3.44,3.17,1.74,1.9,1.94,2.56,2.24,2.15,2.02
"12","3","  Durable goods","A003RY2",-1.56,-1.14,-1.8,-0.12,0.95,1.4,1.59,0.41,-1.41,1.24,1.11,1.24,-3.08,-0.54,-0.3,0.4,3.07,1.37,0.55,0.7,2.06,-0.93,-0.24,1,-0.03,1.84,-0.38,0.08,-0.7,0.97,0.17,-0.31,0.89,0.77,0.77,1.07,0.73,0.13,0.93,0.31,-0.28,0.81,1.07,0.9,-0.61,0,1.04,0.8,0.47,-0.03,-0.65,0.09,0,1.07,1.15,0.83,0.83,0.16,0.53,0.19,-0.02,-0.46,0.44,0.59,0.66,0.36,0.64,0.7,0.93,0.99,0.63,0.37,0.61,0.5,0.53,0.4,0.31,0.36
"13","4","  Nondurable goods","A004RY2",-1.7,-0.18,-3.04,-0.58,3.45,2.44,4.69,1.41,0.53,2.03,1.7,2.49,0.6,1.07,1.19,2.12,1.72,-1.02,0.13,0.55,1.11,0.89,1.28,1,0.39,1.51,1.02,0.55,0.29,1.25,0.44,0.53,0.9,0.59,1.33,1.43,1.46,0.42,1.19,0.69,0.61,0.47,1.11,0.82,-0.51,0.37,1.24,0.6,0.91,0.65,-0.04,0.29,0.23,0.8,0.93,0.61,0.78,0.52,0.7,0.59,0.33,-0.05,0.43,0.56,0.71,0.44,0.51,0.53,0.78,0.89,0.74,0.4,0.5,0.64,0.71,0.72,0.74,0.48
"14","5","  Services","A005RY2",-0.74,-1.03,-2.19,-1.09,1.31,0.97,1.46,0.94,-0.3,0.87,0.99,1.3,1,1.06,0.6,0.56,1.57,0.85,0.79,0.54,1.11,1.09,0.91,0.91,0.89,1.22,1.15,0.9,0.9,1.33,1.12,1.08,1.31,1.2,1.61,1.42,1.31,1.26,1.38,1.28,1.08,1.09,1.61,1.33,0.65,1.05,1.19,1.27,1.38,0.9,0.52,0.51,0.65,1.79,1.36,1.87,1.01,1.5,1.43,1.07,1.03,0.62,1.31,1.09,1.14,1.01,1.15,1.31,1.66,1.56,1.8,0.97,0.79,0.8,1.32,1.12,1.11,1.18
"15","6","Gross private domestic investment","A006RY2",-5.23,-4.32,-5.34,1.15,2.78,4.51,2.53,2.58,-4.24,2.43,4.01,2.93,-6.54,-2.59,0.75,1.16,7.46,-0.57,4,-4.22,5.74,0.05,-1.65,0.7,-0.69,3.45,-0.23,-0.71,-1.25,2.8,0,-0.1,1.81,1,1.25,2.16,1.44,-0.76,0.9,0.9,-1.04,1.67,1.87,1.96,-1.3,-2.98,2.84,2.43,2.16,0.61,-2.12,1.59,-2.55,1.45,4.63,-0.17,-0.12,0.51,0.39,0.64,-0.53,-1.2,1.07,1.21,1.93,0.48,1.35,1.95,1.63,1.33,0.99,-1.39,-0.41,0.54,1.48,0.91,0.45,-0.82
"16","7","  Fixed investment","A007RY2",-3.37,-3.75,-3.85,-0.72,1.63,1.9,2.52,1.58,-2.21,1.78,2.01,1.58,-4.76,-1.19,0.79,1.47,4.62,2.37,1.49,-1.37,2.9,-0.7,-0.28,0.98,0.22,1.91,0.06,-0.17,-1.07,1.94,0.13,-0.04,1.24,1.08,1.37,1.5,0.87,-0.28,1,0.9,-0.31,1.1,1.81,1.46,-1.04,-1.71,1.42,2.18,2.04,1.02,-1.21,0.39,-1.22,1.17,2.68,0.89,0.2,0.09,0.52,0.47,-0.32,-0.94,0.79,1.14,1.3,0.94,1.34,1.42,1.6,1.36,1.09,-0.5,-0.84,0.51,1.1,1.09,0.39,-0.48
"17","8","    Nonresidential","A008RY2",-1.86,-3.33,-2.79,-0.48,1.21,1.34,2.04,1.39,-2.22,0.74,1.59,1.36,-3.18,-0.63,0.9,1.36,2.24,1.31,0.51,-0.93,0.86,0.44,-0.18,0.8,-0.2,1.01,0.55,0.16,-1.12,0.73,0.52,-0.06,0.78,0.5,1.07,1.65,1.29,-0.15,0.46,0.78,-0.06,0,0.92,1.5,0.09,-1.14,0.52,1.19,1.69,1.23,-0.04,0.74,-0.51,-0.16,2.05,0.82,-0.36,-0.01,0.57,0.61,0.05,-0.57,0.32,0.83,0.91,1.08,1.01,1.33,1.28,1.09,1.06,-0.52,-1.06,0.1,0.56,0.7,0.68,0.49
"18","9","      Structures","A009RY2",-0.76,-1.76,-1.31,-0.53,0.24,0.21,0.61,0.63,-0.59,0.14,0.33,0.47,-0.99,-0.38,0.28,0.38,1.43,-0.32,0.18,-0.12,0.25,0.26,-0.01,0.3,0.12,0.26,0.39,0,-0.22,0.09,0.28,0.05,0.16,0.04,0.36,0.57,0.27,-0.1,0.06,0.2,0.01,-0.06,0.12,0.31,-0.09,-0.43,0.09,0.15,0.54,0.52,0.27,0.4,-0.09,-0.57,0.6,0.32,-0.5,-0.11,0.02,0.07,0.05,-0.39,-0.18,-0.02,0.05,0.17,0.16,0.21,0.16,-0.01,0.21,-0.07,-0.55,-0.11,0.03,0.01,0.24,0.4
"19","10","      Equipment and software","A010RY2",-1.1,-1.57,-1.48,0.06,0.97,1.14,1.43,0.76,-1.62,0.61,1.26,0.88,-2.2,-0.25,0.62,0.98,0.8,1.63,0.33,-0.81,0.62,0.18,-0.17,0.5,-0.32,0.75,0.16,0.16,-0.9,0.64,0.24,-0.11,0.61,0.46,0.71,1.07,1.02,-0.05,0.41,0.58,-0.07,0.07,0.81,1.19,0.18,-0.7,0.43,1.04,1.15,0.71,-0.3,0.34,-0.42,0.41,1.44,0.5,0.15,0.1,0.55,0.54,0,-0.18,0.5,0.85,0.87,0.91,0.85,1.12,1.12,1.11,0.85,-0.44,-0.51,0.21,0.53,0.69,0.44,0.1
"20","11","    Residential","A011RY2",-1.51,-0.42,-1.06,-0.24,0.41,0.56,0.48,0.19,0.01,1.04,0.43,0.22,-1.58,-0.56,-0.1,0.11,2.39,1.06,0.98,-0.44,2.03,-1.14,-0.1,0.18,0.42,0.9,-0.49,-0.32,0.05,1.21,-0.39,0.01,0.46,0.58,0.3,-0.15,-0.43,-0.13,0.53,0.13,-0.26,1.1,0.89,-0.04,-1.13,-0.57,0.9,0.99,0.35,-0.21,-1.17,-0.35,-0.71,1.33,0.64,0.07,0.55,0.1,-0.05,-0.14,-0.37,-0.37,0.47,0.31,0.39,-0.14,0.33,0.08,0.32,0.27,0.03,0.02,0.22,0.41,0.53,0.39,-0.29,-0.98
"21","12","  Change in private inventories","A014RY2",-1.86,-0.57,-1.49,1.87,1.16,2.61,0.01,1,-2.04,0.66,2,1.36,-1.78,-1.39,-0.05,-0.3,2.84,-2.93,2.5,-2.85,2.84,0.75,-1.37,-0.28,-0.91,1.54,-0.29,-0.54,-0.18,0.86,-0.13,-0.05,0.57,-0.08,-0.13,0.66,0.58,-0.49,-0.1,0,-0.73,0.58,0.06,0.5,-0.27,-1.27,1.41,0.25,0.12,-0.41,-0.91,1.2,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.29,0.07,0.63,-0.46,0.02,0.54,0.03,-0.03,-0.1,-0.88,0.43,0.04,0.39,-0.18,0.06,-0.33
"22","13","Net exports of goods and services","A019RY2",-0.31,-0.22,-0.2,-0.11,0.33,-0.84,0.24,0.46,0.89,0.07,0.53,-0.65,-1.21,-1.18,0.01,0.68,3.82,1.08,-2.18,0.08,-1.31,0.81,-0.59,-0.7,0.4,-0.04,0.37,0.25,-0.89,0,0.72,0.06,-0.21,0.24,0.36,-0.3,-0.29,-0.22,-0.3,-0.04,0.34,-0.19,-0.21,0.82,0.75,0.89,-1.08,-0.72,0.05,0.66,1.68,-0.15,-0.6,-1.35,-1.58,-0.42,-0.3,0.17,0.82,0.52,0.43,0.69,-0.04,-0.59,-0.43,0.11,-0.14,-0.34,-1.16,-0.99,-0.86,-0.2,-0.69,-0.44,-0.68,-0.23,-0.08,0.59
"23","14","  Exports","A020RY2",-0.97,-0.77,-0.81,0.02,0.41,0.21,0.19,0.95,-0.05,0.25,0.62,0.12,-1.54,-0.43,0.16,0.88,3.25,0.91,-1.63,-0.05,-0.66,0.98,-0.22,-0.31,0.19,0.44,0.7,0.43,-0.69,0.45,0.78,0.03,0.25,0.35,0.59,0.15,0.36,0.12,0.41,0.25,0.56,0.1,0.42,1.12,0.58,-0.05,0.37,0.2,0.82,0.82,0.97,0.12,-0.73,-0.22,0.63,0.23,0.54,0.78,1.24,0.99,0.81,0.63,0.68,0.32,0.85,1.04,0.91,1.3,0.27,0.47,0.93,-0.6,-0.23,0.12,0.93,0.7,0.88,0.91
"24","15","    Goods","A253RY2",-0.89,-0.69,-0.72,-0.01,0.33,0.17,0.17,0.8,0.06,0.21,0.56,0.1,-1.45,-0.47,0.11,0.8,2.86,0.82,-1.5,-0.03,-0.61,0.79,-0.21,-0.25,0.18,0.36,0.6,0.32,-0.63,-0.02,0.76,0.02,0.17,0.29,0.52,0.02,0.27,0.02,0.3,0.2,0.44,-0.02,0.43,1.01,0.46,-0.16,0.31,0.08,0.68,0.77,0.86,-0.09,-0.67,-0.19,0.46,0.2,0.26,0.56,1.04,0.75,0.56,0.46,0.52,0.23,0.67,0.85,0.68,1.11,0.18,0.29,0.84,-0.48,-0.28,0.12,0.6,0.53,0.73,0.62
"25","16","    Services","A646RY2",-0.08,-0.08,-0.09,0.03,0.08,0.05,0.02,0.14,-0.1,0.04,0.06,0.02,-0.09,0.03,0.04,0.07,0.38,0.09,-0.13,-0.02,-0.05,0.19,0,-0.05,0.01,0.09,0.1,0.11,-0.06,0.48,0.02,0.01,0.08,0.06,0.07,0.13,0.09,0.1,0.1,0.05,0.12,0.11,-0.01,0.11,0.12,0.1,0.05,0.11,0.15,0.06,0.11,0.21,-0.06,-0.03,0.17,0.02,0.28,0.21,0.2,0.24,0.26,0.16,0.16,0.09,0.18,0.19,0.22,0.19,0.09,0.18,0.09,-0.12,0.06,0,0.33,0.17,0.16,0.28
"26","17","  Imports","A021RY2",0.66,0.55,0.62,-0.14,-0.08,-1.05,0.05,-0.49,0.94,-0.17,-0.08,-0.77,0.33,-0.75,-0.15,-0.2,0.57,0.17,-0.55,0.13,-0.65,-0.17,-0.37,-0.39,0.21,-0.48,-0.33,-0.18,-0.2,-0.45,-0.06,0.03,-0.47,-0.12,-0.23,-0.45,-0.65,-0.34,-0.7,-0.29,-0.22,-0.29,-0.63,-0.29,0.18,0.94,-1.45,-0.92,-0.78,-0.16,0.71,-0.27,0.12,-1.13,-2.21,-0.65,-0.84,-0.61,-0.42,-0.47,-0.39,0.06,-0.72,-0.91,-1.29,-0.93,-1.05,-1.64,-1.43,-1.46,-1.79,0.4,-0.46,-0.56,-1.61,-0.92,-0.96,-0.32
"27","18","    Goods","A255RY2",0.63,0.4,0.5,-0.28,-0.06,-1,0.13,-0.37,0.79,-0.23,-0.13,-0.48,0.85,-0.27,-0.07,0.01,-0.27,0.1,-0.36,0.11,-0.59,0.07,-0.06,-0.17,0.22,-0.31,-0.25,-0.08,-0.08,-0.48,0.05,0,-0.4,-0.12,-0.19,-0.41,-0.49,-0.17,-0.68,-0.2,-0.15,-0.33,-0.57,-0.34,0.17,0.87,-1.35,-0.84,-0.67,-0.14,0.67,-0.18,0.2,-1,-1.83,-0.52,-0.82,-0.39,-0.36,-0.38,-0.26,0.01,-0.77,-0.85,-1.18,-0.87,-0.94,-1.45,-1.2,-1.31,-1.55,0.39,-0.41,-0.56,-1.33,-0.86,-0.83,-0.22
"28","19","    Services","A656RY2",0.03,0.15,0.12,0.15,-0.01,-0.05,-0.08,-0.12,0.15,0.06,0.05,-0.29,-0.52,-0.48,-0.08,-0.2,0.84,0.07,-0.19,0.02,-0.06,-0.23,-0.31,-0.22,-0.01,-0.17,-0.09,-0.1,-0.12,0.03,-0.11,0.02,-0.07,0,-0.04,-0.04,-0.16,-0.16,-0.03,-0.09,-0.07,0.04,-0.06,0.05,0,0.07,-0.1,-0.07,-0.11,-0.02,0.04,-0.09,-0.08,-0.13,-0.39,-0.13,-0.02,-0.22,-0.07,-0.1,-0.13,0.05,0.05,-0.06,-0.11,-0.06,-0.11,-0.19,-0.23,-0.15,-0.25,0.01,-0.05,0,-0.27,-0.06,-0.13,-0.09
"29","20","Government consumption expenditures and gross investment","A822RY2",0.93,0.47,-0.44,-0.53,1.98,0.43,2.5,-0.66,1.09,1.41,0.45,9.81,27.75,18.59,5.87,-6.04,-28.67,-2.65,1.08,1.83,0.02,5.84,4.11,1.67,-1.64,-0.84,0.01,0.93,0.69,0.76,0.03,1.07,1.36,0.58,0.49,0.65,1.87,1.68,0.73,-0.06,-0.55,-0.5,-0.16,-0.08,0.52,0.48,0.1,0.23,0.6,0.37,0.38,0.19,0.35,0.77,0.7,1.41,1.27,0.52,0.27,0.52,0.64,0.23,0.11,-0.18,0,0.1,0.18,0.34,0.34,0.67,0.36,0.6,0.8,0.47,0.27,0.14,0.35,0.39
"30","21","  Federal","A823RY2",0.18,0.07,0.06,0.75,1.39,0.09,2.44,-0.66,0.59,0.48,0.76,10.34,28.38,19.07,6.02,-6.17,-29.06,-3.32,0.71,0.9,-0.56,5.78,4,1.33,-2.25,-1.39,-0.24,0.46,-0.01,0.42,-0.35,0.51,1.07,0.01,-0.17,0,1.24,1.17,0.1,-0.42,-0.86,-0.85,-0.42,-0.41,0.08,0.03,0,0.19,0.22,0.2,0.39,0.42,0.35,0.63,0.3,0.74,0.55,0.36,-0.15,0.14,0.18,-0.02,-0.15,-0.35,-0.3,-0.2,-0.08,-0.07,-0.07,0.14,0.05,0.23,0.43,0.44,0.29,0.11,0.15,0.12
"31","22","    National defense","A824RY2",0.06,0.01,0,-0.05,-0.18,0.28,0.27,0.01,0.06,0.16,1.17,10.77,28.94,19.46,5.87,-5.9,-29.49,-3.61,0.06,0.35,-0.1,6.11,3.79,0.93,-2.14,-1.27,-0.09,0.48,-0.06,-0.23,-0.17,0.45,0.63,-0.25,-0.4,-0.19,1.21,1.19,0.16,-0.49,-0.83,-0.97,-0.61,-0.39,-0.05,-0.06,-0.02,0.07,0.05,0.17,0.25,0.38,0.48,0.5,0.35,0.6,0.47,0.35,-0.03,-0.03,0,-0.07,-0.32,-0.33,-0.27,-0.19,-0.07,-0.13,-0.09,0.08,-0.02,0.15,0.29,0.37,0.27,0.07,0.09,0.13
"32","23","    Nondefense","A825RY2",0.11,0.07,0.05,0.8,1.57,-0.19,2.17,-0.67,0.53,0.32,-0.41,-0.42,-0.56,-0.39,0.16,-0.27,0.43,0.29,0.65,0.55,-0.47,-0.33,0.21,0.4,-0.11,-0.12,-0.15,-0.01,0.05,0.65,-0.18,0.06,0.44,0.26,0.23,0.19,0.03,-0.02,-0.06,0.06,-0.03,0.12,0.18,-0.02,0.13,0.09,0.03,0.12,0.16,0.03,0.14,0.04,-0.13,0.13,-0.05,0.14,0.08,0.01,-0.12,0.17,0.18,0.06,0.17,-0.02,-0.03,-0.01,-0.02,0.06,0.02,0.06,0.07,0.08,0.14,0.08,0.03,0.03,0.06,-0.01
"33","24","  State and local","A829RY2",0.75,0.4,-0.49,-1.28,0.58,0.35,0.06,0,0.5,0.93,-0.31,-0.54,-0.63,-0.49,-0.15,0.13,0.39,0.68,0.37,0.93,0.58,0.06,0.11,0.34,0.6,0.55,0.25,0.47,0.7,0.34,0.39,0.56,0.29,0.57,0.65,0.66,0.63,0.51,0.63,0.37,0.31,0.36,0.26,0.33,0.44,0.45,0.09,0.04,0.38,0.17,-0.01,-0.23,0.01,0.13,0.4,0.67,0.71,0.17,0.42,0.39,0.46,0.24,0.26,0.17,0.3,0.3,0.26,0.41,0.41,0.54,0.31,0.37,0.37,0.02,-0.02,0.04,0.19,0.27
