"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"14","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.5,842.4,841.9,845.1,848.4,846.1,845.6,846.5,841.1,842,842.9,845.7,850.1,852.7,851,854,854.6,855.1,859.8,861.9,871.6,874.6,868.5,874.6,878.6,879.3,887.9,893.4,895.8,902.2,905.1,912.1,918.3,916.6,919.3,920.8,920.3,922.4,931.7,930.1,932.6,945.4,943.3,945.3,945.6,950.3,956.8,967.5,973,974.7,981.3,974.9,986.5,983.7,983.9,989.7,996.1,1004.2,1006.3,1014.9,1018.2,1027,1026,1032.2,1042.9,1031.9,1031.3,1036.9,1042,1045.3,1053.2,1054.7,1054.8,1057.4,1056.4
"15","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2246.3,2250.1,2255.8,2259.9,2258.7,2270.1,2256.8,2265.2,2269.1,2267.8,2266.5,2267.2,2266,2277.9,2289.4,2307.4,2330.6,2341.8,2357.1,2367.5,2375,2383.7,2404.4,2404.3,2421.1,2437.3,2443.2,2456.1,2483.6,2488.8,2513.3,2528.3,2548.5,2568.6,2569.1,2585,2586.2,2590.2,2597.6,2612.2,2614.9,2630.3,2667.5,2672.6,2695,2701.3,2711.1,2735.7,2793.3,2813.2,2817.9,2812.4,2787.9,2822.9,2831.4,2837.2,2865.1,2899.2,2919.3,2948.1,2982.3,3015.1,3044.2,3002.7,3008.8,3020.4,3043.2,3054.7,3079.1,3088.2,3107.5,3124.2,3145.2,3162.4,3182.2,3176.4
"16","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,852.2,855.9,858.1,860.1,864.6,866.3,866.3,870.1,871.4,873.6,875.1,877.4,889.8,894.5,897.2,899.7,903.5,910.2,907.2,907.5,906.5,910.1,912,914.7,927.4,930.9,936.4,944.2,940.8,941.8,944.2,946.7,948.2,950.9,952.6,953.2,968.6,971.4,973,975.4,977.2,979,981.8,983.8,986.7,988.3,991.3,994.5,1000.9,1004.9,1007.6,1010.5,1013.6,1017.4,1021.8,1026.9,1032.4,1035.1,1037.3,1039.4,1047.7,1052.1,1055.1,1059.2,1061.8,1064.7,1067.7,1073.7,1077.2,1080.9,1084.3,1088.9,1099.4,1104.4,1107.8,1111.5
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
