"","Table 6#6C# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"58","51","    Retail trade","B4451C0",14604,15141,15468,15962,16674,17387,17525,17967,18244,18776,19499,20605,21447,22267
"59","52","    Finance, insurance, and real estate","A4452C0",28096,29972,30690,31973,33337,36396,39011,39613,41894,44953,48188,52487,55401,60692
"60","53","      Depository institutions","B4453C0",22962,24582,25543,26534,27490,29405,30855,32392,34053,36011,38282,41481,43365,44489
"61","54","      Nondepository institutions","B4454C0",28604,30373,31341,32736,34317,37619,40928,38645,41174,43122,46386,52343,52009,55031
"62","55","      Security and commodity brokers","B4455C0",65170,68155,65001,67544,73875,88605,100923,91790,98194,111731,118898,129557,139579,161601
"63","56","      Insurance carriers","B4456C0",27476,29249,30605,32265,34145,36238,38325,39873,41944,44013,46419,49521,51421,54142
"64","57","      Insurance agents, brokers, and service","B4457C0",27119,29028,30148,31708,32487,34036,35029,36501,37876,39642,42009,43185,45390,48117
"65","58","      Real estate","B4458C0",22249,23873,24843,25109,24950,26060,26672,27474,28302,29783,31898,34687,36523,39141
"66","59","      Holding and other investment offices","B4459C0",39947,45284,46376,49982,50011,55917,59246,58719,65169,69247,76561,84383,89066,100403
"67","60","    Services","A4460C0",21013,22361,23217,24708,25598,26965,27472,27970,29056,30003,31245,32915,34421,36600
"68","61","      Hotels and other lodging places","B4461C0",14642,15388,16011,16897,17663,18582,19166,19548,20092,20749,21643,22693,23761,24870
"69","62","      Personal services","B4462C0",13553,14596,15155,15724,16233,16799,17061,17276,17933,18587,19829,20794,21506,22314
"70","63","      Business services","B4463C0",18868,19719,20728,21907,22831,23635,24267,24723,25969,27697,29649,32360,35237,38708
"71","64","      Auto repair, services, and parking","B4464C0",17691,18397,18882,19818,20374,21191,21457,21995,22511,23085,23821,24898,25687,26792
"72","65","      Miscellaneous repair services","B4465C0",21772,22770,23856,24653,25232,26496,26921,27160,28112,29129,30182,31613,32464,34176
"73","66","      Motion pictures","B4466C0",25988,26723,27156,30275,30753,31630,34384,34312,37014,37602,39654,40939,40769,43409
"74","67","      Amusement and recreation services","B4467C0",17220,18448,18587,20210,21081,22474,23575,23371,24408,25121,26156,27825,29146,30003
"75","68","      Health services","B4468C0",23911,25892,27070,28978,30355,31811,32042,32628,33939,34453,35381,36624,37600,39085
"76","69","      Legal services","B4469C0",37121,40202,41506,46146,47433,50160,50486,51483,53037,54826,57108,60236,62545,67563
"77","70","      Educational services","B4470C0",17360,18738,19693,20776,21762,22330,22993,23622,24327,25221,26085,27113,28107,29403
"78","71","      Social services and membership organizations","A4471C0",14814,15639,16166,16812,16748,18327,18913,19510,20108,20688,21358,22173,22996,23977
"79","72","        Social services","B4472C0",13000,13642,14370,15258,15973,16732,17056,17370,17914,18385,18922,19651,20236,21130
"80","73","        Membership organizations","B4473C0",16553,17546,17898,18327,17466,20066,20990,22016,22733,23479,24348,25306,26538,27722
"81","74","      Other services \3\","B4474C0",33603,34647,35915,38108,39802,42245,43099,43992,45702,47066,49055,51558,53955,57468
"82","75","      Private households","B4475C0",10331,11433,10592,11311,11093,11505,12273,13143,13848,14112,14060,15465,14372,15887
"83","76","  Government","A4476C0",24519,25582,26609,28181,29680,31039,32093,33142,33997,35004,36053,37281,38692,40501
"84","77","    Federal","A4477C0",26039,27394,28231,30009,32093,34294,36156,37558,38565,40122,41520,42721,44225,46646
"85","78","      General government","A4478C0",25305,26643,27517,29132,31291,33191,35189,36574,37699,39223,40608,41789,43485,45395
"86","79","        Civilian","B4479C0",28984,30504,31435,32602,34859,36570,39140,41330,42701,44672,46170,47588,49535,51479
"87","80","        Military \4\","B4480C0",22009,23072,23845,25729,27748,29611,30776,31199,31990,32951,34139,34980,36372,38045
"88","81","      Government enterprises","B4481C0",30034,31363,31985,34588,36258,39998,41151,42342,42556,44125,45521,46746,47354,52109
"89","82","    State and local","A4482C0",23841,24797,25925,27431,28716,29798,30634,31633,32505,33407,34416,35702,37122,38773
"90","83","      General government","A4483C0",23731,24658,25788,27319,28611,29614,30445,31512,32424,33309,34283,35547,36950,38577
"91","84","        Education","B4484C0",24291,24911,26022,27610,28987,29858,30676,31442,32209,33165,34072,35308,36578,37956
"92","85","        Other \1\","B4485C0",23154,24390,25539,27011,28214,29358,30200,31587,32660,33468,34522,35819,37380,39309
"93","86","      Government enterprises \1\","B4486C0",25379,26773,27882,29028,30217,32549,33455,33376,33654,34819,36369,38005,39691,41722
"94","87","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Reflects the reclassification of air couriers from trucking and warehousing to transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Consists of museums, botanical and zoological gardens; engineering and management services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
