"","Table 6#16D# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"45","26","        Chemical products","N403RC1","16,482.0","23,270.0","24,908.0","23,303.0","27,566.0","28,410.0","29,487.0","34,175.0","30,769.0","27,846.0","35,308.0","35,032.0","34,039.0","39,703.0","46,526.0","36,457.0","55,346.0","35,180.0","35,306.0","38,905.0","59,455.0","77,458.0","80,295.0","62,919.0","76,400.0","62,139.0","59,502.0","79,119.0","40,452.0","63,456.0","49,878.0","46,591.0","59,389.0","61,196.0","56,253.0","57,741.0","43,029.0","61,891.0","82,612.0","71,329.0","57,331.0","45,752.0","59,841.0","70,042.0","74,196.0","72,456.0","60,400.0","71,500.0","72,213.0","76,785.0","67,833.0","82,358.0","65,725.0","87,735.0","72,089.0","74,725.0","95,812.0","....."
"46","27","        Other nondurable goods \4\","N405RC1","7,121.0","7,157.0","9,181.0","2,764.0","13,163.0","10,634.0","8,199.0","13,600.0","7,247.0","4,284.0","8,620.0","13,826.0","16,879.0","14,640.0","18,315.0","14,273.0","17,590.0","20,374.0","21,258.0","20,445.0","21,540.0","28,288.0","26,475.0","32,281.0","27,590.0","22,131.0","22,869.0","20,482.0","10,400.0","4,869.0","-784.0","7,121.0","10,969.0","18,743.0","20,667.0","22,494.0","20,629.0","23,802.0","27,120.0","24,055.0","22,430.0","17,525.0","19,076.0","24,623.0","28,977.0","29,695.0","32,198.0","30,781.0","32,671.0","33,460.0","34,436.0","38,363.0","27,401.0","34,989.0","36,750.0","32,196.0","45,038.0","....."
"47","28","    Wholesale trade","N414RC1","38,723.0","41,667.0","52,581.0","71,483.0","63,052.0","61,639.0","48,139.0","50,427.0","48,193.0","55,721.0","66,282.0","67,016.0","70,926.0","79,274.0","82,980.0","65,577.0","93,656.0","109,103.0","86,943.0","94,968.0","101,455.0","100,396.0","112,676.0","108,964.0","110,847.0","113,114.0","106,948.0","81,790.0","61,455.0","68,115.0","93,892.0","138,849.0","107,807.0","82,403.0","80,580.0","86,525.0","99,305.0","118,163.0","114,691.0","77,385.0","71,666.0","89,802.0","109,460.0","106,667.0","124,335.0","142,680.0","133,123.0","140,875.0","151,207.0","147,654.0","144,569.0","138,639.0","125,705.0","134,471.0","170,116.0","160,543.0","169,050.0","....."
"48","29","    Retail trade","N415RC1","63,364.0","67,380.0","74,311.0","80,227.0","83,114.0","80,435.0","82,074.0","89,102.0","89,371.0","95,829.0","89,630.0","87,011.0","102,299.0","94,572.0","88,425.0","87,403.0","101,569.0","127,932.0","116,716.0","140,618.0","131,662.0","123,174.0","135,168.0","140,115.0","124,507.0","133,521.0","114,749.0","103,393.0","79,820.0","80,363.0","79,450.0","81,672.0","102,223.0","107,172.0","111,648.0","113,811.0","121,039.0","119,262.0","118,286.0","115,730.0","108,146.0","103,495.0","112,849.0","132,631.0","156,402.0","151,411.0","145,941.0","162,696.0","158,334.0","167,524.0","163,756.0","147,989.0","142,458.0","154,735.0","157,652.0","178,800.0","189,375.0","....."
"49","30","    Transportation and warehousing","N417RC1","680.0","2,543.0","1,625.0","-7,446.0","-5,456.0","-9,027.0","-7,504.0","-1,827.0","113.0","5,704.0","5,951.0","7,425.0","12,044.0","17,977.0","10,655.0","7,452.0","23,940.0","27,118.0","26,818.0","32,901.0","42,754.0","44,822.0","39,505.0","37,555.0","24,934.0","25,908.0","24,676.0","19,900.0","22,997.0","31,819.0","29,084.0","31,332.0","26,948.0","15,285.0","17,925.0","29,486.0","39,179.0","50,396.0","52,057.0","37,233.0","26,765.0","29,362.0","26,653.0","38,926.0","53,587.0","55,940.0","55,691.0","50,152.0","53,777.0","51,417.0","51,253.0","55,623.0","58,479.0","69,953.0","72,238.0","60,561.0","83,286.0","....."
"50","31","    Information","N502RC1","-21,201.0","-22,150.0","-26,885.0","-35,170.0","-15,797.0","-7,437.0","-1,155.0","11,991.0","6,866.0","15,045.0","25,312.0","17,823.0","23,643.0","54,576.0","72,344.0","60,270.0","84,048.0","94,909.0","89,188.0","96,947.0","92,584.0","109,207.0","117,994.0","108,048.0","106,574.0","105,032.0","104,180.0","117,818.0","108,913.0","125,418.0","96,537.0","37,852.0","65,829.0","73,943.0","82,176.0","102,966.0","93,890.0","94,851.0","101,444.0","90,261.0","84,064.0","89,474.0","82,343.0","79,440.0","99,751.0","101,496.0","101,329.0","99,684.0","121,428.0","131,094.0","125,432.0","139,767.0","130,950.0","131,120.0","123,168.0","120,906.0","142,861.0","....."
"51","32","    Other nonfinancial \5\","N420RC1","146,264.0","149,742.0","144,955.0","119,727.0","125,210.0","140,236.0","154,594.0","175,979.0","184,707.0","173,891.0","172,434.0","177,355.0","210,365.0","211,972.0","233,426.0","243,870.0","297,863.0","316,177.0","320,230.0","374,392.0","366,228.0","337,505.0","359,036.0","349,646.0","339,471.0","338,872.0","315,813.0","318,572.0","275,278.0","307,493.0","286,413.0","253,860.0","263,057.0","237,135.0","256,248.0","292,816.0","341,518.0","325,650.0","317,071.0","293,731.0","274,807.0","325,888.0","328,122.0","310,601.0","373,806.0","375,134.0","376,156.0","375,830.0","395,955.0","395,186.0","385,476.0","368,390.0","383,262.0","376,379.0","416,332.0","414,865.0","391,841.0","....."
"52","33","Rest of the world","B394RC1","160,744.0","171,684.0","147,273.0","201,898.0","159,537.0","146,771.0","157,466.0","171,254.0","150,231.0","160,057.0","164,308.0","191,914.0","213,205.0","197,241.0","215,228.0","194,454.0","234,110.0","233,038.0","252,507.0","236,655.0","246,333.0","254,695.0","250,329.0","273,299.0","286,610.0","322,772.0","376,080.0","428,071.0","418,096.0","418,736.0","439,544.0","350,412.0","354,652.0","327,009.0","376,673.0","370,426.0","397,674.0","394,585.0","384,647.0","403,817.0","406,807.0","408,717.0","434,304.0","437,804.0","421,253.0","404,236.0","411,182.0","404,686.0","391,473.0","411,361.0","426,467.0","429,854.0","414,483.0","408,644.0","427,097.0","422,677.0","393,640.0","390,765.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Consists of credit intermediation and related activities; securities, commodity contracts, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","financial investments and related activities; insurance carriers and related activities; funds, trusts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of wood products; nonmetallic mineral products; primary metals; other transportation equipment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Consists of textile mills and textile product mills; apparel; leather and allied products; paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real estate and rental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and leasing; professional, scientific, and technical services; administrative and waste management services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","educational services; health care and social assistance; arts, entertainment, and recreation; accommodation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","and food services; and other services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
