"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"32","13","  From the rest of the world \3\","W781RC1","192.0","212.0","220.0","228.0","232.0","228.0","236.0","240.0","296.0","332.0","340.0","344.0","380.0","368.0","372.0","376.0","516.0","544.0","552.0","556.0","576.0","564.0","560.0","576.0","588.0","592.0","584.0","584.0","628.0","624.0","644.0","660.0","716.0","752.0","772.0","796.0","856.0","872.0","864.0","868.0","932.0","904.0","932.0","948.0","992.0","1,000.0","1,024.0","1,044.0","1,168.0","1,176.0","1,168.0","1,160.0","1,200.0","1,192.0","1,188.0","1,188.0","1,256.0","1,252.0","1,256.0","1,256.0","1,328.0","1,324.0","1,336.0","1,356.0","1,420.0","1,416.0","1,416.0","1,448.0","1,464.0","1,444.0","1,448.0","1,452.0","1,464.0","1,496.0","1,544.0","1,596.0","1,648.0","1,676.0","1,688.0","1,684.0","1,684.0","1,688.0","1,664.0","1,788.0","1,884.0","1,964.0","2,004.0","2,016.0","2,024.0","2,040.0","2,064.0","2,072.0","2,104.0","2,132.0","2,128.0","2,184.0","2,144.0","2,184.0","2,248.0","2,308.0","2,360.0","2,448.0","2,552.0","2,588.0","2,672.0","2,700.0","2,716.0","2,724.0","2,764.0","2,760.0","2,760.0","2,868.0","2,948.0","2,988.0","3,044.0","3,076.0","3,064.0","3,088.0","3,108.0","3,148.0","3,192.0","3,256.0","3,368.0","3,356.0","3,448.0","3,504.0","3,592.0","3,668.0","3,744.0","3,776.0","3,740.0","3,732.0","3,772.0","3,748.0","3,740.0","3,740.0","3,820.0","3,860.0","3,948.0","4,048.0","4,204.0","4,332.0","4,436.0","4,572.0","4,564.0","4,632.0","4,752.0","4,696.0","4,628.0","4,552.0","4,544.0","4,612.0","4,628.0","4,772.0","4,728.0","4,788.0","4,884.0","4,760.0","4,772.0","4,884.0","4,920.0","4,956.0","4,960.0","4,996.0","4,896.0","4,948.0","4,948.0","4,908.0","4,444.0","4,421.0","4,422.0","4,355.0","4,484.0","4,551.0","4,621.0","4,787.0","5,289.0","5,221.0","5,107.0","5,008.0","5,066.0","5,077.0","5,107.0","5,149.0","5,185.0","5,209.0"
"33","14","Income receipts on assets","W009RC1","2,702.0","2,773.0","2,875.0","2,913.0","3,081.0","3,221.0","3,221.0","3,303.0","3,368.0","3,648.0","3,615.0","3,824.0","3,667.0","3,689.0","3,813.0","3,871.0","3,974.0","4,032.0","3,976.0","4,093.0","4,301.0","4,495.0","4,572.0","4,682.0","4,846.0","5,156.0","5,468.0","5,544.0","6,016.0","6,226.0","6,476.0","6,172.0","6,831.0","7,049.0","7,246.0","7,138.0","8,027.0","8,802.0","9,147.0","9,809.0","10,400.0","10,674.0","11,513.0","12,247.0","12,813.0","13,727.0","14,955.0","15,955.0","17,310.0","18,388.0","19,797.0","21,413.0","22,909.0","23,353.0","23,630.0","23,736.0","24,100.0","24,117.0","24,837.0","25,782.0","26,467.0","28,024.0","27,888.0","28,483.0","28,738.0","29,349.0","31,025.0","31,433.0","32,359.0","31,935.0","33,605.0","30,558.0","29,594.0","29,013.0","28,084.0","26,102.0","34,110.0","28,452.0","28,136.0","30,169.0","28,721.0","28,524.0","30,582.0","27,639.0","27,804.0","27,057.0","27,422.0","39,483.0","32,366.0","30,046.0","30,329.0","27,282.0","26,314.0","25,684.0","24,998.0","25,611.0","27,121.0","27,205.0","26,931.0","25,121.0","24,347.0","23,756.0","23,569.0","22,637.0","22,971.0","23,816.0","23,424.0","25,038.0","26,404.0","26,107.0","27,463.0","26,595.0","26,554.0","26,395.0","25,459.0","23,569.0","22,509.0","21,618.0","21,212.0","20,717.0","20,397.0","20,625.0","21,169.0","22,118.0","24,499.0","25,407.0","25,777.0","26,726.0","27,829.0","27,128.0","26,649.0","24,038.0","22,570.0","21,401.0","21,703.0","21,331.0","20,410.0","23,531.0","24,271.0","25,825.0","24,183.0","25,001.0","25,387.0","26,808.0","26,995.0","27,429.0","27,463.0","27,112.0","28,007.0","29,230.0","28,422.0","30,145.0","31,633.0","32,266.0","34,333.0","35,393.0","35,435.0","36,364.0","34,270.0","29,402.0","41,487.0","50,419.0","47,991.0","54,234.0","48,855.0","53,037.0","57,753.0","58,671.0","57,860.0","56,672.0","56,388.0","54,688.0","53,796.0","52,097.0","52,125.0","52,529.0","72,794.0","298,328.0","91,931.0","189,794.0","103,782.0","75,115.0","57,705.0","62,509.0","45,668.0","45,426.0"
"34","15","  Interest receipts \4\","B094RC1","2,384.0","2,456.0","2,548.0","2,572.0","2,720.0","2,840.0","2,812.0","2,864.0","2,888.0","3,144.0","3,100.0","3,300.0","3,160.0","3,184.0","3,308.0","3,348.0","3,416.0","3,416.0","3,288.0","3,340.0","3,480.0","3,632.0","3,672.0","3,756.0","3,904.0","4,200.0","4,484.0","4,536.0","4,980.0","5,164.0","5,396.0","5,080.0","5,636.0","5,788.0","5,924.0","5,768.0","6,612.0","7,328.0","7,596.0","8,164.0","8,632.0","8,740.0","9,372.0","9,860.0","10,172.0","10,820.0","11,776.0","12,488.0","13,472.0","14,172.0","15,200.0","16,432.0","17,704.0","18,116.0","18,544.0","18,984.0","19,664.0","19,848.0","20,576.0","21,372.0","21,704.0","23,100.0","22,876.0","23,464.0","23,816.0","24,616.0","26,564.0","27,312.0","28,732.0","28,600.0","30,480.0","27,556.0","26,476.0","25,924.0","25,028.0","23,092.0","31,108.0","25,648.0","25,404.0","27,416.0","25,892.0","25,596.0","27,540.0","24,492.0","24,524.0","23,632.0","23,852.0","35,764.0","28,568.0","26,232.0","26,568.0","23,628.0","22,820.0","22,252.0","21,568.0","22,132.0","23,512.0","23,508.0","23,144.0","21,184.0","20,416.0","19,968.0","20,060.0","19,640.0","20,136.0","21,092.0","20,264.0","21,880.0","22,540.0","22,176.0","23,060.0","22,360.0","21,976.0","21,956.0","20,800.0","19,160.0","18,056.0","17,560.0","16,856.0","16,740.0","16,764.0","16,868.0","17,000.0","17,640.0","19,440.0","20,052.0","18,928.0","18,836.0","18,772.0","18,064.0","17,816.0","17,424.0","15,900.0","14,952.0","15,104.0","15,144.0","14,664.0","16,412.0","17,044.0","17,816.0","16,176.0","16,336.0","16,892.0","17,100.0","17,348.0","17,544.0","17,192.0","17,280.0","17,240.0","17,932.0","19,024.0","20,848.0","21,744.0","22,472.0","22,360.0","21,724.0","20,608.0","19,620.0","19,820.0","18,100.0","20,600.0","22,124.0","23,184.0","25,164.0","27,200.0","28,904.0","30,788.0","31,276.0","29,808.0","28,860.0","26,992.0","25,096.0","22,692.0","20,609.0","20,805.0","21,121.0","22,410.0","22,900.0","23,063.0","22,930.0","22,874.0","23,147.0","23,429.0","24,345.0","25,368.0","26,278.0"
"35","16","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","72.0","168.0","212.0","240.0","260.0","272.0","256.0","256.0","256.0","252.0","220.0","220.0","220.0","220.0","212.0","212.0","208.0","1,680.0","12,684.0","20,960.0","19,032.0","22,304.0","14,944.0","16,284.0","18,608.0","18,292.0","18,660.0","18,148.0","18,868.0","19,452.0","20,980.0","21,176.0","21,156.0","21,080.0","41,572.0","266,732.0","59,472.0","157,364.0","71,068.0","41,396.0","22,972.0","27,484.0","11,352.0","10,468.0"
"36","17","  Rents and royalties \5\","B1040C1","318.0","317.0","327.0","341.0","361.0","381.0","409.0","439.0","480.0","504.0","515.0","524.0","507.0","505.0","505.0","523.0","558.0","616.0","688.0","753.0","821.0","863.0","900.0","926.0","942.0","956.0","984.0","1,008.0","1,036.0","1,062.0","1,080.0","1,092.0","1,195.0","1,261.0","1,322.0","1,370.0","1,415.0","1,474.0","1,551.0","1,645.0","1,768.0","1,934.0","2,141.0","2,387.0","2,641.0","2,907.0","3,179.0","3,467.0","3,838.0","4,216.0","4,597.0","4,981.0","5,205.0","5,237.0","5,086.0","4,752.0","4,436.0","4,269.0","4,261.0","4,410.0","4,763.0","4,924.0","5,012.0","5,019.0","4,922.0","4,733.0","4,461.0","4,121.0","3,627.0","3,335.0","3,125.0","3,002.0","3,118.0","3,089.0","3,056.0","3,010.0","3,002.0","2,804.0","2,732.0","2,753.0","2,829.0","2,928.0","3,042.0","3,147.0","3,280.0","3,425.0","3,570.0","3,719.0","3,798.0","3,814.0","3,761.0","3,654.0","3,494.0","3,432.0","3,430.0","3,479.0","3,609.0","3,697.0","3,787.0","3,937.0","3,931.0","3,788.0","3,509.0","2,997.0","2,835.0","2,724.0","3,160.0","3,158.0","3,864.0","3,931.0","4,403.0","4,235.0","4,578.0","4,439.0","4,659.0","4,409.0","4,453.0","4,058.0","4,356.0","3,977.0","3,633.0","3,757.0","4,169.0","4,478.0","5,059.0","5,355.0","6,849.0","7,890.0","9,057.0","9,064.0","8,833.0","6,614.0","6,670.0","6,449.0","6,599.0","6,187.0","5,746.0","7,119.0","7,227.0","8,009.0","8,007.0","8,665.0","8,423.0","9,540.0","9,435.0","9,645.0","10,011.0","9,560.0","10,511.0","11,042.0","9,142.0","9,045.0","9,669.0","9,574.0","11,753.0","13,449.0","14,615.0","16,532.0","14,242.0","9,622.0","8,203.0","7,335.0","5,775.0","6,766.0","6,711.0","7,849.0","8,357.0","9,103.0","9,392.0","9,664.0","10,528.0","10,140.0","10,124.0","10,312.0","10,164.0","10,328.0","8,812.0","8,696.0","9,396.0","9,500.0","9,840.0","10,572.0","11,304.0","10,680.0","8,948.0","8,680.0"
"37","18","Current transfer receipts","W011RC1","964.0","992.0","1,008.0","1,028.0","1,016.0","1,020.0","904.0","896.0","916.0","916.0","924.0","956.0","1,032.0","1,104.0","1,156.0","1,188.0","1,248.0","1,288.0","812.0","844.0","1,004.0","1,084.0","1,120.0","1,116.0","1,096.0","1,100.0","1,104.0","1,124.0","1,260.0","1,188.0","1,184.0","1,260.0","1,264.0","1,404.0","1,756.0","1,884.0","2,028.0","2,180.0","2,304.0","2,400.0","2,452.0","2,520.0","2,572.0","2,628.0","2,736.0","2,832.0","2,780.0","4,220.0","3,472.0","2,980.0","3,016.0","3,044.0","3,952.0","4,256.0","4,524.0","4,792.0","4,788.0","5,108.0","5,304.0","5,680.0","6,096.0","6,288.0","6,344.0","6,368.0","7,048.0","12,804.0","7,252.0","7,280.0","7,308.0","7,536.0","6,708.0","8,892.0","9,620.0","10,772.0","10,136.0","10,296.0","8,984.0","9,228.0","9,864.0","10,352.0","10,860.0","11,252.0","12,544.0","12,492.0","12,120.0","12,504.0","13,436.0","15,176.0","16,548.0","16,936.0","17,476.0","17,788.0","17,480.0","17,264.0","17,644.0","21,288.0","20,064.0","19,796.0","19,760.0","20,996.0","22,720.0","21,524.0","22,044.0","20,076.0","18,868.0","17,860.0","17,128.0","16,288.0","16,980.0","17,908.0","18,768.0","37,252.0","19,232.0","19,768.0","20,756.0","20,500.0","20,904.0","21,456.0","21,612.0","21,892.0","21,884.0","22,204.0","22,310.0","23,108.0","25,113.0","23,994.0","24,934.0","25,250.0","25,140.0","24,954.0","25,813.0","25,946.0","26,130.0","24,991.0","24,639.0","23,962.0","25,682.0","26,166.0","26,209.0","26,616.0","28,500.0","29,612.0","30,560.0","29,624.0","31,444.0","32,996.0","32,960.0","33,228.0","36,748.0","37,904.0","38,464.0","38,472.0","41,200.0","41,272.0","42,360.0","43,316.0","44,292.0","46,028.0","44,836.0","63,600.0","67,392.0","78,644.0","59,288.0","63,472.0","66,716.0","67,464.0","70,028.0","68,354.0","68,214.0","69,400.0","66,590.0","64,023.0","60,515.0","55,695.0","49,597.0","58,562.0","66,880.0","65,410.0","63,519.0","88,530.0","68,522.0","83,442.0","106,523.0","63,783.0","61,589.0","72,418.0"
"38","19","  From business","W012RC1","924.0","940.0","940.0","944.0","928.0","932.0","816.0","808.0","844.0","848.0","864.0","896.0","944.0","980.0","1,004.0","1,012.0","1,092.0","1,156.0","696.0","736.0","896.0","972.0","1,000.0","996.0","976.0","980.0","976.0","992.0","1,124.0","1,044.0","1,036.0","1,104.0","1,108.0","1,236.0","1,588.0","1,704.0","1,848.0","1,996.0","2,116.0","2,220.0","2,272.0","2,340.0","2,388.0","2,432.0","2,524.0","2,604.0","2,540.0","3,972.0","3,220.0","2,724.0","2,752.0","2,780.0","3,376.0","3,608.0","3,784.0","3,956.0","3,892.0","4,152.0","4,280.0","4,636.0","5,072.0","5,244.0","5,304.0","5,364.0","5,932.0","11,636.0","6,028.0","6,008.0","6,152.0","6,336.0","5,460.0","7,224.0","7,928.0","8,944.0","7,848.0","7,988.0","6,444.0","6,324.0","6,932.0","7,412.0","7,904.0","8,220.0","9,416.0","9,264.0","8,856.0","9,144.0","9,968.0","11,616.0","12,836.0","13,088.0","13,560.0","13,732.0","13,488.0","13,168.0","13,500.0","17,108.0","15,032.0","14,788.0","14,760.0","15,868.0","17,316.0","15,916.0","16,300.0","14,260.0","12,980.0","11,824.0","10,876.0","9,768.0","10,184.0","10,848.0","11,464.0","29,736.0","11,532.0","11,904.0","12,760.0","12,380.0","12,572.0","12,868.0","12,716.0","12,616.0","12,368.0","12,460.0","11,936.0","13,000.0","12,868.0","13,332.0","13,268.0","13,960.0","13,444.0","13,704.0","14,312.0","14,704.0","15,020.0","13,556.0","12,944.0","13,176.0","14,436.0","14,280.0","14,516.0","14,636.0","15,588.0","15,900.0","16,180.0","15,820.0","15,876.0","16,924.0","16,912.0","17,688.0","18,908.0","19,068.0","19,560.0","20,340.0","20,928.0","20,740.0","21,004.0","23,212.0","24,084.0","23,560.0","22,180.0","38,196.0","41,660.0","56,332.0","38,948.0","40,796.0","42,988.0","40,888.0","45,336.0","45,848.0","47,586.0","45,155.0","45,593.0","41,654.0","36,876.0","29,948.0","22,608.0","24,828.0","38,836.0","40,356.0","35,856.0","54,108.0","35,064.0","32,260.0","80,736.0","36,492.0","31,868.0","37,680.0"
"39","20","  From persons","B233RC1","40.0","52.0","68.0","84.0","88.0","88.0","88.0","88.0","72.0","68.0","60.0","60.0","88.0","124.0","152.0","176.0","156.0","132.0","116.0","108.0","108.0","112.0","120.0","120.0","120.0","120.0","128.0","132.0","136.0","144.0","148.0","156.0","156.0","168.0","168.0","180.0","180.0","184.0","188.0","180.0","180.0","180.0","184.0","196.0","212.0","228.0","240.0","248.0","252.0","256.0","264.0","264.0","576.0","648.0","740.0","836.0","896.0","956.0","1,024.0","1,044.0","1,024.0","1,044.0","1,040.0","1,004.0","1,116.0","1,168.0","1,224.0","1,272.0","1,156.0","1,200.0","1,248.0","1,668.0","1,692.0","1,828.0","2,288.0","2,308.0","2,540.0","2,904.0","2,932.0","2,940.0","2,956.0","3,032.0","3,128.0","3,228.0","3,264.0","3,360.0","3,468.0","3,560.0","3,712.0","3,848.0","3,916.0","4,056.0","3,992.0","4,096.0","4,144.0","4,180.0","5,032.0","5,008.0","5,000.0","5,128.0","5,404.0","5,608.0","5,744.0","5,816.0","5,888.0","6,036.0","6,252.0","6,520.0","6,796.0","7,060.0","7,304.0","7,516.0","7,700.0","7,864.0","7,996.0","8,120.0","8,332.0","8,588.0","8,896.0","9,276.0","9,516.0","9,744.0","9,948.0","10,108.0","10,364.0","10,616.0","10,848.0","11,076.0","10,964.0","10,868.0","10,840.0","10,852.0","10,876.0","10,808.0","10,724.0","10,608.0","10,656.0","10,820.0","11,120.0","11,564.0","12,488.0","12,972.0","13,396.0","13,764.0","14,728.0","15,004.0","15,252.0","15,484.0","16,800.0","17,140.0","17,528.0","17,964.0","19,148.0","19,456.0","19,668.0","19,764.0","19,424.0","19,476.0","19,516.0","19,564.0","19,272.0","19,388.0","19,580.0","19,852.0","20,768.0","20,844.0","20,664.0","20,212.0","19,908.0","19,804.0","19,960.0","20,384.0","20,540.0","21,056.0","21,280.0","21,220.0","20,960.0","20,912.0","21,128.0","21,640.0","22,348.0","22,716.0","22,656.0","22,168.0","22,516.0","22,000.0"
"40","21","  From the rest of the world \6\","LA0000281",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","426.0","0.0","1,881.0","46.0","818.0","214.0","732.0","382.0","661.0","390.0","234.0","627.0","971.0","178.0","590.0","1,066.0","573.0","416.0","424.0","740.0","984.0","40.0","840.0","1,068.0","796.0","56.0","1,040.0","1,696.0","1,376.0","168.0","1,124.0","1,076.0","1,688.0","340.0","784.0","2,992.0","3,140.0","5,840.0","6,460.0","2,924.0","760.0","2,824.0","2,960.0","5,732.0","4,028.0","2,294.0","721.0","4,441.0","1,037.0","1,985.0","3,099.0","4,691.0","5,709.0","12,514.0","7,084.0","4,142.0","6,535.0","12,782.0","11,110.0","28,466.0","3,131.0","5,123.0","7,205.0","12,738.0"
"41","22","Current surplus of government enterprises \7\","B097RC1","-1,255.0","-1,266.0","-1,297.0","-1,233.0","-1,978.0","-2,585.0","-2,538.0","-2,751.0","-3,066.0","-2,495.0","-2,815.0","-2,749.0","-2,734.0","-2,466.0","-2,381.0","-1,927.0","-2,856.0","-3,227.0","-3,586.0","-3,870.0","-3,623.0","-2,831.0","-3,104.0","-3,440.0","-4,043.0","-4,214.0","-4,614.0","-4,807.0","-2,904.0","-2,935.0","-2,862.0","-2,921.0","-3,094.0","-3,184.0","-3,652.0","-3,786.0","-3,808.0","-3,293.0","-1,877.0","-2,602.0","-2,525.0","-2,492.0","-2,467.0","-3,186.0","-3,161.0","-3,582.0","-3,546.0","-4,275.0","-4,257.0","-1,962.0","-2,368.0","-1,866.0","-1,771.0","-1,936.0","-2,318.0","-2,535.0","-2,130.0","-2,022.0","-2,001.0","-1,622.0","-2,605.0","-2,565.0","-2,769.0","-2,806.0","-2,461.0","-1,433.0","-1,283.0","-1,314.0","-919.0","-670.0","-538.0","-220.0","189.0","-146.0","-643.0","-1,398.0","-2,062.0","1,732.0","1,454.0","1,504.0","1,140.0","1,133.0","959.0","1,036.0","-1,023.0","-2,294.0","-2,621.0","-3,389.0","-214.0","2,232.0","2,549.0","3,940.0","3,936.0","4,619.0","4,846.0","3,078.0","2,265.0","4,135.0","3,464.0","3,959.0","4,882.0","4,635.0","3,859.0","2,784.0","6,176.0","5,189.0","4,604.0","4,228.0","4,250.0","4,076.0","4,567.0","4,946.0","5,485.0","6,862.0","6,745.0","7,202.0","8,124.0","8,067.0","7,706.0","6,305.0","7,981.0","7,363.0","7,165.0","6,301.0","7,008.0","6,779.0","4,554.0","2,931.0","3,524.0","2,643.0","2,646.0","2,379.0","4,285.0","4,477.0","9,396.0","9,253.0","7,442.0","6,739.0","6,187.0","6,350.0","5,503.0","5,525.0","4,557.0","3,955.0","2,005.0","1,266.0","129.0","370.0","2,721.0","2,080.0","1,302.0","1,072.0","451.0","2,188.0","3,800.0","1,739.0","1,187.0","717.0","881.0","582.0","103.0","754.0","1,507.0","635.0","-448.0","-2,392.0","-3,908.0","-5,592.0","-6,474.0","-6,637.0","-7,512.0","-7,973.0","-7,771.0","-8,461.0","-9,135.0","-10,381.0","-10,215.0","-11,343.0","-11,436.0","-12,327.0","-9,451.0","-9,913.0","-9,605.0","-9,763.0","-8,087.0","-7,982.0"
"42","23","    Current expenditures","W013RC1","188,072.0","194,904.0","199,744.0","205,052.0","208,652.0","220,040.0","223,332.0","227,544.0","233,040.0","242,812.0","242,536.0","247,740.0","258,760.0","267,860.0","260,056.0","284,904.0","282,568.0","287,272.0","286,160.0","291,740.0","301,248.0","314,272.0","323,632.0","337,432.0","352,928.0","377,196.0","377,940.0","387,168.0","392,827.0","395,131.0","406,227.0","415,583.0","419,492.0","427,612.0","441,052.0","454,952.0","467,160.0","476,280.0","488,496.0","502,664.0","509,163.0","520,183.0","538,443.0","558,379.0","582,385.0","603,161.0","635,877.0","658,361.0","679,516.0","693,077.0","717,181.0","737,740.0","751,258.0","763,932.0","790,565.0","827,400.0","831,253.0","850,777.0","861,410.0","855,658.0","873,944.0","896,177.0","909,466.0","934,433.0","949,946.0","962,915.0","979,757.0","992,749.0","1,003,644.0","1,029,595.0","1,049,479.0","1,039,563.0","1,042,840.0","1,058,861.0","1,062,205.0","1,086,727.0","1,106,202.0","1,107,003.0","1,118,678.0","1,147,215.0","1,169,191.0","1,191,419.0","1,209,565.0","1,226,291.0","1,260,402.0","1,282,964.0","1,293,677.0","1,317,153.0","1,283,219.0","1,345,330.0","1,379,691.0","1,407,897.0","1,455,870.0","1,477,117.0","1,497,053.0","1,517,996.0","1,519,172.0","1,531,351.0","1,550,328.0","1,570,291.0","1,550,737.0","1,567,468.0","1,593,870.0","1,619,831.0","1,642,457.0","1,658,418.0","1,668,851.0","1,663,179.0","1,700,626.0","1,711,685.0","1,713,538.0","1,733,301.0","1,737,170.0","1,754,657.0","1,757,669.0","1,784,414.0","1,768,536.0","1,780,991.0","1,786,137.0","1,812,470.0","1,815,223.0","1,820,022.0","1,842,512.0","1,877,409.0","1,868,086.0","1,910,942.0","1,922,596.0","1,945,088.0","1,983,830.0","2,005,435.0","2,037,179.0","2,043,093.0","2,095,877.0","2,134,927.0","2,145,888.0","2,187,706.0","2,223,510.0","2,312,644.0","2,312,437.0","2,343,161.0","2,393,770.0","2,405,445.0","2,435,379.0","2,471,843.0","2,556,892.0","2,582,249.0","2,624,449.0","2,669,404.0","2,726,661.0","2,762,969.0","2,795,772.0","2,773,672.0","2,874,646.0","2,926,790.0","2,949,946.0","2,979,870.0","3,049,792.0","3,401,942.0","3,234,919.0","3,167,166.0","3,261,849.0","3,554,576.0","3,561,722.0","3,570,657.0","3,711,672.0","3,754,967.0","3,800,972.0","3,820,368.0","3,804,230.0","3,890,398.0","3,797,035.0","3,781,345.0","3,771,243.0","3,780,607.0","3,767,296.0","3,837,382.0","3,767,342.0","3,779,764.0","3,794,091.0","3,787,747.0","3,834,672.0","3,886,295.0","3,943,462.0","3,922,405.0","3,935,812.0","4,014,412.0"
"43","24","Consumption expenditures","A957RC1","97,096.0","99,468.0","102,308.0","102,820.0","102,676.0","101,360.0","102,376.0","102,756.0","105,568.0","106,664.0","106,688.0","107,524.0","112,804.0","113,984.0","110,216.0","111,684.0","113,128.0","114,220.0","112,720.0","115,584.0","118,580.0","119,508.0","123,104.0","128,672.0","129,852.0","132,092.0","133,156.0","136,600.0","136,812.0","138,536.0","137,984.0","142,684.0","144,984.0","148,364.0","150,144.0","154,896.0","157,172.0","160,968.0","162,484.0","167,236.0","170,800.0","174,848.0","174,176.0","184,132.0","191,332.0","202,020.0","201,712.0","213,380.0","221,112.0","229,812.0","230,864.0","243,412.0","247,632.0","249,188.0","257,316.0","268,496.0","273,328.0","278,780.0","287,400.0","271,904.0","280,616.0","293,256.0","295,100.0","299,148.0","307,484.0","312,780.0","321,320.0","325,420.0","325,148.0","335,940.0","344,760.0","340,124.0","342,300.0","346,040.0","346,192.0","356,556.0","356,592.0","357,568.0","357,716.0","371,468.0","368,520.0","382,152.0","383,488.0","386,492.0","396,704.0","401,008.0","398,688.0","410,860.0","427,160.0","426,196.0","423,452.0","418,956.0","423,092.0","425,540.0","435,612.0","436,600.0","424,644.0","424,088.0","430,104.0","431,964.0","423,240.0","424,852.0","434,224.0","427,008.0","428,892.0","430,920.0","430,240.0","420,584.0","423,492.0","430,440.0","427,256.0","432,484.0","430,620.0","443,320.0","438,764.0","442,080.0","427,488.0","439,356.0","433,860.0","445,028.0","446,396.0","446,728.0","457,496.0","471,660.0","461,776.0","482,988.0","477,696.0","477,768.0","493,712.0","502,868.0","509,136.0","515,848.0","542,532.0","554,580.0","561,596.0","582,600.0","600,412.0","635,136.0","631,360.0","646,908.0","668,896.0","677,756.0","691,604.0","687,236.0","714,548.0","716,768.0","736,216.0","726,232.0","762,064.0","760,276.0","763,172.0","770,248.0","775,268.0","789,088.0","809,168.0","819,876.0","850,088.0","865,668.0","897,960.0","905,572.0","904,776.0","931,196.0","945,908.0","952,928.0","979,104.0","1,005,092.0","1,018,772.0","1,012,652.0","1,000,560.0","1,015,152.0","1,009,028.0","999,504.0","1,011,593.0","1,006,035.0","1,012,528.0","1,001,181.0","978,542.0","967,027.0","950,808.0","948,739.0","952,946.0","950,887.0","968,188.0","949,087.0","956,687.0","957,311.0"
