"","Table 3#6# Contributions for Government Social Insurance","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Contributions for government social insurance","W782RC1","44,340.0","46,593.0","51,504.0","59,578.0","76,038.0","85,750.0","89,897.0","101,973.0","113,853.0","132,125.0","153,678.0","167,203.0","196,869.0","210,086.0","227,208.0","258,806.0","282,795.0","304,890.0","324,638.0","363,156.0","386,937.0","412,075.0","432,232.0","457,088.0","479,646.0","510,667.0","535,503.0","557,866.0","590,255.0","627,753.0","664,578.0","709,393.0","736,944.0","755,247.0","783,175.0","833,564.0","878,006.0","927,175.0","966,127.0","993,062.0","969,365.0","989,033.0","922,208.0","956,186.0","1,111,965.0","1,164,059.0"
"20","2","Employer contributions","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,451.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,045.0","382,517.0","408,689.0","428,053.0","447,360.0","461,670.0","471,313.0","458,104.0","469,361.0","493,886.0","514,333.0","527,453.0","547,184.0"
"21","3","  Federal social insurance funds","A1580C1","22,071.0","23,086.0","25,623.0","30,249.0","38,742.0","43,499.0","45,358.0","52,719.0","58,952.0","68,811.0","79,505.0","85,825.0","100,444.0","106,576.0","116,776.0","135,698.0","143,963.0","153,463.0","161,070.0","178,478.0","186,555.0","198,421.0","205,905.0","218,103.0","228,558.0","242,675.0","253,080.0","264,566.0","280,376.0","298,664.0","315,376.0","337,000.0","347,944.0","353,864.0","366,505.0","389,401.0","408,895.0","430,317.0","446,511.0","457,292.0","445,430.0","457,468.0","482,112.0","502,197.0","515,065.0","534,670.0"
"22","4","    Old-age, survivors, disability, and hospital insurance","CON1101","17,884.0","18,524.0","20,621.0","23,333.0","30,427.0","34,560.0","36,092.0","40,058.0","44,369.0","51,453.0","60,865.0","67,173.0","80,869.0","86,020.0","92,141.0","106,297.0","114,252.0","124,171.0","131,827.0","147,806.0","158,120.0","170,752.0","177,829.0","185,990.0","193,553.0","206,630.0","217,467.0","229,288.0","245,654.0","264,442.0","281,386.0","301,933.0","312,919.0","317,459.0","324,849.0","339,973.0","355,734.0","377,028.0","395,517.0","407,673.0","393,919.0","395,547.0","411,126.0","427,896.0","442,747.0","464,108.0"
"23","5","      Old-age, survivors, and disability insurance","L306051","15,621.0","16,182.0","18,214.0","20,612.0","25,172.0","29,186.0","30,483.0","33,833.0","37,477.0","42,870.0","50,339.0","55,561.0","64,927.0","69,214.0","73,461.0","85,724.0","91,510.0","98,070.0","104,105.0","118,316.0","126,565.0","137,280.0","141,020.0","147,378.0","153,244.0","161,916.0","169,930.0","179,030.0","191,523.0","205,897.0","218,854.0","234,392.0","243,842.0","248,156.0","253,842.0","264,932.0","276,827.0","293,111.0","306,873.0","317,223.0","307,602.0","307,468.0","319,394.0","332,106.0","344,504.0","360,586.0"
"24","6","      Hospital insurance","L306061","2,263.0","2,342.0","2,407.0","2,721.0","5,255.0","5,374.0","5,609.0","6,225.0","6,892.0","8,583.0","10,526.0","11,612.0","15,942.0","16,806.0","18,680.0","20,573.0","22,742.0","26,101.0","27,722.0","29,490.0","31,555.0","33,472.0","36,809.0","38,612.0","40,309.0","44,714.0","47,537.0","50,258.0","54,131.0","58,545.0","62,532.0","67,541.0","69,077.0","69,303.0","71,007.0","75,041.0","78,907.0","83,917.0","88,644.0","90,450.0","86,317.0","88,079.0","91,732.0","95,790.0","98,243.0","103,522.0"
"25","7","    Unemployment insurance","A1581C1","3,415.0","3,676.0","4,046.0","5,871.0","7,017.0","7,200.0","7,424.0","10,602.0","12,328.0","14,901.0","15,845.0","15,659.0","16,305.0","17,020.0","21,019.0","25,427.0","25,454.0","24,445.0","24,190.0","24,930.0","22,435.0","21,335.0","21,326.0","25,048.0","27,967.0","29,289.0","29,155.0","28,657.0","28,119.0","27,462.0","27,110.0","28,045.0","27,664.0","29,014.0","33,570.0","40,251.0","43,786.0","42,742.0","40,460.0","38,291.0","38,893.0","48,817.0","57,558.0","59,739.0","57,586.0","55,141.0"
"26","8","      State unemployment insurance","CON1201","2,482.0","2,414.0","2,612.0","4,078.0","5,064.0","5,401.0","5,246.0","8,138.0","9,369.0","11,486.0","12,152.0","11,618.0","11,998.0","12,771.0","15,514.0","19,387.0","19,469.0","18,209.0","17,788.0","18,044.0","16,735.0","15,517.0","15,487.0","18,307.0","21,375.0","22,920.0","22,688.0","22,035.0","21,285.0","20,358.0","19,774.0","20,475.0","20,125.0","21,431.0","25,954.0","32,474.0","35,793.0","34,827.0","32,475.0","30,368.0","30,894.0","40,195.0","47,392.0","49,957.0","47,923.0","45,848.0"
"27","9","      Federal unemployment tax","CON1501","669.0","854.0","853.0","1,182.0","1,511.0","1,281.0","1,277.0","1,402.0","1,997.0","2,745.0","3,048.0","3,365.0","3,570.0","3,729.0","4,915.0","5,466.0","5,444.0","5,693.0","5,896.0","6,384.0","5,182.0","5,240.0","5,149.0","5,402.0","5,317.0","5,571.0","5,784.0","5,990.0","6,280.0","6,579.0","6,826.0","7,099.0","7,044.0","6,862.0","6,765.0","6,958.0","7,236.0","7,160.0","7,273.0","7,109.0","6,625.0","6,832.0","8,014.0","7,918.0","8,363.0","8,504.0"
"28","10","      Railroad employees unemployment insurance","CON1601","131.0","128.0","123.0","119.0","118.0","119.0","110.0","150.0","220.0","219.0","196.0","148.0","205.0","180.0","163.0","240.0","229.0","212.0","199.0","190.0","218.0","219.0","172.0","96.0","20.0","22.0","24.0","27.0","27.0","79.0","102.0","64.0","63.0","107.0","154.0","108.0","87.0","88.0","90.0","92.0","94.0","100.0","236.0","215.0","28.0","22.0"
"29","11","      Federal employees unemployment insurance","CONBFE1","133.0","280.0","458.0","492.0","324.0","399.0","791.0","912.0","742.0","451.0","449.0","528.0","532.0","340.0","427.0","334.0","312.0","331.0","307.0","312.0","300.0","359.0","518.0","1,243.0","1,255.0","776.0","659.0","605.0","527.0","446.0","408.0","407.0","432.0","614.0","697.0","711.0","670.0","667.0","622.0","722.0","1,280.0","1,690.0","1,916.0","1,649.0","1,272.0","767.0"
"30","12","    Railroad retirement","CON1701","464.0","517.0","535.0","567.0","766.0","1,131.0","1,124.0","1,255.0","1,384.0","1,456.0","1,652.0","1,712.0","1,872.0","1,972.0","1,949.0","2,194.0","2,273.0","2,536.0","2,514.0","2,670.0","2,619.0","2,610.0","2,620.0","2,622.0","2,628.0","2,555.0","2,525.0","2,594.0","2,669.0","2,802.0","2,841.0","2,851.0","2,831.0","2,713.0","2,545.0","2,509.0","2,567.0","2,660.0","2,699.0","2,795.0","2,681.0","2,692.0","2,874.0","3,020.0","3,184.0","3,346.0"
"31","13","    Pension benefit guaranty","B1043C1",".....",".....",".....",".....",".....","17.0","33.0","29.0","29.0","62.0","74.0","79.0","88.0","93.0","95.0","95.0","95.0","258.0","304.0","544.0","644.0","685.0","817.0","935.0","939.0","960.0","990.0","1,133.0","1,034.0","980.0","933.0","831.0","861.0","836.0","1,055.0","1,640.0","1,247.0","1,593.0","1,331.0","1,595.0","2,402.0","2,616.0","2,244.0","2,912.0","3,225.0","3,545.0"
"32","14","    Veterans life insurance","CON2101","9.0","11.0","8.0","12.0","9.0","2.0","9.0","7.0","6.0","3.0","5.0","6.0","9.0","9.0","6.0","7.0","9.0","8.0","10.0","11.0","13.0","14.0","15.0","22.0","16.0","16.0","7.0","33.0","47.0","30.0","40.0","20.0","18.0","20.0","22.0","33.0","29.0","38.0","49.0","53.0","36.0","58.0","78.0","100.0","119.0","64.0"
"33","15","    Workers' compensation","CON2201","121.0","147.0","176.0","203.0","237.0","309.0","415.0","517.0","571.0","636.0","717.0","838.0","870.0","917.0","933.0","989.0","1,089.0","1,124.0","1,173.0","1,253.0","1,379.0","1,492.0","1,645.0","1,788.0","1,833.0","1,863.0","1,889.0","1,902.0","1,911.0","1,973.0","2,035.0","2,161.0","2,334.0","2,342.0","2,342.0","2,383.0","2,456.0","2,458.0","2,439.0","2,506.0","2,592.0","2,728.0","2,995.0","3,010.0","3,068.0","3,398.0"
"34","16","    Military medical insurance \1\","B1606C1","178.0","211.0","237.0","263.0","286.0","280.0","261.0","251.0","265.0","300.0","347.0","358.0","431.0","545.0","633.0","689.0","791.0","921.0","1,052.0","1,264.0","1,345.0","1,534.0","1,653.0","1,698.0","1,622.0","1,362.0","1,047.0","959.0","942.0","975.0","1,031.0","1,159.0","1,317.0","1,480.0","2,122.0","2,612.0","3,076.0","3,798.0","4,016.0","4,379.0","4,907.0","5,010.0","5,237.0","5,520.0","5,136.0","5,068.0"
"35","17","  State and local social insurance funds","A744RC1","683.0","753.0","823.0","908.0","1,041.0","1,195.0","1,366.0","1,679.0","2,152.0","2,717.0","3,082.0","3,115.0","3,166.0","3,193.0","3,106.0","3,340.0","3,771.0","4,406.0","5,190.0","6,155.0","7,118.0","8,030.0","9,227.0","10,295.0","11,121.0","11,464.0","11,040.0","10,239.0","9,217.0","8,573.0","7,963.0","8,220.0","10,042.0","12,181.0","16,012.0","19,288.0","19,158.0","17,043.0","15,159.0","14,021.0","12,674.0","11,893.0","11,774.0","12,136.0","12,388.0","12,514.0"
"36","18","    Temporary disability insurance","S252101","19.0","28.0","37.0","44.0","47.0","41.0","29.0","29.0","34.0","42.0","54.0","75.0","82.0","95.0","70.0","50.0","30.0","11.0","14.0","16.0","14.0","15.0","16.0","18.0","19.0","20.0","19.0","17.0","14.0","15.0","16.0","21.0","27.0","27.0","28.0","35.0","36.0","32.0","29.0","34.0","40.0","42.0","41.0","38.0","40.0","41.0"
"37","19","    Workers' compensation","S253001","664.0","725.0","786.0","864.0","994.0","1,154.0","1,337.0","1,650.0","2,118.0","2,675.0","3,028.0","3,040.0","3,084.0","3,098.0","3,036.0","3,290.0","3,741.0","4,395.0","5,176.0","6,139.0","7,104.0","8,015.0","9,211.0","10,277.0","11,102.0","11,444.0","11,021.0","10,222.0","9,203.0","8,558.0","7,947.0","8,199.0","10,015.0","12,154.0","15,984.0","19,253.0","19,122.0","17,011.0","15,130.0","13,987.0","12,634.0","11,851.0","11,733.0","12,098.0","12,348.0","12,473.0"
"38","20","Employee and self-employed contributions","B228RC1","21,373.0","22,520.0","24,730.0","28,047.0","35,713.0","40,487.0","42,586.0","46,936.0","51,990.0","59,732.0","70,162.0","77,248.0","92,091.0","99,125.0","106,071.0","118,432.0","133,636.0","145,569.0","156,853.0","176,849.0","191,558.0","203,657.0","215,050.0","226,553.0","237,746.0","254,041.0","268,680.0","280,273.0","297,648.0","317,414.0","337,946.0","360,620.0","375,210.0","385,452.0","396,739.0","420,489.0","445,292.0","475,231.0","499,728.0","516,924.0","506,303.0","514,747.0","423,912.0","437,242.0","579,356.0","611,775.0"
"39","21","  Federal social insurance funds","A1585C1","21,030.0","22,184.0","24,379.0","27,635.0","35,262.0","40,017.0","42,109.0","46,428.0","51,367.0","59,039.0","69,364.0","76,791.0","91,397.0","98,275.0","105,037.0","117,095.0","132,521.0","144,018.0","154,836.0","174,627.0","189,702.0","201,652.0","212,658.0","223,725.0","234,738.0","250,990.0","266,120.0","278,059.0","296,042.0","315,636.0","336,157.0","358,018.0","371,561.0","381,807.0","392,819.0","415,123.0","439,835.0","470,788.0","496,002.0","512,264.0","500,410.0","508,512.0","417,470.0","431,330.0","573,150.0","605,425.0"
"40","22","    Old-age, survivors, disability, and hospital insurance","A1586C1","19,074.0","20,039.0","22,016.0","25,041.0","32,523.0","37,177.0","39,133.0","43,226.0","47,939.0","55,324.0","65,296.0","72,360.0","86,376.0","92,610.0","99,068.0","109,979.0","124,786.0","136,121.0","145,868.0","162,881.0","174,742.0","188,725.0","198,495.0","208,142.0","217,289.0","231,454.0","244,401.0","257,223.0","274,841.0","294,227.0","313,716.0","335,523.0","346,851.0","354,991.0","363,588.0","381,750.0","400,351.0","424,742.0","445,638.0","458,262.0","443,919.0","448,495.0","355,704.0","368,749.0","504,970.0","534,406.0"
"41","23","      Employees","A1587C1","17,294.0","18,155.0","20,121.0","22,912.0","29,976.0","34,055.0","35,781.0","39,716.0","44,050.0","51,021.0","60,324.0","66,772.0","80,448.0","85,781.0","91,943.0","101,563.0","113,914.0","123,735.0","131,636.0","147,140.0","157,090.0","169,792.0","177,430.0","185,707.0","193,698.0","206,639.0","217,672.0","229,591.0","245,923.0","263,687.0","281,326.0","301,350.0","311,246.0","318,023.0","324,742.0","340,498.0","355,985.0","377,457.0","396,140.0","408,150.0","394,315.0","399,508.0","309,270.0","321,902.0","450,069.0","471,971.0"
"42","24","        Old-age, survivors, and disability insurance","L306221","15,106.0","15,859.0","17,778.0","20,239.0","24,769.0","28,764.0","30,214.0","33,536.0","37,198.0","42,493.0","49,873.0","55,214.0","64,558.0","69,006.0","73,278.0","80,996.0","91,206.0","97,681.0","103,928.0","117,756.0","125,697.0","136,413.0","140,350.0","146,627.0","152,727.0","161,091.0","169,168.0","178,130.0","190,470.0","203,826.0","217,347.0","232,427.0","240,735.0","247,146.0","252,143.0","263,538.0","274,666.0","290,898.0","304,654.0","314,762.0","305,090.0","308,119.0","214,271.0","222,671.0","342,061.0","358,057.0"
"43","25","        Hospital insurance","L306231","2,188.0","2,296.0","2,343.0","2,673.0","5,207.0","5,291.0","5,567.0","6,180.0","6,852.0","8,528.0","10,451.0","11,558.0","15,890.0","16,775.0","18,665.0","20,567.0","22,708.0","26,054.0","27,708.0","29,384.0","31,393.0","33,379.0","37,080.0","39,080.0","40,971.0","45,548.0","48,504.0","51,461.0","55,453.0","59,861.0","63,979.0","68,923.0","70,511.0","70,877.0","72,599.0","76,960.0","81,319.0","86,559.0","91,486.0","93,388.0","89,225.0","91,389.0","94,999.0","99,231.0","108,008.0","113,914.0"
"44","26","      Self-employed","CON5201","1,780.0","1,884.0","1,895.0","2,129.0","2,547.0","3,122.0","3,352.0","3,510.0","3,889.0","4,303.0","4,972.0","5,588.0","5,928.0","6,829.0","7,125.0","8,416.0","10,872.0","12,386.0","14,232.0","15,741.0","17,652.0","18,933.0","21,065.0","22,435.0","23,591.0","24,815.0","26,729.0","27,632.0","28,918.0","30,540.0","32,390.0","34,173.0","35,605.0","36,968.0","38,846.0","41,252.0","44,366.0","47,285.0","49,498.0","50,112.0","49,604.0","48,987.0","46,434.0","46,847.0","54,901.0","62,435.0"
"45","27","    Supplementary medical insurance","CON5301","908.0","1,091.0","1,293.0","1,375.0","1,545.0","1,795.0","1,908.0","2,049.0","2,234.0","2,456.0","2,704.0","2,993.0","3,437.0","3,938.0","4,211.0","5,136.0","5,579.0","5,687.0","6,695.0","9,378.0","12,724.0","10,732.0","11,870.0","12,918.0","15,172.0","17,271.0","19,526.0","18,579.0","19,094.0","19,220.0","20,263.0","20,331.0","22,624.0","24,688.0","27,072.0","31,030.0","37,075.0","43,557.0","47,914.0","51,585.0","54,182.0","57,679.0","59,663.0","60,416.0","65,675.0","68,430.0"
"46","28","    State unemployment insurance","CON5441","27.0","38.0","29.0","26.0","27.0","30.0","64.0","91.0","103.0","116.0","120.0","130.0","137.0","145.0","196.0","282.0","320.0","259.0","327.0","350.0","230.0","184.0","246.0","313.0","241.0","222.0","181.0","206.0","31.0","105.0","115.0","124.0","62.0","144.0","206.0","377.0","487.0","554.0","555.0","498.0","479.0","536.0","555.0","582.0","565.0","577.0"
"47","29","    Railroad retirement","CON5501","443.0","437.0","450.0","499.0","524.0","358.0","350.0","386.0","418.0","450.0","563.0","600.0","713.0","834.0","829.0","956.0","1,071.0","1,139.0","1,126.0","1,213.0","1,201.0","1,207.0","1,217.0","1,254.0","1,231.0","1,250.0","1,250.0","1,279.0","1,313.0","1,377.0","1,403.0","1,415.0","1,411.0","1,399.0","1,411.0","1,471.0","1,475.0","1,524.0","1,515.0","1,565.0","1,508.0","1,512.0","1,292.0","1,355.0","1,747.0","1,836.0"
"48","30","    Veterans life insurance","CON5741","578.0","579.0","591.0","694.0","643.0","657.0","654.0","676.0","673.0","693.0","681.0","708.0","734.0","748.0","733.0","742.0","765.0","812.0","820.0","805.0","805.0","804.0","830.0","1,098.0","805.0","793.0","762.0","772.0","763.0","707.0","660.0","625.0","613.0","585.0","542.0","495.0","447.0","411.0","380.0","354.0","322.0","290.0","256.0","228.0","193.0","176.0"
"49","31","  State and local social insurance funds \2\","B738RC1","343.0","336.0","351.0","412.0","451.0","470.0","477.0","508.0","623.0","693.0","798.0","457.0","694.0","850.0","1,034.0","1,337.0","1,115.0","1,551.0","2,017.0","2,222.0","1,856.0","2,005.0","2,392.0","2,828.0","3,008.0","3,051.0","2,560.0","2,214.0","1,606.0","1,778.0","1,789.0","2,602.0","3,649.0","3,645.0","3,920.0","5,366.0","5,457.0","4,443.0","3,726.0","4,660.0","5,893.0","6,235.0","6,442.0","5,912.0","6,206.0","6,350.0"
"50","32","Rest-of-the-world contributions \3\","W781RC1","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,729.0","4,825.0","4,958.0","4,925.0","4,410.0","4,611.0","5,156.0","5,100.0"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Consists of payments for medical services for dependents of active duty military personnel at nonmilitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Consists of contributions for temporary disability insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
