"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"27","8","      Nondurable goods, excluding petroleum and products","LA0000051",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","  Capital goods, except automotive","A640RC1","9,832.0","9,932.0","9,804.0","10,168.0","10,360.0","11,076.0","11,668.0","11,340.0","10,904.0","12,584.0","12,772.0","13,432.0"
"29","10","    Civilian aircraft, engines, and parts","B688RC1","584.0","636.0","916.0","1,024.0","1,128.0","1,272.0","1,740.0","1,480.0","1,456.0","1,000.0","1,168.0","1,440.0"
"30","11","    Computers, peripherals, and parts","B850RC1","528.0","548.0","532.0","572.0","552.0","544.0","632.0","612.0","668.0","716.0","840.0","920.0"
"31","12","    Other","B689RC1","8,720.0","8,748.0","8,356.0","8,572.0","8,680.0","9,260.0","9,296.0","9,248.0","8,780.0","10,868.0","10,764.0","11,072.0"
"32","13","  Automotive vehicles, engines, and parts","B641RC1","2,676.0","2,756.0","2,884.0","2,820.0","3,116.0","3,528.0","3,396.0","3,772.0","3,544.0","3,948.0","4,032.0","4,200.0"
"33","14","  Consumer goods, except food and automotive","A642RC1","2,204.0","2,048.0","2,072.0","2,120.0","2,164.0","2,328.0","2,500.0","2,344.0","2,332.0","2,692.0","2,704.0","2,688.0"
"34","15","    Durable goods","B690RC1","940.0","868.0","860.0","892.0","924.0","988.0","1,036.0","1,012.0","1,092.0","1,228.0","1,252.0","1,188.0"
"35","16","    Nondurable goods","B691RC1","1,264.0","1,180.0","1,212.0","1,228.0","1,240.0","1,340.0","1,464.0","1,332.0","1,240.0","1,464.0","1,452.0","1,500.0"
"36","17","  Other \2\","A643RC1","2,781.0","2,739.0","2,610.0","2,753.0","2,822.0","2,898.0","2,902.0","3,263.0","3,299.0","3,326.0","3,228.0","3,780.0"
"37","18","Exports of services \1\","A646RC1","11,106.0","10,893.0","10,485.0","11,195.0","11,532.0","12,000.0","12,423.0","12,783.0","11,911.0","13,469.0","13,380.0","13,951.0"
"38","19","  Transport","Y800RC1","2,792.0","2,796.0","2,792.0","2,808.0","2,895.0","2,970.0","3,001.0","2,973.0","2,544.0","3,288.0","3,296.0","3,280.0"
"39","20","  Travel (for all purposes including education)","Y801RC1","1,648.0","1,568.0","1,656.0","1,712.0","1,732.0","1,724.0","1,804.0","1,840.0","2,008.0","2,056.0","2,056.0","2,052.0"
"40","21","  Charges for the use of intellectual property n.e.c.","B684RC1","1,744.0","1,772.0","1,736.0","1,736.0","1,760.0","1,828.0","1,928.0","1,952.0","1,940.0","2,056.0","1,996.0","2,084.0"
"41","22","  Other business services \3\","Y802RC1","656.0","704.0","780.0","812.0","804.0","796.0","796.0","808.0","844.0","896.0","960.0","996.0"
"42","23","  Government goods and services n.e.c.","Y803RC1","3,459.0","3,229.0","2,674.0","3,255.0","3,442.0","3,750.0","3,930.0","4,213.0","3,541.0","4,102.0","3,960.0","4,388.0"
"43","24","  Other","B980RC1","807.0","824.0","847.0","872.0","899.0","932.0","964.0","997.0","1,034.0","1,071.0","1,112.0","1,151.0"
"44","25","    Imports of goods and services","B021RC1","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0","52,364.0","53,126.0"
"45","26","Imports of goods \1\","A255RC1","27,704.0","26,796.0","27,012.0","29,532.0","32,116.0","33,152.0","35,408.0","35,108.0","30,772.0","39,116.0","38,536.0","38,828.0"
"46","27","  Foods, feeds, and beverages","B647RC1","4,700.0","4,312.0","4,584.0","4,748.0","4,852.0","5,068.0","5,992.0","5,172.0","4,060.0","5,568.0","5,572.0","5,744.0"
"47","28","  Industrial supplies and materials","LA0000041","12,256.0","11,828.0","11,196.0","12,880.0","14,412.0","14,436.0","14,372.0","14,424.0","12,368.0","15,576.0","14,536.0","14,748.0"
"48","29","    Durable goods","A820RC1","6,000.0","5,804.0","5,600.0","6,612.0","7,900.0","7,796.0","7,488.0","7,392.0","6,024.0","8,052.0","7,244.0","7,268.0"
"49","30","    Nondurable goods","LA0000071","6,256.0","6,024.0","5,596.0","6,268.0","6,512.0","6,640.0","6,884.0","7,032.0","6,344.0","7,524.0","7,292.0","7,480.0"
"50","31","      Petroleum and products","B648RC1","2,132.0","2,204.0","1,864.0","2,164.0","2,248.0","2,272.0","2,500.0","2,516.0","2,476.0","2,704.0","2,608.0","2,808.0"
"51","32","      Nondurable goods, excluding petroleum and products","B696RC1","4,124.0","3,820.0","3,732.0","4,104.0","4,264.0","4,368.0","4,384.0","4,516.0","3,868.0","4,820.0","4,684.0","4,672.0"
"52","33","  Capital goods, except automotive","A650RC1","2,476.0","2,396.0","2,472.0","2,472.0","2,668.0","2,700.0","2,924.0","3,068.0","2,800.0","3,624.0","3,652.0","3,612.0"
"53","34","    Civilian aircraft, engines, and parts","B932RC1","144.0","108.0","128.0","140.0","180.0","188.0","156.0","228.0","184.0","168.0","172.0","184.0"
"54","35","    Computers, peripherals, and parts","B852RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"55","36","    Other","B853RC1","2,256.0","2,216.0","2,268.0","2,256.0","2,408.0","2,428.0","2,672.0","2,740.0","2,520.0","3,320.0","3,320.0","3,280.0"
"56","37","  Automotive vehicles, engines, and parts","B651RC1","2,216.0","2,228.0","2,580.0","2,744.0","3,424.0","3,684.0","4,128.0","4,588.0","4,040.0","5,168.0","5,552.0","5,468.0"
"57","38","  Consumer goods, except food and automotive","A652RC1","4,172.0","4,032.0","4,160.0","4,488.0","4,868.0","5,184.0","5,644.0","5,804.0","5,496.0","6,796.0","6,796.0","6,860.0"
"58","39","    Durable goods","B697RC1","2,652.0","2,524.0","2,612.0","2,744.0","2,996.0","3,200.0","3,556.0","3,604.0","3,396.0","4,132.0","4,156.0","4,232.0"
"59","40","    Nondurable goods","B698RC1","1,520.0","1,508.0","1,548.0","1,744.0","1,872.0","1,984.0","2,088.0","2,200.0","2,100.0","2,664.0","2,640.0","2,628.0"
"60","41","  Other","A653RC1","1,884.0","2,000.0","2,020.0","2,200.0","1,892.0","2,080.0","2,348.0","2,052.0","2,008.0","2,384.0","2,428.0","2,396.0"
"61","42","Imports of services \1\","B656RC1","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0","13,828.0","14,298.0"
"62","43","  Transport","Y804RC1","3,072.0","3,007.0","2,833.0","3,035.0","3,178.0","3,171.0","3,350.0","3,311.0","3,093.0","3,580.0","3,636.0","3,835.0"
"63","44","  Travel (for all purposes including education)","Y805RC1","2,828.0","3,372.0","3,656.0","2,972.0","3,040.0","2,952.0","3,152.0","2,976.0","3,284.0","3,336.0","3,400.0","3,472.0"
"64","45","  Charges for the use of intellectual property n.e.c.","B908RC1","164.0","164.0","164.0","176.0","196.0","180.0","180.0","188.0","220.0","212.0","216.0","244.0"
"65","46","  Other business services \3\","Y806RC1","368.0","396.0","440.0","436.0","432.0","484.0","500.0","532.0","552.0","572.0","572.0","580.0"
"66","47","  Government goods and services n.e.c.","Y807RC1","4,876.0","4,849.0","4,990.0","5,042.0","4,965.0","4,993.0","5,155.0","5,548.0","5,362.0","5,327.0","5,464.0","5,615.0"
"67","48","  Other","B910RC1","420.0","436.0","448.0","460.0","472.0","484.0","496.0","508.0","520.0","528.0","540.0","552.0"
"68",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","49","  Exports of durable goods","A332RC1","18,754.0","18,781.0","18,237.0","18,729.0","19,559.0","21,237.0","21,999.0","22,091.0","20,669.0","24,247.0","24,770.0","26,022.0"
"70","50","  Exports of nondurable goods","A339RC1","14,135.0","13,866.0","13,717.0","13,968.0","14,407.0","14,121.0","15,107.0","14,364.0","11,394.0","16,199.0","15,190.0","16,486.0"
"71","51","  Exports of agricultural goods \4\","B181RC1","6,632.0","6,540.0","6,240.0","6,400.0","6,772.0","6,096.0","6,280.0","6,040.0","4,096.0","7,072.0","6,280.0","6,932.0"
"72","52","  Exports of nonagricultural goods","A182RC1","26,257.0","26,107.0","25,714.0","26,297.0","27,194.0","29,262.0","30,826.0","30,415.0","27,967.0","33,374.0","33,680.0","35,576.0"
"73","53","  Imports of durable goods","A333RC1","14,286.0","13,952.0","14,274.0","15,672.0","17,936.0","18,420.0","19,270.0","19,678.0","17,264.0","22,168.0","21,818.0","21,778.0"
"74","54","  Imports of nondurable goods","A340RC1","13,418.0","12,844.0","12,738.0","13,860.0","14,180.0","14,732.0","16,138.0","15,430.0","13,508.0","16,948.0","16,718.0","17,050.0"
"75","55","  Imports of nonpetroleum goods","A187RC1","25,572.0","24,592.0","25,148.0","27,368.0","29,868.0","30,880.0","32,908.0","32,592.0","28,296.0","36,412.0","35,928.0","36,020.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","3. Includes maintenance and repair services, insurance services, financial services, telecommunication,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","computer and information services and other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","of nondurable nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
