"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19",NA,"          Federal"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Current receipts","A2046C1","45,778.0","49,156.0","53,764.0","61,811.0","78,582.0","88,714.0","92,802.0","104,328.0","115,564.0","133,571.0","154,985.0","169,546.0","199,842.0","212,762.0","229,060.0","263,175.0","289,581.0","311,625.0","332,608.0","375,198.0","405,920.0","436,843.0","459,932.0","487,421.0","511,317.0","544,474.0","575,204.0","602,068.0","642,120.0","683,300.0","732,747.0","787,189.0","821,389.0","845,753.0","870,176.0","918,672.0","969,152.0","1,031,990.0","1,080,903.0","1,114,243.0","1,090,204.0","1,108,071.0","1,143,307.0","1,176,649.0","1,212,071.0","1,256,317.0"
"21","2","Contributions for government social insurance","W780RC1","43,314.0","45,504.0","50,330.0","58,258.0","74,546.0","84,085.0","88,054.0","99,786.0","111,078.0","128,715.0","149,798.0","163,631.0","193,009.0","206,043.0","223,068.0","254,129.0","277,909.0","298,933.0","317,431.0","354,779.0","377,963.0","402,040.0","420,613.0","443,965.0","465,517.0","496,152.0","521,903.0","545,413.0","579,432.0","617,402.0","654,826.0","698,571.0","723,253.0","739,421.0","763,243.0","808,910.0","853,391.0","905,689.0","947,242.0","974,381.0","950,798.0","970,905.0","903,992.0","938,138.0","1,093,371.0","1,145,195.0"
"22","3","  Employee and self-employed contributions","A1585C1","21,030.0","22,184.0","24,379.0","27,635.0","35,262.0","40,017.0","42,109.0","46,428.0","51,367.0","59,039.0","69,364.0","76,791.0","91,397.0","98,275.0","105,037.0","117,095.0","132,521.0","144,018.0","154,836.0","174,627.0","189,702.0","201,652.0","212,658.0","223,725.0","234,738.0","250,990.0","266,120.0","278,059.0","296,042.0","315,636.0","336,157.0","358,018.0","371,561.0","381,807.0","392,819.0","415,123.0","439,835.0","470,788.0","496,002.0","512,264.0","500,410.0","508,512.0","417,470.0","431,330.0","573,150.0","605,425.0"
"23","4","  Employer contributions","A1580C1","22,071.0","23,086.0","25,623.0","30,249.0","38,742.0","43,499.0","45,358.0","52,719.0","58,952.0","68,811.0","79,505.0","85,825.0","100,444.0","106,576.0","116,776.0","135,698.0","143,963.0","153,463.0","161,070.0","178,478.0","186,555.0","198,421.0","205,905.0","218,103.0","228,558.0","242,675.0","253,080.0","264,566.0","280,376.0","298,664.0","315,376.0","337,000.0","347,944.0","353,864.0","366,505.0","389,401.0","408,895.0","430,317.0","446,511.0","457,292.0","445,430.0","457,468.0","482,112.0","502,197.0","515,065.0","534,670.0"
"24","5","    Government","L313051","2,815.0","3,242.0","3,819.0","4,296.0","5,037.0","5,828.0","6,950.0","7,678.0","8,031.0","8,664.0","9,744.0","10,756.0","12,765.0","13,760.0","15,619.0","17,251.0","18,929.0","20,668.0","21,943.0","25,767.0","27,857.0","30,732.0","33,223.0","35,627.0","36,767.0","37,624.0","38,301.0","39,312.0","40,817.0","42,144.0","44,372.0","47,088.0","50,041.0","53,431.0","56,522.0","59,260.0","61,629.0","65,075.0","67,838.0","71,158.0","75,053.0","76,933.0","77,661.0","77,628.0","77,084.0","77,734.0"
"25","6","    Other","L313061","19,256.0","19,844.0","21,804.0","25,953.0","33,705.0","37,671.0","38,408.0","45,041.0","50,921.0","60,147.0","69,761.0","75,069.0","87,679.0","92,816.0","101,157.0","118,447.0","125,034.0","132,795.0","139,127.0","152,711.0","158,698.0","167,689.0","172,682.0","182,476.0","191,791.0","205,051.0","214,779.0","225,254.0","239,559.0","256,520.0","271,004.0","289,912.0","297,903.0","300,433.0","309,983.0","330,141.0","347,266.0","365,242.0","378,673.0","386,134.0","370,377.0","380,535.0","404,451.0","424,569.0","437,981.0","456,936.0"
"26","7","  From the rest of the world","W781RC1","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,729.0","4,825.0","4,958.0","4,925.0","4,410.0","4,611.0","5,156.0","5,100.0"
"27","8","Interest received","L313071","2,464.0","3,652.0","3,434.0","3,553.0","4,036.0","4,629.0","4,748.0","4,542.0","4,486.0","4,856.0","5,187.0","5,915.0","6,833.0","6,719.0","5,992.0","9,046.0","11,672.0","12,692.0","15,177.0","20,419.0","27,957.0","34,803.0","39,319.0","43,456.0","45,800.0","48,322.0","53,301.0","56,655.0","62,688.0","65,898.0","77,921.0","88,618.0","98,136.0","106,332.0","106,933.0","109,762.0","115,761.0","126,301.0","133,661.0","139,862.0","139,406.0","137,166.0","131,744.0","124,163.0","116,112.0","111,122.0"
"28","9","Other \1\","W798RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107,571.0","114,348.0","2,587.0","....."
"29","10","    Current expenditures","A1670C1","40,081.0","48,195.0","56,770.0","62,452.0","72,702.0","85,504.0","109,082.0","120,353.0","129,622.0","138,267.0","155,028.0","185,319.0","214,120.0","247,136.0","266,914.0","272,535.0","288,703.0","305,974.0","318,149.0","336,147.0","363,277.0","394,462.0","435,274.0","482,057.0","508,484.0","529,122.0","559,581.0","589,153.0","613,178.0","625,019.0","640,208.0","672,907.0","733,247.0","796,041.0","832,348.0","867,480.0","920,708.0","1,020,235.0","1,084,954.0","1,169,183.0","1,343,321.0","1,398,999.0","1,414,290.0","1,465,765.0","1,500,515.0","1,535,633.0"
"30","11","Administrative expenses (consumption expenditures)","L313091","1,515.0","1,767.0","1,932.0","2,331.0","2,248.0","2,753.0","3,188.0","3,595.0","3,756.0","4,055.0","4,245.0","4,780.0","5,248.0","5,658.0","6,119.0","6,292.0","6,548.0","6,526.0","6,611.0","7,261.0","7,242.0","7,408.0","8,338.0","9,042.0","9,708.0","8,837.0","9,463.0","9,633.0","9,144.0","9,654.0","9,788.0","10,055.0","10,730.0","12,046.0","12,405.0","13,123.0","14,387.0","14,724.0","14,622.0","15,480.0","16,319.0","18,195.0","18,752.0","22,958.0","23,998.0","25,062.0"
"31","12","Government social benefits","W026RC1","38,566.0","46,428.0","54,838.0","60,121.0","70,454.0","82,751.0","105,894.0","116,758.0","125,866.0","134,212.0","150,783.0","180,539.0","208,872.0","241,478.0","260,795.0","266,243.0","282,155.0","299,448.0","311,538.0","328,886.0","356,035.0","387,054.0","426,936.0","473,015.0","498,776.0","520,285.0","550,118.0","579,520.0","604,034.0","615,365.0","630,420.0","662,852.0","722,517.0","783,995.0","819,943.0","854,357.0","906,321.0","1,005,511.0","1,070,332.0","1,153,703.0","1,327,002.0","1,380,804.0","1,395,538.0","1,442,807.0","1,476,517.0","1,510,571.0"
"32","13","  To persons","A1588C1","37,983.0","45,711.0","54,031.0","59,237.0","69,385.0","81,594.0","104,495.0","114,937.0","124,071.0","132,306.0","148,692.0","178,139.0","205,985.0","238,507.0","257,674.0","263,027.0","278,637.0","295,618.0","307,820.0","324,872.0","351,720.0","382,324.0","421,418.0","467,507.0","493,172.0","514,055.0","543,965.0","572,754.0","597,000.0","607,949.0","622,871.0","654,866.0","713,660.0","774,951.0","810,421.0","844,295.0","895,712.0","993,749.0","1,057,776.0","1,140,345.0","1,312,093.0","1,365,177.0","1,379,440.0","1,425,919.0","1,458,832.0","1,492,290.0"
"33","14","  To the rest of the world","W872RC1","583.0","717.0","807.0","884.0","1,069.0","1,157.0","1,399.0","1,821.0","1,795.0","1,906.0","2,091.0","2,400.0","2,887.0","2,971.0","3,121.0","3,216.0","3,518.0","3,830.0","3,718.0","4,014.0","4,315.0","4,730.0","5,518.0","5,508.0","5,604.0","6,230.0","6,153.0","6,766.0","7,034.0","7,416.0","7,549.0","7,986.0","8,857.0","9,044.0","9,522.0","10,062.0","10,609.0","11,762.0","12,556.0","13,358.0","14,909.0","15,627.0","16,098.0","16,888.0","17,685.0","18,281.0"
"34","15","    Net saving","B243RC1","5,697.0","961.0","-3,006.0","-641.0","5,880.0","3,210.0","-16,280.0","-16,025.0","-14,058.0","-4,696.0","-43.0","-15,773.0","-14,278.0","-34,374.0","-37,854.0","-9,360.0","878.0","5,651.0","14,459.0","39,051.0","42,643.0","42,381.0","24,658.0","5,364.0","2,833.0","15,352.0","15,623.0","12,915.0","28,942.0","58,281.0","92,539.0","114,282.0","88,142.0","49,712.0","37,828.0","51,192.0","48,444.0","11,755.0","-4,051.0","-54,940.0","-253,117.0","-290,928.0","-270,983.0","-289,117.0","-288,444.0","-279,316.0"
"35",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","    Current receipts","A743RC1","1,142.0","1,224.0","1,328.0","1,492.0","1,693.0","1,903.0","2,118.0","2,501.0","3,150.0","3,908.0","4,574.0","4,421.0","4,848.0","5,298.0","5,637.0","6,325.0","6,723.0","7,886.0","9,239.0","10,493.0","11,170.0","12,372.0","14,251.0","16,173.0","17,307.0","17,645.0","17,093.0","16,157.0","14,514.0","14,898.0","15,116.0","16,086.0","18,287.0","19,716.0","23,734.0","28,836.0","29,048.0","26,330.0","23,851.0","22,998.0","23,215.0","23,938.0","24,353.0","23,930.0","24,109.0","24,383.0"
"37","17","Contributions for government social insurance","B104RC1","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,826.0","19,932.0","24,654.0","24,615.0","21,486.0","18,885.0","18,681.0","18,567.0","18,128.0","18,216.0","18,048.0","18,594.0","18,864.0"
"38","18","  Employee and self-employed contributions","B738RC1","343.0","336.0","351.0","412.0","451.0","470.0","477.0","508.0","623.0","693.0","798.0","457.0","694.0","850.0","1,034.0","1,337.0","1,115.0","1,551.0","2,017.0","2,222.0","1,856.0","2,005.0","2,392.0","2,828.0","3,008.0","3,051.0","2,560.0","2,214.0","1,606.0","1,778.0","1,789.0","2,602.0","3,649.0","3,645.0","3,920.0","5,366.0","5,457.0","4,443.0","3,726.0","4,660.0","5,893.0","6,235.0","6,442.0","5,912.0","6,206.0","6,350.0"
"39","19","  Employer contributions","A744RC1","683.0","753.0","823.0","908.0","1,041.0","1,195.0","1,366.0","1,679.0","2,152.0","2,717.0","3,082.0","3,115.0","3,166.0","3,193.0","3,106.0","3,340.0","3,771.0","4,406.0","5,190.0","6,155.0","7,118.0","8,030.0","9,227.0","10,295.0","11,121.0","11,464.0","11,040.0","10,239.0","9,217.0","8,573.0","7,963.0","8,220.0","10,042.0","12,181.0","16,012.0","19,288.0","19,158.0","17,043.0","15,159.0","14,021.0","12,674.0","11,893.0","11,774.0","12,136.0","12,388.0","12,514.0"
"40","20","    Government","B739RC1","121.0","136.0","154.0","163.0","185.0","184.0","246.0","349.0","472.0","635.0","791.0","830.0","853.0","853.0","776.0","714.0","761.0","835.0","834.0","929.0","1,064.0","1,208.0","1,639.0","2,100.0","2,453.0","2,895.0","2,830.0","2,455.0","2,404.0","2,456.0","2,393.0","2,203.0","2,294.0","2,070.0","2,270.0","2,296.0","2,352.0","2,388.0","2,131.0","1,852.0","1,713.0","1,707.0","1,769.0","1,928.0","2,059.0","2,099.0"
"41","21","    Other","B740RC1","562.0","617.0","669.0","745.0","856.0","1,011.0","1,120.0","1,330.0","1,680.0","2,082.0","2,291.0","2,285.0","2,313.0","2,340.0","2,330.0","2,626.0","3,010.0","3,571.0","4,356.0","5,226.0","6,054.0","6,822.0","7,588.0","8,195.0","8,668.0","8,569.0","8,210.0","7,784.0","6,813.0","6,117.0","5,570.0","6,017.0","7,748.0","10,111.0","13,742.0","16,992.0","16,806.0","14,655.0","13,028.0","12,169.0","10,961.0","10,186.0","10,005.0","10,208.0","10,329.0","10,415.0"
"42","22","Interest received","B746RC1","116.0","135.0","154.0","172.0","201.0","238.0","275.0","314.0","375.0","498.0","694.0","849.0","988.0","1,255.0","1,497.0","1,648.0","1,837.0","1,929.0","2,032.0","2,116.0","2,196.0","2,337.0","2,632.0","3,050.0","3,178.0","3,130.0","3,493.0","3,704.0","3,691.0","4,547.0","5,364.0","5,264.0","4,596.0","3,890.0","3,802.0","4,182.0","4,433.0","4,844.0","4,966.0","4,317.0","4,648.0","5,810.0","6,137.0","5,882.0","5,515.0","5,519.0"
"43","23","    Current expenditures","A745RC1","983.0","1,044.0","1,100.0","1,232.0","1,386.0","1,526.0","1,652.0","1,896.0","2,164.0","2,421.0","2,802.0","3,103.0","3,544.0","4,074.0","4,428.0","4,898.0","5,408.0","6,022.0","7,047.0","7,970.0","8,840.0","10,395.0","11,892.0","13,033.0","13,115.0","13,006.0","13,048.0","13,340.0","13,341.0","13,205.0","13,409.0","14,106.0","15,684.0","18,297.0","20,485.0","21,538.0","21,807.0","21,690.0","21,190.0","21,252.0","21,061.0","20,744.0","19,916.0","19,754.0","20,054.0","20,142.0"
"44","24","Administrative expenses (consumption expenditures)","B741RC1","97.0","106.0","115.0","125.0","140.0","155.0","169.0","185.0","219.0","237.0","268.0","313.0","366.0","416.0","451.0","474.0","506.0","570.0","663.0","760.0","928.0","1,147.0","1,362.0","1,553.0","1,745.0","2,032.0","2,312.0","2,386.0","2,612.0","2,821.0","2,783.0","2,722.0","2,986.0","4,107.0","4,800.0","4,708.0","4,820.0","4,784.0","4,491.0","4,249.0","3,896.0","3,519.0","3,353.0","3,536.0","3,787.0","3,776.0"
"45","25","Government social benefit payments to persons","B742RC1","886.0","938.0","985.0","1,107.0","1,246.0","1,371.0","1,483.0","1,711.0","1,945.0","2,184.0","2,534.0","2,790.0","3,178.0","3,658.0","3,977.0","4,424.0","4,902.0","5,452.0","6,384.0","7,210.0","7,912.0","9,248.0","10,530.0","11,480.0","11,370.0","10,974.0","10,736.0","10,954.0","10,729.0","10,384.0","10,626.0","11,384.0","12,698.0","14,190.0","15,685.0","16,830.0","16,987.0","16,906.0","16,699.0","17,003.0","17,165.0","17,225.0","16,563.0","16,218.0","16,267.0","16,366.0"
"46","26","    Net saving","B118RC1","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,419.0","3,249.0","7,299.0","7,240.0","4,641.0","2,661.0","1,746.0","2,155.0","3,194.0","4,437.0","4,176.0","4,054.0","4,240.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Beginning with 2011, includes government transfers to the Social Security trust fund to offset the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","reduction in contributions from employees and the self-employed during the payroll tax holiday which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","was established by the Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
