"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","3","    Excluding imputations (1-2)","A2026C1","891,823.0","935,561.0","1,014,428.0","1,115,687.0","1,248,718.0","1,348,352.0","1,464,564.0","1,635,944.0","1,821,669.0","2,056,150.0","2,297,564.0","2,488,915.0","2,792,281.0","2,883,728.0","3,121,929.0","3,492,474.0","3,735,887.0","3,935,224.0","4,172,929.0","4,491,422.0","4,832,885.0","5,096,521.0","5,237,140.0","5,523,345.0","5,790,958.0","6,155,070.0","6,463,460.0","6,856,114.0","7,307,704.0","7,706,868.0","8,182,442.0","8,682,113.0","8,922,376.0","9,199,580.0","9,641,894.0","10,272,040.0","10,943,136.0","11,602,308.0","12,148,715.0","12,297,856.0","11,967,469.0","12,452,295.0","12,966,927.0","13,627,364.0"
"23","4","  Personal consumption expenditures","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,316,895.0","6,801,630.0","7,106,864.0","7,385,297.0","7,764,356.0","8,257,757.0","8,790,344.0","9,297,459.0","9,744,444.0","10,005,501.0","9,842,938.0","10,201,880.0","10,711,793.0","11,149,602.0"
"24","5","    Imputations (153-156+165+170+175+181+187+199+203+204+205+206-209-210)","A2042C1","46,575.0","56,145.0","54,175.0","53,289.0","58,499.0","79,279.0","96,141.0","94,401.0","89,650.0","104,211.0","129,627.0","175,878.0","210,905.0","251,093.0","256,378.0","263,930.0","308,105.0","315,044.0","331,586.0","368,471.0","412,868.0","469,426.0","518,287.0","546,650.0","588,034.0","611,435.0","656,720.0","665,450.0","691,016.0","711,902.0","762,856.0","841,500.0","868,468.0","893,295.0","904,292.0","900,648.0","929,200.0","1,022,964.0","1,221,763.0","1,453,231.0","1,583,403.0","1,626,501.0","1,676,430.0","1,681,984.0"
"25","6","    Excluding imputations (4-5)","A2086C1","557,911.0","591,543.0","646,815.0","716,142.0","792,644.0","852,720.0","936,614.0","1,055,771.0","1,187,023.0","1,321,962.0","1,459,869.0","1,578,738.0","1,726,607.0","1,822,820.0","2,030,141.0","2,234,225.0","2,414,569.0","2,583,367.0","2,760,464.0","2,978,418.0","3,179,946.0","3,356,204.0","3,441,864.0","3,669,004.0","3,882,968.0","4,129,583.0","4,327,458.0","4,602,621.0","4,869,704.0","5,191,131.0","5,554,039.0","5,960,130.0","6,238,396.0","6,492,002.0","6,860,064.0","7,357,109.0","7,861,144.0","8,274,495.0","8,522,681.0","8,552,270.0","8,259,535.0","8,575,379.0","9,035,363.0","9,467,618.0"
"26","7","  Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,232,073.0","2,475,199.0"
"27","8","    Imputations (209+210+211)","A2087C1","36,805.0","35,764.0","46,678.0","57,856.0","64,351.0","59,186.0","61,270.0","80,427.0","106,017.0","122,639.0","126,077.0","112,505.0","112,807.0","106,495.0","147,338.0","171,822.0","177,396.0","205,522.0","224,506.0","237,341.0","239,318.0","228,621.0","220,681.0","253,937.0","277,286.0","311,932.0","304,001.0","338,058.0","361,994.0","411,938.0","448,201.0","475,919.0","533,017.0","578,256.0","651,337.0","763,654.0","862,990.0","857,003.0","731,149.0","573,588.0","462,853.0","448,907.0","452,630.0","493,036.0"
"28","9","    Excluding imputations (7-8)","A2088C1","136,755.0","134,286.0","150,149.0","170,289.0","202,579.0","215,341.0","195,983.0","242,795.0","290,595.0","355,738.0","413,579.0","417,593.0","518,423.0","474,536.0","490,178.0","648,271.0","652,253.0","643,622.0","667,671.0","699,623.0","760,383.0","764,832.0","723,663.0","759,077.0","829,543.0","944,551.0","1,013,477.0","1,093,999.0","1,233,612.0","1,323,392.0","1,435,994.0","1,557,831.0","1,395,621.0","1,346,732.0","1,376,610.0","1,513,024.0","1,664,119.0","1,823,646.0","1,912,596.0","1,851,222.0","1,415,263.0","1,651,905.0","1,779,443.0","1,982,163.0"
"29","10","  Net exports of goods and services","A019RC1","1,432.0","3,950.0","621.0","-3,372.0","4,110.0","-815.0","15,977.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,527.0","-19,980.0","-51,650.0","-102,731.0","-114,028.0","-131,877.0","-144,782.0","-109,405.0","-86,758.0","-77,876.0","-28,638.0","-34,766.0","-65,202.0","-92,514.0","-89,790.0","-96,412.0","-102,007.0","-162,744.0","-261,432.0","-380,060.0","-369,015.0","-425,035.0","-500,915.0","-614,800.0","-715,717.0","-762,409.0","-709,804.0","-713,248.0","-392,203.0","-518,457.0","-568,739.0","-547,200.0"
"30","11","    Imputations (14-17)","W510RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","6,193.0","5,294.0","4,410.0","4,475.0","4,189.0","3,580.0","3,279.0","4,286.0","5,402.0","6,356.0","6,243.0","5,662.0","5,583.0","4,475.0","3,676.0","3,479.0","1,143.0","659.0","595.0","199.0","2,642.0","859.0","10.0","-801.0","-905.0","653.0","2,158.0","2,525.0"
"31","12","    Excluding imputations (10-11)","W511RC1","889.0","3,328.0","4.0","-4,090.0","3,171.0","-2,202.0","14,260.0","-3,327.0","-24,976.0","-27,683.0","-25,631.0","-16,541.0","-16,623.0","-22,899.0","-55,698.0","-106,799.0","-120,221.0","-137,171.0","-149,192.0","-113,880.0","-90,947.0","-81,456.0","-31,917.0","-39,052.0","-70,604.0","-98,870.0","-96,033.0","-102,074.0","-107,590.0","-167,219.0","-265,108.0","-383,539.0","-370,158.0","-425,694.0","-501,510.0","-614,999.0","-718,359.0","-763,268.0","-709,814.0","-712,447.0","-391,298.0","-519,110.0","-570,897.0","-549,725.0"
"32","13","    Exports of goods and services","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","303,200.0","320,990.0","363,932.0","444,587.0","504,274.0","551,853.0","594,909.0","633,027.0","654,772.0","720,911.0","812,781.0","867,554.0","953,769.0","952,946.0","989,153.0","1,094,333.0","1,028,794.0","1,004,699.0","1,043,388.0","1,183,123.0","1,310,354.0","1,478,530.0","1,665,738.0","1,843,135.0","1,583,803.0","1,843,516.0","2,101,151.0","2,195,930.0"
"33","14","      Imputations (173+179+185)","W512RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","6,193.0","5,976.0","5,252.0","5,257.0","5,188.0","4,641.0","4,522.0","5,621.0","6,918.0","8,175.0","8,097.0","7,457.0","7,491.0","7,135.0","6,699.0","7,166.0","6,054.0","6,224.0","6,639.0","7,169.0","7,078.0","8,305.0","8,312.0","9,572.0","9,404.0","9,342.0","10,297.0","10,693.0"
"34","15","      Excluding imputations (13-14)","W513RC1","51,380.0","59,088.0","62,346.0","70,126.0","94,330.0","125,263.0","136,989.0","147,819.0","157,467.0","184,568.0","227,044.0","277,288.0","301,136.0","280,284.0","272,940.0","298,308.0","297,007.0","315,014.0","358,680.0","439,330.0","499,086.0","547,212.0","590,387.0","627,406.0","647,854.0","712,736.0","804,684.0","860,097.0","946,278.0","945,811.0","982,454.0","1,087,167.0","1,022,740.0","998,475.0","1,036,749.0","1,175,954.0","1,303,276.0","1,470,225.0","1,657,426.0","1,833,563.0","1,574,399.0","1,834,174.0","2,090,854.0","2,185,237.0"
"35","16","    Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,250,585.0","1,474,393.0","1,397,809.0","1,429,734.0","1,544,303.0","1,797,923.0","2,026,071.0","2,240,939.0","2,375,542.0","2,556,383.0","1,976,006.0","2,361,973.0","2,669,890.0","2,743,130.0"
"36","17","      Imputations (186)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,044.0","6,970.0","4,436.0","7,446.0","8,302.0","10,373.0","10,309.0","8,689.0","8,139.0","8,168.0"
"37","18","      Excluding imputations (16-17)","W515RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,185.0","507,872.0","553,210.0","590,033.0","628,668.0","622,304.0","666,458.0","718,458.0","811,606.0","900,717.0","962,171.0","1,053,868.0","1,113,030.0","1,247,562.0","1,470,706.0","1,392,898.0","1,424,169.0","1,538,259.0","1,790,953.0","2,021,635.0","2,233,493.0","2,367,240.0","2,546,010.0","1,965,697.0","2,353,284.0","2,661,751.0","2,734,962.0"
"38","19","  Government consumption expenditures and gross investment","A822RC1","240,401.0","254,196.0","269,331.0","288,245.0","306,365.0","343,113.0","382,937.0","405,824.0","435,759.0","477,387.0","525,537.0","590,847.0","654,734.0","710,021.0","765,744.0","825,169.0","908,430.0","974,467.0","1,030,760.0","1,078,168.0","1,151,919.0","1,238,361.0","1,298,163.0","1,345,371.0","1,366,061.0","1,403,740.0","1,452,162.0","1,496,449.0","1,554,159.0","1,613,514.0","1,726,038.0","1,834,428.0","1,958,765.0","2,094,937.0","2,220,849.0","2,357,402.0","2,493,690.0","2,642,194.0","2,801,927.0","3,003,191.0","3,089,091.0","3,174,026.0","3,158,712.0","3,166,985.0"
"39","20","    Imputations (171+176+182+190+207+212)","A1684C1","44,133.0","47,792.0","51,871.0","54,899.0","56,041.0","60,620.0","65,230.0","65,119.0","66,732.0","71,254.0","75,790.0","81,722.0","90,860.0","100,750.0","108,436.0","108,392.0","119,144.0","129,061.0","136,774.0","150,907.0","168,416.0","181,420.0","194,633.0","211,055.0","217,010.0","223,934.0","233,604.0","234,881.0","242,181.0","253,950.0","268,521.0","286,737.0","300,248.0","308,397.0","314,119.0","340,496.0","357,458.0","374,759.0","378,675.0","396,380.0","405,122.0","429,905.0","435,694.0","439,677.0"
"40","21","    Excluding imputations (19-20)","A2089C1","196,268.0","206,404.0","217,460.0","233,346.0","250,324.0","282,493.0","317,707.0","340,705.0","369,027.0","406,133.0","449,747.0","509,125.0","563,874.0","609,271.0","657,308.0","716,777.0","789,286.0","845,406.0","893,986.0","927,261.0","983,503.0","1,056,941.0","1,103,530.0","1,134,316.0","1,149,051.0","1,179,806.0","1,218,558.0","1,261,568.0","1,311,978.0","1,359,564.0","1,457,517.0","1,547,691.0","1,658,517.0","1,786,540.0","1,906,730.0","2,016,906.0","2,136,232.0","2,267,435.0","2,423,252.0","2,606,811.0","2,683,969.0","2,744,121.0","2,723,018.0","2,727,308.0"
"41","22","    Government consumption expenditures","A955RC1","180,861.0","194,403.0","210,822.0","227,554.0","240,724.0","266,951.0","298,540.0","316,184.0","342,602.0","371,821.0","405,437.0","454,895.0","507,389.0","553,072.0","594,579.0","631,991.0","688,558.0","736,383.0","776,119.0","819,773.0","881,488.0","947,994.0","1,004,071.0","1,049,253.0","1,074,176.0","1,109,568.0","1,144,482.0","1,176,498.0","1,224,627.0","1,272,113.0","1,357,572.0","1,444,173.0","1,545,131.0","1,651,364.0","1,755,592.0","1,868,942.0","1,980,048.0","2,089,846.0","2,209,721.0","2,368,565.0","2,442,062.0","2,522,209.0","2,526,111.0","2,548,029.0"
"42","23","      Imputations (171+176+182+190+207+212-213)","A2097C1","-15,408.0","-12,001.0","-6,638.0","-5,792.0","-9,599.0","-15,542.0","-19,167.0","-24,521.0","-26,426.0","-34,313.0","-44,310.0","-54,230.0","-56,485.0","-56,199.0","-62,729.0","-84,786.0","-100,728.0","-109,023.0","-117,867.0","-107,488.0","-102,015.0","-108,947.0","-99,459.0","-85,062.0","-74,876.0","-70,237.0","-74,076.0","-85,070.0","-87,351.0","-87,451.0","-99,945.0","-103,517.0","-113,386.0","-135,175.0","-151,137.0","-147,965.0","-156,183.0","-177,588.0","-213,531.0","-238,246.0","-241,907.0","-221,912.0","-196,907.0","-179,279.0"
"43","24","      Excluding imputations (22-23)","A2098C1","196,269.0","206,404.0","217,460.0","233,346.0","250,323.0","282,493.0","317,707.0","340,705.0","369,028.0","406,134.0","449,747.0","509,125.0","563,874.0","609,271.0","657,308.0","716,777.0","789,286.0","845,406.0","893,986.0","927,261.0","983,503.0","1,056,941.0","1,103,530.0","1,134,315.0","1,149,052.0","1,179,805.0","1,218,558.0","1,261,568.0","1,311,978.0","1,359,564.0","1,457,517.0","1,547,690.0","1,658,517.0","1,786,539.0","1,906,729.0","2,016,907.0","2,136,231.0","2,267,434.0","2,423,252.0","2,606,811.0","2,683,969.0","2,744,121.0","2,723,018.0","2,727,308.0"
"44","25","    Gross government investment","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","632,601.0","618,956.0"
"45","26","      Imputations (213)","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","632,601.0","618,956.0"
"46","27","      Excluding imputations (25-26)","A1680C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"47",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","Gross domestic income","A261RC1","1,018,268.0","1,070,539.0","1,158,287.0","1,275,315.0","1,422,441.0","1,541,417.0","1,675,681.0","1,857,129.0","2,066,695.0","2,333,421.0","2,587,355.0","2,818,574.0","3,174,243.0","3,338,218.0","3,583,975.0","4,002,031.0","4,295,477.0","4,513,409.0","4,829,662.0","5,253,102.0","5,593,515.0","5,888,232.0","6,085,664.0","6,428,396.0","6,726,384.0","7,171,936.0","7,573,501.0","8,043,632.0","8,596,223.0","9,149,317.0","9,698,129.0","10,384,252.0","10,736,809.0","11,050,292.0","11,524,293.0","12,283,508.0","13,129,206.0","14,073,165.0","14,460,139.0","14,621,249.0","14,345,697.0","14,915,161.0","15,587,494.0","16,261,627.0"
"49","29","    Imputations (153-156+165+170+171+173+175+176+179+181+182+185-186+187+190+199+202+211+212)","A2023C1","128,056.0","140,323.0","153,341.0","166,762.0","179,830.0","200,472.0","224,358.0","241,643.0","264,282.0","300,421.0","334,579.0","373,590.0","418,668.0","461,257.0","516,200.0","548,212.0","610,838.0","654,921.0","697,276.0","761,194.0","824,791.0","883,047.0","936,880.0","1,015,928.0","1,087,732.0","1,153,657.0","1,200,568.0","1,244,051.0","1,300,774.0","1,382,265.0","1,483,254.0","1,607,635.0","1,702,876.0","1,780,607.0","1,870,343.0","2,004,997.0","2,152,290.0","2,255,585.0","2,331,597.0","2,422,398.0","2,450,473.0","2,505,966.0","2,566,912.0","2,617,222.0"
"50","30","    Excluding imputations (28-29)","W516RC1","890,212.0","930,216.0","1,004,946.0","1,108,553.0","1,242,611.0","1,340,945.0","1,451,323.0","1,615,486.0","1,802,413.0","2,033,000.0","2,252,776.0","2,444,984.0","2,755,575.0","2,876,961.0","3,067,775.0","3,453,819.0","3,684,639.0","3,858,488.0","4,132,386.0","4,491,908.0","4,768,724.0","5,005,185.0","5,148,784.0","5,412,468.0","5,638,652.0","6,018,279.0","6,372,933.0","6,799,581.0","7,295,449.0","7,767,052.0","8,214,875.0","8,776,617.0","9,033,933.0","9,269,685.0","9,653,950.0","10,278,511.0","10,976,916.0","11,817,580.0","12,128,542.0","12,198,851.0","11,895,224.0","12,409,195.0","13,020,582.0","13,644,405.0"
"51","31","  Compensation of employees, paid","A4002C1","585,994.0","625,094.0","667,009.0","733,642.0","815,052.0","890,342.0","950,218.0","1,051,271.0","1,169,047.0","1,320,324.0","1,481,106.0","1,626,327.0","1,795,424.0","1,894,511.0","2,014,080.0","2,217,615.0","2,389,180.0","2,545,626.0","2,725,666.0","2,950,907.0","3,143,851.0","3,344,977.0","3,454,749.0","3,674,097.0","3,823,991.0","4,014,144.0","4,206,739.0","4,426,235.0","4,719,095.0","5,082,386.0","5,417,479.0","5,863,146.0","6,053,751.0","6,149,710.0","6,372,705.0","6,748,776.0","7,097,917.0","7,513,697.0","7,908,768.0","8,089,958.0","7,795,654.0","7,975,340.0","8,286,577.0","8,619,970.0"
"52","32","     Imputations (188+202)","Y523RC1","23,586.0","25,469.0","27,357.0","30,305.0","27,817.0","27,754.0","34,309.0","32,329.0","35,832.0","40,088.0","45,526.0","50,931.0","59,414.0","70,018.0","82,831.0","85,309.0","100,872.0","117,634.0","129,002.0","153,167.0","185,543.0","210,112.0","223,101.0","263,921.0","278,483.0","286,448.0","283,780.0","297,965.0","313,730.0","341,341.0","382,193.0","422,551.0","450,021.0","443,293.0","447,387.0","519,658.0","555,824.0","569,344.0","596,576.0","569,827.0","565,789.0","572,927.0","577,727.0","571,167.0"
